#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Cameron JL, William S, Halsted. Our surgical heritage. Ann Surg. 1997;225.",Our surgical heritage,Ann Surg,1997,225,,,,,Cameron JL; William S; Halsted
31,"Blum MG, Powers TW, Sundaresan S. Bronchoscopy simulator effectively prepares junior residents to competently perform basic clinical bronchoscopy. Ann Thorac Surgery. 2004;78.",Bronchoscopy simulator effectively prepares junior residents to competently perform basic clinical bronchoscopy,Ann Thorac Surgery,2004,78,,,,,Blum MG; Powers TW; Sundaresan S
32,"Nilsson PM, Naur T, Clementsen PF. Simulation in bronchoscopy: current and future perspectives. Adv Med Educ Pract. 2017;8.",Simulation in bronchoscopy: current and future perspectives,Adv Med Educ Pract,2017,8,,,,,Nilsson PM; Naur T; Clementsen PF
33,"Ram B, Oluwole M, Blair RL. Surgical simulation: an animal tissue model for training in therapeutic and diagnostic bronchoscopy. J Laryngol Otol. 1999;113.",Surgical simulation: an animal tissue model for training in therapeutic and diagnostic bronchoscopy,J Laryngol Otol,1999,113,,,,,Ram B; Oluwole M; Blair RL
34,"Hatton KV, Price S, Raig L. Educating anesthesiology residents to perform percutaneous cricothyrotomy, retrograde intubation and fiberoptic bronchoscopy, using preserved cadavers. Anesth Anal. 2006;103.","Educating anesthesiology residents to perform percutaneous cricothyrotomy, retrograde intubation and fiberoptic bronchoscopy, using preserved cadavers",Anesth Anal,2006,103,,,,,Hatton KV; Price S; Raig L
35,"Gilbert CR, Yarmus L, Feller-Kopman D. Educating the next generation of pulmonary fellows in transbronchial needle aspiration. Leading the blind to see. Ann Am Thorac Soc. 2014;11.",Educating the next generation of pulmonary fellows in transbronchial needle aspiration. Leading the blind to see,Ann Am Thorac Soc,2014,11,,,,,Gilbert CR; Yarmus L; Feller-Kopman D
36,Kovacs G. Procedural skills in medicine: linking theory to practice. J Emerg Med. 1997;15.,Procedural skills in medicine: linking theory to practice,J Emerg Med,1997,15,,,,,Kovacs G
37,"Mahmood K, Wahidi M, Osann K. Development of a tool to assess basic competency in the performance of rigid bronchoscopy. Ann Am Thorac Soc. 2016;13.",Development of a tool to assess basic competency in the performance of rigid bronchoscopy,Ann Am Thorac Soc,2016,13,,,,,Mahmood K; Wahidi M; Osann K
38,"Lee HJ, Lerner A, Coleman B. Learning electromagnetic navigational bronchoscopy and percutaneous transthoracic needle biopsy (LEAP): a pilot study. J Bronchol Interv Pulmonol. 2019;26.",Learning electromagnetic navigational bronchoscopy and percutaneous transthoracic needle biopsy (LEAP): a pilot study,J Bronchol Interv Pulmonol,2019,26,,,,,Lee HJ; Lerner A; Coleman B
39,"Ishman SL, Brown DJ, Boss EF. Development and pilot testing of an operative competency assessment tool for pediatric direct laryngoscopy and rigid bronchoscopy. Laryngoscope. 2010;120.",Development and pilot testing of an operative competency assessment tool for pediatric direct laryngoscopy and rigid bronchoscopy,Laryngoscope,2010,120,,,,,Ishman SL; Brown DJ; Boss EF
40,"Davoudi M, Colt HG, Osann KE. Endobronchial ultrasound skills and tasks assessment tool assessing the validity evidence for a test of endobronchial ultrasound-guided transbronchial needle aspiration operator skill. Am J Respir Crit Care Med. 2012;15.",Endobronchial ultrasound skills and tasks assessment tool assessing the validity evidence for a test of endobronchial ultrasound-guided transbronchial needle aspiration operator skill,Am J Respir Crit Care Med,2012,15,,,,,Davoudi M; Colt HG; Osann KE
41,"Konge L, Clementsen PF, Ringsted C. Simulator training for endobronchial ultrasound: a randomised controlled trial. Eur Respir J. 2015;46.",Simulator training for endobronchial ultrasound: a randomised controlled trial,Eur Respir J,2015,46,,,,,Konge L; Clementsen PF; Ringsted C
42,"Konge L, Vilmann P, Clementsen P. Reliable and valid assessment of competence in endoscopic ultrasonography and fine-needle aspiration for mediastinal staging of non-small cell lung cancer. Endoscopy. 2012;44.",Reliable and valid assessment of competence in endoscopic ultrasonography and fine-needle aspiration for mediastinal staging of non-small cell lung cancer,Endoscopy,2012,44,,,,,Konge L; Vilmann P; Clementsen P
43,"Salamonsen M, Mcgrath D, Steiler G. A new instrument to assess physician skill at thoracic ultrasound, including pleural effusion markup. Chest. 2013;144.","A new instrument to assess physician skill at thoracic ultrasound, including pleural effusion markup",Chest,2013,144,,,,,Salamonsen M; Mcgrath D; Steiler G
44,"Ilgen JS, Ma IW, Hatala R. A systematic review of validity evidence for checklists versus global rating scales in simulation based assessment. Med Educ. 2015;49.",A systematic review of validity evidence for checklists versus global rating scales in simulation based assessment,Med Educ,2015,49,,,,,Ilgen JS; Ma IW; Hatala R
45,"Nakazato T, Callahan Z, Kuchta K. A 1-day simulation-based boot camp for incoming general surgery residents improves confidence and technical skills. Surgery. 2019;166.",A 1-day simulation-based boot camp for incoming general surgery residents improves confidence and technical skills,Surgery,2019,166,,,,,Nakazato T; Callahan Z; Kuchta K
46,"Konge L, Ringsted C, Bjerrum F. The Simulation Centre at Rigshospitalet, Copenhagen, Denmark. J Surg Educ. 2015;72.","The Simulation Centre at Rigshospitalet, Copenhagen, Denmark",J Surg Educ,2015,72,,,,,Konge L; Ringsted C; Bjerrum F
47,"Carter SC, Chiang A, Shah G. Video-based peer feedback through social networking for robotic surgery simulation: a multicenter randomized controlled trial. Ann Surg. 2015;261.",Video-based peer feedback through social networking for robotic surgery simulation: a multicenter randomized controlled trial,Ann Surg,2015,261,,,,,Carter SC; Chiang A; Shah G
48, Bronchoscopy International. English is the new Latin. Bronchoscopy International. English is the new Latin. 2020;None.,Bronchoscopy International. English is the new Latin,Bronchoscopy International. English is the new Latin,2020,,,,,,
