#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95.,Pleural effusions,Med Clin North Am,2011,95,,,,,Light RW
12,"Chung CL, Chen CH, Sheu JR, Chen YC, Chang SC. Proinflammatory cytokines, transforming growth factor-b1, and fibrinolytic enzymes in loculated and free-flowing pleural exudates. Chest. 2005;128.","Proinflammatory cytokines, transforming growth factor-b1, and fibrinolytic enzymes in loculated and free-flowing pleural exudates",Chest,2005,128,,,,,Chung CL; Chen CH; Sheu JR; Chen YC; Chang SC
13,"Jantz MA, Vb A. Pleural fibrosis. Clin Chest Med. 2006;27.",Pleural fibrosis,Clin Chest Med,2006,27,,,,,Jantz MA; Vb A
14,"Simpson G, Roomes D, Heron M. Effects of streptokinase and deoxyribonuclease on viscosity of human surgical and empyema pus. Chest. 2000;117.",Effects of streptokinase and deoxyribonuclease on viscosity of human surgical and empyema pus,Chest,2000,117,,,,,Simpson G; Roomes D; Heron M
15,"Zhu Z, Hawthorne ML, Guo Y et al.. Tissue plasminogen activator combined with human recombinant deoxyribonuclease is effective therapy for empyema in a rabbit model. Chest. 2006;129.",Tissue plasminogen activator combined with human recombinant deoxyribonuclease is effective therapy for empyema in a rabbit model,Chest,2006,129,,,,,Zhu Z; Hawthorne ML; Guo Y; Drake W; Bilaceroglu S; Misra HL; Light RW
16,"Strange C, Allen ML, Harley R, Lazarchick J, Sahn SA. Intrapleural streptokinase in experimental empyema. Am Rev Respir Dis. 1993;147.",Intrapleural streptokinase in experimental empyema,Am Rev Respir Dis,1993,147,,,,,Strange C; Allen ML; Harley R; Lazarchick J; Sahn SA
17,"Mehta HJ, Biswas A, Penley AM, Cope J, Barnes M, Jantz MA. Management of intrapleural sepsis with once daily use of tissue plasminogen activator and deoxyribonuclease. Respiration. 2016;91.",Management of intrapleural sepsis with once daily use of tissue plasminogen activator and deoxyribonuclease,Respiration,2016,91,,,,,Mehta HJ; Biswas A; Penley AM; Cope J; Barnes M; Jantz MA
18,"Chung JH, Lee SH, Kim KT, Jung JS, Son HS, Sun K. Optimal timing of thoracoscopic drainage and decortication for empyema. Ann Thorac Surg. 2014;97.",Optimal timing of thoracoscopic drainage and decortication for empyema,Ann Thorac Surg,2014,97,,,,,Chung JH; Lee SH; Kim KT; Jung JS; Son HS; Sun K
19,"Farjah F, Symons RG, Krishnadasan B, Wood DE, Flum DR. Management of pleural space infections: a population-based analysis. J Thorac Cardiovasc Surg. 2007;133.",Management of pleural space infections: a population-based analysis,J Thorac Cardiovasc Surg,2007,133,,,,,Farjah F; Symons RG; Krishnadasan B; Wood DE; Flum DR
20,"Heffner JE, Klein JS, Hampson C. Diagnostic utility and clinical application of imaging for pleural space infections. Chest. 2010;137.",Diagnostic utility and clinical application of imaging for pleural space infections,Chest,2010,137,,,,,Heffner JE; Klein JS; Hampson C
21,"Hamblin SE, Furmanek DL. Intrapleural tissue plasminogen activator for the treatment of parapneumonic effusion. Pharmacotherapy. 2010;30.",Intrapleural tissue plasminogen activator for the treatment of parapneumonic effusion,Pharmacotherapy,2010,30,,,,,Hamblin SE; Furmanek DL
22,"Piccolo F, Popowicz N, Wong D, Lee YC. Intrapleural tissue plasminogen activator and deoxyribonuclease therapy for pleural infection. J Thorac Dis. 2015;7.",Intrapleural tissue plasminogen activator and deoxyribonuclease therapy for pleural infection,J Thorac Dis,2015,7,,,,,Piccolo F; Popowicz N; Wong D; Lee YC
