#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sahn SA, Heffner JE. Pleural fluid analysis. Textbook of pleural diseases. 2008;None.",Pleural fluid analysis,Textbook of pleural diseases,2008,,,,,,Sahn SA; Heffner JE
40,"Tomcsanyi J, Nagy E, Somloi M. NT-brain natriuretic peptide levels in pleural fluid distinguish between pleural transudates and exudates. Eur J Heart Fail. 2004;6.",NT-brain natriuretic peptide levels in pleural fluid distinguish between pleural transudates and exudates,Eur J Heart Fail,2004,6,,,,,Tomcsanyi J; Nagy E; Somloi M
41,"Porcel JM, Vives M, Cao G. Measurement of Pro-Brain Natriuretic peptide in pleural fluid for the diagnosis of pleural effusions due to heart failure. Am J Med. 2004;116(2L).",Measurement of Pro-Brain Natriuretic peptide in pleural fluid for the diagnosis of pleural effusions due to heart failure,Am J Med,2004,116,2L,,,,Porcel JM; Vives M; Cao G
42,"Hann CH, Choi JE, Chung JH. Clinical utility of pleural fluid NT-pro Brain Natriuretic peptide (NT-proBNP) in patients with pleural effusions. Intern Med. 2008;47.",Clinical utility of pleural fluid NT-pro Brain Natriuretic peptide (NT-proBNP) in patients with pleural effusions,Intern Med,2008,47,,,,,Hann CH; Choi JE; Chung JH
43,"Pettersson T, Riska H. Diagnostic value of total and differential leukocyte counts in pleural effusions. Acta Med Scand. 1981;210(3).",Diagnostic value of total and differential leukocyte counts in pleural effusions,Acta Med Scand,1981,210,3,,,,Pettersson T; Riska H
44,"Ansari T, IS. Management of undiagnosed persistent pleural effusions. Clin Chest Med. 1998;19(4).",Management of undiagnosed persistent pleural effusions,Clin Chest Med,1998,19,4,,,,Ansari T; IS
45,"Light RW. Pleural diseases, 3rd edn. Pleural diseases, 3rd edn. 1995;None.","Pleural diseases, 3rd edn","Pleural diseases, 3rd edn",1995,,,,,,Light RW
46,"Turan SK, Basyigit G, I. Clinicopathologic significance of eosinophilic pleural effusions in a population with a high prevalence of tuberculosis and cancer. Acta Cytol. 2007;51(3).",Clinicopathologic significance of eosinophilic pleural effusions in a population with a high prevalence of tuberculosis and cancer,Acta Cytol,2007,51,3,,,,Turan SK; Basyigit G; I
47,"Adelman M, Albelda SM, Gottlieb J. Diagnostic utility of pleural fluid eosinophilia. Am J Med. 1984;77(3).",Diagnostic utility of pleural fluid eosinophilia,Am J Med,1984,77,3,,,,Adelman M; Albelda SM; Gottlieb J
48,"Wysenbeek AJ, Lahav M, Aelion JA. Eosinophilic pleural effusion: a review of 36 cases. Respiration. 1985;48(3).",Eosinophilic pleural effusion: a review of 36 cases,Respiration,1985,48,3,,,,Wysenbeek AJ; Lahav M; Aelion JA
49,"Martinez-Garcia MA, Viedma C-, Cordero-Rodriguez E, PJ. Diagnostic utility of eosinophils in the pleural fluid. Eur Respir J. 1999;15(3).",Diagnostic utility of eosinophils in the pleural fluid,Eur Respir J,1999,15,3,,,,Martinez-Garcia MA; Viedma C-; Cordero-Rodriguez E; PJ
50,"Good JT, Taryle DA, Maulitz RM. The diagnostic value of pleural fluid pH. Chest. 1980;78(3).",The diagnostic value of pleural fluid pH,Chest,1980,78,3,,,,Good JT; Taryle DA; Maulitz RM
51,"Potts DE, Taryle A, Sahn SA. The glucose-pH relationship in parapneumonic effusions. Arch Intern Med. 1978;138(3).",The glucose-pH relationship in parapneumonic effusions,Arch Intern Med,1978,138,3,,,,Potts DE; Taryle A; Sahn SA
52,"Sahn SA, Good J. Pleural fluid pH in malignant effusions. Diagnostic, prognostic, and therapeutic implications. Ann Intern Med. 1988;108.","Pleural fluid pH in malignant effusions. Diagnostic, prognostic, and therapeutic implications",Ann Intern Med,1988,108,,,,,Sahn SA; Good J
53,"Heffner JE, Nietert PJ, Barbieri C. Pleural fluid pH as a predictor of survival for patients with malignant pleural effusions. Chest. 2000;117(1+).",Pleural fluid pH as a predictor of survival for patients with malignant pleural effusions,Chest,2000,117,1+,,,,Heffner JE; Nietert PJ; Barbieri C
54,"Heffner JE, Brown LK, Barbieri C. Pleural fluid chemical analysis in parapneumonic effusions. A meta-analysis. Am J Respir Crit Care Med. 1995;151(1+).",Pleural fluid chemical analysis in parapneumonic effusions. A meta-analysis,Am J Respir Crit Care Med,1995,151,1+,,,,Heffner JE; Brown LK; Barbieri C
55,"Maskell NA, Gleeson FV, Darby M. Diagnostically significant variations in pleural fluid pH in loculated parapneumonic effusions. Chest. 2004;126(3).",Diagnostically significant variations in pleural fluid pH in loculated parapneumonic effusions,Chest,2004,126,3,,,,Maskell NA; Gleeson FV; Darby M
56,"Rahman NM, Mishra EK, Davies HE. Clinically important factors influencing the diagnostic measurement of pleural fluid pH and glucose. Am J Respir Crit Care Med. 2008;178.",Clinically important factors influencing the diagnostic measurement of pleural fluid pH and glucose,Am J Respir Crit Care Med,2008,178,,,,,Rahman NM; Mishra EK; Davies HE
57,"Emil P, Lesho DO, Bernard J. Is pH paper an acceptable low cost alternative to the blood gas analyser for determining pleural fluid pH?. Chest. 1997;112(2+).",Is pH paper an acceptable low cost alternative to the blood gas analyser for determining pleural fluid pH?,Chest,1997,112,2+,,,,Emil P; Lesho DO; Bernard J
58,"Light RW, Ball WC. Glucose and amylase in pleural effusions. JAMA. 1973;225(3).",Glucose and amylase in pleural effusions,JAMA,1973,225,3,,,,Light RW; Ball WC
59,Sahn SA. Pathogenesis and clinical features of diseases associated with low pleural fluid glucose. The pleural in health and disease. 1985;None.,Pathogenesis and clinical features of diseases associated with low pleural fluid glucose,The pleural in health and disease,1985,,,,,,Sahn SA
60,Sahn SA. The pleura. Am Rev Respir Dis. 1988;138(4).,The pleura,Am Rev Respir Dis,1988,138,4,,,,Sahn SA
61,"Joseph J, Viney S, Beck P. A prospective study of amylase-rich pleural effusions with special reference to amylase isoenzyme analysis. Chest. 1992;102(3).",A prospective study of amylase-rich pleural effusions with special reference to amylase isoenzyme analysis,Chest,1992,102,3,,,,Joseph J; Viney S; Beck P
62,"Sherr HP, Light RW, Merson MH. Origin of pleural fluid amylase in oesophageal rupture. Ann Intern Med. 1972;76(4).",Origin of pleural fluid amylase in oesophageal rupture,Ann Intern Med,1972,76,4,,,,Sherr HP; Light RW; Merson MH
63,Kramer M. High amylase levels in neoplasm related pleural effusion. Ann Intern Med. 1989;110(4).,High amylase levels in neoplasm related pleural effusion,Ann Intern Med,1989,110,4,,,,Kramer M
64,"Branca P, Rodriguez M, Rogers JT. Routine measurement of pleural fluid amylase is not indicated. Arch Intern Med. 2001;161(3).",Routine measurement of pleural fluid amylase is not indicated,Arch Intern Med,2001,161,3,,,,Branca P; Rodriguez M; Rogers JT
65,"Lankisch PG, Droge M, Becher R. Pleural effusions: a new negative prognostic parameter for acute pancreatitis. Am J Gastroenterol. 1994;89(3).",Pleural effusions: a new negative prognostic parameter for acute pancreatitis,Am J Gastroenterol,1994,89,3,,,,Lankisch PG; Droge M; Becher R
66,"Inglesias JI, Cobb J, Levey J. Recurrent left pleural effusion in a 44-year-old woman with a history of alcohol abuse. Chest. 1996;110(3).",Recurrent left pleural effusion in a 44-year-old woman with a history of alcohol abuse,Chest,1996,110,3,,,,Inglesias JI; Cobb J; Levey J
67,"Salyer WR, Eggleston JC, Erozan YS. Efficacy of pleural needle biopsy and pleural fluid cytopathology in the diagnosis of malignant neoplasm involving the pleura. Chest. 1975;67(4).",Efficacy of pleural needle biopsy and pleural fluid cytopathology in the diagnosis of malignant neoplasm involving the pleura,Chest,1975,67,4,,,,Salyer WR; Eggleston JC; Erozan YS
68,"Nance KV, Shermer RW, Askin FB. Diagnostic efficacy of pleural biopsy as compared with that of pleural fluid examination. Mod Pathol. 1991;4(2L).",Diagnostic efficacy of pleural biopsy as compared with that of pleural fluid examination,Mod Pathol,1991,4,2L,,,,Nance KV; Shermer RW; Askin FB
69,"Prakash UB, Reiman HM. Comparison of needle biopsy with cytologic analysis for the evaluation of pleural effusion: analysis of 414 cases. Mayo Clin Proc. 1985;60(2L).",Comparison of needle biopsy with cytologic analysis for the evaluation of pleural effusion: analysis of 414 cases,Mayo Clin Proc,1985,60,2L,,,,Prakash UB; Reiman HM
70,Garcia L. The value of multiple fluid specimens in the cytological diqgnosis of malignancy. Mod Pathol. 1994;7(3).,The value of multiple fluid specimens in the cytological diqgnosis of malignancy,Mod Pathol,1994,7,3,,,,Garcia L
71,"Dekker A, Bupp PA. Cytology of serous effusions. An investigation into the usefulness of cell blocks versus smears. Am J Clin Pathol. 1978;70(3).",Cytology of serous effusions. An investigation into the usefulness of cell blocks versus smears,Am J Clin Pathol,1978,70,3,,,,Dekker A; Bupp PA
72,"Chandra A, Cross P, Denton K. The BSCC code of practice: exfoliative cytolopathology (excluding gynaecological cytopathology). Cytopathology. 2009;20(4).",The BSCC code of practice: exfoliative cytolopathology (excluding gynaecological cytopathology),Cytopathology,2009,20,4,,,,Chandra A; Cross P; Denton K
73,"Denton K, Giles T, Smith P. Tissue pathways for exfoliative cytology and fine needle aspiration cytology. Tissue pathways for exfoliative cytology and fine needle aspiration cytology. 2009;None.",Tissue pathways for exfoliative cytology and fine needle aspiration cytology,Tissue pathways for exfoliative cytology and fine needle aspiration cytology,2009,,,,,,Denton K; Giles T; Smith P
74,"Porcel M, Vives M, Esquerda A. Use of a panel of tumour markers (carcinoembryonic antigen, cancer antigen 125, carbohydrate antigen 15-3 and cytokeratin 19 fragments) in pleural fluid for the differential diagnosis of benign and malignant effusions. Chest. 2004;126(2+).","Use of a panel of tumour markers (carcinoembryonic antigen, cancer antigen 125, carbohydrate antigen 15-3 and cytokeratin 19 fragments) in pleural fluid for the differential diagnosis of benign and malignant effusions",Chest,2004,126,2+,,,,Porcel M; Vives M; Esquerda A
75,"Sherpereel A, Grigoriu B, Conti M. Soluble mesothelin-related peptides in the diagnosis of malignant pleural mesothelioma. Am J Respir Crit Care Med. 2006;173(2+).",Soluble mesothelin-related peptides in the diagnosis of malignant pleural mesothelioma,Am J Respir Crit Care Med,2006,173,2+,,,,Sherpereel A; Grigoriu B; Conti M
76,"Creaney J, Yeoman D, Naumoff L. Soluble mesothelin in effusions: a useful tool for the diagnosis of malignant mesothelioma. Thorax. 2007;62(2++).",Soluble mesothelin in effusions: a useful tool for the diagnosis of malignant mesothelioma,Thorax,2007,62,2++,,,,Creaney J; Yeoman D; Naumoff L
77,"Creaney J, Van Bruggen I, Segal A. Combined CA125 and mesothelin levels for the diagnosis of malignant mesothelioma. Chest. 2007;132(2+).",Combined CA125 and mesothelin levels for the diagnosis of malignant mesothelioma,Chest,2007,132,2+,,,,Creaney J; Van Bruggen I; Segal A
78,"Cristaudo A, Foddis R, Vivaldi A. Clinical significance of serum mesothelin in patients with mesothelioma and lung cancer. Clin Cancer Res. 2007;13(2+).",Clinical significance of serum mesothelin in patients with mesothelioma and lung cancer,Clin Cancer Res,2007,13,2+,,,,Cristaudo A; Foddis R; Vivaldi A
79,"Robinson B, Creaney J, Lake R. Mesothelin-family proteins and diagnosis of mesothelioma. Lancet. 2003;362(2+).",Mesothelin-family proteins and diagnosis of mesothelioma,Lancet,2003,362,2+,,,,Robinson B; Creaney J; Lake R
80,"Davies HE, Sadler RS, Bielsa S. The clinical impact and reliability of pleural fluid mesothelin in undiagnosed pleural effusions. Am J Respir Crit Care Med. 2009;180(2+).",The clinical impact and reliability of pleural fluid mesothelin in undiagnosed pleural effusions,Am J Respir Crit Care Med,2009,180,2+,,,,Davies HE; Sadler RS; Bielsa S
81,"Hassan R, Remaley A, Sampson M. Detection and quantitation of serum mesothelin, a tumour marker for patients with mesothelioma and ovarian cancer. Clin Cancer Res. 2006;12(2L).","Detection and quantitation of serum mesothelin, a tumour marker for patients with mesothelioma and ovarian cancer",Clin Cancer Res,2006,12,2L,,,,Hassan R; Remaley A; Sampson M
82,"Traill ZC, Davies R, Gleeson FV. Thoracic computed tomography in patients with suspected malignant pleural effusions. Clin Radiol. 2001;56.",Thoracic computed tomography in patients with suspected malignant pleural effusions,Clin Radiol,2001,56,,,,,Traill ZC; Davies R; Gleeson FV
83,"Mcloud T, Flower C. Imaging of the pleura: sonography, CT, and MR imaging. AJR Am J Roentgenol. 1991;156(4).","Imaging of the pleura: sonography, CT, and MR imaging",AJR Am J Roentgenol,1991,156,4,,,,Mcloud T; Flower C
84,"Waite RJ, Carbonneau RJ, Balikian JP. Parietal pleural changes in empyema: appearances on CT. Radiology. 1990;175(3).",Parietal pleural changes in empyema: appearances on CT,Radiology,1990,175,3,,,,Waite RJ; Carbonneau RJ; Balikian JP
85,"Leung AN, Muller NL, Miller RR. CT in differential diagnosis of diffuse pleural disease. AJR Am J Roentgenol. 1989;154(2L).",CT in differential diagnosis of diffuse pleural disease,AJR Am J Roentgenol,1989,154,2L,,,,Leung AN; Muller NL; Miller RR
86,"Scott EM, Marshall TJ, Flower C. Diffuse pleural thickening: percutaneous CT-guided cutting needle biopsy. Radiology. 1995;194(2+).",Diffuse pleural thickening: percutaneous CT-guided cutting needle biopsy,Radiology,1995,194,2+,,,,Scott EM; Marshall TJ; Flower C
87,"Falaschi F, Battolla L, Mascalchi M. Usefulness of MR signal intensity in distinguishing benign from malignant pleural disease. AJR Am J Roentgenol. 1995;166(2+).",Usefulness of MR signal intensity in distinguishing benign from malignant pleural disease,AJR Am J Roentgenol,1995,166,2+,,,,Falaschi F; Battolla L; Mascalchi M
88,"Knuuttila A, Kivisaari L, Kivisaari A. Evaluation of pleural disease using MR and CT. Acta Radiol. 2001;42(2+).",Evaluation of pleural disease using MR and CT,Acta Radiol,2001,42,2+,,,,Knuuttila A; Kivisaari L; Kivisaari A
89,"Geisel FL, Bischoff H, Tengg-Kobligk V, H. Dynamic contrast enhanced MRI of malignant pleural mesothelioma: a feasibility study of non-invasive assessment, therapeutic follow-up, and possible predictor of improved outcome. Chest. 2006;129(2+).","Dynamic contrast enhanced MRI of malignant pleural mesothelioma: a feasibility study of non-invasive assessment, therapeutic follow-up, and possible predictor of improved outcome",Chest,2006,129,2+,,,,Geisel FL; Bischoff H; Tengg-Kobligk V; H
90,"Duysinx B, Nguyen D, Louis R. Evaluation of pleural disease with 18-Fluorodeoxyglucose positron emission tomography imaging. Chest. 2004;125.",Evaluation of pleural disease with 18-Fluorodeoxyglucose positron emission tomography imaging,Chest,2004,125,,,,,Duysinx B; Nguyen D; Louis R
91,"Bury TH, Paulus P, Dowlati A. Evaluation of pleural disease with FDG-PET imaging: preliminary report. Thorax. 1997;52.",Evaluation of pleural disease with FDG-PET imaging: preliminary report,Thorax,1997,52,,,,,Bury TH; Paulus P; Dowlati A
92,"Kwek BH, Aquino SL, Fischman J. Fluorodeoxyglucose positron emission tomography and CT after talc pleurodesis. Chest. 2004;125(3).",Fluorodeoxyglucose positron emission tomography and CT after talc pleurodesis,Chest,2004,125,3,,,,Kwek BH; Aquino SL; Fischman J
93,"Steinert HC, Dellea M, Burger C. Therapy response evauation in malignant pleural mesothelioma with integrated PET-CT imaging. Lung Cancer. 2005;49(Suppl 1).",Therapy response evauation in malignant pleural mesothelioma with integrated PET-CT imaging,Lung Cancer,2005,49,Suppl 1,,,,Steinert HC; Dellea M; Burger C
94,"Ceresoli GL, Chiti A, Zucali PA. Early response evaluation in malignant pleural mesothelioma by positron emission tomography with 18F-fluorodeoxyglucose. J Clin Oncol. 2006;24.",Early response evaluation in malignant pleural mesothelioma by positron emission tomography with 18F-fluorodeoxyglucose,J Clin Oncol,2006,24,,,,,Ceresoli GL; Chiti A; Zucali PA
95,"Francis RJ, Byrne MJ, Van Der Schaaf AA. Early prediction of response to chemotherapy and survival in malignant pleural mesothelioma using a novel semiautomated 3-dimensional volume-based analysis of serial 18 F-FDG PET scans. J Nucl Med. 2007;48.",Early prediction of response to chemotherapy and survival in malignant pleural mesothelioma using a novel semiautomated 3-dimensional volume-based analysis of serial 18 F-FDG PET scans,J Nucl Med,2007,48,,,,,Francis RJ; Byrne MJ; Van Der Schaaf AA
96,Tomlinson JR. Invasive procedures in the diagnosis of pleural disease. Semin Respir Med. 1987;9(2+).,Invasive procedures in the diagnosis of pleural disease,Semin Respir Med,1987,9,2+,,,,Tomlinson JR
97,"Adams RF, Gleeson FV. Percutaneous image-guided cutting needle biopsy of the pleura in the diagnosis of malignant mesothelioma. Chest. 2001;120(2L).",Percutaneous image-guided cutting needle biopsy of the pleura in the diagnosis of malignant mesothelioma,Chest,2001,120,2L,,,,Adams RF; Gleeson FV
98,"Adams RF, Gleeson FV. Percutaneous image-guided cutting-needle biopsy of the pleura in the presence of a suspected malignant effusion. Radiology. 2001;219(2+).",Percutaneous image-guided cutting-needle biopsy of the pleura in the presence of a suspected malignant effusion,Radiology,2001,219,2+,,,,Adams RF; Gleeson FV
99,"Maskell NA, Gleeson FV, Davies R, Diacon AH, Van De Wal BW, Wyser C. Standard pleural biopsy versus CT guided cutting-needle biopsy for the diagnosis of malignant disease in pleural effusions: a randomised controlled trial. Ann Intern Med. 1988;361(3):106.",Standard pleural biopsy versus CT guided cutting-needle biopsy for the diagnosis of malignant disease in pleural effusions: a randomised controlled trial,Ann Intern Med,1988,361,3,106,,,Maskell NA; Gleeson FV; Davies R; Diacon AH; Van De Wal BW; Wyser C
