#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Review A. {published data only}. {published data only}. 2012;None.,{published data only},{published data only},2012,,,,,,Review A
12,Cook. 2009 {published data only} Cook IJ. Oropharyngeal dysphagia. Gastroenterology Clinics of North America. 2009;38(3).,2009 {published data only} Cook IJ. Oropharyngeal dysphagia,Gastroenterology Clinics of North America,2009,38,3,,,,Cook
13, Cosentini 1998 {published data only}. Cosentini 1998 {published data only}. None;None.,Cosentini 1998 {published data only},Cosentini 1998 {published data only},,,,,,,
14,"Cosentini EP, Sautner T, Gnant M, Winkelbauer F, Teleky B, Jakesz R. Outcomes of surgical, percutaneous endoscopic, and percutaneous radiologic gastrostomies. Archives of Surgery. 1998;133(10).","Outcomes of surgical, percutaneous endoscopic, and percutaneous radiologic gastrostomies",Archives of Surgery,1998,133,10,,,,Cosentini EP; Sautner T; Gnant M; Winkelbauer F; Teleky B; Jakesz R
15,"Cowen 1997 {published Data Only} Cowen ME, Simpson SL, Vettese TE. Survival estimates for patients with abnormal swallowing studies. Journal of General Internal Medicine. 1997;12(2).",Survival estimates for patients with abnormal swallowing studies,Journal of General Internal Medicine,1997,12,2,,,,Cowen 1997 {published Data Only} Cowen ME; Simpson SL; Vettese TE
16,"Dennis, Dennis MS, Lewis SC, Warlow C. Effect of timing and method of enteral tube feeding for dysphagic stroke patients (FOOD): a multicentre randomised controlled trial. Lancet. 2005;365.",Effect of timing and method of enteral tube feeding for dysphagic stroke patients (FOOD): a multicentre randomised controlled trial,Lancet,2005,365,,,,,Dennis; Dennis MS; Lewis SC; Warlow C
17,Dennis. {published data only} Dennis M. Dysphagia in acute stroke: a long-awaited trial. Lancet Neurology. 2006;5(1).,{published data only} Dennis M. Dysphagia in acute stroke: a long-awaited trial,Lancet Neurology,2006,5,1,,,,Dennis
18,"Dennis ; Dennis M, Lewis S, Cranswick G, Forbes J, Trial Collaboration. FOOD: a multicentre randomised trial evaluating feeding policies in patients admitted to hospital with a recent stroke. Health Technology Assessment. 2006;10(2).",FOOD: a multicentre randomised trial evaluating feeding policies in patients admitted to hospital with a recent stroke,Health Technology Assessment,2006,10,2,,,,Dennis ; Dennis M; Lewis S; Cranswick G; Forbes J; Trial Collaboration
19,"Desport ; Desport JC, Mabrouk T, Bouillet P et al.. Complications and survival following radiologically and endoscopically-guided gastronomy in patients with amyotrophic lateral sclerosis. Amyotrophic Lateral Sclerosis and Other Motor Neuron Disorders. 2005;6(2).",Complications and survival following radiologically and endoscopically-guided gastronomy in patients with amyotrophic lateral sclerosis,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disorders,2005,6,2,,,,Desport ; Desport JC; Mabrouk T; Bouillet P; Perna A; Preux PM; Couratier P; Jefford JM; Wolf D; Williamson P; Neild P
20,"Fang ;, Fang JC. Percutaneous access for enteral nutrition. Techniques in Gastrointestinal Endoscopy. 2007;9(3).",Percutaneous access for enteral nutrition,Techniques in Gastrointestinal Endoscopy,2007,9,3,,,,Fang ;; Fang JC
21,Foote. {published data only}. {published data only}. 2004;None.,{published data only},{published data only},2004,,,,,,Foote
22,"Foote JA, Kemmeter PR, Prichard PA, Baker RS, Paauw JD, Gawel JC. A randomized trial of endoscopic and fluoroscopic placement of postpyloric feeding tubes in Cochrane Database of Systematic Reviews critically ill patients. Journal of Parenteral and Enteral Nutrition. 2004;28(3).",A randomized trial of endoscopic and fluoroscopic placement of postpyloric feeding tubes in Cochrane Database of Systematic Reviews critically ill patients,Journal of Parenteral and Enteral Nutrition,2004,28,3,,,,Foote JA; Kemmeter PR; Prichard PA; Baker RS; Paauw JD; Gawel JC
23,"Galaski ;, Galaski A, Peng WW et al.. Gastrostomy tube placement by radiological versus endoscopic methods in an acute care setting: a retrospective review of frequency, indications, complications and outcomes. Canadian Journal of Gastroenterology. 2009;23(2).","Gastrostomy tube placement by radiological versus endoscopic methods in an acute care setting: a retrospective review of frequency, indications, complications and outcomes",Canadian Journal of Gastroenterology,2009,23,2,,,,Galaski ;; Galaski A; Peng WW; Ellis M; Darling P; Common A; Tucker E
24,"Galletti ;, Galletti R, Finocchiaro E, Repici A, Saracco G, Zanardi M. Comparison of complication rates between endoscopic and fluoroscopic percutaneous gastrostomies. Nutrition. 2001;17(11-12).",Comparison of complication rates between endoscopic and fluoroscopic percutaneous gastrostomies,Nutrition,2001,17,11-12,,,,Galletti ;; Galletti R; Finocchiaro E; Repici A; Saracco G; Zanardi M
25,Gledhill. {published data only}. {published data only}. 2011;None.,{published data only},{published data only},2011,,,,,,Gledhill
26,"Gledhill T, Ormerod C, Lekharaju V, Smith A, Bliss P. Survival of patients with motor neurone disease (MND) following referral for nutritional assessment. Proceedings of the Nutrition Society. 2011;70(5):315.",Survival of patients with motor neurone disease (MND) following referral for nutritional assessment,Proceedings of the Nutrition Society,2011,70,5,315,,,Gledhill T; Ormerod C; Lekharaju V; Smith A; Bliss P
27,Grant. {published data only}. {published data only}. 2009;None.,{published data only},{published data only},2009,,,,,,Grant
28,"Grant DG, Bradley PT, Pothier DD, Bailey D, Caldera S, Baldwin DL. Complications following gastrostomy tube insertion in patients with head and neck cancer: a prospective multi-institution study, systematic review and meta-analysis. Clinical Otolaryngology. 2009;34(2).","Complications following gastrostomy tube insertion in patients with head and neck cancer: a prospective multi-institution study, systematic review and meta-analysis",Clinical Otolaryngology,2009,34,2,,,,Grant DG; Bradley PT; Pothier DD; Bailey D; Caldera S; Baldwin DL
29,"Greenwood ;, Greenwood DI. Nutrition management of amyotrophic lateral sclerosis. Nutrition in Clinical Practice. 2013;28(3).",Nutrition management of amyotrophic lateral sclerosis,Nutrition in Clinical Practice,2013,28,3,,,,Greenwood ;; Greenwood DI
30,"Guo, Guo JJ, Liang WX, Zhang T. A prospective comparative study of three treatment options in patients with malignant gastric outlet obstruction. Zhonghua Wei Chang Wai Ke za Zhi. Chinese Journal of Gastrointestinal Surgery. 2010;13(8).",A prospective comparative study of three treatment options in patients with malignant gastric outlet obstruction. Zhonghua Wei Chang Wai Ke za Zhi,Chinese Journal of Gastrointestinal Surgery,2010,13,8,,,,Guo; Guo JJ; Liang WX; Zhang T
31,"Hoffer, Hoffer EK, Cosgrove JM, Levin DQ, Herskowitz MM, Sclafani SJ. Radiologic gastrojejunostomy and percutaneous endoscopic gastrostomy: a prospective, randomized comparison. Journal of Vascular and Interventional Radiology. 1999;10(4).","Radiologic gastrojejunostomy and percutaneous endoscopic gastrostomy: a prospective, randomized comparison",Journal of Vascular and Interventional Radiology,1999,10,4,,,,Hoffer; Hoffer EK; Cosgrove JM; Levin DQ; Herskowitz MM; Sclafani SJ
32,"Katzberg ;, Katzberg HD, Benatar M et al.. Enteral tube feeding for amyotrophic lateral sclerosis/motor neuron disease. Cochrane Database of Systematic Reviews. 2003;19(1).",Enteral tube feeding for amyotrophic lateral sclerosis/motor neuron disease,Cochrane Database of Systematic Reviews,2003,19,1,,,,Katzberg ;; Katzberg HD; Benatar M; Wilbraham L; Bullen K; Marriott A; Lawrance JA; Johnson RJ
33,"Nauze L, La Nauze ;, Collins RJ et al.. Outcomes of percutaneous endoscopic gastrostomy versus radiologically inserted gastrostomy tube insertion at a tertiary hospital. e-SPEN Journal. 2012;7.",Outcomes of percutaneous endoscopic gastrostomy versus radiologically inserted gastrostomy tube insertion at a tertiary hospital,e-SPEN Journal,2012,7,,,,,Nauze L; La Nauze ;; Collins RJ; Lyon K; Bailey S; Kemp M; Nyulasi W; I
34,Langmore. {published data only}. {published data only}. 2009;None.,{published data only},{published data only},2009,,,,,,Langmore
35,"Langmore SE, Grillone G, Elackattu A, Walsh M. Disorders of swallowing: palliative care. Otolaryngologic Clinics of North America. 2009;42(1).",Disorders of swallowing: palliative care,Otolaryngologic Clinics of North America,2009,42,1,,,,Langmore SE; Grillone G; Elackattu A; Walsh M
36,"Laskaratos ; Laskaratos FM, Walker M, Wojciechowska V, Jenkins A. 30-Day mortality risk factors for percutaneous endoscopic and radiologically-inserted gastrostomy. Gut. 2012;61(Suppl 2).",30-Day mortality risk factors for percutaneous endoscopic and radiologically-inserted gastrostomy,Gut,2012,61,Suppl 2,,,,Laskaratos ; Laskaratos FM; Walker M; Wojciechowska V; Jenkins A
37,"Laskaratos ; Laskaratos FM, Walker M, Gowribalan J et al.. Survival analysis a er gastrostomy: a single-centre, observational study comparing radiological and endoscopic insertion. European Journal of Gastroenterology & Hepatology. 2003;1(7).","Survival analysis a er gastrostomy: a single-centre, observational study comparing radiological and endoscopic insertion",European Journal of Gastroenterology & Hepatology,2003,1,7,,,,Laskaratos ; Laskaratos FM; Walker M; Gowribalan J; Wojciechowska V; Jenkins A; Js; Mcalindon ME; Grant J; Robson HE; Morley SR; Lee F
38,"Nguyen ; Nguyen NP, North D, Smith HJ, Dutta S, Alfieri A, Karlsson U. Safety and effectiveness of prophylactic gastrostomy tubes for head and neck cancer patients undergoing chemoradiation. Surgical Oncology. 2006;15(4).",Safety and effectiveness of prophylactic gastrostomy tubes for head and neck cancer patients undergoing chemoradiation,Surgical Oncology,2006,15,4,,,,Nguyen ; Nguyen NP; North D; Smith HJ; Dutta S; Alfieri A; Karlsson U
39,"O'dowd ; {published Data Only} O'dowd M, Given MF, Lee MJ. New approaches to percutaneous gastrostomy. Seminars in Interventional Radiology. 2004;21(3).",New approaches to percutaneous gastrostomy,Seminars in Interventional Radiology,2004,21,3,,,,O'dowd ; {published Data Only} O'dowd M; Given MF; Lee MJ
40,Osborn. {published data only}. {published data only}. 2013;None.,{published data only},{published data only},2013,,,,,,Osborn
41,"Osborn J, Doolan C. A national survey of supportive practices for patients undergoing radiotherapy for oral cancers. Radiography. 2013;19(3).",A national survey of supportive practices for patients undergoing radiotherapy for oral cancers,Radiography,2013,19,3,,,,Osborn J; Doolan C
42,"Piquet ;, Piquet M, Shaw C, Willey E, Ampong MA, Wijesekera L. Nutritional factors associated with survival following enteral tube feeding in patients with motor neurone disease. Journal of Human Nutrition & Dietetics. 2006;162(2).",Nutritional factors associated with survival following enteral tube feeding in patients with motor neurone disease,Journal of Human Nutrition & Dietetics,2006,162,2,,,,Piquet ;; Piquet M; Shaw C; Willey E; Ampong MA; Wijesekera L
43,"Rustom ;, Only} Rustom IK, Jebreel A, Tayyab M, England RJ, Stafford ND. Percutaneous endoscopic, radiological and surgical gastrostomy tubes: a comparison study in head and neck cancer patients. Journal of Laryngology and Otology. 2006;120(6).","Percutaneous endoscopic, radiological and surgical gastrostomy tubes: a comparison study in head and neck cancer patients",Journal of Laryngology and Otology,2006,120,6,,,,Rustom ;; Only} Rustom IK; Jebreel A; Tayyab M; England RJ; Stafford ND
44,"Sampson SE, Jones CB, L. Enteral tube feeding for older people with advanced dementia. Cochrane Database of Systematic Reviews. 2009;15(2):7209.",Enteral tube feeding for older people with advanced dementia,Cochrane Database of Systematic Reviews,2009,15,2,7209,,,Sampson SE; Jones CB; L
45,Silander. {published data only}. {published data only}. 2013;None.,{published data only},{published data only},2013,,,,,,Silander
46,"Silander E, Jacobsson I, Berteus-Forslund H, Hammerlid E. Energy intake and sources of nutritional support in patients with head and neck cancer--a randomised longitudinal study. European Journal of Clinical Nutrition. 2013;67(1).",Energy intake and sources of nutritional support in patients with head and neck cancer--a randomised longitudinal study,European Journal of Clinical Nutrition,2013,67,1,,,,Silander E; Jacobsson I; Berteus-Forslund H; Hammerlid E
47,"Silas ; Silas AM, Pearce LF, Lestina LS, Grove MR, Tosteson A, Manganiello WD. Percutaneous radiologic gastrostomy versus percutaneous endoscopic gastrostomy: a comparison of indications, complications and outcomes in 370 patients. European Journal of Radiology. 2005;56(1).","Percutaneous radiologic gastrostomy versus percutaneous endoscopic gastrostomy: a comparison of indications, complications and outcomes in 370 patients",European Journal of Radiology,2005,56,1,,,,Silas ; Silas AM; Pearce LF; Lestina LS; Grove MR; Tosteson A; Manganiello WD
48,"Spelsberg ;, Spelsberg FW, Hoffmann RT et al.. CT fluoroscopy guided percutaneous gastrostomy or jejunostomy without (CT-PG/PJ) or with simultaneous endoscopy (CT-PEG/PEJ) in otherwise untreatable patients. Surgical Endoscopy. 2013;27(4).",CT fluoroscopy guided percutaneous gastrostomy or jejunostomy without (CT-PG/PJ) or with simultaneous endoscopy (CT-PEG/PEJ) in otherwise untreatable patients,Surgical Endoscopy,2013,27,4,,,,Spelsberg ;; Spelsberg FW; Hoffmann RT; Lang RA; Winter H; Weidenhagen R; Reiser M
49,"Terre ; Terre R, Mearin F. Prospective evaluation of oro-pharyngeal dysphagia a er severe traumatic brain injury. Brain Injury. 2007;21(13-14).",Prospective evaluation of oro-pharyngeal dysphagia a er severe traumatic brain injury,Brain Injury,2007,21,13-14,,,,Terre ; Terre R; Mearin F
50,Thomas. {published data only} Thomas DR. Hard to swallow: management of dysphagia in nursing home residents. Journal of the American Medical Directors Association. 2008;9(7).,{published data only} Thomas DR. Hard to swallow: management of dysphagia in nursing home residents,Journal of the American Medical Directors Association,2008,9,7,,,,Thomas
51,Thornton. {published data only}. {published data only}. 2000;None.,{published data only},{published data only},2000,,,,,,Thornton
52,"Thornton FJ, Varghese JC, Haslam PJ, Mcgrath FP, Keeling F, Lee MJ. Percutaneous gastrostomy in patients who fail or are unsuitable for endoscopic gastrostomy. Cardiovascular and Interventional Radiology. 2000;23(4).",Percutaneous gastrostomy in patients who fail or are unsuitable for endoscopic gastrostomy,Cardiovascular and Interventional Radiology,2000,23,4,,,,Thornton FJ; Varghese JC; Haslam PJ; Mcgrath FP; Keeling F; Lee MJ
53,"Thornton ; Only} Thornton FJ, Fotheringham T, Alexander M, Hardiman O, Mcgrath FP, Lee MJ. Amyotrophic lateral sclerosis: enteral nutrition provision-endoscopic or radiologic gastrostomy?. Radiology. 2002;224(3).",Amyotrophic lateral sclerosis: enteral nutrition provision-endoscopic or radiologic gastrostomy?,Radiology,2002,224,3,,,,Thornton ; Only} Thornton FJ; Fotheringham T; Alexander M; Hardiman O; Mcgrath FP; Lee MJ
54,Wollman. {published data only}. {published data only}. 1995;None.,{published data only},{published data only},1995,,,,,,Wollman
55,"Wollman B, Agostino D, Walus-Wigle HB, Easter JR, Beale DW, A. Radiologic, endoscopic, and surgical gastrostomy: an institutional evaluation and meta-analysis of the literature. Radiology. 1995;197(3).","Radiologic, endoscopic, and surgical gastrostomy: an institutional evaluation and meta-analysis of the literature",Radiology,1995,197,3,,,,Wollman B; Agostino D; Walus-Wigle HB; Easter JR; Beale DW; A
56,Wollman. {published data only}. {published data only}. 1997;None.,{published data only},{published data only},1997,,,,,,Wollman
57,"Wollman B, Agostino D, HB. Percutaneous radiologic and endoscopic gastrostomy: a 3-year institutional analysis of procedure performance. American Journal of Roentgenology. 1997;169(6).",Percutaneous radiologic and endoscopic gastrostomy: a 3-year institutional analysis of procedure performance,American Journal of Roentgenology,1997,169,6,,,,Wollman B; Agostino D; HB
58,Bannerman. None. None. 2000;None.,,,2000,,,,,,Bannerman
59,"Bannerman E, Pendlebury J, Phillips F, Ghosh S. A cross sectional and longitudinal study of health-related quality of life a er percutaneous gastrostomy. European Journal of Gastroenterology and Hepatology. 2000;12(10).",A cross sectional and longitudinal study of health-related quality of life a er percutaneous gastrostomy,European Journal of Gastroenterology and Hepatology,2000,12,10,,,,Bannerman E; Pendlebury J; Phillips F; Ghosh S
60,Chandu. None. None. 2003;None.,,,2003,,,,,,Chandu
61,"Chandu A, Smith AC, Douglas M. Percutaneous endoscopic gastrostomy in patients undergoing resection for oral tumors: a retrospective review of complications and outcomes. Journal of Oral and Maxillofacial Surgery. 2003;61(11).",Percutaneous endoscopic gastrostomy in patients undergoing resection for oral tumors: a retrospective review of complications and outcomes,Journal of Oral and Maxillofacial Surgery,2003,61,11,,,,Chandu A; Smith AC; Douglas M
62,Chio. None. None. 2004;None.,,,2004,,,,,,Chio
63,"Chio A, Galletti R, Finocchiaro C, Righi D, Ruffino M, Calvo A. Percutaneous radiological gastrostomy: a safe and effective method of nutritional tube placement in advanced ALS. Journal of Neurology, Neurosurgery and Psychiatry. 2004;75(4).",Percutaneous radiological gastrostomy: a safe and effective method of nutritional tube placement in advanced ALS,"Journal of Neurology, Neurosurgery and Psychiatry",2004,75,4,,,,Chio A; Galletti R; Finocchiaro C; Righi D; Ruffino M; Calvo A
64,De Baere. None. None. 1999;None.,,,1999,,,,,,De Baere
65,"De Baere T, Chapot R, Kuoch V, Chevallier P, Delille JP, Domenge C. Percutaneous gastrostomy with fluoroscopic guidance: single-center experience in 500 consecutive cancer patients. Radiology. 1999;210(3).",Percutaneous gastrostomy with fluoroscopic guidance: single-center experience in 500 consecutive cancer patients,Radiology,1999,210,3,,,,De Baere T; Chapot R; Kuoch V; Chevallier P; Delille JP; Domenge C
66,Dinkel. None. None. 2002;None.,,,2002,,,,,,Dinkel
67,"Dinkel H, Beer KT, Zbaren P, Triller J. Establishing radiological percutaneous gastrostomy with balloon-retained tubes as an alternative to endoscopic and surgical gastrostomy in patients with tumours of the head and neck or oesophagus. British Journal of Radiology. 2002;75(892).",Establishing radiological percutaneous gastrostomy with balloon-retained tubes as an alternative to endoscopic and surgical gastrostomy in patients with tumours of the head and neck or oesophagus,British Journal of Radiology,2002,75,892,,,,Dinkel H; Beer KT; Zbaren P; Triller J
68,Dwyer. None. None. 2003;None.,,,2003,,,,,,Dwyer
69,"Dwyer KM, Watts DD, Thurber JS, Benoit RS, Fakhry SM. Percutaneous endoscopic gastrostomy: the preferred method of elective feeding tube placement in trauma patients. The Journal of Trauma. 2002;52(1).",Percutaneous endoscopic gastrostomy: the preferred method of elective feeding tube placement in trauma patients,The Journal of Trauma,2002,52,1,,,,Dwyer KM; Watts DD; Thurber JS; Benoit RS; Fakhry SM
70,Foutch. None. None. 1990;None.,,,1990,,,,,,Foutch
71,"Foutch PG, Casola E, G, Agostino D, H. Controversies, dilemmas, and dialogues. Nonsurgical gastrostomy: X-ray or endoscopy?. The American Journal of Gastroenterology. 1990;85(12).","Controversies, dilemmas, and dialogues. Nonsurgical gastrostomy: X-ray or endoscopy?",The American Journal of Gastroenterology,1990,85,12,,,,Foutch PG; Casola E; G; Agostino D; H
72,Gauderer. None. None. 1980;None.,,,1980,,,,,,Gauderer
73,"Gauderer M, Ponsky JL, Izant RJ. Gastrostomy without laparotomy: a percutaneous endoscopic technique. Journal of Pediatric Surgery. 1980;15(6).",Gastrostomy without laparotomy: a percutaneous endoscopic technique,Journal of Pediatric Surgery,1980,15,6,,,,Gauderer M; Ponsky JL; Izant RJ
74, Given. Given. 2005;None.,Given,Given,2005,,,,,,
75,"Given MF, Hanson JJ, Lee MJ. Interventional radiology techniques for provision of enteral feeding. CardioVascular and Interventional Radiology. 2005;28(6).",Interventional radiology techniques for provision of enteral feeding,CardioVascular and Interventional Radiology,2005,28,6,,,,Given MF; Hanson JJ; Lee MJ
76,Greff. None. None. 1999;None.,,,1999,,,,,,Greff
77,Greff M. Guidelines of the French Society of Digestive Endoscopy (SFED): endoscopic gastrostomy. Endoscopy. 1999;31(2).,Guidelines of the French Society of Digestive Endoscopy (SFED): endoscopic gastrostomy,Endoscopy,1999,31,2,,,,Greff M
78,Herman. None. None. 1992;None.,,,1992,,,,,,Herman
79,"Herman LL, Hoskins WJ, Shike M. Percutaneous endoscopic gastrostomy for decompression of the stomach and small bowel. Gastrointestinal Endoscopy. 1992;38.",Percutaneous endoscopic gastrostomy for decompression of the stomach and small bowel,Gastrointestinal Endoscopy,1992,38,,,,,Herman LL; Hoskins WJ; Shike M
80,Higgins. None. None. 2011;None.,,,2011,,,,,,Higgins
81, Cochrane Handbook for Systematic Reviews of Interventions Version 5. The Cochrane Collaboration. 2011;None.,Cochrane Handbook for Systematic Reviews of Interventions Version 5,The Cochrane Collaboration,2011,,,,,,
82,Hossein. None. None. 2011;None.,,,2011,,,,,,Hossein
83,"Hossein SM, Leili M, Hossein AM. Acceptability and outcomes of percutaneous endoscopic gastrostomy (PEG) tube placement and patient quality of life. The Turkish Journal of Gastroenterology. 2011;22(2).",Acceptability and outcomes of percutaneous endoscopic gastrostomy (PEG) tube placement and patient quality of life,The Turkish Journal of Gastroenterology,2011,22,2,,,,Hossein SM; Leili M; Hossein AM
84,Hujala. None. None. 2004;None.,,,2004,,,,,,Hujala
85,"Hujala K, Sipilä J, Pulkkinen J, Grenman R. Early percutaneous endoscopic gastrostomy nutrition in head and neck cancer patients. Acta Oto-laryngologica. 2004;124(7).",Early percutaneous endoscopic gastrostomy nutrition in head and neck cancer patients,Acta Oto-laryngologica,2004,124,7,,,,Hujala K; Sipilä J; Pulkkinen J; Grenman R
86,Lawrance. None. None. 2003;None.,,,2003,,,,,,Lawrance
87,"Lawrance JA, Mais KL, Slevin NJ. Radiologically inserted gastrostomies: their use in patients with cancer of the upper aerodigestive tract. Clinical Oncology. 2003;15(3).",Radiologically inserted gastrostomies: their use in patients with cancer of the upper aerodigestive tract,Clinical Oncology,2003,15,3,,,,Lawrance JA; Mais KL; Slevin NJ
88,Loser. None. None. 1998;None.,,,1998,,,,,,Loser
89,"Loser C, Wolters S, Folsch UR. Enteral long-term nutrition via percutaneous endoscopic gastrostomy (PEG) in 210 patients: a four-year prospective study. Digestive Diseases and Sciences. 1998;43.",Enteral long-term nutrition via percutaneous endoscopic gastrostomy (PEG) in 210 patients: a four-year prospective study,Digestive Diseases and Sciences,1998,43,,,,,Loser C; Wolters S; Folsch UR
90,Loser. None. None. 2003;None.,,,2003,,,,,,Loser
91,"Loser C, Von HU, Kuchler T, Rzehak P, Muller MJ. Quality of life and nutritional state in patients on home enteral tube feeding. Nutrition. 2003;19.",Quality of life and nutritional state in patients on home enteral tube feeding,Nutrition,2003,19,,,,,Loser C; Von HU; Kuchler T; Rzehak P; Muller MJ
92,Loser. None. None. 2005;None.,,,2005,,,,,,Loser
93,"Löser C, Aschl G, Hébuterne X, Mathus-Vliegen EM, Muscaritoli M, Niv Y. ESPEN guidelines on artificial enteral nutrition -percutaneous endoscopic gastrostomy (PEG). Clinical Nutrition. 2005;24(5).",ESPEN guidelines on artificial enteral nutrition -percutaneous endoscopic gastrostomy (PEG),Clinical Nutrition,2005,24,5,,,,Löser C; Aschl G; Hébuterne X; Mathus-Vliegen EM; Muscaritoli M; Niv Y
94,Mirich. None. None. 1990;None.,,,1990,,,,,,Mirich
95,"Mirich DR, Gray RR. Infracolic percutaneous gastrojejunostomy: technical note. Cardiovascular and Interventional Radiology. 1990;12(6).",Infracolic percutaneous gastrojejunostomy: technical note,Cardiovascular and Interventional Radiology,1990,12,6,,,,Mirich DR; Gray RR
96,Moran. None. None. 1990;None.,,,1990,,,,,,Moran
97,"Moran BJ, Taylor MB, Johnson CD. Percutaneous endoscopic gastrostomy. The British Journal of Surgery. 1990;77(8).",Percutaneous endoscopic gastrostomy,The British Journal of Surgery,1990,77,8,,,,Moran BJ; Taylor MB; Johnson CD
98,Möller. None. None. 1999;None.,,,1999,,,,,,Möller
99,"Möller P, Lindberg CG, Zilling T. Gastrostomy by various techniques: evaluation of indications, outcome, and complications. Scandinavian Journal of Gastroenterology. 1999;34(10).","Gastrostomy by various techniques: evaluation of indications, outcome, and complications",Scandinavian Journal of Gastroenterology,1999,34,10,,,,Möller P; Lindberg CG; Zilling T
100,Nicholson. None. None. 2000;None.,,,2000,,,,,,Nicholson
101,"Nicholson FB, Korman MG, Richardson MA. Percutaneous endoscopic gastrostomy: a review of indications, complications and outcome. Journal of Gastroenterology and Hepatology. 2000;15(1).","Percutaneous endoscopic gastrostomy: a review of indications, complications and outcome",Journal of Gastroenterology and Hepatology,2000,15,1,,,,Nicholson FB; Korman MG; Richardson MA
102,Preshaw. None. None. 1981;None.,,,1981,,,,,,Preshaw
