#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Armstrong C. Lung Cancer Screening Recommendations from the ACCP. Am. Fam. Physician. 2018;98(11).,Lung Cancer Screening Recommendations from the ACCP,Am. Fam. Physician,2018,98,11,,,,Armstrong C
12,"Goldstraw P, Chansky K, Crowley J. The IASLC Lung Cancer Staging Project: Proposals for Revision of the TNM Stage Groupings in the Forthcoming (Eighth) Edition of the TNM Classification for Lung Cancer. J. Thorac. Oncol. 2016;11(1). doi:10.1016/j.jtho.2015.09.009.",The IASLC Lung Cancer Staging Project: Proposals for Revision of the TNM Stage Groupings in the Forthcoming (Eighth) Edition of the TNM Classification for Lung Cancer,J. Thorac. Oncol,2016,11,1,,10.1016/j.jtho.2015.09.009,,Goldstraw P; Chansky K; Crowley J
13,Whiting PF. QUADAS-2: A Revised Tool for the Quality Assessment of Diagnostic Accuracy Studies. Ann. Intern. Med. 2011;155(8):529.,QUADAS-2: A Revised Tool for the Quality Assessment of Diagnostic Accuracy Studies,Ann. Intern. Med,2011,155,8,529,,,Whiting PF
14,"Casal RF, Sarkiss M, Jones AK et al.. Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study. J. Thorac. Dis. 2018;10(12).",Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study,J. Thorac. Dis,2018,10,12,,,,Casal RF; Sarkiss M; Jones AK; Stewart J; Tam A; Grosu HB; Ost DE; Jimenez CA; Eapen GA
15,"Hohenforst-Schmidt W, Zarogoulidis P, Vogl T et al.. Cone Beam Computertomography (CBCT) in Interventional Chest Medicine -High Feasibility for Endobronchial Realtime Navigation. J. Cancer. 2014;5(3).",Cone Beam Computertomography (CBCT) in Interventional Chest Medicine -High Feasibility for Endobronchial Realtime Navigation,J. Cancer,2014,5,3,,,,Hohenforst-Schmidt W; Zarogoulidis P; Vogl T; Turner JF; Browning R; Linsmeier B; Huang H; Li Q; Darwiche K; Freitag L; Simoff M; Kioumis I; Zarogoulidis K; Brachmann J
16,"Lin C, Fan H, Yao Z et al.. Conebeam computed tomography-derived augmented fluoroscopy improves the diagnostic yield of endobronchial ultrasound-guided transbronchial biopsy for peripheral pulmonary lesions. Diagnostics. 2022;12(1):41.",Conebeam computed tomography-derived augmented fluoroscopy improves the diagnostic yield of endobronchial ultrasound-guided transbronchial biopsy for peripheral pulmonary lesions,Diagnostics,2022,12,1,41,,,Lin C; Fan H; Yao Z; Lin Y; Wen Y; Wu S; Ho C
17,"Verhoeven RL, Van Der Sterren W, Kong W, Langereis S, Van Der Tol P, Van Der Heijden EH. Cone-beam CT and Augmented Fluoroscopy-guided Navigation Bronchoscopy: Radiation Exposure and Diagnostic Accuracy Learning Curves. J. Bronchology Interv. Pulmonol. 2021;28(4).",Cone-beam CT and Augmented Fluoroscopy-guided Navigation Bronchoscopy: Radiation Exposure and Diagnostic Accuracy Learning Curves,J. Bronchology Interv. Pulmonol,2021,28,4,,,,Verhoeven RL; Van Der Sterren W; Kong W; Langereis S; Van Der Tol P; Van Der Heijden EH
18,"Yu K, Yang S, Ko H et al.. Efficacy and Safety of Cone-Beam Computed Tomography-Derived Augmented Fluoroscopy Combined with Endobronchial Ultrasound in Peripheral Pulmonary Lesions. Respiration. 2021;100(6).",Efficacy and Safety of Cone-Beam Computed Tomography-Derived Augmented Fluoroscopy Combined with Endobronchial Ultrasound in Peripheral Pulmonary Lesions,Respiration,2021,100,6,,,,Yu K; Yang S; Ko H; Tsai H; Ko J; Lin C; Ho C; Shih J
19,"Bowling MR, Brown C, Anciano CJ. Feasibility and Safety of the Transbronchial Access Tool for Peripheral Pulmonary Nodule and Mass. Ann. Thorac. Surg. 2017;104(2). doi:10.1016/j.athoracsur.2017.02.035.",Feasibility and Safety of the Transbronchial Access Tool for Peripheral Pulmonary Nodule and Mass,Ann. Thorac. Surg,2017,104,2,,10.1016/j.athoracsur.2017.02.035,,Bowling MR; Brown C; Anciano CJ
20,"Kheir F, Thakore SR, Uribe Becerra JP et al.. Cone-Beam Computed Tomography-Guided Electromagnetic Navigation for Peripheral Lung Nodules. Respiration. 2021;100(1).",Cone-Beam Computed Tomography-Guided Electromagnetic Navigation for Peripheral Lung Nodules,Respiration,2021,100,1,,,,Kheir F; Thakore SR; Uribe Becerra JP; Tahboub M; Kamat R; Abdelghani R; Fernandez-Bussy S; Kaphle UR; Majid A
21,"Pritchett MA, Schampaert S, De Groot JA, Schirmer CC, Van Der Bom I. Cone-Beam CT With Augmented Fluoroscopy Combined With Electromagnetic Navigation Bronchoscopy for Biopsy of Pulmonary Nodules. J. Bronchology Interv. Pulmonol. 2018;25(4).",Cone-Beam CT With Augmented Fluoroscopy Combined With Electromagnetic Navigation Bronchoscopy for Biopsy of Pulmonary Nodules,J. Bronchology Interv. Pulmonol,2018,25,4,,,,Pritchett MA; Schampaert S; De Groot JA; Schirmer CC; Van Der Bom I
22,"Sobieszczyk MJ, Yuan Z, Li W. Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis. J. Thorac. Dis. 2018;10(10). doi:10.21037/jtd.2018.09.16.",Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis,J. Thorac. Dis,2018,10,10,,10.21037/jtd.2018.09.16,,Sobieszczyk MJ; Yuan Z; Li W
23,"Katsis J, Roller L, Lester M et al.. High Accuracy of Digital Tomosynthesis-Guided Bronchoscopic Biopsy Confirmed by Intraprocedural Computed Tomography. Respiration. 2021;100(3).",High Accuracy of Digital Tomosynthesis-Guided Bronchoscopic Biopsy Confirmed by Intraprocedural Computed Tomography,Respiration,2021,100,3,,,,Katsis J; Roller L; Lester M; Johnson J; Lentz R; Rickman O; Maldonado F
24,"Benn BS, Romero AO, Lum M, Krishna G. Robotic-Assisted Navigation Bronchoscopy as a Paradigm Shift in Peripheral Lung Access. Lung. 2021;199(2).",Robotic-Assisted Navigation Bronchoscopy as a Paradigm Shift in Peripheral Lung Access,Lung,2021,199,2,,,,Benn BS; Romero AO; Lum M; Krishna G
25,"Reisenauer J, Duke JD, Kern R, Fernandez-Bussy S, Edell E. Combining Shape-Sensing Robotic Bronchoscopy With Mobile Three-Dimensional Imaging to Verify Tool-in-Lesion and Overcome Divergence: A Pilot Study. Mayo Clinic Proceedings. Innovations, Quality & Outcomes. 2022;6(3).",Combining Shape-Sensing Robotic Bronchoscopy With Mobile Three-Dimensional Imaging to Verify Tool-in-Lesion and Overcome Divergence: A Pilot Study,"Mayo Clinic Proceedings. Innovations, Quality & Outcomes",2022,6,3,,,,Reisenauer J; Duke JD; Kern R; Fernandez-Bussy S; Edell E
26,"Ali EA, Takizawa H, Kawakita N. Transbronchial Biopsy Using an Ultrathin Bronchoscope Guided by Cone-Beam Computed Tomography and Virtual Bronchoscopic Navigation in the Diagnosis of Pulmonary Nodules. Respiration. 2019;98(4). doi:10.1159/000500228.",Transbronchial Biopsy Using an Ultrathin Bronchoscope Guided by Cone-Beam Computed Tomography and Virtual Bronchoscopic Navigation in the Diagnosis of Pulmonary Nodules,Respiration,2019,98,4,,10.1159/000500228,,Ali EA; Takizawa H; Kawakita N
27,"Kawakita N, Takizawa H, Toba H et al.. Cone-beam computed tomography versus computed tomography-guided ultrathin bronchoscopic diagnosis for peripheral pulmonary lesions: A propensity score-matched analysis. Respirology. 2021;26(5).",Cone-beam computed tomography versus computed tomography-guided ultrathin bronchoscopic diagnosis for peripheral pulmonary lesions: A propensity score-matched analysis,Respirology,2021,26,5,,,,Kawakita N; Takizawa H; Toba H; Sakamoto S; Miyamoto N; Matsumoto D; Takashima M; Tsuboi M; Yoshida M; Kawakami Y; Kondo K; Tangoku A
28,"Aftab GM, Hamid K, Frenia D. Diagnostic yield of electromagnetic navigational bronchoscopy in a low volume center when performed by community pulmonologists. Advances in Respiratory Medicine. 2022;31:31. doi:10.5603/arm.a2022.0011.",Diagnostic yield of electromagnetic navigational bronchoscopy in a low volume center when performed by community pulmonologists,Advances in Respiratory Medicine,2022,31,,31,10.5603/arm.a2022.0011,,Aftab GM; Hamid K; Frenia D
29,"Al-Jaghbeer M, Marcus M, Durkin M, Mcguire FR, Iftikhar IH. Diagnostic yield of electromagnetic navigational bronchoscopy. Ther. Adv. Respir. Dis. 2016;10(4).",Diagnostic yield of electromagnetic navigational bronchoscopy,Ther. Adv. Respir. Dis,2016,10,4,,,,Al-Jaghbeer M; Marcus M; Durkin M; Mcguire FR; Iftikhar IH
30,"Andersen FD, Degn KB, Rasmussen TR. Electromagnetic navigation bronchoscopy for lung nodule evaluation. Patient selection, diagnostic variables and safety. Clinical Respiratory Journal. 2020;14(6). doi:10.1111/crj.13168.","Electromagnetic navigation bronchoscopy for lung nodule evaluation. Patient selection, diagnostic variables and safety",Clinical Respiratory Journal,2020,14,6,,10.1111/crj.13168,,Andersen FD; Degn KB; Rasmussen TR
31,"Belanger AR, Burks AC, Chambers DM et al.. Peripheral Lung Nodule Diagnosis and Fiducial Marker Placement Using a Novel Tip-Tracked Electromagnetic Navigation Bronchoscopy System. J Bronchology Interv Pulmonol. 2019;26(1).",Peripheral Lung Nodule Diagnosis and Fiducial Marker Placement Using a Novel Tip-Tracked Electromagnetic Navigation Bronchoscopy System,J Bronchology Interv Pulmonol,2019,26,1,,,,Belanger AR; Burks AC; Chambers DM; Ghosh S; Macrosty CR; Conterato AJ; Rivera MP; Akulian JA
32,"Bellinger C, Poon R, Dotson T. Lesion characteristics affecting yield of electromagnetic navigational bronchoscopy. Respir Med. 2021;180:106357. doi:10.1016/j.rmed.2021.106357.",Lesion characteristics affecting yield of electromagnetic navigational bronchoscopy,Respir Med,2021,180,,106357,10.1016/j.rmed.2021.106357,,Bellinger C; Poon R; Dotson T
33,"Bhatt KM, Tandon YK, Graham R et al.. Electromagnetic Navigational Bronchoscopy versus CT-guided Percutaneous Sampling of Peripheral Indeterminate Pulmonary Nodules: A Cohort Study. Radiology. 2018;286(3).",Electromagnetic Navigational Bronchoscopy versus CT-guided Percutaneous Sampling of Peripheral Indeterminate Pulmonary Nodules: A Cohort Study,Radiology,2018,286,3,,,,Bhatt KM; Tandon YK; Graham R; Lau CT; Lempel JK; Azok JT; Mazzone PJ; Schneider E; Obuchowski NA; Bolen MA
34,"Bowling MR, Kohan MW, Walker P, Efird J, Or SB. The effect of general anesthesia versus intravenous sedation on diagnostic yield and success in electromagnetic navigation bronchoscopy. J Bronchology Interv Pulmonol. 2015;22(1).",The effect of general anesthesia versus intravenous sedation on diagnostic yield and success in electromagnetic navigation bronchoscopy,J Bronchology Interv Pulmonol,2015,22,1,,,,Bowling MR; Kohan MW; Walker P; Efird J; Or SB
35,"Chee A, Stather DR, Maceachern P et al.. Diagnostic utility of peripheral endobronchial ultrasound with electromagnetic navigation bronchoscopy in peripheral lung nodules. Respirology. 2013;18(5).",Diagnostic utility of peripheral endobronchial ultrasound with electromagnetic navigation bronchoscopy in peripheral lung nodules,Respirology,2013,18,5,,,,Chee A; Stather DR; Maceachern P; Martel S; Delage A; Simon M; Dumoulin E; Tremblay A
36,"Cheng SL, Chu CM. Electromagnetic navigation bronchoscopy: the initial experience in Hong Kong. J. Thorac. Dis. 2019;11(4). doi:10.21037/jtd.2018.12.17.",Electromagnetic navigation bronchoscopy: the initial experience in Hong Kong,J. Thorac. Dis,2019,11,4,,10.21037/jtd.2018.12.17,,Cheng SL; Chu CM
37,"Eberhardt R, Anantham D, Herth F, Feller-Kopman D, Ernst A. Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions. Chest. 2007;131(6).",Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions,Chest,2007,131,6,,,,Eberhardt R; Anantham D; Herth F; Feller-Kopman D; Ernst A
38,"Eberhardt R, Anantham D, Ernst A, Feller-Kopman D, Herth F. Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial. Am. J. Respir. Crit. Care Med. 2007;176(1).",Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial,Am. J. Respir. Crit. Care Med,2007,176,1,,,,Eberhardt R; Anantham D; Ernst A; Feller-Kopman D; Herth F
39,"Eberhardt R, Morgan RK, Ernst A, Beyer T, Herth FJ. Comparison of suction catheter versus forceps biopsy for sampling of solitary pulmonary nodules guided by electromagnetic navigational bronchoscopy. Respiration. 2010;79(1).",Comparison of suction catheter versus forceps biopsy for sampling of solitary pulmonary nodules guided by electromagnetic navigational bronchoscopy,Respiration,2010,79,1,,,,Eberhardt R; Morgan RK; Ernst A; Beyer T; Herth FJ
40,"Flenaugh EL, Mohammed KH. Initial Experience Using 4D Electromagnetic Navigation Bronchoscopy System With Tip Tracked Instruments For Localization of Peripheral Lung Nodules. The Internet Journal of, Pulmonary Medicine. 2016;18(1). doi:10.5580/IJPM.37993.",Initial Experience Using 4D Electromagnetic Navigation Bronchoscopy System With Tip Tracked Instruments For Localization of Peripheral Lung Nodules,"The Internet Journal of, Pulmonary Medicine",2016,18,1,,10.5580/IJPM.37993,,Flenaugh EL; Mohammed KH
41,"Folch EE, Bowling MR, Pritchett MA et al.. NAVIGATE 24-Month Results: Electromagnetic Navigation Bronchoscopy for Pulmonary Lesions at 37 Centers in Europe and the United States. J. Thorac. Oncol. 2022;17(4).",NAVIGATE 24-Month Results: Electromagnetic Navigation Bronchoscopy for Pulmonary Lesions at 37 Centers in Europe and the United States,J. Thorac. Oncol,2022,17,4,,,,Folch EE; Bowling MR; Pritchett MA; Murgu SD; Nead MA; Flandes J; Krimsky WS; Mahajan AK; Lemense GP; Murillo BA; Bansal S; Lau K; Gildea TR; Christensen M; Arenberg DA; Singh J; Bhadra K; Hogarth DK; Towe CW; Lamprecht B; Bezzi M; Mattingley JS; Hood KL; Lin H; Wolvers JJ; Khandhar SJ
42,"Folch EE, Pritchett MA, Nead MA et al.. Electromagnetic Navigation Bronchoscopy for Peripheral Pulmonary Lesions: One-Year Results of the Prospective, Multicenter NAVIGATE Study. J Thorac Oncol. None;14(3).","Electromagnetic Navigation Bronchoscopy for Peripheral Pulmonary Lesions: One-Year Results of the Prospective, Multicenter NAVIGATE Study",J Thorac Oncol,,14,3,,,,Folch EE; Pritchett MA; Nead MA; Bowling MR; Murgu SD; Krimsky WS; Murillo BA; Lemense GP; Minnich DJ; Bansal S; Ellis BQ; Mahajan AK; Gildea TR; Bechara RI; Sztejman E; Flandes J; Rickman OB; Benzaquen S; Hogarth DK; Linden PA; Wahidi MM; Mattingley JS; Hood KL; Lin H; Wolvers JJ; Khandhar SJ; Anciano C; Aragaki A; Arenberg D; Awais O; Balestra R; Bansal S; Barisione E; Bechara R; Benzaquen S; Bezzi M; Bhadra K; Bird J; Blanco A; Bowling M; Cerfolio R; Christensen M; Cicenia J; Courey A; Doty J; Eggleston K; Ellis B; Fernandez I; Flandes J; Folch E; Furman A; Gass GD; Gildea T; Gogineni A; Grabcanovic MF; Hinze JD; Hogarth DK; Karunakara R; Kazakov J; Khandhar S; Khurana S; Krimsky W; Krishna G; Krol R; Kropfmüller R; Lamprecht B; Lau K; Lee A; Lemense G; Linden P; Lutz P; Mahajan A; Mahmood K; Maldonado F; Martinez R; Mattingley J; Minnich D; Murgu S; Murillo B; Nason K; Nead M; Parks C; Perret K; Porsch P; Pritchett M; Rickman O; Rosario M; Salio M; Sarkar S; Seevaratnam A; Sethi S; Singh J; Studnicka M; Sztejman E; Takubo T; Teba C; Towe C; Trigiani M; Jeanrichel Vergnon N; Viby M; Wahidi E; Waller B; Wei D; Zanchi M; Zgoda
43,"Garwood SK, Clendening P, Hevelone ND, Hood KL, Pidgeon S, Wudel LJ. Navigational bronchoscopy at a community hospital: clinical and economic outcomes. Lung Cancer Manag. 2016;5(3).",Navigational bronchoscopy at a community hospital: clinical and economic outcomes,Lung Cancer Manag,2016,5,3,,,,Garwood SK; Clendening P; Hevelone ND; Hood KL; Pidgeon S; Wudel LJ
44,"Gildea TR, Mazzone PJ, Karnak D, Meziane M, Mehta AC. Electromagnetic navigation diagnostic bronchoscopy: a prospective study. Am. J. Respir. Crit. Care Med. 2006;174(9).",Electromagnetic navigation diagnostic bronchoscopy: a prospective study,Am. J. Respir. Crit. Care Med,2006,174,9,,,,Gildea TR; Mazzone PJ; Karnak D; Meziane M; Mehta AC
45,"Gu YE, Chen S, Shi J et al.. The introduction of electromagnetic navigation bronchoscopy for the diagnosis of small pulmonary peripheral lesions in an Asian population. J. Thorac. Dis. 2017;9(9).",The introduction of electromagnetic navigation bronchoscopy for the diagnosis of small pulmonary peripheral lesions in an Asian population,J. Thorac. Dis,2017,9,9,,,,Gu YE; Chen S; Shi J; Wu C; Wen Z; Shi H; Wu B; Xu X; Wang H
46,"Jensen KW, Hsia DW, Seijo LM et al.. Multicenter experience with electromagnetic navigation bronchoscopy for the diagnosis of pulmonary nodules. J Bronchology Interv Pulmonol. 2012;19(3).",Multicenter experience with electromagnetic navigation bronchoscopy for the diagnosis of pulmonary nodules,J Bronchology Interv Pulmonol,2012,19,3,,,,Jensen KW; Hsia DW; Seijo LM; Feller-Kopman DJ; Lamb C; Berkowitz D; Curran-Everett D; Musani AI
47,"Lamprecht B, Porsch P, Wegleitner B, Strasser G, Kaiser B, Studnicka M. Electromagnetic navigation bronchoscopy (ENB): Increasing diagnostic yield. Respir. Med. 2012;106(5).",Electromagnetic navigation bronchoscopy (ENB): Increasing diagnostic yield,Respir. Med,2012,106,5,,,,Lamprecht B; Porsch P; Wegleitner B; Strasser G; Kaiser B; Studnicka M
48,"Loo FL, Halligan AM, Port JL, Hoda RS. The emerging technique of electromagnetic navigation bronchoscopy-guided fine-needle aspiration of peripheral lung lesions: promising results in 50 lesions. Cancer Cytopathol. 2014;122(3).",The emerging technique of electromagnetic navigation bronchoscopy-guided fine-needle aspiration of peripheral lung lesions: promising results in 50 lesions,Cancer Cytopathol,2014,122,3,,,,Loo FL; Halligan AM; Port JL; Hoda RS
49,"Ma L, Fang Y, Zhang T. Comparison in efficacy and safety of forceps biopsy for peripheral lung lesions guided by endobronchial ultrasound-guided sheath (EBUS-GS) and electromagnetic navigation bronchoscopy combined with EBUS (ENB-EBUS). Am. J. Transl. Res. 2020;12(8).",Comparison in efficacy and safety of forceps biopsy for peripheral lung lesions guided by endobronchial ultrasound-guided sheath (EBUS-GS) and electromagnetic navigation bronchoscopy combined with EBUS (ENB-EBUS),Am. J. Transl. Res,2020,12,8,,,,Ma L; Fang Y; Zhang T
50,"Mahajan AK, Patel S, Hogarth DK. Electromagnetic navigational bronchoscopy: an effective and safe approach to diagnose peripheral lung lesions unreachable by conventional bronchoscopy in high-risk patients. J Bronchology Interv Pulmonol. 2011;18(2). doi:10.1097/LBR.0b013e318216cee6.",Electromagnetic navigational bronchoscopy: an effective and safe approach to diagnose peripheral lung lesions unreachable by conventional bronchoscopy in high-risk patients,J Bronchology Interv Pulmonol,2011,18,2,,10.1097/LBR.0b013e318216cee6,,Mahajan AK; Patel S; Hogarth DK
51,"Makris D, Scherpereel A, Leroy S et al.. Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions. Eur. Respir. J. 2007;29(6).",Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions,Eur. Respir. J,2007,29,6,,,,Makris D; Scherpereel A; Leroy S; Bouchindhomme B; Faivre J; Remy J; Ramon P; Marquette C
52,"Mukherjee S, Chacey M. Diagnostic Yield of Electromagnetic Navigation Bronchoscopy Using a Curved-tip Catheter to Aid in the Diagnosis of Pulmonary Lesions. J Bronchology Interv Pulmonol. 2017;24(1). doi:10.1097/LBR.0000000000000326.",Diagnostic Yield of Electromagnetic Navigation Bronchoscopy Using a Curved-tip Catheter to Aid in the Diagnosis of Pulmonary Lesions,J Bronchology Interv Pulmonol,2017,24,1,,10.1097/LBR.0000000000000326,,Mukherjee S; Chacey M
53,"Odronic SI, Gildea TR, Chute DJ. Electromagnetic navigation bronchoscopyguided fine needle aspiration for the diagnosis of lung lesions. Diagn. Cytopathol. 2014;42(12). doi:10.1002/dc.23164.",Electromagnetic navigation bronchoscopyguided fine needle aspiration for the diagnosis of lung lesions,Diagn. Cytopathol,2014,42,12,,10.1002/dc.23164,,Odronic SI; Gildea TR; Chute DJ
54,"Oh JH, Choi C, Kim S et al.. Diagnostic Performance of Electromagnetic Navigation Bronchoscopy-Guided Biopsy for Lung Nodules in the Era of Molecular Testing. Diagnostics. 2021;11(8):1432.",Diagnostic Performance of Electromagnetic Navigation Bronchoscopy-Guided Biopsy for Lung Nodules in the Era of Molecular Testing,Diagnostics,2021,11,8,1432,,,Oh JH; Choi C; Kim S; Jang SJ; Oh SY; Kim MY; Hwang HS; Ji W
55,"Oh JH, Choi C, Kim S et al.. Diagnostic yield and safety of biopsy guided by electromagnetic navigation bronchoscopy for high-risk pulmonary nodules. Thorac Cancer. 2021;12(10).",Diagnostic yield and safety of biopsy guided by electromagnetic navigation bronchoscopy for high-risk pulmonary nodules,Thorac Cancer,2021,12,10,,,,Oh JH; Choi C; Kim S; Kim WS; Hwang HS; Jang SJ; Oh SY; Kim MY; Lee JC; Ji W
56,"Ost DE, Ernst A, Lei X et al.. Diagnostic Yield and Complications of Bronchoscopy for Peripheral Lung Lesions. Results of the AQuIRE Registry. Am. J. Respir. Crit. Care Med. 2016;193(1).",Diagnostic Yield and Complications of Bronchoscopy for Peripheral Lung Lesions. Results of the AQuIRE Registry,Am. J. Respir. Crit. Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X; Kovitz KL; Benzaquen S; Diaz-Mendoza J; Greenhill S; Toth J; Feller-Kopman D; Puchalski J; Baram D; Karunakara R; Jimenez CA; Filner JJ; Morice RC; Eapen GA; Michaud GC; Estrada-Y-Martin RM; Rafeq S; Grosu HB; Ray C; Gilbert CR; Yarmus LB; Simoff M
57,"Patrucco F, Gavelli F, Daverio M et al.. Electromagnetic Navigation Bronchoscopy: Where Are We Now? Five Years of a Single-Center Experience. Lung. 2018;196(6).",Electromagnetic Navigation Bronchoscopy: Where Are We Now? Five Years of a Single-Center Experience,Lung,2018,196,6,,,,Patrucco F; Gavelli F; Daverio M; Antonini C; Boldorini R; Casadio C; Balbo PE
58,"Patrucco F, Daverio M, Airoldi C et al.. 4D Electromagnetic Navigation Bronchoscopy for the Sampling of Pulmonary Lesions: First European Real-Life Experience. Lung. 2021;199(5).",4D Electromagnetic Navigation Bronchoscopy for the Sampling of Pulmonary Lesions: First European Real-Life Experience,Lung,2021,199,5,,,,Patrucco F; Daverio M; Airoldi C; Falaschi Z; Longo V; Gavelli F; Boldorini RL; Balbo PE
59,"Pearlstein DP, Quinn CC, Burtis CC, Ahn KW, Katch AJ. Electromagnetic navigation bronchoscopy performed by thoracic surgeons: one center's early success. Ann. Thorac. Surg. 2012;93(3).",Electromagnetic navigation bronchoscopy performed by thoracic surgeons: one center's early success,Ann. Thorac. Surg,2012,93,3,,,,Pearlstein DP; Quinn CC; Burtis CC; Ahn KW; Katch AJ
