#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Becker HD, Marsh BR. History of the rigid bronchoscope. Interventional bronchoscopy. 2000;30.",History of the rigid bronchoscope,Interventional bronchoscopy,2000,30,,,,,Becker HD; Marsh BR
12,"Chen CH, Lai CL, Tsai TT. Foreign body aspiration into the lower airway in Chinese adults. Chest. 1997;112(1).",Foreign body aspiration into the lower airway in Chinese adults,Chest,1997,112,1,,,,Chen CH; Lai CL; Tsai TT
13,"Delage A, Marquette C. Airway foreign bodies: clinical presentation, diagnosis and treatment. Airway foreign bodies: clinical presentation, diagnosis and treatment. None;None.","Airway foreign bodies: clinical presentation, diagnosis and treatment","Airway foreign bodies: clinical presentation, diagnosis and treatment",,,,,,,Delage A; Marquette C
14,"Strausz J, Bollinger CT. Interventional Pulmonoloy (ERS Monograph). Interventional Pulmonoloy (ERS Monograph). 2010;None.",Interventional Pulmonoloy (ERS Monograph),Interventional Pulmonoloy (ERS Monograph),2010,,,,,,Strausz J; Bollinger CT
15,"Dutau H, Vandemoortele T, Breen DP. Rigid bronchoscopy. Clin Chest Med. 2013;34(3).",Rigid bronchoscopy,Clin Chest Med,2013,34,3,,,,Dutau H; Vandemoortele T; Breen DP
16,"Rand D, Barber I, Goldring P, J. British Thoracic Society guideline for advanced diagnostic and therapeutic flexible bronchoscopy in adults. Thorax. 2011;66(Suppl 3).",British Thoracic Society guideline for advanced diagnostic and therapeutic flexible bronchoscopy in adults,Thorax,2011,66,Suppl 3,,,,Rand D; Barber I; Goldring P; J
17,"Martinot A, Closset M, Marquette CH. Indications for flexible versus rigid bronchoscopy in children with suspected foreign-body aspiration. Am J Respir Crit Care Med. 1997;155(5).",Indications for flexible versus rigid bronchoscopy in children with suspected foreign-body aspiration,Am J Respir Crit Care Med,1997,155,5,,,,Martinot A; Closset M; Marquette CH
18,"Cavaliere S, Venuta F, Foccoli P. Endoscopic treatment of malignant airway obstructions in 2,008 patients. Chest. 1996;110(6).","Endoscopic treatment of malignant airway obstructions in 2,008 patients",Chest,1996,110,6,,,,Cavaliere S; Venuta F; Foccoli P
19,"Cavaliere S, Foccoli P, Farina PL. Nd:YAG laser bronchoscopy. A five-year experience with 1,396 applications in 1,000 patients. Chest. 1988;94(1).","Nd:YAG laser bronchoscopy. A five-year experience with 1,396 applications in 1,000 patients",Chest,1988,94,1,,,,Cavaliere S; Foccoli P; Farina PL
20,"Hespanhol V, Magalhaes A, Marques A. Neoplastic severe central airways obstruction, interventional bronchoscopy: a decision-making analysis. J Thorac Cardiovasc Surg. 2013;145(4).","Neoplastic severe central airways obstruction, interventional bronchoscopy: a decision-making analysis",J Thorac Cardiovasc Surg,2013,145,4,,,,Hespanhol V; Magalhaes A; Marques A
21,"Reichle G, Freitag L, Kullmann HJ. Argon plasma coagulation in bronchology: a new method-alternative or complementary. Pneumologie. 2000;54(11).",Argon plasma coagulation in bronchology: a new method-alternative or complementary,Pneumologie,2000,54,11,,,,Reichle G; Freitag L; Kullmann HJ
22,"Maiwand MO, Evans JM, Beeson JE. The application of cryosurgery in the treatment of lung cancer. Cryobiology. 2004;48(1).",The application of cryosurgery in the treatment of lung cancer,Cryobiology,2004,48,1,,,,Maiwand MO; Evans JM; Beeson JE
23,"Perin B, Zaric B, Jovanovic S. Patient-related independent clinical risk factors for early complications following Nd: YAG laser resection of lung cancer. Ann Thorac Med. 2012;7(4).",Patient-related independent clinical risk factors for early complications following Nd: YAG laser resection of lung cancer,Ann Thorac Med,2012,7,4,,,,Perin B; Zaric B; Jovanovic S
24,"Schumann C, Hetzel M, Babiak AJ. Endobronchial tumor debulking with a flexible cryoprobe for immediate treatment of malignant stenosis. J Thorac Cardiovasc Surg. 2010;139(4).",Endobronchial tumor debulking with a flexible cryoprobe for immediate treatment of malignant stenosis,J Thorac Cardiovasc Surg,2010,139,4,,,,Schumann C; Hetzel M; Babiak AJ
25,"Ost DE, Ernst A, Grosu HB. Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry. Chest. 2015;148(2).",Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry,Chest,2015,148,2,,,,Ost DE; Ernst A; Grosu HB
26,Brewer LA. Patterns of survival in lung cancer. Chest. 1977;71(5).,Patterns of survival in lung cancer,Chest,1977,71,5,,,,Brewer LA
27,"Hindle M, Sibly A, Aldik M. P19 Central airway obstruction in bronchogenic carcinoma. Thorax. 2016;71:93.",P19 Central airway obstruction in bronchogenic carcinoma,Thorax,2016,71,,93,,,Hindle M; Sibly A; Aldik M
28,"Vonk-Noordegraaf A, Postmus PE, Sutedja TG. Tracheobronchial stenting in the terminal care of cancer patients with central airways obstruction. Chest. 2001;120(6).",Tracheobronchial stenting in the terminal care of cancer patients with central airways obstruction,Chest,2001,120,6,,,,Vonk-Noordegraaf A; Postmus PE; Sutedja TG
29,"Monnier P, Mudry A, Stanzel F. The use of the covered Wallstent for the palliative treatment of inoperable tracheobronchial cancers. A prospective, multicenter study. Chest. 1996;110(5).","The use of the covered Wallstent for the palliative treatment of inoperable tracheobronchial cancers. A prospective, multicenter study",Chest,1996,110,5,,,,Monnier P; Mudry A; Stanzel F
30,"Gilmartin JJ, Veale D, Cooper BG. Effects of laser treatment on respiratory function in malignant narrowing of the central airways. Thorax. 1987;42(8).",Effects of laser treatment on respiratory function in malignant narrowing of the central airways,Thorax,1987,42,8,,,,Gilmartin JJ; Veale D; Cooper BG
31,"Zaric B, Kovacevic T, Stojsic V. Neodymium yttrium-aluminium-garnet laser resection significantly improves quality of life in patients with malignant central airway obstruction due to lung cancer. Eur J Cancer Care (Engl). 2015;24(4).",Neodymium yttrium-aluminium-garnet laser resection significantly improves quality of life in patients with malignant central airway obstruction due to lung cancer,Eur J Cancer Care (Engl),2015,24,4,,,,Zaric B; Kovacevic T; Stojsic V
32,"Chhajed PN, Baty F, Pless M. Outcome of treated advanced non-small cell lung cancer with and without central airway obstruction. Chest. 2006;130(6).",Outcome of treated advanced non-small cell lung cancer with and without central airway obstruction,Chest,2006,130,6,,,,Chhajed PN; Baty F; Pless M
33,"Mohsenifar Z, Jasper AC, Koerner SK. Physiologic assessment of lung function in patients undergoing laser photoresection of tracheobronchial tumors. Chest. 1988;93(1).",Physiologic assessment of lung function in patients undergoing laser photoresection of tracheobronchial tumors,Chest,1988,93,1,,,,Mohsenifar Z; Jasper AC; Koerner SK
34,"Vergnon JM, Costes F, Bayon MC. Efficacy of tracheal and bronchial stent placement on respiratory functional tests. Chest. 1995;107(3).",Efficacy of tracheal and bronchial stent placement on respiratory functional tests,Chest,1995,107,3,,,,Vergnon JM; Costes F; Bayon MC
35,"Vishwanath G, Madan K, Bal A. Rigid bronchoscopy and mechanical debulking in the management of central airway tumors: an Indian experience. J Bronchology Interv Pulmonol. 2013;20(2).",Rigid bronchoscopy and mechanical debulking in the management of central airway tumors: an Indian experience,J Bronchology Interv Pulmonol,2013,20,2,,,,Vishwanath G; Madan K; Bal A
36,"Prakash UB, Midthun DE, Edell ES. Indications for flexible versus rigid bronchoscopy in children with suspected foreign-body aspiration. Am J Respir Crit Care Med. 1997;156(3 Pt 1).",Indications for flexible versus rigid bronchoscopy in children with suspected foreign-body aspiration,Am J Respir Crit Care Med,1997,156,3 Pt 1,,,,Prakash UB; Midthun DE; Edell ES
37,"Rafanan AL, Mehta AC. Adult airway foreign body removal. What's new?. Clin Chest Med. 2001;22(2).",Adult airway foreign body removal. What's new?,Clin Chest Med,2001,22,2,,,,Rafanan AL; Mehta AC
38,"Karmy-Jones R, Cuschieri J, Vallieres E. Role of bronchoscopy in massive hemoptysis. Chest Surg Clin N Am. 2001;11(4).",Role of bronchoscopy in massive hemoptysis,Chest Surg Clin N Am,2001,11,4,,,,Karmy-Jones R; Cuschieri J; Vallieres E
39,"Marsico G, Guimares C, Montesi J. Management of massive hemoptysis with rigid bronchoscopy and cold saline solution. Jornal de Pneumologia. 2003;29.",Management of massive hemoptysis with rigid bronchoscopy and cold saline solution,Jornal de Pneumologia,2003,29,,,,,Marsico G; Guimares C; Montesi J
40,"Mccollun WB, Mattox KL, Guinn GA. Immediate operative treatment for massive hemoptysis. Chest. 1975;67(2).",Immediate operative treatment for massive hemoptysis,Chest,1975,67,2,,,,Mccollun WB; Mattox KL; Guinn GA
41,"Gourin A, Garzon AA. Operative treatment of massive hemoptysis. Ann Thorac Surg. 1974;18(1).",Operative treatment of massive hemoptysis,Ann Thorac Surg,1974,18,1,,,,Gourin A; Garzon AA
42,"Garzon AA, Cerruti M, Gourin A. Pulmonary resection for massive hemoptysis. Surgery. 1970;67(4).",Pulmonary resection for massive hemoptysis,Surgery,1970,67,4,,,,Garzon AA; Cerruti M; Gourin A
43,"Dweik RA, Stoller JK. Role of bronchoscopy in massive hemoptysis. Clin Chest Med. 1999;20(1).",Role of bronchoscopy in massive hemoptysis,Clin Chest Med,1999,20,1,,,,Dweik RA; Stoller JK
44,"Bobrowitz ID, Ramakrishna S, Shim YS. Comparison of medical v surgical treatment of major hemoptysis. Arch Intern Med. 1983;143(7).",Comparison of medical v surgical treatment of major hemoptysis,Arch Intern Med,1983,143,7,,,,Bobrowitz ID; Ramakrishna S; Shim YS
45,"Grillo HC, Donahue DM. Post intubation tracheal stenosis. Semin Thorac Cardiovasc Surg. 1996;8(4).",Post intubation tracheal stenosis,Semin Thorac Cardiovasc Surg,1996,8,4,,,,Grillo HC; Donahue DM
46,Wain JC. Postintubation tracheal stenosis. Chest Surg Clin N Am. 2003;13(2).,Postintubation tracheal stenosis,Chest Surg Clin N Am,2003,13,2,,,,Wain JC
47,"Petrou M, Goldstraw P. The management of tracheobronchial obstruction: a review of endoscopic techniques. Eur J Cardiothorac Surg. 1994;8(8).",The management of tracheobronchial obstruction: a review of endoscopic techniques,Eur J Cardiothorac Surg,1994,8,8,,,,Petrou M; Goldstraw P
48,"Juarez MM, Albertson TE, Chan AL. Interventional bronchoscopy for obstructing benign airway tumors: which modality is ideal?. J Thorac Dis. 2011;3(4).",Interventional bronchoscopy for obstructing benign airway tumors: which modality is ideal?,J Thorac Dis,2011,3,4,,,,Juarez MM; Albertson TE; Chan AL
49,"Kajiwara N, Kakihana M, Usuda J. Interventional management for benign airway tumors in relation to location, size, character and morphology. J Thorac Dis. 2011;3(4).","Interventional management for benign airway tumors in relation to location, size, character and morphology",J Thorac Dis,2011,3,4,,,,Kajiwara N; Kakihana M; Usuda J
50,"Sutedja G, Schramel F, Van Kralingen K. Stent placement is justifiable in end-stage patients with malignant airway tumours. Respiration. 1995;62(3).",Stent placement is justifiable in end-stage patients with malignant airway tumours,Respiration,1995,62,3,,,,Sutedja G; Schramel F; Van Kralingen K
51,"Van Boxem TJ, Venmans BJ, Van Mourik JC. Bronchoscopic treatment of intraluminal typical carcinoid: a pilot study. J Thorac Cardiovasc Surg. 1998;116(3).",Bronchoscopic treatment of intraluminal typical carcinoid: a pilot study,J Thorac Cardiovasc Surg,1998,116,3,,,,Van Boxem TJ; Venmans BJ; Van Mourik JC
52,"Cavaliere S, Foccoli P, Toninelli C. Curative bronchoscopic laser therapy for surgically resectable tracheobronchial tumors: personal experience. J Bronchology Interv Pulmonol. 2002;9(2).",Curative bronchoscopic laser therapy for surgically resectable tracheobronchial tumors: personal experience,J Bronchology Interv Pulmonol,2002,9,2,,,,Cavaliere S; Foccoli P; Toninelli C
53,"Freitag L, Tekolf E, Steveling H. Management of malignant esophagotracheal fistulas with airway stenting and double stenting. Chest. 1996;110(5).",Management of malignant esophagotracheal fistulas with airway stenting and double stenting,Chest,1996,110,5,,,,Freitag L; Tekolf E; Steveling H
54,"Tazi-Mezalek R, Musani AI, Laroumagne S. Airway stenting in the management of iatrogenic tracheal injuries: 10-year experience. Respirology. 2016;21(8).",Airway stenting in the management of iatrogenic tracheal injuries: 10-year experience,Respirology,2016,21,8,,,,Tazi-Mezalek R; Musani AI; Laroumagne S
55,"Nicastri DG, Weiser TS. Rigid bronchoscopy: indications and techniques. Oper Tech Thorac Cardiovasc Surg. 2012;17(1).",Rigid bronchoscopy: indications and techniques,Oper Tech Thorac Cardiovasc Surg,2012,17,1,,,,Nicastri DG; Weiser TS
56,"Plekker D, Koegelenberg CF, Bolliger CT. Different techniques of bronchoscopy. Interventional pulmonology (ERS Monograph). 2010;None.",Different techniques of bronchoscopy,Interventional pulmonology (ERS Monograph),2010,,,,,,Plekker D; Koegelenberg CF; Bolliger CT
57,"Lukomsky GI, Ovchinnikov AA, Bilal A. Complications of bronchoscopy: comparison of rigid bronchoscopy under general anesthesia and flexible fiberoptic bronchoscopy under topical anesthesia. Chest. 1981;79(3).",Complications of bronchoscopy: comparison of rigid bronchoscopy under general anesthesia and flexible fiberoptic bronchoscopy under topical anesthesia,Chest,1981,79,3,,,,Lukomsky GI; Ovchinnikov AA; Bilal A
58,"Lorx A, Valko L, Penzes I. Anaesthesia for interventional bronchoscopy. Anaesthesia for interventional bronchoscopy. 2010;None.",Anaesthesia for interventional bronchoscopy,Anaesthesia for interventional bronchoscopy,2010,,,,,,Lorx A; Valko L; Penzes I
59,Sarkiss M. Anesthesia for bronchoscopy and interventional pulmonology: from moderate sedation to jet ventilation. Curr Opin Pulm Med. 2011;17(4).,Anesthesia for bronchoscopy and interventional pulmonology: from moderate sedation to jet ventilation,Curr Opin Pulm Med,2011,17,4,,,,Sarkiss M
60,Casal RF. Update in airway stents. Curr Opin Pulm Med. 2010;16(4).,Update in airway stents,Curr Opin Pulm Med,2010,16,4,,,,Casal RF
61,"Lee P, Kupeli E, Mehta AC. Airway stents. Clin Chest Med. 2010;31(1).",Airway stents,Clin Chest Med,2010,31,1,,,,Lee P; Kupeli E; Mehta AC
62,"Ranu H, Madden B. Endobronchial stenting in the management of large airway pathology. Postgrad Med J. 1010;85.",Endobronchial stenting in the management of large airway pathology,Postgrad Med J,1010,85,,,,,Ranu H; Madden B
63, FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders. FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders. 2018;None.,FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders,FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders,2018,,,,,,
64,"Breen DP, Dutau H. On-site customization of silicone stents: towards optimal palliation of complex airway conditions. Respiration. 2009;77(4).",On-site customization of silicone stents: towards optimal palliation of complex airway conditions,Respiration,2009,77,4,,,,Breen DP; Dutau H
65,"Dutau H, Cavailles A, Fernandez-Navamuel I. Tracheal compression in a patient with Marfan's syndrome-associated tracheomegaly treated by an XXL stent: the largest diameter airway stent ever placed in a previously undescribed airway condition. Respiration. 2009;77(1).",Tracheal compression in a patient with Marfan's syndrome-associated tracheomegaly treated by an XXL stent: the largest diameter airway stent ever placed in a previously undescribed airway condition,Respiration,2009,77,1,,,,Dutau H; Cavailles A; Fernandez-Navamuel I
66,"Dutau H, Breen DP, Gomez C. The integrated place of tracheobronchial stents in the multidisciplinary management of large post-pneumonectomy fistulas: our experience using a novel customised conical self-expandable metallic stent. Eur J Cardiothorac Surg. 2011;39(2).",The integrated place of tracheobronchial stents in the multidisciplinary management of large post-pneumonectomy fistulas: our experience using a novel customised conical self-expandable metallic stent,Eur J Cardiothorac Surg,2011,39,2,,,,Dutau H; Breen DP; Gomez C
67," Airway stenting revisited: 30 Years, the Age of Reason? Dutau H, Dumon J-F. Journal of Bronchology & Interventional Pulmonology. 2017;24(4).","Airway stenting revisited: 30 Years, the Age of Reason? Dutau H, Dumon J-F",Journal of Bronchology & Interventional Pulmonology,2017,24,4,,,,
68,"Vergnon J, Thibout Y, Dutau H. Is a stent required after the initial resection of an obstructive lung cancer? The lessons of the SPOC trial, the first randomized study in interventional bronchoscopy. Eur Respir J. 2013;42(Suppl 57):3752.","Is a stent required after the initial resection of an obstructive lung cancer? The lessons of the SPOC trial, the first randomized study in interventional bronchoscopy",Eur Respir J,2013,42,Suppl 57,3752,,,Vergnon J; Thibout Y; Dutau H
69,"Dutau H, Musani AI, Laroumagne S. Biodegradable airway stents -Bench to bedside: a comprehensive review. Respiration. 2015;90(6).",Biodegradable airway stents -Bench to bedside: a comprehensive review,Respiration,2015,90,6,,,,Dutau H; Musani AI; Laroumagne S
70,"Lischke R, Pozniak J, Vondrys D. Novel biodegradable stents in the treatment of bronchial stenosis after lung transplantation. Eur J Cardiothorac Surg. 2011;40(3).",Novel biodegradable stents in the treatment of bronchial stenosis after lung transplantation,Eur J Cardiothorac Surg,2011,40,3,,,,Lischke R; Pozniak J; Vondrys D
71,"Vondrys D, Elliott MJ, Mclaren CA. First experience with biodegradable airway stents in children. Ann Thorac Surg. 2011;92(5).",First experience with biodegradable airway stents in children,Ann Thorac Surg,2011,92,5,,,,Vondrys D; Elliott MJ; Mclaren CA
72,"Zhu G, Ng AH, Venkatraman SS. A novel bioabsorbable drug-eluting tracheal stent. Laryngoscope. 2011;121(10).",A novel bioabsorbable drug-eluting tracheal stent,Laryngoscope,2011,121,10,,,,Zhu G; Ng AH; Venkatraman SS
73,"Chao Y, Liu K, Wang Y. Biodegradable cisplatin-eluting tracheal stent for malignant airway obstruction: in vivo and in vitro studies. Chest. 2013;144(1).",Biodegradable cisplatin-eluting tracheal stent for malignant airway obstruction: in vivo and in vitro studies,Chest,2013,144,1,,,,Chao Y; Liu K; Wang Y
74,"Huvenne W, Zhang N, Tijsma E. Pilot study using doxycycline-releasing stents to ameliorate postoperative healing quality after sinus surgery. Wound Repair Regen. 2008;16(6).",Pilot study using doxycycline-releasing stents to ameliorate postoperative healing quality after sinus surgery,Wound Repair Regen,2008,16,6,,,,Huvenne W; Zhang N; Tijsma E
75,"Tam MD, Laycock SD, JD. 3-D printouts of the tracheobronchial tree generated from CT images as an aid to management in a case of tracheobronchial chondromalacia caused by relapsing polychondritis. J Radiol Case Rep. 2013;7(8):34.",3-D printouts of the tracheobronchial tree generated from CT images as an aid to management in a case of tracheobronchial chondromalacia caused by relapsing polychondritis,J Radiol Case Rep,2013,7,8,34,,,Tam MD; Laycock SD; JD
76,"Cheng GZ, Estepar R, Folch E. Threedimensional printing and 3D slicer: powerful tools in understanding and treating structural lung disease. Chest. 2016;149(5).",Threedimensional printing and 3D slicer: powerful tools in understanding and treating structural lung disease,Chest,2016,149,5,,,,Cheng GZ; Estepar R; Folch E
77,"Pastis NJ, Nietert PJ, Silvestri GA, College Of A. Chest/Diagnostic Procedures Network Steering Committee. Variation in training for interventional pulmonary procedures among US pulmonary/critical care fellowships: a survey of fellowship directors. Chest. 2005;127(5).",Chest/Diagnostic Procedures Network Steering Committee. Variation in training for interventional pulmonary procedures among US pulmonary/critical care fellowships: a survey of fellowship directors,Chest,2005,127,5,,,,Pastis NJ; Nietert PJ; Silvestri GA; College Of A
78, BTS recommendations to respiratory physicians for organising the care of patients with lung cancer. The lung cancer working party of the British Thoracic Society Standards of Care Committee. Thorax. 1998;53(Suppl 1).,BTS recommendations to respiratory physicians for organising the care of patients with lung cancer. The lung cancer working party of the British Thoracic Society Standards of Care Committee,Thorax,1998,53,Suppl 1,,,,
79,"Dutau H, Breen D, Bugalho A. Current practice of airway stenting in the adult population in Europe: a survey of the European Association of Bronchology and Interventional Pulmonology (EABIP). Respiration. 2018;95.",Current practice of airway stenting in the adult population in Europe: a survey of the European Association of Bronchology and Interventional Pulmonology (EABIP),Respiration,2018,95,,,,,Dutau H; Breen D; Bugalho A
80,"Mullon JJ, Burkart KM, Silvestri G. Interventional pulmonology fellowship accreditation standards: executive summary of the multisociety interventional pulmonology fellowship accreditation committee. Chest. 2017;151(5).",Interventional pulmonology fellowship accreditation standards: executive summary of the multisociety interventional pulmonology fellowship accreditation committee,Chest,2017,151,5,,,,Mullon JJ; Burkart KM; Silvestri G
81,"Agrafiotis M, Siempos II, Falagas ME. Infections related to airway stenting: a systematic review. Respiration. 2009;78(1).",Infections related to airway stenting: a systematic review,Respiration,2009,78,1,,,,Agrafiotis M; Siempos II; Falagas ME
