#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Siegel RL, Miller KD, Jemal A. Cancer statistics. CA Cancer J. Clin. 2020;70.",Cancer statistics,CA Cancer J. Clin,2020,70,,,,,Siegel RL; Miller KD; Jemal A
18,"Hanna N, Johnson D, Temin S et al.. Systemic therapy for stage IV non-small-cell lung cancer: American Society of Clinical Oncology clinical practice guideline update. J. Clin. Oncol. 2017;35.",Systemic therapy for stage IV non-small-cell lung cancer: American Society of Clinical Oncology clinical practice guideline update,J. Clin. Oncol,2017,35,,,,,Hanna N; Johnson D; Temin S; Baker S; Jr; Brahmer J; Ellis PM; Giaccone G; Hesketh PJ; Jaiyesimi I; Leighl NB
19,"Gomez DR, Blumenschein GR, Jr et al.. Local consolidative therapy versus maintenance therapy or observation for patients with oligometastatic non-small-cell lung cancer without progression after first-line systemic therapy: A multicentre, randomised, controlled, phase 2 study. Lancet Oncol. 2016;17. doi:10.1016/S1470-2045(16)30532-0.","Local consolidative therapy versus maintenance therapy or observation for patients with oligometastatic non-small-cell lung cancer without progression after first-line systemic therapy: A multicentre, randomised, controlled, phase 2 study",Lancet Oncol,2016,17,,,10.1016/S1470-2045(16)30532-0,,Gomez DR; Blumenschein GR; Jr; Lee JJ; Hernandez M; Ye R; Camidge DR; Doebele RC; Skoulidis F; Gaspar LE; Gibbons DL
20,"Jayadevappa R, Chhatre S, Soukiasian HJ, Murgu S. Outcomes of patients with advanced non-small cell lung cancer and airway obstruction treated with photodynamic therapy and non-photodynamic therapy ablation modalities. J. Thorac. Dis. 2019;11. doi:10.21037/jtd.2019.04.60.",Outcomes of patients with advanced non-small cell lung cancer and airway obstruction treated with photodynamic therapy and non-photodynamic therapy ablation modalities,J. Thorac. Dis,2019,11,,,10.21037/jtd.2019.04.60,,Jayadevappa R; Chhatre S; Soukiasian HJ; Murgu S
21,"Reginato E, Lindenmann J, Langner C et al.. Photodynamic therapy downregulates the function of regulatory T cells in patients with esophageal squamous cell carcinoma. Photochem. Photobiol. Sci. 2014;13. doi:10.1039/C4PP00186A.",Photodynamic therapy downregulates the function of regulatory T cells in patients with esophageal squamous cell carcinoma,Photochem. Photobiol. Sci,2014,13,,,10.1039/C4PP00186A,,Reginato E; Lindenmann J; Langner C; Schweintzger N; Bambach I; Smolle-Jüttner F; Wolf P
22,"Reynders K, Illidge T, Siva S, Chang JY, De Ruyssche D. The abscopal effect of local radiotherapy: Using immunotherapy to make a rare event clinically relevant. Cancer Treat. Rev. 2015;41. doi:10.1016/j.ctrv.2015.03.011.",The abscopal effect of local radiotherapy: Using immunotherapy to make a rare event clinically relevant,Cancer Treat. Rev,2015,41,,,10.1016/j.ctrv.2015.03.011,,Reynders K; Illidge T; Siva S; Chang JY; De Ruyssche D
23,"Gollnick SO, Brackett CM. Enhancement of anti-tumor immunity by photodynamic therapy. Immunol. Res. 2010;46. doi:10.1007/s12026-009-8119-4.",Enhancement of anti-tumor immunity by photodynamic therapy,Immunol. Res,2010,46,,,10.1007/s12026-009-8119-4,,Gollnick SO; Brackett CM
24,"Lindenmann J, Matzi V, Neubock N, Maier A, Smolle-Juttner FM. The clinical impact of photodynamic therapy in thoracic surgery. Eur. Surg. 2010;42. doi:10.1007/s10353-010-0559-5.",The clinical impact of photodynamic therapy in thoracic surgery,Eur. Surg,2010,42,,,10.1007/s10353-010-0559-5,,Lindenmann J; Matzi V; Neubock N; Maier A; Smolle-Juttner FM
25,"Maier A, Tomaselli F, Matzi V et al.. Comparison of 5-aminolaevulinic acid and porphyrin photosensitization for photodynamic therapy of malignant bronchial stenosis: A clinical pilot study. Lasers Surg. Med. 2002;30. doi:10.1002/lsm.10009.",Comparison of 5-aminolaevulinic acid and porphyrin photosensitization for photodynamic therapy of malignant bronchial stenosis: A clinical pilot study,Lasers Surg. Med,2002,30,,,10.1002/lsm.10009,,Maier A; Tomaselli F; Matzi V; Woltsche M; Anegg U; Fell B; Rehak P; Pinter H; Smolle-Jüttner FM
26,"Bhalla N, Brooker R, Brada M. Combining immunotherapy and radiotherapy in lung cancer. J. Thorac. Dis. 2018;10. doi:10.21037/jtd.2018.05.107.",Combining immunotherapy and radiotherapy in lung cancer,J. Thorac. Dis,2018,10,,,10.21037/jtd.2018.05.107,,Bhalla N; Brooker R; Brada M
27,"Uhlig J, Case MD, Blasberg JD et al.. Comparison of Survival Rates After a Combination of Local Treatment and Systemic Therapy vs Systemic Therapy Alone for Treatment of Stage IV Non-Small Cell Lung Cancer. JAMA Netw. Open. 2019;2:199702. doi:10.1001/jamanetworkopen.2019.9702.",Comparison of Survival Rates After a Combination of Local Treatment and Systemic Therapy vs Systemic Therapy Alone for Treatment of Stage IV Non-Small Cell Lung Cancer,JAMA Netw. Open,2019,2,,199702,10.1001/jamanetworkopen.2019.9702,,Uhlig J; Case MD; Blasberg JD; Boffa DJ; Chiang A; Gettinger SN; Kim HS
28,Boffa DJ. The objective of local therapy in oligometastatic cancer is amoving target. JAMA Oncol. 1296;4.,The objective of local therapy in oligometastatic cancer is amoving target,JAMA Oncol,1296,4,,,,,Boffa DJ
29,"Iyengar P, Kavanagh BD, Wardak Z et al.. Phase II trial of stereotactic body radiation therapy combined with erlotinib for patients with limited but progressivemetastatic non-small-cell lung cancer. J. Clin. Oncol. 2014;32. doi:10.1200/JCO.2014.56.7412.",Phase II trial of stereotactic body radiation therapy combined with erlotinib for patients with limited but progressivemetastatic non-small-cell lung cancer,J. Clin. Oncol,2014,32,,,10.1200/JCO.2014.56.7412,,Iyengar P; Kavanagh BD; Wardak Z; Smith I; Ahn C; Gerber DE; Dowell J; Hughes R; Abdulrahman R; Camidge DR
30,"Harris JP, Murphy JD, Hanlon AL et al.. A population-based comparative effectiveness study of radiation therapy techniques in stage III non-small cell lung cancer. Int. J. Radiat. Oncol. Biol. Phys. 2014;88. doi:10.1016/j.ijrobp.2013.12.010.",A population-based comparative effectiveness study of radiation therapy techniques in stage III non-small cell lung cancer,Int. J. Radiat. Oncol. Biol. Phys,2014,88,,,10.1016/j.ijrobp.2013.12.010,,Harris JP; Murphy JD; Hanlon AL; Le Q; Loo BW; Jr; Diehn M
31,"Davidoff AJ, Tang M, Seal B, Edelman MJ. Chemotherapy and survival benefit in elderly patients with advanced non-smallcell lung cancer. J. Clin. Oncol. 2010;28. doi:10.1200/JCO.2009.25.4052.",Chemotherapy and survival benefit in elderly patients with advanced non-smallcell lung cancer,J. Clin. Oncol,2010,28,,,10.1200/JCO.2009.25.4052,,Davidoff AJ; Tang M; Seal B; Edelman MJ
32,"Salazar MC, Rosen JE, Arnold BN et al.. Adjuvant Chemotherapy for T3 Non-Small Cell Lung Cancer with Additional Tumor Nodules in the Same Lobe. J. Thorac. Oncol. 2016;11. doi:10.1016/j.jtho.2016.03.009.",Adjuvant Chemotherapy for T3 Non-Small Cell Lung Cancer with Additional Tumor Nodules in the Same Lobe,J. Thorac. Oncol,2016,11,,,10.1016/j.jtho.2016.03.009,,Salazar MC; Rosen JE; Arnold BN; Thomas DC; Kim AW; Detterbeck FC; Blasberg JD; Boffa DJ
33,"Ramnath N, Dilling TJ, Harris LJ et al.. Treatment of stage III non-small cell lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143. doi:10.1378/chest.12-2360.","Treatment of stage III non-small cell lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,10.1378/chest.12-2360,,Ramnath N; Dilling TJ; Harris LJ; Kim AW; Michaud GC; Balekian AA; Diekemper R; Detterbeck FC
34,"Bott MJ, Patel AP, Crabtree TD et al.. Role for Surgical Resection in the Multi-Disciplinary Treatment of Stage IIIB Non-Small Cell Lung Cancer. Ann. Thorac. Surg. 2015;99. doi:10.1016/j.athoracsur.2015.02.033.",Role for Surgical Resection in the Multi-Disciplinary Treatment of Stage IIIB Non-Small Cell Lung Cancer,Ann. Thorac. Surg,2015,99,,,10.1016/j.athoracsur.2015.02.033,,Bott MJ; Patel AP; Crabtree TD; Morgensztern D; Robinson CG; Colditz GA; Waqar S; Kreisel D; Krupnick AS; Patterson GA
35,"Postmus PE, Kerr KM, Oudkerk M et al.. Early and locally advanced non-small-cell lung cancer (NSCLC): ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up Clinical Practice Guidelines. Ann. Oncol. 2017;28.","Early and locally advanced non-small-cell lung cancer (NSCLC): ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up Clinical Practice Guidelines",Ann. Oncol,2017,28,,,,,Postmus PE; Kerr KM; Oudkerk M; Senan S; Waller DA; Vansteenkiste J; Escriu C; Peters S
36,"Iocolanoa M, Wildb AT, Hannumc M et al.. Hypofractionated vs. conventional radiation therapy for stage III non-small cell lung cancer treated without chemotherapy. Acta Oncol. 2020;59. doi:10.1080/0284186X.2019.1675907.",Hypofractionated vs. conventional radiation therapy for stage III non-small cell lung cancer treated without chemotherapy,Acta Oncol,2020,59,,,10.1080/0284186X.2019.1675907,,Iocolanoa M; Wildb AT; Hannumc M; Zhangc Z; Simone II; Gelblumb D; Wub AJ; Shepherdb AF
37,"Warren JL, Klabunder CN, Schrag D, Bach PB, Riley GF. Overview of the SEER-Medicare data-content, research application and generalizability to the United States elderly population. Med. Care. 2002;40. doi:10.1097/00005650-200208001-00002.","Overview of the SEER-Medicare data-content, research application and generalizability to the United States elderly population",Med. Care,2002,40,,,10.1097/00005650-200208001-00002,,Warren JL; Klabunder CN; Schrag D; Bach PB; Riley GF
38,"Klabunde CN, Warren JL, Legler JM. Assessing comorbidity using claims data-an overview. Med. Care. 2002;40(4). doi:10.1097/00005650-200208001-00004.",Assessing comorbidity using claims data-an overview,Med. Care,2002,40,4,,10.1097/00005650-200208001-00004,,Klabunde CN; Warren JL; Legler JM
39,"Deyo RA, Cherkin DC, Ciol MA. Adapting a clinical comorbidity index for use with ICD-9-CM administrative databases. J. Clin. Epidemiol. 1992;45. doi:10.1016/0895-4356(92)90133-8.",Adapting a clinical comorbidity index for use with ICD-9-CM administrative databases,J. Clin. Epidemiol,1992,45,,,10.1016/0895-4356(92)90133-8,,Deyo RA; Cherkin DC; Ciol MA
40,"Ladha KS, Zhao K, Quraishi SA et al.. Comorbidity Indices as predictors of mortality in critically ill patients. BMJ Open. 2015;5:8990. doi:10.1136/bmjopen-2015-008990.",Comorbidity Indices as predictors of mortality in critically ill patients,BMJ Open,2015,5,,8990,10.1136/bmjopen-2015-008990,,Ladha KS; Zhao K; Quraishi SA; Kurth T; Eikermann M; Kaafarani HM; Klein EN; Seethala R; Lee JT; Deyo-Charlson; Elixhauser-Van Walraven
41,"Melisa L, Wong ML, Mcmurry TL et al.. Comorbidity Assessment in the National Cancer Database for Patients With Surgically Resected Breast, Colorectal, or Lung Cancer (AFT-01, -02, -03. J. Oncol. Pract. 2018;14.","Comorbidity Assessment in the National Cancer Database for Patients With Surgically Resected Breast, Colorectal, or Lung Cancer (AFT-01, -02, -03",J. Oncol. Pract,2018,14,,,,,Melisa L; Wong ML; Mcmurry TL; Schumacher Hu C; Stukenborg GJ; Francescatti AB; Greenberg CC; Chang GJ; Mckellar DP; Walter LC
