#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Textbook of Pleural Diseases. Textbook of Pleural Diseases. 2016;None.,Textbook of Pleural Diseases,Textbook of Pleural Diseases,2016,,,,,,
16,"Bielsa S, Hernández P, Rodriguez-Panadero F, Taberner T, Salud A, Porcel JM. Tumor type influences the effectiveness of pleurodesis in malignant effusions. Lung. 2011;189(2).",Tumor type influences the effectiveness of pleurodesis in malignant effusions,Lung,2011,189,2,,,,Bielsa S; Hernández P; Rodriguez-Panadero F; Taberner T; Salud A; Porcel JM
17,"Mishra EK, Corcoran JP, Hallifax RJ, Stradling J, Maskell NA, Rahman NM. Defining the minimal important difference for the visual analogue scale assessing dyspnea in patients with malignant pleural effusions. PLoS One. 2015;10(4):123798.",Defining the minimal important difference for the visual analogue scale assessing dyspnea in patients with malignant pleural effusions,PLoS One,2015,10,4,123798,,,Mishra EK; Corcoran JP; Hallifax RJ; Stradling J; Maskell NA; Rahman NM
18,"Gusi N, Olivares PR, Rajendram R. The EQ-5D Health-related quality of life questionnaire. Handbook of Disease Burdens and Quality of Life Measures. 2010;None.",The EQ-5D Health-related quality of life questionnaire,Handbook of Disease Burdens and Quality of Life Measures,2010,,,,,,Gusi N; Olivares PR; Rajendram R
19,R. A language and environment for statistical computing. A language and environment for statistical computing. 2015;None.,A language and environment for statistical computing,A language and environment for statistical computing,2015,,,,,,R
20,"Light RW, Rogers JT, Cheng D, Rodriguez RM. Large pleural effusions occurring after coronary artery bypass grafting: Cardiovascular Surgery Associates. PC. Ann Intern Med. 1999;130(11).",Large pleural effusions occurring after coronary artery bypass grafting: Cardiovascular Surgery Associates,PC. Ann Intern Med,1999,130,11,,,,Light RW; Rogers JT; Cheng D; Rodriguez RM
21,"Fysh E, Bielsa S, Budgeon CA. Predictors of clinical use of pleurodesis and/or indwelling pleural catheter therapy for malignant pleural effusion. Chest. 2015;147(6).",Predictors of clinical use of pleurodesis and/or indwelling pleural catheter therapy for malignant pleural effusion,Chest,2015,147,6,,,,Fysh E; Bielsa S; Budgeon CA
22,Maskell NA. Treatment options for malignant pleural effusions: patient preference does matter. JAMA. 2012;307(22).,Treatment options for malignant pleural effusions: patient preference does matter,JAMA,2012,307,22,,,,Maskell NA
23,"Demmy TL, Gu L, Burkhalter JE. Optimal management of malignant pleural effusions (results of CALGB 30102). J Natl Compr Canc Netw. 2012;10(8).",Optimal management of malignant pleural effusions (results of CALGB 30102),J Natl Compr Canc Netw,2012,10,8,,,,Demmy TL; Gu L; Burkhalter JE
24,"Yim A, Chan A, Lee TW, Wan I, Ho J. Thoracoscopic talc insufflation versus talc slurry for symptomatic malignant pleural effusion. Ann Thorac Surg. 1996;62(6).",Thoracoscopic talc insufflation versus talc slurry for symptomatic malignant pleural effusion,Ann Thorac Surg,1996,62,6,,,,Yim A; Chan A; Lee TW; Wan I; Ho J
25,"Fysh E, Tremblay A, Feller-Kopman D. Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study. Chest. 2013;144(5).",Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study,Chest,2013,144,5,,,,Fysh E; Tremblay A; Feller-Kopman D
26,"Thomas R, Budgeon CA, Kuok YJ. Catheter tract metastasis associated with indwelling pleural catheters. Chest. 2014;146(3).",Catheter tract metastasis associated with indwelling pleural catheters,Chest,2014,146,3,,,,Thomas R; Budgeon CA; Kuok YJ
27,"Thomas R, Piccolo F, Miller D. Intrapleural fibrinolysis for the treatment of indwelling pleural catheter-related symptomatic loculations: a multicenter observational study. Chest. 2015;148(3).",Intrapleural fibrinolysis for the treatment of indwelling pleural catheter-related symptomatic loculations: a multicenter observational study,Chest,2015,148,3,,,,Thomas R; Piccolo F; Miller D
28,"Azzopardi M, Thomas R, Muruganandan S. Protocol of the Australasian Malignant Pleural Effusion-2 (AMPLE-2) trial: a multicentre randomised study of aggressive versus symptom-guided drainage via indwelling pleural catheters. BMJ Open. 2016;6(7):11480.",Protocol of the Australasian Malignant Pleural Effusion-2 (AMPLE-2) trial: a multicentre randomised study of aggressive versus symptom-guided drainage via indwelling pleural catheters,BMJ Open,2016,6,7,11480,,,Azzopardi M; Thomas R; Muruganandan S
29,"Bhatnagar R, Kahan BC, Morley AJ. The efficacy of indwelling pleural catheter placement versus placement plus talc sclerosant in patients with malignant pleural effusions managed exclusively as outpatients (IPC-PLUS): study protocol for a randomised controlled trial. Trials. 2015;16(1):48.",The efficacy of indwelling pleural catheter placement versus placement plus talc sclerosant in patients with malignant pleural effusions managed exclusively as outpatients (IPC-PLUS): study protocol for a randomised controlled trial,Trials,2015,16,1,48,,,Bhatnagar R; Kahan BC; Morley AJ
30,"Tremblay A, Dumitriu S, Stather DR, Maceachern P, Illanes O, Kelly MM. Use of a drug eluting pleural catheter for pleurodesis. Exp Lung Res. 2012;38(9-10).",Use of a drug eluting pleural catheter for pleurodesis,Exp Lung Res,2012,38,9-10,,,,Tremblay A; Dumitriu S; Stather DR; Maceachern P; Illanes O; Kelly MM
31,"Bhatnagar R, Zahan-Evans N, Kearney C. A novel drug-eluting indwelling pleural catheter for the management of malignant effusions. Am J Respir Crit Care Med. 2017;None. doi:10.1164/rccm.201701-0097LE.",A novel drug-eluting indwelling pleural catheter for the management of malignant effusions,Am J Respir Crit Care Med,2017,,,,10.1164/rccm.201701-0097LE,,Bhatnagar R; Zahan-Evans N; Kearney C
32,"Musk AW, Dolin PJ, Armstrong BK, Ford JM, De Klerk NH, Hobbs MS. The incidence of malignant mesothelioma in Australia, 1947-1980. Med J Aust. 1989;150(5):246.","The incidence of malignant mesothelioma in Australia, 1947-1980",Med J Aust,1989,150,5,246,,,Musk AW; Dolin PJ; Armstrong BK; Ford JM; De Klerk NH; Hobbs MS
33,"Boshuizen RC, Onderwater S, Burgers S, Van Den Heuvel MM. The use of indwelling pleural catheters for the management of malignant pleural effusion: direct costs in a Dutch hospital. Respiration. 2013;86(3).",The use of indwelling pleural catheters for the management of malignant pleural effusion: direct costs in a Dutch hospital,Respiration,2013,86,3,,,,Boshuizen RC; Onderwater S; Burgers S; Van Den Heuvel MM
34,"Penz ED, Mishra EK, Davies HE, Manns BJ, Miller RF, Rahman NM. Comparing cost of indwelling pleural catheter vs talc pleurodesis for malignant pleural effusion. Chest. 2014;146(4).",Comparing cost of indwelling pleural catheter vs talc pleurodesis for malignant pleural effusion,Chest,2014,146,4,,,,Penz ED; Mishra EK; Davies HE; Manns BJ; Miller RF; Rahman NM
