#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Chernow B, Sahn SA. Carcinomatous involvement of the pleura: an analysis of 96 patients. Am J Med. 1977;63(3).",Carcinomatous involvement of the pleura: an analysis of 96 patients,Am J Med,1977,63,3,,,,Chernow B; Sahn SA
13,Johnston WW. The malignant pleural effusion. A review of cytopathologic diagnoses of 584 specimens from 472 consecutive patients. Cancer. 1985;56(3).,The malignant pleural effusion. A review of cytopathologic diagnoses of 584 specimens from 472 consecutive patients,Cancer,1985,56,3,,,,Johnston WW
14,"Salyer WR, Eggleston JC, Erozan YS. Efficacy of pleural needle biopsy and pleural fluid cytopathology in the diagnosis of malignant neoplasm involving the pleura. Chest. 1975;67(3).",Efficacy of pleural needle biopsy and pleural fluid cytopathology in the diagnosis of malignant neoplasm involving the pleura,Chest,1975,67,3,,,,Salyer WR; Eggleston JC; Erozan YS
15,"Heffner JE, Heffner JN, Brown LK. Multilevel and continuous pleural fluid pH likelihood ratios for evaluating malignant pleural effusions. Chest. 2003;123(1L).",Multilevel and continuous pleural fluid pH likelihood ratios for evaluating malignant pleural effusions,Chest,2003,123,1L,,,,Heffner JE; Heffner JN; Brown LK
16,"Rodriguez-Panadero F, Mejias L, J. Low glucose and pH levels in malignant pleural effusions. Diagnostic significance and prognostic value in respect to pleurodesis. Am Rev Respir Dis. 1989;139(2+).",Low glucose and pH levels in malignant pleural effusions. Diagnostic significance and prognostic value in respect to pleurodesis,Am Rev Respir Dis,1989,139,2+,,,,Rodriguez-Panadero F; Mejias L; J
17,"Gottehrer A, Taryle DA, Reed CE. Pleural fluid analysis in malignant mesothelioma. Prognostic implications. Chest. 1991;100(3).",Pleural fluid analysis in malignant mesothelioma. Prognostic implications,Chest,1991,100,3,,,,Gottehrer A; Taryle DA; Reed CE
18,"Burrows CM, Mathews WC, Colt HG. Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease. Chest. 2000;117(2+).","Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease",Chest,2000,117,2+,,,,Burrows CM; Mathews WC; Colt HG
19,"Judson M, Sahn S. Pulmonary physiologic abnormalities caused by pleural disease. Semin Respir Crit Care Med. 1995;16(4).",Pulmonary physiologic abnormalities caused by pleural disease,Semin Respir Crit Care Med,1995,16,4,,,,Judson M; Sahn S
20,"Maher GG, Berger HW. Massive pleural effusion: malignant and nonmalignant causes in 46 patients. Am Rev Respir Dis. 1972;105(3).",Massive pleural effusion: malignant and nonmalignant causes in 46 patients,Am Rev Respir Dis,1972,105,3,,,,Maher GG; Berger HW
21,"Parulekar W, Primio D, Matzinger G, F. Use of small-bore vs large-bore chest tubes for treatment of malignant pleural effusions. Chest. 2001;120(2+).",Use of small-bore vs large-bore chest tubes for treatment of malignant pleural effusions,Chest,2001,120,2+,,,,Parulekar W; Primio D; Matzinger G; F
22,"Clementsen P, Evald T, Grode G. Treatment of malignant pleural effusion: pleurodesis using a small percutaneous catheter. A prospective randomized study. Respir Med. 1998;92(1+).",Treatment of malignant pleural effusion: pleurodesis using a small percutaneous catheter. A prospective randomized study,Respir Med,1998,92,1+,,,,Clementsen P; Evald T; Grode G
23,"Caglayan B, Torun E, Turan D. Efficacy of iodopovidone pleurodesis and comparison of small-bore catheter versus large-bore chest tube. Ann Surg Oncol. 2008;15(1+).",Efficacy of iodopovidone pleurodesis and comparison of small-bore catheter versus large-bore chest tube,Ann Surg Oncol,2008,15,1+,,,,Caglayan B; Torun E; Turan D
24,"Seaton KG, Patz EF, Jr, Goodman PC. Palliative treatment of malignant pleural effusions: value of small-bore catheter thoracostomy and doxycycline sclerotherapy. AJR. 1995;164(2+).",Palliative treatment of malignant pleural effusions: value of small-bore catheter thoracostomy and doxycycline sclerotherapy,AJR,1995,164,2+,,,,Seaton KG; Patz EF; Jr; Goodman PC
25,"Morrison MC, Mueller PR, Lee MJ. Sclerotherapy of malignant pleural effusion through sonographically placed small-bore catheters. AJR. 1992;158(2+).",Sclerotherapy of malignant pleural effusion through sonographically placed small-bore catheters,AJR,1992,158,2+,,,,Morrison MC; Mueller PR; Lee MJ
26,"Parker LA, Charnock GC, Delany DJ. Small bore catheter drainage and sclerotherapy for malignant pleural effusions. Cancer. 1989;64(3).",Small bore catheter drainage and sclerotherapy for malignant pleural effusions,Cancer,1989,64,3,,,,Parker LA; Charnock GC; Delany DJ
27,"Feller-Kopman D, Walkey A, Berkowitz D. The relationship of pleural pressure to symptom development during therapeutic thoracentesis. Chest. 2006;129(2L).",The relationship of pleural pressure to symptom development during therapeutic thoracentesis,Chest,2006,129,2L,,,,Feller-Kopman D; Walkey A; Berkowitz D
28,"Sorensen PG, Svendsen TL, Enk B. Treatment of malignant pleural effusion with drainage, with and without instillation of talc. Eur J Respir Dis. 1984;65(1L).","Treatment of malignant pleural effusion with drainage, with and without instillation of talc",Eur J Respir Dis,1984,65,1L,,,,Sorensen PG; Svendsen TL; Enk B
29,"Zaloznik AJ, Oswald SG, Langin M. Intrapleural tetracycline in malignant pleural effusions. A randomized study. Cancer. 1983;51(1L).",Intrapleural tetracycline in malignant pleural effusions. A randomized study,Cancer,1983,51,1L,,,,Zaloznik AJ; Oswald SG; Langin M
30,"Leverenz A, Heckmayr M, Tischer-Neuhauss R. Intrapleural palliative treatment of malignant pleural effusions with talcum versus placebo (pleural tube alone) [abstract. Lung Cancer. 2000;29(1L):274.",Intrapleural palliative treatment of malignant pleural effusions with talcum versus placebo (pleural tube alone) [abstract,Lung Cancer,2000,29,1L,274,,,Leverenz A; Heckmayr M; Tischer-Neuhauss R
31,"Groth G, Gatzemeier U, Haussingen K. Intrapleural palliative treatment of malignant pleural effusions with mitoxantrone versus placebo (pleural tube alone). Ann Oncol. 1991;2(1+).",Intrapleural palliative treatment of malignant pleural effusions with mitoxantrone versus placebo (pleural tube alone),Ann Oncol,1991,2,1+,,,,Groth G; Gatzemeier U; Haussingen K
32,"O'neill W, Spurr C, Moss H. A prospective study of chest tube drainage and tetracycline sclerosis versus chest tube drainage alone in the treatment of malignant pleural effusions [abstract. Proc Annu Meet Am Assoc Cancer Res. 1980;21(3):349.",A prospective study of chest tube drainage and tetracycline sclerosis versus chest tube drainage alone in the treatment of malignant pleural effusions [abstract,Proc Annu Meet Am Assoc Cancer Res,1980,21,3,349,,,O'neill W; Spurr C; Moss H
33,"Lambert CJ, Shah HH, Urshel HC, Jr. The treatment of malignant pleural effusions by closed trocar tube drainage. Ann Thorac Surg. 1967;3(2L).",The treatment of malignant pleural effusions by closed trocar tube drainage,Ann Thorac Surg,1967,3,2L,,,,Lambert CJ; Shah HH; Urshel HC; Jr
34,"Anderson CB, Philpott GW, Ferguson TB. The treatment of malignant pleural effusions. Cancer. 1974;33(3).",The treatment of malignant pleural effusions,Cancer,1974,33,3,,,,Anderson CB; Philpott GW; Ferguson TB
35,"Izbicki R, Weyhing Bt 3rd, Baker L. Pleural effusion in cancer patients. A prospective randomized study of pleural drainage with the addition of radioactive phosphorous to the pleural space vs. pleural drainage alone. Cancer. 1975;36(1).",Pleural effusion in cancer patients. A prospective randomized study of pleural drainage with the addition of radioactive phosphorous to the pleural space vs. pleural drainage alone,Cancer,1975,36,1,,,,Izbicki R; Weyhing Bt 3rd; Baker L
36,"Boland GW, Gazelle GS, Girard MJ. Asymptomatic hydropneumothorax after therapeutic thoracentesis for malignant pleural effusions. AJR. 1998;170(2L).",Asymptomatic hydropneumothorax after therapeutic thoracentesis for malignant pleural effusions,AJR,1998,170,2L,,,,Boland GW; Gazelle GS; Girard MJ
37,Vb A. Pathogenesis of malignant pleural effusions and talc pleurodesis. Pneumologie. 1999;53(2+).,Pathogenesis of malignant pleural effusions and talc pleurodesis,Pneumologie,1999,53,2+,,,,Vb A
38,"Antony VB, Rothfuss KJ, Godbey SW. Mechanism of tetracyclinehydrochloride-induced pleurodesis. Tetracycline-hydrochloride-stimulated mesothelial cells produce a growth-factor-like activity for fibroblasts. Am Rev Respir Dis. 1992;146(2L).",Mechanism of tetracyclinehydrochloride-induced pleurodesis. Tetracycline-hydrochloride-stimulated mesothelial cells produce a growth-factor-like activity for fibroblasts,Am Rev Respir Dis,1992,146,2L,,,,Antony VB; Rothfuss KJ; Godbey SW
39,"Antony VB, Nasreen N, Mohammed KA. Talc pleurodesis: basic fibroblast growth factor mediates pleural fibrosis. Chest. 2004;126(2L).",Talc pleurodesis: basic fibroblast growth factor mediates pleural fibrosis,Chest,2004,126,2L,,,,Antony VB; Nasreen N; Mohammed KA
40,"Rodriguez-Panadero F, Segado A, Juan M, J. Failure of talc pleurodesis is associated with increased pleural fibrinolysis. Am J Respir Crit Care Med. 1995;151(3 Pt 1).",Failure of talc pleurodesis is associated with increased pleural fibrinolysis,Am J Respir Crit Care Med,1995,151,3 Pt 1,,,,Rodriguez-Panadero F; Segado A; Juan M; J
41,"Xie C, Teixeira LR, Mcgovern JP. Systemic corticosteroids decrease the effectiveness of talc pleurodesis. Am J Respir Crit Care Med. 1998;157(5 Pt 1).",Systemic corticosteroids decrease the effectiveness of talc pleurodesis,Am J Respir Crit Care Med,1998,157,5 Pt 1,,,,Xie C; Teixeira LR; Mcgovern JP
42,"Haddad FJ, Younes RN, Gross JL. Pleurodesis in patients with malignant pleural effusions: talc slurry or bleomycin? Results of a prospective randomized trial. World J Surg. 2004;28(1L).",Pleurodesis in patients with malignant pleural effusions: talc slurry or bleomycin? Results of a prospective randomized trial,World J Surg,2004,28,1L,,,,Haddad FJ; Younes RN; Gross JL
43,"Hunt I, Teh E, Southon R. Using non-steroidal anti-inflammatory drugs (NSAIDs) following pleurodesis. Interact Cardiovasc Thorac Surg. 2007;6(4).",Using non-steroidal anti-inflammatory drugs (NSAIDs) following pleurodesis,Interact Cardiovasc Thorac Surg,2007,6,4,,,,Hunt I; Teh E; Southon R
44,"Hausheer FH, Yarbro JW. Diagnosis and treatment of malignant pleural effusion. Semin Oncol. 1985;12(2L).",Diagnosis and treatment of malignant pleural effusion,Semin Oncol,1985,12,2L,,,,Hausheer FH; Yarbro JW
45,"Owen S, Gould D. Underwater seal chest drains: the patient's experience. J Clin Nurs. 1997;6(2L).",Underwater seal chest drains: the patient's experience,J Clin Nurs,1997,6,2L,,,,Owen S; Gould D
46,"Goff BA, Mueller PR, Muntz HG. Small chest-tube drainage followed by bleomycin sclerosis for malignant pleural effusions. Obstet Gynecol. 1993;81(3).",Small chest-tube drainage followed by bleomycin sclerosis for malignant pleural effusions,Obstet Gynecol,1993,81,3,,,,Goff BA; Mueller PR; Muntz HG
47,"Chen YM, Shih JF, Yang KY. Usefulness of pig-tail catheter for palliative drainage of malignant pleural effusions in cancer patients. Support Care Cancer. 2000;8(2L).",Usefulness of pig-tail catheter for palliative drainage of malignant pleural effusions in cancer patients,Support Care Cancer,2000,8,2L,,,,Chen YM; Shih JF; Yang KY
48,"Patz EF, Mcadams HP, Erasmus JJ. Sclerotherapy for malignant pleural effusions: a prospective randomized trial of bleomycin vs doxycycline with smallbore catheter drainage. Chest. 1998;113(1L).",Sclerotherapy for malignant pleural effusions: a prospective randomized trial of bleomycin vs doxycycline with smallbore catheter drainage,Chest,1998,113,1L,,,,Patz EF; Mcadams HP; Erasmus JJ
49,"Patz EF, Mcadams HP, Goodman PC. Ambulatory sclerotherapy for malignant pleural effusions. Radiology. 1996;199(2L).",Ambulatory sclerotherapy for malignant pleural effusions,Radiology,1996,199,2L,,,,Patz EF; Mcadams HP; Goodman PC
50,"Tarver RD, Broderick LS, Conces DJ. Reexpansion pulmonary edema. J Thorac Imaging. 1996;11(4).",Reexpansion pulmonary edema,J Thorac Imaging,1996,11,4,,,,Tarver RD; Broderick LS; Conces DJ
51,"Mahfood S, Hix WR, Aaron BL. Reexpansion pulmonary edema. Ann Thorac Surg. 1988;45(3).",Reexpansion pulmonary edema,Ann Thorac Surg,1988,45,3,,,,Mahfood S; Hix WR; Aaron BL
52,"Nakamura H, Ishizaka A, Sawafuji M. Elevated levels of interleukin-8 and leukotriene B4 in pulmonary edema fluid of a patient with reexpansion pulmonary edema. Am J Respir Crit Care Med. 1994;149(4 Pt 1).",Elevated levels of interleukin-8 and leukotriene B4 in pulmonary edema fluid of a patient with reexpansion pulmonary edema,Am J Respir Crit Care Med,1994,149,4 Pt 1,,,,Nakamura H; Ishizaka A; Sawafuji M
53,"Trachiotis GD, Vricella LA, Aaron BL. As originally published in 1988: Reexpansion pulmonary edema. Updated in 1997. Ann Thorac Surg. 1997;63(4).",As originally published in 1988: Reexpansion pulmonary edema. Updated in 1997,Ann Thorac Surg,1997,63,4,,,,Trachiotis GD; Vricella LA; Aaron BL
54,"Adler RH, Sayek I. Treatment of malignant pleural effusion: a method using tube thoracostomy and talc. Ann Thorac Surg. 1976;22(3).",Treatment of malignant pleural effusion: a method using tube thoracostomy and talc,Ann Thorac Surg,1976,22,3,,,,Adler RH; Sayek I
55,"Villanueva AG, Gray AW, Jr, Shahian DM. Efficacy of short term versus long term tube thoracostomy drainage before tetracycline pleurodesis in the treatment of malignant pleural effusions. Thorax. 1994;49(1+).",Efficacy of short term versus long term tube thoracostomy drainage before tetracycline pleurodesis in the treatment of malignant pleural effusions,Thorax,1994,49,1+,,,,Villanueva AG; Gray AW; Jr; Shahian DM
56,"Kennedy L, Rusch VW, Strange C. Pleurodesis using talc slurry. Chest. 1994;106(2L).",Pleurodesis using talc slurry,Chest,1994,106,2L,,,,Kennedy L; Rusch VW; Strange C
57,"Robinson LA, Fleming WH, Galbraith TA. Intrapleural doxycycline control of malignant pleural effusions. Ann Thorac Surg. 1993;55(2L).",Intrapleural doxycycline control of malignant pleural effusions,Ann Thorac Surg,1993,55,2L,,,,Robinson LA; Fleming WH; Galbraith TA
58,"Goodman A, Davies C. Efficacy of short-term versus long-term chest tube drainage following talc slurry pleurodesis in patients with malignant pleural effusions: a randomised trial. Lung Cancer. 2006;54(1L).",Efficacy of short-term versus long-term chest tube drainage following talc slurry pleurodesis in patients with malignant pleural effusions: a randomised trial,Lung Cancer,2006,54,1L,,,,Goodman A; Davies C
59,"Pulsiripunya C, Youngchaiyud P, Pushpakom R. The efficacy of doxycycline as a pleural sclerosing agent in malignant pleural effusion: a prospective study. Respirology. 1996;1(2L).",The efficacy of doxycycline as a pleural sclerosing agent in malignant pleural effusion: a prospective study,Respirology,1996,1,2L,,,,Pulsiripunya C; Youngchaiyud P; Pushpakom R
60,"Wooten SA, Barbarash RA, Strange C. Systemic absorption of tetracycline and lidocaine following intrapleural instillation. Chest. 1988;94(2L).",Systemic absorption of tetracycline and lidocaine following intrapleural instillation,Chest,1988,94,2L,,,,Wooten SA; Barbarash RA; Strange C
61,"Sherman S, Grady KJ, Seidman JC. Clinical experience with tetracycline pleurodesis of malignant pleural effusions. South Med J. 1987;80(2L).",Clinical experience with tetracycline pleurodesis of malignant pleural effusions,South Med J,1987,80,2L,,,,Sherman S; Grady KJ; Seidman JC
62,"Whitwam J, CW. Day-case anaesthesia and sedation. Day-case anaesthesia and sedation. 1994;None.",Day-case anaesthesia and sedation,Day-case anaesthesia and sedation,1994,,,,,,Whitwam J; CW
63,"Shaw P, Agarwal R. Pleurodesis for malignant pleural effusions. Cochrane Database Syst Rev. 2004;1:2916.",Pleurodesis for malignant pleural effusions,Cochrane Database Syst Rev,2004,,1,2916,,,Shaw P; Agarwal R
64,"Tan C, Sedrakyan A, Browne J. The evidence on the effectiveness of management for malignant pleural effusion: a systematic review. Eur J Cardiothorac Surg. 2006;29(1+).",The evidence on the effectiveness of management for malignant pleural effusion: a systematic review,Eur J Cardiothorac Surg,2006,29,1+,,,,Tan C; Sedrakyan A; Browne J
65,"Heffner JE, Unruh LC. Tetracycline pleurodesis. Adios, farewell, adieu. Chest. 1992;101(4).","Tetracycline pleurodesis. Adios, farewell, adieu",Chest,1992,101,4,,,,Heffner JE; Unruh LC
66,Bethune N. Pleural poudrage: new technique for deliberate production of pleural adhesions as preliminary to lobectomy. J Thorac Cardiovasc Surg. 1935;4(3).,Pleural poudrage: new technique for deliberate production of pleural adhesions as preliminary to lobectomy,J Thorac Cardiovasc Surg,1935,4,3,,,,Bethune N
67,"Webb WR, Ozmen V, Moulder PV. Iodized talc pleurodesis for the treatment of pleural effusions. J Thorac Cardiovasc Surg. 1992;103(2L).",Iodized talc pleurodesis for the treatment of pleural effusions,J Thorac Cardiovasc Surg,1992,103,2L,,,,Webb WR; Ozmen V; Moulder PV
68,"Yim AP, Chan AT, Lee TW. Thoracoscopic talc insufflation versus talc slurry for symptomatic malignant pleural effusion. Ann Thorac Surg. 1996;62(1L).",Thoracoscopic talc insufflation versus talc slurry for symptomatic malignant pleural effusion,Ann Thorac Surg,1996,62,1L,,,,Yim AP; Chan AT; Lee TW
69,"Marom EM, Patz EF, Jr, Erasmus JJ. Malignant pleural effusions: treatment with small-bore-catheter thoracostomy and talc pleurodesis. Radiology. 1999;210(2+).",Malignant pleural effusions: treatment with small-bore-catheter thoracostomy and talc pleurodesis,Radiology,1999,210,2+,,,,Marom EM; Patz EF; Jr; Erasmus JJ
70,"Thompson RL, Yau JC, Donnelly RF. Pleurodesis with iodized talc for malignant effusions using pigtail catheters. Ann Pharmacother. 1998;32(3).",Pleurodesis with iodized talc for malignant effusions using pigtail catheters,Ann Pharmacother,1998,32,3,,,,Thompson RL; Yau JC; Donnelly RF
71,"Lynch TJ. Optimal therapy of malignant pleural effusions: Report of a randomized trial of bleomycin, tetracycline, and talc and a meta-analysis. Int J Oncol. 1996;8(1L).","Optimal therapy of malignant pleural effusions: Report of a randomized trial of bleomycin, tetracycline, and talc and a meta-analysis",Int J Oncol,1996,8,1L,,,,Lynch TJ
72,"Zimmer PW, Hill M, Casey K. Prospective randomized trial of talc slurry vs bleomycin in pleurodesis for symptomatic malignant pleural effusions. Chest. 1997;112(1+).",Prospective randomized trial of talc slurry vs bleomycin in pleurodesis for symptomatic malignant pleural effusions,Chest,1997,112,1+,,,,Zimmer PW; Hill M; Casey K
73,"Manes N, Rodriguez-Panadero F, Bravo J. Talc pleurodesis. Prospective and randomized study clinical follow up. Chest. 2000;118(1L):131S.",Talc pleurodesis. Prospective and randomized study clinical follow up,Chest,2000,118,1L,131S,,,Manes N; Rodriguez-Panadero F; Bravo J
74,"Dresler CM, Olak J, Herndon JE. Phase 3 intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127(1L).",Phase 3 intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,1L,,,,Dresler CM; Olak J; Herndon JE
75,"Stefani A, Natali P, Casali C. Talc poudrage versus talc slurry in the treatment of malignant pleural effusion. A prospective comparative study. Eur J Cardiothorac Surg. 2006;30(2L).",Talc poudrage versus talc slurry in the treatment of malignant pleural effusion. A prospective comparative study,Eur J Cardiothorac Surg,2006,30,2L,,,,Stefani A; Natali P; Casali C
76,"Diacon AH, Wyser C, Bolliger CT. Prospective randomized comparison of thoracoscopic talc poudrage under local anesthesia versus bleomycin instillation for pleurodesis in malignant pleural effusions. Am J Respir Crit Care Med. 2000;162(4 Pt 1).",Prospective randomized comparison of thoracoscopic talc poudrage under local anesthesia versus bleomycin instillation for pleurodesis in malignant pleural effusions,Am J Respir Crit Care Med,2000,162,4 Pt 1,,,,Diacon AH; Wyser C; Bolliger CT
77,"Kuzdzal J, Sladek K, Wasowski D. Talc powder vs doxycycline in the control of malignant pleural effusion: a prospective, randomized trial. Med Sci Monitor. 2003;9(1L).","Talc powder vs doxycycline in the control of malignant pleural effusion: a prospective, randomized trial",Med Sci Monitor,2003,9,1L,,,,Kuzdzal J; Sladek K; Wasowski D
78,"Fentiman IS, Rubens RD, Hayward JL. A comparison of intracavitary talc and tetracycline for the control of pleural effusions secondary to breast cancer. Eur J Cancer Clin Oncol. 1986;22(1L).",A comparison of intracavitary talc and tetracycline for the control of pleural effusions secondary to breast cancer,Eur J Cancer Clin Oncol,1986,22,1L,,,,Fentiman IS; Rubens RD; Hayward JL
79,"Brant A, Eaton T. Serious complications with talc slurry pleurodesis. Respirology. 2001;6(2L).",Serious complications with talc slurry pleurodesis,Respirology,2001,6,2L,,,,Brant A; Eaton T
80,"Rinaldo JE, Owens GR, Rogers RM. Adult respiratory distress syndrome following intrapleural instillation of talc. J Thorac Cardiovasc Surg. 1983;85(3).",Adult respiratory distress syndrome following intrapleural instillation of talc,J Thorac Cardiovasc Surg,1983,85,3,,,,Rinaldo JE; Owens GR; Rogers RM
81,"Bouchama A, Chastre J, Gaudichet A. Acute pneumonitis with bilateral pleural effusion after talc pleurodesis. Chest. 1984;86(3).",Acute pneumonitis with bilateral pleural effusion after talc pleurodesis,Chest,1984,86,3,,,,Bouchama A; Chastre J; Gaudichet A
82,"Rehse DH, Aye RW, Florence MG. Respiratory failure following talc pleurodesis. Am J Surg. 1999;177(2L).",Respiratory failure following talc pleurodesis,Am J Surg,1999,177,2L,,,,Rehse DH; Aye RW; Florence MG
83,"Campos J, Werebe EC, Vargas FS. Respiratory failure due to insufflated talc. Lancet. 1997;349(3).",Respiratory failure due to insufflated talc,Lancet,1997,349,3,,,,Campos J; Werebe EC; Vargas FS
84,Nandi P. Recurrent spontaneous pneumothorax; an effective method of talc poudrage. Chest. 1980;77(4).,Recurrent spontaneous pneumothorax; an effective method of talc poudrage,Chest,1980,77,4,,,,Nandi P
85,"Ferrer J, Villarino MA, Tura JM. Talc preparations used for pleurodesis vary markedly from one preparation to another. Chest. 2001;119.",Talc preparations used for pleurodesis vary markedly from one preparation to another,Chest,2001,119,,,,,Ferrer J; Villarino MA; Tura JM
86,"Kuzniar T, Mutlu GM. Post-talc pleurodesis acute lung injury: case report and review of literature. Adv Clin Exp Med. 2004;13(3).",Post-talc pleurodesis acute lung injury: case report and review of literature,Adv Clin Exp Med,2004,13,3,,,,Kuzniar T; Mutlu GM
87,"Bondoc AY, Bach PB, Sklarin NT. Arterial desaturation syndrome following pleurodesis with talc slurry: incidence, clinical features, and outcome. Cancer Invest. 2003;21(2L).","Arterial desaturation syndrome following pleurodesis with talc slurry: incidence, clinical features, and outcome",Cancer Invest,2003,21,2L,,,,Bondoc AY; Bach PB; Sklarin NT
88,"Maskell NA, Lee YC, Gleeson FV. Randomized trials describing lung inflammation after pleurodesis with talc of varying particle size. Am J Respir Crit Care Med. 2004;170(1+).",Randomized trials describing lung inflammation after pleurodesis with talc of varying particle size,Am J Respir Crit Care Med,2004,170,1+,,,,Maskell NA; Lee YC; Gleeson FV
89,"Janssen JP, Collier G, Astoul P. Safety of pleurodesis with talc poudrage in malignant pleural effusion: a prospective cohort study. Lancet. 2007;369.",Safety of pleurodesis with talc poudrage in malignant pleural effusion: a prospective cohort study,Lancet,2007,369,,,,,Janssen JP; Collier G; Astoul P
90,"Werebe EC, Pazetti R, De Campos M, JR. Systemic distribution of talc after intrapleural administration in rats. Chest. 1999;115(2+).",Systemic distribution of talc after intrapleural administration in rats,Chest,1999,115,2+,,,,Werebe EC; Pazetti R; De Campos M; JR
91,"Fraticelli A, Robaglia-Schlupp A, Riera H. Distribution of calibrated talc after intrapleural administration: an experimental study in rats. Chest. 2002;122(2+).",Distribution of calibrated talc after intrapleural administration: an experimental study in rats,Chest,2002,122,2+,,,,Fraticelli A; Robaglia-Schlupp A; Riera H
92,"Ferrer J, Montes JF, Villarino MA. Influence of particle size on extrapleural talc dissemination after talc slurry pleurodesis. Chest. 2002;122(2+).",Influence of particle size on extrapleural talc dissemination after talc slurry pleurodesis,Chest,2002,122,2+,,,,Ferrer J; Montes JF; Villarino MA
93,"Alberts DS, Chen HS, Mayersohn M. Bleomycin pharmacokinetics in man. 2. Intracavitary administration. Cancer Chemother Pharmacol. 1979;2(3).",Bleomycin pharmacokinetics in man. 2. Intracavitary administration,Cancer Chemother Pharmacol,1979,2,3,,,,Alberts DS; Chen HS; Mayersohn M
94,"Bitran JD, Brown C, Desser RK. Intracavitary bleomycin for the control of malignant effusions. J Surg Oncol. 1981;16(3).",Intracavitary bleomycin for the control of malignant effusions,J Surg Oncol,1981,16,3,,,,Bitran JD; Brown C; Desser RK
