#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17(1).",Flexible bronchofiberscope,Keio J Med,1968,17,1,,,,Ikeda S; Yanai N; Ishikawa S
17,"Rojas-Solano JR, Gamboa U, Machuzak L, M. Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study. J Bronchology Interv Pulmonol. 2018;25(3).",Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study,J Bronchology Interv Pulmonol,2018,25,3,,,,Rojas-Solano JR; Gamboa U; Machuzak L; M
18,"Galloway KC, Chen Y, Templeton E, Rife B, Godage IS, Barth EJ. Fiber optic shape sensing for soft robotics. Soft Robot. 2019;6(5).",Fiber optic shape sensing for soft robotics,Soft Robot,2019,6,5,,,,Galloway KC; Chen Y; Templeton E; Rife B; Godage IS; Barth EJ
19,"Poeggel S, Tosi D, Duraibabu D, Leen G, Mcgrath D, Lewis E. Optical fibre pressure sensors in medical applications. Sensors. 2015;15(7).",Optical fibre pressure sensors in medical applications,Sensors,2015,15,7,,,,Poeggel S; Tosi D; Duraibabu D; Leen G; Mcgrath D; Lewis E
20,"Chen AC, Gillespie CT. Robotic endoscopic airway challenge: REACH assessment. Ann Thorac Surg. 2018;106(1).",Robotic endoscopic airway challenge: REACH assessment,Ann Thorac Surg,2018,106,1,,,,Chen AC; Gillespie CT
21,"Yarmus L, Akulian J, Wahidi M. A prospective randomized comparative study of three guided bronchoscopic approaches for investigating pulmonary nodules: the PRECISION-1 Study. Chest. 2020;157(3).",A prospective randomized comparative study of three guided bronchoscopic approaches for investigating pulmonary nodules: the PRECISION-1 Study,Chest,2020,157,3,,,,Yarmus L; Akulian J; Wahidi M
22,"Chen AC, Pastis NJ, Machuzak MS. Accuracy of a robotic endoscopic system in cadaver models with simulated tumor targets: ACCESS study. Respiration. 2020;99(1).",Accuracy of a robotic endoscopic system in cadaver models with simulated tumor targets: ACCESS study,Respiration,2020,99,1,,,,Chen AC; Pastis NJ; Machuzak MS
23,"Kapp CM, Akulian JA, Yu DH. Cognitive load association for electromagnetic navigational and roboticassisted bronchoscopy for pulmonary nodules. ATS Sch. 2020;2(1).",Cognitive load association for electromagnetic navigational and roboticassisted bronchoscopy for pulmonary nodules,ATS Sch,2020,2,1,,,,Kapp CM; Akulian JA; Yu DH
24,"Chaddha U, Kovacs SP, Manley C. Robot-assisted bronchoscopy for pulmonary lesion diagnosis: results from the initial multicenter experience. BMC Pulm Med. 2019;19(1).",Robot-assisted bronchoscopy for pulmonary lesion diagnosis: results from the initial multicenter experience,BMC Pulm Med,2019,19,1,,,,Chaddha U; Kovacs SP; Manley C
25,"Benn BS, Romero AO, Lum M, Krishna G. Robotic-assisted navigation bronchoscopy as a paradigm shift in peripheral lung access. Lung. 2021;199(2).",Robotic-assisted navigation bronchoscopy as a paradigm shift in peripheral lung access,Lung,2021,199,2,,,,Benn BS; Romero AO; Lum M; Krishna G
26,"Fielding D, Bashirzadeh F, Son JH. First human use of a new robotic-assisted fiber optic sensing navigation system for small peripheral pulmonary nodules. Respiration. 2019;98(2).",First human use of a new robotic-assisted fiber optic sensing navigation system for small peripheral pulmonary nodules,Respiration,2019,98,2,,,,Fielding D; Bashirzadeh F; Son JH
27,"Zhang P, Hunt M, Telles AB. Design and validation of a MV/kV imaging-based markerless tracking system for assessing real-time lung tumor motion. Med Phys. 2018;45(12).",Design and validation of a MV/kV imaging-based markerless tracking system for assessing real-time lung tumor motion,Med Phys,2018,45,12,,,,Zhang P; Hunt M; Telles AB
28,"Harris PA, Taylor R, Minor BL. The REDCap consortium: building an international community of software platform partners. J Biomed Inform. 2019;95:103208.",The REDCap consortium: building an international community of software platform partners,J Biomed Inform,2019,95,,103208,,,Harris PA; Taylor R; Minor BL
29,"Chen AC, Loiselle A, Zhou L, Baty J, Misselhorn D. Localization of peripheral pulmonary lesions using a method of computed tomography-anatomic correlation and radial probe endobronchial ultrasound confirmation. Ann Am Thorac Soc. 2016;13(9).",Localization of peripheral pulmonary lesions using a method of computed tomography-anatomic correlation and radial probe endobronchial ultrasound confirmation,Ann Am Thorac Soc,2016,13,9,,,,Chen AC; Loiselle A; Zhou L; Baty J; Misselhorn D
30,"Pritchett MA, Schampaert S, De Groot J, Schirmer CC, Van Der Bom I. Cone-beam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules. J Bronchology Interv Pulmonol. 2018;25(4).",Cone-beam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules,J Bronchology Interv Pulmonol,2018,25,4,,,,Pritchett MA; Schampaert S; De Groot J; Schirmer CC; Van Der Bom I
31,"Casal RF, Sepesi B, Sagar AS. Centrally located lung cancer and risk of occult nodal disease: an objective evaluation of multiple definitions of tumour centrality with dedicated imaging software. Eur Respir J. 2019;53(5):1802220.",Centrally located lung cancer and risk of occult nodal disease: an objective evaluation of multiple definitions of tumour centrality with dedicated imaging software,Eur Respir J,2019,53,5,1802220,,,Casal RF; Sepesi B; Sagar AS
32,"Chang JY, Bezjak A, Mornex F. Stereotactic ablative radiotherapy for centrally located early stage non-small-cell lung cancer: what we have learned. J Thorac Oncol. 2015;10(4).",Stereotactic ablative radiotherapy for centrally located early stage non-small-cell lung cancer: what we have learned,J Thorac Oncol,2015,10,4,,,,Chang JY; Bezjak A; Mornex F
33,"Seijo LM, De Torres JP, Lozano MD. Diagnostic yield of electromagnetic navigation bronchoscopy is highly dependent on the presence of a Bronchus sign on CT results from a prospective study. Chest. 2010;138(6).",Diagnostic yield of electromagnetic navigation bronchoscopy is highly dependent on the presence of a Bronchus sign on CT results from a prospective study,Chest,2010,138,6,,,,Seijo LM; De Torres JP; Lozano MD
34,Weibel ER. Principles and methods for the morphometric study of the lung and other organs. Lab Invest. 1963;12.,Principles and methods for the morphometric study of the lung and other organs,Lab Invest,1963,12,,,,,Weibel ER
35,"Kurimoto N, Miyazawa T, Okimasa S. Endobronchial ultrasonography using a guide sheath increases the ability to diagnose peripheral pulmonary lesions endoscopically. Chest. 2004;126(3).",Endobronchial ultrasonography using a guide sheath increases the ability to diagnose peripheral pulmonary lesions endoscopically,Chest,2004,126,3,,,,Kurimoto N; Miyazawa T; Okimasa S
36,"Chen A, Chenna P, Loiselle A, Massoni J, Mayse M, Misselhorn D. Radial probe endobronchial ultrasound for peripheral pulmonary lesions. A 5-year institutional experience. Ann Am Thorac Soc. 2014;11(4).",Radial probe endobronchial ultrasound for peripheral pulmonary lesions. A 5-year institutional experience,Ann Am Thorac Soc,2014,11,4,,,,Chen A; Chenna P; Loiselle A; Massoni J; Mayse M; Misselhorn D
37,"Bertoletti L, Robert A, Cottier M, Chambonniere ML, Vergnon JM. Accuracy and feasibility of electromagnetic navigated bronchoscopy under nitrous oxide sedation for pulmonary peripheral opacities: an outpatient study. Respiration. 2009;78(3).",Accuracy and feasibility of electromagnetic navigated bronchoscopy under nitrous oxide sedation for pulmonary peripheral opacities: an outpatient study,Respiration,2009,78,3,,,,Bertoletti L; Robert A; Cottier M; Chambonniere ML; Vergnon JM
38, PRECIsE: a prospective evaluation of the clinical utility for the ion endoluminal system. PRECIsE: a prospective evaluation of the clinical utility for the ion endoluminal system. 2019;None.,PRECIsE: a prospective evaluation of the clinical utility for the ion endoluminal system,PRECIsE: a prospective evaluation of the clinical utility for the ion endoluminal system,2019,,,,,,
39,"Landis JR, Koch GG. The measurement of observer agreement for categorical data. Biometrics. 1977;33(1).",The measurement of observer agreement for categorical data,Biometrics,1977,33,1,,,,Landis JR; Koch GG
40,"Wagh A, Ho E, Murgu S, Hogarth DK. Improving diagnostic yield of navigational bronchoscopy for peripheral pulmonary lesions: a review of advancing technology. J Thorac Dis. 2020;12(12).",Improving diagnostic yield of navigational bronchoscopy for peripheral pulmonary lesions: a review of advancing technology,J Thorac Dis,2020,12,12,,,,Wagh A; Ho E; Murgu S; Hogarth DK
41,"Detterbeck FC, Mazzone PJ, Naidich DP, Bach PB. Screening for lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Screening for lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Detterbeck FC; Mazzone PJ; Naidich DP; Bach PB
42,"Gaga M, Powell CA, Schraufnagel DE. An official American Thoracic Society/European Respiratory Society statement: the role of the pulmonologist in the diagnosis and management of lung cancer. Am J Respir Crit Care Med. 2013;188(4).",An official American Thoracic Society/European Respiratory Society statement: the role of the pulmonologist in the diagnosis and management of lung cancer,Am J Respir Crit Care Med,2013,188,4,,,,Gaga M; Powell CA; Schraufnagel DE
43,"Gex G, Pralong JA, Combescure C, Seijo L, Rochat T, Soccal PM. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and metaanalysis. Respiration. 2014;87(2).",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and metaanalysis,Respiration,2014,87,2,,,,Gex G; Pralong JA; Combescure C; Seijo L; Rochat T; Soccal PM
44,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
45,"Folch EE, Labarca G, Ospina-Delgado D. Sensitivity and safety of electromagnetic navigation bronchoscopy for lung cancer diagnosis: systematic review and meta-analysis. Chest. 2020;158(4).",Sensitivity and safety of electromagnetic navigation bronchoscopy for lung cancer diagnosis: systematic review and meta-analysis,Chest,2020,158,4,,,,Folch EE; Labarca G; Ospina-Delgado D
46,"Steinfort DP, Khor YH, Manser RL, Irving LB. Radial probe endobronchial ultrasound for the diagnosis of peripheral lung cancer: systematic review and meta-analysis. Eur Respir J. 2011;37(4).",Radial probe endobronchial ultrasound for the diagnosis of peripheral lung cancer: systematic review and meta-analysis,Eur Respir J,2011,37,4,,,,Steinfort DP; Khor YH; Manser RL; Irving LB
47,"Chen AC, Pastis NJ, Jr, Mahajan AK. Robotic bronchoscopy for peripheral pulmonary lesions: a multicenter pilot and feasibility study (BENEFIT). Chest. 2021;159(2).",Robotic bronchoscopy for peripheral pulmonary lesions: a multicenter pilot and feasibility study (BENEFIT),Chest,2021,159,2,,,,Chen AC; Pastis NJ; Jr; Mahajan AK
48,"Agrawal A, Hogarth DK, Murgu S. Robotic bronchoscopy for pulmonary lesions: a review of existing technologies and clinical data. J Thorac Dis. 2020;12(6).",Robotic bronchoscopy for pulmonary lesions: a review of existing technologies and clinical data,J Thorac Dis,2020,12,6,,,,Agrawal A; Hogarth DK; Murgu S
