#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Siegel RL, Miller KD, Jemal A. Cancer statistics. CA Cancer J Clin. 2018;68(1).",Cancer statistics,CA Cancer J Clin,2018,68,1,,,,Siegel RL; Miller KD; Jemal A
59,"Ozgul G, Cetinkaya E, Ozgul MA. Efficacy and safety of electromagnetic navigation bronchoscopy with or without radial endobronchial ultrasound for peripheral lung lesions. Endosc Ultrasound. 2016;5(3).",Efficacy and safety of electromagnetic navigation bronchoscopy with or without radial endobronchial ultrasound for peripheral lung lesions,Endosc Ultrasound,2016,5,3,,,,Ozgul G; Cetinkaya E; Ozgul MA
60,"Pearlstein DP, Quinn CC, Burtis CC. Electromagnetic navigation bronchoscopy performed by thoracic surgeons: one center's early success. Ann Thorac Surg. 2012;93(3).",Electromagnetic navigation bronchoscopy performed by thoracic surgeons: one center's early success,Ann Thorac Surg,2012,93,3,,,,Pearlstein DP; Quinn CC; Burtis CC
61,"Saenghirunvattana S, Bechara R, Saenghirunvattana C. Electromagnetic navigation bronchoscopy. BKK Med J. 2017;13(1).",Electromagnetic navigation bronchoscopy,BKK Med J,2017,13,1,,,,Saenghirunvattana S; Bechara R; Saenghirunvattana C
62,"Seijo LM, De Torres JP, Lozano MD. Diagnostic yield of electromagnetic navigation bronchoscopy is highly dependent on the presence of a bronchus sign on CT imaging: results from a prospective study. Chest. 2010;138(6).",Diagnostic yield of electromagnetic navigation bronchoscopy is highly dependent on the presence of a bronchus sign on CT imaging: results from a prospective study,Chest,2010,138,6,,,,Seijo LM; De Torres JP; Lozano MD
63,"Steinfort DP, Bonney A, See K. Sequential multimodality bronchoscopic investigation of peripheral pulmonary lesions. Eur Respir J. 2016;47(2).",Sequential multimodality bronchoscopic investigation of peripheral pulmonary lesions,Eur Respir J,2016,47,2,,,,Steinfort DP; Bonney A; See K
64,"Wilson DS, Bartlett RJ. Improved diagnostic yield of bronchoscopy in a community practice: combination of electromagnetic navigation system and rapid on-site evaluation. J Bronchology Interv Pulmonol. 2007;14(4).",Improved diagnostic yield of bronchoscopy in a community practice: combination of electromagnetic navigation system and rapid on-site evaluation,J Bronchology Interv Pulmonol,2007,14,4,,,,Wilson DS; Bartlett RJ
65,"Bowling MR, Brown C, Anciano CJ. Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass. Ann Thorac Surg. 2017;104(2).",Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass,Ann Thorac Surg,2017,104,2,,,,Bowling MR; Brown C; Anciano CJ
66,"Sun J, Xie F, Zheng X. Learning curve of electromagnetic navigation bronchoscopy for diagnosing peripheral pulmonary nodules in a single institution. Translational Cancer Research. 2017;6(3).",Learning curve of electromagnetic navigation bronchoscopy for diagnosing peripheral pulmonary nodules in a single institution,Translational Cancer Research,2017,6,3,,,,Sun J; Xie F; Zheng X
67,"Abbas A, Kadakia S, Ambur V. Intraoperative electromagnetic navigational bronchoscopic localization of small, deep, or subsolid pulmonary nodules. J Thorac Cardiovasc Surg. 2017;153(6).","Intraoperative electromagnetic navigational bronchoscopic localization of small, deep, or subsolid pulmonary nodules",J Thorac Cardiovasc Surg,2017,153,6,,,,Abbas A; Kadakia S; Ambur V
68,"Awais O, Reidy MR, Mehta K. Electromagnetic navigation bronchoscopy-guided dye marking for thoracoscopic resection of pulmonary nodules. Ann Thorac Surg. 2016;102(1).",Electromagnetic navigation bronchoscopy-guided dye marking for thoracoscopic resection of pulmonary nodules,Ann Thorac Surg,2016,102,1,,,,Awais O; Reidy MR; Mehta K
69,"Bolton WD, Howe H, Iii, Stephenson JE. The utility of electromagnetic navigational bronchoscopy as a localization tool for robotic resection of small pulmonary nodules. Ann Thorac Surg. 2014;98(2).",The utility of electromagnetic navigational bronchoscopy as a localization tool for robotic resection of small pulmonary nodules,Ann Thorac Surg,2014,98,2,,,,Bolton WD; Howe H; Iii; Stephenson JE
70,"Brown J, Lee TJ, Joiner T. Using electromagnetic navigation bronchoscopy and dye injection to aid in video-assisted lung resection. Am Surg. 2016;82(11).",Using electromagnetic navigation bronchoscopy and dye injection to aid in video-assisted lung resection,Am Surg,2016,82,11,,,,Brown J; Lee TJ; Joiner T
71,"Krimsky WS, Minnich DJ, Cattaneo SM. Thoracoscopic detection of occult indeterminate pulmonary nodules using bronchoscopic pleural dye marking. J Community Hosp Intern Med Perspect. 2014;4(1).",Thoracoscopic detection of occult indeterminate pulmonary nodules using bronchoscopic pleural dye marking,J Community Hosp Intern Med Perspect,2014,4,1,,,,Krimsky WS; Minnich DJ; Cattaneo SM
72,"Marino KA, Sullivan JL, Weksler B. Electromagnetic navigation bronchoscopy for identifying lung nodules for thoracoscopic resection. Ann Thorac Surg. 2016;102(2).",Electromagnetic navigation bronchoscopy for identifying lung nodules for thoracoscopic resection,Ann Thorac Surg,2016,102,2,,,,Marino KA; Sullivan JL; Weksler B
73,"Muñoz-Largacha JA, Ebright MI, Litle VR. Electromagnetic navigational bronchoscopy with dye marking for identification of small peripheral lung nodules during minimally invasive surgical resection. J Thorac Dis. 2017;9(3).",Electromagnetic navigational bronchoscopy with dye marking for identification of small peripheral lung nodules during minimally invasive surgical resection,J Thorac Dis,2017,9,3,,,,Muñoz-Largacha JA; Ebright MI; Litle VR
74,"Tay JH, Wallbridge PD, Larobina M. Electromagnetic navigation bronchoscopy-directed pleural tattoo to aid surgical resection of peripheral pulmonary lesions. J Bronchology Interv Pulmonol. 2016;23(3).",Electromagnetic navigation bronchoscopy-directed pleural tattoo to aid surgical resection of peripheral pulmonary lesions,J Bronchology Interv Pulmonol,2016,23,3,,,,Tay JH; Wallbridge PD; Larobina M
75,"Luo K, Lin Y, Lin X. Localization of peripheral pulmonary lesions to aid surgical resection: a novel approach for electromagnetic navigation bronchoscopic dye marking. Eu J Cardiothorac Surg. 2017;52(3).",Localization of peripheral pulmonary lesions to aid surgical resection: a novel approach for electromagnetic navigation bronchoscopic dye marking,Eu J Cardiothorac Surg,2017,52,3,,,,Luo K; Lin Y; Lin X
76,"Anantham D, Feller-Kopman D, Shanmugham LN. Electromagnetic navigation bronchoscopy-guided fiducial placement for robotic stereotactic radiosurgery of lung tumors: a feasibility study. Chest. 2007;132(3).",Electromagnetic navigation bronchoscopy-guided fiducial placement for robotic stereotactic radiosurgery of lung tumors: a feasibility study,Chest,2007,132,3,,,,Anantham D; Feller-Kopman D; Shanmugham LN
77,"Bolton WD, Richey J, Ben-Or S. Electromagnetic navigational bronchoscopy: a safe and effective method for fiducial marker placement in lung cancer patients. Am Surg. 2015;81(7).",Electromagnetic navigational bronchoscopy: a safe and effective method for fiducial marker placement in lung cancer patients,Am Surg,2015,81,7,,,,Bolton WD; Richey J; Ben-Or S
78,"Hagmeyer L, Priegnitz C, Kocher M. Fiducial marker placement via conventional or electromagnetic navigation bronchoscopy (ENB): an interdisciplinary approach to the curative management of lung cancer. Clin Respir J. 2016;10(3).",Fiducial marker placement via conventional or electromagnetic navigation bronchoscopy (ENB): an interdisciplinary approach to the curative management of lung cancer,Clin Respir J,2016,10,3,,,,Hagmeyer L; Priegnitz C; Kocher M
79,"Kupelian PA, Forbes A, Willoughby TR. Implantation and stability of metallic fiducials within pulmonary lesions. Int J Radiat Oncol Biol Phys. 2007;69(3).",Implantation and stability of metallic fiducials within pulmonary lesions,Int J Radiat Oncol Biol Phys,2007,69,3,,,,Kupelian PA; Forbes A; Willoughby TR
80,"Minnich DJ, Bryant AS, Wei B. Retention rate of electromagnetic navigation bronchoscopic placed fiducial markers for lung radiosurgery. Ann Thorac Surg. 2015;100(4).",Retention rate of electromagnetic navigation bronchoscopic placed fiducial markers for lung radiosurgery,Ann Thorac Surg,2015,100,4,,,,Minnich DJ; Bryant AS; Wei B
81,"Rong Y, Bazan JG, Sekhon A. Minimal inter-fractional fiducial migration during image-guided lung stereotactic body radiotherapy using SuperLock Nitinol Coil Fiducial Markers. Eur J Radiol. 2011;10(7).",Minimal inter-fractional fiducial migration during image-guided lung stereotactic body radiotherapy using SuperLock Nitinol Coil Fiducial Markers,Eur J Radiol,2011,10,7,,,,Rong Y; Bazan JG; Sekhon A
82,"Narsule CK, Sales D, Santos R, Gupta A. The efficacy of electromagnetic navigation to assist with computed tomographyguided percutaneous thermal ablation of lung tumors. Innovations. 2012;7(3).",The efficacy of electromagnetic navigation to assist with computed tomographyguided percutaneous thermal ablation of lung tumors,Innovations,2012,7,3,,,,Narsule CK; Sales D; Santos R; Gupta A
83,"Semaan RW, Lee HJ, Feller-Kopman D. Same-day computed tomographic chest imaging for pulmonary nodule targeting with electromagnetic navigation bronchoscopy may decrease unnecessary procedures. Ann Am Thorac Soc. 2016;13(12):100.",Same-day computed tomographic chest imaging for pulmonary nodule targeting with electromagnetic navigation bronchoscopy may decrease unnecessary procedures,Ann Am Thorac Soc,2016,13,12,100,,,Semaan RW; Lee HJ; Feller-Kopman D
84,"Furukawa BS, Pastis NJ, Tanner NT. Comparing pulmonary nodule location during electromagnetic bronchoscopy with predicted location based on two virtual airway maps at different phases of respiration. Chest. 2018;153(1):101.",Comparing pulmonary nodule location during electromagnetic bronchoscopy with predicted location based on two virtual airway maps at different phases of respiration,Chest,2018,153,1,101,,,Furukawa BS; Pastis NJ; Tanner NT
85,"Gex G, Pralong JA, Combescure C. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis. Respiration. 2014;87(2):102.",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis,Respiration,2014,87,2,102,,,Gex G; Pralong JA; Combescure C
