#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Goldstraw P, Ball D, Jett JR. Nonsmall-cell lung cancer. Lancet. 2011;378.",Nonsmall-cell lung cancer,Lancet,2011,378,,,,,Goldstraw P; Ball D; Jett JR
26,"Wilson D, Bartlett R. Improved diagnostic yield of bronchoscopy in a community practice: combination of electromagnetic navigation system and rapid on-site evaluation. J Bronchol. 2007;14(4).",Improved diagnostic yield of bronchoscopy in a community practice: combination of electromagnetic navigation system and rapid on-site evaluation,J Bronchol,2007,14,4,,,,Wilson D; Bartlett R
27,"Bertoletti L, Robert A, Cottier M, Chambonniere ML, Vergnon JM. Accuracy and feasibility of electromagnetic navigated bronchoscopy under nitrous oxide sedation for pulmonary peripheral opacities: an outpatient study. Respiration. 2009;78(3).",Accuracy and feasibility of electromagnetic navigated bronchoscopy under nitrous oxide sedation for pulmonary peripheral opacities: an outpatient study,Respiration,2009,78,3,,,,Bertoletti L; Robert A; Cottier M; Chambonniere ML; Vergnon JM
28,"Lamprecht B, Porsch P, Pirich C, Studnicka M. Electromagnetic navigation bronchoscopy in combination with PET-CT and rapid on-site cytopathologic chestjournal. Electromagnetic navigation bronchoscopy in combination with PET-CT and rapid on-site cytopathologic chestjournal. None;None.",Electromagnetic navigation bronchoscopy in combination with PET-CT and rapid on-site cytopathologic chestjournal,Electromagnetic navigation bronchoscopy in combination with PET-CT and rapid on-site cytopathologic chestjournal,,,,,,,Lamprecht B; Porsch P; Pirich C; Studnicka M
29,"Flenaugh E, Mohammed K. Initial experience using 4D electromagnetic navigation bronchoscopy system with tip tracked instruments for localization of peripheral lung nodules. The Internet Journal of Pulmonary Medicine. 2016;18(1).",Initial experience using 4D electromagnetic navigation bronchoscopy system with tip tracked instruments for localization of peripheral lung nodules,The Internet Journal of Pulmonary Medicine,2016,18,1,,,,Flenaugh E; Mohammed K
30,"Bowling MR, Brown C, Anciano CJ. Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass. Ann Thorac Surg. 2017;104(2).",Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass,Ann Thorac Surg,2017,104,2,,,,Bowling MR; Brown C; Anciano CJ
31,"Sun J, Xie F, Zheng X. Learning curve of electromagnetic navigation bronchoscopy for diagnosing peripheral pulmonary nodules in a single institution. Transl Cancer Res. 2017;6(3).",Learning curve of electromagnetic navigation bronchoscopy for diagnosing peripheral pulmonary nodules in a single institution,Transl Cancer Res,2017,6,3,,,,Sun J; Xie F; Zheng X
32,"Huang H, Chen S, Pan L, Chen K, Yao F, Ma H. Diagnostic utility of electromagnetic navigation bronchoscopy combined with radial probe endobronchial ultrasound in peripheral pulmonary lesions [in Chinese. Zhongguo Fei Ai Za Zhi. 2017;20(12).",Diagnostic utility of electromagnetic navigation bronchoscopy combined with radial probe endobronchial ultrasound in peripheral pulmonary lesions [in Chinese,Zhongguo Fei Ai Za Zhi,2017,20,12,,,,Huang H; Chen S; Pan L; Chen K; Yao F; Ma H
33,"Gu Y, Chen S, Shi J. The introduction of electromagnetic navigation bronchoscopy for the diagnosis of small pulmonary peripheral lesions in an Asian population. J Thorac Dis. 2017;9(9).",The introduction of electromagnetic navigation bronchoscopy for the diagnosis of small pulmonary peripheral lesions in an Asian population,J Thorac Dis,2017,9,9,,,,Gu Y; Chen S; Shi J
34,"Mukherjee S, Chacey M. Diagnostic yield of electromagnetic navigation bronchoscopy using a curved-tip catheter to aid in the diagnosis of pulmonary lesions. J Bronchology Interv Pulmonol. 2017;24(1).",Diagnostic yield of electromagnetic navigation bronchoscopy using a curved-tip catheter to aid in the diagnosis of pulmonary lesions,J Bronchology Interv Pulmonol,2017,24,1,,,,Mukherjee S; Chacey M
35,"Patrucco F, Gavelli F, Daverio M. Electromagnetic navigation bronchoscopy: Where are we now? Five years of a single-center experience. Lung. 2018;196(6).",Electromagnetic navigation bronchoscopy: Where are we now? Five years of a single-center experience,Lung,2018,196,6,,,,Patrucco F; Gavelli F; Daverio M
36,"Panchabhai TS, Roy B, Madan S, N. Electromagnetic navigational bronchoscopy for diagnosing peripheral lung lesions in lung transplant recipients: a single-center experience. J Thorac Dis. 2018;10(8).",Electromagnetic navigational bronchoscopy for diagnosing peripheral lung lesions in lung transplant recipients: a single-center experience,J Thorac Dis,2018,10,8,,,,Panchabhai TS; Roy B; Madan S; N
37,"Sato T, Yutaka Y, Ueda Y. Diagnostic yield of electromagnetic navigational bronchoscopy: results of initial 35 cases in a Japanese institute. J Thorac Dis. 2018;10(suppl 14).",Diagnostic yield of electromagnetic navigational bronchoscopy: results of initial 35 cases in a Japanese institute,J Thorac Dis,2018,10,suppl 14,,,,Sato T; Yutaka Y; Ueda Y
38,"Taton O, Bondue B, Gevenois PA, Remmelink M, Leduc D. Diagnostic yield of combined pulmonary cryobiopsies and electromagnetic navigation in small pulmonary nodules. Pulm Med. 2018;2018:6032974.",Diagnostic yield of combined pulmonary cryobiopsies and electromagnetic navigation in small pulmonary nodules,Pulm Med,2018,2018,,6032974,,,Taton O; Bondue B; Gevenois PA; Remmelink M; Leduc D
39,"Pritchett MA, Schampaert S, De Groot J, Schirmer CC, Van Der Bom I. Cone-beam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules. J Bronchology Interv Pulmonol. 2018;25(4).",Cone-beam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules,J Bronchology Interv Pulmonol,2018,25,4,,,,Pritchett MA; Schampaert S; De Groot J; Schirmer CC; Van Der Bom I
40,"Sobieszczyk MJ, Yuan Z, Li W, Krimsky W. Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis. J Thorac Dis. 2018;10(10).",Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis,J Thorac Dis,2018,10,10,,,,Sobieszczyk MJ; Yuan Z; Li W; Krimsky W
41,"Cho HJ, Roknuggaman M, Han WS, Kang SK, Kang MW. Electromagnetic navigation bronchoscopy-Chungnam National University Hospital experience. J Thorac Dis. 2018;10(suppl 6).",Electromagnetic navigation bronchoscopy-Chungnam National University Hospital experience,J Thorac Dis,2018,10,suppl 6,,,,Cho HJ; Roknuggaman M; Han WS; Kang SK; Kang MW
42,"Folch EE, Pritchett MA, Nead MA. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: oneyear results of the prospective, multicenter NAVIGATE Study. J Thorac Oncol. 2019;14(3).","Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: oneyear results of the prospective, multicenter NAVIGATE Study",J Thorac Oncol,2019,14,3,,,,Folch EE; Pritchett MA; Nead MA
43,"Cheng SL, Chu CM. Electromagnetic navigation bronchoscopy: the initial experience in Hong Kong. J Thorac Dis. 2019;11(4).",Electromagnetic navigation bronchoscopy: the initial experience in Hong Kong,J Thorac Dis,2019,11,4,,,,Cheng SL; Chu CM
44,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
45,"Gex G, Pralong JA, Combescure C, Seijo L, Rochat T, Soccal PM. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and metaanalysis. Respiration. 2014;87(2).",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and metaanalysis,Respiration,2014,87,2,,,,Gex G; Pralong JA; Combescure C; Seijo L; Rochat T; Soccal PM
46,"Zhang W, Chen S, Dong X, Lei P. Metaanalysis of the diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules. J Thorac Dis. 2015;7(5).",Metaanalysis of the diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules,J Thorac Dis,2015,7,5,,,,Zhang W; Chen S; Dong X; Lei P
47,"Hiraki T, Mimura H, Gobara H. Incidence of and risk factors for pneumothorax and chest tube placement after CT fluoroscopy-guided percutaneous lung biopsy: retrospective analysis of the procedures conducted over a 9-year period. AJR Am J Roentgenol. 2010;194(3).",Incidence of and risk factors for pneumothorax and chest tube placement after CT fluoroscopy-guided percutaneous lung biopsy: retrospective analysis of the procedures conducted over a 9-year period,AJR Am J Roentgenol,2010,194,3,,,,Hiraki T; Mimura H; Gobara H
48,"Shinohara S, Hanagiri T, Takenaka M. Evaluation of undiagnosed solitary lung nodules according to the probability of malignancy in the American College of Chest Physicians (ACCP) evidence-based clinical practice guidelines. Radiol Oncol. 2014;48(1).",Evaluation of undiagnosed solitary lung nodules according to the probability of malignancy in the American College of Chest Physicians (ACCP) evidence-based clinical practice guidelines,Radiol Oncol,2014,48,1,,,,Shinohara S; Hanagiri T; Takenaka M
49,"Zuniga S, Vakil PV, Molina E, Bassett S, Jr RL, Ost DE. Sensitivity of radial endobronchial ultrasound guided bronchoscopy for lung cancer in patients with peripheral pulmonary lesions: an updated meta-analysis. Chest. 2020;157(4).",Sensitivity of radial endobronchial ultrasound guided bronchoscopy for lung cancer in patients with peripheral pulmonary lesions: an updated meta-analysis,Chest,2020,157,4,,,,Zuniga S; Vakil PV; Molina E; Bassett S; Jr RL; Ost DE
50,"Sehgal IS, Dhooria S, Aggarwal AN, Agarwal R. Impact of Rapid On-Site Cytological Evaluation (ROSE) on the diagnostic yield of transbronchial needle aspiration during mediastinal lymph node sampling: systematic review and meta-analysis. Chest. 2018;153(4).",Impact of Rapid On-Site Cytological Evaluation (ROSE) on the diagnostic yield of transbronchial needle aspiration during mediastinal lymph node sampling: systematic review and meta-analysis,Chest,2018,153,4,,,,Sehgal IS; Dhooria S; Aggarwal AN; Agarwal R
51,"Labarca G, Folch E, Jantz M, Mehta HJ, Majid A, Fernandez-Bussy S. Adequacy of samples obtained by endobronchial ultrasound with transbronchial needle aspiration for molecular analysis in patients with non-small cell lung cancer. Systematic review and meta-analysis. Ann Am Thorac Soc. 2018;15(10).",Adequacy of samples obtained by endobronchial ultrasound with transbronchial needle aspiration for molecular analysis in patients with non-small cell lung cancer. Systematic review and meta-analysis,Ann Am Thorac Soc,2018,15,10,,,,Labarca G; Folch E; Jantz M; Mehta HJ; Majid A; Fernandez-Bussy S
52,"Vanderlaan PA, Yamaguchi N, Folch E. Success and failure rates of tumor genotyping techniques in routine pathological samples with non-small-cell lung cancer. Lung Cancer. 2014;84(1).",Success and failure rates of tumor genotyping techniques in routine pathological samples with non-small-cell lung cancer,Lung Cancer,2014,84,1,,,,Vanderlaan PA; Yamaguchi N; Folch E
53,"Higgins JP, Thompson SG. Controlling the risk of spurious findings from metaregression. Stat Med. 2004;23(11).",Controlling the risk of spurious findings from metaregression,Stat Med,2004,23,11,,,,Higgins JP; Thompson SG
