#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Klooster K, Hacken T, Hartman NH et al.. Endobronchial valves for emphysema without interlobar collateral ventilation. N Engl J Med. 2015;373.",Endobronchial valves for emphysema without interlobar collateral ventilation,N Engl J Med,2015,373,,,,,Klooster K; Hacken T; Hartman NH; Kerstjens JE; Van Rikxoort HA; Slebos EM; DJ
18,"Gompelmann D, Herth FJ, Slebos DJ et al.. Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema. Respiration. 2014;87.",Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema,Respiration,2014,87,,,,,Gompelmann D; Herth FJ; Slebos DJ; Valipour A; Ernst A; Criner GJ; Eberhardt R
19,"Fishman A, Martinez F, Naunheim K et al.. National Emphysema Treatment Trial Research Group: A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",National Emphysema Treatment Trial Research Group: A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A; Weinmann G; Wood DE
20,"Gompelmann D, Eberhardt R, Schuhmann M, Heussel CP, Herth FJ. Self-expanding Y stents in the treatment of central airway stenosis: a retrospective analysis. Ther Adv Respir Dis. 2013;7.",Self-expanding Y stents in the treatment of central airway stenosis: a retrospective analysis,Ther Adv Respir Dis,2013,7,,,,,Gompelmann D; Eberhardt R; Schuhmann M; Heussel CP; Herth FJ
21,"Beckers F, Lange N, Koryllos A, Picchioni F, Windisch W, Stoelben E. Unilateral lobe resection by video-assisted thoracoscopy leads to the most optimal functional improvement in severe emphysema. Thorac Cardiovasc Surg. 2016;64.",Unilateral lobe resection by video-assisted thoracoscopy leads to the most optimal functional improvement in severe emphysema,Thorac Cardiovasc Surg,2016,64,,,,,Beckers F; Lange N; Koryllos A; Picchioni F; Windisch W; Stoelben E
22,"Sciurba FC, Ernst A, Herth FJ et al.. VENT Study Research Group: A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363.",VENT Study Research Group: A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,,,,,Sciurba FC; Ernst A; Herth FJ; Strange C; Criner GJ; Marquette CH; Kovitz KL; Chiacchierini RP; Goldin J; Mclennan G
23,"Herth FJ, Noppen M, Valipour A et al.. International VENT Study Group: Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39.",International VENT Study Group: Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,,,,,Herth FJ; Noppen M; Valipour A; Leroy S; Vergnon JM; Ficker JH; Egan JJ; Gasparini S; Agusti C; Holmes-Higgin D; EA
24,"Valipour A, Herth FJ, Burghuber OC et al.. VENT Study Group: Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy. Eur Respir J. 2014;43.",VENT Study Group: Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy,Eur Respir J,2014,43,,,,,Valipour A; Herth FJ; Burghuber OC; Criner G; Vergnon JM; Goldin J; Sciurba F; Ernst A
25,"Hopkinson NS, Kemp SV, Toma TP et al.. Atelectasis and survival after bronchoscopic lung volume reduction for COPD. Eur Respir J. 2011;37.",Atelectasis and survival after bronchoscopic lung volume reduction for COPD,Eur Respir J,2011,37,,,,,Hopkinson NS; Kemp SV; Toma TP; Hansell DM; Geddes DM; Shah PL; Polkey MI
26,"Venuta F, Anile M, Diso D et al.. Long-term follow-up after bronchoscopic lung volume reduction in patients with emphysema. Eur Respir J. 2012;39.",Long-term follow-up after bronchoscopic lung volume reduction in patients with emphysema,Eur Respir J,2012,39,,,,,Venuta F; Anile M; Diso D; Carillo C; Giacomo D; T; 'andrilli D; Fraioli A; Rendina F; Coloni EA; GF
27,"Hopkinson NS, Toma TP, Hansell DM et al.. Effect of bronchoscopic lung volume reduction on dynamic hyperinflation and exercise in emphysema. Am J Respir Crit Care Med. 2005;171.",Effect of bronchoscopic lung volume reduction on dynamic hyperinflation and exercise in emphysema,Am J Respir Crit Care Med,2005,171,,,,,Hopkinson NS; Toma TP; Hansell DM; Goldstraw P; Moxham J; Geddes DM; Polkey MI
