#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Risks of chest drain insertion. NPSA. 2008;003.,Risks of chest drain insertion,NPSA,2008,003,,,,,
53,"Aylwin CJ, Brohi K, Davies GD. Pre-hospital and in-hospital thoracostomy: indications and complications. Ann R Coll Surg Engl. 2008;90(2L).",Pre-hospital and in-hospital thoracostomy: indications and complications,Ann R Coll Surg Engl,2008,90,2L,,,,Aylwin CJ; Brohi K; Davies GD
54,Bailey RC. Complications of tube thoracostomy in trauma. J Accid Emerg Med. 2000;17(3).,Complications of tube thoracostomy in trauma,J Accid Emerg Med,2000,17,3,,,,Bailey RC
55,"Baldt MM, Bankier AA, Germann PS. Complications after emergency tube thoracostomy: assessment with CT. Radiology. 1995;195(3).",Complications after emergency tube thoracostomy: assessment with CT,Radiology,1995,195,3,,,,Baldt MM; Bankier AA; Germann PS
56,"Ball CG, Lord J, Laupland KB. Chest tube complications: how well are we training our residents?. Can J Surg. 2007;50(3).",Chest tube complications: how well are we training our residents?,Can J Surg,2007,50,3,,,,Ball CG; Lord J; Laupland KB
57,"Daly RC, Mucha P, Pairolero PC. The risk of percutaneous chest tube thoracostomy for blunt thoracic trauma. Ann Emerg Med. 1985;14(3).",The risk of percutaneous chest tube thoracostomy for blunt thoracic trauma,Ann Emerg Med,1985,14,3,,,,Daly RC; Mucha P; Pairolero PC
58,Deneuville M. Morbidity of percutaneous tube thoracostomy in trauma patients. Eur J Cardiothorac Surg. 2002;22(2+).,Morbidity of percutaneous tube thoracostomy in trauma patients,Eur J Cardiothorac Surg,2002,22,2+,,,,Deneuville M
59,"Etoch SW, Bar-Natan MF, Miller FB. Tube thoracostomy. Factors related to complications. Arch Surg. 1995;130(3).",Tube thoracostomy. Factors related to complications,Arch Surg,1995,130,3,,,,Etoch SW; Bar-Natan MF; Miller FB
60,"Heng K, Bystrzycki A, Fitzgerald M. Complications of intercostal catheter insertion using EMST techniques for chest trauma. Aust NZ J Surg. 2004;74(3).",Complications of intercostal catheter insertion using EMST techniques for chest trauma,Aust NZ J Surg,2004,74,3,,,,Heng K; Bystrzycki A; Fitzgerald M
61,"Chan L, Reilly KM, Henderson C. Complication rates of tube thoracostomy. Am J Emerg Med. 1997;15(3).",Complication rates of tube thoracostomy,Am J Emerg Med,1997,15,3,,,,Chan L; Reilly KM; Henderson C
62,"Maxwell RA, Campbell DJ, Fabian TC. Use of presumptive antibiotics following tube thoracostomy for traumatic hemopneumothorax in the prevention of empyema and pneumoniaea multi-center trial. J Trauma. 2004;57(1L).",Use of presumptive antibiotics following tube thoracostomy for traumatic hemopneumothorax in the prevention of empyema and pneumoniaea multi-center trial,J Trauma,2004,57,1L,,,,Maxwell RA; Campbell DJ; Fabian TC
63,"Stone HH, Symbas PN, Hooper CA. Cefamandole for prophylaxis against infection in closed tube thoracostomy. J Trauma. 1981;21(1+).",Cefamandole for prophylaxis against infection in closed tube thoracostomy,J Trauma,1981,21,1+,,,,Stone HH; Symbas PN; Hooper CA
64,"Aguilar MM, Battistella FD, Owings JT. Posttraumatic empyema. Risk factor analysis. Arch Surg. 1997;132(2L).",Posttraumatic empyema. Risk factor analysis,Arch Surg,1997,132,2L,,,,Aguilar MM; Battistella FD; Owings JT
65,"Cant PJ, Smyth S, Smart DO. Antibiotic prophylaxis is indicated for chest stab wounds requiring closed tube thoracostomy. Br J Surg. 1993;80(1+).",Antibiotic prophylaxis is indicated for chest stab wounds requiring closed tube thoracostomy,Br J Surg,1993,80,1+,,,,Cant PJ; Smyth S; Smart DO
66,"Demetriades D, Breckon V, Breckon C. Antibiotic prophylaxis in penetrating injuries of the chest. Ann R Coll Surg Engl. 1991;73(1L).",Antibiotic prophylaxis in penetrating injuries of the chest,Ann R Coll Surg Engl,1991,73,1L,,,,Demetriades D; Breckon V; Breckon C
67,"Nichols RL, Smith JW, Muzik AC. Preventive antibiotic usage in traumatic thoracic injuries requiring closed tube thoracostomy. Chest. 1994;106(1+).",Preventive antibiotic usage in traumatic thoracic injuries requiring closed tube thoracostomy,Chest,1994,106,1+,,,,Nichols RL; Smith JW; Muzik AC
68,"Gonzalez RP, Holevar MR. Role of prophylactic antibiotics for tube thoracostomy in chest trauma. Am Surg. 1998;64(1+).",Role of prophylactic antibiotics for tube thoracostomy in chest trauma,Am Surg,1998,64,1+,,,,Gonzalez RP; Holevar MR
69,"Fallon Wf, Wears RL. Prophylactic antibiotics for the prevention of infectious complications including empyema following tube thoracostomy for trauma: results of meta-analysis. J Trauma. 1992;33(1+).",Prophylactic antibiotics for the prevention of infectious complications including empyema following tube thoracostomy for trauma: results of meta-analysis,J Trauma,1992,33,1+,,,,Fallon Wf; Wears RL
70,"Evans JT, Green JD, Carlin PE. Meta-analysis of antibiotics in tube thoracostomy. Am Surg. 1995;61(1L).",Meta-analysis of antibiotics in tube thoracostomy,Am Surg,1995,61,1L,,,,Evans JT; Green JD; Carlin PE
71,"Clementsen P, Evald T, Grode G. Treatment of malignant pleural effusion: pleurodesis using a small percutaneous catheter. A prospective randomized study. Respir Med. 1998;92(1L).",Treatment of malignant pleural effusion: pleurodesis using a small percutaneous catheter. A prospective randomized study,Respir Med,1998,92,1L,,,,Clementsen P; Evald T; Grode G
72,"Chetty GK, Battula NR, Govindaswamy R. Comparative analysis of the Bonanno catheter and tube thorocostomy in effective aspiration of pleural effusion. Heart Surg Forum. 2006;9(2L):7314.",Comparative analysis of the Bonanno catheter and tube thorocostomy in effective aspiration of pleural effusion,Heart Surg Forum,2006,9,2L,7314,,,Chetty GK; Battula NR; Govindaswamy R
73,"Casola G, Keightley E, A. Pneumothorax: radiologic treatment with small catheters. Radiology. 1988;166(2L).",Pneumothorax: radiologic treatment with small catheters,Radiology,1988,166,2L,,,,Casola G; Keightley E; A
74,"Vedam H, Barnes DJ. Comparison of large-and small-bore intercostal catheters in the management of spontaneous pneumothorax. Intern Med J. 2003;33(2L).",Comparison of large-and small-bore intercostal catheters in the management of spontaneous pneumothorax,Intern Med J,2003,33,2L,,,,Vedam H; Barnes DJ
75,"Benton IJ, Benfield GF. Comparison of a large and small-calibre tube drain for managing spontaneous pneumothoraces. Respir Med. 2009;103(3).",Comparison of a large and small-calibre tube drain for managing spontaneous pneumothoraces,Respir Med,2009,103,3,,,,Benton IJ; Benfield GF
76,"Macha DB, Thomas J, Nelson RC. Pigtail catheters used for percutaneous fluid drainage: comparison of performance characteristics. Radiology. 2006;238(2).",Pigtail catheters used for percutaneous fluid drainage: comparison of performance characteristics,Radiology,2006,238,2,,,,Macha DB; Thomas J; Nelson RC
77,"Parulekar W, Di PG, Matzinger F. Use of small-bore vs large-bore chest tubes for treatment of malignant pleural effusions. Chest. 2001;120(3).",Use of small-bore vs large-bore chest tubes for treatment of malignant pleural effusions,Chest,2001,120,3,,,,Parulekar W; Di PG; Matzinger F
78,"Akhan O, Ozkan O, Akinci D. Image-guided catheter drainage of infected pleural effusions. Diagn Interv Radiol. 2007;13(3).",Image-guided catheter drainage of infected pleural effusions,Diagn Interv Radiol,2007,13,3,,,,Akhan O; Ozkan O; Akinci D
79,"Moulton JS, Benkert RE, Weisiger KH. Treatment of complicated pleural fluid collections with image-guided drainage and intracavitary urokinase. Chest. 1995;108(3).",Treatment of complicated pleural fluid collections with image-guided drainage and intracavitary urokinase,Chest,1995,108,3,,,,Moulton JS; Benkert RE; Weisiger KH
80,"Silverman SG, Mueller PR, Saini S. Thoracic empyema: management with image-guided catheter drainage. Radiology. 1988;169(3).",Thoracic empyema: management with image-guided catheter drainage,Radiology,1988,169,3,,,,Silverman SG; Mueller PR; Saini S
81,"Maskell NA, Davies CW, Nunn AJ. Controlled trial of intrapleural streptokinase for pleural infection. N Engl J Med. 2005;352(3).",Controlled trial of intrapleural streptokinase for pleural infection,N Engl J Med,2005,352,3,,,,Maskell NA; Davies CW; Nunn AJ
82,"Levinson GM, Pennington DW. Intrapleural fibrinolytics combined with image-guided chest tube drainage for pleural infection. Mayo Clin Proc. 2007;82(3).",Intrapleural fibrinolytics combined with image-guided chest tube drainage for pleural infection,Mayo Clin Proc,2007,82,3,,,,Levinson GM; Pennington DW
83,"Vansonnenberg E, Nakamoto SK, Mueller PR. CT-and ultrasound-guided catheter drainage of empyemas after chest-tube failure. Radiology. 1984;151(3).",CT-and ultrasound-guided catheter drainage of empyemas after chest-tube failure,Radiology,1984,151,3,,,,Vansonnenberg E; Nakamoto SK; Mueller PR
84, Implementing ensuring safe sedation practice for healthcare procedures in adults. Implementing ensuring safe sedation practice for healthcare procedures in adults. 2001;None.,Implementing ensuring safe sedation practice for healthcare procedures in adults,Implementing ensuring safe sedation practice for healthcare procedures in adults,2001,,,,,,
85,"Cantin L, Chartrand-Lefebvre C, Lepanto L. Chest tube drainage under radiological guidance for pleural effusion and pneumothorax in a tertiary care university teaching hospital: review of 51 cases. Can Respir J. 2005;12(3).",Chest tube drainage under radiological guidance for pleural effusion and pneumothorax in a tertiary care university teaching hospital: review of 51 cases,Can Respir J,2005,12,3,,,,Cantin L; Chartrand-Lefebvre C; Lepanto L
86,"Remerand F, Luce V, Badachi Y. Incidence of chest tube malposition in the critically ill: a prospective computed tomography study. Anesthesiology. 2007;106(2+).",Incidence of chest tube malposition in the critically ill: a prospective computed tomography study,Anesthesiology,2007,106,2+,,,,Remerand F; Luce V; Badachi Y
87,"Millikan JS, Moore EE, Steiner E. Complications of tube thoracostomy for acute trauma. Am J Surg. 1980;140(3).",Complications of tube thoracostomy for acute trauma,Am J Surg,1980,140,3,,,,Millikan JS; Moore EE; Steiner E
88,"Lim KE, Tai SC, Chan CY. Diagnosis of malpositioned chest tubes after emergency tube thoracostomy: is computed tomography more accurate than chest radiograph?. Clin Imaging. 2005;29(3).",Diagnosis of malpositioned chest tubes after emergency tube thoracostomy: is computed tomography more accurate than chest radiograph?,Clin Imaging,2005,29,3,,,,Lim KE; Tai SC; Chan CY
89,"Ponn RB, Silverman HJ, Federico JA. Outpatient chest tube management. Ann Thorac Surg. 1997;64(3).",Outpatient chest tube management,Ann Thorac Surg,1997,64,3,,,,Ponn RB; Silverman HJ; Federico JA
90,"Roeggla M, Roeggla G, Muellner M. The cost of treatment of spontaneous pneumothorax with the thoracic vent compared with conventional thoracic drainage. Chest. 1996;110(3):303.",The cost of treatment of spontaneous pneumothorax with the thoracic vent compared with conventional thoracic drainage,Chest,1996,110,3,303,,,Roeggla M; Roeggla G; Muellner M
91,"Alphonso N, Tan C, Utley M. A prospective randomized controlled trial of suction versus non-suction to the under-water seal drains following lung resection. Eur J Cardiothorac Surg. 2005;27(1+).",A prospective randomized controlled trial of suction versus non-suction to the under-water seal drains following lung resection,Eur J Cardiothorac Surg,2005,27,1+,,,,Alphonso N; Tan C; Utley M
92,"Marshall MB, Deeb ME, Bleier JI. Suction vs water seal after pulmonary resection: a randomized prospective study. Chest. 2002;121(1L).",Suction vs water seal after pulmonary resection: a randomized prospective study,Chest,2002,121,1L,,,,Marshall MB; Deeb ME; Bleier JI
93,"Bar-El Y, Ross A, Kablawi A. Potentially dangerous negative intrapleural pressures generated by ordinary pleural drainage systems. Chest. 2001;119.",Potentially dangerous negative intrapleural pressures generated by ordinary pleural drainage systems,Chest,2001,119,,,,,Bar-El Y; Ross A; Kablawi A
94,Ayed AK. Suction versus water seal after thoracoscopy for primary spontaneous pneumothorax: prospective randomized study. Ann Thorac Surg. 2003;75(1L).,Suction versus water seal after thoracoscopy for primary spontaneous pneumothorax: prospective randomized study,Ann Thorac Surg,2003,75,1L,,,,Ayed AK
95,"Reed MF, Lyons JM, Luchette FA. Preliminary report of a prospective, randomized trial of underwater seal for spontaneous and iatrogenic pneumothorax. J Am Coll Surg. 2007;204(1L).","Preliminary report of a prospective, randomized trial of underwater seal for spontaneous and iatrogenic pneumothorax",J Am Coll Surg,2007,204,1L,,,,Reed MF; Lyons JM; Luchette FA
96,"Bell RL, Ovadia P, Abdullah F. Chest tube removal: end-inspiration or endexpiration?. J Trauma. 2001;50(1L).",Chest tube removal: end-inspiration or endexpiration?,J Trauma,2001,50,1L,,,,Bell RL; Ovadia P; Abdullah F
97,"Martino K, Merrit S, Boyakye K. Prospective randomized trial of thoracostomy removal algorithms. J Trauma. 1999;46(1L).",Prospective randomized trial of thoracostomy removal algorithms,J Trauma,1999,46,1L,,,,Martino K; Merrit S; Boyakye K
98,"Davis JW, Mackersie RC, Hoyt DB. Randomized study of algorithms for discontinuing tube thoracostomy drainage. J Am Coll Surg. 1994;179(1L).",Randomized study of algorithms for discontinuing tube thoracostomy drainage,J Am Coll Surg,1994,179,1L,,,,Davis JW; Mackersie RC; Hoyt DB
99,"Goerg C, Schwerk WB, Goerg K. Pleural effusion: an ""acoustic window"" for sonography of pleural metastases. Curr Opin Pulm Med. 1991;19(4):103.","Pleural effusion: an ""acoustic window"" for sonography of pleural metastases",Curr Opin Pulm Med,1991,19,4,103,,,Goerg C; Schwerk WB; Goerg K
100,"Tsai TH, Yang PC. Ultrasound in the diagnosis and management of pleural disease. Curr Opin Pulm Med. 2003;9(4):104.",Ultrasound in the diagnosis and management of pleural disease,Curr Opin Pulm Med,2003,9,4,104,,,Tsai TH; Yang PC
101,"Beckh S, Bolcskei PL, Lessnau KD, Ammann ME. Real-time chest ultrasonography: a comprehensive review for the pulmonologist. Radiology. 1994;122(2L):106.",Real-time chest ultrasonography: a comprehensive review for the pulmonologist,Radiology,1994,122,2L,106,,,Beckh S; Bolcskei PL; Lessnau KD; Ammann ME
102,"Lomas DJ, Padley SG, Flower CD. The sonographic appearances of pleural fluid. Br J Radiol. 1993;66(3):107.",The sonographic appearances of pleural fluid,Br J Radiol,1993,66,3,107,,,Lomas DJ; Padley SG; Flower CD
103,"Ellis JR, Gleeson F, Pc, Luh KT, Chang DB. Usefulness of ultrasonography in predicting pleural effusions >500 mL in patients receiving mechanical ventilation. AJR Am J Roentgenol. 1992;12(2L):110.",Usefulness of ultrasonography in predicting pleural effusions >500 mL in patients receiving mechanical ventilation,AJR Am J Roentgenol,1992,12,2L,110,,,Ellis JR; Gleeson F; Pc; Luh KT; Chang DB
104,"Vignon P, Chastagner C, Berkane V. Quantitative assessment of pleural effusion in critically ill patients by means of ultrasonography. Crit Care Med. 2005;33(2L):111.",Quantitative assessment of pleural effusion in critically ill patients by means of ultrasonography,Crit Care Med,2005,33,2L,111,,,Vignon P; Chastagner C; Berkane V
