#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Lung Cancer Statistics. Lung Cancer Statistics. 2024;None.,Lung Cancer Statistics,Lung Cancer Statistics,2024,,,,,,
12,"Bruzzi JF, Komaki R, Walsh GL. Imaging of non-small cell lung cancer of the superior sulcus: part 2: initial staging and assessment of resectability and therapeutic response. RadioGraphics. 2008;28(2).",Imaging of non-small cell lung cancer of the superior sulcus: part 2: initial staging and assessment of resectability and therapeutic response,RadioGraphics,2008,28,2,,,,Bruzzi JF; Komaki R; Walsh GL
13,"Rusch VW, Asamura H, Watanabe H, Giroux DJ, Rami-Porta R, Goldstraw P. Members of IASLC Staging Committee. The lung cancer staging project: a proposal for a new international lymph node map in the forthcoming seventh edition of the TNM classification for lung cancer. J Thorac Oncol. 2009;4(5).",Members of IASLC Staging Committee. The lung cancer staging project: a proposal for a new international lymph node map in the forthcoming seventh edition of the TNM classification for lung cancer,J Thorac Oncol,2009,4,5,,,,Rusch VW; Asamura H; Watanabe H; Giroux DJ; Rami-Porta R; Goldstraw P
14,"El-Sherief AH, Lau CT, Wu CC, Drake RL, Abbott GF, Rice TW. International association for the study of lung cancer (IASLC) lymph node map: radiologic review with CT illustration. RadioGraphics. 2014;34(6).",International association for the study of lung cancer (IASLC) lymph node map: radiologic review with CT illustration,RadioGraphics,2014,34,6,,,,El-Sherief AH; Lau CT; Wu CC; Drake RL; Abbott GF; Rice TW
15,"Asamura H, Chansky K, Crowley J. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for the revision of the N descriptors in the forthcoming 8th edition of the TNM classification for lung cancer. J Thorac Oncol. 2015;10(12).",The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for the revision of the N descriptors in the forthcoming 8th edition of the TNM classification for lung cancer,J Thorac Oncol,2015,10,12,,,,Asamura H; Chansky K; Crowley J
16,"Huang J, Osarogiagbon RU, Giroux DJ. Members of the Staging and Prognostic Factors Committee, Members of the Advisory Boards, and Participating Institutions of the Lung Cancer Domain. The International Association for the Study of Lung Cancer Staging Project for Lung Cancer: proposals for the revision of the N descriptors in the forthcoming ninth edition of the TNM classification for lung cancer. J Thorac Oncol. 2024;19(5).","Members of the Staging and Prognostic Factors Committee, Members of the Advisory Boards, and Participating Institutions of the Lung Cancer Domain. The International Association for the Study of Lung Cancer Staging Project for Lung Cancer: proposals for the revision of the N descriptors in the forthcoming ninth edition of the TNM classification for lung cancer",J Thorac Oncol,2024,19,5,,,,Huang J; Osarogiagbon RU; Giroux DJ
17,"Osarogiagbon RU, Van Schil P, Giroux DJ. Members of the N-Descriptors Subcommittee. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: overview of challenges and opportunities in revising the nodal classification of lung cancer. J Thorac Oncol. 2023;18(4).",Members of the N-Descriptors Subcommittee. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: overview of challenges and opportunities in revising the nodal classification of lung cancer,J Thorac Oncol,2023,18,4,,,,Osarogiagbon RU; Van Schil P; Giroux DJ
18,"Fong KM, Rosenthal A, Giroux DJ. Members of the International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee, Members of the Advisory Boards, and Participating Institutions of the Lung Cancer Domain. The International Association for the Study of Lung Cancer Staging Project for Lung Cancer: proposals for the revision of the M descriptors in the forthcoming ninth edition of the TNM classification for lung cancer. J Thorac Oncol. 2024;19(5).","Members of the International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee, Members of the Advisory Boards, and Participating Institutions of the Lung Cancer Domain. The International Association for the Study of Lung Cancer Staging Project for Lung Cancer: proposals for the revision of the M descriptors in the forthcoming ninth edition of the TNM classification for lung cancer",J Thorac Oncol,2024,19,5,,,,Fong KM; Rosenthal A; Giroux DJ
19,"Detterbeck FC, Marom EM, Arenberg DA. The IASLC Lung Cancer Staging Project: background data and proposals for the application of TNM staging rules to lung cancer presenting as multiple nodules with ground glass or lepidic features or a pneumonic type of involvement in the forthcoming eighth edition of the TNM classification. J Thorac Oncol. 2016;11(5).",The IASLC Lung Cancer Staging Project: background data and proposals for the application of TNM staging rules to lung cancer presenting as multiple nodules with ground glass or lepidic features or a pneumonic type of involvement in the forthcoming eighth edition of the TNM classification,J Thorac Oncol,2016,11,5,,,,Detterbeck FC; Marom EM; Arenberg DA
20,"Detterbeck FC, Nicholson AG, FW. The IASLC Lung Cancer Staging Project: summary of proposals for revisions of the classification of lung cancers with multiple pulmonary sites of involvement in the forthcoming eighth edition of the TNM classification. J Thorac Oncol. 2016;11(5).",The IASLC Lung Cancer Staging Project: summary of proposals for revisions of the classification of lung cancers with multiple pulmonary sites of involvement in the forthcoming eighth edition of the TNM classification,J Thorac Oncol,2016,11,5,,,,Detterbeck FC; Nicholson AG; FW
21,"Carter BW, Lichtenberger JP, Benveniste MK. Revisions to the TNM staging of lung cancer: rationale, significance, and clinical application. RadioGraphics. 2018;38(2).","Revisions to the TNM staging of lung cancer: rationale, significance, and clinical application",RadioGraphics,2018,38,2,,,,Carter BW; Lichtenberger JP; Benveniste MK
22,"Goldstraw P, Chansky K, Crowley J. International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee, Advisory Boards, and Participating Institutions; International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee Advisory Boards and Participating Institutions. The IASLC Lung Cancer Staging Project: proposals for revision of the TNM stage groupings in the forthcoming (eighth) edition of the TNM classification for lung cancer. J Thorac Oncol. 2016;11(1).","International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee, Advisory Boards, and Participating Institutions; International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee Advisory Boards and Participating Institutions. The IASLC Lung Cancer Staging Project: proposals for revision of the TNM stage groupings in the forthcoming (eighth) edition of the TNM classification for lung cancer",J Thorac Oncol,2016,11,1,,,,Goldstraw P; Chansky K; Crowley J
23,"Altorki NK, Wang X, Kozono D. PL03.06 lobar or sub-lobar resection for peripheral clinical stage IA = 2 cm non-small cell lung cancer (NSCLC): results from an international randomized phase III trial (CAL-GB 140503 [Alliance]). J Thorac Oncol. 2022;17(9).",PL03.06 lobar or sub-lobar resection for peripheral clinical stage IA = 2 cm non-small cell lung cancer (NSCLC): results from an international randomized phase III trial (CAL-GB 140503 [Alliance]),J Thorac Oncol,2022,17,9,,,,Altorki NK; Wang X; Kozono D
24,"Saji H, Okada M, Tsuboi M. Segmentectomy versus lobectomy in smallsized peripheral non-small-cell lung cancer (JCOG0802/WJOG4607L): radiographics.rsna. Segmentectomy versus lobectomy in smallsized peripheral non-small-cell lung cancer (JCOG0802/WJOG4607L): radiographics.rsna. None;None.",Segmentectomy versus lobectomy in smallsized peripheral non-small-cell lung cancer (JCOG0802/WJOG4607L): radiographics.rsna,Segmentectomy versus lobectomy in smallsized peripheral non-small-cell lung cancer (JCOG0802/WJOG4607L): radiographics.rsna,,,,,,,Saji H; Okada M; Tsuboi M
25," a multicentre, open-label, phase 3, randomised, controlled, non-inferiority trial. Lancet. 2022;399(10335).","a multicentre, open-label, phase 3, randomised, controlled, non-inferiority trial",Lancet,2022,399,10335,,,,
26,"Altorki N, Wang X, Kozono D. Lobar or sublobar resection for peripheral stage IA non-small-cell lung cancer. N Engl J Med. 2023;388(6).",Lobar or sublobar resection for peripheral stage IA non-small-cell lung cancer,N Engl J Med,2023,388,6,,,,Altorki N; Wang X; Kozono D
27,"Rami-Porta R, Asamura H, Travis WD, Rusch VW. Lung. AJCC Cancer Staging Manual. 2017;None.",Lung,AJCC Cancer Staging Manual,2017,,,,,,Rami-Porta R; Asamura H; Travis WD; Rusch VW
28,"O'sullivan B, Mason M, Lung AH. Pleural and thymic tumors. UICC TNM Classification of Malignant Tumours. 2017;None.",Pleural and thymic tumors,UICC TNM Classification of Malignant Tumours,2017,,,,,,O'sullivan B; Mason M; Lung AH
29,"Kameda K, Eguchi T, Lu S. Implications of the eighth edition of the TNM proposal: invasive versus total tumor size for the T descriptor in pathologic stage I-IIA lung adenocarcinoma. J Thorac Oncol. 2018;13(12).",Implications of the eighth edition of the TNM proposal: invasive versus total tumor size for the T descriptor in pathologic stage I-IIA lung adenocarcinoma,J Thorac Oncol,2018,13,12,,,,Kameda K; Eguchi T; Lu S
30,"Detterbeck FC, Kumbasar U, Li AX. Lung cancer with air lucency: a systematic review and clinical management guide. J Thorac Dis. 2023;15(2).",Lung cancer with air lucency: a systematic review and clinical management guide,J Thorac Dis,2023,15,2,,,,Detterbeck FC; Kumbasar U; Li AX
