#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Non-small cell lung cancer (PDQ): Treatment. Non-small cell lung cancer (PDQ): Treatment. 2005;None.,Non-small cell lung cancer (PDQ): Treatment,Non-small cell lung cancer (PDQ): Treatment,2005,,,,,,
83,"Belardinelli R, Lacalaprice F, Carle F. Exerciseinduced myocardial ischaemia detected by cardiopulmonary exercise testing. Eur Heart J. 2003;24(14).",Exerciseinduced myocardial ischaemia detected by cardiopulmonary exercise testing,Eur Heart J,2003,24,14,,,,Belardinelli R; Lacalaprice F; Carle F
84,"Martin-Ucar AE, Waller DA, Atkins JL et al.. The benefi cial effects of specialist thoracic surgery on the resection rate for non-small-cell lung cancer. Lung Cancer. 2004;46(2).",The benefi cial effects of specialist thoracic surgery on the resection rate for non-small-cell lung cancer,Lung Cancer,2004,46,2,,,,Martin-Ucar AE; Waller DA; Atkins JL; Swinson D; Byrne O; Peake KJ; MD
85,"Silvestri GA, Handy J, Lackland D, Corley E, Reed CE. Specialists achieve better outcomes than generalists for lung cancer surgery. Chest. 1998;114(3).",Specialists achieve better outcomes than generalists for lung cancer surgery,Chest,1998,114,3,,,,Silvestri GA; Handy J; Lackland D; Corley E; Reed CE
86,"Schipper PH, Diggs BS, Ungerleider RM, Welke KF. The infl uence of surgeon specialty on outcomes in general thoracic surgery: a national sample 1996 to 2005. Ann Thorac Surg. 2009;88(5).",The infl uence of surgeon specialty on outcomes in general thoracic surgery: a national sample 1996 to 2005,Ann Thorac Surg,2009,88,5,,,,Schipper PH; Diggs BS; Ungerleider RM; Welke KF
87,"Goodney PP, Lucas FL, Stukel TA, Birkmeyer JD. Surgeon specialty and operative mortality with lung resection. Ann Surg. 2005;241(1).",Surgeon specialty and operative mortality with lung resection,Ann Surg,2005,241,1,,,,Goodney PP; Lucas FL; Stukel TA; Birkmeyer JD
88,"Farjah F, Flum DR, Varghese TK, Jr, Symons RG, Wood DE. Surgeon specialty and long-term survival after pulmonary resection for lung cancer. Ann Thorac Surg. 2009;87(4).",Surgeon specialty and long-term survival after pulmonary resection for lung cancer,Ann Thorac Surg,2009,87,4,,,,Farjah F; Flum DR; Varghese TK; Jr; Symons RG; Wood DE
89,"Romano PS, Mark DH. Patient and hospital characteristics related to in-hospital mortality after lung cancer resection. Chest. 1992;101(5).",Patient and hospital characteristics related to in-hospital mortality after lung cancer resection,Chest,1992,101,5,,,,Romano PS; Mark DH
90,"Finlayson EV, Goodney PP, Birkmeyer JD. Hospital volume and operative mortality in cancer surgery: a national study. Arch Surg. 2003;138(7).",Hospital volume and operative mortality in cancer surgery: a national study,Arch Surg,2003,138,7,,,,Finlayson EV; Goodney PP; Birkmeyer JD
91,"Bach PB, Cramer LD, Schrag D, Downey RJ, Gelfand SE, Begg CB. The infl uence of hospital volume on survival after resection for lung cancer. N Engl J Med. 2001;345(3).",The infl uence of hospital volume on survival after resection for lung cancer,N Engl J Med,2001,345,3,,,,Bach PB; Cramer LD; Schrag D; Downey RJ; Gelfand SE; Begg CB
92,"Birkmeyer JD, Siewers AE, Finlayson EV. Hospital volume and surgical mortality in the United States. N Engl J Med. 2002;346(15).",Hospital volume and surgical mortality in the United States,N Engl J Med,2002,346,15,,,,Birkmeyer JD; Siewers AE; Finlayson EV
93,"Birkmeyer JD, Stukel TA, Siewers AE, Goodney PP, Wennberg DE, Lucas FL. Surgeon volume and operative mortality in the United States. N Engl J Med. 2003;349(22).",Surgeon volume and operative mortality in the United States,N Engl J Med,2003,349,22,,,,Birkmeyer JD; Stukel TA; Siewers AE; Goodney PP; Wennberg DE; Lucas FL
94,"Hannan EL, Radzyner M, Rubin D, Dougherty J, Brennan MF. The infl uence of hospital and surgeon volume on in-hospital mortality for colectomy, gastrectomy, and lung lobectomy in patients with cancer. Surgery. 2002;131(1).","The infl uence of hospital and surgeon volume on in-hospital mortality for colectomy, gastrectomy, and lung lobectomy in patients with cancer",Surgery,2002,131,1,,,,Hannan EL; Radzyner M; Rubin D; Dougherty J; Brennan MF
95,"Ferguson MK, Little L, Rizzo L. Diffusing capacity predicts morbidity and mortality after pulmonary resection. J Thorac Cardiovasc Surg. 1988;96(6):114.",Diffusing capacity predicts morbidity and mortality after pulmonary resection,J Thorac Cardiovasc Surg,1988,96,6,114,,,Ferguson MK; Little L; Rizzo L
96,"Markos J, Mullan BP, Hillman DR. Different diffusing capacity of the lung for carbon monoxide as predictors of respiratory morbidity. Am Rev Respir Dis. 1989;139(4):116.",Different diffusing capacity of the lung for carbon monoxide as predictors of respiratory morbidity,Am Rev Respir Dis,1989,139,4,116,,,Markos J; Mullan BP; Hillman DR
97,"Pierce RJ, Copland JM, Sharpe K, Barter CE. Preoperative risk evaluation for lung cancer resection: predicted postoperative product as a predictor of surgical mortality. Am J Respir Crit Care Med. 1994;150(4):117.",Preoperative risk evaluation for lung cancer resection: predicted postoperative product as a predictor of surgical mortality,Am J Respir Crit Care Med,1994,150,4,117,,,Pierce RJ; Copland JM; Sharpe K; Barter CE
98,"Ferguson MK, Reeder LB, MR. Optimizing selection of patients for major lung resection. J Thorac Cardiovasc Surg. 1995;109(2):118.",Optimizing selection of patients for major lung resection,J Thorac Cardiovasc Surg,1995,109,2,118,,,Ferguson MK; Reeder LB; MR
99,"Santini M, Fiorello A, Vicidomini G, Crescenzo D, Laperuta VG, P. Role of diffusing capacity in predicting complications after lung resection for cancer. Thorac Cardiovasc Surg. 2007;55(6):119.",Role of diffusing capacity in predicting complications after lung resection for cancer,Thorac Cardiovasc Surg,2007,55,6,119,,,Santini M; Fiorello A; Vicidomini G; Crescenzo D; Laperuta VG; P
100,"Brunelli A, Refai MA, Salati M et al.. Carbon monoxide lung diffusion capacity improves risk stratification in patients without airflow limitation: evidence for systematic measurement before lung resection. Eur J Cardiothorac Surg. 2006;29(4):121.",Carbon monoxide lung diffusion capacity improves risk stratification in patients without airflow limitation: evidence for systematic measurement before lung resection,Eur J Cardiothorac Surg,2006,29,4,121,,,Brunelli A; Refai MA; Salati M; Sabbatini A; Hughes M-; NJ; R; Ferguson G; Vigneswaran MK; WT
101,"Liptay MJ, Basu S, Hoaglin MC. Diffusion lung capacity for carbon monoxide (DLCO) is an independent prognostic factor for long-term survival after curative lung resection for cancer. J Surg Oncol. 2009;100(8):122.",Diffusion lung capacity for carbon monoxide (DLCO) is an independent prognostic factor for long-term survival after curative lung resection for cancer,J Surg Oncol,2009,100,8,122,,,Liptay MJ; Basu S; Hoaglin MC
102,"Ferguson M, Dignam JJ, Siddique J, Vidneswaran WT, Celauro AD. Diffusing capacity predicts long-term survival after lung resection for cancer. Eur J Cardiothorac Surg. 2012;41(5):123.",Diffusing capacity predicts long-term survival after lung resection for cancer,Eur J Cardiothorac Surg,2012,41,5,123,,,Ferguson M; Dignam JJ; Siddique J; Vidneswaran WT; Celauro AD
103,"Handy JR, Asaph JW, Skokan L. What happens to patients undergoing lung cancer surgery? Outcomes and quality of life before and after surgery. Chest. 2002;122(1):124.",What happens to patients undergoing lung cancer surgery? Outcomes and quality of life before and after surgery,Chest,2002,122,1,124,,,Handy JR; Asaph JW; Skokan L
104,"Macintyre N, Crapo RO, Viegi G. Standardisation of the single-breath determination of carbon monoxide uptake in the lung. Eur Respir J. 2005;26(4):125.",Standardisation of the single-breath determination of carbon monoxide uptake in the lung,Eur Respir J,2005,26,4,125,,,Macintyre N; Crapo RO; Viegi G
105,"Miller MR, Hankinson J, Brusasco V. Standardisation of spirometry. Eur Respir J. 2005;26(2):126.",Standardisation of spirometry,Eur Respir J,2005,26,2,126,,,Miller MR; Hankinson J; Brusasco V
106,"Bolliger CT, Gückel C, Engel H. Prediction of functional reserves after lung resection: comparison between quantitative computed tomography, scintigraphy, and anatomy. Respiration. 2002;69(6):127.","Prediction of functional reserves after lung resection: comparison between quantitative computed tomography, scintigraphy, and anatomy",Respiration,2002,69,6,127,,,Bolliger CT; Gückel C; Engel H
107,"Alam N, Park BJ, Wilton A. Incidence and risk factors for lung injury after lung cancer resection. Ann Thorac Surg. 2007;84(4):128.",Incidence and risk factors for lung injury after lung cancer resection,Ann Thorac Surg,2007,84,4,128,,,Alam N; Park BJ; Wilton A
108,"Fareed M, Nakas KR, Vaughan A, Edwards P, Waller JG, DA. Is the initial feasibility of lobectomy for stage I non-small cell lung cancer in severe heterogeneous emphysema justifi ed by long-term survival?. Thorax. 2007;62(7):129.",Is the initial feasibility of lobectomy for stage I non-small cell lung cancer in severe heterogeneous emphysema justifi ed by long-term survival?,Thorax,2007,62,7,129,,,Fareed M; Nakas KR; Vaughan A; Edwards P; Waller JG; DA
109,"Lau K, Martin-Ucar AE, Nakas A, Waller DA. Lung cancer surgery in the breathless patient-the benefi ts of avoiding the gold standard. Eur J Cardiothorac Surg. 2010;38(1):130.",Lung cancer surgery in the breathless patient-the benefi ts of avoiding the gold standard,Eur J Cardiothorac Surg,2010,38,1,130,,,Lau K; Martin-Ucar AE; Nakas A; Waller DA
110,"Endoh H, Tanaka S, Yajima T. Pulmonary function after pulmonary resection by posterior thoracotomy, anterior thoracotomy or video-assisted surgery. Eur J Cardiothorac Surg. 2010;37(5).","Pulmonary function after pulmonary resection by posterior thoracotomy, anterior thoracotomy or video-assisted surgery",Eur J Cardiothorac Surg,2010,37,5,,,,Endoh H; Tanaka S; Yajima T
111,"Iwasaki A, Shirakusa T, Enatsu S, Maekawa S, Yoshida Y, Yoshinaga Y. Surgical treatment for lung cancer with COPD based on the global initiative for chronic obstructive lung disease (GOLD). Thorac Cardiovasc Surg. 2005;53(3).",Surgical treatment for lung cancer with COPD based on the global initiative for chronic obstructive lung disease (GOLD),Thorac Cardiovasc Surg,2005,53,3,,,,Iwasaki A; Shirakusa T; Enatsu S; Maekawa S; Yoshida Y; Yoshinaga Y
112,"Ferguson MK, Siddique J, Karrison T. Modeling major lung resection outcomes using classifi cation trees and multiple imputation techniques. Eur J Cardiothorac Surg. 2008;34(5).",Modeling major lung resection outcomes using classifi cation trees and multiple imputation techniques,Eur J Cardiothorac Surg,2008,34,5,,,,Ferguson MK; Siddique J; Karrison T
113,"Koizumi K, Haraguchi S, Hirata T. Surgical treatment for lung cancer patients with poor pulmonary function. Ann Thorac Cardiovasc Surg. 2005;11(2).",Surgical treatment for lung cancer patients with poor pulmonary function,Ann Thorac Cardiovasc Surg,2005,11,2,,,,Koizumi K; Haraguchi S; Hirata T
114,"Licker MJ, Widikker I, Robert J. Operative mortality and respiratory complications after lung resection for cancer: impact of chronic obstructive pulmonary disease and time trends. Ann Thorac Surg. 2006;81(5):100.",Operative mortality and respiratory complications after lung resection for cancer: impact of chronic obstructive pulmonary disease and time trends,Ann Thorac Surg,2006,81,5,100,,,Licker MJ; Widikker I; Robert J
115,"Magdeleinat P, Seguin A, Alifano M, Boubia S, Regnard JF. Early and long-term results of lung resection for non-small-cell lung cancer in patients with severe ventilatory impairment. Eur J Cardiothorac Surg. 2005;27(6):101.",Early and long-term results of lung resection for non-small-cell lung cancer in patients with severe ventilatory impairment,Eur J Cardiothorac Surg,2005,27,6,101,,,Magdeleinat P; Seguin A; Alifano M; Boubia S; Regnard JF
116,"Garzon JC, Ng C, Sihoe A. Video-assisted thoracic surgery pulmonary resection for lung cancer in patients with poor lung function. Ann Thorac Surg. 2006;81(6):102.",Video-assisted thoracic surgery pulmonary resection for lung cancer in patients with poor lung function,Ann Thorac Surg,2006,81,6,102,,,Garzon JC; Ng C; Sihoe A
117,"Brunelli A, Refai A, Monteverde M et al.. Predictors of early morbidity after major lung resection in patients with and without airfl ow limitation. Ann Thorac Surg. 2002;74(4):103.",Predictors of early morbidity after major lung resection in patients with and without airfl ow limitation,Ann Thorac Surg,2002,74,4,103,,,Brunelli A; Refai A; Monteverde M; Sabbatini M; Xiumé A; Fianchini F; A
118,"Linden PA, Bueno R, Colson YL. Lung resection in patients with preoperative FEV1 , 35% predicted. Chest. 2005;127(6):104.","Lung resection in patients with preoperative FEV1 , 35% predicted",Chest,2005,127,6,104,,,Linden PA; Bueno R; Colson YL
119,"Sekine Y, Iwata T, Chiyo M. Minimal alteration of pulmonary function after lobectomy in lung cancer patients with chronic obstructive pulmonary disease. Ann Thorac Surg. 2003;76(2):105.",Minimal alteration of pulmonary function after lobectomy in lung cancer patients with chronic obstructive pulmonary disease,Ann Thorac Surg,2003,76,2,105,,,Sekine Y; Iwata T; Chiyo M
120,"Brunelli A, Xiumé F, Refai M. Evaluation of expiratory volume, diffusion capacity, and exercise tolerance following major lung resection: a prospective follow-up analysis. Chest. 2007;131(1):106.","Evaluation of expiratory volume, diffusion capacity, and exercise tolerance following major lung resection: a prospective follow-up analysis",Chest,2007,131,1,106,,,Brunelli A; Xiumé F; Refai M
121,"Edwards JG, Duthie D, Waller DA. Lobar volume reduction surgery: a method of increasing the lung cancer resection rate in patients with emphysema. Thorax. 2001;56(10):107.",Lobar volume reduction surgery: a method of increasing the lung cancer resection rate in patients with emphysema,Thorax,2001,56,10,107,,,Edwards JG; Duthie D; Waller DA
122,"Carretta A, Zannini P, Puglisi A. Improvement of pulmonary function after lobectomy for non-small cell lung cancer in emphysematous patients. Eur J Cardiothorac Surg. 1999;15(5):108.",Improvement of pulmonary function after lobectomy for non-small cell lung cancer in emphysematous patients,Eur J Cardiothorac Surg,1999,15,5,108,,,Carretta A; Zannini P; Puglisi A
123,"Korst RJ, Ginsberg RJ, Ailawadi M. Lobectomy improves ventilatory function in selected patients with severe COPD. Ann Thorac Surg. 1998;66(3):109.",Lobectomy improves ventilatory function in selected patients with severe COPD,Ann Thorac Surg,1998,66,3,109,,,Korst RJ; Ginsberg RJ; Ailawadi M
124,"Santambrogio L, Nosotti M, Baisi A, Ronzoni G, Bellaviti N, Rosso L. Pulmonary lobectomy for lung cancer: a prospective study to compare patients with forced expiratory volume in 1 s more or less than 80% of predicted. Eur J Cardiothorac Surg. 2001;20(4):110.",Pulmonary lobectomy for lung cancer: a prospective study to compare patients with forced expiratory volume in 1 s more or less than 80% of predicted,Eur J Cardiothorac Surg,2001,20,4,110,,,Santambrogio L; Nosotti M; Baisi A; Ronzoni G; Bellaviti N; Rosso L
125,"Baldi S, Ruffi Ni E, Harari S. Does lobectomy for lung cancer in patients with chronic obstructive pulmonary disease affect lung function? A multicenter national study. J Thorac Cardiovasc Surg. 2005;130(6):111.",Does lobectomy for lung cancer in patients with chronic obstructive pulmonary disease affect lung function? A multicenter national study,J Thorac Cardiovasc Surg,2005,130,6,111,,,Baldi S; Ruffi Ni E; Harari S
126,"Brunelli A, Refai M, Salati M, Xiumé F, Sabbatini A. Predicted versus observed FEV1 and DLCO after major lung resection: a prospective evaluation at different postoperative periods. Ann Thorac Surg. 2007;83(3):112.",Predicted versus observed FEV1 and DLCO after major lung resection: a prospective evaluation at different postoperative periods,Ann Thorac Surg,2007,83,3,112,,,Brunelli A; Refai M; Salati M; Xiumé F; Sabbatini A
127,"Brunelli A, Sabbatini A, Xiume 'F. A model to predict the decline of the forced expiratory volume in one second and the carbon monoxide lung diffusion capacity early after major lung resection. Interact Cardiovasc Thorac Surg. 2005;4(1).",A model to predict the decline of the forced expiratory volume in one second and the carbon monoxide lung diffusion capacity early after major lung resection,Interact Cardiovasc Thorac Surg,2005,4,1,,,,Brunelli A; Sabbatini A; Xiume 'F
128,"Bobbio A, Chetta A, Internullo E. Exercise capacity assessment in patients undergoing lung resection. Eur J Cardiothorac Surg. 2009;35(3):148.",Exercise capacity assessment in patients undergoing lung resection,Eur J Cardiothorac Surg,2009,35,3,148,,,Bobbio A; Chetta A; Internullo E
129,"Brunelli A, Belardinelli R, Refai M. Peak oxygen consumption during cardiopulmonary exercise test improves risk stratifi cation in candidates to major lung resection. Chest. 2009;135(5):149.",Peak oxygen consumption during cardiopulmonary exercise test improves risk stratifi cation in candidates to major lung resection,Chest,2009,135,5,149,,,Brunelli A; Belardinelli R; Refai M
130,"Walsh GL, Morice RC, Jb P. Resection of lung cancer is justifi ed in high-risk patients selected by exercise oxygen consumption. Ann Thorac Surg. 1994;58(3):150.",Resection of lung cancer is justifi ed in high-risk patients selected by exercise oxygen consumption,Ann Thorac Surg,1994,58,3,150,,,Walsh GL; Morice RC; Jb P
131,"Wang J, Olak J, Ultmann RE, Ferguson MK. Assessment of pulmonary complications after lung resection. Ann Thorac Surg. 1999;67(5):151.",Assessment of pulmonary complications after lung resection,Ann Thorac Surg,1999,67,5,151,,,Wang J; Olak J; Ultmann RE; Ferguson MK
132,"Bolliger CT, Jordan P, Solèr M. Exercise capacity as a predictor of postoperative complications in lung resection candidates. Am J Respir Crit Care Med. 1995;151(5):152.",Exercise capacity as a predictor of postoperative complications in lung resection candidates,Am J Respir Crit Care Med,1995,151,5,152,,,Bolliger CT; Jordan P; Solèr M
133,"Win T, Jackson A, Sharples L. Cardiopulmonary exercise tests and lung cancer surgical outcome. Chest. 2005;127(4):153.",Cardiopulmonary exercise tests and lung cancer surgical outcome,Chest,2005,127,4,153,,,Win T; Jackson A; Sharples L
134,"Smith TP, Kinasewitz GT, Tucker WY, Spillers WP, George RB. Exercise capacity as a predictor of post-thoracotomy morbidity. Am Rev Respir Dis. 1984;129(5):154.",Exercise capacity as a predictor of post-thoracotomy morbidity,Am Rev Respir Dis,1984,129,5,154,,,Smith TP; Kinasewitz GT; Tucker WY; Spillers WP; George RB
135,"Birim O, Kappetein AP, Goorden T, Van Klaveren RJ, Bogers A. Proper treatment selection may improve survival in patients with clinical early-stage nonsmall cell lung cancer. Ann Thorac Surg. 2005;80(3):155.",Proper treatment selection may improve survival in patients with clinical early-stage nonsmall cell lung cancer,Ann Thorac Surg,2005,80,3,155,,,Birim O; Kappetein AP; Goorden T; Van Klaveren RJ; Bogers A
136,"Brutsche MH, Spiliopoulos A, Bolliger CT, Licker M, Frey JG, Tschopp JM. Exercise capacity and extent of resection as predictors of surgical risk in lung cancer. Eur Respir J. 2000;15(5):156.",Exercise capacity and extent of resection as predictors of surgical risk in lung cancer,Eur Respir J,2000,15,5,156,,,Brutsche MH; Spiliopoulos A; Bolliger CT; Licker M; Frey JG; Tschopp JM
137,"Kozower BD, Sheng SB, Brien O, SM. STS database risk models: predictors of mortality and major morbidity for lung cancer resection. Ann Thorac Surg. 2010;90(3):157.",STS database risk models: predictors of mortality and major morbidity for lung cancer resection,Ann Thorac Surg,2010,90,3,157,,,Kozower BD; Sheng SB; Brien O; SM
138,"Win T, Jackson A, Groves AM, Sharples LD, Charman SC, Laroche CM. Comparison of shuttle walk with measured peak oxygen consumption in patients with operable lung cancer. Thorax. 2006;61(1):158.",Comparison of shuttle walk with measured peak oxygen consumption in patients with operable lung cancer,Thorax,2006,61,1,158,,,Win T; Jackson A; Groves AM; Sharples LD; Charman SC; Laroche CM
139,"Epstein SK, Faling LJ, Daly B, Celli BR. Predicting complications after pulmonary resection. Preoperative exercise testing vs a multifactorial cardiopulmonary risk index. Chest. 1993;104(3):159.",Predicting complications after pulmonary resection. Preoperative exercise testing vs a multifactorial cardiopulmonary risk index,Chest,1993,104,3,159,,,Epstein SK; Faling LJ; Daly B; Celli BR
140,"Richter Larsen K, Svendsen UG, Milman N, Brenøe J, Petersen BN. Exercise testing in the preoperative evaluation of patients with bronchogenic carcinoma. Eur Respir J. 1997;10(7):160.",Exercise testing in the preoperative evaluation of patients with bronchogenic carcinoma,Eur Respir J,1997,10,7,160,,,Richter Larsen K; Svendsen UG; Milman N; Brenøe J; Petersen BN
141,"Morice RC, Peters EJ, Ryan MB, Putnam JB, Ali MK, Roth JA. Exercise testing in the evaluation of patients at high risk for complications from lung resection. Chest. 1992;101(2):161.",Exercise testing in the evaluation of patients at high risk for complications from lung resection,Chest,1992,101,2,161,,,Morice RC; Peters EJ; Ryan MB; Putnam JB; Ali MK; Roth JA
142,"Bolliger CT, Wyser C, Roser H, Solèr M, Perruchoud AP. Lung scanning and exercise testing for the prediction of postoperative performance in lung resection candidates at increased risk for complications. Chest. 1995;108(2):162.",Lung scanning and exercise testing for the prediction of postoperative performance in lung resection candidates at increased risk for complications,Chest,1995,108,2,162,,,Bolliger CT; Wyser C; Roser H; Solèr M; Perruchoud AP
143,"Kasikcioglu E, Toker A, Tanju S. Oxygen uptake kinetics during cardiopulmonary exercise testing and postoperative complications in patients with lung cancer. Lung Cancer. 2009;66(1):163.",Oxygen uptake kinetics during cardiopulmonary exercise testing and postoperative complications in patients with lung cancer,Lung Cancer,2009,66,1,163,,,Kasikcioglu E; Toker A; Tanju S
144,Saumon G. Pump and circumstances. Am J Respir Crit Care Med. 2003;168(12):164.,Pump and circumstances,Am J Respir Crit Care Med,2003,168,12,164,,,Saumon G
145,"Brunelli A, Belardinelli R, Pompili C. Minute ventilationto-carbon dioxide output (VE/VCO2) slope is the strongest predictor of respiratory complications and death after pulmonary resection. Ann Thorac Surg. 2012;93(6):131.",Minute ventilationto-carbon dioxide output (VE/VCO2) slope is the strongest predictor of respiratory complications and death after pulmonary resection,Ann Thorac Surg,2012,93,6,131,,,Brunelli A; Belardinelli R; Pompili C
146,"Bobbio A, Chetta A, Carbognani P. Changes in pulmonary function test and cardio-pulmonary exercise capacity in COPD patients after lobar pulmonary resection. Eur J Cardiothorac Surg. 2005;28(5):132.",Changes in pulmonary function test and cardio-pulmonary exercise capacity in COPD patients after lobar pulmonary resection,Eur J Cardiothorac Surg,2005,28,5,132,,,Bobbio A; Chetta A; Carbognani P
147,"Kushibe K, Takahama M, Tojo T, Kawaguchi T, Kimura M, Taniguchi S. Assessment of pulmonary function after lobectomy for lung cancer-upper lobectomy might have the same effect as lung volume reduction surgery. Eur J Cardiothorac Surg. 2006;29(6):133.",Assessment of pulmonary function after lobectomy for lung cancer-upper lobectomy might have the same effect as lung volume reduction surgery,Eur J Cardiothorac Surg,2006,29,6,133,,,Kushibe K; Takahama M; Tojo T; Kawaguchi T; Kimura M; Taniguchi S
148,"Varela G, Brunelli A, Rocco G, Jiménez MF, Salati M, Gatani T. Evidence of lower alteration of expiratory volume in patients with airflow limitation in the immediate period after lobectomy. Ann Thorac Surg. 2007;84(2):134.",Evidence of lower alteration of expiratory volume in patients with airflow limitation in the immediate period after lobectomy,Ann Thorac Surg,2007,84,2,134,,,Varela G; Brunelli A; Rocco G; Jiménez MF; Salati M; Gatani T
149,"Luzzi L, Tenconi S, Voltolini L. Long-term respiratory functional results after pneumonectomy. Eur J Cardiothorac Surg. 2008;34(1):135.",Long-term respiratory functional results after pneumonectomy,Eur J Cardiothorac Surg,2008,34,1,135,,,Luzzi L; Tenconi S; Voltolini L
150,"Varela G, Brunelli A, Rocco G. Predicted versus observed FEV1 in the immediate postoperative period after pulmonary lobectomy. Eur J Cardiothorac Surg. 2006;30(4):136.",Predicted versus observed FEV1 in the immediate postoperative period after pulmonary lobectomy,Eur J Cardiothorac Surg,2006,30,4,136,,,Varela G; Brunelli A; Rocco G
151,"Varela G, Brunelli A, Rocco G. Measured FEV1 in the fi rst postoperative day, and not ppoFEV1, is the best predictor of cardio-respiratory morbidity after lung resection. Eur J Cardiothorac Surg. 2007;31(3):137.","Measured FEV1 in the fi rst postoperative day, and not ppoFEV1, is the best predictor of cardio-respiratory morbidity after lung resection",Eur J Cardiothorac Surg,2007,31,3,137,,,Varela G; Brunelli A; Rocco G
152,"Brunelli A, Varela G, Rocco G. A model to predict the immediate postoperative FEV1 following major lung resections. Eur J Cardiothorac Surg. 2007;32(5):138.",A model to predict the immediate postoperative FEV1 following major lung resections,Eur J Cardiothorac Surg,2007,32,5,138,,,Brunelli A; Varela G; Rocco G
153,"Puente-Maestú L, Villar F, González-Casurrán G. Early and long-term validation of an algorithm assessing fi tness for surgery in patients with postoperative FEV 1 and diffusing capacity of the lung for carbon monoxide , 40%. Chest. 2011;139(6):139.","Early and long-term validation of an algorithm assessing fi tness for surgery in patients with postoperative FEV 1 and diffusing capacity of the lung for carbon monoxide , 40%",Chest,2011,139,6,139,,,Puente-Maestú L; Villar F; González-Casurrán G
154,"Brunelli A, Refai M, Xiumé F. Performance at symptomlimited stair-climbing test is associated with increased cardiopulmonary complications, mortality, and costs after major lung resection. Ann Thorac Surg. 2008;86(1):140.","Performance at symptomlimited stair-climbing test is associated with increased cardiopulmonary complications, mortality, and costs after major lung resection",Ann Thorac Surg,2008,86,1,140,,,Brunelli A; Refai M; Xiumé F
155,"Holden DA, Rice TW, Stelmach K, Meeker DP. Exercise testing, 6-min walk, and stair climb in the evaluation of patients at high risk for pulmonary resection. Chest. 1992;102(6):141.","Exercise testing, 6-min walk, and stair climb in the evaluation of patients at high risk for pulmonary resection",Chest,1992,102,6,141,,,Holden DA; Rice TW; Stelmach K; Meeker DP
156,"Bechard D, Wetstein L. Assessment of exercise oxygen consumption as preoperative criterion for lung resection. Ann Thorac Surg. 1987;44(4):142.",Assessment of exercise oxygen consumption as preoperative criterion for lung resection,Ann Thorac Surg,1987,44,4,142,,,Bechard D; Wetstein L
157,"Olsen GN, Weiman DS, Bolton J. Submaximal invasive exercise testing and quantitative lung scanning in the evaluation for tolerance of lung resection. Chest. 1989;95(2):143.",Submaximal invasive exercise testing and quantitative lung scanning in the evaluation for tolerance of lung resection,Chest,1989,95,2,143,,,Olsen GN; Weiman DS; Bolton J
158,"Benzo R, Kelley GA, Recchi L, Hofman A, Sciurba F. Complications of lung resection and exercise capacity: a meta-analysis. Respir Med. 2007;101(8):144.",Complications of lung resection and exercise capacity: a meta-analysis,Respir Med,2007,101,8,144,,,Benzo R; Kelley GA; Recchi L; Hofman A; Sciurba F
159,"Loewen GM, Watson D, Kohman L. Preoperative exercise Vo2 measurement for lung resection candidates: results of Cancer and Leukemia Group B Protocol 9238. J Thorac Oncol. 2007;2(7):145.",Preoperative exercise Vo2 measurement for lung resection candidates: results of Cancer and Leukemia Group B Protocol 9238,J Thorac Oncol,2007,2,7,145,,,Loewen GM; Watson D; Kohman L
160,"Bayram AS, Candan T, Gebitekin C. Preoperative maximal exercise oxygen consumption test predicts postoperative pulmonary morbidity following major lung resection. Respirology. 2007;12(4):146.",Preoperative maximal exercise oxygen consumption test predicts postoperative pulmonary morbidity following major lung resection,Respirology,2007,12,4,146,,,Bayram AS; Candan T; Gebitekin C
161,"Torchio R, Guglielmo M, Giardino R. Exercise ventilatory ineffi ciency and mortality in patients with chronic obstructive pulmonary disease undergoing surgery for nonsmall-cell lung cancer. Eur J Cardiothorac Surg. 2010;38(1).",Exercise ventilatory ineffi ciency and mortality in patients with chronic obstructive pulmonary disease undergoing surgery for nonsmall-cell lung cancer,Eur J Cardiothorac Surg,2010,38,1,,,,Torchio R; Guglielmo M; Giardino R
162,Laboratories. ATS statement: guidelines for the six-minute walk test. Am J Respir Crit Care Med. 2002;166(1):184.,ATS statement: guidelines for the six-minute walk test,Am J Respir Crit Care Med,2002,166,1,184,,,Laboratories
163,"Brunelli A, Pompili C, Salati M. Low-technology exercise test in the preoperative evaluation of lung resection candidates. Monaldi Arch Chest Dis. 2010;73(2):185.",Low-technology exercise test in the preoperative evaluation of lung resection candidates,Monaldi Arch Chest Dis,2010,73,2,185,,,Brunelli A; Pompili C; Salati M
164,"Turner SE, Eastwood PR, Cecins NM, Hillman DR, Jenkins SC. Physiologic responses to incremental and self-paced exercise in COPD: a comparison of three tests. Chest. 2004;126(3):186.",Physiologic responses to incremental and self-paced exercise in COPD: a comparison of three tests,Chest,2004,126,3,186,,,Turner SE; Eastwood PR; Cecins NM; Hillman DR; Jenkins SC
165,"Ninan M, Sommers KE, Landreneau RJ. Standardized exercise oximetry predicts postpneumonectomy outcome. Ann Thorac Surg. 1997;64(2):187.",Standardized exercise oximetry predicts postpneumonectomy outcome,Ann Thorac Surg,1997,64,2,187,,,Ninan M; Sommers KE; Landreneau RJ
