#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"May SM, Li JT. Burden of chronic obstructive pulmonary disease: healthcare costs and beyond. Allergy Asthma Proc. 2015;36.",Burden of chronic obstructive pulmonary disease: healthcare costs and beyond,Allergy Asthma Proc,2015,36,,,,,May SM; Li JT
12,"Herth F, Noppen M, Valipour A, Leroy S, Vergnon JM, Ficker JH. International VENT Study Group. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39.",International VENT Study Group. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,,,,,Herth F; Noppen M; Valipour A; Leroy S; Vergnon JM; Ficker JH
13,"Valipour A, Herth FJ, Burghuber OC, Criner G, Vergnon JM, Goldin J. Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy. Eur Respir J. 2014;43.",Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy,Eur Respir J,2014,43,,,,,Valipour A; Herth FJ; Burghuber OC; Criner G; Vergnon JM; Goldin J
14,"Davey C, Zoumot Z, Jordan S, Mcnulty WH, Carr DH, Hind MD. Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial. Lancet. 2015;386.",Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial,Lancet,2015,386,,,,,Davey C; Zoumot Z; Jordan S; Mcnulty WH; Carr DH; Hind MD
15,"Klooster K, Ten Hacken N, Hartman JE, Kerstjens H, Van Rikxoort EM, Slebos DJ. Endobronchial valves for emphysema without interlobar collateral ventilation. N Engl J Med. 2015;373.",Endobronchial valves for emphysema without interlobar collateral ventilation,N Engl J Med,2015,373,,,,,Klooster K; Ten Hacken N; Hartman JE; Kerstjens H; Van Rikxoort EM; Slebos DJ
16,"Valipour A, Slebos DJ, Herth F, Darwiche K, Wagner M, Ficker JH. IMPACT Study Team. Endobronchial valve therapy in patients with homogeneous emphysema: results from the IMPACT study. Am J Respir Crit Care Med. 2016;194.",IMPACT Study Team. Endobronchial valve therapy in patients with homogeneous emphysema: results from the IMPACT study,Am J Respir Crit Care Med,2016,194,,,,,Valipour A; Slebos DJ; Herth F; Darwiche K; Wagner M; Ficker JH
17,"Kemp SV, Slebos D, Kirk A, Kornaszewska M, Carron K, Ek L. TRANSFORM Study Team *. A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (TRANSFORM). Am J Respir Crit Care Med. 2017;196.",TRANSFORM Study Team *. A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (TRANSFORM),Am J Respir Crit Care Med,2017,196,,,,,Kemp SV; Slebos D; Kirk A; Kornaszewska M; Carron K; Ek L
18,"Criner GJ, Wright S, Sue R, Dransfield MT, Rivas-Perez HL, Wiese TA. Effectiveness of the Zephyr® endobronchial valves (EBV®) in patients with severe emphysema: clinical outcomes from LIBERATE, a multicenter RCT [abstract. Am J Respir Crit Care Med. 2018;197:7752.","Effectiveness of the Zephyr® endobronchial valves (EBV®) in patients with severe emphysema: clinical outcomes from LIBERATE, a multicenter RCT [abstract",Am J Respir Crit Care Med,2018,197,,7752,,,Criner GJ; Wright S; Sue R; Dransfield MT; Rivas-Perez HL; Wiese TA
19,"Herth FJ, Eberhardt R, Gompelmann D, Ficker JH, Wagner M, Ek L. Radiological and clinical outcomes of using Chartis™ to plan endobronchial valve treatment. Eur Respir J. 2013;41.",Radiological and clinical outcomes of using Chartis™ to plan endobronchial valve treatment,Eur Respir J,2013,41,,,,,Herth FJ; Eberhardt R; Gompelmann D; Ficker JH; Wagner M; Ek L
20,"Slebos DJ, Shah PL, Herth FJ, Valipour A. Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from expert panel on endoscopic lung volume reduction. Respiration. 2017;93.",Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from expert panel on endoscopic lung volume reduction,Respiration,2017,93,,,,,Slebos DJ; Shah PL; Herth FJ; Valipour A
21,Hochberg Y. A sharper Bonferroni procedure for multiple tests of significance. Biometrika. 1988;75.,A sharper Bonferroni procedure for multiple tests of significance,Biometrika,1988,75,,,,,Hochberg Y
22,"Valipour A, Slebos DJ, De Oliveira HG, Eberhardt R, Freitag L, Criner GJ. Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema: potential mechanisms, treatment algorithm, and case examples. Respiration. 2014;87.","Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema: potential mechanisms, treatment algorithm, and case examples",Respiration,2014,87,,,,,Valipour A; Slebos DJ; De Oliveira HG; Eberhardt R; Freitag L; Criner GJ
23,"Pellegrino R, Viegi G, Brusasco V, Crapo RO, Burgos F, Casaburi R. Interpretative strategies for lung function tests. Eur Respir J. 2005;26.",Interpretative strategies for lung function tests,Eur Respir J,2005,26,,,,,Pellegrino R; Viegi G; Brusasco V; Crapo RO; Burgos F; Casaburi R
24,Donohue JF. Minimal clinically important differences in COPD lung function. COPD. 2005;2.,Minimal clinically important differences in COPD lung function,COPD,2005,2,,,,,Donohue JF
25,"Sciurba FC, Rogers RM, Keenan RJ et al.. Improvement in pulmonary function and elastic recoil after lung-reduction surgery for diffuse emphysema. N Engl J Med. 1996;334.",Improvement in pulmonary function and elastic recoil after lung-reduction surgery for diffuse emphysema,N Engl J Med,1996,334,,,,,Sciurba FC; Rogers RM; Keenan RJ; Slivka WA; Gorcsan J; Iii; Ferson PF
26,"Gompelmann D, Herth FJ, Slebos DJ, Valipour A, Ernst A, Criner GJ. Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema. Respiration. 2014;87.",Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema,Respiration,2014,87,,,,,Gompelmann D; Herth FJ; Slebos DJ; Valipour A; Ernst A; Criner GJ
27,"Singh SJ, Puhan MA, Andrianopoulos V, Hernandes NA, Mitchell KE, Hill CJ. An official systematic review of the European Respiratory Society/American Thoracic Society: measurement properties of field walking tests in chronic respiratory disease. Eur Respir J. 2014;44.",An official systematic review of the European Respiratory Society/American Thoracic Society: measurement properties of field walking tests in chronic respiratory disease,Eur Respir J,2014,44,,,,,Singh SJ; Puhan MA; Andrianopoulos V; Hernandes NA; Mitchell KE; Hill CJ
28,"Puhan M, Chandra D, Mosenifar Z, Ries A, Make B, Hansel NN. National Emphysema Treatment Trial (NETT) Research Group. The minimal important difference of exercise tests in severe COPD. Eur Respir J. 2011;37.",National Emphysema Treatment Trial (NETT) Research Group. The minimal important difference of exercise tests in severe COPD,Eur Respir J,2011,37,,,,,Puhan M; Chandra D; Mosenifar Z; Ries A; Make B; Hansel NN
29,"Holland AE, Nici L. The return of the minimum clinically important difference for 6-minute-walk distance in chronic obstructive pulmonary disease. Am J Respir Crit Care Med. 2013;187.",The return of the minimum clinically important difference for 6-minute-walk distance in chronic obstructive pulmonary disease,Am J Respir Crit Care Med,2013,187,,,,,Holland AE; Nici L
30,"Casanova C, Cote CG, Marin JM, De Torres JP, Aguirre-Jaime A, Mendez R. The 6-min walking distance: long-term follow up in patients with COPD. Eur Respir J. 2007;29.",The 6-min walking distance: long-term follow up in patients with COPD,Eur Respir J,2007,29,,,,,Casanova C; Cote CG; Marin JM; De Torres JP; Aguirre-Jaime A; Mendez R
31,"Criner GJ, Sternberg AL. National Emphysema Treatment Trial: the major outcomes of lung volume reduction surgery in severe emphysema. Proc Am Thorac Soc. 2008;5.",National Emphysema Treatment Trial: the major outcomes of lung volume reduction surgery in severe emphysema,Proc Am Thorac Soc,2008,5,,,,,Criner GJ; Sternberg AL
32,"Washko GR, Fan VS, Ramsey SD, Mohsenifar Z, Martinez F, Make BJ. National Emphysema Treatment Trial Research Group. The effect of lung volume reduction surgery on chronic obstructive pulmonary disease exacerbations. Am J Respir Crit Care Med. 2008;177.",National Emphysema Treatment Trial Research Group. The effect of lung volume reduction surgery on chronic obstructive pulmonary disease exacerbations,Am J Respir Crit Care Med,2008,177,,,,,Washko GR; Fan VS; Ramsey SD; Mohsenifar Z; Martinez F; Make BJ
33,"Sciurba FC, Criner GJ, Strange C, Shah PL, Michaud G, Connolly TA. Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial. JAMA. 2016;315.",Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial,JAMA,2016,315,,,,,Sciurba FC; Criner GJ; Strange C; Shah PL; Michaud G; Connolly TA
34,"Desl Ée G, Mal H, Dutau H, Bourdin A, Vergnon JM, Pison C. Lung volume reduction coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial. JAMA. 2016;315.",Lung volume reduction coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial,JAMA,2016,315,,,,,Desl Ée G; Mal H; Dutau H; Bourdin A; Vergnon JM; Pison C
35,"Herth F, Valipour A, Shah PL, Eberhardt R, Grah C, Egan E. Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallel-group, open-label, randomised controlled STEP-UP trial. Lancet Respir Med. 2016;4.","Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallel-group, open-label, randomised controlled STEP-UP trial",Lancet Respir Med,2016,4,,,,,Herth F; Valipour A; Shah PL; Eberhardt R; Grah C; Egan E
36,"Come CE, Kramer MR, Dransfield MT, Abu-Hijleh M, Berkowitz D, Bezzi M. A randomised trial of lung sealant versus medical therapy for advanced emphysema. Eur Respir J. 2015;46.",A randomised trial of lung sealant versus medical therapy for advanced emphysema,Eur Respir J,2015,46,,,,,Come CE; Kramer MR; Dransfield MT; Abu-Hijleh M; Berkowitz D; Bezzi M
37,"Gompelmann D, Eberhardt R, Slebos D, Brown MS, Abtin F, Kim HJ. Diagnostic performance comparison of the Chartis System and high-resolution computerized tomography fissure analysis for planning endoscopic lung volume reduction. Respirology. 2014;19.",Diagnostic performance comparison of the Chartis System and high-resolution computerized tomography fissure analysis for planning endoscopic lung volume reduction,Respirology,2014,19,,,,,Gompelmann D; Eberhardt R; Slebos D; Brown MS; Abtin F; Kim HJ
38,"Koster TD, Van Rikxoort EM, Huebner RH, Doellinger F, Klooster K, Charbonnier JP. Predicting lung volume reduction after endobronchial valve therapy is maximized using a combination of diagnostic tools. Respiration. 2016;92.",Predicting lung volume reduction after endobronchial valve therapy is maximized using a combination of diagnostic tools,Respiration,2016,92,,,,,Koster TD; Van Rikxoort EM; Huebner RH; Doellinger F; Klooster K; Charbonnier JP
39,"Decamp MM, Blackstone EH, Naunheim KS, Krasna MJ, Wood DE, Meli YM. Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial. Ann Thorac Surg. 2006;82.",Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial,Ann Thorac Surg,2006,82,,,,,Decamp MM; Blackstone EH; Naunheim KS; Krasna MJ; Wood DE; Meli YM
40,"Ginsburg ME, Thomashow BM, Yip CK, Dimango AM, Maxfield RA, Bartels MN. Lung volume reduction surgery using the NETT selection criteria. Ann Thorac Surg. 2011;91.",Lung volume reduction surgery using the NETT selection criteria,Ann Thorac Surg,2011,91,,,,,Ginsburg ME; Thomashow BM; Yip CK; Dimango AM; Maxfield RA; Bartels MN
41,"Orens JB, Boehler A, De Perrot M, Estenne M, Glanville AR, Keshavjee S. Pulmonary Council, International Society for Heart and Lung Transplantation. A review of lung transplant donor acceptability criteria. J Heart Lung Transplant. 2003;22.","Pulmonary Council, International Society for Heart and Lung Transplantation. A review of lung transplant donor acceptability criteria",J Heart Lung Transplant,2003,22,,,,,Orens JB; Boehler A; De Perrot M; Estenne M; Glanville AR; Keshavjee S
