#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Semaan R, Yarmus L. Rigid bronchoscopy and silicone stents in the management of central airway obstruction. J Thorac Dis. 2015;7(Suppl 4).",Rigid bronchoscopy and silicone stents in the management of central airway obstruction,J Thorac Dis,2015,7,Suppl 4,,,,Semaan R; Yarmus L
18,"Yarmus L, D. New Bronchoscopic Instrumentation: A review and update in Rigid Bronchoscopy. New Bronchoscopic Instrumentation: A review and update in Rigid Bronchoscopy. 2010;None.",New Bronchoscopic Instrumentation: A review and update in Rigid Bronchoscopy,New Bronchoscopic Instrumentation: A review and update in Rigid Bronchoscopy,2010,,,,,,Yarmus L; D
19,"Bolliger CT, Mathur PN, Beamis JF. ERS/ATS statement on interventional pulmonology. European Respiratory Society/ American Thoracic Society. 2002;19(2).",ERS/ATS statement on interventional pulmonology,European Respiratory Society/ American Thoracic Society,2002,19,2,,,,Bolliger CT; Mathur PN; Beamis JF
20,Conacher ID. Anaesthesia and tracheobronchial stenting for central airway obstruction in adults. Br J Anaesth. 2003;90(3).,Anaesthesia and tracheobronchial stenting for central airway obstruction in adults,Br J Anaesth,2003,90,3,,,,Conacher ID
21,"Perrin G, Colt HG, Martin C. Safety of interventional rigid bronchoscopy using intravenous anesthesia and spontaneous assisted ventilation. Chest. 1992;102(5).",Safety of interventional rigid bronchoscopy using intravenous anesthesia and spontaneous assisted ventilation,Chest,1992,102,5,,,,Perrin G; Colt HG; Martin C
22,"Pathak V, Welsby I, Mahmood K. Ventilation and anesthetic approaches for rigid bronchoscopy. Ann Am Thorac Soc. 2014;11(4).",Ventilation and anesthetic approaches for rigid bronchoscopy,Ann Am Thorac Soc,2014,11,4,,,,Pathak V; Welsby I; Mahmood K
23, This is a comprehensive and up-to-date review of ventilation and anesthetic approaches available for rigid bronchoscopy. This is a comprehensive and up-to-date review of ventilation and anesthetic approaches available for rigid bronchoscopy. None;None.,This is a comprehensive and up-to-date review of ventilation and anesthetic approaches available for rigid bronchoscopy,This is a comprehensive and up-to-date review of ventilation and anesthetic approaches available for rigid bronchoscopy,,,,,,,
24,"Mashhadi L, Sabzevari A, Fard G, M. Controlled vs spontaneous ventilation for bronchoscopy in children with tracheobronchial foreign body. Iran J Otorhinolaryngol. 2017;29(95).",Controlled vs spontaneous ventilation for bronchoscopy in children with tracheobronchial foreign body,Iran J Otorhinolaryngol,2017,29,95,,,,Mashhadi L; Sabzevari A; Fard G; M
25,Rd S. Two ventilating attachments for bronchoscopes. Del Med J. 1967;39.,Two ventilating attachments for bronchoscopes,Del Med J,1967,39,,,,,Rd S
26,"Dj G, Rf W, Rj F. Rigid bronchoscopy under intravenous general anaesthesia with oxygen Venturi ventilation. Thorax. 1982;37(7).",Rigid bronchoscopy under intravenous general anaesthesia with oxygen Venturi ventilation,Thorax,1982,37,7,,,,Dj G; Rf W; Rj F
27,"Fernandez-Bustamante A, Ibanez V, Alfaro JJ. High-frequency jet ventilation in interventional bronchoscopy: factors with predictive value on high-frequency jet ventilation complications. J Clin Anesth. 2006;18(5).",High-frequency jet ventilation in interventional bronchoscopy: factors with predictive value on high-frequency jet ventilation complications,J Clin Anesth,2006,18,5,,,,Fernandez-Bustamante A; Ibanez V; Alfaro JJ
28,"Pobloth A, Reichle G, Deimel G. A new rigid bronchoscope with a measuring tube for pressure and capnometry. Pneumologie. 2001;55(3).",A new rigid bronchoscope with a measuring tube for pressure and capnometry,Pneumologie,2001,55,3,,,,Pobloth A; Reichle G; Deimel G
29,"Jeon K, Kim H, Yu CM. Rigid bronchoscopic intervention in patients with respiratory failure caused by malignant central airway obstruction. J Thorac Oncol. 2006;1(4).",Rigid bronchoscopic intervention in patients with respiratory failure caused by malignant central airway obstruction,J Thorac Oncol,2006,1,4,,,,Jeon K; Kim H; Yu CM
30,"Marel M, Pekarek Z, Spasova I. Management of benign stenoses of the large airways in the university hospital in Prague, Czech Republic, in 1998-2003. Respiration. 2005;72(6).","Management of benign stenoses of the large airways in the university hospital in Prague, Czech Republic, in 1998-2003",Respiration,2005,72,6,,,,Marel M; Pekarek Z; Spasova I
31,"Mcmahon CC, Rainey L, Fulton B. Central airway compression. Anaesth Intensive Care. 1997;52(2).",Central airway compression,Anaesth Intensive Care,1997,52,2,,,,Mcmahon CC; Rainey L; Fulton B
32,"Ernst A, Feller-Kopman D, Becker HD. Central airway obstruction. Am J Respir Crit Care Med. 2004;169(12).",Central airway obstruction,Am J Respir Crit Care Med,2004,169,12,,,,Ernst A; Feller-Kopman D; Becker HD
33,"Hujala K, Sipila J, Grenman R. Endotracheal and bronchial laser surgery in the treatment of malign and benign lower airway obstructions. Eur Arch Otorhinolaryngol. 2003;260(4).",Endotracheal and bronchial laser surgery in the treatment of malign and benign lower airway obstructions,Eur Arch Otorhinolaryngol,2003,260,4,,,,Hujala K; Sipila J; Grenman R
34,"Freitag L, Ernst A, Thomas M. Sequential photodynamic therapy (PDT) and high dose brachytherapy for endobronchial tumour control in patients with limited bronchogenic carcinoma. Thorax. 2004;59(9).",Sequential photodynamic therapy (PDT) and high dose brachytherapy for endobronchial tumour control in patients with limited bronchogenic carcinoma,Thorax,2004,59,9,,,,Freitag L; Ernst A; Thomas M
35,"Han CC, Prasetyo D, Wright GM. Endobronchial palliation using Nd: YAGlaser is associated with improved survival when combined with multimodal adjuvant treatments. J Thorac Oncol. 2007;2(1).",Endobronchial palliation using Nd: YAGlaser is associated with improved survival when combined with multimodal adjuvant treatments,J Thorac Oncol,2007,2,1,,,,Han CC; Prasetyo D; Wright GM
36,"Gompelmann D, Eberhardt R, Schuhmann M. Self-expanding Y stents in the treatment of central airway stenosis: a retrospective analysis. Ther Adv Respir Dis. 2013;7(5).",Self-expanding Y stents in the treatment of central airway stenosis: a retrospective analysis,Ther Adv Respir Dis,2013,7,5,,,,Gompelmann D; Eberhardt R; Schuhmann M
37,"Ginsberg R, RA. Non-Small Cell Lung Cancer. Cancer Principles and Practice of Oncology. 1997;None.",Non-Small Cell Lung Cancer,Cancer Principles and Practice of Oncology,1997,,,,,,Ginsberg R; RA
38,"Ernst A, Simoff M, Ost D. Prospective risk-adjusted morbidity and mortality outcome analysis after therapeutic bronchoscopic procedures: results of a multi-institutional outcomes database. Chest. 2008;134(3).",Prospective risk-adjusted morbidity and mortality outcome analysis after therapeutic bronchoscopic procedures: results of a multi-institutional outcomes database,Chest,2008,134,3,,,,Ernst A; Simoff M; Ost D
39,Hollingsworth HM. Wheezing and stridor. Clin Chest Med. 1987;8(2).,Wheezing and stridor,Clin Chest Med,1987,8,2,,,,Hollingsworth HM
40,"Honings J, Gaissert HA, Der Heijden V, H. Clinical aspects and treatment of primary tracheal malignancies. Acta Otolaryngol. 2010;130(7).",Clinical aspects and treatment of primary tracheal malignancies,Acta Otolaryngol,2010,130,7,,,,Honings J; Gaissert HA; Der Heijden V; H
41,Grillo HC. The history of tracheal surgery. Chest Surg Clin N Am. 2003;13(2).,The history of tracheal surgery,Chest Surg Clin N Am,2003,13,2,,,,Grillo HC
42,"Ost DE, Ernst A, Grosu HB. Complications following therapeutic bronchoscopy for malignant central airway obstruction: Results of the AQuIRE registry. Chest. 2015;148(2).",Complications following therapeutic bronchoscopy for malignant central airway obstruction: Results of the AQuIRE registry,Chest,2015,148,2,,,,Ost DE; Ernst A; Grosu HB
43," This is a multicenter study of patients undergoing therapeutic bronchoscopy for malignant central airway obstruction using the American College of Chest Physicians (CHEST) Quality Improvement Registry, Evaluation, and Education (AQuIRE) program registry data. It yields some valuable data about variation in practice patterns among different institutions, complications of therapeutic bronchoscopy, and the risks factors for complications. This is a multicenter study of patients undergoing therapeutic bronchoscopy for malignant central airway obstruction using the American College of Chest Physicians (CHEST) Quality Improvement Registry, Evaluation, and Education (AQuIRE) program registry data. It yields some valuable data about variation in practice patterns among different institutions, complications of therapeutic bronchoscopy, and the risks factors for complications. None;None.","This is a multicenter study of patients undergoing therapeutic bronchoscopy for malignant central airway obstruction using the American College of Chest Physicians (CHEST) Quality Improvement Registry, Evaluation, and Education (AQuIRE) program registry data. It yields some valuable data about variation in practice patterns among different institutions, complications of therapeutic bronchoscopy, and the risks factors for complications","This is a multicenter study of patients undergoing therapeutic bronchoscopy for malignant central airway obstruction using the American College of Chest Physicians (CHEST) Quality Improvement Registry, Evaluation, and Education (AQuIRE) program registry data. It yields some valuable data about variation in practice patterns among different institutions, complications of therapeutic bronchoscopy, and the risks factors for complications",,,,,,,
44,"Dutau H, Breen D, Bugalho A. Current practice of airway stenting in the adult population in Europe: a survey of the European Association of Bronchology and Interventional Pulmonology (EABIP). Respiration. 2018;95(1).",Current practice of airway stenting in the adult population in Europe: a survey of the European Association of Bronchology and Interventional Pulmonology (EABIP),Respiration,2018,95,1,,,,Dutau H; Breen D; Bugalho A
45,"Geffin B, Grillo HC, Cooper JD. Stenosis following tracheostomy for respiratory care. JAMA. 1971;216(12).",Stenosis following tracheostomy for respiratory care,JAMA,1971,216,12,,,,Geffin B; Grillo HC; Cooper JD
46,"Brichet A, Verkindre C, Dupont J. Multidisciplinary approach to management of postintubation tracheal stenoses. Eur Respir J. 1999;13(4).",Multidisciplinary approach to management of postintubation tracheal stenoses,Eur Respir J,1999,13,4,,,,Brichet A; Verkindre C; Dupont J
47,"Colt HG, Harrell JH. Therapeutic rigid bronchoscopy allows level of care changes in patients with acute respiratory failure from central airways obstruction. Chest. 1997;112(1).",Therapeutic rigid bronchoscopy allows level of care changes in patients with acute respiratory failure from central airways obstruction,Chest,1997,112,1,,,,Colt HG; Harrell JH
48,"Rand D, Barber IA, Goldring PV, J. British Thoracic Society guideline for advanced diagnostic and therapeutic flexible bronchoscopy in adults. Thorax. 2011;66(Suppl 3).",British Thoracic Society guideline for advanced diagnostic and therapeutic flexible bronchoscopy in adults,Thorax,2011,66,Suppl 3,,,,Rand D; Barber IA; Goldring PV; J
49,Pearson FG. Technique of management of subglottic stenosis. Chest Surg Clin N Am. 1996;6(4).,Technique of management of subglottic stenosis,Chest Surg Clin N Am,1996,6,4,,,,Pearson FG
50,"Chhajed PN, Malouf MA, Glanville AR. Bronchoscopic dilatation in the management of benign (non-transplant) tracheobronchial stenosis. Intern Med J. 2001;31(9).",Bronchoscopic dilatation in the management of benign (non-transplant) tracheobronchial stenosis,Intern Med J,2001,31,9,,,,Chhajed PN; Malouf MA; Glanville AR
51,"Gracia D, Culebras J, Alvarez M, A. Bronchoscopic balloon dilatation in the management of bronchial stenosis following lung transplantation. Respir Med. 2007;101(1).",Bronchoscopic balloon dilatation in the management of bronchial stenosis following lung transplantation,Respir Med,2007,101,1,,,,Gracia D; Culebras J; Alvarez M; A
52,"Keller C, Frost A. Fiberoptic bronchoplasty. Description of a simple adjunct technique for the management of bronchial stenosis following lung transplantation. Chest. 1992;102(4).",Fiberoptic bronchoplasty. Description of a simple adjunct technique for the management of bronchial stenosis following lung transplantation,Chest,1992,102,4,,,,Keller C; Frost A
53,"Wood DE, Liu YH, Vallieres E. Airway stenting for malignant and benign tracheobronchial stenosis. Ann Thorac Surg. 2003;76(1).",Airway stenting for malignant and benign tracheobronchial stenosis,Ann Thorac Surg,2003,76,1,,,,Wood DE; Liu YH; Vallieres E
54,"Folch E, Mehta AC. Airway interventions in the tracheobronchial tree. Semin Respir Crit Care Med. 2008;29(4).",Airway interventions in the tracheobronchial tree,Semin Respir Crit Care Med,2008,29,4,,,,Folch E; Mehta AC
55,"Oki M, Saka H, Hori K. Airway stenting in patients requiring intubation due to malignant airway stenosis: a 10-year experience. J Thorac Dis. 2017;9(9).",Airway stenting in patients requiring intubation due to malignant airway stenosis: a 10-year experience,J Thorac Dis,2017,9,9,,,,Oki M; Saka H; Hori K
56,Casal RF. Update in airway stents. Curr Opin Pulm Med. 2010;16(4).,Update in airway stents,Curr Opin Pulm Med,2010,16,4,,,,Casal RF
57,"Karush JM, Seder CW, Raman A. Durability of silicone airway stents in the management of benign central airway obstruction. Lung. 2017;195(5).",Durability of silicone airway stents in the management of benign central airway obstruction,Lung,2017,195,5,,,,Karush JM; Seder CW; Raman A
58,"Noppen M, Stratakos G, Amjadi K. Stenting allows weaning and extubation in ventilator-or tracheostomy dependency secondary to benign airway disease. Respir Med. 2007;101(1).",Stenting allows weaning and extubation in ventilator-or tracheostomy dependency secondary to benign airway disease,Respir Med,2007,101,1,,,,Noppen M; Stratakos G; Amjadi K
59,"Tedde ML, Rodrigues A, Scordamaglio PR. A new technique for T-tube insertion in patients with subglottic stenosis. Eur J Cardiothorac Surg. 2011;39(1).",A new technique for T-tube insertion in patients with subglottic stenosis,Eur J Cardiothorac Surg,2011,39,1,,,,Tedde ML; Rodrigues A; Scordamaglio PR
60,Nicolai T. Foreign body aspiration in children. MMW Fortschr Med. 2013;155(16).,Foreign body aspiration in children,MMW Fortschr Med,2013,155,16,,,,Nicolai T
61,"Baram A, Sherzad H, Saeed S. Tracheobronchial foreign bodies in children: the role of emergency rigid bronchoscopy. Glob Pediatr Health. 2017;4.",Tracheobronchial foreign bodies in children: the role of emergency rigid bronchoscopy,Glob Pediatr Health,2017,4,,,,,Baram A; Sherzad H; Saeed S
62,"Swanson KL, Edell ES. Tracheobronchial foreign bodies. Chest Surg Clin N Am. 2001;11(4).",Tracheobronchial foreign bodies,Chest Surg Clin N Am,2001,11,4,,,,Swanson KL; Edell ES
63,"Rafanan AL, Mehta AC. Adult airway foreign body removal. What's new?. Clin Chest Med. 2001;22(2).",Adult airway foreign body removal. What's new?,Clin Chest Med,2001,22,2,,,,Rafanan AL; Mehta AC
64,Farrell PT. Rigid bronchoscopy for foreign body removal: anaesthesia and ventilation. Paediatr Anaesth. 2004;14(1).,Rigid bronchoscopy for foreign body removal: anaesthesia and ventilation,Paediatr Anaesth,2004,14,1,,,,Farrell PT
65,"Conlan AA, Hurwitz SS. Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage. Thorax. 1980;35(12).",Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage,Thorax,1980,35,12,,,,Conlan AA; Hurwitz SS
66,"Colchen A, Fischler M. Emergency interventional bronchoscopies. Rev Pneumol Clin. 2011;67(4).",Emergency interventional bronchoscopies,Rev Pneumol Clin,2011,67,4,,,,Colchen A; Fischler M
67,"Valipour A, Kreuzer A, Koller H. Bronchoscopy-guided topical hemostatic tamponade therapy for the management of life-threatening hemoptysis. Chest. 2005;127(6).",Bronchoscopy-guided topical hemostatic tamponade therapy for the management of life-threatening hemoptysis,Chest,2005,127,6,,,,Valipour A; Kreuzer A; Koller H
68,"Sakr L, Dutau H. Massive hemoptysis: an update on the role of bronchoscopy in diagnosis and management. Respiration. 2010;80(1).",Massive hemoptysis: an update on the role of bronchoscopy in diagnosis and management,Respiration,2010,80,1,,,,Sakr L; Dutau H
69,"Solomonov A, Fruchter O, Zuckerman T. Pulmonary hemorrhage: a novel mode of therapy. Respir Med. 2009;103(8).",Pulmonary hemorrhage: a novel mode of therapy,Respir Med,2009,103,8,,,,Solomonov A; Fruchter O; Zuckerman T
70,"Casoni GL, Tomassetti S, Cavazza A. Transbronchial lung cryobiopsy in the diagnosis of fibrotic interstitial lung diseases. PloS one. 2014;9(2):86716.",Transbronchial lung cryobiopsy in the diagnosis of fibrotic interstitial lung diseases,PloS one,2014,9,2,86716,,,Casoni GL; Tomassetti S; Cavazza A
71,"Yarmus L, Akulian J, Gilbert C. Cryoprobe transbronchial lung biopsy in patients after lung transplantation: a pilot safety study. Chest. 2013;143(3).",Cryoprobe transbronchial lung biopsy in patients after lung transplantation: a pilot safety study,Chest,2013,143,3,,,,Yarmus L; Akulian J; Gilbert C
72,"Kropski JA, Pritchett JM, Mason WR. Bronchoscopic cryobiopsy for the diagnosis of diffuse parenchymal lung disease. PloS one. 2013;8(11):78674.",Bronchoscopic cryobiopsy for the diagnosis of diffuse parenchymal lung disease,PloS one,2013,8,11,78674,,,Kropski JA; Pritchett JM; Mason WR
73,"Gershman E, Fruchter O, Benjamin F. Safety of cryo-transbronchial biopsy in diffuse lung diseases: analysis of three hundred cases. Respiration. 2015;90(1).",Safety of cryo-transbronchial biopsy in diffuse lung diseases: analysis of three hundred cases,Respiration,2015,90,1,,,,Gershman E; Fruchter O; Benjamin F
74,"Mullon JJ, Burkart KM, Silvestri G. Interventional pulmonology fellowship accreditation standards. Chest. 2017;151(5).",Interventional pulmonology fellowship accreditation standards,Chest,2017,151,5,,,,Mullon JJ; Burkart KM; Silvestri G
75,"Hetzel J, Maldonado F, Ravaglia C. Transbronchial cryobiopsies for the diagnosis of diffuse parenchymal lung diseases: expert statement from the Cryobiopsy Working Group on Safety and Utility and a Call for Standardization of the Procedure. Respiration. 2018;95(3).",Transbronchial cryobiopsies for the diagnosis of diffuse parenchymal lung diseases: expert statement from the Cryobiopsy Working Group on Safety and Utility and a Call for Standardization of the Procedure,Respiration,2018,95,3,,,,Hetzel J; Maldonado F; Ravaglia C
