#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sim YT, Poon FW. Imaging of solitary pulmonary nodule-a clinical review. Quant Imaging Med Surg. 2013;3.",Imaging of solitary pulmonary nodule-a clinical review,Quant Imaging Med Surg,2013,3,,,,,Sim YT; Poon FW
22,"Diette GB, White P, Terry P. Utility of on-site cytopathology assessment for bronchoscopic evaluation of lung masses and adenopathy. Chest. 2000;117.",Utility of on-site cytopathology assessment for bronchoscopic evaluation of lung masses and adenopathy,Chest,2000,117,,,,,Diette GB; White P; Terry P
23,"Diacon AH, Schuurmans MM, Theron J. Utility of rapid on-site evaluation of transbronchial needle aspirates. Respiration. 2005;72.",Utility of rapid on-site evaluation of transbronchial needle aspirates,Respiration,2005,72,,,,,Diacon AH; Schuurmans MM; Theron J
24,"Khan KA, Nardelli P, Jaeger A. Navigational bronchoscopy for early lung cancer: a road to therapy. Adv Ther. 2016;33.",Navigational bronchoscopy for early lung cancer: a road to therapy,Adv Ther,2016,33,,,,,Khan KA; Nardelli P; Jaeger A
25,"Silvestri GA, Gonzalez AV, Jantz MA. Methods for staging nonsmall cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(Suppl 5).","Methods for staging nonsmall cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,Suppl 5,,,,Silvestri GA; Gonzalez AV; Jantz MA
26,"Ramnath N, Dilling TJ, Harris LJ. Treatment of stage III nonsmall cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(Suppl 5).","Treatment of stage III nonsmall cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,Suppl 5,,,,Ramnath N; Dilling TJ; Harris LJ
27,"Wang KP, Terry PB. Transbronchial needle aspiration in the diagnosis and staging of bronchogenic carcinoma. Am Rev Respir Dis. 1983;127.",Transbronchial needle aspiration in the diagnosis and staging of bronchogenic carcinoma,Am Rev Respir Dis,1983,127,,,,,Wang KP; Terry PB
28,"Yasufuku K, Chiyo M, Sekine Y. Real-time endobronchial ultrasoundguided transbronchial needle aspiration of mediastinal and hilar lymph nodes. Chest. 2004;126.",Real-time endobronchial ultrasoundguided transbronchial needle aspiration of mediastinal and hilar lymph nodes,Chest,2004,126,,,,,Yasufuku K; Chiyo M; Sekine Y
29,"Lababede O, Meziane M, Rice T. Seventh edition of the cancer staging manual and stage grouping of lung cancer: quick reference chart and diagrams. Chest. 2011;139.",Seventh edition of the cancer staging manual and stage grouping of lung cancer: quick reference chart and diagrams,Chest,2011,139,,,,,Lababede O; Meziane M; Rice T
30,"Gomez M, Silvestri GA. Endobronchial ultrasound for the diagnosis and staging of lung cancer. Proc Am Thorac Soc. 2009;6.",Endobronchial ultrasound for the diagnosis and staging of lung cancer,Proc Am Thorac Soc,2009,6,,,,,Gomez M; Silvestri GA
31,"Cerfolio RJ, Bryant AS, Eloubeidi MA. Accessing the aortopulmonary window (#5) and the paraaortic (#6) lymph nodes in patients with nonsmall cell lung cancer. Ann Thorac Surg. 2007;84.",Accessing the aortopulmonary window (#5) and the paraaortic (#6) lymph nodes in patients with nonsmall cell lung cancer,Ann Thorac Surg,2007,84,,,,,Cerfolio RJ; Bryant AS; Eloubeidi MA
32,"De Leyn P, Dooms C, Kuzdzal J. Revised ESTS guidelines for preoperative mediastinal lymph node staging for non-small-cell lung cancer. Eur J Cardiothorac Surg. 2014;45.",Revised ESTS guidelines for preoperative mediastinal lymph node staging for non-small-cell lung cancer,Eur J Cardiothorac Surg,2014,45,,,,,De Leyn P; Dooms C; Kuzdzal J
33,"Lee HS, Lee GK, Lee HS. Real-time endobronchial ultrasound-guided transbronchial needle aspiration in mediastinal staging of non-small cell lung cancer: how many aspirations per target lymph node station. Chest. 2008;134.",Real-time endobronchial ultrasound-guided transbronchial needle aspiration in mediastinal staging of non-small cell lung cancer: how many aspirations per target lymph node station,Chest,2008,134,,,,,Lee HS; Lee GK; Lee HS
34,"Gu P, Zhao YZ, Jiang LY. Endobronchial ultrasound-guided transbronchial needle aspiration for staging of lung cancer: a systematic review and meta-analysis. Eur J Cancer. 2009;45.",Endobronchial ultrasound-guided transbronchial needle aspiration for staging of lung cancer: a systematic review and meta-analysis,Eur J Cancer,2009,45,,,,,Gu P; Zhao YZ; Jiang LY
35,"Adams K, Shah PL, Edmonds L, Lim E. Test performance of endobronchial ultrasound and transbronchial needle aspiration biopsy for mediastinal staging in patients with lung cancer: systematic review and meta-analysis. Thorax. 2009;64.",Test performance of endobronchial ultrasound and transbronchial needle aspiration biopsy for mediastinal staging in patients with lung cancer: systematic review and meta-analysis,Thorax,2009,64,,,,,Adams K; Shah PL; Edmonds L; Lim E
36,"Chandra S, Nehra M, Agarwal D, Mohan A. Diagnostic accuracy of endobronchial ultrasound-guided transbronchial needle biopsy in mediastinal lymphadenopathy: a systematic review and meta-analysis. Respir Care. 2012;57.",Diagnostic accuracy of endobronchial ultrasound-guided transbronchial needle biopsy in mediastinal lymphadenopathy: a systematic review and meta-analysis,Respir Care,2012,57,,,,,Chandra S; Nehra M; Agarwal D; Mohan A
37,"Cho JH, Kim J, Kim K. A comparative analysis of video-assisted mediastinoscopy and conventional mediastinoscopy. Ann Thorac Surg. 2011;92.",A comparative analysis of video-assisted mediastinoscopy and conventional mediastinoscopy,Ann Thorac Surg,2011,92,,,,,Cho JH; Kim J; Kim K
38,"Anraku M, Miyata R, Compeau C, Shargall Y. Video-assisted mediastinoscopy compared with conventional mediastinoscopy: are we doing better?. Ann Thorac Surg. 2010;89.",Video-assisted mediastinoscopy compared with conventional mediastinoscopy: are we doing better?,Ann Thorac Surg,2010,89,,,,,Anraku M; Miyata R; Compeau C; Shargall Y
39,"Rami-Porta R, Call S. Invasive staging of mediastinal lymph nodes: mediastinoscopy and remediastinoscopy. Thorac Surg Clin. 2012;22.",Invasive staging of mediastinal lymph nodes: mediastinoscopy and remediastinoscopy,Thorac Surg Clin,2012,22,,,,,Rami-Porta R; Call S
40,"Yasufuku K, Pierre A, Darling G. A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer. J Thorac Cardiovasc Surg. 2011;142.",A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer,J Thorac Cardiovasc Surg,2011,142,,,,,Yasufuku K; Pierre A; Darling G
41,"Annema JT, Van Meerbeeck JP, Rintoul RC. Mediastinoscopy vs endosonography for mediastinal nodal staging of lung cancer: a randomized trial. JAMA. 2010;304.",Mediastinoscopy vs endosonography for mediastinal nodal staging of lung cancer: a randomized trial,JAMA,2010,304,,,,,Annema JT; Van Meerbeeck JP; Rintoul RC
42,"Herth FJ, Eberhardt R, Krasnik M, Ernst A. Endobronchial ultrasoundguided transbronchial needle aspiration of lymph nodes in the radiologically and positron emission tomography-normal mediastinum in patients with lung cancer. Chest. 2008;133.",Endobronchial ultrasoundguided transbronchial needle aspiration of lymph nodes in the radiologically and positron emission tomography-normal mediastinum in patients with lung cancer,Chest,2008,133,,,,,Herth FJ; Eberhardt R; Krasnik M; Ernst A
43,"Szlubowski A, Zielinski M, Soja J. A combined approach of endobronchial and endoscopic ultrasound-guided needle aspiration in the radiologically normal mediastinum in non-small-cell lung cancer staginga prospective trial. Eur J Cardiothorac Surg. 2010;37.",A combined approach of endobronchial and endoscopic ultrasound-guided needle aspiration in the radiologically normal mediastinum in non-small-cell lung cancer staginga prospective trial,Eur J Cardiothorac Surg,2010,37,,,,,Szlubowski A; Zielinski M; Soja J
44,"De Leyn P, Stroobants S, Wever D, W. Prospective comparative study of integrated positron emission tomography-computed tomography scan compared with remediastinoscopy in the assessment of residual mediastinal lymph node disease after induction chemotherapy for mediastinoscopyproven stage IIIA-N2 non-small-cell lung cancer: a Leuven Lung Cancer Group Study. J Clin Oncol. 2006;24.",Prospective comparative study of integrated positron emission tomography-computed tomography scan compared with remediastinoscopy in the assessment of residual mediastinal lymph node disease after induction chemotherapy for mediastinoscopyproven stage IIIA-N2 non-small-cell lung cancer: a Leuven Lung Cancer Group Study,J Clin Oncol,2006,24,,,,,De Leyn P; Stroobants S; Wever D; W
45,"Herth FJ, Annema JT, Eberhardt R. Endobronchial ultrasound with transbronchial needle aspiration for restaging the mediastinum in lung cancer. J Clin Oncol. 2008;26.",Endobronchial ultrasound with transbronchial needle aspiration for restaging the mediastinum in lung cancer,J Clin Oncol,2008,26,,,,,Herth FJ; Annema JT; Eberhardt R
46,"Van Der Heijden EH, Casal RF, Trisolini R. Guideline for the acquisition and preparation of conventional and endobronchial ultrasound-guided transbronchial needle aspiration specimens for the diagnosis and molecular testing of patients with known or suspected lung cancer. Respiration. 2014;88.",Guideline for the acquisition and preparation of conventional and endobronchial ultrasound-guided transbronchial needle aspiration specimens for the diagnosis and molecular testing of patients with known or suspected lung cancer,Respiration,2014,88,,,,,Van Der Heijden EH; Casal RF; Trisolini R
47,"Yarmus L, Akulian J, Gilbert C. Optimizing endobronchial ultrasound for molecular analysis. How many passes are needed?. Ann Am Thorac Soc. 2013;10.",Optimizing endobronchial ultrasound for molecular analysis. How many passes are needed?,Ann Am Thorac Soc,2013,10,,,,,Yarmus L; Akulian J; Gilbert C
48,"Sakairi Y, Nakajima T, Yasufuku K. EML4-ALK fusion gene assessment using metastatic lymph node samples obtained by endobronchial ultrasound-guided transbronchial needle aspiration. Clin Cancer Res. 2010;16.",EML4-ALK fusion gene assessment using metastatic lymph node samples obtained by endobronchial ultrasound-guided transbronchial needle aspiration,Clin Cancer Res,2010,16,,,,,Sakairi Y; Nakajima T; Yasufuku K
49,"Herth FJ, Becker HD, Ernst A. Aspirin does not increase bleeding complications after transbronchial biopsy. Chest. 2002;122.",Aspirin does not increase bleeding complications after transbronchial biopsy,Chest,2002,122,,,,,Herth FJ; Becker HD; Ernst A
