#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Becker HD, Marsh BR. History of the rigid bronchoscope. Interventional bronchoscopy. 2000;None.",History of the rigid bronchoscope,Interventional bronchoscopy,2000,,,,,,Becker HD; Marsh BR
21,"Schreiber G, Mccrory DC. Performance characteristics of different modalities for diagnosis of suspected lung cancer: summary of published evidence. Chest. 2003;123(Suppl 1).",Performance characteristics of different modalities for diagnosis of suspected lung cancer: summary of published evidence,Chest,2003,123,Suppl 1,,,,Schreiber G; Mccrory DC
22,"Macmahon H, Austin J, Gamsu G. Guidelines for management of small pulmonary nodules detected on CT scans: a statement from the Fleischner Society. Radiology. 2005;237(2).",Guidelines for management of small pulmonary nodules detected on CT scans: a statement from the Fleischner Society,Radiology,2005,237,2,,,,Macmahon H; Austin J; Gamsu G
23,"Asano F, Matsuno Y, Shinagawa N. A virtual bronchoscopic navigation system for pulmonary peripheral lesions. Chest. 2006;130(2).",A virtual bronchoscopic navigation system for pulmonary peripheral lesions,Chest,2006,130,2,,,,Asano F; Matsuno Y; Shinagawa N
24,"Asano F, Matsuno Y, Tsuzuku A. Diagnosis of peripheral pulmonary lesions using a bronchoscope insertion guidance system combined with endobronchial ultrasonography with a guide sheath. Lung Cancer. 2008;60(3).",Diagnosis of peripheral pulmonary lesions using a bronchoscope insertion guidance system combined with endobronchial ultrasonography with a guide sheath,Lung Cancer,2008,60,3,,,,Asano F; Matsuno Y; Tsuzuku A
25,"Brown WT, Wu X, Amendola B. Treatment of early non-small cell lung cancer, stage IA, by image-guided robotic stereotactic radioablation-CyberKnife. Cancer J. 2007;13(2).","Treatment of early non-small cell lung cancer, stage IA, by image-guided robotic stereotactic radioablation-CyberKnife",Cancer J,2007,13,2,,,,Brown WT; Wu X; Amendola B
26,"Loewen G, Natarajan N, Tan D. Autofluorescence bronchoscopy for lung cancer surveillance based on risk assessment. Thorax. 2007;62(4).",Autofluorescence bronchoscopy for lung cancer surveillance based on risk assessment,Thorax,2007,62,4,,,,Loewen G; Natarajan N; Tan D
27,"Haussinger K, Becker H, Stanzel F. Autofluorescence bronchoscopy with white light bronchoscopy compared with white light bronchoscopy alone for the detection of precancerous lesions: a European randomised controlled multicentre trial. Thorax. 2005;60(6).",Autofluorescence bronchoscopy with white light bronchoscopy compared with white light bronchoscopy alone for the detection of precancerous lesions: a European randomised controlled multicentre trial,Thorax,2005,60,6,,,,Haussinger K; Becker H; Stanzel F
28,"Lam B, Wong MP, Fung SL. The clinical value of autofluorescence bronchoscopy for the diagnosis of lung cancer. Eur Respir J. 2006;28(5).",The clinical value of autofluorescence bronchoscopy for the diagnosis of lung cancer,Eur Respir J,2006,28,5,,,,Lam B; Wong MP; Fung SL
29,"Kennedy TC, Prindiville FW, SA. High prevalence of endobronchial malignancy in high-risk patients with moderate dysplasia in sputum. Chest. 2004;125(Suppl 5).",High prevalence of endobronchial malignancy in high-risk patients with moderate dysplasia in sputum,Chest,2004,125,Suppl 5,,,,Kennedy TC; Prindiville FW; SA
30,"Hanibuchi M, Yano S, Nishioka Y. Autofluorescence bronchoscopy, a novel modality for the early detection of bronchial premalignant and malignant lesions. J Med Invest. 2007;54(3-4).","Autofluorescence bronchoscopy, a novel modality for the early detection of bronchial premalignant and malignant lesions",J Med Invest,2007,54,3-4,,,,Hanibuchi M; Yano S; Nishioka Y
31,"Feller-Kopman D, Lunn W, Ernst A. Autofluorescence bronchoscopy and endobronchial ultrasound: a practical review. Ann Thorac Surg. 2005;80(6).",Autofluorescence bronchoscopy and endobronchial ultrasound: a practical review,Ann Thorac Surg,2005,80,6,,,,Feller-Kopman D; Lunn W; Ernst A
32,"Chhajed PN, Shibuya K, Hoshino H. A comparison of video and autofluorescence bronchoscopy in patients at high risk of lung cancer. Eur Respir J. 2005;25(6).",A comparison of video and autofluorescence bronchoscopy in patients at high risk of lung cancer,Eur Respir J,2005,25,6,,,,Chhajed PN; Shibuya K; Hoshino H
33,"Tanaka H, Yamada G, Saikai T. Increased airway vascularity in newly diagnosed asthma using a highmagnification bronchovideoscope. Am J Respir Crit Care Med. 2003;168(12).",Increased airway vascularity in newly diagnosed asthma using a highmagnification bronchovideoscope,Am J Respir Crit Care Med,2003,168,12,,,,Tanaka H; Yamada G; Saikai T
34,"Vincent BD, Fraig M, Silvestri GA. A pilot study of narrow band imaging compared to white light bronchoscopy for evaluation of normal airways, pre-malignant and malignant airways disease. Chest. 2007;131(6).","A pilot study of narrow band imaging compared to white light bronchoscopy for evaluation of normal airways, pre-malignant and malignant airways disease",Chest,2007,131,6,,,,Vincent BD; Fraig M; Silvestri GA
35,"Keith RL, Miller YE, Gemmill RM. Angiogenic squamous dysplasia in bronchi of individuals at high risk for lung cancer. Clin Cancer Res. 2000;6(5).",Angiogenic squamous dysplasia in bronchi of individuals at high risk for lung cancer,Clin Cancer Res,2000,6,5,,,,Keith RL; Miller YE; Gemmill RM
36,"Shibuya K, Fujisawa T, Hoshino H. Fluorescence bronchoscopy in the detection of preinvasive bronchial lesions in patients with sputum cytology suspicious or positive for malignancy. Lung Cancer. 2001;32(1).",Fluorescence bronchoscopy in the detection of preinvasive bronchial lesions in patients with sputum cytology suspicious or positive for malignancy,Lung Cancer,2001,32,1,,,,Shibuya K; Fujisawa T; Hoshino H
37,"Thiberville L, Moreno-Swirc S, Vercauteren T. In vivo imaging of the bronchial wall microstructure using fibered confocal fluorescence microscopy. Am J Respir Crit Care Med. 2007;175(1).",In vivo imaging of the bronchial wall microstructure using fibered confocal fluorescence microscopy,Am J Respir Crit Care Med,2007,175,1,,,,Thiberville L; Moreno-Swirc S; Vercauteren T
38,"Thiberville L, Salaun M, Lachkar S. Human invivo fluorescence microimaging of the alveolar ducts and sacs during bronchoscopy. Eur Respir J. 2009;33(5).",Human invivo fluorescence microimaging of the alveolar ducts and sacs during bronchoscopy,Eur Respir J,2009,33,5,,,,Thiberville L; Salaun M; Lachkar S
39,"Whiteman SC, Yang Y, Van Pittius DG. Optical coherence tomography: real-time imaging of bronchial airways microstructure and detection of inflammatory/neoplastic morphologic changes. Clin Cancer Res. 2006;12(3).",Optical coherence tomography: real-time imaging of bronchial airways microstructure and detection of inflammatory/neoplastic morphologic changes,Clin Cancer Res,2006,12,3,,,,Whiteman SC; Yang Y; Van Pittius DG
40,"Boppart SA, Bouma BE, Pitris C. In vivo cellular optical coherence tomography imaging. Nat Med. 1998;4(7).",In vivo cellular optical coherence tomography imaging,Nat Med,1998,4,7,,,,Boppart SA; Bouma BE; Pitris C
41,"Han S, El-Abbadi NH, Hanna N. Evaluation of tracheal imaging by optical coherence tomography. Respiration. 2005;72(5).",Evaluation of tracheal imaging by optical coherence tomography,Respiration,2005,72,5,,,,Han S; El-Abbadi NH; Hanna N
42,"Hanna N, Saltzman D, Mukai D. Twodimensional and 3-dimensional optical coherence tomographic imaging of the airway, lung, and pleura. J Thorac Cardiovasc Surg. 2005;129(3).","Twodimensional and 3-dimensional optical coherence tomographic imaging of the airway, lung, and pleura",J Thorac Cardiovasc Surg,2005,129,3,,,,Hanna N; Saltzman D; Mukai D
43,"Bickenbach J, Dembinski R, Czaplik M. Comparison of two in vivo microscopy techniques to visualize alveolar mechanics. J Clin Monit Comput. 2009;23(5).",Comparison of two in vivo microscopy techniques to visualize alveolar mechanics,J Clin Monit Comput,2009,23,5,,,,Bickenbach J; Dembinski R; Czaplik M
44,"Mertens M, Tabuchi A, Meissner S. Alveolar dynamics in acute lung injury: heterogeneous distension rather than cyclic opening and collapse. Crit Care Med. 2009;37(9).",Alveolar dynamics in acute lung injury: heterogeneous distension rather than cyclic opening and collapse,Crit Care Med,2009,37,9,,,,Mertens M; Tabuchi A; Meissner S
