#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17.",Flexible bronchofiberscope,Keio J Med,1968,17,,,,,Ikeda S; Yanai N; Ishikawa S
14,"Markou NK, Kanakaki MC, Boutzouka E. Fluctuations in gas exchange and cardiovascular parameters during flexible bronchoscopy. J Bronchol. 1999;6.",Fluctuations in gas exchange and cardiovascular parameters during flexible bronchoscopy,J Bronchol,1999,6,,,,,Markou NK; Kanakaki MC; Boutzouka E
15,"Van Vyve T, Chanez P, Bousquet J. Safety of bronchoalveolar lavage and bronchial biopsies in patients with asthma of variable severity. Am Rev Respir Dis. 1992;146.",Safety of bronchoalveolar lavage and bronchial biopsies in patients with asthma of variable severity,Am Rev Respir Dis,1992,146,,,,,Van Vyve T; Chanez P; Bousquet J
16,"Meghjee SP, Marshall M, Redfern EJ. Influence of patient posture on oxygen saturation during fibre-optic bronchoscopy. Respir Med. 2001;95.",Influence of patient posture on oxygen saturation during fibre-optic bronchoscopy,Respir Med,2001,95,,,,,Meghjee SP; Marshall M; Redfern EJ
17,"Arai T, Hatano Y, Komatsu K. Real-time analysis of the change in arterial oxygen tension during endotracheal suction with a fiberoptic bronchoscope. Crit Care Med. 1985;13.",Real-time analysis of the change in arterial oxygen tension during endotracheal suction with a fiberoptic bronchoscope,Crit Care Med,1985,13,,,,,Arai T; Hatano Y; Komatsu K
18,"Lundgren R, Haggmark S, Reiz S. Hemodynamic effects of flexible fiberoptic bronchoscopy performed under topical anesthesia. Chest. 1982;82.",Hemodynamic effects of flexible fiberoptic bronchoscopy performed under topical anesthesia,Chest,1982,82,,,,,Lundgren R; Haggmark S; Reiz S
19,"Fang W, Chen Y, Chung Y. Predictors of oxygen desaturation in patients undergoing diagnostic bronchoscopy. Chang Gung Med J. 2006;29.",Predictors of oxygen desaturation in patients undergoing diagnostic bronchoscopy,Chang Gung Med J,2006,29,,,,,Fang W; Chen Y; Chung Y
20,"Payne CB, Goyal PC, Gupta SC. Effects of transoral and transnasal fiberoptic bronchoscopy on oxygenation and cardiac rhythm. Endoscopy. 1986;18.",Effects of transoral and transnasal fiberoptic bronchoscopy on oxygenation and cardiac rhythm,Endoscopy,1986,18,,,,,Payne CB; Goyal PC; Gupta SC
21,"Jones AM, Driscoll O, R. Do all patients require supplemental oxygen during flexible bronchoscopy. Chest. 2001;119.",Do all patients require supplemental oxygen during flexible bronchoscopy,Chest,2001,119,,,,,Jones AM; Driscoll O; R
22,"Schiffman PL, Westlake RE, Fourre JA. Arterial oxygen saturation and cardiac rhythm during transoral fiberoptic bronchoscopy. J Med Soc N J. 1982;79.",Arterial oxygen saturation and cardiac rhythm during transoral fiberoptic bronchoscopy,J Med Soc N J,1982,79,,,,,Schiffman PL; Westlake RE; Fourre JA
23,"Pirozynski M, Sliwinski P, Zielinski J. Effect of different volumes of BAL fluid on arterial oxygen saturation. Eur Respir J. 1988;1.",Effect of different volumes of BAL fluid on arterial oxygen saturation,Eur Respir J,1988,1,,,,,Pirozynski M; Sliwinski P; Zielinski J
24,"Antonelli M, Pennisi MA, Conti G. Fiberoptic bronchoscopy during noninvasive positive pressure ventilation delivered by helmet. Intensive Care Med. 2003;29.",Fiberoptic bronchoscopy during noninvasive positive pressure ventilation delivered by helmet,Intensive Care Med,2003,29,,,,,Antonelli M; Pennisi MA; Conti G
25,"Cole P, Turton C, Lanyon H. Bronchoalveolar lavage for the preparation of free lung cells: technique and complications. Br J Dis Chest. 1980;74.",Bronchoalveolar lavage for the preparation of free lung cells: technique and complications,Br J Dis Chest,1980,74,,,,,Cole P; Turton C; Lanyon H
26,"Sharma GD, Bansal SK, Kashyap S. Effect of fiberoptic bronchoscopy on arterial blood gases and cardiac rhythm at a moderate altitude of 2250 meters. J Assoc Physicians India. 1999;47.",Effect of fiberoptic bronchoscopy on arterial blood gases and cardiac rhythm at a moderate altitude of 2250 meters,J Assoc Physicians India,1999,47,,,,,Sharma GD; Bansal SK; Kashyap S
27,"Hendy MS, Bateman JR, Stableforth DE. The influence of transbronchial lung biopsy and bronchoalveolar lavage on arterial blood gas changes occurring in patients with diffuse interstitial lung disease. Br J Dis Chest. 1984;78.",The influence of transbronchial lung biopsy and bronchoalveolar lavage on arterial blood gas changes occurring in patients with diffuse interstitial lung disease,Br J Dis Chest,1984,78,,,,,Hendy MS; Bateman JR; Stableforth DE
28,"Ouellette DR, Diaz J. Elevation of the double product during flexible bronchoscopy: effects of uncontrolled hypertension and the use of beta-blockade. J Bronchol. 2008;15.",Elevation of the double product during flexible bronchoscopy: effects of uncontrolled hypertension and the use of beta-blockade,J Bronchol,2008,15,,,,,Ouellette DR; Diaz J
29,"Davies L, Mister R, Spence DP. Cardiovascular consequences of fibreoptic bronchoscopy. Eur Respir J. 1997;10.",Cardiovascular consequences of fibreoptic bronchoscopy,Eur Respir J,1997,10,,,,,Davies L; Mister R; Spence DP
30,"Katz AS, Michelson EL, Stawicki J. Cardiac arrhythmias. Frequency during fiberoptic bronchoscopy and correlation with hypoxemia. Arch Intern Med. 1981;141.",Cardiac arrhythmias. Frequency during fiberoptic bronchoscopy and correlation with hypoxemia,Arch Intern Med,1981,141,,,,,Katz AS; Michelson EL; Stawicki J
31,"Dweik RA, Mehta AC, Meeker DP. Analysis of the safety of bronchoscopy after recent acute myocardial infarction. Chest. 1996;110.",Analysis of the safety of bronchoscopy after recent acute myocardial infarction,Chest,1996,110,,,,,Dweik RA; Mehta AC; Meeker DP
32,"Ernst A, Eberhardt R, Wahidi M. Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans. Chest. 2006;129.",Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans,Chest,2006,129,,,,,Ernst A; Eberhardt R; Wahidi M
33,"Kozak EA, Brath LK. Do 'screening' coagulation tests predict bleeding in patients undergoing fiberoptic bronchoscopy with biopsy. Chest. 1994;106.",Do 'screening' coagulation tests predict bleeding in patients undergoing fiberoptic bronchoscopy with biopsy,Chest,1994,106,,,,,Kozak EA; Brath LK
34,"Cordasco EM, Mehta AC, Ahmad M. Bronchoscopically induced bleeding. A summary of nine years' Cleveland clinic experience and review of the literature. Chest. 1991;100.",Bronchoscopically induced bleeding. A summary of nine years' Cleveland clinic experience and review of the literature,Chest,1991,100,,,,,Cordasco EM; Mehta AC; Ahmad M
35,"Bjortuff O, Brosstad F, Boe J. Bronchoscopy with transbronchial biopsies: measurement of bleeding volume and evaluation of the predictive value of coagulation tests. Eur Respir J. 1998;12.",Bronchoscopy with transbronchial biopsies: measurement of bleeding volume and evaluation of the predictive value of coagulation tests,Eur Respir J,1998,12,,,,,Bjortuff O; Brosstad F; Boe J
36,"Rand D, IA. Thorax. Thorax. 2013;68. doi:10.1136/thoraxjnl-2013-203618.",Thorax,Thorax,2013,68,,,10.1136/thoraxjnl-2013-203618,,Rand D; IA
37,"Diette GB, Wiener CM, White P. The higher risk of bleeding in lung transplant recipients from bronchoscopy is independent of traditional bleeding risks: results of a prospective cohort study. Chest. 1999;115.",The higher risk of bleeding in lung transplant recipients from bronchoscopy is independent of traditional bleeding risks: results of a prospective cohort study,Chest,1999,115,,,,,Diette GB; Wiener CM; White P
38,"Weiss SM, Hert RC, Gianola FJ. Complications of fiberoptic bronchoscopy in thrombocytopenic patients. Chest. 1993;104.",Complications of fiberoptic bronchoscopy in thrombocytopenic patients,Chest,1993,104,,,,,Weiss SM; Hert RC; Gianola FJ
39,"Mehta NL, Harkin TJ, Rom WN. Should renal insufficiency be a relative contraindication to bronchoscopic biopsy?. J Bronchol. 2005;12.",Should renal insufficiency be a relative contraindication to bronchoscopic biopsy?,J Bronchol,2005,12,,,,,Mehta NL; Harkin TJ; Rom WN
40,"Pue CA, Pacht ER. Complications of fiberoptic bronchoscopy at a university hospital. Chest. 1995;107.",Complications of fiberoptic bronchoscopy at a university hospital,Chest,1995,107,,,,,Pue CA; Pacht ER
41,"Prickett C, Legrand P. Complications of fiberoptic bronchoscopy in a community hospital. Ala Med. 1984;53.",Complications of fiberoptic bronchoscopy in a community hospital,Ala Med,1984,53,,,,,Prickett C; Legrand P
42,"Ippolito D, Foresi R, Castagnetti A, C. Indications for flexible fiberoptic bronchoscopy and its safety in the very elderly. Monaldi Arch Chest Dis. 2007;67.",Indications for flexible fiberoptic bronchoscopy and its safety in the very elderly,Monaldi Arch Chest Dis,2007,67,,,,,Ippolito D; Foresi R; Castagnetti A; C
43,"Colt HG, Matsuo T. Hospital charges attributable to bronchoscopy-related complications in outpatients. Respiration. 2001;68.",Hospital charges attributable to bronchoscopy-related complications in outpatients,Respiration,2001,68,,,,,Colt HG; Matsuo T
44,"Milman N, Faurschou P, Munch EP. Transbronchial lung biopsy through the fibre optic bronchoscope. Results and complications in 452 examinations. Respir Med. 1994;88.",Transbronchial lung biopsy through the fibre optic bronchoscope. Results and complications in 452 examinations,Respir Med,1994,88,,,,,Milman N; Faurschou P; Munch EP
45,"Izbicki G, Shitrit D, Yarmolovsky A. Is routine chest radiography after transbronchial biopsy necessary? A prospective study of 350 cases. Chest. 2006;129.",Is routine chest radiography after transbronchial biopsy necessary? A prospective study of 350 cases,Chest,2006,129,,,,,Izbicki G; Shitrit D; Yarmolovsky A
46,"Ibrahim AS, Allangawi MH, Sattar HA. Indications, diagnostic yields and complications of transbronchial biopsy over 5 years in the State of Qatar. Saudi Med J. 2005;26.","Indications, diagnostic yields and complications of transbronchial biopsy over 5 years in the State of Qatar",Saudi Med J,2005,26,,,,,Ibrahim AS; Allangawi MH; Sattar HA
47,Hue SH. Complications in transbronchial lung biopsy. Korean J Intern Med. 1987;2.,Complications in transbronchial lung biopsy,Korean J Intern Med,1987,2,,,,,Hue SH
48,"Ahmad M, Livingston DR, Golish JA. The safety of outpatient transbronchial biopsy. Chest. 1986;90.",The safety of outpatient transbronchial biopsy,Chest,1986,90,,,,,Ahmad M; Livingston DR; Golish JA
49,"Milam MG, Evins AE, Sahn SA. Immediate chest roentgenography following fiberoptic bronchoscopy. Chest. 1989;96.",Immediate chest roentgenography following fiberoptic bronchoscopy,Chest,1989,96,,,,,Milam MG; Evins AE; Sahn SA
50,"Sharif-Kashani B, Shahabi P, Behzadnia N. Incidence of fever and bacteriemia following flexible fiberoptic bronchoscopy: a prospective study. Acta Medica Iranica. 2010;48.",Incidence of fever and bacteriemia following flexible fiberoptic bronchoscopy: a prospective study,Acta Medica Iranica,2010,48,,,,,Sharif-Kashani B; Shahabi P; Behzadnia N
51,"Um S, Choi C, Lee C. Prospective analysis of clinical characteristics and risk factors of postbronchoscopy fever. Chest. 2004;125.",Prospective analysis of clinical characteristics and risk factors of postbronchoscopy fever,Chest,2004,125,,,,,Um S; Choi C; Lee C
52,"Huang J, Bassett MA, Levin D. Acute phase reaction in healthy volunteers after bronchoscopy with lavage. Chest. 2006;129.",Acute phase reaction in healthy volunteers after bronchoscopy with lavage,Chest,2006,129,,,,,Huang J; Bassett MA; Levin D
53,"Georgiades G, Myrianthefs P, Venetsanou K. Temperature and serum proinflammatory cytokine changes in patients with NSCLC after BAL. Lung. 2003;181.",Temperature and serum proinflammatory cytokine changes in patients with NSCLC after BAL,Lung,2003,181,,,,,Georgiades G; Myrianthefs P; Venetsanou K
54,"Park JS, Lee CH, Yim JJ. Impact of antibiotic prophylaxis on postbronchoscopy fever: a randomised controlled study. Int J Tuberc Lung Dis. 2011;15.",Impact of antibiotic prophylaxis on postbronchoscopy fever: a randomised controlled study,Int J Tuberc Lung Dis,2011,15,,,,,Park JS; Lee CH; Yim JJ
55,"Haynes J, Greenstone MA. Fibreoptic bronchoscopy and the use of antibiotic prophylaxis. Br Med J Clin Res ed. 1987;294:1199.",Fibreoptic bronchoscopy and the use of antibiotic prophylaxis,Br Med J Clin Res ed,1987,294,,1199,,,Haynes J; Greenstone MA
56,"Yigla M, Oren I, Bentur L. Incidence of bacteraemia following fibreoptic bronchoscopy. Eur Respir J. 1999;14.",Incidence of bacteraemia following fibreoptic bronchoscopy,Eur Respir J,1999,14,,,,,Yigla M; Oren I; Bentur L
57, Prophylaxis against infective endocarditis (CG64). Prophylaxis against infective endocarditis (CG64). 2008;None.,Prophylaxis against infective endocarditis (CG64),Prophylaxis against infective endocarditis (CG64),2008,,,,,,
58,"Djukanovic R, Wilson JW, Lai CK. The safety aspects of fiberoptic bronchoscopy, bronchoalveolar lavage, and endobronchial biopsy in asthma. Am Rev Respir Dis. 1991;143(4 Pt 1).","The safety aspects of fiberoptic bronchoscopy, bronchoalveolar lavage, and endobronchial biopsy in asthma",Am Rev Respir Dis,1991,143,4 Pt 1,,,,Djukanovic R; Wilson JW; Lai CK
59,"Moore WC, Evans MD, Bleecker ER. Safety of investigative bronchoscopy in the Severe Asthma Research Program. J Allergy Clin Immunol. 2011;128(3).",Safety of investigative bronchoscopy in the Severe Asthma Research Program,J Allergy Clin Immunol,2011,128,3,,,,Moore WC; Evans MD; Bleecker ER
60,"Kariyawasam HH, Aizen M, Kay AB. Safety and tolerability of three consecutive bronchoscopies after allergen challenge in volunteers with mild asthma. Thorax. 2007;62.",Safety and tolerability of three consecutive bronchoscopies after allergen challenge in volunteers with mild asthma,Thorax,2007,62,,,,,Kariyawasam HH; Aizen M; Kay AB
61,"Rankin JA, Snyder PE, Schachter EN. Bronchoalveolar lavage. Its safety in subjects with mild asthma. Chest. 1984;85.",Bronchoalveolar lavage. Its safety in subjects with mild asthma,Chest,1984,85,,,,,Rankin JA; Snyder PE; Schachter EN
62,"Humbert M, Robinson DS, Assoufi B. Safety of fibreoptic bronchoscopy in asthmatic and control subjects and effect on asthma control over two weeks. Thorax. 1996;51.",Safety of fibreoptic bronchoscopy in asthmatic and control subjects and effect on asthma control over two weeks,Thorax,1996,51,,,,,Humbert M; Robinson DS; Assoufi B
63,"Elston WJ, Whittaker AJ, Khan LN. Safety of research bronchoscopy, biopsy and bronchoalveolar lavage in asthma. Eur Respir J. 2004;24.","Safety of research bronchoscopy, biopsy and bronchoalveolar lavage in asthma",Eur Respir J,2004,24,,,,,Elston WJ; Whittaker AJ; Khan LN
64,"Tapanainen L, Lindqvist A, Halme M. Investigative bronchoscopy and endobronchial biopsy is well tolerated in hyperreactive asthma patients. Respir Med. 2002;96.",Investigative bronchoscopy and endobronchial biopsy is well tolerated in hyperreactive asthma patients,Respir Med,2002,96,,,,,Tapanainen L; Lindqvist A; Halme M
65,"Peacock AJ, Benson-Mitchell R, Godfrey R. Effect of fibreoptic bronchoscopy on pulmonary function. Thorax. 1990;45.",Effect of fibreoptic bronchoscopy on pulmonary function,Thorax,1990,45,,,,,Peacock AJ; Benson-Mitchell R; Godfrey R
66,Chechani V. Flexible bronchoscopy in patients with hypercapnia. J Bronchol. 2000;7.,Flexible bronchoscopy in patients with hypercapnia,J Bronchol,2000,7,,,,,Chechani V
67,"Stolz D, Pollak V, Chhajed PN. A randomized, placebo-controlled trial of bronchodilators for bronchoscopy in patients with COPD. Chest. 2007;131.","A randomized, placebo-controlled trial of bronchodilators for bronchoscopy in patients with COPD",Chest,2007,131,,,,,Stolz D; Pollak V; Chhajed PN
68,"Hattotuwa KL, Gizycki MJ, Ansari TW. The effects of inhaled fluticasone on airway inflammation in chronic obstructive pulmonary disease: a double-blind, placebo-controlled biopsy study. Am J Respir Crit Care Med. 2002;165.","The effects of inhaled fluticasone on airway inflammation in chronic obstructive pulmonary disease: a double-blind, placebo-controlled biopsy study",Am J Respir Crit Care Med,2002,165,,,,,Hattotuwa KL; Gizycki MJ; Ansari TW
69,"Dunagan DP, Burke HL, Aquino SL. Fiberoptic bronchoscopy in coronary care unit patients: indications, safety, and clinical implications. Chest. 1998;114.","Fiberoptic bronchoscopy in coronary care unit patients: indications, safety, and clinical implications",Chest,1998,114,,,,,Dunagan DP; Burke HL; Aquino SL
70,"Fleisher LA, Beckman JA, Brown KA. ACC/AHA 2007 guidelines on perioperative cardiovascular evaluation and care for noncardiac surgery. Circulation. 2007;116.",ACC/AHA 2007 guidelines on perioperative cardiovascular evaluation and care for noncardiac surgery,Circulation,2007,116,,,,,Fleisher LA; Beckman JA; Brown KA
71,"Ozgul MA, Turna A, Yildiz P. Risk factors and recurrence patterns in 203 patients with hemoptysis. Tuberk Toraks. 2006;54.",Risk factors and recurrence patterns in 203 patients with hemoptysis,Tuberk Toraks,2006,54,,,,,Ozgul MA; Turna A; Yildiz P
72,"Thirumaran M, Sundar R, Sutcliffe IM. Is investigation of patients with haemoptysis and normal chest radiograph justified. Thorax. 2009;64.",Is investigation of patients with haemoptysis and normal chest radiograph justified,Thorax,2009,64,,,,,Thirumaran M; Sundar R; Sutcliffe IM
73,"O'hickey S, Hilton AM. Fibreoptic bronchoscopy in the elderly. Age Ageing. 1987;16.",Fibreoptic bronchoscopy in the elderly,Age Ageing,1987,16,,,,,O'hickey S; Hilton AM
74,"Macfarlane JT, Storr A, Wart MJ. Safety, usefulness and acceptability of fibreoptic bronchoscopy in the elderly. Age Ageing. 1981;10.","Safety, usefulness and acceptability of fibreoptic bronchoscopy in the elderly",Age Ageing,1981,10,,,,,Macfarlane JT; Storr A; Wart MJ
75,"Knox AJ, Mascie-Taylor BH, Page RL. Fibreoptic bronchoscopy in the elderly: 4 years' experience. Br J Dis Chest. 1988;82.",Fibreoptic bronchoscopy in the elderly: 4 years' experience,Br J Dis Chest,1988,82,,,,,Knox AJ; Mascie-Taylor BH; Page RL
76,"Rokach A, Fridlender ZG, Arish N. Bronchoscopy in octogenarians. Age Ageing. 2008;37.",Bronchoscopy in octogenarians,Age Ageing,2008,37,,,,,Rokach A; Fridlender ZG; Arish N
77,"Glazer M, Breuer R, Berkman N. Use of fiberoptic bronchoscopy in bone marrow transplant recipients. Acta Haematol. 1998;99.",Use of fiberoptic bronchoscopy in bone marrow transplant recipients,Acta Haematol,1998,99,,,,,Glazer M; Breuer R; Berkman N
78,"Azoulay E, Mokart D, Rabbat A. Diagnostic bronchoscopy in hematology and oncology patients with acute respiratory failure: prospective multicenter data. Crit Care Med. 2008;36.",Diagnostic bronchoscopy in hematology and oncology patients with acute respiratory failure: prospective multicenter data,Crit Care Med,2008,36,,,,,Azoulay E; Mokart D; Rabbat A
79,"Dunagan DP, Baker AM, Hurd DD. Bronchoscopic evaluation of pulmonary infiltrates following bone marrow transplantation. Chest. 1997;111.",Bronchoscopic evaluation of pulmonary infiltrates following bone marrow transplantation,Chest,1997,111,,,,,Dunagan DP; Baker AM; Hurd DD
80,"Hofmeister CC, Czerlanis C, Forsythe S. Retrospective utility of bronchoscopy after hematopoietic stem cell transplant. Bone Marrow Transplant. 2006;38.",Retrospective utility of bronchoscopy after hematopoietic stem cell transplant,Bone Marrow Transplant,2006,38,,,,,Hofmeister CC; Czerlanis C; Forsythe S
81,"Feinstein MB, Mokhtari M, Ferreiro R. Fiberoptic bronchoscopy in allogeneic bone marrow transplantation: findings in the era of serum cytomegalovirus antigen surveillance. Chest. 2001;120.",Fiberoptic bronchoscopy in allogeneic bone marrow transplantation: findings in the era of serum cytomegalovirus antigen surveillance,Chest,2001,120,,,,,Feinstein MB; Mokhtari M; Ferreiro R
82,"Jain P, Sandur S, Meli Y. Role of flexible bronchoscopy in immunocompromised patients with lung infiltrates. Chest. 2004;125.",Role of flexible bronchoscopy in immunocompromised patients with lung infiltrates,Chest,2004,125,,,,,Jain P; Sandur S; Meli Y
83,"Shannon VR, Andersson BS, Lei X. Utility of early versus late fiberoptic bronchoscopy in the evaluation of new pulmonary infiltrates following hematopoietic stem cell transplantation. Bone Marrow Transplant. 2010;45.",Utility of early versus late fiberoptic bronchoscopy in the evaluation of new pulmonary infiltrates following hematopoietic stem cell transplantation,Bone Marrow Transplant,2010,45,,,,,Shannon VR; Andersson BS; Lei X
84,"Chhajed PN, Glanville AR. Management of hypoxemia during flexible bronchoscopy. Clin Chest Med. 2003;24.",Management of hypoxemia during flexible bronchoscopy,Clin Chest Med,2003,24,,,,,Chhajed PN; Glanville AR
85,"Mcwilliams TJ, Williams TJ, Whitford HM. Surveillance bronchoscopy in lung transplant recipients: risk versus benefit. J Heart Lung Transplant. 2008;27.",Surveillance bronchoscopy in lung transplant recipients: risk versus benefit,J Heart Lung Transplant,2008,27,,,,,Mcwilliams TJ; Williams TJ; Whitford HM
86,"Smith L, Singer JP, Hayes M. An analysis of potential risk factors for early complications from fiberoptic bronchoscopy in lung transplant recipients. Transpl Int. 2012;25.",An analysis of potential risk factors for early complications from fiberoptic bronchoscopy in lung transplant recipients,Transpl Int,2012,25,,,,,Smith L; Singer JP; Hayes M
87,"Hopkins PM, Aboyoun CL, Chhajed PN. Prospective analysis of 1,235 transbronchial lung biopsies in lung transplant recipients. J Heart Lung Transplant. 2002;21.","Prospective analysis of 1,235 transbronchial lung biopsies in lung transplant recipients",J Heart Lung Transplant,2002,21,,,,,Hopkins PM; Aboyoun CL; Chhajed PN
88,"Malik JA, Gupta D, Agarwal AN. Anticholinergic premedication for flexible bronchoscopy: a randomized, double-blind, placebo-controlled study of atropine and glycopyrrolate. Chest. 2009;136.","Anticholinergic premedication for flexible bronchoscopy: a randomized, double-blind, placebo-controlled study of atropine and glycopyrrolate",Chest,2009,136,,,,,Malik JA; Gupta D; Agarwal AN
89,"Williams T, Brooks T, Ward C. The role of atropine premedication in fiberoptic bronchoscopy using intravenous midazolam sedation. Chest. 1998;113.",The role of atropine premedication in fiberoptic bronchoscopy using intravenous midazolam sedation,Chest,1998,113,,,,,Williams T; Brooks T; Ward C
90,"Cowl CT, Prakash UB, Kruger BR. The role of anticholinergics in bronchoscopy. A randomized clinical trial. Chest. 2000;118.",The role of anticholinergics in bronchoscopy. A randomized clinical trial,Chest,2000,118,,,,,Cowl CT; Prakash UB; Kruger BR
91,"Matot I, Kramer MR. Sedation in outpatient bronchoscopy. Respir Med. 2000;94.",Sedation in outpatient bronchoscopy,Respir Med,2000,94,,,,,Matot I; Kramer MR
92,"De Padua AI, De Castro M, Schmidt A. Clonidine as a pre-anesthetic agent for flexible bronchoscopy. Respir Med. 2004;98.",Clonidine as a pre-anesthetic agent for flexible bronchoscopy,Respir Med,2004,98,,,,,De Padua AI; De Castro M; Schmidt A
93,"Fox BD, Krylov Y, Leon P. Benzodiazepine and opioid sedation attenuate the sympathetic response to fiberoptic bronchoscopy. Prophylactic labetalol gave no additional benefit. Results of a randomized double-blind placebo-controlled study. Respir Med. 2008;102.",Benzodiazepine and opioid sedation attenuate the sympathetic response to fiberoptic bronchoscopy. Prophylactic labetalol gave no additional benefit. Results of a randomized double-blind placebo-controlled study,Respir Med,2008,102,,,,,Fox BD; Krylov Y; Leon P
94,"Vesco D, Kleisbauer JP, Orehek J. Attenuation of bronchofiberscopy-induced cough by an inhaled beta 2-adrenergic agonist, fenoterol. Am Rev Respir Dis. 1988;138.","Attenuation of bronchofiberscopy-induced cough by an inhaled beta 2-adrenergic agonist, fenoterol",Am Rev Respir Dis,1988,138,,,,,Vesco D; Kleisbauer JP; Orehek J
95,"Schwarz Y, Greif J, Lurie O. Dextromethorphan premedication reduces midazolam requirement: objective and subjective parameters in peribronchoscopy. Respiration. 2007;74.",Dextromethorphan premedication reduces midazolam requirement: objective and subjective parameters in peribronchoscopy,Respiration,2007,74,,,,,Schwarz Y; Greif J; Lurie O
96,"Maltais F, Laberge F, Laviolette M. A randomized, double-blind, placebo-controlled study of lorazepam as premedication for bronchoscopy. Chest. 1996;109.","A randomized, double-blind, placebo-controlled study of lorazepam as premedication for bronchoscopy",Chest,1996,109,,,,,Maltais F; Laberge F; Laviolette M
97,"Pickles J, Jeffrey M, Datta A. Is preparation for bronchoscopy optimal?. Eur Respir J. 2003;22.",Is preparation for bronchoscopy optimal?,Eur Respir J,2003,22,,,,,Pickles J; Jeffrey M; Datta A
98,"Smyth CM, Stead RJ. Survey of flexible fibreoptic bronchoscopy in the United Kingdom. Eur Respir J. 2002;19.",Survey of flexible fibreoptic bronchoscopy in the United Kingdom,Eur Respir J,2002,19,,,,,Smyth CM; Stead RJ
