#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wahidi MM, Herth FJ, Ernst A. State of the art: interventional pulmonology. Chest. 2007;131(1).",State of the art: interventional pulmonology,Chest,2007,131,1,,,,Wahidi MM; Herth FJ; Ernst A
20,"Lunn W, Garland R, Ashiku S, Thurer RL, Feller-Kopman D, EA. Microdebrider bronchoscopy: a new tool for the interventional bronchoscopist. Ann Thorac Surg. 2005;80(4).",Microdebrider bronchoscopy: a new tool for the interventional bronchoscopist,Ann Thorac Surg,2005,80,4,,,,Lunn W; Garland R; Ashiku S; Thurer RL; Feller-Kopman D; EA
21,"Mcardle JR, Gildea TR, Mehta AC. Balloon bronchoplasty: its indications, benefits, and complications. J Bronchology Interv Pulmonol. 2005;12(2).","Balloon bronchoplasty: its indications, benefits, and complications",J Bronchology Interv Pulmonol,2005,12,2,,,,Mcardle JR; Gildea TR; Mehta AC
22,"Mehta AC, Lee FY, Cordasco EM et al.. Concentric tracheal and subglottic stenosis: management using the Nd-YAG laser for mucosal sparing followed by gentle dilatation. Chest. 1993;104(3).",Concentric tracheal and subglottic stenosis: management using the Nd-YAG laser for mucosal sparing followed by gentle dilatation,Chest,1993,104,3,,,,Mehta AC; Lee FY; Cordasco EM; Kirby T; Eliachar I; Boer D; G
23,Becker HD. Bronchoscopy: year 2001 and beyond. Clin Chest Med. 2001;22(2).,Bronchoscopy: year 2001 and beyond,Clin Chest Med,2001,22,2,,,,Becker HD
24,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97.,A dedicated tracheobronchial stent,Chest,1990,97,,,,,Dumon JF
25,"Wood DE, Liu YH, Vallieres E, Karmy-Jones R, Mulligan MS. Airway stenting for malignant and benign tracheobronchial stenosis. Ann Thorac Surg. 2003;76(1).",Airway stenting for malignant and benign tracheobronchial stenosis,Ann Thorac Surg,2003,76,1,,,,Wood DE; Liu YH; Vallieres E; Karmy-Jones R; Mulligan MS
26,"Ost DE, Ernst A, Grosu HB. Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry. Chest. 2015;148(2).",Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry,Chest,2015,148,2,,,,Ost DE; Ernst A; Grosu HB
27,"Ost DE, Shah AM, Lei X. Respiratory infections increase the risk of granulation tissue formation following airway stenting in patients with malignant airway obstruction. Chest. 2012;141(6).",Respiratory infections increase the risk of granulation tissue formation following airway stenting in patients with malignant airway obstruction,Chest,2012,141,6,,,,Ost DE; Shah AM; Lei X
28, FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders. FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders. 2017;None.,FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders,FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders,2017,,,,,,
29,"Dutau H, Musani AI, Laroumagne S, Darwiche K, Freitag L, Astoul P. Biodegradable airway stents: bench to bedside-a comprehensive review. Respiration. 2015;90(6).",Biodegradable airway stents: bench to bedside-a comprehensive review,Respiration,2015,90,6,,,,Dutau H; Musani AI; Laroumagne S; Darwiche K; Freitag L; Astoul P
30,"Gildea TR, Young BP, Machuzak MS. Application of 3D printing for patient-specific silicone stents: 1-year follow-up on 2 patients. Respiration. 2018;96(5).",Application of 3D printing for patient-specific silicone stents: 1-year follow-up on 2 patients,Respiration,2018,96,5,,,,Gildea TR; Young BP; Machuzak MS
31,"Cheng GZ, Jose Estepar S, Folch R et al.. Three-dimensional printing and 3D slicer: powerful tools in understanding and treating structural lung disease. Chest. 2016;149(5).",Three-dimensional printing and 3D slicer: powerful tools in understanding and treating structural lung disease,Chest,2016,149,5,,,,Cheng GZ; Jose Estepar S; Folch R; Onieva E; Gangadharan J; Majid S; A
32,"Yasufuku K, Sekine Y, Chhajed PN. Direct endobronchial ultrasound guided transbronchial needle aspiration of mediastinal lymph nodes using a new convex probe bronchoscope: a novel approach. Am J Respir Crit Care Med. 2003;167:A577.",Direct endobronchial ultrasound guided transbronchial needle aspiration of mediastinal lymph nodes using a new convex probe bronchoscope: a novel approach,Am J Respir Crit Care Med,2003,167,,A577,,,Yasufuku K; Sekine Y; Chhajed PN
33,"Silvestri GA, Gonzalez AV, Jantz MA. Methods for staging nonsmall cell lung cancer: diagnosis and management of lung cancer, 3rd ed-American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Methods for staging nonsmall cell lung cancer: diagnosis and management of lung cancer, 3rd ed-American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Silvestri GA; Gonzalez AV; Jantz MA
34,"Yarmus L, Akulian J, Gilbert C. Optimizing endobronchial ultrasound for molecular analysis: how many passes are needed?. Ann Am Thorac Soc. 2013;10(6).",Optimizing endobronchial ultrasound for molecular analysis: how many passes are needed?,Ann Am Thorac Soc,2013,10,6,,,,Yarmus L; Akulian J; Gilbert C
35,"Wahidi MM, Herth F, Yasufuku K. Technical aspects of endobronchial ultrasound-guided transbronchial needle aspiration: CHEST Guideline and Expert Panel Report. Chest. 2016;149(3).",Technical aspects of endobronchial ultrasound-guided transbronchial needle aspiration: CHEST Guideline and Expert Panel Report,Chest,2016,149,3,,,,Wahidi MM; Herth F; Yasufuku K
36,"Agarwal R, Srinivasan A, Aggarwal AN, Gupta D. Efficacy and safety of convex probe EBUS-TBNA in sarcoidosis: a systematic review and meta-analysis. Respir Med. 2012;106(6).",Efficacy and safety of convex probe EBUS-TBNA in sarcoidosis: a systematic review and meta-analysis,Respir Med,2012,106,6,,,,Agarwal R; Srinivasan A; Aggarwal AN; Gupta D
37,"Steinfort DP, Conron M, Tsui A. Endobronchial ultrasoundguided transbronchial needle aspiration for the evaluation of suspected lymphoma. J Thorac Oncol. 2010;5(6).",Endobronchial ultrasoundguided transbronchial needle aspiration for the evaluation of suspected lymphoma,J Thorac Oncol,2010,5,6,,,,Steinfort DP; Conron M; Tsui A
38,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
39,"Silvestri GA, Vachani A, Whitney D. A bronchial genomic classifier for the diagnostic evaluation of lung cancer. N Engl J Med. 2015;373(3).",A bronchial genomic classifier for the diagnostic evaluation of lung cancer,N Engl J Med,2015,373,3,,,,Silvestri GA; Vachani A; Whitney D
40,"Oki M, Saka H, Ando M. Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions: a randomized trial. Am J Respir Crit Care Med. 2015;192(4).",Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions: a randomized trial,Am J Respir Crit Care Med,2015,192,4,,,,Oki M; Saka H; Ando M
41,"Chen A, Chenna P, Loiselle A, Massoni J, Mayse M, Misselhorn D. Radial probe endobronchial ultrasound for peripheral pulmonary lesions: a 5-year institutional experience. Ann Am Thorac Soc. 2014;11(4).",Radial probe endobronchial ultrasound for peripheral pulmonary lesions: a 5-year institutional experience,Ann Am Thorac Soc,2014,11,4,,,,Chen A; Chenna P; Loiselle A; Massoni J; Mayse M; Misselhorn D
42,"Kurimoto N, Miyazawa T, Okimasa S. Endobronchial ultrasonography using a guide sheath increases the ability to diagnose peripheral pulmonary lesions endoscopically. Chest. 2004;126(3).",Endobronchial ultrasonography using a guide sheath increases the ability to diagnose peripheral pulmonary lesions endoscopically,Chest,2004,126,3,,,,Kurimoto N; Miyazawa T; Okimasa S
43,"Folch EE, Pritchett MA, Nead MA. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study. J Thorac Oncol. 2019;14(3).","Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study",J Thorac Oncol,2019,14,3,,,,Folch EE; Pritchett MA; Nead MA
44,"Herth FJ, Eberhardt R, Sterman D, Silvestri GA, Hoffmann H, Shah PL. Bronchoscopic transparenchymal nodule access (BTPNA): first in human trial of a novel procedure for sampling solitary pulmonary nodules. Thorax. 2015;70(4).",Bronchoscopic transparenchymal nodule access (BTPNA): first in human trial of a novel procedure for sampling solitary pulmonary nodules,Thorax,2015,70,4,,,,Herth FJ; Eberhardt R; Sterman D; Silvestri GA; Hoffmann H; Shah PL
45,"Casal RF, Sarkiss M, Jones AK. Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study. J Thorac Dis. 2018;10(12).",Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study,J Thorac Dis,2018,10,12,,,,Casal RF; Sarkiss M; Jones AK
46,"Feller-Kopman DJ, Reddy CB, Decamp MM. Management of malignant pleural effusions; an official ATS/STS/STR Clinical Practice Guideline. Am J Respir Crit Care Med. 2018;198(7).",Management of malignant pleural effusions; an official ATS/STS/STR Clinical Practice Guideline,Am J Respir Crit Care Med,2018,198,7,,,,Feller-Kopman DJ; Reddy CB; Decamp MM
47,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307(22).",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,22,,,,Davies HE; Mishra EK; Kahan BC
48,"Thomas R, Fysh E, Smith NA. Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial. JAMA. 2017;318(19).",Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial,JAMA,2017,318,19,,,,Thomas R; Fysh E; Smith NA
49,"Putnam JB, Light RW, Rodriguez RM. A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions. Cancer. 1999;86(10).",A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions,Cancer,1999,86,10,,,,Putnam JB; Light RW; Rodriguez RM
50,"Olfert JA, Penz ED, Manns BJ. Cost-effectiveness of indwelling pleural catheter compared with talc in malignant pleural effusion. Respirology. 2017;22(4).",Cost-effectiveness of indwelling pleural catheter compared with talc in malignant pleural effusion,Respirology,2017,22,4,,,,Olfert JA; Penz ED; Manns BJ
51,"Wahidi MM, Reddy C, Yarmus L. Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions: the ASAP trial. Am J Respir Crit Care Med. 2017;195(8).",Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions: the ASAP trial,Am J Respir Crit Care Med,2017,195,8,,,,Wahidi MM; Reddy C; Yarmus L
52,"Bhatnagar R, Keenan EK, Morley AJ. Outpatient talc administration by indwelling pleural catheter for malignant effusion. N Engl J Med. 2018;378(14).",Outpatient talc administration by indwelling pleural catheter for malignant effusion,N Engl J Med,2018,378,14,,,,Bhatnagar R; Keenan EK; Morley AJ
53,"Rahman NM, Maskell NA, West A. Intrapleural use of tissue plasminogen activator and DNase in pleural infection. N Engl J Med. 2011;365(6).",Intrapleural use of tissue plasminogen activator and DNase in pleural infection,N Engl J Med,2011,365,6,,,,Rahman NM; Maskell NA; West A
54,"Majid A, Kheir F, Folch A. Concurrent intrapleural instillation of tissue plasminogen activator and DNase for pleural infection: a single-center experience. Ann Am Thorac Soc. 2016;13(9).",Concurrent intrapleural instillation of tissue plasminogen activator and DNase for pleural infection: a single-center experience,Ann Am Thorac Soc,2016,13,9,,,,Majid A; Kheir F; Folch A
55,"Bishwakarma R, Shah S, Frank L, Zhang W, Sharma G, Nishi SP. Mixing it up: coadministration of tPA/DNase in complicated parapneumonic pleural effusions and empyema. J Bronchology Interv Pulmonol. 2017;24(1).",Mixing it up: coadministration of tPA/DNase in complicated parapneumonic pleural effusions and empyema,J Bronchology Interv Pulmonol,2017,24,1,,,,Bishwakarma R; Shah S; Frank L; Zhang W; Sharma G; Nishi SP
56,"Popowicz N, Bintcliffe O, Fonseka D, D. Dose de-escalation of intrapleural tissue plasminogen activator therapy for pleural infection: the Alteplase Dose Assessment for Pleural Infection Therapy project. Ann Am Thorac Soc. 2017;14(6).",Dose de-escalation of intrapleural tissue plasminogen activator therapy for pleural infection: the Alteplase Dose Assessment for Pleural Infection Therapy project,Ann Am Thorac Soc,2017,14,6,,,,Popowicz N; Bintcliffe O; Fonseka D; D
57,"Blanc FX, Atassi K, Bignon J, Housset B. Diagnostic value of medical thoracoscopy in pleural disease: a 6-year retrospective study. Chest. 2002;121(5).",Diagnostic value of medical thoracoscopy in pleural disease: a 6-year retrospective study,Chest,2002,121,5,,,,Blanc FX; Atassi K; Bignon J; Housset B
58,"Kyskan R, Li P, Mulpuru S, Souza C, Amjadi K. Safety and performance characteristics of outpatient medical thoracoscopy and indwelling pleural catheter insertion for evaluation and diagnosis of pleural disease at a tertiary center in Canada. Can Respir J. 2017;2017:9345324.",Safety and performance characteristics of outpatient medical thoracoscopy and indwelling pleural catheter insertion for evaluation and diagnosis of pleural disease at a tertiary center in Canada,Can Respir J,2017,2017,,9345324,,,Kyskan R; Li P; Mulpuru S; Souza C; Amjadi K
59,"Depew ZS, Wigle D, Mullon JJ, Nichols FC, Deschamps C, Maldonado F. Feasibility and safety of outpatient medical thoracoscopy at a large tertiary medical center: a collaborative medical-surgical initiative. Chest. 2014;146(2).",Feasibility and safety of outpatient medical thoracoscopy at a large tertiary medical center: a collaborative medical-surgical initiative,Chest,2014,146,2,,,,Depew ZS; Wigle D; Mullon JJ; Nichols FC; Deschamps C; Maldonado F
60,"Ishida A, Ishikawa F, Nakamura M. Narrow band imaging applied to pleuroscopy for the assessment of vascular patterns of the pleura. Respiration. 2009;78(4).",Narrow band imaging applied to pleuroscopy for the assessment of vascular patterns of the pleura,Respiration,2009,78,4,,,,Ishida A; Ishikawa F; Nakamura M
61,"Chrysanthidis MG, Janssen JP. Autofluorescence videothoracoscopy in exudative pleural effusions: preliminary results. Eur Respir J. 2005;26(6).",Autofluorescence videothoracoscopy in exudative pleural effusions: preliminary results,Eur Respir J,2005,26,6,,,,Chrysanthidis MG; Janssen JP
62,"Pathak V, Shepherd RW, Hussein E, Malhotra R. Safety and feasibility of pleural cryobiopsy compared to forceps biopsy during semi-rigid pleuroscopy. Lung. 2017;195(3).",Safety and feasibility of pleural cryobiopsy compared to forceps biopsy during semi-rigid pleuroscopy,Lung,2017,195,3,,,,Pathak V; Shepherd RW; Hussein E; Malhotra R
63,"Sasada S, Kawahara K, Kusunoki Y. A new electrocautery pleural biopsy technique using an insulated-tip diathermic knife during semirigid pleuroscopy. Surg Endosc. 2009;23(8).",A new electrocautery pleural biopsy technique using an insulated-tip diathermic knife during semirigid pleuroscopy,Surg Endosc,2009,23,8,,,,Sasada S; Kawahara K; Kusunoki Y
64,"Yin Y, Eberhardt R, Wang XB. Semi-rigid thoracoscopic punch biopsy using a hybrid knife with a high-pressure water jet for the diagnosis of pleural effusions. Respiration. 2016;92(3).",Semi-rigid thoracoscopic punch biopsy using a hybrid knife with a high-pressure water jet for the diagnosis of pleural effusions,Respiration,2016,92,3,,,,Yin Y; Eberhardt R; Wang XB
65,"Higgins KM, Punthakee X. Meta-analysis comparison of open versus percutaneous tracheostomy. Laryngoscope. 2007;117(3).",Meta-analysis comparison of open versus percutaneous tracheostomy,Laryngoscope,2007,117,3,,,,Higgins KM; Punthakee X
66,"Yarmus L, Pandian V, Gilbert C. Safety and efficiency of interventional pulmonologists performing percutaneous tracheostomy. Respiration. 2012;84(2).",Safety and efficiency of interventional pulmonologists performing percutaneous tracheostomy,Respiration,2012,84,2,,,,Yarmus L; Pandian V; Gilbert C
67,"Mirski MA, Pandian V, Bhatti N. Safety, efficiency, and costeffectiveness of a multidisciplinary percutaneous tracheostomy program. Crit Care Med. 2012;40(6).","Safety, efficiency, and costeffectiveness of a multidisciplinary percutaneous tracheostomy program",Crit Care Med,2012,40,6,,,,Mirski MA; Pandian V; Bhatti N
68,"Fielding D, Bashirzadeh F, Son JH. First human use of a new robotic-assisted navigation system for small peripheral pulmonary nodules demonstrates good safety profile and high diagnostic yield. Chest. 2017;152(4):858.",First human use of a new robotic-assisted navigation system for small peripheral pulmonary nodules demonstrates good safety profile and high diagnostic yield,Chest,2017,152,4,858,,,Fielding D; Bashirzadeh F; Son JH
69,"Rojas-Solano JR, Gamboa U, Machuzak L, M. Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study. J Bronchology Interv Pulmonol. 2018;25(3).",Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study,J Bronchology Interv Pulmonol,2018,25,3,,,,Rojas-Solano JR; Gamboa U; Machuzak L; M
70,"Chen AC, Gillespie CT. Robotic Endoscopic Airway Challenge: REACH assessment. Ann Thorac Surg. 2018;106(1).",Robotic Endoscopic Airway Challenge: REACH assessment,Ann Thorac Surg,2018,106,1,,,,Chen AC; Gillespie CT
71, Robotic bronchoscopy for peripheral pulmonary lesions: A multicenter pilot and feasibility study. Robotic bronchoscopy for peripheral pulmonary lesions: A multicenter pilot and feasibility study. 2018;None.,Robotic bronchoscopy for peripheral pulmonary lesions: A multicenter pilot and feasibility study,Robotic bronchoscopy for peripheral pulmonary lesions: A multicenter pilot and feasibility study,2018,,,,,,
72,"Yarmus L, Mallow C, Akulian J. Prospective multicentered safety and feasibility pilot for endobronchial intratumoral chemotherapy. Chest. 2019;156(3).",Prospective multicentered safety and feasibility pilot for endobronchial intratumoral chemotherapy,Chest,2019,156,3,,,,Yarmus L; Mallow C; Akulian J
73,"Xie F, Zheng X, Han XB, Herth B, Sun F, J. Navigation bronchoscopy-guided radiofrequency ablation for nonsurgical peripheral pulmonary tumors. Respiration. 2017;94(3).",Navigation bronchoscopy-guided radiofrequency ablation for nonsurgical peripheral pulmonary tumors,Respiration,2017,94,3,,,,Xie F; Zheng X; Han XB; Herth B; Sun F; J
74,"Tanabe T, Koizumi T, Tsushima K. Comparative study of three different catheters for CT imaging-bronchoscopy-guided radiofrequency ablation as a potential and novel interventional therapy for lung cancer. Chest. 2010;137(4).",Comparative study of three different catheters for CT imaging-bronchoscopy-guided radiofrequency ablation as a potential and novel interventional therapy for lung cancer,Chest,2010,137,4,,,,Tanabe T; Koizumi T; Tsushima K
75,"Koizumi T, Tsushima K, Tanabe T. Bronchoscopy-guided cooled radiofrequency ablation as a novel intervention therapy for peripheral lung cancer. Respiration. 2015;90(1).",Bronchoscopy-guided cooled radiofrequency ablation as a novel intervention therapy for peripheral lung cancer,Respiration,2015,90,1,,,,Koizumi T; Tsushima K; Tanabe T
76,"Healey TT, March BT, Baird G, Dupuy DE. Microwave ablation for lung neoplasms: a retrospective analysis of long-term results. J Vasc Interv Radiol. 2017;28(2).",Microwave ablation for lung neoplasms: a retrospective analysis of long-term results,J Vasc Interv Radiol,2017,28,2,,,,Healey TT; March BT; Baird G; Dupuy DE
77,"Criner GJ, Sue R, Wright S. A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (LIBERATE). Am J Respir Crit Care Med. 2018;198(9).",A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (LIBERATE),Am J Respir Crit Care Med,2018,198,9,,,,Criner GJ; Sue R; Wright S
78,"Criner GJ, Delage A, Voelker KG, Trial I, Group. The EMPROVE trial: a randomized, controlled multicenter clinical study to evaluate the safety and effectiveness of the SpirationÒ valve system for single lobe treatment of severe emphysema [abstract. Am J Respir Crit Care Med. 2018;197:7753.","The EMPROVE trial: a randomized, controlled multicenter clinical study to evaluate the safety and effectiveness of the SpirationÒ valve system for single lobe treatment of severe emphysema [abstract",Am J Respir Crit Care Med,2018,197,,7753,,,Criner GJ; Delage A; Voelker KG; Trial I; Group
79,"Ravaglia C, Wells AU, Tomassetti S. Diagnostic yield and risk/ benefit analysis of trans-bronchial lung cryobiopsy in diffuse parenchymal lung diseases: a large cohort of 699 patients. BMC Pulm Med. 2019;19(1):16.",Diagnostic yield and risk/ benefit analysis of trans-bronchial lung cryobiopsy in diffuse parenchymal lung diseases: a large cohort of 699 patients,BMC Pulm Med,2019,19,1,16,,,Ravaglia C; Wells AU; Tomassetti S
80,"Romagnoli M, Colby TV, Berthet JP. Poor concordance between sequential transbronchial lung cryobiopsy and surgical lung biopsy in the diagnosis of diffuse interstitial lung diseases. Am J Respir Crit Care Med. 2019;199(10).",Poor concordance between sequential transbronchial lung cryobiopsy and surgical lung biopsy in the diagnosis of diffuse interstitial lung diseases,Am J Respir Crit Care Med,2019,199,10,,,,Romagnoli M; Colby TV; Berthet JP
81,"Dibardino DM, Haas AR, Lanfranco AR, Litzky LA, Sterman D, Bessich JL. High complication rate after introduction of transbronchial cryobiopsy into clinical practice at an academic medical center. Ann Am Thorac Soc. 2017;14(6).",High complication rate after introduction of transbronchial cryobiopsy into clinical practice at an academic medical center,Ann Am Thorac Soc,2017,14,6,,,,Dibardino DM; Haas AR; Lanfranco AR; Litzky LA; Sterman D; Bessich JL
82,"Maldonado F, Danoff SK, Wells AU. Transbronchial cryobiopsy for the diagnosis of interstitial lung diseases: CHEST Guideline and Expert Panel Report. Transbronchial cryobiopsy for the diagnosis of interstitial lung diseases: CHEST Guideline and Expert Panel Report. 2019;None. doi:10.1016/j.chest.2019.10.048.",Transbronchial cryobiopsy for the diagnosis of interstitial lung diseases: CHEST Guideline and Expert Panel Report,Transbronchial cryobiopsy for the diagnosis of interstitial lung diseases: CHEST Guideline and Expert Panel Report,2019,,,,10.1016/j.chest.2019.10.048,,Maldonado F; Danoff SK; Wells AU
83,"Yarmus LB, Semaan RW, Arias SA. A randomized controlled trial of a novel sheath cryoprobe for bronchoscopic lung biopsy in a porcine model. Chest. 2016;150(2).",A randomized controlled trial of a novel sheath cryoprobe for bronchoscopic lung biopsy in a porcine model,Chest,2016,150,2,,,,Yarmus LB; Semaan RW; Arias SA
84,"Hetzel J, Maldonado F, Ravaglia C. Transbronchial cryobiopsies for the diagnosis of diffuse parenchymal lung diseases: expert statement from the cryobiopsy working group on safety and utility and a call for standardization of the procedure. Respiration. 2018;95(3).",Transbronchial cryobiopsies for the diagnosis of diffuse parenchymal lung diseases: expert statement from the cryobiopsy working group on safety and utility and a call for standardization of the procedure,Respiration,2018,95,3,,,,Hetzel J; Maldonado F; Ravaglia C
