#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Evans E, Biro P, Bedforth N. Jet ventilation. Continuing Education in Anaesthesia. 2007;7(1).",Jet ventilation,Continuing Education in Anaesthesia,2007,7,1,,,,Evans E; Biro P; Bedforth N
12,"Bacher A, Pichler K, Aloy A. Supraglottic combined frequency jet ventilation versus subglottic monofrequent jet ventilation in patients undergoing microlaryngeal surgery. Anesthesia & Analgesia. 2000;90(2).",Supraglottic combined frequency jet ventilation versus subglottic monofrequent jet ventilation in patients undergoing microlaryngeal surgery,Anesthesia & Analgesia,2000,90,2,,,,Bacher A; Pichler K; Aloy A
13,"Kraincuk P, Körmöczi G, Prokop M, Ihra G, Aloy A. Alveolar recruitment of atelectasis under combined highfrequency jet ventilation: a computed tomography study. Intensive Care Medicine. 2003;29(8).",Alveolar recruitment of atelectasis under combined highfrequency jet ventilation: a computed tomography study,Intensive Care Medicine,2003,29,8,,,,Kraincuk P; Körmöczi G; Prokop M; Ihra G; Aloy A
14,"Sütterlin R, Priori R, Larsson A, Lomauro A, Frykholm P, Aliverti A. Frequency dependence of lung volume changes during superimposed high-frequency jet ventilation and highfrequency jet ventilation. British Journal of Anaesthesia. 2014;112(1).",Frequency dependence of lung volume changes during superimposed high-frequency jet ventilation and highfrequency jet ventilation,British Journal of Anaesthesia,2014,112,1,,,,Sütterlin R; Priori R; Larsson A; Lomauro A; Frykholm P; Aliverti A
15,"Lin ES, Jones MJ, Mottram SD, Smith BE, Smith G. Relationship between resonance and gas exchange during high frequency jet ventilation. British Journal of Anaesthesia. 1990;64(4).",Relationship between resonance and gas exchange during high frequency jet ventilation,British Journal of Anaesthesia,1990,64,4,,,,Lin ES; Jones MJ; Mottram SD; Smith BE; Smith G
16,"Sütterlin R, Lomauro A, Gandolfi S. Influence of tracheal obstruction on the efficacy of superimposed highfrequency jet ventilation and single-frequency jet ventilation. Anesthesiology. 2015;123(4).",Influence of tracheal obstruction on the efficacy of superimposed highfrequency jet ventilation and single-frequency jet ventilation,Anesthesiology,2015,123,4,,,,Sütterlin R; Lomauro A; Gandolfi S
17,Sütterlin R. Jet Ventilation for Airway Surgery: The Influence of Mode and Frequency on Ventilation Efficacy. Jet Ventilation for Airway Surgery: The Influence of Mode and Frequency on Ventilation Efficacy. None;None.,Jet Ventilation for Airway Surgery: The Influence of Mode and Frequency on Ventilation Efficacy,Jet Ventilation for Airway Surgery: The Influence of Mode and Frequency on Ventilation Efficacy,,,,,,,Sütterlin R
18,"Goudra BG, Singh PM, Borle A, Farid N, Harris K. Anesthesia for advanced bronchoscopic procedures: state-ofthe-art review. Lung. 2015;193(4).",Anesthesia for advanced bronchoscopic procedures: state-ofthe-art review,Lung,2015,193,4,,,,Goudra BG; Singh PM; Borle A; Farid N; Harris K
19,"Cheng Q, Zhang J, Wang H, Zhang R, Yue Y, Li L. Effect of acute hypercapnia on outcomes and predictive risk factors for complications among patients receiving bronchoscopic interventions under general anesthesia. PLoS ONE. 2015;10(7):130771.",Effect of acute hypercapnia on outcomes and predictive risk factors for complications among patients receiving bronchoscopic interventions under general anesthesia,PLoS ONE,2015,10,7,130771,,,Cheng Q; Zhang J; Wang H; Zhang R; Yue Y; Li L
20,"Fernandez-Bustamante A, Ibañez V, Alfaro JJ. Highfrequency jet ventilation in interventional bronchoscopy: factors with predictive value on high-frequency jet ventilation complications. Journal of Clinical Anesthesia. 2006;18(5).",Highfrequency jet ventilation in interventional bronchoscopy: factors with predictive value on high-frequency jet ventilation complications,Journal of Clinical Anesthesia,2006,18,5,,,,Fernandez-Bustamante A; Ibañez V; Alfaro JJ
21,"Gourdin M, Dransart C, Delaunois L, Louagie YA, Gruslin A, Dubois P. Use of venovenous extracorporeal membrane oxygenation under regional anesthesia for a highrisk rigid bronchoscopy. Journal of Cardiothoracic and Vascular Anesthesia. 2012;26(3).",Use of venovenous extracorporeal membrane oxygenation under regional anesthesia for a highrisk rigid bronchoscopy,Journal of Cardiothoracic and Vascular Anesthesia,2012,26,3,,,,Gourdin M; Dransart C; Delaunois L; Louagie YA; Gruslin A; Dubois P
22,"Dincq A, Gourdin M, Collard E. Anesthesia for adult rigid bronchoscopy. Acta Anaesthesiologica Belgica. 2014;65(3).",Anesthesia for adult rigid bronchoscopy,Acta Anaesthesiologica Belgica,2014,65,3,,,,Dincq A; Gourdin M; Collard E
23,"Sastre JA, Cordovilla R, Jiménez MF, López T. Management of a transbronchial cryobiopsy using the i-gel5 airway and the Arndt endobronchial blocker. Canadian Journal of Anesthesia. 2014;61(9).",Management of a transbronchial cryobiopsy using the i-gel5 airway and the Arndt endobronchial blocker,Canadian Journal of Anesthesia,2014,61,9,,,,Sastre JA; Cordovilla R; Jiménez MF; López T
24,Brodsky JB. Bronchoscopic procedures for central airway obstruction. Journal of Cardiothoracic and Vascular Anesthesia. 2003;17(5).,Bronchoscopic procedures for central airway obstruction,Journal of Cardiothoracic and Vascular Anesthesia,2003,17,5,,,,Brodsky JB
25,Gasparini S. It is time for patients to undergo bronchoscopy without discomfort. European Respiratory Journal. 2011;38(3).,It is time for patients to undergo bronchoscopy without discomfort,European Respiratory Journal,2011,38,3,,,,Gasparini S
26,"Jose RJ, Shaefi S, Navani N. Anesthesia for bronchoscopy. Current Opinion in Anaesthesiology. 2014;27(4).",Anesthesia for bronchoscopy,Current Opinion in Anaesthesiology,2014,27,4,,,,Jose RJ; Shaefi S; Navani N
27,Sarkiss M. Anesthesia for bronchoscopy and interventional pulmonology: from moderate sedation to jet ventilation. Current Opinion in Pulmonary Medicine. 2011;17(4).,Anesthesia for bronchoscopy and interventional pulmonology: from moderate sedation to jet ventilation,Current Opinion in Pulmonary Medicine,2011,17,4,,,,Sarkiss M
28,"Dubois PE, Mulier JP. A review of the interest of sugammadex for deep neuromuscular blockade management in Belgium. Acta Anaesthesiologica Belgica. 2013;64(2).",A review of the interest of sugammadex for deep neuromuscular blockade management in Belgium,Acta Anaesthesiologica Belgica,2013,64,2,,,,Dubois PE; Mulier JP
29,"Myles PS, Leslie K, Mcneil J, Forbes A, Chan MT. Bispectral index monitoring to prevent awareness during anaesthesia: the B-Aware randomised controlled trial. The Lancet. 2004;363.",Bispectral index monitoring to prevent awareness during anaesthesia: the B-Aware randomised controlled trial,The Lancet,2004,363,,,,,Myles PS; Leslie K; Mcneil J; Forbes A; Chan MT
30,"Moerman N, Bonke B, Oosting J. Awareness and recall during general anesthesia: facts and feelings. Anesthesiology. 1993;79(3).",Awareness and recall during general anesthesia: facts and feelings,Anesthesiology,1993,79,3,,,,Moerman N; Bonke B; Oosting J
31,"Okeson GC, Wulbrecht PH. The safety of brachial artery puncture for arterial blood sampling. Chest. 1998;114(3).",The safety of brachial artery puncture for arterial blood sampling,Chest,1998,114,3,,,,Okeson GC; Wulbrecht PH
32,"Gancel P, Masson R, Du Cheyron D, Roupie E, Lofaso F, Terzi N. PCO 2 transcutanée: pourquoi, comment et pour qui ?. Réanimation. 2012;21(2).","PCO 2 transcutanée: pourquoi, comment et pour qui ?",Réanimation,2012,21,2,,,,Gancel P; Masson R; Du Cheyron D; Roupie E; Lofaso F; Terzi N
33,"Kocher S, Rohling R, Tschupp A. Performance of a digital PCO 2 /SpO 2 ear sensor. Journal of Clinical Monitoring and Computing. 2004;18(2).",Performance of a digital PCO 2 /SpO 2 ear sensor,Journal of Clinical Monitoring and Computing,2004,18,2,,,,Kocher S; Rohling R; Tschupp A
34,"Huttmann SE, Windisch W, Storre JH. Techniques for the measurement and monitoring of carbon in the blood. Annals of the American Thoracic Society. 2014;11(4).",Techniques for the measurement and monitoring of carbon in the blood,Annals of the American Thoracic Society,2014,11,4,,,,Huttmann SE; Windisch W; Storre JH
35,"Ernst A, Silvestri GA, Johnstone D. Interventional pulmonary procedures: guidelines from the American College of Chest Physicians. Chest. 2003;123(5).",Interventional pulmonary procedures: guidelines from the American College of Chest Physicians,Chest,2003,123,5,,,,Ernst A; Silvestri GA; Johnstone D
