#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Introduction to bronchoscopy. Introduction to bronchoscopy. 2009;None.,Introduction to bronchoscopy,Introduction to bronchoscopy,2009,,,,,,
51,"Middleton RM, Shah A, Kirkpatrick MB. Topical nasal anesthesia for flexible bronchoscopy. A comparison of four methods in normal subjects and in patients undergoing transnasal bronchoscopy. Chest. 1991;99.",Topical nasal anesthesia for flexible bronchoscopy. A comparison of four methods in normal subjects and in patients undergoing transnasal bronchoscopy,Chest,1991,99,,,,,Middleton RM; Shah A; Kirkpatrick MB
52,"Charalampidou S, Harris E, Chummun K, Hawksworth R, Cullen JP, Lane SJ. Evaluation of the efficacy of nebulised lignocaine as adjunctive local anaesthesia for fibreoptic bronchoscopy: a randomised, placebo-controlled study. Ir Med J. 2006;99.","Evaluation of the efficacy of nebulised lignocaine as adjunctive local anaesthesia for fibreoptic bronchoscopy: a randomised, placebo-controlled study",Ir Med J,2006,99,,,,,Charalampidou S; Harris E; Chummun K; Hawksworth R; Cullen JP; Lane SJ
53,"Dunagan DP, Baker AM, Hurd DD, Haponik EF. Bronchoscopic evaluation of pulmonary infiltrates following bone marrow transplantation. Chest. 1997;111.",Bronchoscopic evaluation of pulmonary infiltrates following bone marrow transplantation,Chest,1997,111,,,,,Dunagan DP; Baker AM; Hurd DD; Haponik EF
54,"Shannon VR, Andersson BS, Lei X, Champlin RE, Kontoyiannis DP. Utility of early versus late fiberoptic bronchoscopy in the evaluation of new pulmonary infiltrates following hematopoietic stem cell transplantation. Bone Marrow Transplant. 2010;45.",Utility of early versus late fiberoptic bronchoscopy in the evaluation of new pulmonary infiltrates following hematopoietic stem cell transplantation,Bone Marrow Transplant,2010,45,,,,,Shannon VR; Andersson BS; Lei X; Champlin RE; Kontoyiannis DP
55,"Ippolito D, Foresi R, Castagnetti A et al.. Indications for flexible fiberoptic bronchoscopy and its safety in the very elderly. Monaldi Arch Chest Dis. 2007;67.",Indications for flexible fiberoptic bronchoscopy and its safety in the very elderly,Monaldi Arch Chest Dis,2007,67,,,,,Ippolito D; Foresi R; Castagnetti A; Gesualdi C; Castagnaro S; Marangio A; E
56,"Diaz-Guzman E, Vadi S, Minai OA, Gildea TR, Mehta AC. Safety of diagnostic bronchoscopy in patients with pulmonary hypertension. Respiration. 2009;77.",Safety of diagnostic bronchoscopy in patients with pulmonary hypertension,Respiration,2009,77,,,,,Diaz-Guzman E; Vadi S; Minai OA; Gildea TR; Mehta AC
57,"Dang D, Robinson PC, Winnicki S, Jersmann HP. The safety of flexible fibre-optic bronchoscopy and proceduralistadministered sedation: a tertiary referral centre experience. European Clinical Respiratory Journal. 2012;42:33324. doi:10.3402/ecrj.v3.33324.",The safety of flexible fibre-optic bronchoscopy and proceduralistadministered sedation: a tertiary referral centre experience,European Clinical Respiratory Journal,2012,42,,33324,10.3402/ecrj.v3.33324,,Dang D; Robinson PC; Winnicki S; Jersmann HP
58,"Jain P, Sandur S, Meli Y, Arroliga AC, Stoller JK, Mehta AC. Role of flexible bronchoscopy in immunocompromised patients with lung infiltrates. Chest. 2004;125.",Role of flexible bronchoscopy in immunocompromised patients with lung infiltrates,Chest,2004,125,,,,,Jain P; Sandur S; Meli Y; Arroliga AC; Stoller JK; Mehta AC
59,"Grendelmeier P, Kurer G, Pflimlin E, Tamm M, Stolz D. Feasibility and safety of propofol sedation in flexible bronchoscopy. Swiss Med Wkly. 2011;141:13248.",Feasibility and safety of propofol sedation in flexible bronchoscopy,Swiss Med Wkly,2011,141,,13248,,,Grendelmeier P; Kurer G; Pflimlin E; Tamm M; Stolz D
60,"Schlatter L, Pflimlin E, Fehrke B, Meyer A, Tamm M, Stolz D. Propofol versus propofol plus hydrocodone for flexible bronchoscopy: a randomised study. Eur Respir J. 2011;38.",Propofol versus propofol plus hydrocodone for flexible bronchoscopy: a randomised study,Eur Respir J,2011,38,,,,,Schlatter L; Pflimlin E; Fehrke B; Meyer A; Tamm M; Stolz D
61,"Grendelmeier P, Tamm M, Pflimlin E, Stolz D. Propofol sedation for flexible bronchoscopy: a randomised, noninferiority trial. Eur Respir J. 2014;43.","Propofol sedation for flexible bronchoscopy: a randomised, noninferiority trial",Eur Respir J,2014,43,,,,,Grendelmeier P; Tamm M; Pflimlin E; Stolz D
62,"Carr IM, Koegelenberg CF, Groote-Bidlingmaier V et al.. Blood loss during flexible bronchoscopy: a prospective observational study. Respiration. 2012;84.",Blood loss during flexible bronchoscopy: a prospective observational study,Respiration,2012,84,,,,,Carr IM; Koegelenberg CF; Groote-Bidlingmaier V; Mowlana F; Silos A; Haverman K; T
63,"Ni YL, Lo YL, Lin TY, Fang YF, Kuo HP. Conscious sedation reduces patient discomfort and improves satisfaction in flexible bronchoscopy. Chang Gung Med J. 2010;33.",Conscious sedation reduces patient discomfort and improves satisfaction in flexible bronchoscopy,Chang Gung Med J,2010,33,,,,,Ni YL; Lo YL; Lin TY; Fang YF; Kuo HP
64,"Herth FJ, Becker HD, Ernst A. Aspirin does not increase bleeding complications after transbronchial biopsy. Chest. 2002;122.",Aspirin does not increase bleeding complications after transbronchial biopsy,Chest,2002,122,,,,,Herth FJ; Becker HD; Ernst A
65,"Von Bartheld MB, Dekkers OM, Szlubowski A, Eberhardt R, Herth FJ, Veen JC. Endosonography vs conventional bronchoscopy for the diagnosis of sarcoidosis: the GRANULOMA randomized clinical trial. JAMA. 2013;309.",Endosonography vs conventional bronchoscopy for the diagnosis of sarcoidosis: the GRANULOMA randomized clinical trial,JAMA,2013,309,,,,,Von Bartheld MB; Dekkers OM; Szlubowski A; Eberhardt R; Herth FJ; Veen JC
66,"Bilaceroglu S, Gunel O, Cagirici U, Perim K. Comparison of endobronchial needle aspiration with forceps and brush biopsies in the diagnosis of endobronchial lung cancer. Monaldi Arch Chest Dis. 1997;52.",Comparison of endobronchial needle aspiration with forceps and brush biopsies in the diagnosis of endobronchial lung cancer,Monaldi Arch Chest Dis,1997,52,,,,,Bilaceroglu S; Gunel O; Cagirici U; Perim K
67,"Diette GB, Wiener CM, White P. The higher risk of bleeding in lung transplant recipients from bronchoscopy is independent of traditional bleeding risks: results of a prospective cohort study. Chest. 1999;115.",The higher risk of bleeding in lung transplant recipients from bronchoscopy is independent of traditional bleeding risks: results of a prospective cohort study,Chest,1999,115,,,,,Diette GB; Wiener CM; White P
68,"Hetzel J, Eberhardt R, Herth FJ, Petermann C, Reichle G, Freitag L. Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial. Eur Respir J. 2012;39.",Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial,Eur Respir J,2012,39,,,,,Hetzel J; Eberhardt R; Herth FJ; Petermann C; Reichle G; Freitag L
69,"Khan A, Aggarwal AN, Agarwal R, Bal A, Gupta D. A randomized controlled trial of electrocoagulation-enabled biopsy versus conventional biopsy in the diagnosis of endobronchial lesions. Respiration. 2011;81.",A randomized controlled trial of electrocoagulation-enabled biopsy versus conventional biopsy in the diagnosis of endobronchial lesions,Respiration,2011,81,,,,,Khan A; Aggarwal AN; Agarwal R; Bal A; Gupta D
70,"Williams T, Brooks T, Ward C. The role of atropine premedication in fiberoptic bronchoscopy using intravenous midazolam sedation. Chest. 1998;113.",The role of atropine premedication in fiberoptic bronchoscopy using intravenous midazolam sedation,Chest,1998,113,,,,,Williams T; Brooks T; Ward C
71,"Choi CM, Yoon HI, Lee SM, Yoo CG, Kim YW, Han SK. Oral insertion of a flexible bronchoscope is associated with less discomfort than nasal insertion for Korean patients. Int J Tuberc Lung Dis. 2005;9.",Oral insertion of a flexible bronchoscope is associated with less discomfort than nasal insertion for Korean patients,Int J Tuberc Lung Dis,2005,9,,,,,Choi CM; Yoon HI; Lee SM; Yoo CG; Kim YW; Han SK
72,"Hirose T, Okuda K, Ishida H, Sugiyama T, Kusumoto S, Nakashima M. Patient satisfaction with sedation for flexible bronchoscopy. Respirology. 2008;13.",Patient satisfaction with sedation for flexible bronchoscopy,Respirology,2008,13,,,,,Hirose T; Okuda K; Ishida H; Sugiyama T; Kusumoto S; Nakashima M
73,"Tukey MH, Wiener RS. Population-based estimates of transbronchial lung biopsy utilization and complications. Respir Med. 2012;106.",Population-based estimates of transbronchial lung biopsy utilization and complications,Respir Med,2012,106,,,,,Tukey MH; Wiener RS
74,"Kaur H, Dhooria S, Aggarwal AN, Gupta D, Behera D, Agarwal R. A randomized trial of 1% vs 2% lignocaine by the spray-as-you-go technique for topical anesthesia during flexible bronchoscopy. Chest. 2015;148.",A randomized trial of 1% vs 2% lignocaine by the spray-as-you-go technique for topical anesthesia during flexible bronchoscopy,Chest,2015,148,,,,,Kaur H; Dhooria S; Aggarwal AN; Gupta D; Behera D; Agarwal R
75,"Tapanainen L, Lindqvist A, Halme M, Laitinen LA. Investigative bronchoscopy and endobronchial biopsy is well tolerated in hyperreactive asthma patients. Respir Med. 2002;96.",Investigative bronchoscopy and endobronchial biopsy is well tolerated in hyperreactive asthma patients,Respir Med,2002,96,,,,,Tapanainen L; Lindqvist A; Halme M; Laitinen LA
76,"Lo YL, Lin TY, Fang YF, Wang TY, Chen HC, Chou CL. Feasibility of bispectral index-guided propofol infusion for flexible bronchoscopy sedation: a randomized controlled trial. PLoS One. 2011;6:27769.",Feasibility of bispectral index-guided propofol infusion for flexible bronchoscopy sedation: a randomized controlled trial,PLoS One,2011,6,,27769,,,Lo YL; Lin TY; Fang YF; Wang TY; Chen HC; Chou CL
77,"Ogawa T, Imaizumi K, Hashimoto I, Shindo Y, Imai N, Uozu S. Prospective analysis of efficacy and safety of an individualized-midazolam-dosing protocol for sedation during prolonged bronchoscopy. Respir Investig. 2014;52.",Prospective analysis of efficacy and safety of an individualized-midazolam-dosing protocol for sedation during prolonged bronchoscopy,Respir Investig,2014,52,,,,,Ogawa T; Imaizumi K; Hashimoto I; Shindo Y; Imai N; Uozu S
78,"Fruchter O, Tirosh M, Carmi U, Rosengarten D, Kramer MR. Prospective randomized trial of bispectral index monitoring of sedation depth during flexible bronchoscopy. Respiration. 2014;87.",Prospective randomized trial of bispectral index monitoring of sedation depth during flexible bronchoscopy,Respiration,2014,87,,,,,Fruchter O; Tirosh M; Carmi U; Rosengarten D; Kramer MR
79,"Ryu JH, Lee SW, Lee JH, Lee EH, Do SH, Kim CS. Randomized double-blind study of remifentanil and dexmedetomidine for flexible bronchoscopy. Br J Anaesth. 2012;108.",Randomized double-blind study of remifentanil and dexmedetomidine for flexible bronchoscopy,Br J Anaesth,2012,108,,,,,Ryu JH; Lee SW; Lee JH; Lee EH; Do SH; Kim CS
80,"Rosell A, Xaubet A, Agusti C, Castella J, Puzo C, Curull V. A new BAL fluid instillation and aspiration technique: a multicenter randomized study. Respir Med. 2006;100.",A new BAL fluid instillation and aspiration technique: a multicenter randomized study,Respir Med,2006,100,,,,,Rosell A; Xaubet A; Agusti C; Castella J; Puzo C; Curull V
81,"Gibson PG, Breit SN, Bryant DH. Hypoxia during bronchoalveolar lavage. Aust N Z J Med. 1990;20.",Hypoxia during bronchoalveolar lavage,Aust N Z J Med,1990,20,,,,,Gibson PG; Breit SN; Bryant DH
82,"Stolz D, Chhajed PN, Leuppi J, Pflimlin E, Tamm M. Nebulized lidocaine for flexible bronchoscopy: a randomized, doubleblind, placebo-controlled trial. Chest. 2005;128.","Nebulized lidocaine for flexible bronchoscopy: a randomized, doubleblind, placebo-controlled trial",Chest,2005,128,,,,,Stolz D; Chhajed PN; Leuppi J; Pflimlin E; Tamm M
