#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Panchabhai TS, Mehta AC. Historical perspectives of bronchoscopy. connecting the dots. Ann Am Thorac Soc. 2015;12(5).",Historical perspectives of bronchoscopy. connecting the dots,Ann Am Thorac Soc,2015,12,5,,,,Panchabhai TS; Mehta AC
12,"Anders GT, Johnson JE, Bush BA, Matthews JI. Transbronchial biopsy without fluoroscopy. A seven-year perspective. Chest. 1988;94(3).",Transbronchial biopsy without fluoroscopy. A seven-year perspective,Chest,1988,94,3,,,,Anders GT; Johnson JE; Bush BA; Matthews JI
13,"Descombes E, Gardiol D, Leuenberger P. Transbronchial lung biopsy: an analysis of 530 cases with reference to the number of samples. Monaldi Arch Chest Dis. 1997;52(4).",Transbronchial lung biopsy: an analysis of 530 cases with reference to the number of samples,Monaldi Arch Chest Dis,1997,52,4,,,,Descombes E; Gardiol D; Leuenberger P
14,"Casal RF, Ost DE, Eapen GA. Flexible bronchoscopy. Clin Chest Med. 2013;34(3).",Flexible bronchoscopy,Clin Chest Med,2013,34,3,,,,Casal RF; Ost DE; Eapen GA
15,"Smith LS, Seaquist M, Schillaci RF. Comparison of forceps used for transbronchial lung biopsy. Bigger may not be better. Chest. 1985;87(5).",Comparison of forceps used for transbronchial lung biopsy. Bigger may not be better,Chest,1985,87,5,,,,Smith LS; Seaquist M; Schillaci RF
16,"Loube DI, Johnson JE, Wiener D, Anders GT, Blanton HM, Hayes JA. The effect of forceps size on the adequacy of specimens obtained by transbronchial biopsy. Am Rev Respir Dis. 1993;148(5).",The effect of forceps size on the adequacy of specimens obtained by transbronchial biopsy,Am Rev Respir Dis,1993,148,5,,,,Loube DI; Johnson JE; Wiener D; Anders GT; Blanton HM; Hayes JA
17,"Prakash UB, Offord KP, Stubbs SE. Bronchoscopy in North America: the ACCP survey. Chest. 1991;100(6).",Bronchoscopy in North America: the ACCP survey,Chest,1991,100,6,,,,Prakash UB; Offord KP; Stubbs SE
18,"Dasgupta A, Jain P, Minai OA. Utility of transbronchial needle aspiration in the diagnosis of endobronchial lesions. Chest. 1999;115(5).",Utility of transbronchial needle aspiration in the diagnosis of endobronchial lesions,Chest,1999,115,5,,,,Dasgupta A; Jain P; Minai OA
19,"Wang KP, Terry PB. Transbronchial needle aspiration in the diagnosis and staging of bronchogenic carcinoma. Am Rev Respir Dis. 1983;127(3).",Transbronchial needle aspiration in the diagnosis and staging of bronchogenic carcinoma,Am Rev Respir Dis,1983,127,3,,,,Wang KP; Terry PB
20,"Minair OA, Dasgupta A, Mehta AC. Transbronchial needle aspiration of central and peripheral lesions. Interventional Bronchoscopy. Prog Respir Res. 2000;30. doi:10.1159/000062094.",Transbronchial needle aspiration of central and peripheral lesions,Interventional Bronchoscopy. Prog Respir Res,2000,30,,,10.1159/000062094,,Minair OA; Dasgupta A; Mehta AC
21,"Chao TY, Chien MT, Lie CH, Chung YH, Wang JL, Mc L. Endobronchial ultrasonography-guided transbronchial needle aspiration increases the diagnostic yield of peripheral pulmonary lesions: a randomized trial. Chest. 2009;136(1).",Endobronchial ultrasonography-guided transbronchial needle aspiration increases the diagnostic yield of peripheral pulmonary lesions: a randomized trial,Chest,2009,136,1,,,,Chao TY; Chien MT; Lie CH; Chung YH; Wang JL; Mc L
22,"Rivera MP, Mehta AC, College A, Physicians C. Initial diagnosis of lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132(suppl 3).",Initial diagnosis of lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,suppl 3,,,,Rivera MP; Mehta AC; College A; Physicians C
23,"Zavala DC, Richardson RH, Mukerjee PK, Rossi NP, Bedell GN. Use of the bronchofiberscope for bronchial brush biopsy. Diagnostic chestjournal.org results and comparison with other brushing techniques. Chest. 1973;63(6).",Use of the bronchofiberscope for bronchial brush biopsy. Diagnostic chestjournal.org results and comparison with other brushing techniques,Chest,1973,63,6,,,,Zavala DC; Richardson RH; Mukerjee PK; Rossi NP; Bedell GN
24,"Karahalli E, Yilmaz A, Turker H, Ozvaran K. Usefulness of various diagnostic techniques during fiberoptic bronchoscopy for endoscopically visible lung cancer: should cytologic examinations be performed routinely?. Respiration. 2001;68(6).",Usefulness of various diagnostic techniques during fiberoptic bronchoscopy for endoscopically visible lung cancer: should cytologic examinations be performed routinely?,Respiration,2001,68,6,,,,Karahalli E; Yilmaz A; Turker H; Ozvaran K
25,"Baaklini WA, Reinoso MA, Gorin AB, Sharafkaneh A, Manian P. Diagnostic yield of fiberoptic bronchoscopy in evaluating solitary pulmonary nodules. Chest. 2000;117(4).",Diagnostic yield of fiberoptic bronchoscopy in evaluating solitary pulmonary nodules,Chest,2000,117,4,,,,Baaklini WA; Reinoso MA; Gorin AB; Sharafkaneh A; Manian P
26,"Hanson FN, Wesselius LJ. Effect of bronchial brush size on cell recovery. Am Rev Respir Dis. 1987;136(6).",Effect of bronchial brush size on cell recovery,Am Rev Respir Dis,1987,136,6,,,,Hanson FN; Wesselius LJ
27,"Sato M, Honda M, Sagawa M. The efficacy of cell collection devices with a cytologic brush depends on the diameter of the bristles, not on the diameter of the brush. J Bronchology Interven Pulmonol. 2002;9(3).","The efficacy of cell collection devices with a cytologic brush depends on the diameter of the bristles, not on the diameter of the brush",J Bronchology Interven Pulmonol,2002,9,3,,,,Sato M; Honda M; Sagawa M
28,"Vachani A, Whitney DH, Parsons EC. Clinical utility of a bronchial genomic classifier in patients with suspected lung cancer. Chest. 2016;150(1).",Clinical utility of a bronchial genomic classifier in patients with suspected lung cancer,Chest,2016,150,1,,,,Vachani A; Whitney DH; Parsons EC
29,Nelson ME. Moderate sedation changes for bronchoscopy in 2017. Chest. 2017;152(4).,Moderate sedation changes for bronchoscopy in 2017,Chest,2017,152,4,,,,Nelson ME
30,"Gildea TR, Nicolacakis K. Endobronchial ultrasound: clinical uses and professional reimbursements. Chest. 2016;150(6).",Endobronchial ultrasound: clinical uses and professional reimbursements,Chest,2016,150,6,,,,Gildea TR; Nicolacakis K
31,"Liu H, Waxman DA, Main R, Mattke S. Utilization of anesthesia services during outpatient endoscopies and colonoscopies and associated spending in 2003-2009. JAMA. 2012;307(11).",Utilization of anesthesia services during outpatient endoscopies and colonoscopies and associated spending in 2003-2009,JAMA,2012,307,11,,,,Liu H; Waxman DA; Main R; Mattke S
32,"Centers For Medicare M, Services (, Cms ), Hhs. Medicare program; revisions to payment policies under the Physician Fee Schedule and other revisions to Part B for CY 2018; Medicare shared savings program requirements; and Medicare diabetes prevention program. Final rule. Fed Regist. 2017;82(219).",Medicare program; revisions to payment policies under the Physician Fee Schedule and other revisions to Part B for CY 2018; Medicare shared savings program requirements; and Medicare diabetes prevention program. Final rule,Fed Regist,2017,82,219,,,,Centers For Medicare M; Services (; Cms ); Hhs
