#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, 's Advisory Committee on Cancer Statistics. 's Advisory Committee on Cancer Statistics. 2013;None.,'s Advisory Committee on Cancer Statistics,'s Advisory Committee on Cancer Statistics,2013,,,,,,
12,"Huber RM, Fischer R, Hautmann H. Palliative endobronchial brachytherapy for central lung tumors. A prospective, randomized comparison of two fractionation schedules. Chest. 1995;107.","Palliative endobronchial brachytherapy for central lung tumors. A prospective, randomized comparison of two fractionation schedules",Chest,1995,107,,,,,Huber RM; Fischer R; Hautmann H
13,"Muto P, Ravo V, Panelli G. High-dose rate brachytherapy of bronchial cancer: treatment optimization using three schemes of therapy. Oncologist. 2000;5.",High-dose rate brachytherapy of bronchial cancer: treatment optimization using three schemes of therapy,Oncologist,2000,5,,,,,Muto P; Ravo V; Panelli G
14,"Cotter GW, Lariscy C, Ellingwood KE, Herbert D. Inoperable endobronchial obstructing lung cancer treated with combined endobronchial and external beam irradiation: a dosimetric analysis. Int J Radiat Oncol Biol Phys. 1993;27.",Inoperable endobronchial obstructing lung cancer treated with combined endobronchial and external beam irradiation: a dosimetric analysis,Int J Radiat Oncol Biol Phys,1993,27,,,,,Cotter GW; Lariscy C; Ellingwood KE; Herbert D
15,"Gollins SW, Ryder WD, Burt PA. Massive haemoptysis death and other morbidity associated with high dose rate intraluminal radiotherapy for carcinoma of the bronchus. Radiother Oncol. 1996;39.",Massive haemoptysis death and other morbidity associated with high dose rate intraluminal radiotherapy for carcinoma of the bronchus,Radiother Oncol,1996,39,,,,,Gollins SW; Ryder WD; Burt PA
16,"Huber RM, Fischer R, Hautmann H. Does additional brachytherapy improve the effect of external irradiation? A prospective, randomized study in central lung tumors. Int J Radiat Oncol Biol Phys. 1997;38.","Does additional brachytherapy improve the effect of external irradiation? A prospective, randomized study in central lung tumors",Int J Radiat Oncol Biol Phys,1997,38,,,,,Huber RM; Fischer R; Hautmann H
17,"Stout R, Barber P, Burt P. Clinical and quality of life outcomes in the first United Kingdom randomized trial of endobronchial brachytherapy (intraluminal radiotherapy) vs. external beam radiotherapy in the palliative treatment of inoperable non-small cell lung cancer. Radiother Oncol. 2000;56.",Clinical and quality of life outcomes in the first United Kingdom randomized trial of endobronchial brachytherapy (intraluminal radiotherapy) vs. external beam radiotherapy in the palliative treatment of inoperable non-small cell lung cancer,Radiother Oncol,2000,56,,,,,Stout R; Barber P; Burt P
18,"Langendijk H, De Jong J, Tjwa M. External irradiation versus external irradiation plus endobronchial brachytherapy in inoperable non-small cell lung cancer: a prospective randomized study. Radiother Oncol. 2001;58.",External irradiation versus external irradiation plus endobronchial brachytherapy in inoperable non-small cell lung cancer: a prospective randomized study,Radiother Oncol,2001,58,,,,,Langendijk H; De Jong J; Tjwa M
19,"Mantz CA, Dosoretz DE, Rubenstein JH. Endobronchial brachytherapy and optimization of local disease control in medically inoperable non-small cell lung carcinoma: a matched-pair analysis. Brachytherapy. 2004;3.",Endobronchial brachytherapy and optimization of local disease control in medically inoperable non-small cell lung carcinoma: a matched-pair analysis,Brachytherapy,2004,3,,,,,Mantz CA; Dosoretz DE; Rubenstein JH
20,"Mallick I, Sharma SC, Behera D. Optimization of dose and fractionation of endobronchial brachytherapy with or without external radiation in the palliative management of non-small cell lung cancer: a prospective randomized study. J Cancer Res Ther. 2006;2.",Optimization of dose and fractionation of endobronchial brachytherapy with or without external radiation in the palliative management of non-small cell lung cancer: a prospective randomized study,J Cancer Res Ther,2006,2,,,,,Mallick I; Sharma SC; Behera D
21,"Mallick I, Sharma SC, Behera D. Endobronchial brachytherapy for symptom palliation in non-small cell lung cancereanalysis of symptom response, endoscopic improvement and quality of life. Lung Cancer. 2007;55.","Endobronchial brachytherapy for symptom palliation in non-small cell lung cancereanalysis of symptom response, endoscopic improvement and quality of life",Lung Cancer,2007,55,,,,,Mallick I; Sharma SC; Behera D
22,"Lester JF, Macbeth FR, Toy E, Coles B. Palliative radiotherapy regimens for non-small cell lung cancer. Cochrane Database Syst Rev. 2006;None:2143.",Palliative radiotherapy regimens for non-small cell lung cancer,Cochrane Database Syst Rev,2006,,,2143,,,Lester JF; Macbeth FR; Toy E; Coles B
23,"Gollins SW, Burt PA, Barber PV, Stout R. High dose rate intraluminal radiotherapy for carcinoma of the bronchus: outcome of treatment of 406 patients. Radiother Oncol. 1994;33.",High dose rate intraluminal radiotherapy for carcinoma of the bronchus: outcome of treatment of 406 patients,Radiother Oncol,1994,33,,,,,Gollins SW; Burt PA; Barber PV; Stout R
24,"Cell N, Cancer L, Group C. Chemotherapy in non-small cell lung cancer: a meta-analysis using updated data on individual patients from 52 randomised clinical trials. BMJ. 1995;311.",Chemotherapy in non-small cell lung cancer: a meta-analysis using updated data on individual patients from 52 randomised clinical trials,BMJ,1995,311,,,,,Cell N; Cancer L; Group C
25,"Guarnaschelli JN, Jose BO. Palliative high-dose-rate endobronchial brachytherapy for recurrent carcinoma: the University of Louisville experience. J Palliat Med. 2010;13.",Palliative high-dose-rate endobronchial brachytherapy for recurrent carcinoma: the University of Louisville experience,J Palliat Med,2010,13,,,,,Guarnaschelli JN; Jose BO
26,"Zajac AJ, Kohn ML, Heiser D, Peters JW. High-dose-rate intraluminal brachytherapy in the treatment of endobronchial malignancy. Work in progress. Radiology. 1993;187.",High-dose-rate intraluminal brachytherapy in the treatment of endobronchial malignancy. Work in progress,Radiology,1993,187,,,,,Zajac AJ; Kohn ML; Heiser D; Peters JW
27,"Chang LF, Horvath J, Ling PW, SS. High dose rate afterloading intraluminal brachytherapy in malignant airway obstruction of lung cancer. Int J Radiat Oncol Biol Phys. 1994;28.",High dose rate afterloading intraluminal brachytherapy in malignant airway obstruction of lung cancer,Int J Radiat Oncol Biol Phys,1994,28,,,,,Chang LF; Horvath J; Ling PW; SS
28,"Tredaniel J, Hennequin C, Zalcman G. Prolonged survival after high-dose rate endobronchial radiation for malignant airway obstruction. Chest. 1994;105.",Prolonged survival after high-dose rate endobronchial radiation for malignant airway obstruction,Chest,1994,105,,,,,Tredaniel J; Hennequin C; Zalcman G
29,"Ozkok S, Karakoyun-Celik O, Goksel T. High dose rate endobronchial brachytherapy in the management of lung cancer: response and toxicity evaluation in 158 patients. Lung Cancer. 2008;62.",High dose rate endobronchial brachytherapy in the management of lung cancer: response and toxicity evaluation in 158 patients,Lung Cancer,2008,62,,,,,Ozkok S; Karakoyun-Celik O; Goksel T
30,"Macha HN, Wahlers B, Reichle C, Zwehl V, D. Endobronchial radiation therapy for obstructing malignancies: ten years' experience with iridium-192 high-dose radiation brachytherapy afterloading technique in 365 patients. Lung. 1995;173.",Endobronchial radiation therapy for obstructing malignancies: ten years' experience with iridium-192 high-dose radiation brachytherapy afterloading technique in 365 patients,Lung,1995,173,,,,,Macha HN; Wahlers B; Reichle C; Zwehl V; D
31,"Aumont-Le Guilcher M, Prevost B, Sunyach MP. High-dose-rate brachytherapy for non-small-cell lung carcinoma: a retrospective study of 226 patients. Int J Radiat Oncol Biol Phys. 2011;79.",High-dose-rate brachytherapy for non-small-cell lung carcinoma: a retrospective study of 226 patients,Int J Radiat Oncol Biol Phys,2011,79,,,,,Aumont-Le Guilcher M; Prevost B; Sunyach MP
32,"Speiser BL, Spratling L. Radiation bronchitis and stenosis secondary to high dose rate endobronchial irradiation. Int J Radiat Oncol Biol Phys. 1993;25.",Radiation bronchitis and stenosis secondary to high dose rate endobronchial irradiation,Int J Radiat Oncol Biol Phys,1993,25,,,,,Speiser BL; Spratling L
33,"Sur RK, Mahomen GA, Pacella JA. Initial report on the effectiveness of high dose rate brachytherapy in the treatment of hemoptysis in lung cancer. Endocurietherapy/Hyperthermia Oncol. 1995;11.",Initial report on the effectiveness of high dose rate brachytherapy in the treatment of hemoptysis in lung cancer,Endocurietherapy/Hyperthermia Oncol,1995,11,,,,,Sur RK; Mahomen GA; Pacella JA
34,"Sur R, Ahmed SN, Donde B. Brachytherapy boost vs teletherapy boost in palliation of symptomatic, locally advanced non-small cell lung cancer: preliminary analysis of a randomized, prospective study. J Brachytherapy Int. 2001;17.","Brachytherapy boost vs teletherapy boost in palliation of symptomatic, locally advanced non-small cell lung cancer: preliminary analysis of a randomized, prospective study",J Brachytherapy Int,2001,17,,,,,Sur R; Ahmed SN; Donde B
35,"Nori D, Allison R, Kaplan B. High dose-rate intraluminal irradiation in bronchogenic carcinoma. Technique and results. Chest. 1993;104.",High dose-rate intraluminal irradiation in bronchogenic carcinoma. Technique and results,Chest,1993,104,,,,,Nori D; Allison R; Kaplan B
36,"Khanavkar B, Stern P, Alberti W, Nakhosteen JA. Complications associated with brachytherapy alone or with laser in lung cancer. Chest. 1991;99.",Complications associated with brachytherapy alone or with laser in lung cancer,Chest,1991,99,,,,,Khanavkar B; Stern P; Alberti W; Nakhosteen JA
37,Gaspar LE. Brachytherapy in lung cancer. J Surg Oncol. 1998;67.,Brachytherapy in lung cancer,J Surg Oncol,1998,67,,,,,Gaspar LE
38,"Bedwinek J, Petty A, Bruton C. The use of high dose rate endobronchial brachytherapy to palliate symptomatic endobronchial recurrence of previously irradiated bronchogenic carcinoma. Int J Radiat Oncol Biol Phys. 1992;22.",The use of high dose rate endobronchial brachytherapy to palliate symptomatic endobronchial recurrence of previously irradiated bronchogenic carcinoma,Int J Radiat Oncol Biol Phys,1992,22,,,,,Bedwinek J; Petty A; Bruton C
39,"Marsiglia H, Baldeyrou P, Lartigau E. High-dose-rate brachytherapy as sole modality for early-stage endobronchial carcinoma. Int J Radiat Oncol Biol Phys. 2000;47.",High-dose-rate brachytherapy as sole modality for early-stage endobronchial carcinoma,Int J Radiat Oncol Biol Phys,2000,47,,,,,Marsiglia H; Baldeyrou P; Lartigau E
40,"Seagren SL, Harrell JH, Horn RA. High dose rate intraluminal irradiation in recurrent endobronchial carcinoma. Chest. 1985;88.",High dose rate intraluminal irradiation in recurrent endobronchial carcinoma,Chest,1985,88,,,,,Seagren SL; Harrell JH; Horn RA
