#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Walker-Renard PB, Vaughan LM, Sahn SA. Chemical pleurodesis for malignant pleural effusions. Ann Intern Med. 1994;120.",Chemical pleurodesis for malignant pleural effusions,Ann Intern Med,1994,120,,,,8250457,Walker-Renard PB; Vaughan LM; Sahn SA
12,"Fleishman SB, Dresler C, Herndon JE. Quality of life (QOL) advantage of sclerosis for malignant pleural effusion (MPE) via talc thoracoscopy over chest tube infusion of talc slurry: a Cancer and Leukemia Group B study [abstract. Proc Am Soc Clin Oncol. 2002;21:355.",Quality of life (QOL) advantage of sclerosis for malignant pleural effusion (MPE) via talc thoracoscopy over chest tube infusion of talc slurry: a Cancer and Leukemia Group B study [abstract,Proc Am Soc Clin Oncol,2002,21,,355,,,Fleishman SB; Dresler C; Herndon JE
13,"Aaronson NK, Ahmedzai S, Bergman B. The European Organization for Research and Treatment of Cancer QLQC30: a quality-of-life instrument for use in international clinical trials in oncology. J Natl Cancer Inst. 1993;85.",The European Organization for Research and Treatment of Cancer QLQC30: a quality-of-life instrument for use in international clinical trials in oncology,J Natl Cancer Inst,1993,85,,,,8433390,Aaronson NK; Ahmedzai S; Bergman B
14," Common toxicity criteria, version 2.0. Common toxicity criteria, version 2.0. 1999;None.","Common toxicity criteria, version 2.0","Common toxicity criteria, version 2.0",1999,,,,,,
15,"Kennedy L, Sahn SA. Talc pleurodesis for the treatment of pneumothorax and pleural effusion. Chest. 1994;106.",Talc pleurodesis for the treatment of pneumothorax and pleural effusion,Chest,1994,106,,,,7924497,Kennedy L; Sahn SA
16,"Yim AP, Chan AT, Lee TW. Thoracoscopic talc insufflation versus talc slurry for symptomatic malignant pleural effusion. Ann Thorac Surg. 1996;62.",Thoracoscopic talc insufflation versus talc slurry for symptomatic malignant pleural effusion,Ann Thorac Surg,1996,62,,,,8957368,Yim AP; Chan AT; Lee TW
17,"Cohen RG, Shely WW, Thompson SE. Talc pleurodesis: talc slurry versus thoracoscopic talc insufflation in a porcine model. Ann Thorac Surg. 1996;62.",Talc pleurodesis: talc slurry versus thoracoscopic talc insufflation in a porcine model,Ann Thorac Surg,1996,62,,,,8823079,Cohen RG; Shely WW; Thompson SE
18,"Panadero R, F. Lung cancer and ipsilateral pleural effusion. Ann Oncol. 1995;6.",Lung cancer and ipsilateral pleural effusion,Ann Oncol,1995,6,,,,8616109,Panadero R; F
19,"Marom EM, Patz EF, Jr, Erasmus JJ. Malignant pleural effusions: treatment with small-borecatheter thoracostomy and talc pleurodesis. Radiology. 1999;210.",Malignant pleural effusions: treatment with small-borecatheter thoracostomy and talc pleurodesis,Radiology,1999,210,,,,9885620,Marom EM; Patz EF; Jr; Erasmus JJ
20,"Jacobi CA, Wenger FA, Schmitz-Rixen T. Talc pleurodesis in recurrent pleural effusions. Langenbecks Arch Surg. 1998;383.",Talc pleurodesis in recurrent pleural effusions,Langenbecks Arch Surg,1998,383,,,,9641889,Jacobi CA; Wenger FA; Schmitz-Rixen T
21,"Adler RH, Sayek I. Treatment of malignant pleural effusion: a method using tube thoracostomy and talc. Ann Thorac Surg. 1976;22.",Treatment of malignant pleural effusion: a method using tube thoracostomy and talc,Ann Thorac Surg,1976,22,,,,938141,Adler RH; Sayek I
22,"Schulze M, Boehle AS, Kurdow R. Effective treatment of malignant pleural effusion by minimal invasive thoracic surgery: thoracoscopic talc pleurodesis and pleuroperitoneal shunts in 101 patients. Ann Thorac Surg. 2001;71.",Effective treatment of malignant pleural effusion by minimal invasive thoracic surgery: thoracoscopic talc pleurodesis and pleuroperitoneal shunts in 101 patients,Ann Thorac Surg,2001,71,,,,11426752,Schulze M; Boehle AS; Kurdow R
23,Jones GR. Treatment of recurrent malignant pleural effusion by iodized talc pleurodesis. Thorax. 1969;24.,Treatment of recurrent malignant pleural effusion by iodized talc pleurodesis,Thorax,1969,24,,,,5763512,Jones GR
24,"Kennedy L, Rusch VW, Strange C. Pleurodesis using talc slurry. Chest. 1994;106.",Pleurodesis using talc slurry,Chest,1994,106,,,,7774299,Kennedy L; Rusch VW; Strange C
25,"Burrows CM, Mathews WC, Colt HG. Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease. Chest. 2000;117.","Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease",Chest,2000,117,,,,10631202,Burrows CM; Mathews WC; Colt HG
26,"Viallat JR, Rey F, Astoul P. Thoracoscopic talc poudrage pleurodesis for malignant effusions: a review of 360 cases. Chest. 1996;110.",Thoracoscopic talc poudrage pleurodesis for malignant effusions: a review of 360 cases,Chest,1996,110,,,,8989050,Viallat JR; Rey F; Astoul P
27,"Weissberg D, Ben-Zeev I. Talc pleurodesis: experience with 360 patients. J Thorac Cardiovasc Surg. 1993;106.",Talc pleurodesis: experience with 360 patients,J Thorac Cardiovasc Surg,1993,106,,,,8412264,Weissberg D; Ben-Zeev I
28,"Bouchama A, Chastre J, Gaudichet A. Acute pneumonitis with bilateral pleural effusion after talc pleurodesis. Chest. 1984;86.",Acute pneumonitis with bilateral pleural effusion after talc pleurodesis,Chest,1984,86,,,,6488927,Bouchama A; Chastre J; Gaudichet A
29,"De Campos JR, Vargas FS, De Campos Werebe E. Thoracoscopy talc poudrage: a 15-year experience. Chest. 2001;119.",Thoracoscopy talc poudrage: a 15-year experience,Chest,2001,119,,,,11243960,De Campos JR; Vargas FS; De Campos Werebe E
30,"Ferrer J, Montes JF, Villarino MA. Influence of particle size on extrapleural talc dissemination after talc slurry pleurodesis. Chest. 2002;122.",Influence of particle size on extrapleural talc dissemination after talc slurry pleurodesis,Chest,2002,122,,,,12226049,Ferrer J; Montes JF; Villarino MA
31,"Ferrer J, Villarino MA, Tura JM. Talc preparations used for pleurodesis vary markedly from one preparation to another. Chest. 2001;119.",Talc preparations used for pleurodesis vary markedly from one preparation to another,Chest,2001,119,,,,11399721,Ferrer J; Villarino MA; Tura JM
32,"Werebe EC, Pazetti R, De Campos M, JR. Systemic distribution of talc after intrapleural administration in rats. Chest. 1999;115.",Systemic distribution of talc after intrapleural administration in rats,Chest,1999,115,,,,9925083,Werebe EC; Pazetti R; De Campos M; JR
33,"Wegman DH, Peters JM, Boundy MG. Evaluation of respiratory effects in miners and millers exposed to talc free of asbestos and silica. Br J Ind Med. 1982;39.",Evaluation of respiratory effects in miners and millers exposed to talc free of asbestos and silica,Br J Ind Med,1982,39,,,,7093149,Wegman DH; Peters JM; Boundy MG
34,"Danby CA, Adebonojo SA, Moritz DM. Video-assisted talc pleurodesis for malignant pleural effusions utilizing local anesthesia and IV sedation. Chest. 1998;113.",Video-assisted talc pleurodesis for malignant pleural effusions utilizing local anesthesia and IV sedation,Chest,1998,113,,,,9515851,Danby CA; Adebonojo SA; Moritz DM
35,"Sanchez-Armengol A, Rodriguez-Panadero F. Survival and talc pleurodesis in metastatic pleural carcinoma, revisited. Report of 125 cases. Chest. 1993;104.","Survival and talc pleurodesis in metastatic pleural carcinoma, revisited. Report of 125 cases",Chest,1993,104,,,,8222811,Sanchez-Armengol A; Rodriguez-Panadero F
36,"Rodriguez-Panadero F, Segado A, Juan M, J. Failure of talc pleurodesis is associated with increased pleural fibrinolysis. Am J Respir Crit Care Med. 1995;151.",Failure of talc pleurodesis is associated with increased pleural fibrinolysis,Am J Respir Crit Care Med,1995,151,,,,7881671,Rodriguez-Panadero F; Segado A; Juan M; J
37,"Aelony Y, King RR, Boutin C. Thoracoscopic talc poudrage in malignant pleural effusions: effective pleurodesis despite low pleural pH. Chest. 1998;113.",Thoracoscopic talc poudrage in malignant pleural effusions: effective pleurodesis despite low pleural pH,Chest,1998,113,,,,9554639,Aelony Y; King RR; Boutin C
38,"Heffner JE, Nietert PJ, Barbieri C. Pleural fluid pH as a predictor of pleurodesis failure. Chest. 2000;117.",Pleural fluid pH as a predictor of pleurodesis failure,Chest,2000,117,,,,10631204,Heffner JE; Nietert PJ; Barbieri C
39,"Heffner JE, Nietert PJ, Barbieri C. Pleural fluid pH as a predictor of survival for patients with malignant pleural effusions. Chest. 2000;117.",Pleural fluid pH as a predictor of survival for patients with malignant pleural effusions,Chest,2000,117,,,,10631203,Heffner JE; Nietert PJ; Barbieri C
