#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Shelden CH, Pudenz RH, Tichy FY. Percutaneous tracheotomy. J Am Med Assoc. 1957;165.",Percutaneous tracheotomy,J Am Med Assoc,1957,165,,,,,Shelden CH; Pudenz RH; Tichy FY
12,"Delaney A, Bagshaw SM, Nalos M. Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis. Crit Care. 2006;10:55.",Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis,Crit Care,2006,10,,55,,,Delaney A; Bagshaw SM; Nalos M
13,"Iftikhar IH, Teng S, Schimmel M. A Network Comparative Meta-analysis of Percutaneous Dilatational Tracheostomies Using Anatomic Landmarks, Bronchoscopic, and Ultrasound Guidance Versus Open Surgical Tracheostomy. Lung. 2019;197.","A Network Comparative Meta-analysis of Percutaneous Dilatational Tracheostomies Using Anatomic Landmarks, Bronchoscopic, and Ultrasound Guidance Versus Open Surgical Tracheostomy",Lung,2019,197,,,,,Iftikhar IH; Teng S; Schimmel M
14,"Oggiano M, Ewig S, Hecker E. A comparison of percutaneous dilatational tracheostomy versus conventional surgical tracheostomy. Pneumologie. 2014;68.",A comparison of percutaneous dilatational tracheostomy versus conventional surgical tracheostomy,Pneumologie,2014,68,,,,,Oggiano M; Ewig S; Hecker E
15,"Barbetti JK, Nichol AD, Choate KR. Prospective observational study of postoperative complications after percutaneous dilatational or surgical tracheostomy in critically ill patients. Crit Care Resusc. 2009;11.",Prospective observational study of postoperative complications after percutaneous dilatational or surgical tracheostomy in critically ill patients,Crit Care Resusc,2009,11,,,,,Barbetti JK; Nichol AD; Choate KR
16,"Andriolo B, Andriolo RB, Saconato H. Early versus late tracheostomy for critically ill patients. Cochrane Database Syst Rev. 2015;1:7271.",Early versus late tracheostomy for critically ill patients,Cochrane Database Syst Rev,2015,1,,7271,,,Andriolo B; Andriolo RB; Saconato H
17,"Siempos II, Ntaidou TK, Filippidis FT. Effect of early versus late or no tracheostomy on mortality and pneumonia of critically ill patients receiving mechanical ventilation: a systematic review and meta-analysis. Lancet Respir Med. 2015;3.",Effect of early versus late or no tracheostomy on mortality and pneumonia of critically ill patients receiving mechanical ventilation: a systematic review and meta-analysis,Lancet Respir Med,2015,3,,,,,Siempos II; Ntaidou TK; Filippidis FT
18,"Dochi H, Nojima M, Matsumura M. Effect of early tracheostomy in mechanically ventilated patients. Laryngoscope Investig Otolaryngol. 2019;4.",Effect of early tracheostomy in mechanically ventilated patients,Laryngoscope Investig Otolaryngol,2019,4,,,,,Dochi H; Nojima M; Matsumura M
19,"Terragni PP, Antonelli M, Fumagalli R. Early vs late tracheotomy for prevention of pneumonia in mechanically ventilated adult ICU patients: a randomized controlled trial. JAMA. 2010;303.",Early vs late tracheotomy for prevention of pneumonia in mechanically ventilated adult ICU patients: a randomized controlled trial,JAMA,2010,303,,,,,Terragni PP; Antonelli M; Fumagalli R
20,"Meng L, Wang C, Li J. Early vs late tracheostomy in critically ill patients: a systematic review and meta-analysis. Clin Respir J. 2016;10.",Early vs late tracheostomy in critically ill patients: a systematic review and meta-analysis,Clin Respir J,2016,10,,,,,Meng L; Wang C; Li J
21,"Szakmany T, Russell P, Wilkes AR. Effect of early tracheostomy on resource utilization and clinical outcomes in critically ill patients: meta-analysis of randomized controlled trials. Br J Anaesth. 2015;114.",Effect of early tracheostomy on resource utilization and clinical outcomes in critically ill patients: meta-analysis of randomized controlled trials,Br J Anaesth,2015,114,,,,,Szakmany T; Russell P; Wilkes AR
22,"Zheng Y, Sui F, Chen XK. Early versus late percutaneous dilational tracheostomy in critically ill patients anticipated requiring prolonged mechanical ventilation. Chin Med J (Engl). 2012;125.",Early versus late percutaneous dilational tracheostomy in critically ill patients anticipated requiring prolonged mechanical ventilation,Chin Med J (Engl),2012,125,,,,,Zheng Y; Sui F; Chen XK
23,"Liu CC, Livingstone D, Dixon E. Early versus late tracheostomy: a systematic review and meta-analysis. Otolaryngol Head Neck Surg. 2015;152.",Early versus late tracheostomy: a systematic review and meta-analysis,Otolaryngol Head Neck Surg,2015,152,,,,,Liu CC; Livingstone D; Dixon E
24,"Mehta AB, Cooke CR, Wiener RS. Hospital Variation in Early Tracheostomy in the United States: A Population-Based Study. Crit Care Med. 2016;44.",Hospital Variation in Early Tracheostomy in the United States: A Population-Based Study,Crit Care Med,2016,44,,,,,Mehta AB; Cooke CR; Wiener RS
25,"Kollig E, Heydenreich U, Roetman B. Ultrasound and bronchoscopic controlled percutaneous tracheostomy on trauma ICU. Injury. 2000;31.",Ultrasound and bronchoscopic controlled percutaneous tracheostomy on trauma ICU,Injury,2000,31,,,,,Kollig E; Heydenreich U; Roetman B
26,"Bonde J, Nørgaard N, Antonsen K. Implementation of percutaneous dilation tracheotomy--value of preincisional ultrasonic examination?. Acta Anaesthesiol Scand. 1999;43.",Implementation of percutaneous dilation tracheotomy--value of preincisional ultrasonic examination?,Acta Anaesthesiol Scand,1999,43,,,,,Bonde J; Nørgaard N; Antonsen K
27,"Rudas M, Seppelt I, Herkes R. Traditional landmark versus ultrasound guided tracheal puncture during percutaneous dilatational tracheostomy in adult intensive care patients: a randomised controlled trial. Crit Care. 2014;18:514.",Traditional landmark versus ultrasound guided tracheal puncture during percutaneous dilatational tracheostomy in adult intensive care patients: a randomised controlled trial,Crit Care,2014,18,,514,,,Rudas M; Seppelt I; Herkes R
28,"Rajajee V, Fletcher JJ, Rochlen LR. Real-time ultrasound-guided percutaneous dilatational tracheostomy: a feasibility study. Crit Care. 2011;15:67.",Real-time ultrasound-guided percutaneous dilatational tracheostomy: a feasibility study,Crit Care,2011,15,,67,,,Rajajee V; Fletcher JJ; Rochlen LR
29,"Guinot PG, Zogheib E, Petiot S. Ultrasound-guided percutaneous tracheostomy in critically ill obese patients. Crit Care. 2012;16:40.",Ultrasound-guided percutaneous tracheostomy in critically ill obese patients,Crit Care,2012,16,,40,,,Guinot PG; Zogheib E; Petiot S
30,"Sustić A, Kovac D, Zgaljardić Z. Ultrasound-guided percutaneous dilatational tracheostomy: a safe method to avoid cranial misplacement of the tracheostomy tube. Intensive Care Med. 2000;26.",Ultrasound-guided percutaneous dilatational tracheostomy: a safe method to avoid cranial misplacement of the tracheostomy tube,Intensive Care Med,2000,26,,,,,Sustić A; Kovac D; Zgaljardić Z
31,"Alansari M, Alotair H, Aseri A, Z. Use of ultrasound guidance to improve the safety of percutaneous dilatational tracheostomy: a literature review. Crit Care. 2015;19:229.",Use of ultrasound guidance to improve the safety of percutaneous dilatational tracheostomy: a literature review,Crit Care,2015,19,,229,,,Alansari M; Alotair H; Aseri A; Z
32,"Rudas M, Seppelt I. Safety and efficacy of ultrasonography before and during percutaneous dilatational tracheostomy in adult patients: a systematic review. Crit Care Resusc. 2012;14.",Safety and efficacy of ultrasonography before and during percutaneous dilatational tracheostomy in adult patients: a systematic review,Crit Care Resusc,2012,14,,,,,Rudas M; Seppelt I
33,"Rees J, Haroon Y, Hogan C. The ultrasound neck imaging for tracheostomy study: A study prompting ultrasound screening prior to percutaneous tracheostomy procedures to improve patient outcomes. J Intensive Care Soc. 2018;19.",The ultrasound neck imaging for tracheostomy study: A study prompting ultrasound screening prior to percutaneous tracheostomy procedures to improve patient outcomes,J Intensive Care Soc,2018,19,,,,,Rees J; Haroon Y; Hogan C
34,"Sarıtaş A, Kurnaz MM. Comparison of Bronchoscopy-Guided and Real-Time Ultrasound-Guided Percutaneous Dilatational Tracheostomy: Safety, Complications, and Effectiveness in Critically Ill Patients. J Intensive Care Med. 2017;None:885066617705641.","Comparison of Bronchoscopy-Guided and Real-Time Ultrasound-Guided Percutaneous Dilatational Tracheostomy: Safety, Complications, and Effectiveness in Critically Ill Patients",J Intensive Care Med,2017,,,885066617705641,,,Sarıtaş A; Kurnaz MM
35,"Gobatto A, Besen B, Cestari M. Ultrasound-Guided Percutaneous Dilational Tracheostomy: A Systematic Review of Randomized Controlled Trials and Meta-Analysis. J Intensive Care Med. 2020;35.",Ultrasound-Guided Percutaneous Dilational Tracheostomy: A Systematic Review of Randomized Controlled Trials and Meta-Analysis,J Intensive Care Med,2020,35,,,,,Gobatto A; Besen B; Cestari M
36,"Kluge S, Baumann HJ, Maier C. Tracheostomy in the intensive care unit: a nationwide survey. Anesth Analg. 2008;107.",Tracheostomy in the intensive care unit: a nationwide survey,Anesth Analg,2008,107,,,,,Kluge S; Baumann HJ; Maier C
37,"Krishnan K, Elliot SC, Mallick A. The current practice of tracheostomy in the United Kingdom: a postal survey. Anaesthesia. 2005;60.",The current practice of tracheostomy in the United Kingdom: a postal survey,Anaesthesia,2005,60,,,,,Krishnan K; Elliot SC; Mallick A
38,"Winkler WB, Karnik R, Seelmann O. Bedside percutaneous dilational tracheostomy with endoscopic guidance: experience with 71 ICU patients. Intensive Care Med. 1994;20.",Bedside percutaneous dilational tracheostomy with endoscopic guidance: experience with 71 ICU patients,Intensive Care Med,1994,20,,,,,Winkler WB; Karnik R; Seelmann O
39,Kost KM. Endoscopic percutaneous dilatational tracheotomy: a prospective evaluation of 500 consecutive cases. Laryngoscope. 2005;115.,Endoscopic percutaneous dilatational tracheotomy: a prospective evaluation of 500 consecutive cases,Laryngoscope,2005,115,,,,,Kost KM
40,"Berrouschot J, Oeken J, Steiniger L. Perioperative complications of percutaneous dilational tracheostomy. Laryngoscope. 1997;107.",Perioperative complications of percutaneous dilational tracheostomy,Laryngoscope,1997,107,,,,,Berrouschot J; Oeken J; Steiniger L
41,"Gadkaree SK, Schwartz D, Gerold K. Use of Bronchoscopy in Percutaneous Dilational Tracheostomy. JAMA Otolaryngol Head Neck Surg. 2016;142.",Use of Bronchoscopy in Percutaneous Dilational Tracheostomy,JAMA Otolaryngol Head Neck Surg,2016,142,,,,,Gadkaree SK; Schwartz D; Gerold K
42,"Jackson L, Davis JW, Kaups KL. Percutaneous tracheostomy: to bronch or not to bronch--that is the question. J Trauma. 2011;71.",Percutaneous tracheostomy: to bronch or not to bronch--that is the question,J Trauma,2011,71,,,,,Jackson L; Davis JW; Kaups KL
43,"Bhatti N, Mirski M, Tatlipinar A. Reduction of complication rate in percutaneous dilation tracheostomies. Laryngoscope. 2007;117.",Reduction of complication rate in percutaneous dilation tracheostomies,Laryngoscope,2007,117,,,,,Bhatti N; Mirski M; Tatlipinar A
44,"Reilly PM, Anderson HL, Sing RF. Occult hypercarbia. An unrecognized phenomenon during percutaneous endoscopic tracheostomy. Chest. 1995;107.",Occult hypercarbia. An unrecognized phenomenon during percutaneous endoscopic tracheostomy,Chest,1995,107,,,,,Reilly PM; Anderson HL; Sing RF
45,"Kaiser E, Cantais E, Goutorbe P. Prospective randomized comparison of progressive dilational vs forceps dilational percutaneous tracheostomy. Anaesth Intensive Care. 2006;34.",Prospective randomized comparison of progressive dilational vs forceps dilational percutaneous tracheostomy,Anaesth Intensive Care,2006,34,,,,,Kaiser E; Cantais E; Goutorbe P
46,"Cantais E, Kaiser E, Goff L-, Y. Percutaneous tracheostomy: prospective comparison of the translaryngeal technique versus the forceps-dilational technique in 100 critically ill adults. Crit Care Med. 2002;30.",Percutaneous tracheostomy: prospective comparison of the translaryngeal technique versus the forceps-dilational technique in 100 critically ill adults,Crit Care Med,2002,30,,,,,Cantais E; Kaiser E; Goff L-; Y
47,"Reilly PM, Sing RF, Giberson FA. Hypercarbia during tracheostomy: a comparison of percutaneous endoscopic, percutaneous Doppler, and standard surgical tracheostomy. Intensive Care Med. 1997;23.","Hypercarbia during tracheostomy: a comparison of percutaneous endoscopic, percutaneous Doppler, and standard surgical tracheostomy",Intensive Care Med,1997,23,,,,,Reilly PM; Sing RF; Giberson FA
48,"Lawson RW, Peters JI, Shelledy DC. Effects of Fiberoptic Bronchoscopy During Mechanical Ventilation in a Lung Model. Chest. 2000;118.",Effects of Fiberoptic Bronchoscopy During Mechanical Ventilation in a Lung Model,Chest,2000,118,,,,,Lawson RW; Peters JI; Shelledy DC
49,"Mehta C, Mehta Y. Percutaneous tracheostomy. Ann Card Anaesth. 2017;20.",Percutaneous tracheostomy,Ann Card Anaesth,2017,20,,,,,Mehta C; Mehta Y
50,Hess DR. Tracheostomy tubes and related appliances. Respir Care. 2005;50.,Tracheostomy tubes and related appliances,Respir Care,2005,50,,,,,Hess DR
51,"Mitchell RB, Hussey HM, Setzen G. Clinical consensus statement: tracheostomy care. Otolaryngol--Head Neck Surg Off J Am Acad Otolaryngol-Head Neck Surg. 2013;148.",Clinical consensus statement: tracheostomy care,Otolaryngol--Head Neck Surg Off J Am Acad Otolaryngol-Head Neck Surg,2013,148,,,,,Mitchell RB; Hussey HM; Setzen G
52," Technique, complications, and improvements in percutaneous dilatational tracheostomy. Technique, complications, and improvements in percutaneous dilatational tracheostomy. None;None.","Technique, complications, and improvements in percutaneous dilatational tracheostomy","Technique, complications, and improvements in percutaneous dilatational tracheostomy",,,,,,,
53, Single-dilator percutaneous tracheostomy: a comparison of PercuTwist and Ciaglia Blue Rhino techniques. Single-dilator percutaneous tracheostomy: a comparison of PercuTwist and Ciaglia Blue Rhino techniques. None;None.,Single-dilator percutaneous tracheostomy: a comparison of PercuTwist and Ciaglia Blue Rhino techniques,Single-dilator percutaneous tracheostomy: a comparison of PercuTwist and Ciaglia Blue Rhino techniques,,,,,,,
54,"Muhammad JK, Major E, Wood A. Percutaneous dilatational tracheostomy: haemorrhagic complications and the vascular anatomy of the anterior neck. A review based on 497 cases. Int J Oral Maxillofac Surg. 2000;29.",Percutaneous dilatational tracheostomy: haemorrhagic complications and the vascular anatomy of the anterior neck. A review based on 497 cases,Int J Oral Maxillofac Surg,2000,29,,,,,Muhammad JK; Major E; Wood A
55,"Trottier SJ, Hazard PB, Sakabu SA. Posterior tracheal wall perforation during percutaneous dilational tracheostomy: an investigation into its mechanism and prevention. Chest. 1999;115.",Posterior tracheal wall perforation during percutaneous dilational tracheostomy: an investigation into its mechanism and prevention,Chest,1999,115,,,,,Trottier SJ; Hazard PB; Sakabu SA
56,"Gromann TW, Birkelbach O, Hetzer R. Ballon dilatational tracheostomy. Technique and first clinical experience with the Ciaglia Blue Dolphin method. Chirurg. 2009;80.",Ballon dilatational tracheostomy. Technique and first clinical experience with the Ciaglia Blue Dolphin method,Chirurg,2009,80,,,,,Gromann TW; Birkelbach O; Hetzer R
57,"Aslan E, Gokcinar D, Kahveci K. A comparison between blue rhino and balloon-assisted tracheostomy in intensive care units. Acta Medica Mediterranea. 2014;30:371.",A comparison between blue rhino and balloon-assisted tracheostomy in intensive care units,Acta Medica Mediterranea,2014,30,,371,,,Aslan E; Gokcinar D; Kahveci K
58,"Araujo JB, Añón JM, García-Fernández AM. Percutaneous tracheostomy through dilatation with the Ciaglia Blue Dolphin(®) method. Med Intensiva. 2015;39.",Percutaneous tracheostomy through dilatation with the Ciaglia Blue Dolphin(®) method,Med Intensiva,2015,39,,,,,Araujo JB; Añón JM; García-Fernández AM
59,Sanabria A. Which Percutaneous Tracheostomy Method Is Better? A Systematic Review. Respir Care. 2014;59.,Which Percutaneous Tracheostomy Method Is Better? A Systematic Review,Respir Care,2014,59,,,,,Sanabria A
60,"Cianchi G, Zagli G, Bonizzoli M. Comparison between single-step and balloon dilatational tracheostomy in intensive care unit: a single-centre, randomized controlled study. Br J Anaesth. 2010;104.","Comparison between single-step and balloon dilatational tracheostomy in intensive care unit: a single-centre, randomized controlled study",Br J Anaesth,2010,104,,,,,Cianchi G; Zagli G; Bonizzoli M
61,"Stocchetti N, Parma A, Lamperti M. Neurophysiological consequences of three tracheostomy techniques: a randomized study in neurosurgical patients. J Neurosurg Anesthesiol. 2000;12.",Neurophysiological consequences of three tracheostomy techniques: a randomized study in neurosurgical patients,J Neurosurg Anesthesiol,2000,12,,,,,Stocchetti N; Parma A; Lamperti M
62,"Kocaeli H, Korfali E, Taşkapilioğlu O. Analysis of intracranial pressure changes during early versus late percutaneous tracheostomy in a neuro-intensive care unit. Acta Neurochir. 2008;150.",Analysis of intracranial pressure changes during early versus late percutaneous tracheostomy in a neuro-intensive care unit,Acta Neurochir,2008,150,,,,,Kocaeli H; Korfali E; Taşkapilioğlu O
63,"Gandía-Martínez F, Martínez-Gil I, Ojeda A, D. Analysis of early tracheostomy and its impact on development of pneumonia, use of resources and mortality in neurocritically ill patients. Neurocirugia (Astur). 2010;21.","Analysis of early tracheostomy and its impact on development of pneumonia, use of resources and mortality in neurocritically ill patients",Neurocirugia (Astur),2010,21,,,,,Gandía-Martínez F; Martínez-Gil I; Ojeda A; D
64,"Bouderka MA, Fakhir B, Bouaggad A. Early tracheostomy versus prolonged endotracheal intubation in severe head injury. J Trauma. 2004;57.",Early tracheostomy versus prolonged endotracheal intubation in severe head injury,J Trauma,2004,57,,,,,Bouderka MA; Fakhir B; Bouaggad A
65,"Ahmed N, Kuo YH. Early versus late tracheostomy in patients with severe traumatic head injury. Surg Infect (Larchmt). 2007;8.",Early versus late tracheostomy in patients with severe traumatic head injury,Surg Infect (Larchmt),2007,8,,,,,Ahmed N; Kuo YH
66,"Dunham CM, Cutrona AF, Gruber BS. Early tracheostomy in severe traumatic brain injury: evidence for decreased mechanical ventilation and increased hospital mortality. Int J Burns Trauma. 2014;4.",Early tracheostomy in severe traumatic brain injury: evidence for decreased mechanical ventilation and increased hospital mortality,Int J Burns Trauma,2014,4,,,,,Dunham CM; Cutrona AF; Gruber BS
67,"Huang YH, Lee TC, Liao CC. Tracheostomy in craniectomised survivors after traumatic brain injury: a cross-sectional analytical study. Injury. 2013;44.",Tracheostomy in craniectomised survivors after traumatic brain injury: a cross-sectional analytical study,Injury,2013,44,,,,,Huang YH; Lee TC; Liao CC
68,"Sugerman HJ, Wolfe L, Pasquale MD. Multicenter, randomized, prospective trial of early tracheostomy. J Trauma. 1997;43.","Multicenter, randomized, prospective trial of early tracheostomy",J Trauma,1997,43,,,,,Sugerman HJ; Wolfe L; Pasquale MD
69,"Flegal KM, Carroll MD, Ogden CL. Prevalence and trends in obesity among US adults, 1999-2008. JAMA. 2010;303.","Prevalence and trends in obesity among US adults, 1999-2008",JAMA,2010,303,,,,,Flegal KM; Carroll MD; Ogden CL
70,"Byhahn C, Lischke V, Meininger D. Peri-operative complications during percutaneous tracheostomy in obese patients. Anaesthesia. 2005;60.",Peri-operative complications during percutaneous tracheostomy in obese patients,Anaesthesia,2005,60,,,,,Byhahn C; Lischke V; Meininger D
71,"Solh E, Jaafar AA, W. A comparative study of the complications of surgical tracheostomy in morbidly obese critically ill patients. Crit Care. 2007;11(3).",A comparative study of the complications of surgical tracheostomy in morbidly obese critically ill patients,Crit Care,2007,11,3,,,,Solh E; Jaafar AA; W
72,"Mansharamani NG, Koziel H, Garland R. Safety of bedside percutaneous dilatational tracheostomy in obese patients in the ICU. Chest. 2000;117.",Safety of bedside percutaneous dilatational tracheostomy in obese patients in the ICU,Chest,2000,117,,,,,Mansharamani NG; Koziel H; Garland R
73,"Heyrosa MG, Melniczek DM, Rovito P. Percutaneous tracheostomy: a safe procedure in the © Journal of Thoracic Disease. All rights reserved. J Thorac Dis. 2006;13(8). doi:10.21037/jtd-19-4121morbidlyobese.",Percutaneous tracheostomy: a safe procedure in the © Journal of Thoracic Disease. All rights reserved,J Thorac Dis,2006,13,8,,10.21037/jtd-19-4121morbidlyobese,,Heyrosa MG; Melniczek DM; Rovito P
74,"Aldawood AS, Arabi YM, Haddad S. Safety of percutaneous tracheostomy in obese critically ill patients: a prospective cohort study. Anaesth Intensive Care. 2008;36.",Safety of percutaneous tracheostomy in obese critically ill patients: a prospective cohort study,Anaesth Intensive Care,2008,36,,,,,Aldawood AS; Arabi YM; Haddad S
75,"Pilarczyk K, Dusse F, Marggraf G. Percutaneous dilatational tracheostomy in patients with severe coagulopathy or thrombocytopenia. Crit Care. 2014;18:326.",Percutaneous dilatational tracheostomy in patients with severe coagulopathy or thrombocytopenia,Crit Care,2014,18,,326,,,Pilarczyk K; Dusse F; Marggraf G
76,"Pilarczyk K, Haake N, Dudasova M. Risk factors for bleeding complications after percutaneous dilatational tracheostomy: a ten-year institutional analysis. Anaesth Intensive Care. 2016;44.",Risk factors for bleeding complications after percutaneous dilatational tracheostomy: a ten-year institutional analysis,Anaesth Intensive Care,2016,44,,,,,Pilarczyk K; Haake N; Dudasova M
77,"Beiderlinden M, Eikermann M, Lehmann N. Risk factors associated with bleeding during and after percutaneous dilational tracheostomy. Anaesthesia. 2007;62.",Risk factors associated with bleeding during and after percutaneous dilational tracheostomy,Anaesthesia,2007,62,,,,,Beiderlinden M; Eikermann M; Lehmann N
78,"Kluge S, Meyer A, Kühnelt P. Percutaneous tracheostomy is safe in patients with severe thrombocytopenia. Chest. 2004;126.",Percutaneous tracheostomy is safe in patients with severe thrombocytopenia,Chest,2004,126,,,,,Kluge S; Meyer A; Kühnelt P
79,"Ernst A, Eberhardt R, Wahidi M. Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans. Chest. 2006;129.",Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans,Chest,2006,129,,,,,Ernst A; Eberhardt R; Wahidi M
80,"Abouzgheib W, Meena N, Jagtap P. Percutaneous dilational tracheostomy in patients receiving antiplatelet therapy: is it safe?. J Bronchology Interv Pulmonol. 2013;20.",Percutaneous dilational tracheostomy in patients receiving antiplatelet therapy: is it safe?,J Bronchology Interv Pulmonol,2013,20,,,,,Abouzgheib W; Meena N; Jagtap P
81,"Auzinger G, 'callaghan O, Bernal GP, W. Percutaneous tracheostomy in patients with severe liver disease and a high incidence of refractory coagulopathy: a prospective trial. Crit Care. 2007;11:R110.",Percutaneous tracheostomy in patients with severe liver disease and a high incidence of refractory coagulopathy: a prospective trial,Crit Care,2007,11,,R110,,,Auzinger G; 'callaghan O; Bernal GP; W
82,"Hedges SJ, Dehoney SB, Hooper JS. Evidence-based treatment recommendations for uremic bleeding. Nat Clin Pract Nephrol. 2007;3.",Evidence-based treatment recommendations for uremic bleeding,Nat Clin Pract Nephrol,2007,3,,,,,Hedges SJ; Dehoney SB; Hooper JS
83,"Kim JH, Baek CH, Min JY. Desmopressin improves platelet function in uremic patients taking antiplatelet agents who require emergent invasive procedures. Ann Hematol. 2015;94.",Desmopressin improves platelet function in uremic patients taking antiplatelet agents who require emergent invasive procedures,Ann Hematol,2015,94,,,,,Kim JH; Baek CH; Min JY
84,"Yeo WX, Phua CQ, Lo S. Is routine chest X-ray after surgical and percutaneous tracheostomy necessary in adults: a systemic review of the current literature. Clin Otolaryngol. 2014;39.",Is routine chest X-ray after surgical and percutaneous tracheostomy necessary in adults: a systemic review of the current literature,Clin Otolaryngol,2014,39,,,,,Yeo WX; Phua CQ; Lo S
85,"O'toole TR, Jacobs N, Hondorp B. Prevention of Tracheostomy-Related Hospital-Acquired Pressure Ulcers. Otolaryngol Head Neck Surg. 2017;156.",Prevention of Tracheostomy-Related Hospital-Acquired Pressure Ulcers,Otolaryngol Head Neck Surg,2017,156,,,,,O'toole TR; Jacobs N; Hondorp B
86,"Dixon LM, Mascioli S, Mixell JH. Reducing Tracheostomy-Related Pressure Injuries. AACN Adv Crit Care. 2018;29.",Reducing Tracheostomy-Related Pressure Injuries,AACN Adv Crit Care,2018,29,,,,,Dixon LM; Mascioli S; Mixell JH
87,"Bedwell JR, Pandian V, Roberson DW. Multidisciplinary Tracheostomy Care: How Collaboratives Drive Quality Improvement. Otolaryngol Clin North Am. 2019;52.",Multidisciplinary Tracheostomy Care: How Collaboratives Drive Quality Improvement,Otolaryngol Clin North Am,2019,52,,,,,Bedwell JR; Pandian V; Roberson DW
88,"Twose P, Jones G, Lowes J. Enhancing care of patients requiring a tracheostomy: A sustained quality improvement project. J Crit Care. 2019;54.",Enhancing care of patients requiring a tracheostomy: A sustained quality improvement project,J Crit Care,2019,54,,,,,Twose P; Jones G; Lowes J
89,"Mah JW, Staff II, Fisher SR. Improving Decannulation and Swallowing Function: A Comprehensive, Multidisciplinary Approach to Post-Tracheostomy Care. Respir Care. 2017;62.","Improving Decannulation and Swallowing Function: A Comprehensive, Multidisciplinary Approach to Post-Tracheostomy Care",Respir Care,2017,62,,,,,Mah JW; Staff II; Fisher SR
90,"Speed L, Harding KE. Tracheostomy teams reduce total tracheostomy time and increase speaking valve use: a systematic review and meta-analysis. J Crit Care. 2013;28.",Tracheostomy teams reduce total tracheostomy time and increase speaking valve use: a systematic review and meta-analysis,J Crit Care,2013,28,,,,,Speed L; Harding KE
