#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Agrawal A, Chaddha U, Kaul V. Multidisciplinary management of chylothorax. Chest. 2022;162.",Multidisciplinary management of chylothorax,Chest,2022,162,,,,,Agrawal A; Chaddha U; Kaul V
49, ACR Appropriateness Criteria® chylothorax treatment planning. J Am Coll Radiol. 2017;14.,ACR Appropriateness Criteria® chylothorax treatment planning,J Am Coll Radiol,2017,14,,,,,
50,"Matsumoto T, Yamagami T, Kato T. The effectiveness of lymphangiography as a treatment method for various chyle leakages. Br J Radiol. 2009;82.",The effectiveness of lymphangiography as a treatment method for various chyle leakages,Br J Radiol,2009,82,,,,,Matsumoto T; Yamagami T; Kato T
51,"Gurevich A, Hur S, Singhal S. Nontraumatic chylothorax and chylopericardium: diagnosis and treatment using an algorithmic approach based on novel lymphatic imaging. Ann Am Thorac Soc. 2022;19.",Nontraumatic chylothorax and chylopericardium: diagnosis and treatment using an algorithmic approach based on novel lymphatic imaging,Ann Am Thorac Soc,2022,19,,,,,Gurevich A; Hur S; Singhal S
52,"Mares DC, Mathur PN. Medical thoracoscopic talc pleurodesis for chylothorax due to lymphoma: a case series. Chest. 1998;114.",Medical thoracoscopic talc pleurodesis for chylothorax due to lymphoma: a case series,Chest,1998,114,,,,,Mares DC; Mathur PN
53,"Zhang K, Li C, Zhang M. Treatment of chylothorax complicating pulmonary resection with hypertonic glucose pleurodesis. J Cardiothorac Surg. 2021;16:149.",Treatment of chylothorax complicating pulmonary resection with hypertonic glucose pleurodesis,J Cardiothorac Surg,2021,16,,149,,,Zhang K; Li C; Zhang M
54,"Ng BH, Abeed N, NN, Hamid A, MF. Resolution of refractory chylothorax with a combination of talc pleurodesis and CPAP. Respirol Case Rep. 2020;8:e00624.",Resolution of refractory chylothorax with a combination of talc pleurodesis and CPAP,Respirol Case Rep,2020,8,,e00624,,,Ng BH; Abeed N; NN; Hamid A; MF
55,"Feller-Kopman DJ, Reddy CB, Decamp MM. Management of malignant pleural effusions. An official ATS/ STS/STR clinical practice guideline. Am J Respir Crit Care Med. 2018;198.",Management of malignant pleural effusions. An official ATS/ STS/STR clinical practice guideline,Am J Respir Crit Care Med,2018,198,,,,,Feller-Kopman DJ; Reddy CB; Decamp MM
56,"Bhatnagar R, Piotrowska H, Laskawiec-Szkonter M. Effect of thoracoscopic talc poudrage vs talc slurry via chest tube on pleurodesis failure rate among patients with malignant pleural effusions: a randomized clinical trial. JAMA. 2020;323.",Effect of thoracoscopic talc poudrage vs talc slurry via chest tube on pleurodesis failure rate among patients with malignant pleural effusions: a randomized clinical trial,JAMA,2020,323,,,,,Bhatnagar R; Piotrowska H; Laskawiec-Szkonter M
57,"Little AG, Kadowaki MH, Ferguson MK. Pleuro-peritoneal shunting. Alternative therapy for pleural effusions. Ann Surg. 1988;208.",Pleuro-peritoneal shunting. Alternative therapy for pleural effusions,Ann Surg,1988,208,,,,,Little AG; Kadowaki MH; Ferguson MK
58,"Gupta D, Ross K, Piacentino V. Use of LeVeen pleuroperitoneal shunt for refractory high-volume chylothorax. Ann Thorac Surg. 2004;78.",Use of LeVeen pleuroperitoneal shunt for refractory high-volume chylothorax,Ann Thorac Surg,2004,78,,,,,Gupta D; Ross K; Piacentino V
59,"Artemiou O, Marta G, Klepetko W. Pleurovenous shunting in the treatment of nonmalignant pleural effusion. Ann Thorac Surg. 2003;76.",Pleurovenous shunting in the treatment of nonmalignant pleural effusion,Ann Thorac Surg,2003,76,,,,,Artemiou O; Marta G; Klepetko W
60,"Tanaka E, Matsumoto K, Shindo T. Implantation of a pleurovenous shunt for massive chylothorax in a patient with yellow nail syndrome. Thorax. 2005;60.",Implantation of a pleurovenous shunt for massive chylothorax in a patient with yellow nail syndrome,Thorax,2005,60,,,,,Tanaka E; Matsumoto K; Shindo T
61,"Fremont RD, Milstone AP, Light RW. Chylothoraces after lung transplantation for lymphangioleiomyomatosis: review of the literature and utilization of a pleurovenous shunt. J Heart Lung Transplant. 2007;26.",Chylothoraces after lung transplantation for lymphangioleiomyomatosis: review of the literature and utilization of a pleurovenous shunt,J Heart Lung Transplant,2007,26,,,,,Fremont RD; Milstone AP; Light RW
62,"Foroulis CN, Desimonas NA. Massive pneumoperitoneum: a late complication of the Denver pleuroperitoneal shunt. Ann Thorac Surg. 2005;80:13.",Massive pneumoperitoneum: a late complication of the Denver pleuroperitoneal shunt,Ann Thorac Surg,2005,80,,13,,,Foroulis CN; Desimonas NA
63,Carefusion. PleurX™ Pleural Catheter Kit Instructions for Use. PleurX™ Pleural Catheter Kit Instructions for Use. 2015;None.,PleurX™ Pleural Catheter Kit Instructions for Use,PleurX™ Pleural Catheter Kit Instructions for Use,2015,,,,,,Carefusion
64, Indwelling Pleural Catheter (IPC) Insertion Kit Instructions for Use. Indwelling Pleural Catheter (IPC) Insertion Kit Instructions for Use. 2023;None.,Indwelling Pleural Catheter (IPC) Insertion Kit Instructions for Use,Indwelling Pleural Catheter (IPC) Insertion Kit Instructions for Use,2023,,,,,,
65,"Mohamed M, Tan J, Kalpurath KK. Non-Hodgkin lymphoma manifesting as massive malignant chylothorax: successful management with chemotherapy and ambulatory drainages using indwelling pleural catheter. Intern Med J. 2015;45.",Non-Hodgkin lymphoma manifesting as massive malignant chylothorax: successful management with chemotherapy and ambulatory drainages using indwelling pleural catheter,Intern Med J,2015,45,,,,,Mohamed M; Tan J; Kalpurath KK
66,"Jimenez CA, Mhatre AD, Martinez CH. Use of an indwelling pleural catheter for the management of recurrent chylothorax in patients with cancer. Chest. 2007;132. doi:10.1183/13993003.00470-2024.",Use of an indwelling pleural catheter for the management of recurrent chylothorax in patients with cancer,Chest,2007,132,,,10.1183/13993003.00470-2024,,Jimenez CA; Mhatre AD; Martinez CH
