#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95.,Pleural effusions,Med Clin North Am,2011,95,,,,,Light RW
14,"Schulze M, Boehle AS, Kurdow R. Effective treatment of malignant pleural effusion by minimal invasive thoracic surgery: thoracoscopic talc pleurodesis and pleuroperitoneal shunts in 101 patients. Thorac Surg. 2001;71:1809.",Effective treatment of malignant pleural effusion by minimal invasive thoracic surgery: thoracoscopic talc pleurodesis and pleuroperitoneal shunts in 101 patients,Thorac Surg,2001,71,,1809,,,Schulze M; Boehle AS; Kurdow R
15,"Van Den Toorn LM, Schaap E, Surmount VF. Management of recurrent malignant pleural effusions with a chronic indwelling pleural catheter. Lung Cancer. 2005;50.",Management of recurrent malignant pleural effusions with a chronic indwelling pleural catheter,Lung Cancer,2005,50,,,,,Van Den Toorn LM; Schaap E; Surmount VF
16,"Qureshi RA, Collinson SL, Powell RJ. Management of malignant pleural effusion associated with trapped lung syndrome. Asian Cardiovasc Thorac Ann. 2008;16.",Management of malignant pleural effusion associated with trapped lung syndrome,Asian Cardiovasc Thorac Ann,2008,16,,,,,Qureshi RA; Collinson SL; Powell RJ
17,"Fortin M, Tremblay A. Pleural controversies: indwelling pleural catheter vs. pleurodesis for malignant pleural effusions. J Thorac Dis. 2015;7.",Pleural controversies: indwelling pleural catheter vs. pleurodesis for malignant pleural effusions,J Thorac Dis,2015,7,,,,,Fortin M; Tremblay A
18,"Hallifax RJ, Goldacre R, Landray MJ. Trends in the incidence and recurrence of inpatient-treated spontaneous pneumothorax, 1968-2016. JAMA. 2018;320.","Trends in the incidence and recurrence of inpatient-treated spontaneous pneumothorax, 1968-2016",JAMA,2018,320,,,,,Hallifax RJ; Goldacre R; Landray MJ
19,"Bense L, Eklund G, Wiman LG. Smoking and the increased risk of contracting spontaneous pneumothorax. Chest. 1987;92.",Smoking and the increased risk of contracting spontaneous pneumothorax,Chest,1987,92,,,,,Bense L; Eklund G; Wiman LG
20,"Gupta D, Hansell A, Nichols T. Epidemiology of pneumothorax in England. Thorax. 2000;55.",Epidemiology of pneumothorax in England,Thorax,2000,55,,,,,Gupta D; Hansell A; Nichols T
21,"Bobbio A, Dechartres A, Bouam S. Epidemiology of spontaneous pneumothorax: gender related differences. Thorax. 2015;70.",Epidemiology of spontaneous pneumothorax: gender related differences,Thorax,2015,70,,,,,Bobbio A; Dechartres A; Bouam S
22,"Cardillo G, Facciolo F, Giunti R. Videothoracoscopic treatment of primary spontaneous pneumothorax: a 6-year experience. Ann Thorac Surg. 2000;69.",Videothoracoscopic treatment of primary spontaneous pneumothorax: a 6-year experience,Ann Thorac Surg,2000,69,,,,,Cardillo G; Facciolo F; Giunti R
23,"Shaikhrezai K, Thompson AI, Parkin C. Video-assisted thoracoscopic surgery management of spontaneous pneumothoraxlong-term results. Eur J Cardiothorac Surg. 2011;40.",Video-assisted thoracoscopic surgery management of spontaneous pneumothoraxlong-term results,Eur J Cardiothorac Surg,2011,40,,,,,Shaikhrezai K; Thompson AI; Parkin C
24,Spengler L. Zur chirurgie des pneumothorax. Beitr Klin Chir. 1906;49:80.,Zur chirurgie des pneumothorax,Beitr Klin Chir,1906,49,,80,,,Spengler L
25,Maxwell J. The production of pleural adhesions by kaolin injection. Thorax. 1954;9.,The production of pleural adhesions by kaolin injection,Thorax,1954,9,,,,,Maxwell J
26,Bethune N. Pleural poudrage: new technique for the deliberate production of pleural adhesion as preliminary to lobectomy. J Thorac Surg. 1935;4.,Pleural poudrage: new technique for the deliberate production of pleural adhesion as preliminary to lobectomy,J Thorac Surg,1935,4,,,,,Bethune N
27,Chambers JS. Palliative treatment of neoplastic pleural effusion with intercostal intubation and talc instillation. West J Surg. 1958;66.,Palliative treatment of neoplastic pleural effusion with intercostal intubation and talc instillation,West J Surg,1958,66,,,,,Chambers JS
28,"Genofre EH, Marchi E, Vargas FS. Inflammation and clinical repercussions of pleurodesis induced by intrapleural talc administration. Clinics. 2007;62.",Inflammation and clinical repercussions of pleurodesis induced by intrapleural talc administration,Clinics,2007,62,,,,,Genofre EH; Marchi E; Vargas FS
29,"Tyson MD, Crandall WB. The surgical treatment of recurrent idiopathic spontaneous pneumothorax. J Thorac Surg. 1941;10.",The surgical treatment of recurrent idiopathic spontaneous pneumothorax,J Thorac Surg,1941,10,,,,,Tyson MD; Crandall WB
30,"Tabatabaei SA, Hashemi SM, Kamali A. Silver nitrate versus tetracycline in pleurodesis for malignant pleural effusions; a prospective randomized trial. Adv Biomed Res. 2015;4:178.",Silver nitrate versus tetracycline in pleurodesis for malignant pleural effusions; a prospective randomized trial,Adv Biomed Res,2015,4,,178,,,Tabatabaei SA; Hashemi SM; Kamali A
31,"Balassoulis G, Sichletidis L, Spyratos D. Efficacy and safety of erythromycin as sclerosing agent in patients with recurrent malignant pleural effusion. Am J Clin Oncol. 2008;31.",Efficacy and safety of erythromycin as sclerosing agent in patients with recurrent malignant pleural effusion,Am J Clin Oncol,2008,31,,,,,Balassoulis G; Sichletidis L; Spyratos D
32,"Chen JS, Chan WK, Yang PC. Intrapleural minocycline pleurodesis for the treatment of primary spontaneous pneumothorax. Curr Opin Pulm Med. 2014;20.",Intrapleural minocycline pleurodesis for the treatment of primary spontaneous pneumothorax,Curr Opin Pulm Med,2014,20,,,,,Chen JS; Chan WK; Yang PC
33,"Salomaa ER, Pulkki K, Helenius H. Pleurodesis with doxycycline or Corynebacterium parvum in malignant pleural effusion. Acta Oncol. 1995;34.",Pleurodesis with doxycycline or Corynebacterium parvum in malignant pleural effusion,Acta Oncol,1995,34,,,,,Salomaa ER; Pulkki K; Helenius H
34,"Bucknor A, Harrison-Phipps K, Davies T. Is silver nitrate an effective means of pleurodesis?. Interact Cardiovasc Thorac Surg. 2015;21.",Is silver nitrate an effective means of pleurodesis?,Interact Cardiovasc Thorac Surg,2015,21,,,,,Bucknor A; Harrison-Phipps K; Davies T
35,"Caglayan B, Torun E, Turan D. Efficacy of iodopovidone pleurodesis and comparison of small-bore catheter versus large-bore chest tube. Ann Surg Oncol. 2008;15.",Efficacy of iodopovidone pleurodesis and comparison of small-bore catheter versus large-bore chest tube,Ann Surg Oncol,2008,15,,,,,Caglayan B; Torun E; Turan D
36,"Luh KT, Yang PC, Kuo SH. Comparison of OK-432 and mitomycin C pleurodesis for malignant pleural effusion caused by lung cancer. A randomized trial. Cancer. 1992;69.",Comparison of OK-432 and mitomycin C pleurodesis for malignant pleural effusion caused by lung cancer. A randomized trial,Cancer,1992,69,,,,,Luh KT; Yang PC; Kuo SH
37,"Lynch T, Kalish L, Mentzer S. Optimal therapy of malignant pleural effusions. Int J Oncol. 1996;8.",Optimal therapy of malignant pleural effusions,Int J Oncol,1996,8,,,,,Lynch T; Kalish L; Mentzer S
38,"Marchi E, Vargas FS, Teixeira LR. Comparison of nitrogen mustard, cytarabine and dacarbazine as pleural sclerosing agents in rabbits. Eur Respir J. 1997;10.","Comparison of nitrogen mustard, cytarabine and dacarbazine as pleural sclerosing agents in rabbits",Eur Respir J,1997,10,,,,,Marchi E; Vargas FS; Teixeira LR
39,"Kishi K, Homma S, Sakamoto S. Efficacious pleurodesis with OK-432 and doxorubicin against malignant pleural effusions. Eur Respir J. 2004;24.",Efficacious pleurodesis with OK-432 and doxorubicin against malignant pleural effusions,Eur Respir J,2004,24,,,,,Kishi K; Homma S; Sakamoto S
40,"Jones JM, Olman EA, Egorin MJ. A case report and description of the pharmacokinetic behavior of intrapleurally instilled etoposide. Cancer Chemother Pharmacol. 1985;14.",A case report and description of the pharmacokinetic behavior of intrapleurally instilled etoposide,Cancer Chemother Pharmacol,1985,14,,,,,Jones JM; Olman EA; Egorin MJ
41,"Barbetakis N, Antoniadis T, Tsilikas C. Results of chemical pleurodesis with mitoxantrone in malignant pleural effusion from breast cancer. World J Surg Oncol. 2004;2:16.",Results of chemical pleurodesis with mitoxantrone in malignant pleural effusion from breast cancer,World J Surg Oncol,2004,2,,16,,,Barbetakis N; Antoniadis T; Tsilikas C
42,"Mark JB, Goldenberg IS, Montague AC. Intrapleural mechlorethamine hydrochloride therapy for malignant pleural effusion. JAMA. 1964;187.",Intrapleural mechlorethamine hydrochloride therapy for malignant pleural effusion,JAMA,1964,187,,,,,Mark JB; Goldenberg IS; Montague AC
43,Botsford TW. Experiences with radioactive colloidal gold in the treatment of pleural effusion caused by metastatic cancer of the breast. New Engl J Med. 1964;270.,Experiences with radioactive colloidal gold in the treatment of pleural effusion caused by metastatic cancer of the breast,New Engl J Med,1964,270,,,,,Botsford TW
44,"Hickman JA, Jones MC. Treatment of neoplastic pleural effusions with local instillations of quinacrine (mepacrine) hydrochloride. Thorax. 1970;25.",Treatment of neoplastic pleural effusions with local instillations of quinacrine (mepacrine) hydrochloride,Thorax,1970,25,,,,,Hickman JA; Jones MC
45,"Light RW, Cheng DS, Lee G, YC. A single intrapleural injection of transforming growth factor beta-2 produces an excellent pleurodesis in rabbits. Am J Respir Crit Care Med. 2000;162.",A single intrapleural injection of transforming growth factor beta-2 produces an excellent pleurodesis in rabbits,Am J Respir Crit Care Med,2000,162,,,,,Light RW; Cheng DS; Lee G; YC
46,"Keeratichananont W, Limthon T, Keeratichananont S. Efficacy and safety profile of autologous blood versus tetracycline pleurodesis for malignant pleural effusion. Ther Adv Respir Dis. 2015;9.",Efficacy and safety profile of autologous blood versus tetracycline pleurodesis for malignant pleural effusion,Ther Adv Respir Dis,2015,9,,,,,Keeratichananont W; Limthon T; Keeratichananont S
47,"Rahman NM, Davies HE, Salzberg M. Use of lipoteichoic acid-T for pleurodesis in malignant pleural effusion: a phase I toxicity and doseescalation study. Lancet Oncol. 2008;9.",Use of lipoteichoic acid-T for pleurodesis in malignant pleural effusion: a phase I toxicity and doseescalation study,Lancet Oncol,2008,9,,,,,Rahman NM; Davies HE; Salzberg M
48,"Felletti R, Ravazzoni C. Intrapleural Corynebacterium parvum for malignant pleural effusions. Thorax. 1983;38.",Intrapleural Corynebacterium parvum for malignant pleural effusions,Thorax,1983,38,,,,,Felletti R; Ravazzoni C
49,"Antony VB, Nasreen N, Mohammed KA. Talc pleurodesis: basic fibroblast growth factor mediates pleural fibrosis. Chest. 2004;126.",Talc pleurodesis: basic fibroblast growth factor mediates pleural fibrosis,Chest,2004,126,,,,,Antony VB; Nasreen N; Mohammed KA
50,"Rodriguez-Panadero F, Montes-Worboys A. Mechanisms of pleurodesis. Respiration. 2012;83.",Mechanisms of pleurodesis,Respiration,2012,83,,,,,Rodriguez-Panadero F; Montes-Worboys A
51,"Agarwal R, Khan A, Aggarwal AN. Efficacy & safety of iodopovidone pleurodesis: a systematic review & meta-analysis. Indian J Med Res. 2012;135.",Efficacy & safety of iodopovidone pleurodesis: a systematic review & meta-analysis,Indian J Med Res,2012,135,,,,,Agarwal R; Khan A; Aggarwal AN
52,"Guo Y, Tang K, Bilaceroglu S. Iodopovidone is as effective as doxycycline in producing pleurodesis in rabbits. Respirology. 2010;15.",Iodopovidone is as effective as doxycycline in producing pleurodesis in rabbits,Respirology,2010,15,,,,,Guo Y; Tang K; Bilaceroglu S
53,"Teixeira LR, Vargas FS, Puka J. Effectiveness and safety of iodopovidone in an experimental pleurodesis model. Clinics. 2013;68.",Effectiveness and safety of iodopovidone in an experimental pleurodesis model,Clinics,2013,68,,,,,Teixeira LR; Vargas FS; Puka J
54,Tomashefski JF. Dail and Hammar's pulmonary pathology volume I: nonneoplastic lung disease. Dail and Hammar's pulmonary pathology volume I: nonneoplastic lung disease. 2008;None.,Dail and Hammar's pulmonary pathology volume I: nonneoplastic lung disease,Dail and Hammar's pulmonary pathology volume I: nonneoplastic lung disease,2008,,,,,,Tomashefski JF
55,"Kaya O, Bir S, Atalay F, H. Effect of diclofenac on experimental pleurodesis induced by tetracycline in rabbits. J Investig Med. 2005;53.",Effect of diclofenac on experimental pleurodesis induced by tetracycline in rabbits,J Investig Med,2005,53,,,,,Kaya O; Bir S; Atalay F; H
56,"Rahman NM, Pepperell J, Rehal S. Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial. JAMA. 2015;314.",Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial,JAMA,2015,314,,,,,Rahman NM; Pepperell J; Rehal S
57,"Xie C, Teixeira LR, Mcgovern JP. Systemic corticosteroids decrease the effectiveness of talc pleurodesis. Am J Crit Care Med. 1998;157.",Systemic corticosteroids decrease the effectiveness of talc pleurodesis,Am J Crit Care Med,1998,157,,,,,Xie C; Teixeira LR; Mcgovern JP
58,"Teixeira LR, Wu W, Chang DS. The effect of corticosteroids on pleurodesis induced by doxycycline in rabbits. Chest. 2002;121.",The effect of corticosteroids on pleurodesis induced by doxycycline in rabbits,Chest,2002,121,,,,,Teixeira LR; Wu W; Chang DS
59,"Lee G, Devin YC, Teixeira CJ, LR. Transforming growth factor beta2 induced pleurodesis is not inhibited by corticosteroids. Thorax. 2001;56.",Transforming growth factor beta2 induced pleurodesis is not inhibited by corticosteroids,Thorax,2001,56,,,,,Lee G; Devin YC; Teixeira CJ; LR
60,"Rodriguez-Panadero F, Vb A. Pleurodesis. State of the art. Eur Respir J. 1997;10.",Pleurodesis. State of the art,Eur Respir J,1997,10,,,,,Rodriguez-Panadero F; Vb A
61,"Schwarz Y, Star A. Role of talc modulation on cytokine activation in cancer patients undergoing pleurodesis. Pulm Med. 2012;2012:806183.",Role of talc modulation on cytokine activation in cancer patients undergoing pleurodesis,Pulm Med,2012,2012,,806183,,,Schwarz Y; Star A
62,"Antony VB, Godbey SW, Kunkel SL. Recruitment of inflammatory cells to the pleural space. Chemotactic cytokines, IL-8, and monocyte chemotactic peptide-1 in human pleural fluids. J Immunol. 1993;151.","Recruitment of inflammatory cells to the pleural space. Chemotactic cytokines, IL-8, and monocyte chemotactic peptide-1 in human pleural fluids",J Immunol,1993,151,,,,,Antony VB; Godbey SW; Kunkel SL
63,"Light RW, Lee G, YC. Textbook of pleural diseases. Textbook of pleural diseases. 2003;None.",Textbook of pleural diseases,Textbook of pleural diseases,2003,,,,,,Light RW; Lee G; YC
64,"Marchi E, Vargas FS, Acencio MM. Evidence that mesothelial cells regulate the acute inflammatory response in talc pleurodesis. Eur Respir J. 2006;28.",Evidence that mesothelial cells regulate the acute inflammatory response in talc pleurodesis,Eur Respir J,2006,28,,,,,Marchi E; Vargas FS; Acencio MM
65,"Psathakis K, Calderón-Osuna E, Romero-Romero B. The neutrophilic and fibrinolytic response to talc can predict the outcome of pleurodesis. Eur Respir J. 2006;27.",The neutrophilic and fibrinolytic response to talc can predict the outcome of pleurodesis,Eur Respir J,2006,27,,,,,Psathakis K; Calderón-Osuna E; Romero-Romero B
66,"Van Den Heuvel MM, Smit HJ, Barbierato SB. Talc-induced inflammation in the pleural cavity. Eur Respir J. 1998;12.",Talc-induced inflammation in the pleural cavity,Eur Respir J,1998,12,,,,,Van Den Heuvel MM; Smit HJ; Barbierato SB
67,"Broaddus VC, Hébert CA, Vitangcol RV. Interleukin-8 is a major neutrophil chemotactic factor in pleural liquid of patients with empyema. Am Rev Respir Dis. 1992;146.",Interleukin-8 is a major neutrophil chemotactic factor in pleural liquid of patients with empyema,Am Rev Respir Dis,1992,146,,,,,Broaddus VC; Hébert CA; Vitangcol RV
68,"Cheng DS, Rogers J, Wheeler A. The effects of intrapleural polyclonal anti-tumor necrosis factor alpha (TNF alpha) fab fragments on pleurodesis in rabbits. Lung. 2000;178.",The effects of intrapleural polyclonal anti-tumor necrosis factor alpha (TNF alpha) fab fragments on pleurodesis in rabbits,Lung,2000,178,,,,,Cheng DS; Rogers J; Wheeler A
69,"Lee G, Lane YC, Zoia KB, O. Transforming growth factor-beta induces collagen synthesis without inducing IL-8 production in mesothelial cells. Eur Respir J. 2003;22.",Transforming growth factor-beta induces collagen synthesis without inducing IL-8 production in mesothelial cells,Eur Respir J,2003,22,,,,,Lee G; Lane YC; Zoia KB; O
70,"Rodriguez-Panadero F, Lopez MJ. Low glucose and pH levels in malignant pleural effusions: diagnostic significance and prognostic value in respect to pleurodesis. Am Rev Respir Dis. 1989;139.",Low glucose and pH levels in malignant pleural effusions: diagnostic significance and prognostic value in respect to pleurodesis,Am Rev Respir Dis,1989,139,,,,,Rodriguez-Panadero F; Lopez MJ
71,"Aelony Y, Yao JF, King RR. Prognostic value of pleural fluid pH in malignant epithelial mesothelioma after talc poudrage. Respiration. 2006;73.",Prognostic value of pleural fluid pH in malignant epithelial mesothelioma after talc poudrage,Respiration,2006,73,,,,,Aelony Y; Yao JF; King RR
72,Light RW. Pleural Diseases. Pleural Diseases. 2007;None:50.,Pleural Diseases,Pleural Diseases,2007,,,50,,,Light RW
73,"Idell S, Zwieb C, Kumar A. Pathways of fibrin turnover of human pleural mesothelial cells in vitro. Am J Respir Cell Mol Biol. 1992;7.",Pathways of fibrin turnover of human pleural mesothelial cells in vitro,Am J Respir Cell Mol Biol,1992,7,,,,,Idell S; Zwieb C; Kumar A
74,"Rodriguez-Panadero F, Segado A, Juan M, J. Failure of talc pleurodesis is associated with increased pleural fibrinolysis. Am J Respir Crit Care Med. 1995;151.",Failure of talc pleurodesis is associated with increased pleural fibrinolysis,Am J Respir Crit Care Med,1995,151,,,,,Rodriguez-Panadero F; Segado A; Juan M; J
75,"Karandashova S, Florova G, Azghani AO. Intrapleural adenoviral delivery of human plasminogen activator inhibitor-1 exacerbates tetracycline-induced pleural injury in rabbits. Am J Respir Cell Mol Biol. 2013;48.",Intrapleural adenoviral delivery of human plasminogen activator inhibitor-1 exacerbates tetracycline-induced pleural injury in rabbits,Am J Respir Cell Mol Biol,2013,48,,,,,Karandashova S; Florova G; Azghani AO
76,"Tucker TA, Jeffers A, Alvarez A, A. Plasminogen activator inhibitor-1 deficiency augments visceral mesothelial organization, intrapleural coagulation, and lung restriction in mice with carbon black/bleomycininduced pleural injury. Am J Respir Cell Mol Biol. 2014;50.","Plasminogen activator inhibitor-1 deficiency augments visceral mesothelial organization, intrapleural coagulation, and lung restriction in mice with carbon black/bleomycininduced pleural injury",Am J Respir Cell Mol Biol,2014,50,,,,,Tucker TA; Jeffers A; Alvarez A; A
77,"Agrenius V, Chmielewska J, Widström O. Pleural fibrinolytic activity is decreased in inflammation as demonstrated in quinacrine pleurodesis treatment of malignant pleural effusion. Am Rev Respir Dis. 1989;140.",Pleural fibrinolytic activity is decreased in inflammation as demonstrated in quinacrine pleurodesis treatment of malignant pleural effusion,Am Rev Respir Dis,1989,140,,,,,Agrenius V; Chmielewska J; Widström O
78,"Levi M, Van Der Poll T. Inflammation and coagulation. Critical Care Med. 2010;38.",Inflammation and coagulation,Critical Care Med,2010,38,,,,,Levi M; Van Der Poll T
79,"Rodriguez-Panadero F, Segado A, Torres I. Thoracoscopy and talc poudrage induce an activation of the systemic coagulation system. Am J Respir Crit Care Med. 1995;151:A357.",Thoracoscopy and talc poudrage induce an activation of the systemic coagulation system,Am J Respir Crit Care Med,1995,151,,A357,,,Rodriguez-Panadero F; Segado A; Torres I
80,"Montes-Worboys A, Rodriguez-Portal JA, Arellano-Orden E. Interleukin-8 activates coagulation and correlates with survival after talc pleurodesis. Eur Res J. 2010;35.",Interleukin-8 activates coagulation and correlates with survival after talc pleurodesis,Eur Res J,2010,35,,,,,Montes-Worboys A; Rodriguez-Portal JA; Arellano-Orden E
81,"Kisseleva T, Brenner DA. Mechanisms of fibrogenesis. Exp Biol Med. 2008;233.",Mechanisms of fibrogenesis,Exp Biol Med,2008,233,,,,,Kisseleva T; Brenner DA
82,"Karsdal MA, Jensen M-, Genovese T, F. Novel insights into the function and dynamics of extracellular matrix in liver fibrosis. Am J Physiol Gastrointest Liver Physiol. 2015;308.",Novel insights into the function and dynamics of extracellular matrix in liver fibrosis,Am J Physiol Gastrointest Liver Physiol,2015,308,,,,,Karsdal MA; Jensen M-; Genovese T; F
83,"Hurewitz AN, Lidonicci K, Wu CL. Histologic changes of doxycycline pleurodesis in rabbits. Effect of concentration and pH. Chest. 1994;106.",Histologic changes of doxycycline pleurodesis in rabbits. Effect of concentration and pH,Chest,1994,106,,,,,Hurewitz AN; Lidonicci K; Wu CL
84,"Ross R, Raines EW, Bowen-Pope DF. The biology of platelet-derived growth factor. Cell. 1986;46.",The biology of platelet-derived growth factor,Cell,1986,46,,,,,Ross R; Raines EW; Bowen-Pope DF
85,"Ikeda U, Ikeda M, Oohara T. Interleukin 6 stimulates growth of vascular smooth muscle cells in a PDGF-dependent manner. Am J Phys. 1991;260.",Interleukin 6 stimulates growth of vascular smooth muscle cells in a PDGF-dependent manner,Am J Phys,1991,260,,,,,Ikeda U; Ikeda M; Oohara T
86,"Pierce GF, Mustoe TA, Altrock BW. Role of platelet-derived growth factor in wound healing. J Cell Biochem. 1991;45.",Role of platelet-derived growth factor in wound healing,J Cell Biochem,1991,45,,,,,Pierce GF; Mustoe TA; Altrock BW
87,"Qu Z, Huang X, Ahmadi P. Synthesis of basic fibroblast growth factor by murine mast cells. Regulation by transforming growth factor beta, tumor necrosis factor alpha, and stem cell factor. Int Arch Allergy Immunol. 1998;115.","Synthesis of basic fibroblast growth factor by murine mast cells. Regulation by transforming growth factor beta, tumor necrosis factor alpha, and stem cell factor",Int Arch Allergy Immunol,1998,115,,,,,Qu Z; Huang X; Ahmadi P
88,"Zhu ZX, Sun CC, Zhu T, Y. Hedgehog signaling contributes to basic fibroblast growth factor-regulated fibroblast migration. Exp Cell Res. 2017;355.",Hedgehog signaling contributes to basic fibroblast growth factor-regulated fibroblast migration,Exp Cell Res,2017,355,,,,,Zhu ZX; Sun CC; Zhu T; Y
89,"Nakamura T. Hepatocyte growth factor as mitogen, motogen and morphogen, and its roles in organ regeneration. Princess Takamatsu Symp. 1994;24.","Hepatocyte growth factor as mitogen, motogen and morphogen, and its roles in organ regeneration",Princess Takamatsu Symp,1994,24,,,,,Nakamura T
90,"Mutsaers SE, Kalomenidis I, Wilson NA. Growth factors in pleural fibrosis. Curr Opin Pulm Med. 2006;12.",Growth factors in pleural fibrosis,Curr Opin Pulm Med,2006,12,,,,,Mutsaers SE; Kalomenidis I; Wilson NA
91,"Gong R, Rifai A, Tolbert EM. Hepatocyte growth factor ameliorates renal interstitial inflammation in rat remnant kidney by modulating tubular expression of macrophage chemoattractant protein-1 and RANTES. J Am Soc Nephrol. 2004;15.",Hepatocyte growth factor ameliorates renal interstitial inflammation in rat remnant kidney by modulating tubular expression of macrophage chemoattractant protein-1 and RANTES,J Am Soc Nephrol,2004,15,,,,,Gong R; Rifai A; Tolbert EM
92,"Enriquez-Cortina C, Almonte-Becerril M, Clavijo-Cornejo D. Hepatocyte growth factor protects against isoniazid/rifampicin-induced oxidative liver damage. Toxicol Sci. 2013;135.",Hepatocyte growth factor protects against isoniazid/rifampicin-induced oxidative liver damage,Toxicol Sci,2013,135,,,,,Enriquez-Cortina C; Almonte-Becerril M; Clavijo-Cornejo D
93,"Hattori N, Mizuno S, Yoshida Y. The plasminogen activation system reduces fibrosis in the lung by a hepatocyte growth factor-dependent mechanism. Am J Pathol. 2004;164.",The plasminogen activation system reduces fibrosis in the lung by a hepatocyte growth factor-dependent mechanism,Am J Pathol,2004,164,,,,,Hattori N; Mizuno S; Yoshida Y
94,"Suzuki Y, Sakai K, Ueki J. Inhibition of met/HGF receptor and angiogenesis by NK4 leads to suppression of tumor growth and migration in malignant pleural mesothelioma. Int J Cancer. 2010;127.",Inhibition of met/HGF receptor and angiogenesis by NK4 leads to suppression of tumor growth and migration in malignant pleural mesothelioma,Int J Cancer,2010,127,,,,,Suzuki Y; Sakai K; Ueki J
95,Fingleton B. Matrix metalloproteinases as regulators of inflammatory processes. Biochim Biophys Acta. 1864;2017.,Matrix metalloproteinases as regulators of inflammatory processes,Biochim Biophys Acta,1864,2017,,,,,Fingleton B
96,"Mittal R, Patel AP, Debs LH. Intricate functions of matrix Metalloproteinases in physiological and pathological conditions. J Cell Physiol. 2016;231.",Intricate functions of matrix Metalloproteinases in physiological and pathological conditions,J Cell Physiol,2016,231,,,,,Mittal R; Patel AP; Debs LH
