#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Trapnell BC, Whitsett JA, Nakata K. Pulmonary alveolar proteinosis. N Engl J Med. 2003;349.",Pulmonary alveolar proteinosis,N Engl J Med,2003,349,,,,,Trapnell BC; Whitsett JA; Nakata K
12,Ramirez J. Alveolar proteinosis: importance of pulmonary lavage. Am Rev Respir Dis. 1971;103.,Alveolar proteinosis: importance of pulmonary lavage,Am Rev Respir Dis,1971,103,,,,,Ramirez J
13,"Seymour JF, Presneill JJ, Schoch OD et al.. Therapeutic efficacy of granulo-cyte-macrophage colony-stimulating factor in patients with idiopathic acquired alveolar proteinosis. Am J Respir Crit Care Med. 2001;163.",Therapeutic efficacy of granulo-cyte-macrophage colony-stimulating factor in patients with idiopathic acquired alveolar proteinosis,Am J Respir Crit Care Med,2001,163,,,,,Seymour JF; Presneill JJ; Schoch OD; Downie GH; Moore PE; Doyle IR; Vincent JM; Nakata K; Kitamura T; Langton D; Pain MC; Dunn AR
14,"Campo I, Kadija Z, Mariani F et al.. Pulmonary alveolar proteinosis: diagnostic and therapeutic challenges. Multidiscip Respir Med. 2012;7:4.",Pulmonary alveolar proteinosis: diagnostic and therapeutic challenges,Multidiscip Respir Med,2012,7,,4,,,Campo I; Kadija Z; Mariani F; Paracchini E; Rodi G; Mojoli F; Braschi A; Luisetti M
15,"Abdelmalak BB, Khanna AK, Culver DA, Popovich MJ. Therapeutic whole-lung lavage for pulmonary alveolar proteinosis: a procedural update. J Bronchology Interv Pulmonol. 2015;22.",Therapeutic whole-lung lavage for pulmonary alveolar proteinosis: a procedural update,J Bronchology Interv Pulmonol,2015,22,,,,,Abdelmalak BB; Khanna AK; Culver DA; Popovich MJ
16,"Froudarakis ME, Koutsopoulos A, Mihailidou HP. Total lung lavage by awake flexible fiberoptic bronchoscope in a 13-year-old girl with pulmonary alveolar proteinosis. Respir Med. 2007;101.",Total lung lavage by awake flexible fiberoptic bronchoscope in a 13-year-old girl with pulmonary alveolar proteinosis,Respir Med,2007,101,,,,,Froudarakis ME; Koutsopoulos A; Mihailidou HP
17,De Blic J. Pulmonary alveolar proteinosis in children. Paediatr Respir Rev. 2004;5.,Pulmonary alveolar proteinosis in children,Paediatr Respir Rev,2004,5,,,,,De Blic J
18,"Albafouille V, Sayegh N, Coudenhove D et al.. CT scan patterns of pulmonary alveolar proteinosis in children. Pediatr Radiol. 1999;29.",CT scan patterns of pulmonary alveolar proteinosis in children,Pediatr Radiol,1999,29,,,,,Albafouille V; Sayegh N; Coudenhove D; Scheinmann S; P; Blic D; Mamou-Mani J; Hassine T; Jaubert A; Brunelle F; F
19,"Campo I, Luisetti M, Griese M et al.. Whole lung lavage therapy for pulmonary alveolar proteinosis: a global survey of current practices and procedures. Orphanet J Rare Dis. 2016;11:115.",Whole lung lavage therapy for pulmonary alveolar proteinosis: a global survey of current practices and procedures,Orphanet J Rare Dis,2016,11,,115,,,Campo I; Luisetti M; Griese M; Trapnell BC; Bonella F; Grutters J; Nakata K; Moorsel V; Costabel CH; Cottin U; Ichiwata V; Inoue T; Braschi Y; Bonizzoni A; Iotti G; Tinelli GA; Rodi C; G
20,"Campo I, Luisetti M, Griese M et al.. A global survey on whole lung lavage in pulmonary alveolar proteinosis. Chest. 2016;150.",A global survey on whole lung lavage in pulmonary alveolar proteinosis,Chest,2016,150,,,,,Campo I; Luisetti M; Griese M; Trapnell BC; Bonella F; Grutters JC; Nakata K; Moorsel V; Costabel CH; Cottin U; Ichiwata V; Inoue T; Braschi Y; Bonizzoni A; Iotti G; Tinelli GA; Rodi C; G
21,"Zhao YY, Huang H, Liu YZ, Song XY, Li S, Xu ZJ. Whole lung lavage treatment of Chinese patients with autoimmune pulmonary alveolar proteinosis: a retrospective long-term follow-up study. Chin Med J (Engl). 2015;128.",Whole lung lavage treatment of Chinese patients with autoimmune pulmonary alveolar proteinosis: a retrospective long-term follow-up study,Chin Med J (Engl),2015,128,,,,,Zhao YY; Huang H; Liu YZ; Song XY; Li S; Xu ZJ
22,"Bonella F, Bauer PC, Griese M, Ohshimo S, Guzman J, Costabel U. Pulmonary alveolar proteinosis: new insights from a single-center cohort of 70 patients. Respir Med. 2011;105.",Pulmonary alveolar proteinosis: new insights from a single-center cohort of 70 patients,Respir Med,2011,105,,,,,Bonella F; Bauer PC; Griese M; Ohshimo S; Guzman J; Costabel U
23,"Xu Z, Jing J, Wang H, Xu F, Wang J. Pulmonary alveolar proteinosis in China: a systematic review of 241 cases. Respirology. 2009;14.",Pulmonary alveolar proteinosis in China: a systematic review of 241 cases,Respirology,2009,14,,,,,Xu Z; Jing J; Wang H; Xu F; Wang J
24,"Inoue Y, Trapnell BC, Tazawa R et al.. Characteristics of a large cohort of patients with autoimmune pulmonary alveolar proteinosis in Japan. Am J Respir Crit Care Med. 2008;177.",Characteristics of a large cohort of patients with autoimmune pulmonary alveolar proteinosis in Japan,Am J Respir Crit Care Med,2008,177,,,,,Inoue Y; Trapnell BC; Tazawa R; Arai T; Takada T; Hizawa N; Kasahara Y; Tatsumi K; Hojo M; Ichiwata T; Tanaka N; Yamaguchi E; Eda R; Oishi K; Tsuchihashi Y; Kaneko C; Nukiwa T; Sakatani M; Krischer JP; Nakata K
25,"Akasaka K, Tanaka T, Kitamura N et al.. Outcome of corticosteroid administration in autoimmune pulmonary alveolar proteinosis: a retrospective cohort study. BMC Pulm Med. 2015;15:88.",Outcome of corticosteroid administration in autoimmune pulmonary alveolar proteinosis: a retrospective cohort study,BMC Pulm Med,2015,15,,88,,,Akasaka K; Tanaka T; Kitamura N; Ohkouchi S; Tazawa R; Takada T; Ichiwata T; Yamaguchi E; Hirose M; Arai T; Nakano K; Nei T; Ishii H; Handa T; Inoue Y; Nakata K
26,"Khan A, Agarwal R, Agarwal A. Effectiveness of granulocyte-macrophage colony-stimulating factor therapy in autoimmune pulmonary alveolar proteinosis: a meta-analysis of observational studies. Chest. 2012;141.",Effectiveness of granulocyte-macrophage colony-stimulating factor therapy in autoimmune pulmonary alveolar proteinosis: a meta-analysis of observational studies,Chest,2012,141,,,,,Khan A; Agarwal R; Agarwal A
27,"Kavuru MS, Bonfield TL, Thomassen MJ. Plasmapheresis, GM-CSF, and alveolar proteinosis. Am J Respir Crit Care Med. 2003;167:1036.","Plasmapheresis, GM-CSF, and alveolar proteinosis",Am J Respir Crit Care Med,2003,167,,1036,,,Kavuru MS; Bonfield TL; Thomassen MJ
28,"Bonfield TL, Kavuru MS, Thomassen MJ. Anti-GM-CSF titer predicts response to GM-CSF therapy in pulmonary alveolar proteinosis. Clin Immun. 2002;105.",Anti-GM-CSF titer predicts response to GM-CSF therapy in pulmonary alveolar proteinosis,Clin Immun,2002,105,,,,,Bonfield TL; Kavuru MS; Thomassen MJ
29,"Crocker HL, Pfitzner J, Doyle IR, Hague WM, Smith BJ, Ruffin RE. Pulmonary alveolar proteinosis: two contrasting cases. Eur Respir J. 2000;15.",Pulmonary alveolar proteinosis: two contrasting cases,Eur Respir J,2000,15,,,,,Crocker HL; Pfitzner J; Doyle IR; Hague WM; Smith BJ; Ruffin RE
30,"Chaulagain CP, Pilichowska M, Brinckerhoff L, Tabba M, Erban JK. Secondary pulmonary alveolar proteinosis in hematologic malignancies. Hematol Oncol Stem Cell Ther. 2014;7.",Secondary pulmonary alveolar proteinosis in hematologic malignancies,Hematol Oncol Stem Cell Ther,2014,7,,,,,Chaulagain CP; Pilichowska M; Brinckerhoff L; Tabba M; Erban JK
31,Morgan C. The benefits of whole lung lavage in pulmonary alveolar proteinosis. Eur Respir J. 2004;23.,The benefits of whole lung lavage in pulmonary alveolar proteinosis,Eur Respir J,2004,23,,,,,Morgan C
