#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Becker HD. Bronchoscopy: the past, the present, and the future. Clin Chest Med. 2010;31(1).","Bronchoscopy: the past, the present, and the future",Clin Chest Med,2010,31,1,,,,Becker HD
14,"Scheinhorn DJ, Joyner LR, Whitcomb ME. Transbronchial forceps lung biopsy through the fiberoptic bronchoscope in Pneumocystis carinii pneumonia. Chest. 1974;66(3).",Transbronchial forceps lung biopsy through the fiberoptic bronchoscope in Pneumocystis carinii pneumonia,Chest,1974,66,3,,,,Scheinhorn DJ; Joyner LR; Whitcomb ME
15,"Hanson RR, Zavala DC, Rhodes ML. Transbronchial biopsy via flexible fiberoptic bronchoscope; results in 164 patients. Am Rev Respir Dis. 1976;114(1).",Transbronchial biopsy via flexible fiberoptic bronchoscope; results in 164 patients,Am Rev Respir Dis,1976,114,1,,,,Hanson RR; Zavala DC; Rhodes ML
16,Schiepatti E. La puncion mediastinal a traves del espolon traqueal. Rev Asoc Med Argent. 1949;63.,La puncion mediastinal a traves del espolon traqueal,Rev Asoc Med Argent,1949,63,,,,,Schiepatti E
17,Schiepatti E. Mediastinal lymph node puncture through tracheal carina. Surg Gynecol Obstet. 1958;107.,Mediastinal lymph node puncture through tracheal carina,Surg Gynecol Obstet,1958,107,,,,,Schiepatti E
18,"Wang KP, Terry P, Marsh B. Bronchoscopic needle aspiration biopsy of paratracheal tumors. Am Rev Respir Dis. 1978;118(1).",Bronchoscopic needle aspiration biopsy of paratracheal tumors,Am Rev Respir Dis,1978,118,1,,,,Wang KP; Terry P; Marsh B
19,"Wang KP, Terry PB. Transbronchial needle aspiration in the diagnosis and staging of bronchogenic carcinoma. Am Rev Respir Dis. 1983;127(3).",Transbronchial needle aspiration in the diagnosis and staging of bronchogenic carcinoma,Am Rev Respir Dis,1983,127,3,,,,Wang KP; Terry PB
20,"Wang KP, Brower R, Haponik EF. Flexible transbronchial needle aspiration for staging of bronchogenic carcinoma. Chest. 1983;84(5).",Flexible transbronchial needle aspiration for staging of bronchogenic carcinoma,Chest,1983,84,5,,,,Wang KP; Brower R; Haponik EF
21,"Profio AE, Doiron DR. A feasibility study of the use of fluorescence bronchoscopy for localization of small lung tumours. Phys Med Biol. 1977;22(5).",A feasibility study of the use of fluorescence bronchoscopy for localization of small lung tumours,Phys Med Biol,1977,22,5,,,,Profio AE; Doiron DR
22,"Doiron DR, Profio E, Vincent RG. Fluorescence bronchoscopy for detection of lung cancer. Chest. 1979;76(1).",Fluorescence bronchoscopy for detection of lung cancer,Chest,1979,76,1,,,,Doiron DR; Profio E; Vincent RG
23,"Toty L, Personne C, Colchen A. Bronchoscopic management of tracheal lesions using the neodynium yttrium aluminium garnet laser. Thorax. 1981;36(3).",Bronchoscopic management of tracheal lesions using the neodynium yttrium aluminium garnet laser,Thorax,1981,36,3,,,,Toty L; Personne C; Colchen A
24,"Shibuya K, Hoshino H, Chiyo M. High magnification bronchovideoscopy combined with narrow band imaging could detect capillary loops of angiogenic squamous dysplasia in heavy smokers at high risk for lung cancer. Thorax. 2003;58(11).",High magnification bronchovideoscopy combined with narrow band imaging could detect capillary loops of angiogenic squamous dysplasia in heavy smokers at high risk for lung cancer,Thorax,2003,58,11,,,,Shibuya K; Hoshino H; Chiyo M
25,"Thiberville L, Moreno-Swirc S, Vercauteren T. In vivo imaging of the bronchial wall microstructure using fibered confocal fluorescence microscopy. Am J Respir Crit Care Med. 2007;175(1).",In vivo imaging of the bronchial wall microstructure using fibered confocal fluorescence microscopy,Am J Respir Crit Care Med,2007,175,1,,,,Thiberville L; Moreno-Swirc S; Vercauteren T
26,"Tsuboi M, Hayashi A, Ikeda N. Optical coherence tomography in the diagnosis of bronchial lesions. Lung Cancer. 2005;49(3).",Optical coherence tomography in the diagnosis of bronchial lesions,Lung Cancer,2005,49,3,,,,Tsuboi M; Hayashi A; Ikeda N
27,Becker HD. Endobronchial ultrasound-a new perspective in bronchology. Ultraschall Med. 1996;17(3).,Endobronchial ultrasound-a new perspective in bronchology,Ultraschall Med,1996,17,3,,,,Becker HD
28,"Yasufuku K, Chiyo M, Sekine Y. Real-time endobronchial ultrasound-guided transbronchial needle aspiration of mediastinal and hilar lymph nodes. Chest. 2004;126(1).",Real-time endobronchial ultrasound-guided transbronchial needle aspiration of mediastinal and hilar lymph nodes,Chest,2004,126,1,,,,Yasufuku K; Chiyo M; Sekine Y
29,"Schwarz Y, Mehta AC, Ernst A. Electromagnetic navigation during flexible bronchoscopy. Respiration. 2003;70(5).",Electromagnetic navigation during flexible bronchoscopy,Respiration,2003,70,5,,,,Schwarz Y; Mehta AC; Ernst A
30,"Sciurba FC, Ernst A, Herth FJ. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363(13).",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,13,,,,Sciurba FC; Ernst A; Herth FJ
31,"Mathur PN, Wolf KM, Busk MF. Fiberoptic bronchoscopic cryotherapy in the management of tracheobronchial obstruction. Chest. 1996;110(3).",Fiberoptic bronchoscopic cryotherapy in the management of tracheobronchial obstruction,Chest,1996,110,3,,,,Mathur PN; Wolf KM; Busk MF
32,"Sheski FD, Mathur PN. Endobronchial electrosurgery: argon plasma coagulation and electrocautery. Semin Respir Crit Care Med. 2004;25(4).",Endobronchial electrosurgery: argon plasma coagulation and electrocautery,Semin Respir Crit Care Med,2004,25,4,,,,Sheski FD; Mathur PN
33,"Cox G, Miller JD, Mcwilliams A. Bronchial thermoplasty for asthma. Am J Respir Crit Care Med. 2006;173(9).",Bronchial thermoplasty for asthma,Am J Respir Crit Care Med,2006,173,9,,,,Cox G; Miller JD; Mcwilliams A
34,"Moylan D, Strubler K, Unal A. Work in progress. Transbronchial brachytherapy of recurrent bronchogenic carcinoma: a new approach using the flexible fiberoptic bronchoscope. Radiology. 1983;147(1).",Work in progress. Transbronchial brachytherapy of recurrent bronchogenic carcinoma: a new approach using the flexible fiberoptic bronchoscope,Radiology,1983,147,1,,,,Moylan D; Strubler K; Unal A
35,"Mccaughan JS, Williams TE. Photodynamic therapy for endobronchial malignant disease: a prospective fourteen-year study. J Thorac Cardiovasc Surg. 1997;114(6).",Photodynamic therapy for endobronchial malignant disease: a prospective fourteen-year study,J Thorac Cardiovasc Surg,1997,114,6,,,,Mccaughan JS; Williams TE
36,"Lam B, Wong MP, Ooi C. Diagnostic yield of bronchoscopic sampling methods in bronchial carcinoma. Respirology. 2000;5(3).",Diagnostic yield of bronchoscopic sampling methods in bronchial carcinoma,Respirology,2000,5,3,,,,Lam B; Wong MP; Ooi C
37,"Lee HS, Kwon SY, Kim DK. Bronchial washing yield before and after forceps biopsy in patients with endoscopically visible lung cancers. Respirology. 2007;12(2).",Bronchial washing yield before and after forceps biopsy in patients with endoscopically visible lung cancers,Respirology,2007,12,2,,,,Lee HS; Kwon SY; Kim DK
38,"Karahalli E, Yilmaz A, Turker H. Usefulness of various diagnostic techniques during fiberoptic bronchoscopy for endoscopically visible lung cancer: should cytologic examinations be performed routinely?. Respiration. 2001;68(6).",Usefulness of various diagnostic techniques during fiberoptic bronchoscopy for endoscopically visible lung cancer: should cytologic examinations be performed routinely?,Respiration,2001,68,6,,,,Karahalli E; Yilmaz A; Turker H
39,"Van Der Drift MA, Van Der Wilt GJ, Thunnissen FB. A prospective study of the timing and costeffectiveness of bronchial washing during bronchoscopy for pulmonary malignant tumors. Chest. 2005;128(1).",A prospective study of the timing and costeffectiveness of bronchial washing during bronchoscopy for pulmonary malignant tumors,Chest,2005,128,1,,,,Van Der Drift MA; Van Der Wilt GJ; Thunnissen FB
40,"Chanez P, Vignola AM. Bronchial brushing. Eur Respir J Suppl. 1998;26.",Bronchial brushing,Eur Respir J Suppl,1998,26,,,,,Chanez P; Vignola AM
41,"Elkus RL, Miller MB, Kini SR. A comparison of withdrawn and nonwithdrawn brushes in the diagnosis of lung cancer. J Bronchology Interv Pulmonol. 1994;1(4).",A comparison of withdrawn and nonwithdrawn brushes in the diagnosis of lung cancer,J Bronchology Interv Pulmonol,1994,1,4,,,,Elkus RL; Miller MB; Kini SR
42,"Feillet N, Janicot H, Caillaud D. The protected bronchial brushing technic. Rev Mal Respir. 1995;12(3):322.",The protected bronchial brushing technic,Rev Mal Respir,1995,12,3,322,,,Feillet N; Janicot H; Caillaud D
43,"Hou G, Miao Y, Hu X. The optimal sequence for bronchial brushing and forceps biopsy in lung cancer diagnosis: a random control study. J Thorac Dis. 2016;8(3).",The optimal sequence for bronchial brushing and forceps biopsy in lung cancer diagnosis: a random control study,J Thorac Dis,2016,8,3,,,,Hou G; Miao Y; Hu X
44,"Govert JA, Kopita JM, Matchar D. Cost-effectiveness of collecting routine cytologic specimens during fiberoptic bronchoscopy for endoscopically visible lung tumor. Chest. 1996;109(2).",Cost-effectiveness of collecting routine cytologic specimens during fiberoptic bronchoscopy for endoscopically visible lung tumor,Chest,1996,109,2,,,,Govert JA; Kopita JM; Matchar D
45,"Popp W, Rauscher H, Ritschka L. Diagnostic sensitivity of different techniques in the diagnosis of lung tumors with the flexible fiberoptic bronchoscope. Comparison of brush biopsy, imprint cytology of forceps biopsy, and histology of forceps biopsy. Cancer. 1991;67(1).","Diagnostic sensitivity of different techniques in the diagnosis of lung tumors with the flexible fiberoptic bronchoscope. Comparison of brush biopsy, imprint cytology of forceps biopsy, and histology of forceps biopsy",Cancer,1991,67,1,,,,Popp W; Rauscher H; Ritschka L
46,"Meyer KC, Raghu G, Baughman RP. An official American Thoracic Society clinical practice guideline: the clinical utility of bronchoalveolar lavage cellular analysis in interstitial lung disease. Am J Respir Crit Care Med. 2012;185(9).",An official American Thoracic Society clinical practice guideline: the clinical utility of bronchoalveolar lavage cellular analysis in interstitial lung disease,Am J Respir Crit Care Med,2012,185,9,,,,Meyer KC; Raghu G; Baughman RP
47,"Dohn MN, Baughman RP. Effect of changing instilled volume for bronchoalveolar lavage in patients with interstitial lung disease. Am Rev Respir Dis. 1985;132(2).",Effect of changing instilled volume for bronchoalveolar lavage in patients with interstitial lung disease,Am Rev Respir Dis,1985,132,2,,,,Dohn MN; Baughman RP
48,"Helmers RA, Dayton CS, Floerchinger C. Bronchoalveolar lavage in interstitial lung disease: effect of volume of fluid infused. J Appl Physiol. 1985;67(4).",Bronchoalveolar lavage in interstitial lung disease: effect of volume of fluid infused,J Appl Physiol,1985,67,4,,,,Helmers RA; Dayton CS; Floerchinger C
49,"Hunninghake GW, Gadek JE, Kawanami O. Inflammatory and immune processes in the human lung in health and disease: evaluation by bronchoalveolar lavage. Am J Pathol. 1979;97(1).",Inflammatory and immune processes in the human lung in health and disease: evaluation by bronchoalveolar lavage,Am J Pathol,1979,97,1,,,,Hunninghake GW; Gadek JE; Kawanami O
50,"Rennard SI, Ghafouri M, Thompson AB. Fractional processing of sequential bronchoalveolar lavage to separate bronchial and alveolar samples. Am Rev Respir Dis. 1990;141(1).",Fractional processing of sequential bronchoalveolar lavage to separate bronchial and alveolar samples,Am Rev Respir Dis,1990,141,1,,,,Rennard SI; Ghafouri M; Thompson AB
51,"Strumpf IJ, Feld MK, Cornelius MJ. Safety of fiberoptic bronchoalveolar lavage in evaluation of interstitial lung disease. Chest. 1981;80(3).",Safety of fiberoptic bronchoalveolar lavage in evaluation of interstitial lung disease,Chest,1981,80,3,,,,Strumpf IJ; Feld MK; Cornelius MJ
52,"Krause A, Hohberg B, Heine F. Cytokines derived from alveolar macrophages induce fever after bronchoscopy and bronchoalveolar lavage. Am J Respir Crit Care Med. 1997;155(5).",Cytokines derived from alveolar macrophages induce fever after bronchoscopy and bronchoalveolar lavage,Am J Respir Crit Care Med,1997,155,5,,,,Krause A; Hohberg B; Heine F
53,"Nieto S, JM, Alcaraz C, A. The role of bronchoalveolar lavage in the diagnosis of bacterial pneumonia. Eur J Clin Microbiol Infect Dis. 1995;14(10).",The role of bronchoalveolar lavage in the diagnosis of bacterial pneumonia,Eur J Clin Microbiol Infect Dis,1995,14,10,,,,Nieto S; JM; Alcaraz C; A
54,"Hohenadel IA, Kiworr M, Genitsariotis R. Role of bronchoalveolar lavage in immunocompromised patients with pneumonia treated with a broad spectrum antibiotic and antifungal regimen. Thorax. 2001;56(2).",Role of bronchoalveolar lavage in immunocompromised patients with pneumonia treated with a broad spectrum antibiotic and antifungal regimen,Thorax,2001,56,2,,,,Hohenadel IA; Kiworr M; Genitsariotis R
55,"Fan LC, Lu HW, Cheng KB. Evaluation of PCR in bronchoalveolar lavage fluid for diagnosis of Pneumocystis jirovecii pneumonia: a bivariate meta-analysis and systematic review. PLoS One. 2013;8(9):73099.",Evaluation of PCR in bronchoalveolar lavage fluid for diagnosis of Pneumocystis jirovecii pneumonia: a bivariate meta-analysis and systematic review,PLoS One,2013,8,9,73099,,,Fan LC; Lu HW; Cheng KB
56,"Oren I, Hardak E, Zuckerman T. Does molecular analysis increase the efficacy of bronchoalveolar lavage in the diagnosis and management of respiratory infections in hemato-oncological patients?. Int J Infect Dis. 2016;50.",Does molecular analysis increase the efficacy of bronchoalveolar lavage in the diagnosis and management of respiratory infections in hemato-oncological patients?,Int J Infect Dis,2016,50,,,,,Oren I; Hardak E; Zuckerman T
57,"Theron G, Peter J, Meldau R. Accuracy and impact of Xpert MTB/RIF for the diagnosis of smear-negative or sputum-scarce tuberculosis using bronchoalveolar lavage fluid. Thorax. 2013;68(11).",Accuracy and impact of Xpert MTB/RIF for the diagnosis of smear-negative or sputum-scarce tuberculosis using bronchoalveolar lavage fluid,Thorax,2013,68,11,,,,Theron G; Peter J; Meldau R
58,"Allen JN, Davis WB. Eosinophilic lung diseases. Am J Respir Crit Care Med. 1994;150(5).",Eosinophilic lung diseases,Am J Respir Crit Care Med,1994,150,5,,,,Allen JN; Davis WB
59,"Trapnell BC, Whitsett JA, Nakata K. Pulmonary alveolar proteinosis. N Engl J Med. 2003;349(26).",Pulmonary alveolar proteinosis,N Engl J Med,2003,349,26,,,,Trapnell BC; Whitsett JA; Nakata K
60,"Binesh F, Pirdehghan A, Mirjalili MR. Comparative assessment of the diagnostic value of transbronchial lung biopsy and bronchoalveolar lavage fluid cytology in lung cancer. Asian Pac J Cancer Prev. 2015;16(1).",Comparative assessment of the diagnostic value of transbronchial lung biopsy and bronchoalveolar lavage fluid cytology in lung cancer,Asian Pac J Cancer Prev,2015,16,1,,,,Binesh F; Pirdehghan A; Mirjalili MR
61,"Schreiber G, Mccrory DC. Performance characteristics of different modalities for diagnosis of suspected lung cancer: summary of published evidence. Chest. 2003;123(1).",Performance characteristics of different modalities for diagnosis of suspected lung cancer: summary of published evidence,Chest,2003,123,1,,,,Schreiber G; Mccrory DC
62,"Poletti V, Romagna M, Allen KA. Bronchoalveolar lavage in the diagnosis of disseminated lung tumors. Acta Cytol. 1995;39(3).",Bronchoalveolar lavage in the diagnosis of disseminated lung tumors,Acta Cytol,1995,39,3,,,,Poletti V; Romagna M; Allen KA
63,"Zhang X, Kuang Y, Zhang Y. Shifted focus of bronchoalveolar lavage in patients with suspected thoracic malignancy: an analysis of 224 patients. J Thorac Dis. 2016;8(11).",Shifted focus of bronchoalveolar lavage in patients with suspected thoracic malignancy: an analysis of 224 patients,J Thorac Dis,2016,8,11,,,,Zhang X; Kuang Y; Zhang Y
64,"Bezel P, Tischler V, Robinson C. Diagnostic value of bronchoalveolar lavage for diagnosis of suspected peripheral lung cancer. Clin Lung Cancer. 2016;17(5).",Diagnostic value of bronchoalveolar lavage for diagnosis of suspected peripheral lung cancer,Clin Lung Cancer,2016,17,5,,,,Bezel P; Tischler V; Robinson C
65,"Wahidi MM, Rocha AT, Hollingsworth JW. Contraindications and safety of transbronchial lung biopsy via flexible bronchoscopy. A survey of pulmonologists and review of the literature. Respiration. 2005;72(3).",Contraindications and safety of transbronchial lung biopsy via flexible bronchoscopy. A survey of pulmonologists and review of the literature,Respiration,2005,72,3,,,,Wahidi MM; Rocha AT; Hollingsworth JW
66,"Huang CT, Ruan SY, Liao WY. Risk factors of pneumothorax after endobronchial ultrasoundguided transbronchial biopsy for peripheral lung lesions. PLoS One. 2012;7(11):49125.",Risk factors of pneumothorax after endobronchial ultrasoundguided transbronchial biopsy for peripheral lung lesions,PLoS One,2012,7,11,49125,,,Huang CT; Ruan SY; Liao WY
67,"Pue CA, Pacht ER. Complications of fiberoptic bronchoscopy at a university hospital. Chest. 1995;107(2).",Complications of fiberoptic bronchoscopy at a university hospital,Chest,1995,107,2,,,,Pue CA; Pacht ER
68,"Pereira W Jr, Kovnat DM, Snider GL. A prospective cooperative study of complications following flexible fiberoptic bronchoscopy. Chest. 1978;73(6).",A prospective cooperative study of complications following flexible fiberoptic bronchoscopy,Chest,1978,73,6,,,,Pereira W Jr; Kovnat DM; Snider GL
69,Zavala DC. Pulmonary hemorrhage in fiberoptic transbronchial biopsy. Chest. 1976;70(5).,Pulmonary hemorrhage in fiberoptic transbronchial biopsy,Chest,1976,70,5,,,,Zavala DC
70,"Rittirak W, Sompradeekul S. Diagnostic yield of fluoroscopy-guided transbronchial lung biopsy in non-endobronchial lung lesion. J Med Assoc Thai. 2007;90(Suppl 2).",Diagnostic yield of fluoroscopy-guided transbronchial lung biopsy in non-endobronchial lung lesion,J Med Assoc Thai,2007,90,Suppl 2,,,,Rittirak W; Sompradeekul S
71,"Smyth CM, Stead RJ. Survey of flexible fibreoptic bronchoscopy in the United Kingdom. Eur Respir J. 2002;19(3).",Survey of flexible fibreoptic bronchoscopy in the United Kingdom,Eur Respir J,2002,19,3,,,,Smyth CM; Stead RJ
72,"Pierce CW, Gjevre JA, Taylor-Gjevre RM. A survey of current bronchoscopy practices in Canada: a dearth of evidence or evidence-based practice. Chest. 2011;140(3).",A survey of current bronchoscopy practices in Canada: a dearth of evidence or evidence-based practice,Chest,2011,140,3,,,,Pierce CW; Gjevre JA; Taylor-Gjevre RM
73,"Anders GT, Johnson JE, Bush BA. Transbronchial biopsy without fluoroscopy. A seven-year perspective. Chest. 1988;94(3).",Transbronchial biopsy without fluoroscopy. A seven-year perspective,Chest,1988,94,3,,,,Anders GT; Johnson JE; Bush BA
74,"De Fenoyl O, Capron F, Lebeau B. Transbronchial biopsy without fluoroscopy: a five year experience in outpatients. Thorax. 1989;44(11).",Transbronchial biopsy without fluoroscopy: a five year experience in outpatients,Thorax,1989,44,11,,,,De Fenoyl O; Capron F; Lebeau B
75,"Milligan SA, Luce JM, Golden J. Transbronchial biopsy without fluoroscopy in patients with diffuse roentgenographic infiltrates and the acquired immunodeficiency syndrome. Am Rev Respir Dis. 1988;137(2).",Transbronchial biopsy without fluoroscopy in patients with diffuse roentgenographic infiltrates and the acquired immunodeficiency syndrome,Am Rev Respir Dis,1988,137,2,,,,Milligan SA; Luce JM; Golden J
76,"Cazzadori A, Perri D, Todeschini G, G. Transbronchial biopsy in the diagnosis of pulmonary infiltrates in immunocompromised patients. Chest. 1995;107(1).",Transbronchial biopsy in the diagnosis of pulmonary infiltrates in immunocompromised patients,Chest,1995,107,1,,,,Cazzadori A; Perri D; Todeschini G; G
77,"Jain P, Sandur S, Meli Y. Role of flexible bronchoscopy in immunocompromised patients with lung infiltrates. Chest. 2004;125(2).",Role of flexible bronchoscopy in immunocompromised patients with lung infiltrates,Chest,2004,125,2,,,,Jain P; Sandur S; Meli Y
78,"Chellapandian D, Lehrnbecher T, Phillips B. Bronchoalveolar lavage and lung biopsy in patients with cancer and hematopoietic stem-cell transplantation recipients: a systematic review and metaanalysis. J Clin Oncol. 2015;33(5).",Bronchoalveolar lavage and lung biopsy in patients with cancer and hematopoietic stem-cell transplantation recipients: a systematic review and metaanalysis,J Clin Oncol,2015,33,5,,,,Chellapandian D; Lehrnbecher T; Phillips B
79,"Berbescu EA, Katzenstein AL, Snow JL. Transbronchial biopsy in usual interstitial pneumonia. Chest. 2006;129(5).",Transbronchial biopsy in usual interstitial pneumonia,Chest,2006,129,5,,,,Berbescu EA; Katzenstein AL; Snow JL
80,"Leslie KO, Gruden JF, Parish JM. Transbronchial biopsy interpretation in the patient with diffuse parenchymal lung disease. Arch Pathol Lab Med. 2007;131(3).",Transbronchial biopsy interpretation in the patient with diffuse parenchymal lung disease,Arch Pathol Lab Med,2007,131,3,,,,Leslie KO; Gruden JF; Parish JM
81,"Ensminger SA, Prakash UB. Is bronchoscopic lung biopsy helpful in the management of patients with diffuse lung disease?. Eur Respir J. 2006;28(6).",Is bronchoscopic lung biopsy helpful in the management of patients with diffuse lung disease?,Eur Respir J,2006,28,6,,,,Ensminger SA; Prakash UB
82,"Jabbardarjani H, Eslaminejad A, Mohammadtaheri Z. The effect of cup versus alligator forceps on the results of transbronchial lung biopsy. J Bronchology Interv Pulmonol. 2010;17(2).",The effect of cup versus alligator forceps on the results of transbronchial lung biopsy,J Bronchology Interv Pulmonol,2010,17,2,,,,Jabbardarjani H; Eslaminejad A; Mohammadtaheri Z
83,"Loube DI, Johnson JE, Wiener D. The effect of forceps size on the adequacy of specimens obtained by transbronchial biopsy. Am Rev Respir Dis. 1993;148(5).",The effect of forceps size on the adequacy of specimens obtained by transbronchial biopsy,Am Rev Respir Dis,1993,148,5,,,,Loube DI; Johnson JE; Wiener D
84,"Katis K, Inglesos E, Zachariadis E. The role of transbronchial needle aspiration in the diagnosis of peripheral lung masses or nodules. Eur Respir J. 1995;8(6).",The role of transbronchial needle aspiration in the diagnosis of peripheral lung masses or nodules,Eur Respir J,1995,8,6,,,,Katis K; Inglesos E; Zachariadis E
85,"Bonifazi M, Zuccatosta L, Trisolini R. Transbronchial needle aspiration: a systematic review on predictors of a successful aspirate. Respiration. 2013;86(2).",Transbronchial needle aspiration: a systematic review on predictors of a successful aspirate,Respiration,2013,86,2,,,,Bonifazi M; Zuccatosta L; Trisolini R
86,"Sehgal IS, Dhooria S, Gupta N. Impact of endobronchial ultrasound (EBUS) training on the diagnostic yield of conventional transbronchial needle aspiration for lymph node stations 4R and 7. PLoS One. 2016;11(4):153793.",Impact of endobronchial ultrasound (EBUS) training on the diagnostic yield of conventional transbronchial needle aspiration for lymph node stations 4R and 7,PLoS One,2016,11,4,153793,,,Sehgal IS; Dhooria S; Gupta N
87,"Tremblay A, Stather DR, Maceachern P. A randomized controlled trial of standard vs endobronchial ultrasonography-guided transbronchial needle aspiration in patients with suspected sarcoidosis. Chest. 2009;136(2).",A randomized controlled trial of standard vs endobronchial ultrasonography-guided transbronchial needle aspiration in patients with suspected sarcoidosis,Chest,2009,136,2,,,,Tremblay A; Stather DR; Maceachern P
88,"Li K, Jiang S. A randomized controlled study of conventional TBNA versus EBUS-TBNA for diagnosis of suspected stage I and II sarcoidosis. Sarcoidosis Vasc Diffuse Lung Dis. 2014;31(3).",A randomized controlled study of conventional TBNA versus EBUS-TBNA for diagnosis of suspected stage I and II sarcoidosis,Sarcoidosis Vasc Diffuse Lung Dis,2014,31,3,,,,Li K; Jiang S
89,"Dasgupta A, Jain P, Minai OA. Utility of transbronchial needle aspiration in the diagnosis of endobronchial lesions. Chest. 1999;115(5).",Utility of transbronchial needle aspiration in the diagnosis of endobronchial lesions,Chest,1999,115,5,,,,Dasgupta A; Jain P; Minai OA
90,"Gildea TR, Mazzone PJ, Karnak D. Electromagnetic navigation diagnostic bronchoscopy: a prospective study. Am J Respir Crit Care Med. 2006;174(9).",Electromagnetic navigation diagnostic bronchoscopy: a prospective study,Am J Respir Crit Care Med,2006,174,9,,,,Gildea TR; Mazzone PJ; Karnak D
91,"Chao TY, Chien MT, Lie CH. Endobronchial ultrasonography-guided transbronchial needle aspiration increases the diagnostic yield of peripheral pulmonary lesions: a randomized trial. Chest. 2009;136(1).",Endobronchial ultrasonography-guided transbronchial needle aspiration increases the diagnostic yield of peripheral pulmonary lesions: a randomized trial,Chest,2009,136,1,,,,Chao TY; Chien MT; Lie CH
92,"Baaklini WA, Reinoso MA, Gorin AB. Diagnostic yield of fiberoptic bronchoscopy in evaluating solitary pulmonary nodules. Chest. 2000;117(4).",Diagnostic yield of fiberoptic bronchoscopy in evaluating solitary pulmonary nodules,Chest,2000,117,4,,,,Baaklini WA; Reinoso MA; Gorin AB
93,"Reichenberger F, Weber J, Tamm M. The value of transbronchial needle aspiration in the diagnosis of peripheral pulmonary lesions. Chest. 1999;116(3).",The value of transbronchial needle aspiration in the diagnosis of peripheral pulmonary lesions,Chest,1999,116,3,,,,Reichenberger F; Weber J; Tamm M
94,"Dasgupta A, Mehta AC, Wang KP. Transbronchial needle aspiration. Semin Respir Crit Care Med. 1997;18(6).",Transbronchial needle aspiration,Semin Respir Crit Care Med,1997,18,6,,,,Dasgupta A; Mehta AC; Wang KP
