#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Jaksch-Wartenhorst R, Polychondropathia. Wien Arch Inn Med. Wien Arch Inn Med. 1923;6.",Wien Arch Inn Med,Wien Arch Inn Med,1923,6,,,,,Jaksch-Wartenhorst R; Polychondropathia
12,"Terao C, Yoshifuji H, Yamano Y. Genotyping of relapsing polychondritis identified novel susceptibility HLA alleles and distinct genetic characteristics from other rheumatic diseases. Rheumatology. 2016;55.",Genotyping of relapsing polychondritis identified novel susceptibility HLA alleles and distinct genetic characteristics from other rheumatic diseases,Rheumatology,2016,55,,,,,Terao C; Yoshifuji H; Yamano Y
13,"Luo Y, Ferrada MA, Sikora KA. Ultra-rare genetic variation in relapsing polychondritis: a whole-exome sequencing study. Ann Rheum Dis. 2024;83.",Ultra-rare genetic variation in relapsing polychondritis: a whole-exome sequencing study,Ann Rheum Dis,2024,83,,,,,Luo Y; Ferrada MA; Sikora KA
14,"Liu Y, Li X, Cheng L. Progress and challenges in the use of blood biomarkers in relapsing polychondritis. Clin Exp Immunol. 2023;212.",Progress and challenges in the use of blood biomarkers in relapsing polychondritis,Clin Exp Immunol,2023,212,,,,,Liu Y; Li X; Cheng L
15,"Longo L, Greco A, Rea A. Relapsing polychondritis: A clinical update. Autoimmun Rev. 2016;15.",Relapsing polychondritis: A clinical update,Autoimmun Rev,2016,15,,,,,Longo L; Greco A; Rea A
16,"Puéchal X, Terrier B, Mouthon L. Relapsing polychondritis. Joint Bone Spine. 2014;81.",Relapsing polychondritis,Joint Bone Spine,2014,81,,,,,Puéchal X; Terrier B; Mouthon L
17,"Mathian A, Miyara M, Cohen-Aubart F. Relapsing polychondritis: A 2016 update on clinical features, diagnostic tools, treatment and biological drug use. Best Pract Res Clin Rheumatol. 2016;30.","Relapsing polychondritis: A 2016 update on clinical features, diagnostic tools, treatment and biological drug use",Best Pract Res Clin Rheumatol,2016,30,,,,,Mathian A; Miyara M; Cohen-Aubart F
18,"Dion J, Costedoat-Chalumeau N, Sène D. Relapsing Polychondritis Can Be Characterized by Three Different Clinical Phenotypes: Analysis of a Recent Series of 142 Patients. Arthritis Rheumatol. 2016;68.",Relapsing Polychondritis Can Be Characterized by Three Different Clinical Phenotypes: Analysis of a Recent Series of 142 Patients,Arthritis Rheumatol,2016,68,,,,,Dion J; Costedoat-Chalumeau N; Sène D
19,"Ernst A, Rafeq S, Boiselle P. Relapsing polychondritis and airway involvement. Chest. 2009;135.",Relapsing polychondritis and airway involvement,Chest,2009,135,,,,,Ernst A; Rafeq S; Boiselle P
20,"De Montmollin N, Dusser D, Lorut C. Tracheobronchial involvement of relapsing polychondritis. Autoimmun Rev. 2019;18:102353.",Tracheobronchial involvement of relapsing polychondritis,Autoimmun Rev,2019,18,,102353,,,De Montmollin N; Dusser D; Lorut C
21,"Chen N, Zheng Y. Characteristics and Clinical Outcomes of 295 Patients With Relapsing Polychondritis. J Rheumatol. 2021;48.",Characteristics and Clinical Outcomes of 295 Patients With Relapsing Polychondritis,J Rheumatol,2021,48,,,,,Chen N; Zheng Y
22,"Xie C, Shah N, Shah PL. Laryngotracheal reconstruction for relapsing polychondritis: case report and review of the literature. J Laryngol Otol. 2013;127.",Laryngotracheal reconstruction for relapsing polychondritis: case report and review of the literature,J Laryngol Otol,2013,127,,,,,Xie C; Shah N; Shah PL
23,"Besnerais L, Arnaud M, Boutémy L, J. Aortic involvement in relapsing polychondritis. Joint Bone Spine. 2018;85.",Aortic involvement in relapsing polychondritis,Joint Bone Spine,2018,85,,,,,Besnerais L; Arnaud M; Boutémy L; J
24,"Mcadam LP, 'hanlan O, Bluestone MA, R. Relapsing polychondritis: prospective study of 23 patients and a review of the literature. Medicine (Baltimore). 1976;55.",Relapsing polychondritis: prospective study of 23 patients and a review of the literature,Medicine (Baltimore),1976,55,,,,,Mcadam LP; 'hanlan O; Bluestone MA; R
25,"Damiani JM, Levine HL. Relapsing polychondritis--report of ten cases. Laryngoscope. 1979;89.",Relapsing polychondritis--report of ten cases,Laryngoscope,1979,89,,,,,Damiani JM; Levine HL
26,"Michet CJ, Mckenna CH, Luthra HS. Relapsing polychondritis. Survival and predictive role of early disease manifestations. Ann Intern Med. 1986;104.",Relapsing polychondritis. Survival and predictive role of early disease manifestations,Ann Intern Med,1986,104,,,,,Michet CJ; Mckenna CH; Luthra HS
27,"Rednic S, Damian L, Talarico R. Relapsing polychondritis: state of the art on clinical practice guidelines. RMD Open. 2018;4:e000788.",Relapsing polychondritis: state of the art on clinical practice guidelines,RMD Open,2018,4,,e000788,,,Rednic S; Damian L; Talarico R
28,"Lee KS, Ernst A, Trentham DE. Relapsing polychondritis: prevalence of expiratory CT airway abnormalities. Radiology. 2006;240.",Relapsing polychondritis: prevalence of expiratory CT airway abnormalities,Radiology,2006,240,,,,,Lee KS; Ernst A; Trentham DE
29,"Grenier PA, Beigelman-Aubry C, Brillet PY. Nonneoplastic tracheal and bronchial stenoses. Thorac Surg Clin. 2010;20.",Nonneoplastic tracheal and bronchial stenoses,Thorac Surg Clin,2010,20,,,,,Grenier PA; Beigelman-Aubry C; Brillet PY
30,"Thaiss WM, Nikolaou K, Spengler W. Imaging diagnosis in relapsing polychondritis and correlation with clinical and serological data. Skeletal Radiol. 2016;45.",Imaging diagnosis in relapsing polychondritis and correlation with clinical and serological data,Skeletal Radiol,2016,45,,,,,Thaiss WM; Nikolaou K; Spengler W
31,"Catano J, Uzunhan Y, Paule R. Presentation, Diagnosis, and Management of Subglottic and Tracheal Stenosis During Systemic Inflammatory Diseases. Chest. 2022;161.","Presentation, Diagnosis, and Management of Subglottic and Tracheal Stenosis During Systemic Inflammatory Diseases",Chest,2022,161,,,,,Catano J; Uzunhan Y; Paule R
32,"Jalaber C, Puéchal X, Saab I. Differentiating tracheobronchial involvement in granulomatosis with polyangiitis and relapsing polychondritis on chest CT: a cohort study. Arthritis Res Ther. 2022;24:241.",Differentiating tracheobronchial involvement in granulomatosis with polyangiitis and relapsing polychondritis on chest CT: a cohort study,Arthritis Res Ther,2022,24,,241,,,Jalaber C; Puéchal X; Saab I
33,"Lei W, Zeng H, Zeng DX. F-FDG PET-CT: a powerful tool for the diagnosis and treatment of relapsing polychondritis. Br J Radiol. 2016;89:20150695.",F-FDG PET-CT: a powerful tool for the diagnosis and treatment of relapsing polychondritis,Br J Radiol,2016,89,,20150695,,,Lei W; Zeng H; Zeng DX
34,"Yamashita H, Takahashi H, Kubota K. Utility of fluorodeoxyglucose positron emission tomography/ computed tomography for early diagnosis and evaluation of disease activity of relapsing polychondritis: a case series and literature review. Rheumatology. 2014;53.",Utility of fluorodeoxyglucose positron emission tomography/ computed tomography for early diagnosis and evaluation of disease activity of relapsing polychondritis: a case series and literature review,Rheumatology,2014,53,,,,,Yamashita H; Takahashi H; Kubota K
35,"Prince JS, Duhamel DR, Levin DL. Nonneoplastic lesions of the tracheobronchial wall: radiologic findings with bronchoscopic correlation. Radiographics. 2002;22.",Nonneoplastic lesions of the tracheobronchial wall: radiologic findings with bronchoscopic correlation,Radiographics,2002,22,,,,,Prince JS; Duhamel DR; Levin DL
36,"Ernst A, Feller-Kopman D, Becker HD. Central airway obstruction. Am J Respir Crit Care Med. 2004;169.",Central airway obstruction,Am J Respir Crit Care Med,2004,169,,,,,Ernst A; Feller-Kopman D; Becker HD
37,"Rafeq S, Trentham D, Ernst A. Pulmonary manifestations of relapsing polychondritis. Clin Chest Med. 2010;31.",Pulmonary manifestations of relapsing polychondritis,Clin Chest Med,2010,31,,,,,Rafeq S; Trentham D; Ernst A
38,"Wang ST, Wang J, Gao X. Risk factors associated with severe adverse events in patients with relapsing polychondritis undergoing flexible bronchoscopy. Orphanet J Rare Dis. 2024;19:54.",Risk factors associated with severe adverse events in patients with relapsing polychondritis undergoing flexible bronchoscopy,Orphanet J Rare Dis,2024,19,,54,,,Wang ST; Wang J; Gao X
39,"Mohsenifar Z, Tashkin DP, Carson SA. Pulmonary function in patients with relapsing polychondritis. Chest. 1982;81.",Pulmonary function in patients with relapsing polychondritis,Chest,1982,81,,,,,Mohsenifar Z; Tashkin DP; Carson SA
40,"Wallaert T, Leblond B, D. Respiratory involvement in relapsing polychondritis. Clinical, functional, endoscopic, and radiographic evaluations. Medicine. 1998;77.","Respiratory involvement in relapsing polychondritis. Clinical, functional, endoscopic, and radiographic evaluations",Medicine,1998,77,,,,,Wallaert T; Leblond B; D
41,"Graham BL, Steenbruggen I, Miller MR. Standardization of Spirometry 2019 Update. An Official American Thoracic Society and European Respiratory Society Technical Statement. Am J Respir Crit Care Med. 2019;200.",Standardization of Spirometry 2019 Update. An Official American Thoracic Society and European Respiratory Society Technical Statement,Am J Respir Crit Care Med,2019,200,,,,,Graham BL; Steenbruggen I; Miller MR
42,"Stanojevic S, Kaminsky DA, Miller MR. ERS/ATS technical standard on interpretive strategies for routine lung function tests. Eur Respir J. 2022;60:2101499.",ERS/ATS technical standard on interpretive strategies for routine lung function tests,Eur Respir J,2022,60,,2101499,,,Stanojevic S; Kaminsky DA; Miller MR
43,"King GG, Bates J, Berger KI. Technical standards for respiratory oscillometry. Eur Respir J. 2020;55:1900753.",Technical standards for respiratory oscillometry,Eur Respir J,2020,55,,1900753,,,King GG; Bates J; Berger KI
44,"Kaminsky DA, Simpson SJ, Berger KI. Clinical significance and applications of oscillometry. Eur Respir Rev. 2022;31:210208.",Clinical significance and applications of oscillometry,Eur Respir Rev,2022,31,,210208,,,Kaminsky DA; Simpson SJ; Berger KI
45,"Tsuruoka H, Handa H, Yamashiro T. Correlation between Computed Tomographic Analysis and Pulmonary Function Measurements in Patients with Relapsing Polychondritis. Respiration. 2021;100.",Correlation between Computed Tomographic Analysis and Pulmonary Function Measurements in Patients with Relapsing Polychondritis,Respiration,2021,100,,,,,Tsuruoka H; Handa H; Yamashiro T
46,"Koster MJ, Lasho TL, Olteanu H. VEXAS syndrome: Clinical, hematologic features and a practical approach to diagnosis and management. Am J Hematol. 2024;99.","VEXAS syndrome: Clinical, hematologic features and a practical approach to diagnosis and management",Am J Hematol,2024,99,,,,,Koster MJ; Lasho TL; Olteanu H
47,"Van Der Made CI, Potjewijd J, Hoogstins A. Adultonset autoinflammation caused by somatic mutations in UBA1: A Dutch case series of patients with VEXAS. J Allergy Clin Immunol. 2022;149(4).",Adultonset autoinflammation caused by somatic mutations in UBA1: A Dutch case series of patients with VEXAS,J Allergy Clin Immunol,2022,149,4,,,,Van Der Made CI; Potjewijd J; Hoogstins A
48,"Georgin-Lavialle S, Terrier B, Guedon AF. Further characterization of clinical and laboratory features in VEXAS syndrome: large-scale analysis of a multicentre case series of 116 French patients. Br J Dermatol. 2022;186.",Further characterization of clinical and laboratory features in VEXAS syndrome: large-scale analysis of a multicentre case series of 116 French patients,Br J Dermatol,2022,186,,,,,Georgin-Lavialle S; Terrier B; Guedon AF
49,"Borie R, Debray MP, Guedon AF. Pleuropulmonary Manifestations of Vacuoles, E1 Enzyme, X-Linked, Autoinflammatory, Somatic (VEXAS) Syndrome. Chest. 2023;163.","Pleuropulmonary Manifestations of Vacuoles, E1 Enzyme, X-Linked, Autoinflammatory, Somatic (VEXAS) Syndrome",Chest,2023,163,,,,,Borie R; Debray MP; Guedon AF
50,"Zakine È, Papageorgiou L, Bourguiba R. Clinical and pathological features of cutaneous manifestations in VEXAS syndrome: A multicenter retrospective study of 59 cases. J Am Acad Dermatol. 2023;88.",Clinical and pathological features of cutaneous manifestations in VEXAS syndrome: A multicenter retrospective study of 59 cases,J Am Acad Dermatol,2023,88,,,,,Zakine È; Papageorgiou L; Bourguiba R
51,"Iudici M, Pagnoux C, Courvoisier DS. Localized versus systemic granulomatosis with polyangiitis: data from the French Vasculitis Study Group Registry. Rheumatology. 2022;61.",Localized versus systemic granulomatosis with polyangiitis: data from the French Vasculitis Study Group Registry,Rheumatology,2022,61,,,,,Iudici M; Pagnoux C; Courvoisier DS
52,"Iudici M, Pagnoux C, Courvoisier DS. Granulomatosis with polyangiitis: Study of 795 patients from the French Vasculitis Study Group registry. Semin Arthritis Rheum. 2021;51.",Granulomatosis with polyangiitis: Study of 795 patients from the French Vasculitis Study Group registry,Semin Arthritis Rheum,2021,51,,,,,Iudici M; Pagnoux C; Courvoisier DS
53,"Terrier B, Dechartres A, Girard C. Granulomatosis with polyangiitis: endoscopic management of tracheobronchial stenosis: results from a multicentre experience. Rheumatology. 2015;54.",Granulomatosis with polyangiitis: endoscopic management of tracheobronchial stenosis: results from a multicentre experience,Rheumatology,2015,54,,,,,Terrier B; Dechartres A; Girard C
54,"Marroquín-Fabián E, Ruiz N, Mena-Zúñiga J. Frequency, treatment, evolution, and factors associated with the presence of tracheobronchial stenoses in granulomatosis with polyangiitis. Retrospective analysis of a case series from a single respiratory referral center. Semin Arthritis Rheum. 2019;48.","Frequency, treatment, evolution, and factors associated with the presence of tracheobronchial stenoses in granulomatosis with polyangiitis. Retrospective analysis of a case series from a single respiratory referral center",Semin Arthritis Rheum,2019,48,,,,,Marroquín-Fabián E; Ruiz N; Mena-Zúñiga J
55,"Chambellan A, Turbie P, Nunes H. Endoluminal stenosis of proximal bronchi in sarcoidosis: bronchoscopy, function, and evolution. Chest. 2005;127.","Endoluminal stenosis of proximal bronchi in sarcoidosis: bronchoscopy, function, and evolution",Chest,2005,127,,,,,Chambellan A; Turbie P; Nunes H
56,"Valeyre D, Prasse A, Nunes H. Lancet. Lancet. 2014;383.",Lancet,Lancet,2014,383,,,,,Valeyre D; Prasse A; Nunes H
57,"Tabotta F, Ferretti GR, Prosch H. Imaging features and differential diagnoses of non-neoplastic diffuse mediastinal diseases. Insights Imaging. 2020;11:111.",Imaging features and differential diagnoses of non-neoplastic diffuse mediastinal diseases,Insights Imaging,2020,11,,111,,,Tabotta F; Ferretti GR; Prosch H
58,"Black H, Mendoza M, Murin S. Thoracic manifestations of inflammatory bowel disease. Chest. 2007;131.",Thoracic manifestations of inflammatory bowel disease,Chest,2007,131,,,,,Black H; Mendoza M; Murin S
59,"Ji XQ, Wang LX, Lu DG. Pulmonary manifestations of inflammatory bowel disease. World J Gastroenterol. 2014;20.",Pulmonary manifestations of inflammatory bowel disease,World J Gastroenterol,2014,20,,,,,Ji XQ; Wang LX; Lu DG
60,"Jalil BA, Abdou YG, Rosen SA. Mucous Membrane Pemphigoid Causing Central Airway Obstruction. J Bronchology Interv Pulmonol. 2017;24.",Mucous Membrane Pemphigoid Causing Central Airway Obstruction,J Bronchology Interv Pulmonol,2017,24,,,,,Jalil BA; Abdou YG; Rosen SA
61,"Ahmed AR, Aksoy M, Kinane TB. Pemphigoid of the pulmonary system (POPS): A review of a less recognized feature. Autoimmun Rev. 2022;21:103180.",Pemphigoid of the pulmonary system (POPS): A review of a less recognized feature,Autoimmun Rev,2022,21,,103180,,,Ahmed AR; Aksoy M; Kinane TB
62,"Rousset L, Bohelay G, Gille T. Bronchial involvement in mucous membrane pemphigoid: 2 cases and a literature review. Ann Dermatol Venereol. 2023;150.",Bronchial involvement in mucous membrane pemphigoid: 2 cases and a literature review,Ann Dermatol Venereol,2023,150,,,,,Rousset L; Bohelay G; Gille T
63,"Rashid H, Lamberts A, Borradori L. European guidelines (S3) on diagnosis and management of mucous membrane pemphigoid, initiated by the European Academy of Dermatology and Venereology -Part I. J Eur Acad Dermatol Venereol. 2021;35.","European guidelines (S3) on diagnosis and management of mucous membrane pemphigoid, initiated by the European Academy of Dermatology and Venereology -Part I",J Eur Acad Dermatol Venereol,2021,35,,,,,Rashid H; Lamberts A; Borradori L
64,"Schmidt E, Rashid H, Marzano AV. European Guidelines (S3) on diagnosis and management of mucous membrane pemphigoid, initiated by the European Academy of Dermatology and Venereology -Part II. J Eur Acad Dermatol Venereol. 2021;35.","European Guidelines (S3) on diagnosis and management of mucous membrane pemphigoid, initiated by the European Academy of Dermatology and Venereology -Part II",J Eur Acad Dermatol Venereol,2021,35,,,,,Schmidt E; Rashid H; Marzano AV
65,"Uzunhan Y, Jeny F, Kambouchner M. The Lung in Dysregulated States of Humoral Immunity. Respiration. 2017;94.",The Lung in Dysregulated States of Humoral Immunity,Respiration,2017,94,,,,,Uzunhan Y; Jeny F; Kambouchner M
66,"Rech JS, Arnulf B, De Margerie-Mellon C. Lower respiratory tract amyloidosis: Presentation, survival and prognostic factors. A multicenter consecutive case series. Am J Hematol. 2019;94.","Lower respiratory tract amyloidosis: Presentation, survival and prognostic factors. A multicenter consecutive case series",Am J Hematol,2019,94,,,,,Rech JS; Arnulf B; De Margerie-Mellon C
67,"Mahmood S, Bridoux F, Venner CP. Natural history and outcomes in localised immunoglobulin light-chain amyloidosis: a long-term observational study. Lancet Haematol. 2015;2.",Natural history and outcomes in localised immunoglobulin light-chain amyloidosis: a long-term observational study,Lancet Haematol,2015,2,,,,,Mahmood S; Bridoux F; Venner CP
68,"Milani P, Basset M, Russo F. The lung in amyloidosis. Eur Respir Rev. 2017;26:170046.",The lung in amyloidosis,Eur Respir Rev,2017,26,,170046,,,Milani P; Basset M; Russo F
69,"Muller R, Ebbo M, Habert P. Thoracic manifestations of IgG4-related disease. Respirology. 2023;28.",Thoracic manifestations of IgG4-related disease,Respirology,2023,28,,,,,Muller R; Ebbo M; Habert P
70,"Wallace ZS, Naden RP, Chari S. The 2019 American College of Rheumatology/European League Against Rheumatism Classification Criteria for IgG4-Related Disease. Arthritis Rheumatol. 2020;72.",The 2019 American College of Rheumatology/European League Against Rheumatism Classification Criteria for IgG4-Related Disease,Arthritis Rheumatol,2020,72,,,,,Wallace ZS; Naden RP; Chari S
71,"Kim YJ, Jung CY, Shin HW. Biomass smoke induced bronchial anthracofibrosis: presenting features and clinical course. Respir Med. 2009;103.",Biomass smoke induced bronchial anthracofibrosis: presenting features and clinical course,Respir Med,2009,103,,,,,Kim YJ; Jung CY; Shin HW
72,"Cho Y, Choi M, Myong JP. The association between bronchial anthracofibrosis and pneumoconiosis: A retrospective cross-sectional study. J Occup Health. 2015;57.",The association between bronchial anthracofibrosis and pneumoconiosis: A retrospective cross-sectional study,J Occup Health,2015,57,,,,,Cho Y; Choi M; Myong JP
73,"Zhu Y, Wu N, Huang HD. A clinical study of tracheobronchopathia osteochondroplastica: findings from a large Chinese cohort. PLoS One. 2014;9:102068.",A clinical study of tracheobronchopathia osteochondroplastica: findings from a large Chinese cohort,PLoS One,2014,9,,102068,,,Zhu Y; Wu N; Huang HD
74,"Dumazet A, Launois C, Lebargy F. Tracheobronchopathia osteochondroplastica: clinical, bronchoscopic, and comorbid features in a case series. BMC Pulm Med. 2022;22:423.","Tracheobronchopathia osteochondroplastica: clinical, bronchoscopic, and comorbid features in a case series",BMC Pulm Med,2022,22,,423,,,Dumazet A; Launois C; Lebargy F
75,"Aravena C, Almeida FA, Mukhopadhyay S. Idiopathic subglottic stenosis: a review. J Thorac Dis. 2020;12.",Idiopathic subglottic stenosis: a review,J Thorac Dis,2020,12,,,,,Aravena C; Almeida FA; Mukhopadhyay S
76, J Thorac Dis. J Thorac Dis. 2025;17(1). doi:10.21037/jtd-24-1603.,J Thorac Dis,J Thorac Dis,2025,17,1,,10.21037/jtd-24-1603,,
77,"Schweipert J, Riediger C, Balandat JE. The role of local expression of hormone receptors in the genesis of idiopathic tracheal stenosis. J Thorac Dis. 2023;15.",The role of local expression of hormone receptors in the genesis of idiopathic tracheal stenosis,J Thorac Dis,2023,15,,,,,Schweipert J; Riediger C; Balandat JE
78,"Pathak V, Shepherd RW, Shojaee S. Tracheobronchial tuberculosis. J Thorac Dis. 2016;8.",Tracheobronchial tuberculosis,J Thorac Dis,2016,8,,,,,Pathak V; Shepherd RW; Shojaee S
79,Junker K. Pathology of tracheal tumors. Thorac Surg Clin. 2014;24.,Pathology of tracheal tumors,Thorac Surg Clin,2014,24,,,,,Junker K
80,"Gaafar HA, Gaafar AH, Nour YA. Rhinoscleroma: an updated experience through the last 10 years. Acta Otolaryngol. 2011;131.",Rhinoscleroma: an updated experience through the last 10 years,Acta Otolaryngol,2011,131,,,,,Gaafar HA; Gaafar AH; Nour YA
81,"Songu M, Ozkul Y. Risk Factors for Adult Postintubation Tracheal Stenosis. J Craniofac Surg. 2019;30.",Risk Factors for Adult Postintubation Tracheal Stenosis,J Craniofac Surg,2019,30,,,,,Songu M; Ozkul Y
82,"Mauhin W, Brassier A, London J. Pulmonary phenotypes of inborn errors of metabolism. Rev Mal Respir. 2022;39.",Pulmonary phenotypes of inborn errors of metabolism,Rev Mal Respir,2022,39,,,,,Mauhin W; Brassier A; London J
83,"Fortes HR, Ranke V, Escuissato FM, DL. Recurrent respiratory papillomatosis: A state-of-the-art review. Respir Med. 2017;126.",Recurrent respiratory papillomatosis: A state-of-the-art review,Respir Med,2017,126,,,,,Fortes HR; Ranke V; Escuissato FM; DL
84,"Shimizu J, Yamano Y, Kawahata K. Nationwide crosssectional survey of patients with relapsing polychondritis in 2019 demonstrates reduction of airway involvement compared with that in 2009. Sci Rep. 2022;12:465.",Nationwide crosssectional survey of patients with relapsing polychondritis in 2019 demonstrates reduction of airway involvement compared with that in 2009,Sci Rep,2022,12,,465,,,Shimizu J; Yamano Y; Kawahata K
85,"Arnaud L, Devilliers H, Peng SL. The Relapsing Polychondritis Disease Activity Index: development of a disease activity score for relapsing polychondritis. Autoimmun Rev. 2012;12.",The Relapsing Polychondritis Disease Activity Index: development of a disease activity score for relapsing polychondritis,Autoimmun Rev,2012,12,,,,,Arnaud L; Devilliers H; Peng SL
86,"Mertz P, Belot A, Cervera R. The relapsing polychondritis damage index (RPDAM): Development of a disease-specific damage score for relapsing polychondritis. Joint Bone Spine. 2019;86.",The relapsing polychondritis damage index (RPDAM): Development of a disease-specific damage score for relapsing polychondritis,Joint Bone Spine,2019,86,,,,,Mertz P; Belot A; Cervera R
87,"Arnaud L, Costedoat-Chalumeau N, Mathian A. French practical guidelines for the diagnosis and management of relapsing polychondritis. Rev Med Interne. 2023;44.",French practical guidelines for the diagnosis and management of relapsing polychondritis,Rev Med Interne,2023,44,,,,,Arnaud L; Costedoat-Chalumeau N; Mathian A
88,"Lekpa K, Kraus F, Chevalier VB, X. Biologics in relapsing polychondritis: a literature review. Semin Arthritis Rheum. 2012;41.",Biologics in relapsing polychondritis: a literature review,Semin Arthritis Rheum,2012,41,,,,,Lekpa K; Kraus F; Chevalier VB; X
89,"Moulis G, Pugnet G, Costedoat-Chalumeau N. Efficacy and safety of biologics in relapsing polychondritis: a French national multicentre study. Ann Rheum Dis. 2018;77.",Efficacy and safety of biologics in relapsing polychondritis: a French national multicentre study,Ann Rheum Dis,2018,77,,,,,Moulis G; Pugnet G; Costedoat-Chalumeau N
90,"Petitdemange A, Sztejkowski C, Damian L. Treatment of relapsing polychondritis: a systematic review. Clin Exp Rheumatol. 2022;40.",Treatment of relapsing polychondritis: a systematic review,Clin Exp Rheumatol,2022,40,,,,,Petitdemange A; Sztejkowski C; Damian L
91,"Sarodia BD, Dasgupta A, Mehta AC. Management of airway manifestations of relapsing polychondritis: case reports and review of literature. Chest. 1999;116.",Management of airway manifestations of relapsing polychondritis: case reports and review of literature,Chest,1999,116,,,,,Sarodia BD; Dasgupta A; Mehta AC
92,"Portela S, Radu AM, Onorati DM, I. Interventionnal bronchoscopy for the treatment of tracheobronchomalacia. Rev Mal Respir. 2023;40.",Interventionnal bronchoscopy for the treatment of tracheobronchomalacia,Rev Mal Respir,2023,40,,,,,Portela S; Radu AM; Onorati DM; I
93,"Wu X, Zhang X, Zhang W. Long-Term Outcome of Metallic Stenting for Central Airway Involvement in Relapsing Polychondritis. Ann Thorac Surg. 2019;108.",Long-Term Outcome of Metallic Stenting for Central Airway Involvement in Relapsing Polychondritis,Ann Thorac Surg,2019,108,,,,,Wu X; Zhang X; Zhang W
94,"Mitilian D, Gonin F, Sage E. From relapsing polychondritis to extracorporeal membrane oxygenation. J Thorac Cardiovasc Surg. 2013;146.",From relapsing polychondritis to extracorporeal membrane oxygenation,J Thorac Cardiovasc Surg,2013,146,,,,,Mitilian D; Gonin F; Sage E
95,"Martinod E, Portela AM, Uzunhan Y. Elective extra corporeal membrane oxygenation for high-risk rigid bronchoscopy. Thorax. 2020;75.",Elective extra corporeal membrane oxygenation for high-risk rigid bronchoscopy,Thorax,2020,75,,,,,Martinod E; Portela AM; Uzunhan Y
96,"Spraggs PD, Tostevin PM, Howard DJ. Management of laryngotracheobronchial sequelae and complications of relapsing polychondritis. Laryngoscope. 1997;107.",Management of laryngotracheobronchial sequelae and complications of relapsing polychondritis,Laryngoscope,1997,107,,,,,Spraggs PD; Tostevin PM; Howard DJ
