#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Ibrahim WH. Massive haemoptysis: the definition should be revised. Eur Respir J. 2008;32(4).,Massive haemoptysis: the definition should be revised,Eur Respir J,2008,32,4,,,,Ibrahim WH
16,"Bernasconi M, Koegelenberg C, Koutsokera A. Iatrogenic bleeding during flexible bronchoscopy: risk factors, prophylactic measures and management. ERJ Open Res. 2017;3(2).","Iatrogenic bleeding during flexible bronchoscopy: risk factors, prophylactic measures and management",ERJ Open Res,2017,3,2,,,,Bernasconi M; Koegelenberg C; Koutsokera A
17,"Kvale PA, Selecky PA, Prakash UB, College A, Physicians C. Palliative care in lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132(3).",Palliative care in lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,3,,,,Kvale PA; Selecky PA; Prakash UB; College A; Physicians C
18,"Arooj P, Bredin E, Henry MT. Bronchoscopy in the investigation of outpatients with hemoptysis at a lung cancer clinic. Respir Med. 2018;139.",Bronchoscopy in the investigation of outpatients with hemoptysis at a lung cancer clinic,Respir Med,2018,139,,,,,Arooj P; Bredin E; Henry MT
19,"Miller RR, Mcgregor DH. Hemorrhage from carcinoma of the lung. Cancer. 1980;46(1).",Hemorrhage from carcinoma of the lung,Cancer,1980,46,1,,,,Miller RR; Mcgregor DH
20,"Coss-Bu JA, Sachdeva RC, Bricker JT, Harrison GM, Jefferson LS. Hemoptysis: a 10-year retrospective study. Pediatrics. 1997;100(3):E7.",Hemoptysis: a 10-year retrospective study,Pediatrics,1997,100,3,E7,,,Coss-Bu JA; Sachdeva RC; Bricker JT; Harrison GM; Jefferson LS
21,"Mal H, Rullon I, Mellot F. Immediate and long-term results of bronchial artery embolization for life-threatening hemoptysis. Chest. 1999;115(4).",Immediate and long-term results of bronchial artery embolization for life-threatening hemoptysis,Chest,1999,115,4,,,,Mal H; Rullon I; Mellot F
22,"Herth FJ, Becker HD, Ernst A. Aspirin does not increase bleeding complications after transbronchial biopsy. Chest. 2002;122(4).",Aspirin does not increase bleeding complications after transbronchial biopsy,Chest,2002,122,4,,,,Herth FJ; Becker HD; Ernst A
23,"Ernst A, Eberhardt R, Wahidi M, Becker HD, Herth FJ. Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans. Chest. 2006;129(3).",Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans,Chest,2006,129,3,,,,Ernst A; Eberhardt R; Wahidi M; Becker HD; Herth FJ
24,"George JN, Shattil SJ. The clinical importance of acquired abnormalities of platelet function. N Engl J Med. 1991;324(1).",The clinical importance of acquired abnormalities of platelet function,N Engl J Med,1991,324,1,,,,George JN; Shattil SJ
25,"Mannucci PM, Remuzzi G, Pusineri F. Deamino-8-D-arginine vasopressin shortens the bleeding time in uremia. N Engl J Med. 1983;308(1).",Deamino-8-D-arginine vasopressin shortens the bleeding time in uremia,N Engl J Med,1983,308,1,,,,Mannucci PM; Remuzzi G; Pusineri F
26,"Khan I, Bellinger C, Lamb C, Chin R, Conforti J. Bronchoscopy in uremic patients. Clin Pulm Med. 2010;17(3).",Bronchoscopy in uremic patients,Clin Pulm Med,2010,17,3,,,,Khan I; Bellinger C; Lamb C; Chin R; Conforti J
27,"Wahidi MM, Rocha AT, Hollingsworth JW, Govert JA, Feller-Kopman D, EA. Contraindications and safety of transbronchial lung biopsy via flexible bronchoscopy. A survey of pulmonologists and review of the literature. Respiration. 2005;72(3).",Contraindications and safety of transbronchial lung biopsy via flexible bronchoscopy. A survey of pulmonologists and review of the literature,Respiration,2005,72,3,,,,Wahidi MM; Rocha AT; Hollingsworth JW; Govert JA; Feller-Kopman D; EA
28,"Papin TA, Lynch JP, Iii, Weg JG. Transbronchial biopsy in the thrombocytopenic patient. Chest. 1985;88(4).",Transbronchial biopsy in the thrombocytopenic patient,Chest,1985,88,4,,,,Papin TA; Lynch JP; Iii; Weg JG
29,"Diaz-Fuentes G, Bajantri B, Adrish M. Safety of bronchoscopy in patients with echocardiographic evidence of pulmonary hypertension. Respiration. 2016;92(3).",Safety of bronchoscopy in patients with echocardiographic evidence of pulmonary hypertension,Respiration,2016,92,3,,,,Diaz-Fuentes G; Bajantri B; Adrish M
30,"Hetzel J, Maldonado F, Ravaglia C. Transbronchial cryobiopsies for the diagnosis of diffuse parenchymal lung diseases: expert statement from the cryobiopsy working group on safety and utility and a call for standardization of the procedure. Respiration. 2018;95(3).",Transbronchial cryobiopsies for the diagnosis of diffuse parenchymal lung diseases: expert statement from the cryobiopsy working group on safety and utility and a call for standardization of the procedure,Respiration,2018,95,3,,,,Hetzel J; Maldonado F; Ravaglia C
31,"Ravaglia C, Bonifazi M, Wells AU. Safety and diagnostic yield of transbronchial lung cryobiopsy in diffuse parenchymal lung diseases: a comparative study versus video-assisted thoracoscopic lung biopsy and a systematic review of the literature. Respiration. 2016;91(3).",Safety and diagnostic yield of transbronchial lung cryobiopsy in diffuse parenchymal lung diseases: a comparative study versus video-assisted thoracoscopic lung biopsy and a systematic review of the literature,Respiration,2016,91,3,,,,Ravaglia C; Bonifazi M; Wells AU
32,"Campos JH, Hallam EA, Van Natta T, Kernstine KH. Devices for lung isolation used by anesthesiologists with limited thoracic experience: comparison of double-lumen endotracheal tube, Univent torque control blocker, and Arndt wire-guided endobronchial blocker. Anesthesiology. 2006;104(2).","Devices for lung isolation used by anesthesiologists with limited thoracic experience: comparison of double-lumen endotracheal tube, Univent torque control blocker, and Arndt wire-guided endobronchial blocker",Anesthesiology,2006,104,2,,,,Campos JH; Hallam EA; Van Natta T; Kernstine KH
33,"Mason RP, Broaddus VC, Martin TR. s Textbook of Respiratory Medicine. s Textbook of Respiratory Medicine. 2010;None.",s Textbook of Respiratory Medicine,s Textbook of Respiratory Medicine,2010,,,,,,Mason RP; Broaddus VC; Martin TR
34,Mcdonald DM. Angiogenesis and remodeling of airway vasculature in chronic inflammation. Am J Respir Crit Care Med. 2001;164(10 Pt 2).,Angiogenesis and remodeling of airway vasculature in chronic inflammation,Am J Respir Crit Care Med,2001,164,10 Pt 2,,,,Mcdonald DM
35,"Yoon YC, Lee KS, Jeong YJ, Shin SW, Chung MJ, Kwon OJ. Hemoptysis: bronchial and nonbronchial systemic arteries at 16detector row CT. Radiology. 2005;234(1).",Hemoptysis: bronchial and nonbronchial systemic arteries at 16detector row CT,Radiology,2005,234,1,,,,Yoon YC; Lee KS; Jeong YJ; Shin SW; Chung MJ; Kwon OJ
36,"Hartmann IJ, Remy-Jardin M, Menchini L, Teisseire A, Khalil C, RJ. Ectopic origin of bronchial arteries: assessment with multidetector helical CT angiography. Eur Radiol. 2007;17(8).",Ectopic origin of bronchial arteries: assessment with multidetector helical CT angiography,Eur Radiol,2007,17,8,,,,Hartmann IJ; Remy-Jardin M; Menchini L; Teisseire A; Khalil C; RJ
37,"Revel MP, Fournier LS, Hennebicque AS. Can CT replace bronchoscopy in the detection of the site and cause of bleeding in patients with large or massive hemoptysis?. AJR Am J Roentgenol. 2002;179(5).",Can CT replace bronchoscopy in the detection of the site and cause of bleeding in patients with large or massive hemoptysis?,AJR Am J Roentgenol,2002,179,5,,,,Revel MP; Fournier LS; Hennebicque AS
38,"Hirshberg B, Biran I, Glazer M, Kramer MR. Hemoptysis: etiology, evaluation, and outcome in a tertiary referral hospital. Chest. 1997;112(2).","Hemoptysis: etiology, evaluation, and outcome in a tertiary referral hospital",Chest,1997,112,2,,,,Hirshberg B; Biran I; Glazer M; Kramer MR
39,"Tsoumakidou M, Chrysofakis G, Tsiligianni I, Maltezakis G, Siafakas NM, Tzanakis N. A prospective analysis of 184 hemoptysis cases: diagnostic impact of chest x-ray, computed tomography, bronchoscopy. Respiration. 2006;73(6).","A prospective analysis of 184 hemoptysis cases: diagnostic impact of chest x-ray, computed tomography, bronchoscopy",Respiration,2006,73,6,,,,Tsoumakidou M; Chrysofakis G; Tsiligianni I; Maltezakis G; Siafakas NM; Tzanakis N
40,"Herth F, Ernst A, Becker HD. Long-term outcome and lung cancer incidence in patients with hemoptysis of unknown origin. Chest. 2001;120(5).",Long-term outcome and lung cancer incidence in patients with hemoptysis of unknown origin,Chest,2001,120,5,,,,Herth F; Ernst A; Becker HD
41,"Gupta M, Srivastava DN, Seith A, Sharma S, Thulkar S, Gupta R. Clinical impact of multidetector row computed tomography before bronchial artery embolization in patients with hemoptysis: a prospective study. Can Assoc Radiol J. 2013;64(1).",Clinical impact of multidetector row computed tomography before bronchial artery embolization in patients with hemoptysis: a prospective study,Can Assoc Radiol J,2013,64,1,,,,Gupta M; Srivastava DN; Seith A; Sharma S; Thulkar S; Gupta R
42,"Noe GD, Jaffe SM, Molan MP. CT and CT angiography in massive haemoptysis with emphasis on pre-embolization assessment. Clin Radiol. 2011;66(9).",CT and CT angiography in massive haemoptysis with emphasis on pre-embolization assessment,Clin Radiol,2011,66,9,,,,Noe GD; Jaffe SM; Molan MP
43,"Khalil A, Fartoukh M, Parrot A, Bazelly B, Marsault C, Carette MF. Impact of MDCT angiography on the management of patients with hemoptysis. AJR Am J Roentgenol. 2010;195(3).",Impact of MDCT angiography on the management of patients with hemoptysis,AJR Am J Roentgenol,2010,195,3,,,,Khalil A; Fartoukh M; Parrot A; Bazelly B; Marsault C; Carette MF
44,Jean-Baptiste E. Clinical assessment and management of massive hemoptysis. Crit Care Med. 2000;28(5).,Clinical assessment and management of massive hemoptysis,Crit Care Med,2000,28,5,,,,Jean-Baptiste E
45,"Gagnon S, Quigley N, Dutau H, Delage A, Fortin M. Approach to hemoptysis in the modern era. Can Respir J. 2017;2017:1565030.",Approach to hemoptysis in the modern era,Can Respir J,2017,2017,,1565030,,,Gagnon S; Quigley N; Dutau H; Delage A; Fortin M
46,Campos JH. An update on bronchial blockers during lung separation techniques in adults. Anesth Analg. 2003;97(5).,An update on bronchial blockers during lung separation techniques in adults,Anesth Analg,2003,97,5,,,,Campos JH
47,"Haponik EF, Fein A, Chin R. Managing life-threatening hemoptysis: Has anything really changed?. Chest. 2000;118(5).",Managing life-threatening hemoptysis: Has anything really changed?,Chest,2000,118,5,,,,Haponik EF; Fein A; Chin R
48,"Radchenko C, Alraiyes AH, Shojaee S. A systematic approach to the management of massive hemoptysis. J Thorac Dis. 2017;9(suppl 10).",A systematic approach to the management of massive hemoptysis,J Thorac Dis,2017,9,suppl 10,,,,Radchenko C; Alraiyes AH; Shojaee S
49,"Sehgal IS, Dhooria S, Agarwal R, Behera D. Use of a flexible cryoprobe for removal of tracheobronchial blood clots. Respir Care. 2015;60(7).",Use of a flexible cryoprobe for removal of tracheobronchial blood clots,Respir Care,2015,60,7,,,,Sehgal IS; Dhooria S; Agarwal R; Behera D
50,"Conlan AA, Hurwitz SS. Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage. Thorax. 1980;35(12).",Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage,Thorax,1980,35,12,,,,Conlan AA; Hurwitz SS
51,"Khoo KL, Lee P, Mehta AC. Endobronchial epinephrine: Confusion is in the air. Am J Respir Crit Care Med. 2013;187(10).",Endobronchial epinephrine: Confusion is in the air,Am J Respir Crit Care Med,2013,187,10,,,,Khoo KL; Lee P; Mehta AC
52,"Steinfort DP, Herth FJ, Eberhardt R, Irving LB. Potentially fatal arrhythmia complicating endobronchial epinephrine for control of iatrogenic bleeding. Am J Respir Crit Care Med. 2012;185(9).",Potentially fatal arrhythmia complicating endobronchial epinephrine for control of iatrogenic bleeding,Am J Respir Crit Care Med,2012,185,9,,,,Steinfort DP; Herth FJ; Eberhardt R; Irving LB
53,"Valipour A, Kreuzer A, Koller H, Koessler W, Burghuber OC. Bronchoscopy-guided topical hemostatic tamponade therapy for the management of life-threatening hemoptysis. Chest. 2005;127(6).",Bronchoscopy-guided topical hemostatic tamponade therapy for the management of life-threatening hemoptysis,Chest,2005,127,6,,,,Valipour A; Kreuzer A; Koller H; Koessler W; Burghuber OC
54,"Han CC, Prasetyo D, Wright GM. Endobronchial palliation using Nd:YAG laser is associated with improved survival when combined with multimodal adjuvant treatments. J Thorac Oncol. 2007;2(1).",Endobronchial palliation using Nd:YAG laser is associated with improved survival when combined with multimodal adjuvant treatments,J Thorac Oncol,2007,2,1,,,,Han CC; Prasetyo D; Wright GM
55,"Morice RC, Ece T, Ece F, Keus L. Endobronchial argon plasma coagulation for treatment of hemoptysis and neoplastic airway obstruction. Chest. 2001;119(3).",Endobronchial argon plasma coagulation for treatment of hemoptysis and neoplastic airway obstruction,Chest,2001,119,3,,,,Morice RC; Ece T; Ece F; Keus L
56,"Peralta AR, Chawla M, Lee RP. Novel bronchoscopic management of airway bleeding with absorbable gelatin and thrombin slurry. J Bronchology Interv Pulmonol. 2018;25(3).",Novel bronchoscopic management of airway bleeding with absorbable gelatin and thrombin slurry,J Bronchology Interv Pulmonol,2018,25,3,,,,Peralta AR; Chawla M; Lee RP
57,"Bylicki O, Vandemoortele T, Laroumagne S, Astoul P, Dutau H. Temporary endobronchial embolization with silicone spigots for moderate hemoptysis: a retrospective study. Respiration. 2012;84(3).",Temporary endobronchial embolization with silicone spigots for moderate hemoptysis: a retrospective study,Respiration,2012,84,3,,,,Bylicki O; Vandemoortele T; Laroumagne S; Astoul P; Dutau H
58,"Bhattacharyya P, Dutta A, Samanta AN, Chowdhury SR. New procedure: bronchoscopic endobronchial sealing; a new mode of managing hemoptysis. Chest. 2002;121(6).",New procedure: bronchoscopic endobronchial sealing; a new mode of managing hemoptysis,Chest,2002,121,6,,,,Bhattacharyya P; Dutta A; Samanta AN; Chowdhury SR
59,"Tsukamoto T, Sasaki H, Nakamura H. Treatment of hemoptysis patients by thrombin and fibrinogen-thrombin infusion therapy using a fiberoptic bronchoscope. Chest. 1989;96(3).",Treatment of hemoptysis patients by thrombin and fibrinogen-thrombin infusion therapy using a fiberoptic bronchoscope,Chest,1989,96,3,,,,Tsukamoto T; Sasaki H; Nakamura H
60,"Lee SA, Kim DH, Jeon GS. Covered bronchial stent insertion to manage airway obstruction with hemoptysis caused by lung cancer. Korean J Radiol. 2012;13(4).",Covered bronchial stent insertion to manage airway obstruction with hemoptysis caused by lung cancer,Korean J Radiol,2012,13,4,,,,Lee SA; Kim DH; Jeon GS
61,"Bellam BL, Dhibar DP, Suri V. Efficacy of tranexamic acid in haemoptysis: A randomized, controlled pilot study. Pulm Pharmacol Ther. 2016;40.","Efficacy of tranexamic acid in haemoptysis: A randomized, controlled pilot study",Pulm Pharmacol Ther,2016,40,,,,,Bellam BL; Dhibar DP; Suri V
62,"Wand O, Guber E, Guber A et al.. Inhaled tranexamic acid for hemoptysis treatment: a randomized controlled trial. Chest. 2018;154(6).",Inhaled tranexamic acid for hemoptysis treatment: a randomized controlled trial,Chest,2018,154,6,,,,Wand O; Guber E; Guber A; Shochet E; Israeli-Shani G; Shitrit L; D
63,"Heslet L, Nielsen JD, Levi M, Sengelov H, Johansson PI. Successful pulmonary administration of activated recombinant factor VII in diffuse alveolar hemorrhage. Crit Care. 2006;10(6):R177.",Successful pulmonary administration of activated recombinant factor VII in diffuse alveolar hemorrhage,Crit Care,2006,10,6,R177,,,Heslet L; Nielsen JD; Levi M; Sengelov H; Johansson PI
64,"Sakr L, Dutau H. Massive hemoptysis: an update on the role of bronchoscopy in diagnosis and management. Respiration. 2010;80(1).",Massive hemoptysis: an update on the role of bronchoscopy in diagnosis and management,Respiration,2010,80,1,,,,Sakr L; Dutau H
65,"Remy J, Voisin C, Dupuis C. Treatment of hemoptysis by embolization of the systemic circulation. Ann Radiol. 1974;17(1).",Treatment of hemoptysis by embolization of the systemic circulation,Ann Radiol,1974,17,1,,,,Remy J; Voisin C; Dupuis C
66,"Lee H, Yoon CJ, Seong NJ, Jeon CH, Yoon HI, Go J. Cryptogenic hemoptysis: effectiveness of bronchial artery embolization using n-butyl cyanoacrylate. J Vasc Interv Radiol. 2017;28(8).",Cryptogenic hemoptysis: effectiveness of bronchial artery embolization using n-butyl cyanoacrylate,J Vasc Interv Radiol,2017,28,8,,,,Lee H; Yoon CJ; Seong NJ; Jeon CH; Yoon HI; Go J
67,"Panda A, Bhalla AS, Goyal A. Bronchial artery embolization in hemoptysis: a systematic review. Diagn Interv Radiol. 2017;23(4).",Bronchial artery embolization in hemoptysis: a systematic review,Diagn Interv Radiol,2017,23,4,,,,Panda A; Bhalla AS; Goyal A
68,"Fruchter O, Schneer S, Rusanov V, Belenky A, Kramer MR. Bronchial artery embolization for massive hemoptysis: long-term follow-up. Asian Cardiovasc Thorac Ann. 2015;23(1).",Bronchial artery embolization for massive hemoptysis: long-term follow-up,Asian Cardiovasc Thorac Ann,2015,23,1,,,,Fruchter O; Schneer S; Rusanov V; Belenky A; Kramer MR
69,"Marshall TJ, Flower CD, Jackson JE. The role of radiology in the investigation and management of patients with haemoptysis. Clin Radiol. 1996;51(6).",The role of radiology in the investigation and management of patients with haemoptysis,Clin Radiol,1996,51,6,,,,Marshall TJ; Flower CD; Jackson JE
70,"Endo S, Otani S, Saito N. Management of massive hemoptysis in a thoracic surgical unit. Eur J Cardiothorac Surg. 2003;23(4).",Management of massive hemoptysis in a thoracic surgical unit,Eur J Cardiothorac Surg,2003,23,4,,,,Endo S; Otani S; Saito N
71,"Yun JS, Song SY, Na KJ. Surgery for hemoptysis in patients with benign lung disease. J Thorac Dis. 2018;10(6).",Surgery for hemoptysis in patients with benign lung disease,J Thorac Dis,2018,10,6,,,,Yun JS; Song SY; Na KJ
72,"Andrejak C, Parrot A, Bazelly B. Surgical lung resection for severe hemoptysis. Ann Thorac Surg. 2009;88(5).",Surgical lung resection for severe hemoptysis,Ann Thorac Surg,2009,88,5,,,,Andrejak C; Parrot A; Bazelly B
