#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Semaan R, Yarmus L. Rigid bronchoscopy and silicone stents in the management of central airway obstruction. J Thorac Dis. 2015;7(Suppl 4).",Rigid bronchoscopy and silicone stents in the management of central airway obstruction,J Thorac Dis,2015,7,Suppl 4,,,,Semaan R; Yarmus L
20,"Davoudi M, Shakkottai S, Colt HG. Safety of therapeutic rigid bronchoscopy in people aged 80 and older: a retrospective cohort analysis. J Am Geriatr Soc. 2008;56(5).",Safety of therapeutic rigid bronchoscopy in people aged 80 and older: a retrospective cohort analysis,J Am Geriatr Soc,2008,56,5,,,,Davoudi M; Shakkottai S; Colt HG
21,"Ehrenfeld JM, Funk LM, Van Schalkwyk J, Merry AF, Sandberg WS, Gawande A. The incidence of hypoxemia during surgery: evidence from two institutions. Can J Anaesth. 2010;57(10).",The incidence of hypoxemia during surgery: evidence from two institutions,Can J Anaesth,2010,57,10,,,,Ehrenfeld JM; Funk LM; Van Schalkwyk J; Merry AF; Sandberg WS; Gawande A
22,"Ernst A, Simoff M, Ost D, Goldman Y, Herth FJ. Prospective risk-adjusted morbidity and mortality outcome analysis after therapeutic bronchoscopic procedures: results of a multiinstitutional outcomes database. Chest. 2008;134(3).",Prospective risk-adjusted morbidity and mortality outcome analysis after therapeutic bronchoscopic procedures: results of a multiinstitutional outcomes database,Chest,2008,134,3,,,,Ernst A; Simoff M; Ost D; Goldman Y; Herth FJ
23,"Eapen GA, Shah AM, Lei X, Jimenez CA, Morice RC, Yarmus L. American College of Chest Physicians Quality Improvement Registry, Education, and Evaluation (AQuIRE) Participants. Complications, consequences, and practice patterns of endobronchial ultrasound-guided transbronchial needle aspiration: results of the AQuI-RE registry. Chest. 2013;143(4).","American College of Chest Physicians Quality Improvement Registry, Education, and Evaluation (AQuIRE) Participants. Complications, consequences, and practice patterns of endobronchial ultrasound-guided transbronchial needle aspiration: results of the AQuI-RE registry",Chest,2013,143,4,,,,Eapen GA; Shah AM; Lei X; Jimenez CA; Morice RC; Yarmus L
24,"Bijker JB, Van Klei WA, Kappen TH, Van Wolfswinkel L, Moons KG, Kalkman CJ. Incidence of intraoperative hypotension as a function of the chosen definition: literature definitions applied to a retrospective cohort using automated data collection. Anesthesiology. 2007;107(2).",Incidence of intraoperative hypotension as a function of the chosen definition: literature definitions applied to a retrospective cohort using automated data collection,Anesthesiology,2007,107,2,,,,Bijker JB; Van Klei WA; Kappen TH; Van Wolfswinkel L; Moons KG; Kalkman CJ
25,"Hehn BT, Haponik E, Rubin HR, Lechtzin N, Diette GB. The relationship between age and process of care and patient tolerance of bronchoscopy. J Am Geriatr Soc. 2003;51(7).",The relationship between age and process of care and patient tolerance of bronchoscopy,J Am Geriatr Soc,2003,51,7,,,,Hehn BT; Haponik E; Rubin HR; Lechtzin N; Diette GB
26,"Allan PF, Ouellette CD. Bronchoscopic procedures in octogenarians: a case-control analysis. J Bronchology Interv Pulmonol. 2003;10(2).",Bronchoscopic procedures in octogenarians: a case-control analysis,J Bronchology Interv Pulmonol,2003,10,2,,,,Allan PF; Ouellette CD
27,"Galway U, Doyle DJ, Gildea T. Anesthesia for endoscopic palliative management of a patient with a large anterior mediastinal mass. J Clin Anesth. 2009;21(2).",Anesthesia for endoscopic palliative management of a patient with a large anterior mediastinal mass,J Clin Anesth,2009,21,2,,,,Galway U; Doyle DJ; Gildea T
28,Purugganan RV. Intravenous anesthesia for thoracic procedures. Curr Opin Anaesthesiol. 2008;21(1).,Intravenous anesthesia for thoracic procedures,Curr Opin Anaesthesiol,2008,21,1,,,,Purugganan RV
29,Sullivan EA. Anesthetic considerations for special thoracic procedures. Thorac Surg Clin. 2005;15(1).,Anesthetic considerations for special thoracic procedures,Thorac Surg Clin,2005,15,1,,,,Sullivan EA
30,Conacher ID. Anaesthesia and tracheobronchial stenting for central airway obstruction in adults. Br J Anaesth. 2003;90(3).,Anaesthesia and tracheobronchial stenting for central airway obstruction in adults,Br J Anaesth,2003,90,3,,,,Conacher ID
31,"Beecher HK, Todd DP. A study of the deaths associated with anesthesia and surgery: based on a study of 599, 548 anesthesias in ten institutions 1948-1952, inclusive. Respiration. 1954;140(1). doi:10.1159/000504679.","A study of the deaths associated with anesthesia and surgery: based on a study of 599, 548 anesthesias in ten institutions 1948-1952, inclusive",Respiration,1954,140,1,,10.1159/000504679,,Beecher HK; Todd DP
32,"Murphy GS, Szokol JW, Avram MJ, Greenberg SB, Shear TD, Vender JS. Residual Neuromuscular Block in the Elderly: Incidence and Clinical Implications. Anesthesiology. 2015;123(6).",Residual Neuromuscular Block in the Elderly: Incidence and Clinical Implications,Anesthesiology,2015,123,6,,,,Murphy GS; Szokol JW; Avram MJ; Greenberg SB; Shear TD; Vender JS
33,"Fortier LP, Mckeen D, Turner K, De Médicis É, Warriner B, Jones PM. The RECITE Study: A Canadian Prospective, Multicenter Study of the Incidence and Severity of Residual Neuromuscular Blockade. Anesth Analg. 2015;121(2).","The RECITE Study: A Canadian Prospective, Multicenter Study of the Incidence and Severity of Residual Neuromuscular Blockade",Anesth Analg,2015,121,2,,,,Fortier LP; Mckeen D; Turner K; De Médicis É; Warriner B; Jones PM
34,"Todd MM, Hindman BJ, King BJ. The implementation of quantitative electromyographic neuromuscular monitoring in an academic anesthesia department. Anesth Analg. 2014;119(2).",The implementation of quantitative electromyographic neuromuscular monitoring in an academic anesthesia department,Anesth Analg,2014,119,2,,,,Todd MM; Hindman BJ; King BJ
35,"Plaud B. Neuromuscular monitoring, residual blockade, and reversal: time for re-evaluation of our clinical practice. Can J Anaesth. 2013;60(7).","Neuromuscular monitoring, residual blockade, and reversal: time for re-evaluation of our clinical practice",Can J Anaesth,2013,60,7,,,,Plaud B
36,"Brull SJ, Naguib M. What we know: precise measurement leads to patient comfort and safety. Anesthesiology. 2011;115(5).",What we know: precise measurement leads to patient comfort and safety,Anesthesiology,2011,115,5,,,,Brull SJ; Naguib M
37,"Ost DE, Ernst A, Grosu HB, Lei X, Diaz-Mendoza J, Slade M. AQuIRE Bronchoscopy Registry. Complications Following Therapeutic Bronchoscopy for Malignant Central Airway Obstruction: Results of the AQuIRE Registry. Chest. 2015;148(2).",AQuIRE Bronchoscopy Registry. Complications Following Therapeutic Bronchoscopy for Malignant Central Airway Obstruction: Results of the AQuIRE Registry,Chest,2015,148,2,,,,Ost DE; Ernst A; Grosu HB; Lei X; Diaz-Mendoza J; Slade M
38,"Chumpathong S, Tscheikuna J, Boonsombat T, Muangman S, Luansritisakul C. Incidence and risk factors of hypoxemia during interventional rigid bronchoscopy under spontaneous-assisted ventilation. J Bronchology Interv Pulmonol. 2017;24(4).",Incidence and risk factors of hypoxemia during interventional rigid bronchoscopy under spontaneous-assisted ventilation,J Bronchology Interv Pulmonol,2017,24,4,,,,Chumpathong S; Tscheikuna J; Boonsombat T; Muangman S; Luansritisakul C
39,"Murgu S, Langer S, Colt H. Bronchoscopic intervention obviates the need for continued mechanical ventilation in patients with airway obstruction and respiratory failure from inoperable non-small-cell lung cancer. Respiration. 2012;84(1).",Bronchoscopic intervention obviates the need for continued mechanical ventilation in patients with airway obstruction and respiratory failure from inoperable non-small-cell lung cancer,Respiration,2012,84,1,,,,Murgu S; Langer S; Colt H
40,"Colt HG, Harrell JH. Therapeutic rigid bronchoscopy allows level of care changes in patients with acute respiratory failure from central airways obstruction. Chest. 1997;112(1).",Therapeutic rigid bronchoscopy allows level of care changes in patients with acute respiratory failure from central airways obstruction,Chest,1997,112,1,,,,Colt HG; Harrell JH
41,"Eichenhorn MS, Kvale PA, Miks VM, Seydel HG, Horowitz B, Radke JR. Initial combination therapy with YAG laser photoresection and irradiation for inoperable non-small cell carcinoma of the lung. A preliminary report. Chest. 1986;89(6).",Initial combination therapy with YAG laser photoresection and irradiation for inoperable non-small cell carcinoma of the lung. A preliminary report,Chest,1986,89,6,,,,Eichenhorn MS; Kvale PA; Miks VM; Seydel HG; Horowitz B; Radke JR
42,"Simoff MJ, Lally B, Slade MG. Symptom management in patients with lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Symptom management in patients with lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Simoff MJ; Lally B; Slade MG
43,Naguib M. Sugammadex may replace best clinical practice: a misconception. Anesth Analg. 2007;105(5).,Sugammadex may replace best clinical practice: a misconception,Anesth Analg,2007,105,5,,,,Naguib M
