#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Pratt LW, Ferlito A, RA. Tracheotomy: historical review. Laryngoscope. 2008;118.",Tracheotomy: historical review,Laryngoscope,2008,118,,,,,Pratt LW; Ferlito A; RA
15,"Diehl JL, Atrous E, Touchard S, D. Changes in the work of breathing induced by tracheotomy in ventilator-dependent patients. Am J Respir Crit Care Med. 1999;159.",Changes in the work of breathing induced by tracheotomy in ventilator-dependent patients,Am J Respir Crit Care Med,1999,159,,,,,Diehl JL; Atrous E; Touchard S; D
16,"Combes A, Luyt CE, Nieszkowska A. Is tracheostomy associated with better outcomes for patients requiring long-term mechanical ventilation?. Crit Care Med. 2007;35.",Is tracheostomy associated with better outcomes for patients requiring long-term mechanical ventilation?,Crit Care Med,2007,35,,,,,Combes A; Luyt CE; Nieszkowska A
17,"Hashimoto DA, Axtell AL, Auchincloss HG. Percutaneous Tracheostomy. N Engl J Med. 2020;383:e112.",Percutaneous Tracheostomy,N Engl J Med,2020,383,,e112,,,Hashimoto DA; Axtell AL; Auchincloss HG
18,"Heyrosa MG, Melniczek DM, Rovito P. Percutaneous tracheostomy: a safe procedure in the morbidly obese. J Am Coll Surg. 2006;202.",Percutaneous tracheostomy: a safe procedure in the morbidly obese,J Am Coll Surg,2006,202,,,,,Heyrosa MG; Melniczek DM; Rovito P
19,"Roy CF, Silver JA, Turkdogan S. Complication Rate of Percutaneous Dilatational Tracheostomy in Critically Ill Adults With Obesity: A Systematic Review and Meta-analysis. JAMA Otolaryngol Head Neck Surg. 2023;149.",Complication Rate of Percutaneous Dilatational Tracheostomy in Critically Ill Adults With Obesity: A Systematic Review and Meta-analysis,JAMA Otolaryngol Head Neck Surg,2023,149,,,,,Roy CF; Silver JA; Turkdogan S
20,"Mallick A, Bodenham A, Elliot S. An investigation into the length of standard tracheostomy tubes in critical care patients. Anaesthesia. 2008;63.",An investigation into the length of standard tracheostomy tubes in critical care patients,Anaesthesia,2008,63,,,,,Mallick A; Bodenham A; Elliot S
21,"Terragni PP, Antonelli M, Fumagalli R. Early vs late tracheotomy for prevention of pneumonia in mechanically ventilated adult ICU patients: a randomized controlled trial. JAMA. 2010;303.",Early vs late tracheotomy for prevention of pneumonia in mechanically ventilated adult ICU patients: a randomized controlled trial,JAMA,2010,303,,,,,Terragni PP; Antonelli M; Fumagalli R
22,"Trouillet JL, Luyt CE, Guiguet M. Early percutaneous tracheotomy versus prolonged intubation of mechanically ventilated patients after cardiac surgery: a randomized trial. Ann Intern Med. 2011;154.",Early percutaneous tracheotomy versus prolonged intubation of mechanically ventilated patients after cardiac surgery: a randomized trial,Ann Intern Med,2011,154,,,,,Trouillet JL; Luyt CE; Guiguet M
23,"Young D, Harrison DA, Cuthbertson BH. Effect of early vs late tracheostomy placement on survival in patients receiving mechanical ventilation: the TracMan randomized trial. JAMA. 2013;309.",Effect of early vs late tracheostomy placement on survival in patients receiving mechanical ventilation: the TracMan randomized trial,JAMA,2013,309,,,,,Young D; Harrison DA; Cuthbertson BH
24,"Klompas M, Kleinman KP, Karcz A. Variability in mean duration of mechanical ventilation among community hospitals. Infect Control Hosp Epidemiol. 2012;33.",Variability in mean duration of mechanical ventilation among community hospitals,Infect Control Hosp Epidemiol,2012,33,,,,,Klompas M; Kleinman KP; Karcz A
25,"Hernández-García E, Hernández-Sandemetrio R, Quintana-Sanjuás A. Laryngotracheal Complications after Intubation for COVID-19: A Multicenter Study. Life. 2023;13:1207.",Laryngotracheal Complications after Intubation for COVID-19: A Multicenter Study,Life,2023,13,,1207,,,Hernández-García E; Hernández-Sandemetrio R; Quintana-Sanjuás A
26,"Koshkareva Y, Gaughan JP, Soliman AM. Risk factors for adult laryngotracheal stenosis: a review of 74 cases. Ann Otol Rhinol Laryngol. 2007;116.",Risk factors for adult laryngotracheal stenosis: a review of 74 cases,Ann Otol Rhinol Laryngol,2007,116,,,,,Koshkareva Y; Gaughan JP; Soliman AM
27,"Santos PM, Afrassiabi A, Weymuller EA. Risk factors associated with prolonged intubation and laryngeal injury. Otolaryngol Head Neck Surg. 1994;111.",Risk factors associated with prolonged intubation and laryngeal injury,Otolaryngol Head Neck Surg,1994,111,,,,,Santos PM; Afrassiabi A; Weymuller EA
28,"Bösel J, Niesen WD, Salih F. Effect of Early vs Standard Approach to Tracheostomy on Functional Outcome at 6 Months Among Patients With Severe Stroke Receiving Mechanical Ventilation: The SETPOINT2 Randomized Clinical Trial. JAMA. 2022;327.",Effect of Early vs Standard Approach to Tracheostomy on Functional Outcome at 6 Months Among Patients With Severe Stroke Receiving Mechanical Ventilation: The SETPOINT2 Randomized Clinical Trial,JAMA,2022,327,,,,,Bösel J; Niesen WD; Salih F
29,"Premraj L, Camarda C, White N. Tracheostomy timing and outcome in critically ill patients with stroke: a meta-analysis and meta-regression. Crit Care. 2023;27:132.",Tracheostomy timing and outcome in critically ill patients with stroke: a meta-analysis and meta-regression,Crit Care,2023,27,,132,,,Premraj L; Camarda C; White N
30,"Gysin C, Dulguerov P, Guyot JP. Percutaneous versus surgical tracheostomy: a double-blind randomized trial. Ann Surg. 1999;230.",Percutaneous versus surgical tracheostomy: a double-blind randomized trial,Ann Surg,1999,230,,,,,Gysin C; Dulguerov P; Guyot JP
31,"Brass P, Hellmich M, Ladra A. Percutaneous techniques versus surgical techniques for tracheostomy. Cochrane Database Syst Rev. 2016;7:8045.",Percutaneous techniques versus surgical techniques for tracheostomy,Cochrane Database Syst Rev,2016,7,,8045,,,Brass P; Hellmich M; Ladra A
32,"Delaney A, Bagshaw SM, Nalos M. Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis. Crit Care. 2006;10:55.",Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis,Crit Care,2006,10,,55,,,Delaney A; Bagshaw SM; Nalos M
33,"Gimenez F, De Camargo W, Gomes A. Analysis of Adverse Events during Intrahospital Transportation of Critically Ill Patients. Crit Care Res Pract. 2017;2017:6847124.",Analysis of Adverse Events during Intrahospital Transportation of Critically Ill Patients,Crit Care Res Pract,2017,2017,,6847124,,,Gimenez F; De Camargo W; Gomes A
34,"Veiga VC, Postalli NF, Alvarisa TK. Adverse events during intrahospital transport of critically ill patients in a large hospital. Rev Bras Ter Intensiva. 2019;31.",Adverse events during intrahospital transport of critically ill patients in a large hospital,Rev Bras Ter Intensiva,2019,31,,,,,Veiga VC; Postalli NF; Alvarisa TK
35,"Murata M, Nakagawa N, Kawasaki T. Adverse events during intrahospital transport of critically ill patients: A systematic review and meta-analysis. Am J Emerg Med. 2022;52.",Adverse events during intrahospital transport of critically ill patients: A systematic review and meta-analysis,Am J Emerg Med,2022,52,,,,,Murata M; Nakagawa N; Kawasaki T
36,"Martin M, Cook F, Lobo D. Secondary Insults and Adverse Events During Intrahospital Transport of Severe Traumatic Brain-Injured Patients. Neurocrit Care. 2017;26.",Secondary Insults and Adverse Events During Intrahospital Transport of Severe Traumatic Brain-Injured Patients,Neurocrit Care,2017,26,,,,,Martin M; Cook F; Lobo D
37,"Bowen CP, Whitney LR, Truwit JD. Comparison of safety and cost of percutaneous versus surgical tracheostomy. Am Surg. 2001;67.",Comparison of safety and cost of percutaneous versus surgical tracheostomy,Am Surg,2001,67,,,,,Bowen CP; Whitney LR; Truwit JD
38,"Cheung NH, Napolitano LM. Tracheostomy: epidemiology, indications, timing, technique, and outcomes. Respir Care. 2014;59.","Tracheostomy: epidemiology, indications, timing, technique, and outcomes",Respir Care,2014,59,,,,,Cheung NH; Napolitano LM
39,Durbin CG. Early complications of tracheostomy. Respir Care. 2005;50.,Early complications of tracheostomy,Respir Care,2005,50,,,,,Durbin CG
40,Epstein SK. Late complications of tracheostomy. Respir Care. 2005;50.,Late complications of tracheostomy,Respir Care,2005,50,,,,,Epstein SK
41,"Bontempo LJ, Manning SL. Tracheostomy Emergencies. Emerg Med Clin North Am. 2019;37.",Tracheostomy Emergencies,Emerg Med Clin North Am,2019,37,,,,,Bontempo LJ; Manning SL
42,"Cabrini L, Monti G, Landoni G. Percutaneous tracheostomy, a systematic review. Acta Anaesthesiol Scand. 2012;56.","Percutaneous tracheostomy, a systematic review",Acta Anaesthesiol Scand,2012,56,,,,,Cabrini L; Monti G; Landoni G
43,"Hess DR, Altobelli NP. Tracheostomy tubes. Respir Care. 2014;59.",Tracheostomy tubes,Respir Care,2014,59,,,,,Hess DR; Altobelli NP
44,"Amathieu R, Sauvat S, Reynaud P. Influence of the cuff pressure on the swallowing reflex in tracheostomized intensive care unit patients. Br J Anaesth. 2012;109.",Influence of the cuff pressure on the swallowing reflex in tracheostomized intensive care unit patients,Br J Anaesth,2012,109,,,,,Amathieu R; Sauvat S; Reynaud P
45, All rights reserved. AME Med J. 2024;9:33. doi:10.21037/amj-23-143.,All rights reserved,AME Med J,2024,9,,33,10.21037/amj-23-143,,
46,"Dhand R, Johnson JC. Care of the chronic tracheostomy. Respir Care. 2006;51.",Care of the chronic tracheostomy,Respir Care,2006,51,,,,,Dhand R; Johnson JC
47,"Ceriana P, Carlucci A, Navalesi P. Weaning from tracheotomy in long-term mechanically ventilated patients: feasibility of a decisional flowchart and clinical outcome. Intensive Care Med. 2003;29.",Weaning from tracheotomy in long-term mechanically ventilated patients: feasibility of a decisional flowchart and clinical outcome,Intensive Care Med,2003,29,,,,,Ceriana P; Carlucci A; Navalesi P
48,"Singh RK, Saran S, Baronia AK. The practice of tracheostomy decannulation-a systematic review. J Intensive Care. 2017;5:38.",The practice of tracheostomy decannulation-a systematic review,J Intensive Care,2017,5,,38,,,Singh RK; Saran S; Baronia AK
49,"Martínez H, Rodriguez G, Vaquero ML, MC. High-Flow Oxygen with Capping or Suctioning for Tracheostomy Decannulation. N Engl J Med. 2020;383.",High-Flow Oxygen with Capping or Suctioning for Tracheostomy Decannulation,N Engl J Med,2020,383,,,,,Martínez H; Rodriguez G; Vaquero ML; MC
