#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"F, Killian G. father of bronchoscopy. Arch Otolaryngol. 1965;82.",father of bronchoscopy,Arch Otolaryngol,1965,82,,,,,F; Killian G
13,"Folch EE, Pritchett MA, Nead MA, Bowling MR, Murgu SD, Krimsky WS. NAVIGATE Study Investigators. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study. J Thorac Oncol. 2019;14.","NAVIGATE Study Investigators. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study",J Thorac Oncol,2019,14,,,,,Folch EE; Pritchett MA; Nead MA; Bowling MR; Murgu SD; Krimsky WS
14,"Yarmus LB, Arias S, Feller-Kopman D, Semaan R, Wang KP, Frimpong B. Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study. J Thorac Dis. 2016;8.",Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study,J Thorac Dis,2016,8,,,,,Yarmus LB; Arias S; Feller-Kopman D; Semaan R; Wang KP; Frimpong B
15,"Eberhardt R, Kahn N, Gompelmann D, Schumann M, Heussel CP, Herth FJ. Lungpoint: a new approach to peripheral lesions. J Thorac Oncol. 2010;5.",Lungpoint: a new approach to peripheral lesions,J Thorac Oncol,2010,5,,,,,Eberhardt R; Kahn N; Gompelmann D; Schumann M; Heussel CP; Herth FJ
16,"Pertzov B, Gershman E, Kassirer M, Heching M, Rosengarten D, Kramer M. Use of LUNGVISION navigational system to improve diagnostic yield of peripheral lung nodule biopsy. Chest. 2019;156:385.",Use of LUNGVISION navigational system to improve diagnostic yield of peripheral lung nodule biopsy,Chest,2019,156,,385,,,Pertzov B; Gershman E; Kassirer M; Heching M; Rosengarten D; Kramer M
17,"Tachihara M, Tamura D, Kiriu T, Tokunaga S, Hatakeyama Y, Shinke H. Bronchoscopy using virtual navigation and endobronchial ultrasonography with a guide sheath (EBUS-GS) with or without fluoroscopy for peripheral pulmonary lesions. Kobe J Med Sci. 2017;63.",Bronchoscopy using virtual navigation and endobronchial ultrasonography with a guide sheath (EBUS-GS) with or without fluoroscopy for peripheral pulmonary lesions,Kobe J Med Sci,2017,63,,,,,Tachihara M; Tamura D; Kiriu T; Tokunaga S; Hatakeyama Y; Shinke H
18,"Herth FJ, Eberhardt R, Sterman D, Silvestri GA, Hoffmann H, Shah PL. Bronchoscopic transparenchymal nodule access (BTPNA): first in human trial of a novel procedure for sampling solitary pulmonary nodules. Thorax. 2015;70.",Bronchoscopic transparenchymal nodule access (BTPNA): first in human trial of a novel procedure for sampling solitary pulmonary nodules,Thorax,2015,70,,,,,Herth FJ; Eberhardt R; Sterman D; Silvestri GA; Hoffmann H; Shah PL
19,"Harzheim D, Sterman D, Shah PL, Eberhardt R, Herth FJ. Bronchoscopic transparenchymal nodule access: feasibility and safety in an endoscopic unit. Respiration. 2016;91.",Bronchoscopic transparenchymal nodule access: feasibility and safety in an endoscopic unit,Respiration,2016,91,,,,,Harzheim D; Sterman D; Shah PL; Eberhardt R; Herth FJ
20,"Herth F, Li S, Sun J, Lam B, Nader D, Idris J. Bronchoscopic biopsy of solitary pulmonary nodules with no leading airway path. Eur Res J. 2018;52(62):2167.",Bronchoscopic biopsy of solitary pulmonary nodules with no leading airway path,Eur Res J,2018,52,62,2167,,,Herth F; Li S; Sun J; Lam B; Nader D; Idris J
21,"Sobieszczyk MJ, Yuan Z, Li W, Krimsky W. Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis. J Thorac Dis. 2018;10.",Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis,J Thorac Dis,2018,10,,,,,Sobieszczyk MJ; Yuan Z; Li W; Krimsky W
22,"Bowling MR, Brown C, Anciano CJ. Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass. Ann Thorac Surg. 2017;104.",Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass,Ann Thorac Surg,2017,104,,,,,Bowling MR; Brown C; Anciano CJ
23,"Anciano C, Brown C, Bowling M. Going off road: the first case reports of the use of the transbronchial access tool with electromagnetic navigational bronchoscopy. J Bronchology Interv Pulmonol. 2017;24.",Going off road: the first case reports of the use of the transbronchial access tool with electromagnetic navigational bronchoscopy,J Bronchology Interv Pulmonol,2017,24,,,,,Anciano C; Brown C; Bowling M
24,"Shinagawa N, Yamazaki K, Onodera Y, Asahina H, Kikuchi E, Asano F. Factors related to diagnostic sensitivity using an ultrathin bronchoscope under CT guidance. Chest. 2007;131.",Factors related to diagnostic sensitivity using an ultrathin bronchoscope under CT guidance,Chest,2007,131,,,,,Shinagawa N; Yamazaki K; Onodera Y; Asahina H; Kikuchi E; Asano F
25,"Shinagawa N, Yamazaki K, Onodera Y, Miyasaka K, Kikuchi E, Dosaka-Akita H. CT-guided transbronchial biopsy using an ultrathin bronchoscope with virtual bronchoscopic navigation. Chest. 2004;125.",CT-guided transbronchial biopsy using an ultrathin bronchoscope with virtual bronchoscopic navigation,Chest,2004,125,,,,,Shinagawa N; Yamazaki K; Onodera Y; Miyasaka K; Kikuchi E; Dosaka-Akita H
26,"Ost D, Shah R, Anasco E, Lusardi L, Doyle J, Austin C. A randomized trial of CT fluoroscopic-guided bronchoscopy vs conventional bronchoscopy in patients with suspected lung cancer. Chest. 2008;134.",A randomized trial of CT fluoroscopic-guided bronchoscopy vs conventional bronchoscopy in patients with suspected lung cancer,Chest,2008,134,,,,,Ost D; Shah R; Anasco E; Lusardi L; Doyle J; Austin C
27,"Ng C, Chu CM, Lo CK, Lau R. Hybrid operating room Dyna-computed tomography combined image-guided electromagnetic navigation bronchoscopy dye marking and hookwire localization video-assisted thoracic surgery metastasectomy. Interact Cardiovasc Thorac Surg. 2018;26.",Hybrid operating room Dyna-computed tomography combined image-guided electromagnetic navigation bronchoscopy dye marking and hookwire localization video-assisted thoracic surgery metastasectomy,Interact Cardiovasc Thorac Surg,2018,26,,,,,Ng C; Chu CM; Lo CK; Lau R
28,"Hohenforst-Schmidt W, Zarogoulidis P, Vogl T, Turner JF, Browning R, Linsmeier B. Cone beam computertomography (CBCT) in interventional chest medicine: high feasibility for endobronchial realtime navigation. J Cancer. 2014;5.",Cone beam computertomography (CBCT) in interventional chest medicine: high feasibility for endobronchial realtime navigation,J Cancer,2014,5,,,,,Hohenforst-Schmidt W; Zarogoulidis P; Vogl T; Turner JF; Browning R; Linsmeier B
29,"Hohenforst-Schmidt W, Zarogoulidis P, Pitsiou G, Linsmeier B, Tsavlis D, Kioumis I. Drug eluting stents for malignant airway obstruction: a critical review of the literature. J Cancer. 2016;7.",Drug eluting stents for malignant airway obstruction: a critical review of the literature,J Cancer,2016,7,,,,,Hohenforst-Schmidt W; Zarogoulidis P; Pitsiou G; Linsmeier B; Tsavlis D; Kioumis I
30,"Pritchett MA, Schampaert S, De Groot J, Schirmer CC, Van Der Bom I. Cone-beam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules. J Bronchology Interv Pulmonol. 2018;25.",Cone-beam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules,J Bronchology Interv Pulmonol,2018,25,,,,,Pritchett MA; Schampaert S; De Groot J; Schirmer CC; Van Der Bom I
31,"Huang D, Swanson EA, Lin CP, Schuman JS, Stinson WG, Chang W. Optical coherence tomography. Science. 1991;254.",Optical coherence tomography,Science,1991,254,,,,,Huang D; Swanson EA; Lin CP; Schuman JS; Stinson WG; Chang W
32,"Hanna N, Saltzman D, Mukai D, Chen Z, Sasse S, Milliken J. Twodimensional and 3-dimensional optical coherence tomographic imaging of the airway, lung, and pleura. J Thorac Cardiovasc Surg. 2005;129.","Twodimensional and 3-dimensional optical coherence tomographic imaging of the airway, lung, and pleura",J Thorac Cardiovasc Surg,2005,129,,,,,Hanna N; Saltzman D; Mukai D; Chen Z; Sasse S; Milliken J
33,"Lee AM, Kirby M, Ohtani K, Candido T, Shalansky R, Macaulay C. Validation of airway wall measurements by optical coherence tomography in porcine airways. PLoS One. 2014;9:100145.",Validation of airway wall measurements by optical coherence tomography in porcine airways,PLoS One,2014,9,,100145,,,Lee AM; Kirby M; Ohtani K; Candido T; Shalansky R; Macaulay C
34,"Mclaughlin RA, Yang X, Quirk BC, Lorenser D, Kirk RW, Noble PB. Static and dynamic imaging of alveoli using optical coherence tomography needle probes. J Appl Physiol. 1985;113.",Static and dynamic imaging of alveoli using optical coherence tomography needle probes,J Appl Physiol,1985,113,,,,,Mclaughlin RA; Yang X; Quirk BC; Lorenser D; Kirk RW; Noble PB
35,"Meissner S, Knels L, Krueger A, Koch T, Koch E. Simultaneous threedimensional optical coherence tomography and intravital microscopy for imaging subpleural pulmonary alveoli in isolated rabbit lungs. J Biomed Opt. 2009;14:54020.",Simultaneous threedimensional optical coherence tomography and intravital microscopy for imaging subpleural pulmonary alveoli in isolated rabbit lungs,J Biomed Opt,2009,14,,54020,,,Meissner S; Knels L; Krueger A; Koch T; Koch E
36,"Quirk BC, Mclaughlin RA, Curatolo A, Kirk RW, Noble PB, Sampson DD. In situ imaging of lung alveoli with an optical coherence tomography needle probe. J Biomed Opt. 2011;16:36009.",In situ imaging of lung alveoli with an optical coherence tomography needle probe,J Biomed Opt,2011,16,,36009,,,Quirk BC; Mclaughlin RA; Curatolo A; Kirk RW; Noble PB; Sampson DD
37,"Lam S, Standish B, Baldwin C, Mcwilliams A, Gazdar J, A. In vivo optical coherence tomography imaging of preinvasive bronchial lesions. Clin Cancer Res. 2008;14.",In vivo optical coherence tomography imaging of preinvasive bronchial lesions,Clin Cancer Res,2008,14,,,,,Lam S; Standish B; Baldwin C; Mcwilliams A; Gazdar J; A
38,"Michel RG, Kinasewitz GT, Fung KM, Keddissi JI. Optical coherence tomography as an adjunct to flexible bronchoscopy in the diagnosis of lung cancer: a pilot study. Chest. 2010;138.",Optical coherence tomography as an adjunct to flexible bronchoscopy in the diagnosis of lung cancer: a pilot study,Chest,2010,138,,,,,Michel RG; Kinasewitz GT; Fung KM; Keddissi JI
39,"Tsuboi M, Hayashi A, Ikeda N, Honda H, Kato Y, Ichinose S. Optical coherence tomography in the diagnosis of bronchial lesions. Lung Cancer. 2005;49.",Optical coherence tomography in the diagnosis of bronchial lesions,Lung Cancer,2005,49,,,,,Tsuboi M; Hayashi A; Ikeda N; Honda H; Kato Y; Ichinose S
40,"Adams DC, Hariri LP, Miller AJ, Wang Y, Cho JL, Villiger M. Birefringence microscopy platform for assessing airway smooth muscle structure and function in vivo. Sci Transl Med. 2016;8.",Birefringence microscopy platform for assessing airway smooth muscle structure and function in vivo,Sci Transl Med,2016,8,,,,,Adams DC; Hariri LP; Miller AJ; Wang Y; Cho JL; Villiger M
41,"Coxson HO, Quiney B, Sin DD, Xing L, Mcwilliams AM, Mayo JR. Airway wall thickness assessed using computed tomography and optical coherence tomography. Am J Respir Crit Care Med. 2008;177.",Airway wall thickness assessed using computed tomography and optical coherence tomography,Am J Respir Crit Care Med,2008,177,,,,,Coxson HO; Quiney B; Sin DD; Xing L; Mcwilliams AM; Mayo JR
42,"Kirby M, Ohtani K, Lisbona L et al.. Bronchial thermoplasty in asthma: 2-year follow-up using optical coherence tomography. Eur Respir J. 2015;46.",Bronchial thermoplasty in asthma: 2-year follow-up using optical coherence tomography,Eur Respir J,2015,46,,,,,Kirby M; Ohtani K; Lisbona L; Lee RM; Zhang AM; Lane W; P
43,"Ding M, Chen Y, Guan WJ, Zhong CH, Jiang M, Luo WZ. Measuring airway remodeling in patients with different COPD staging using endobronchial optical coherence tomography. Chest. 2016;150.",Measuring airway remodeling in patients with different COPD staging using endobronchial optical coherence tomography,Chest,2016,150,,,,,Ding M; Chen Y; Guan WJ; Zhong CH; Jiang M; Luo WZ
44,"Hariri LP, Adams DC, Wain JC, Lanuti M, Muniappan A, Sharma A. Endobronchial optical coherence tomography for low-risk microscopic assessment and diagnosis of idiopathic pulmonary fibrosis in vivo. Am J Respir Crit Care Med. 2018;197.",Endobronchial optical coherence tomography for low-risk microscopic assessment and diagnosis of idiopathic pulmonary fibrosis in vivo,Am J Respir Crit Care Med,2018,197,,,,,Hariri LP; Adams DC; Wain JC; Lanuti M; Muniappan A; Sharma A
45,"Domingo E, Grignola JC, Aguilar R, Montero MA, Arredondo C. In vivo assessment of pulmonary arterial wall fibrosis by intravascular optical coherence tomography in pulmonary arterial hypertension: a new prognostic marker of adverse clinical follow-up. Open Respir Med J. 2013;7.",In vivo assessment of pulmonary arterial wall fibrosis by intravascular optical coherence tomography in pulmonary arterial hypertension: a new prognostic marker of adverse clinical follow-up,Open Respir Med J,2013,7,,,,,Domingo E; Grignola JC; Aguilar R; Montero MA; Arredondo C
46,"Jiang X, Peng FH, Liu QQ, Zhao QH, He J, Jiang R. Optical coherence tomography for hypertensive pulmonary vasculature. Int J Cardiol. 2016;222.",Optical coherence tomography for hypertensive pulmonary vasculature,Int J Cardiol,2016,222,,,,,Jiang X; Peng FH; Liu QQ; Zhao QH; He J; Jiang R
47,"Wijmans L, Hooghe JN, Bonta PI, Annema JT. Optical coherence tomography and confocal laser endomicroscopy in pulmonary diseases. Curr Opin Pulm Med. 2017;23.",Optical coherence tomography and confocal laser endomicroscopy in pulmonary diseases,Curr Opin Pulm Med,2017,23,,,,,Wijmans L; Hooghe JN; Bonta PI; Annema JT
48,"Hariri LP, Adams DC, Applegate MB, Miller AJ, Roop BW, Villiger M. Distinguishing tumor from associated fibrosis to increase diagnostic biopsy yield with polarization-sensitive optical coherence tomography. Clin Cancer Res. 2019;25.",Distinguishing tumor from associated fibrosis to increase diagnostic biopsy yield with polarization-sensitive optical coherence tomography,Clin Cancer Res,2019,25,,,,,Hariri LP; Adams DC; Applegate MB; Miller AJ; Roop BW; Villiger M
49,"Fuchs FS, Zirlik S, Hildner K, Schubert J, Vieth M, Neurath MF. Confocal laser endomicroscopy for diagnosing lung cancer in vivo. Eur Respir J. 2013;41.",Confocal laser endomicroscopy for diagnosing lung cancer in vivo,Eur Respir J,2013,41,,,,,Fuchs FS; Zirlik S; Hildner K; Schubert J; Vieth M; Neurath MF
50,"Hassan T, Piton N, Lachkar S, Sala Ün M, Thiberville L. A novel method for in vivo imaging of solitary lung nodules using navigational bronchoscopy and confocal laser microendoscopy. Hai. 2015;193.",A novel method for in vivo imaging of solitary lung nodules using navigational bronchoscopy and confocal laser microendoscopy,Hai,2015,193,,,,,Hassan T; Piton N; Lachkar S; Sala Ün M; Thiberville L
51,"Sorokina A, Danilevskaya O, Averyanov A, Zabozlaev F, Sazonov D, Yarmus L. Comparative study of ex vivo probe-based confocal laser endomicroscopy and light microscopy in lung cancer diagnostics. Respirology. 2014;19.",Comparative study of ex vivo probe-based confocal laser endomicroscopy and light microscopy in lung cancer diagnostics,Respirology,2014,19,,,,,Sorokina A; Danilevskaya O; Averyanov A; Zabozlaev F; Sazonov D; Yarmus L
52,"Danilevskaya O, Averyanov A, Lesnyak V, Chernyaev A, Sorokina A. Confocal laser endomicroscopy for diagnosis and monitoring of pulmonary alveolar proteinosis. J Bronchology Interv Pulmonol. 2015;22.",Confocal laser endomicroscopy for diagnosis and monitoring of pulmonary alveolar proteinosis,J Bronchology Interv Pulmonol,2015,22,,,,,Danilevskaya O; Averyanov A; Lesnyak V; Chernyaev A; Sorokina A
53,"Yserbyt J, Alam É T, Dooms C, Ninane V. Pulmonary alveolar microlithiasis and probe-based confocal laser endomicroscopy. J Bronchology Interv Pulmonol. 2013;20.",Pulmonary alveolar microlithiasis and probe-based confocal laser endomicroscopy,J Bronchology Interv Pulmonol,2013,20,,,,,Yserbyt J; Alam É T; Dooms C; Ninane V
54,"Yserbyt J, Dooms C, Decramer M, Verleden GM. Acute lung allograft rejection: diagnostic role of probe-based confocal laser endomicroscopy of the respiratory tract. J Heart Lung Transplant. 2014;33.",Acute lung allograft rejection: diagnostic role of probe-based confocal laser endomicroscopy of the respiratory tract,J Heart Lung Transplant,2014,33,,,,,Yserbyt J; Dooms C; Decramer M; Verleden GM
55,"Benias PC, Souza D, Papafragkakis LS et al.. Needle-based confocal endomicroscopy for evaluation of malignant lymph nodes: a feasibility study. Endoscopy. 2016;48:56.",Needle-based confocal endomicroscopy for evaluation of malignant lymph nodes: a feasibility study,Endoscopy,2016,48,,56,,,Benias PC; Souza D; Papafragkakis LS; Kim H; Harshan J; Theise M; ND
56,"Van Boerdonk RA, Smesseim I, Heideman DA, Vm C, Tio D, Gr Ünberg K. Close surveillance with long-term follow-up of subjects with preinvasive endobronchial lesions. Am J Respir Crit Care Med. 2015;192.",Close surveillance with long-term follow-up of subjects with preinvasive endobronchial lesions,Am J Respir Crit Care Med,2015,192,,,,,Van Boerdonk RA; Smesseim I; Heideman DA; Vm C; Tio D; Gr Ünberg K
57,"Advani M, Purohit G, Vyas S, Kumari J. Comparison of diagnostic potential of narrow band imaging bronchoscopy over white light bronchoscopy in lung cancer. J Bronchology Interv Pulmonol. 2018;25.",Comparison of diagnostic potential of narrow band imaging bronchoscopy over white light bronchoscopy in lung cancer,J Bronchology Interv Pulmonol,2018,25,,,,,Advani M; Purohit G; Vyas S; Kumari J
58,"Herth FJ, Eberhardt R, Anantham D, Gompelmann D, Zakaria MW, Ernst A. Narrow-band imaging bronchoscopy increases the specificity of bronchoscopic early lung cancer detection. J Thorac Oncol. 2009;4.",Narrow-band imaging bronchoscopy increases the specificity of bronchoscopic early lung cancer detection,J Thorac Oncol,2009,4,,,,,Herth FJ; Eberhardt R; Anantham D; Gompelmann D; Zakaria MW; Ernst A
59,"Shibuya K, Nakajima T, Fujiwara T, Chiyo M, Hoshino H, Moriya Y. Narrow band imaging with high-resolution bronchovideoscopy: a new approach for visualizing angiogenesis in squamous cell carcinoma of the lung. Lung Cancer. 2010;69.",Narrow band imaging with high-resolution bronchovideoscopy: a new approach for visualizing angiogenesis in squamous cell carcinoma of the lung,Lung Cancer,2010,69,,,,,Shibuya K; Nakajima T; Fujiwara T; Chiyo M; Hoshino H; Moriya Y
60,"Vincent BD, Fraig M, Silvestri GA. A pilot study of narrow-band imaging compared to white light bronchoscopy for evaluation of normal airways and premalignant and malignant airways disease. Chest. 2007;131.",A pilot study of narrow-band imaging compared to white light bronchoscopy for evaluation of normal airways and premalignant and malignant airways disease,Chest,2007,131,,,,,Vincent BD; Fraig M; Silvestri GA
61,"Zhang J, Wu J, Yang Y, Liao H, Xu Z, Hamblin LT. White light, autofluorescence and narrow-band imaging bronchoscopy for diagnosing airway pre-cancerous and early cancer lesions: a systematic review and meta-analysis. J Thorac Dis. 2016;8.","White light, autofluorescence and narrow-band imaging bronchoscopy for diagnosing airway pre-cancerous and early cancer lesions: a systematic review and meta-analysis",J Thorac Dis,2016,8,,,,,Zhang J; Wu J; Yang Y; Liao H; Xu Z; Hamblin LT
62,"Tremblay A, Taghizadeh N, Mcwilliams AM, Maceachern P, Stather DR, Soghrati K. Early Lung Cancer Study Group. Low prevalence of high-grade lesions detected with autofluorescence bronchoscopy in the setting of lung cancer screening in the pan-Canadian lung cancer screening study. Chest. 2016;150.",Early Lung Cancer Study Group. Low prevalence of high-grade lesions detected with autofluorescence bronchoscopy in the setting of lung cancer screening in the pan-Canadian lung cancer screening study,Chest,2016,150,,,,,Tremblay A; Taghizadeh N; Mcwilliams AM; Maceachern P; Stather DR; Soghrati K
63,"Thakrar RM, Pennycuick A, Borg E, Janes SM. Preinvasive disease of the airway. Cancer Treat Rev. 2017;58.",Preinvasive disease of the airway,Cancer Treat Rev,2017,58,,,,,Thakrar RM; Pennycuick A; Borg E; Janes SM
64,"Wisnivesky JP, Yung RC, Mathur PN, Zulueta JJ. Diagnosis and treatment of bronchial intraepithelial neoplasia and early lung cancer of the central airways: diagnosis and management of lung cancer, 3rd ed. American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Diagnosis and treatment of bronchial intraepithelial neoplasia and early lung cancer of the central airways: diagnosis and management of lung cancer, 3rd ed. American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Wisnivesky JP; Yung RC; Mathur PN; Zulueta JJ
65,"Callahan S, Tanner N, Chen A, Macro T, Silvestri G, Pastis N. Comparison of the thin convex probe endobronchial ultrasound bronchoscope to standard EBUS and flexible bronchoscope: a cadaveric study. Comparison of the thin convex probe endobronchial ultrasound bronchoscope to standard EBUS and flexible bronchoscope: a cadaveric study. 2016;None.",Comparison of the thin convex probe endobronchial ultrasound bronchoscope to standard EBUS and flexible bronchoscope: a cadaveric study,Comparison of the thin convex probe endobronchial ultrasound bronchoscope to standard EBUS and flexible bronchoscope: a cadaveric study,2016,,,,,,Callahan S; Tanner N; Chen A; Macro T; Silvestri G; Pastis N
66,"Patel P, Wada H, Hu HP, Hirohashi K, Kato T, Ujiie H. First evaluation of the new thin convex probe endobronchial ultrasound scope: a human ex vivo lung study. Ann Thorac Surg. 2017;103.",First evaluation of the new thin convex probe endobronchial ultrasound scope: a human ex vivo lung study,Ann Thorac Surg,2017,103,,,,,Patel P; Wada H; Hu HP; Hirohashi K; Kato T; Ujiie H
67,"Rooney CP, Wolf K, Mclennan G. Ultrathin bronchoscopy as an adjunct to standard bronchoscopy in the diagnosis of peripheral lung lesions: a preliminary report. Respiration. 2002;69.",Ultrathin bronchoscopy as an adjunct to standard bronchoscopy in the diagnosis of peripheral lung lesions: a preliminary report,Respiration,2002,69,,,,,Rooney CP; Wolf K; Mclennan G
68,"Oki M, Saka H, Ando M, Asano F, Kurimoto N, Morita K. Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions: a randomized trial. Am J Respir Crit Care Med. 2015;192.",Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions: a randomized trial,Am J Respir Crit Care Med,2015,192,,,,,Oki M; Saka H; Ando M; Asano F; Kurimoto N; Morita K
69,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142.",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,,,,,Memoli W; Nietert JS; Silvestri PJ; GA
70,"Franzen D, Diacon AH, Freitag L, Schubert PT, Wright CA, Schuurmans MM. Ultrathin bronchoscopy for solitary pulmonary lesions in a region endemic for tuberculosis: a randomised pilot trial. BMC Pulm Med. 2016;16:62.",Ultrathin bronchoscopy for solitary pulmonary lesions in a region endemic for tuberculosis: a randomised pilot trial,BMC Pulm Med,2016,16,,62,,,Franzen D; Diacon AH; Freitag L; Schubert PT; Wright CA; Schuurmans MM
71,"Asano F, Shinagawa N, Ishida T, Shindoh J, Anzai M, Tsuzuku A. Virtual bronchoscopic navigation combined with ultrathin bronchoscopy: a randomized clinical trial. Am J Respir Crit Care Med. 2013;188.",Virtual bronchoscopic navigation combined with ultrathin bronchoscopy: a randomized clinical trial,Am J Respir Crit Care Med,2013,188,,,,,Asano F; Shinagawa N; Ishida T; Shindoh J; Anzai M; Tsuzuku A
72,Murgu SD. Robotic assisted-bronchoscopy: technical tips and lessons learned from the initial experience with sampling peripheral lung lesions. BMC Pulm Med. 2019;19:89.,Robotic assisted-bronchoscopy: technical tips and lessons learned from the initial experience with sampling peripheral lung lesions,BMC Pulm Med,2019,19,,89,,,Murgu SD
73,"Rojas-Solano JR, Gamboa U, Machuzak L, M. Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study. J Bronchology Interv Pulmonol. 2018;25.",Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study,J Bronchology Interv Pulmonol,2018,25,,,,,Rojas-Solano JR; Gamboa U; Machuzak L; M
74,"Chen AC, Gillespie CT. Robotic endoscopic airway challenge: REACH assessment. Ann Thorac Surg. 2018;106.",Robotic endoscopic airway challenge: REACH assessment,Ann Thorac Surg,2018,106,,,,,Chen AC; Gillespie CT
