#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Light RW, Girard WM, Jenkinson SG, George RB. Parapneumonic effusions. Am J Med. 1980;69.",Parapneumonic effusions,Am J Med,1980,69,,,,,Light RW; Girard WM; Jenkinson SG; George RB
24,"Wells RG, Havens PL. Intrapleural fibrinolysis for parapneumonic effusion and empyema in children. Radiology. 2003;228.",Intrapleural fibrinolysis for parapneumonic effusion and empyema in children,Radiology,2003,228,,,,,Wells RG; Havens PL
25,"Weinstein M, Restrepo R, Chait PG, Connolly B, Temple M, Macarthur C. Effectiveness and safety of tissue plasminogen activator in the management of complicated parapneumonic effusions. Pediatrics. 2004;113(3).",Effectiveness and safety of tissue plasminogen activator in the management of complicated parapneumonic effusions,Pediatrics,2004,113,3,,,,Weinstein M; Restrepo R; Chait PG; Connolly B; Temple M; Macarthur C
26,"Ray TL, Berkenbosch JW, Russo P, Tobias JD. Tissue plasminogen activator as an adjuvant therapy for pleural empyema in pediatric patients. J Intensive Care Med. 2004;19.",Tissue plasminogen activator as an adjuvant therapy for pleural empyema in pediatric patients,J Intensive Care Med,2004,19,,,,,Ray TL; Berkenbosch JW; Russo P; Tobias JD
27,"Gates RL, Hogan M, Weinstein S, Arca MJ. Drainage, fibrinolytics, or surgery: a comparison of treatment options in pediatric empyema. J Pediatr Surg. 2004;39.","Drainage, fibrinolytics, or surgery: a comparison of treatment options in pediatric empyema",J Pediatr Surg,2004,39,,,,,Gates RL; Hogan M; Weinstein S; Arca MJ
28,"Hall-Stoodley L, Nistico L, Sambantha Moorthy K. Characterization of biofilm matrix, degradation by DNase treatment and evidence of capsule downregulation in Streptococcus pneumoniae clinical isolates. BMC Microbiol. 2008;8:173.","Characterization of biofilm matrix, degradation by DNase treatment and evidence of capsule downregulation in Streptococcus pneumoniae clinical isolates",BMC Microbiol,2008,8,,173,,,Hall-Stoodley L; Nistico L; Sambantha Moorthy K
29,"Thomas VC, Thurlow LR, Boyle D, Hancock LE. Regulation of autolysisdependent extracellular DNA release by Enterococcus faecalis extracellular proteases influences biofilm development. J Bacteriol. 2008;190.",Regulation of autolysisdependent extracellular DNA release by Enterococcus faecalis extracellular proteases influences biofilm development,J Bacteriol,2008,190,,,,,Thomas VC; Thurlow LR; Boyle D; Hancock LE
30,"Izano EA, Amarante MA, Kher WB, Kaplan JB. Differential roles of poly-Nacetylglucosamine surface polysaccharide and extracellular DNA in Staphylococcus aureus and Staphylococcus epidermidis biofilms. Appl Environ Microbiol. 2008;74.",Differential roles of poly-Nacetylglucosamine surface polysaccharide and extracellular DNA in Staphylococcus aureus and Staphylococcus epidermidis biofilms,Appl Environ Microbiol,2008,74,,,,,Izano EA; Amarante MA; Kher WB; Kaplan JB
31,"Eckhart L, Fischer H, Barken KB, Tolker-Nielsen T, Tschachler E. DNase1L2 suppresses biofilm formation by Pseudomonas aeruginosa and Staphylococcus aureus. Br J Dermatol. 2007;156.",DNase1L2 suppresses biofilm formation by Pseudomonas aeruginosa and Staphylococcus aureus,Br J Dermatol,2007,156,,,,,Eckhart L; Fischer H; Barken KB; Tolker-Nielsen T; Tschachler E
32,"Nemoto K, Hirota K, Murakami K. Effect of Varidase (streptodornase) on biofilm formed by Pseudomonas aeruginosa. Chemotherapy. 2003;49.",Effect of Varidase (streptodornase) on biofilm formed by Pseudomonas aeruginosa,Chemotherapy,2003,49,,,,,Nemoto K; Hirota K; Murakami K
33,"Light RW, Nguyen T, Mulligan ME, Sasse SA. The in vitro efficacy of Varidase versus streptokinase or urokinase for liquefying thick purulent exudative material from loculated empyema. Lung. 2000;178.",The in vitro efficacy of Varidase versus streptokinase or urokinase for liquefying thick purulent exudative material from loculated empyema,Lung,2000,178,,,,,Light RW; Nguyen T; Mulligan ME; Sasse SA
34,"Simpson G, Roomes D, Heron M. Effects of streptokinase and deoxyribonuclease on viscosity of human surgical and empyema pus. Chest. 2000;117.",Effects of streptokinase and deoxyribonuclease on viscosity of human surgical and empyema pus,Chest,2000,117,,,,,Simpson G; Roomes D; Heron M
35,"Zhu Z, Hawthorne ML, Guo Y. Tissue plasminogen activator combined with human recombinant deoxyribonuclease is effective therapy for empyema in a rabbit model. Chest. 2006;129.",Tissue plasminogen activator combined with human recombinant deoxyribonuclease is effective therapy for empyema in a rabbit model,Chest,2006,129,,,,,Zhu Z; Hawthorne ML; Guo Y
36,"Simpson G, Roomes D, Reeves B. Successful treatment of empyema thoracis with human recombinant deoxyribonuclease. Thorax. 2003;58.",Successful treatment of empyema thoracis with human recombinant deoxyribonuclease,Thorax,2003,58,,,,,Simpson G; Roomes D; Reeves B
37,"Fujiwara K, Yasumitsu T, Nakagawa K, Shiono S, Fukuhara K. Intrapleural streptokinase-streptodornase in the treatment of empyema and hemothorax. Kyobu Geka. 2002;55.",Intrapleural streptokinase-streptodornase in the treatment of empyema and hemothorax,Kyobu Geka,2002,55,,,,,Fujiwara K; Yasumitsu T; Nakagawa K; Shiono S; Fukuhara K
38,"Pocock SJ, Simon R. Sequential treatment assignment with balancing for prognostic factors in the controlled clinical trial. Biometrics. 1975;31.",Sequential treatment assignment with balancing for prognostic factors in the controlled clinical trial,Biometrics,1975,31,,,,,Pocock SJ; Simon R
39,"Montgomery AA, Peters TJ, Little P. Design, analysis and presentation of factorial randomised controlled trials. BMC Med Res Methodol. 2003;3:26.","Design, analysis and presentation of factorial randomised controlled trials",BMC Med Res Methodol,2003,3,,26,,,Montgomery AA; Peters TJ; Little P
40,"Pocock SJ, Assmann SE, Enos LE, Kasten LE. Subgroup analysis, covariate adjustment and baseline comparisons in clinical trial reporting: current practice and problems. Stat Med. 2002;21.","Subgroup analysis, covariate adjustment and baseline comparisons in clinical trial reporting: current practice and problems",Stat Med,2002,21,,,,,Pocock SJ; Assmann SE; Enos LE; Kasten LE
41,"Hagino A, Hamada C, Yoshimura I, Ohashi Y, Sakamoto J, Nakazato H. Statistical comparison of random allocation methods in cancer clinical trials. Control Clin Trials. 2004;25.",Statistical comparison of random allocation methods in cancer clinical trials,Control Clin Trials,2004,25,,,,,Hagino A; Hamada C; Yoshimura I; Ohashi Y; Sakamoto J; Nakazato H
42,"Rovers MM, Straatman H, Zielhuis GA. Comparison of balanced and random allocation in clinical trials: a simulation study. Eur J Epidemiol. 2000;16.",Comparison of balanced and random allocation in clinical trials: a simulation study,Eur J Epidemiol,2000,16,,,,,Rovers MM; Straatman H; Zielhuis GA
43,Forsthye A. Validity and power of tests when groups have been balanced for prognostic factors. Comput Stat Data Anal. 1987;5.,Validity and power of tests when groups have been balanced for prognostic factors,Comput Stat Data Anal,1987,5,,,,,Forsthye A
44, A trial of intrapleural streptokinase. N Engl J Med. 2005;352.,A trial of intrapleural streptokinase,N Engl J Med,2005,352,,,,,
45,"Diacon AH, Koegelenberg C, Bolliger CT. A trial of intrapleural streptokinase. N Engl J Med. 2005;352:2243.",A trial of intrapleural streptokinase,N Engl J Med,2005,352,,2243,,,Diacon AH; Koegelenberg C; Bolliger CT
46,Bouros D. A trial of intrapleural streptokinase. N Engl J Med. 2005;352:2244.,A trial of intrapleural streptokinase,N Engl J Med,2005,352,,2244,,,Bouros D
47,Keenan SP. Streptokinase did not reduce mortality or need for surgical drainage in pleural infection. ACP J Club. 2005;143:40.,Streptokinase did not reduce mortality or need for surgical drainage in pleural infection,ACP J Club,2005,143,,40,,,Keenan SP
48,Rosa UW. A trial of intrapleural streptokinase. N Engl J Med. 2005;352:2244.,A trial of intrapleural streptokinase,N Engl J Med,2005,352,,2244,,,Rosa UW
49,"Idell S, Zwieb C, Kumar A, Koenig KB, Johnson AR. Pathways of fibrin turnover of human pleural mesothelial cells in vitro. Am J Respir Cell Mol Biol. 1992;7.",Pathways of fibrin turnover of human pleural mesothelial cells in vitro,Am J Respir Cell Mol Biol,1992,7,,,,,Idell S; Zwieb C; Kumar A; Koenig KB; Johnson AR
50,"Kroegel C, Vb A. Immunobiology of pleural inflammation: potential implications for pathogenesis, diagnosis and therapy. Eur Respir J. 1997;10.","Immunobiology of pleural inflammation: potential implications for pathogenesis, diagnosis and therapy",Eur Respir J,1997,10,,,,,Kroegel C; Vb A
51,"Florova G, Komissarov A, Idell S. DNA dramatically potentiates activation of plasminogen by tissue type plasminogen activator. Am J Respir Crit Care Med. 2010;181:6824.",DNA dramatically potentiates activation of plasminogen by tissue type plasminogen activator,Am J Respir Crit Care Med,2010,181,,6824,,,Florova G; Komissarov A; Idell S
52,"Alipour M, Suntres ZE, Omri A. Importance of DNase and alginate lyase for enhancing free and liposome encapsulated aminoglycoside activity against Pseudomonas aeruginosa. J Antimicrob Chemother. 2009;64.",Importance of DNase and alginate lyase for enhancing free and liposome encapsulated aminoglycoside activity against Pseudomonas aeruginosa,J Antimicrob Chemother,2009,64,,,,,Alipour M; Suntres ZE; Omri A
53,"Poulsen J, Kristensen VN, Brygger HE, Delikaris P. Treatment of infected surgical wounds with Varidase. Acta Chir Scand. 1983;149.",Treatment of infected surgical wounds with Varidase,Acta Chir Scand,1983,149,,,,,Poulsen J; Kristensen VN; Brygger HE; Delikaris P
54,Suomalainen O. Evaluation of two enzyme preparations -Trypure and Varidase in traumatic ulcers. Ann Chir Gynaecol. 1983;72.,Evaluation of two enzyme preparations -Trypure and Varidase in traumatic ulcers,Ann Chir Gynaecol,1983,72,,,,,Suomalainen O
