#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"O'brian B, Davis S, Toth E-, P. G-tube site care: a practical guide. RN. 1999;62(2).",G-tube site care: a practical guide,RN,1999,62,2,,,,O'brian B; Davis S; Toth E-; P
12,"Qanadli SD, Barre O, Mesurolle B. Percutaneous gastrostomy for enteral nutrition: long-term follow-up of 176 procedures. Can Assoc Radiol J. 1999;50(4).",Percutaneous gastrostomy for enteral nutrition: long-term follow-up of 176 procedures,Can Assoc Radiol J,1999,50,4,,,,Qanadli SD; Barre O; Mesurolle B
13,"Neeff M, Crowder VL, Mcivor NP, Chaplin JM, Morton RP. Comparison of the use of endoscopic and radiologic gastrostomy in a single head and neck cancer unit. ANZ J Surg. 2003;73(8).",Comparison of the use of endoscopic and radiologic gastrostomy in a single head and neck cancer unit,ANZ J Surg,2003,73,8,,,,Neeff M; Crowder VL; Mcivor NP; Chaplin JM; Morton RP
14,"Righi PD, Reddy DK, Weisberger EC. Radiologic percutaneous gastrostomy: results in 56 patients with head and neck cancer. Laryngoscope. 1998;108(7).",Radiologic percutaneous gastrostomy: results in 56 patients with head and neck cancer,Laryngoscope,1998,108,7,,,,Righi PD; Reddy DK; Weisberger EC
15,"Thornton FJ, Fotheringham T, Haslam PJ, Mcgrath FP, Keeling F, Lee MJ. Percutaneous radiologic gastrostomy with and without Tfastener gastropexy: a randomized comparison study. Cardiovasc Intervent Radiol. 2002;25(6).",Percutaneous radiologic gastrostomy with and without Tfastener gastropexy: a randomized comparison study,Cardiovasc Intervent Radiol,2002,25,6,,,,Thornton FJ; Fotheringham T; Haslam PJ; Mcgrath FP; Keeling F; Lee MJ
16,"Özmen MN, Akhan O. Review. Percutaneous radiologic gastrostomy. Eur J Radiol. 2002;43.",Review. Percutaneous radiologic gastrostomy,Eur J Radiol,2002,43,,,,,Özmen MN; Akhan O
17,"Preclik G, Grune S, Leser HG. Prospective, randomized, double blind trial of prophylaxis with single dose of co-amoxiclav before percutaneous endoscopic gastrostomy. BMJ. 1999;319(7214).","Prospective, randomized, double blind trial of prophylaxis with single dose of co-amoxiclav before percutaneous endoscopic gastrostomy",BMJ,1999,319,7214,,,,Preclik G; Grune S; Leser HG
18,"Mcdermott VG, Schuster MG, Smith TP. Antibiotic prophylaxis in vascular and interventional radiology. AJR. 1997;169.",Antibiotic prophylaxis in vascular and interventional radiology,AJR,1997,169,,,,,Mcdermott VG; Schuster MG; Smith TP
19,"Ringstrom E, Matthews TW, Lampe HB, Currie C. Role of percutaneous gastrostomy tubes in the postoperative care of patients with cancer of the oral cavity and oropharynx. J Otolaryngol. 1999;28.",Role of percutaneous gastrostomy tubes in the postoperative care of patients with cancer of the oral cavity and oropharynx,J Otolaryngol,1999,28,,,,,Ringstrom E; Matthews TW; Lampe HB; Currie C
20,"Sanders DS, Carter MJ. Antibiotic prophylaxis after percutaneous endoscopic gastrostomy insertion: all-encompassing study is needed [letter. BMJ. 2000;320(7238):870.",Antibiotic prophylaxis after percutaneous endoscopic gastrostomy insertion: all-encompassing study is needed [letter,BMJ,2000,320,7238,870,,,Sanders DS; Carter MJ
21,"Gossner L, Hahn EG, Ell C. Antibiotic prophylaxis in percutaneous endoscopic gastrostomy: a prospective randomized clinical trial. Endoscopy. 1999;31(2).",Antibiotic prophylaxis in percutaneous endoscopic gastrostomy: a prospective randomized clinical trial,Endoscopy,1999,31,2,,,,Gossner L; Hahn EG; Ell C
22,"Sturgis TM, Cole YW, Proctor JC, Minhas DD, Marcuard BS, SP. Antibiotic prophylaxis in percutaneous endoscopic gastrostomy. Am J Gastroent. 1996;91(11).",Antibiotic prophylaxis in percutaneous endoscopic gastrostomy,Am J Gastroent,1996,91,11,,,,Sturgis TM; Cole YW; Proctor JC; Minhas DD; Marcuard BS; SP
23,"Mohammed I, Jones B. Antibiotic prophylaxis after percutaneous endoscopic gastrostomy insertion: widespread routine use of prophylactic antibiotics might predispose to increased risk of resistant organisms [letter. BMJ. 2000;320(7238):870.",Antibiotic prophylaxis after percutaneous endoscopic gastrostomy insertion: widespread routine use of prophylactic antibiotics might predispose to increased risk of resistant organisms [letter,BMJ,2000,320,7238,870,,,Mohammed I; Jones B
24,"Pickhardt PJ, Jr R, Cossentino CA, MJ. Stomal metastases complicating percutaneous endoscopic gastrostomy: CT findings and the argument for radiologic tube placement. AJR. 2002;179(3).",Stomal metastases complicating percutaneous endoscopic gastrostomy: CT findings and the argument for radiologic tube placement,AJR,2002,179,3,,,,Pickhardt PJ; Jr R; Cossentino CA; MJ
25,"Laasch HU, Wilbraham L, Bullen K. Gastrostomy insertion: comparing the options -PEG, RIG or PIG?. Clin Radiol. 2003;58.","Gastrostomy insertion: comparing the options -PEG, RIG or PIG?",Clin Radiol,2003,58,,,,,Laasch HU; Wilbraham L; Bullen K
26,"Adams GF, Guest DP, Ciraulo DL, Lewis PL, Carpenter-Hill R, Barker DE. Maximizing tolerance of enteral nutrition in severely injured trauma patients: a comparison of enteral feedings by means of percutaneous endoscopic gastrostomy versus percutaneous endoscopic gastrojejunostomy. J Trauma. 2000;48(3).",Maximizing tolerance of enteral nutrition in severely injured trauma patients: a comparison of enteral feedings by means of percutaneous endoscopic gastrostomy versus percutaneous endoscopic gastrojejunostomy,J Trauma,2000,48,3,,,,Adams GF; Guest DP; Ciraulo DL; Lewis PL; Carpenter-Hill R; Barker DE
27,"Thornton FJ, Fotheringham T, Alexander M, Hardiman O, Mc-Grath FP, Lee MJ. Amyotrophic lateral sclerosis: enteral nutrition provision -endoscopic or radiologic gastrostomy?. Radiology. 2002;224(3).",Amyotrophic lateral sclerosis: enteral nutrition provision -endoscopic or radiologic gastrostomy?,Radiology,2002,224,3,,,,Thornton FJ; Fotheringham T; Alexander M; Hardiman O; Mc-Grath FP; Lee MJ
28,"Botterill I, Miller G, Dexter S, Martin I. Lesson of the week: deaths after delayed recognition of percutaneous endoscopic gastrostomy tube migration. BMJ. 1998;317(7157).",Lesson of the week: deaths after delayed recognition of percutaneous endoscopic gastrostomy tube migration,BMJ,1998,317,7157,,,,Botterill I; Miller G; Dexter S; Martin I
29,"Cozzi G, Gavazzi C, Civelli E. Percutaneous gastrostomy in oncologic patients: analysis of results and expansion of the indications. Abdom Imaging. 2000;25.",Percutaneous gastrostomy in oncologic patients: analysis of results and expansion of the indications,Abdom Imaging,2000,25,,,,,Cozzi G; Gavazzi C; Civelli E
30,"Marcy PY, Chevallier P, Granon C, Falewee MN, Bleuse A, Bruneton JN. Cost-benefit analysis of percutaneous interventional radiological procedures in cancer patients. Support Cancer Care. 1999;7.",Cost-benefit analysis of percutaneous interventional radiological procedures in cancer patients,Support Cancer Care,1999,7,,,,,Marcy PY; Chevallier P; Granon C; Falewee MN; Bleuse A; Bruneton JN
