#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Paston F, Bye M. Tracheomalacia. Pediatr Rev. 1996;17:328.",Tracheomalacia,Pediatr Rev,1996,17,,328,,,Paston F; Bye M
12,"Heussel CP, Hafner B, Lill J. Paired inspiratory/ expiratory spiral CT and continuous respiration cine CT in the diagnosis of tracheal instability. Eur Radiol. 2001;11.",Paired inspiratory/ expiratory spiral CT and continuous respiration cine CT in the diagnosis of tracheal instability,Eur Radiol,2001,11,,,,,Heussel CP; Hafner B; Lill J
13,"Boiselle PM, Lee KS, Lin S. Cine CT during coughing for assessment of tracheomalacia: preliminary experience with 64-MDCT. Am J Roentgenol. 2006;187(2).",Cine CT during coughing for assessment of tracheomalacia: preliminary experience with 64-MDCT,Am J Roentgenol,2006,187,2,,,,Boiselle PM; Lee KS; Lin S
14,"Bankier AA, Donnell O, Boiselle C, PM. Respiratory instructions for CT examinations of the lungs: a handson guideline. Radiographics. 2008;28.",Respiratory instructions for CT examinations of the lungs: a handson guideline,Radiographics,2008,28,,,,,Bankier AA; Donnell O; Boiselle C; PM
15, Johns Hopkins Installs First 320-slice CT scanner in North America. Johns Hopkins Installs First 320-slice CT scanner in North America. 2007;None.,Johns Hopkins Installs First 320-slice CT scanner in North America,Johns Hopkins Installs First 320-slice CT scanner in North America,2007,,,,,,
16,"Zhang J, Hasegawa I, Feller-Kopman D. Dynamic expiratory volumetric CT imaging of the central airways: comparison of standard-dose and low-dose techniques. Acad Radiol. 2003;10.",Dynamic expiratory volumetric CT imaging of the central airways: comparison of standard-dose and low-dose techniques,Acad Radiol,2003,10,,,,,Zhang J; Hasegawa I; Feller-Kopman D
17,"Mayo JR, Aldrich J, Mu ¨ller Nl. Radiation exposure at chest CT: a statement of the Fleischner Society. Radiology. 2005;228.",Radiation exposure at chest CT: a statement of the Fleischner Society,Radiology,2005,228,,,,,Mayo JR; Aldrich J; Mu ¨ller Nl
18,"Boiselle PM, Reynolds KF, Ernst A. Multiplanar and three-dimensional imaging of the central airways with multidetector CT. Am J Roentgenol. 2002;179.",Multiplanar and three-dimensional imaging of the central airways with multidetector CT,Am J Roentgenol,2002,179,,,,,Boiselle PM; Reynolds KF; Ernst A
19,"Calhoun PS, Kuszyk B, Heath DG. Three-dimensional volume rendering of spiral CT data: theory and method. RadioGraphics. 1999;19.",Three-dimensional volume rendering of spiral CT data: theory and method,RadioGraphics,1999,19,,,,,Calhoun PS; Kuszyk B; Heath DG
20,Cody DD. Image processing in CT. RadioGraphics. 2002;22.,Image processing in CT,RadioGraphics,2002,22,,,,,Cody DD
21,Lipson SA. Image reconstruction and review. MDCT and 3D workstations. 2006;None.,Image reconstruction and review,MDCT and 3D workstations,2006,,,,,,Lipson SA
22,"Boiselle PM, Ernst A. Tracheal morphology in patients with tracheomalacia: prevalence of inspiratory ''lunate'' and expiratory ''frown'' shapes. J Thorac Imaging. 2006;21.",Tracheal morphology in patients with tracheomalacia: prevalence of inspiratory ''lunate'' and expiratory ''frown'' shapes,J Thorac Imaging,2006,21,,,,,Boiselle PM; Ernst A
23,"Murgu SD, Colt HG. Recognizing tracheobronchomalacia. J Respir Dis. 2006;27.",Recognizing tracheobronchomalacia,J Respir Dis,2006,27,,,,,Murgu SD; Colt HG
24,"Baroni RH, Ashiku S, Boiselle PM. Dynamic-CT evaluation of the central airways in patients undergoing tracheoplasty for tracheobronchomalacia. AJR. 2005;184.",Dynamic-CT evaluation of the central airways in patients undergoing tracheoplasty for tracheobronchomalacia,AJR,2005,184,,,,,Baroni RH; Ashiku S; Boiselle PM
