#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"López-Campos JL, Tan W, Soriano JB. Global burden of COPD. Respirology. 2016;21(1).",Global burden of COPD,Respirology,2016,21,1,,,,López-Campos JL; Tan W; Soriano JB
12,"Valipour A, Slebos DJ, Herth F, Darwiche K, Wagner M, Ficker JH. Endobronchial valve therapy in patients with homogeneous emphysema. Results from the IMPACT study. Am J Respir Crit Care Med. 2016;194(9).",Endobronchial valve therapy in patients with homogeneous emphysema. Results from the IMPACT study,Am J Respir Crit Care Med,2016,194,9,,,,Valipour A; Slebos DJ; Herth F; Darwiche K; Wagner M; Ficker JH
13,"Criner GJ, Sue R, Wright S, Dransfield M, Rivas-Perez H, Wiese T. A multicenter RCT of Zephyr® endobronchial valve treatment in heterogeneous emphysema (LIBER-ATE). Am J Respir Crit Care Med. 2018;198(9). doi:10.1159/000517034.",A multicenter RCT of Zephyr® endobronchial valve treatment in heterogeneous emphysema (LIBER-ATE),Am J Respir Crit Care Med,2018,198,9,,10.1159/000517034,,Criner GJ; Sue R; Wright S; Dransfield M; Rivas-Perez H; Wiese T
14,"Herth FJ, Gompelmann D, Criner GJ, Sciurba FC, Ernst A, Eberhardt R. Lung volume reduction using endobronchial valves in COPD patients with low emphysema heterogeneity scores. Am J Respir Crit Care Med. 2015;191:1156.",Lung volume reduction using endobronchial valves in COPD patients with low emphysema heterogeneity scores,Am J Respir Crit Care Med,2015,191,,1156,,,Herth FJ; Gompelmann D; Criner GJ; Sciurba FC; Ernst A; Eberhardt R
15,"Eberhardt R, Heubel CP, Kreuter M, Weinheimer O, Herth F. Bronchoscopic lung volume reduction in patients with severe homogeneous lung emphysema: a pilot study. Dtsch Med Wochenschr. 2009;134(11).",Bronchoscopic lung volume reduction in patients with severe homogeneous lung emphysema: a pilot study,Dtsch Med Wochenschr,2009,134,11,,,,Eberhardt R; Heubel CP; Kreuter M; Weinheimer O; Herth F
16,"Valipour A, Slebos DJ, De Oliveira HG, Eberhardt R, Freitag L, Criner GJ. Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema: potential mechanisms, treatment algorithm, and case examples. Respiration. 2014;87.","Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema: potential mechanisms, treatment algorithm, and case examples",Respiration,2014,87,,,,,Valipour A; Slebos DJ; De Oliveira HG; Eberhardt R; Freitag L; Criner GJ
17,"Fishman A, Martinez F, Naunheim K, Piantadosi S, Wise R, Ries A. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348(21).",A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,21,,,,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A
18,"Valipour A, Herth FJ, Burghuber OC, Criner G, Vergnon JM, Goldin J. Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy. Eur Respir J. 2014;43.",Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy,Eur Respir J,2014,43,,,,,Valipour A; Herth FJ; Burghuber OC; Criner G; Vergnon JM; Goldin J
19,"Gompelmann D, Hofbauer T, Gerovasili V, Eberhardt R, Lim HJ, Herth F. Predictors of clinical outcome in emphysema patients with atelectasis following endoscopic valve therapy: a retrospective study. Respirology. 2016;21.",Predictors of clinical outcome in emphysema patients with atelectasis following endoscopic valve therapy: a retrospective study,Respirology,2016,21,,,,,Gompelmann D; Hofbauer T; Gerovasili V; Eberhardt R; Lim HJ; Herth F
20,"Tanabe N, Muro S, Tanaka S, Sato S, Oguma T, Kiyokawa H. Emphysema distribution and annual changes in pulmonary function in male patients with chronic obstructive pulmonary disease. Respir Res. 2012;13:31.",Emphysema distribution and annual changes in pulmonary function in male patients with chronic obstructive pulmonary disease,Respir Res,2012,13,,31,,,Tanabe N; Muro S; Tanaka S; Sato S; Oguma T; Kiyokawa H
21,"Klooster K, Hartman JE, Ten Hacken NH, Slebos DJ. One-year follow-up after endobronchial valve treatment in patients with emphysema without collateral ventilation treated in the STELVIO trial. Respiration. 2017;93(2).",One-year follow-up after endobronchial valve treatment in patients with emphysema without collateral ventilation treated in the STELVIO trial,Respiration,2017,93,2,,,,Klooster K; Hartman JE; Ten Hacken NH; Slebos DJ
22,"Sciurba FC, Criner GJ, Strange C, Shah PL, Michaud G, Connolly TA. Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial. JAMA. 2016;315(20).",Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial,JAMA,2016,315,20,,,,Sciurba FC; Criner GJ; Strange C; Shah PL; Michaud G; Connolly TA
23, National Emphysema Treatment Trial Research Group. Patients at high-risk of death after lung volume reduction surgery. New Eng J Med. 2001;345(5).,National Emphysema Treatment Trial Research Group. Patients at high-risk of death after lung volume reduction surgery,New Eng J Med,2001,345,5,,,,
