#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Cancer Facts and Figures. Cancer Facts and Figures. 2013;None.,Cancer Facts and Figures,Cancer Facts and Figures,2013,,,,,,
27,"Nag S, Kelly JF, Horton JL. Brachytherapy for carcinoma of the lung. Oncology. 2001;15.",Brachytherapy for carcinoma of the lung,Oncology,2001,15,,,,,Nag S; Kelly JF; Horton JL
28,Yankauer S. Two cases of lung tumor treated bronchoscopically. NY Med J. 1922;21:741.,Two cases of lung tumor treated bronchoscopically,NY Med J,1922,21,,741,,,Yankauer S
29,"Rodrigues G, Videtic GM, Sur R. Palliative thoracic radiotherapy in lung cancer: an American Society for Radiation Oncology evidence-based clinical practice guideline. Pract Radiat Oncol. 2011;1.",Palliative thoracic radiotherapy in lung cancer: an American Society for Radiation Oncology evidence-based clinical practice guideline,Pract Radiat Oncol,2011,1,,,,,Rodrigues G; Videtic GM; Sur R
30,"Langendijk H, De Jong J, Tjwa M. External irradiation versus external irradiation plus endobronchial brachytherapy in inoperable non-small cell lung cancer: a prospective randomized study. Radiother Oncol. 2001;58.",External irradiation versus external irradiation plus endobronchial brachytherapy in inoperable non-small cell lung cancer: a prospective randomized study,Radiother Oncol,2001,58,,,,,Langendijk H; De Jong J; Tjwa M
31,"Kishi K, Yoshimasu T, Shirai S. Usefulness of minitracheostomy and torque controlled insertion of applicator in fractionated endobronchial brachytherapy. Br J Radiol. 2006;79.",Usefulness of minitracheostomy and torque controlled insertion of applicator in fractionated endobronchial brachytherapy,Br J Radiol,2006,79,,,,,Kishi K; Yoshimasu T; Shirai S
32,"Van Eijkeren M, Thienpont M, Boterberg T. Implementation, uptime, and safety of a pulsed dose rate afterloading machine. Int J Radiat Oncol Biol Phys. 1996;36.","Implementation, uptime, and safety of a pulsed dose rate afterloading machine",Int J Radiat Oncol Biol Phys,1996,36,,,,,Van Eijkeren M; Thienpont M; Boterberg T
33,"Liu L, Bassano DA, Prasad SC. On the use of C-arm fluoroscopy for treatment planning in high dose rate brachytherapy. Med Phys. 2003;30.",On the use of C-arm fluoroscopy for treatment planning in high dose rate brachytherapy,Med Phys,2003,30,,,,,Liu L; Bassano DA; Prasad SC
34,"Hara R, Itami J, Aruga T. Risk factors for massive haemoptysis after endobronchial brachytherapy in patients with tracheobronchial maliganacies. Cancer. 2001;92.",Risk factors for massive haemoptysis after endobronchial brachytherapy in patients with tracheobronchial maliganacies,Cancer,2001,92,,,,,Hara R; Itami J; Aruga T
35,"Sawicki M, Kazalski D, Lyczek J. The evaluation of treatment plans in high-dose-rate endobronchial brachytherapy by utilizing 2D and 3D computed tomography imaging methods. J Contemp Brachytherapy. 2014;6.",The evaluation of treatment plans in high-dose-rate endobronchial brachytherapy by utilizing 2D and 3D computed tomography imaging methods,J Contemp Brachytherapy,2014,6,,,,,Sawicki M; Kazalski D; Lyczek J
36,"Kennedy MP, Jimenez CA, Chang J. Optimisation of bronchial brachytherapy catheter placement with a modified airway stent. Eur Respir J. 2008;31.",Optimisation of bronchial brachytherapy catheter placement with a modified airway stent,Eur Respir J,2008,31,,,,,Kennedy MP; Jimenez CA; Chang J
37,"Marsiglia H, Baldeyrou P, Lartigau E. High-dose-rate brachytherapy as sole modality for early-stage endobronchial carcinoma. Int J Radiat Oncol Biol Phys. 2000;47.",High-dose-rate brachytherapy as sole modality for early-stage endobronchial carcinoma,Int J Radiat Oncol Biol Phys,2000,47,,,,,Marsiglia H; Baldeyrou P; Lartigau E
38,"Gay HA, Allison RR, Downie GH. Toward endobronchial Ir-192 high-dose-rate brachytherapy therapeutic optimization. Phys Med Biol. 2007;52.",Toward endobronchial Ir-192 high-dose-rate brachytherapy therapeutic optimization,Phys Med Biol,2007,52,,,,,Gay HA; Allison RR; Downie GH
39,"Lyczek J, Kazalski D, Kowalik L. Comparison of the GTV coverage by PTV and isodose of 90% in 2D and 3D planning during endobronchial brachytherapy in the palliative treatment of patients with advanced lung cancer. Pilot study. J Contemp Brachytherapy. 2012;4.",Comparison of the GTV coverage by PTV and isodose of 90% in 2D and 3D planning during endobronchial brachytherapy in the palliative treatment of patients with advanced lung cancer. Pilot study,J Contemp Brachytherapy,2012,4,,,,,Lyczek J; Kazalski D; Kowalik L
40,"Oh M, Wang Z, Malhotra HK. Impact of surface curvature on dose delivery in intraoperative high-dose-rate brachytherapy. Med Dosim. 2009;34.",Impact of surface curvature on dose delivery in intraoperative high-dose-rate brachytherapy,Med Dosim,2009,34,,,,,Oh M; Wang Z; Malhotra HK
41,"Li XA, Chibani O, Greenwald B. Radiotherapy dose perturbation of metallic esophageal stents. Int J Radiat Oncol Biol Phys. 2002;54.",Radiotherapy dose perturbation of metallic esophageal stents,Int J Radiat Oncol Biol Phys,2002,54,,,,,Li XA; Chibani O; Greenwald B
42,"Sutherland J, Miksys N, Furutani KM. Metallic artefact mitigation and organ-constrained tissue assignment for Monte-Carlo calculations of permanent implant lung brachytherapy. Med Phys. 2014;41:11712.",Metallic artefact mitigation and organ-constrained tissue assignment for Monte-Carlo calculations of permanent implant lung brachytherapy,Med Phys,2014,41,,11712,,,Sutherland J; Miksys N; Furutani KM
43,"Skowronek J, Kubaszewska M, Kanikowski M. HDR endobronchial brachytherapy (HDRBT) in the management of advanced lung cancerdcomparison of two different dose schedules. Radiother Oncol. 2009;93.",HDR endobronchial brachytherapy (HDRBT) in the management of advanced lung cancerdcomparison of two different dose schedules,Radiother Oncol,2009,93,,,,,Skowronek J; Kubaszewska M; Kanikowski M
44,"Niemoeller OM, P€ Ollinger B, Niyazi M. Mature results of a randomized trial comparing two fractionation schedules of high dose rate endoluminal brachytherapy for the treatment of endobronchial tumors. Radiat Oncol. 2013;7:8.",Mature results of a randomized trial comparing two fractionation schedules of high dose rate endoluminal brachytherapy for the treatment of endobronchial tumors,Radiat Oncol,2013,7,,8,,,Niemoeller OM; P€ Ollinger B; Niyazi M
45,"Mallick I, Sharma SC, Behera D. Optimization of dose and fractionation of endobronchial brachytherapy with or without external radiation in the palliative management of non-small cell lung cancer: a prospective randomized study. J Cancer Res Ther. 2006;2.",Optimization of dose and fractionation of endobronchial brachytherapy with or without external radiation in the palliative management of non-small cell lung cancer: a prospective randomized study,J Cancer Res Ther,2006,2,,,,,Mallick I; Sharma SC; Behera D
46,"Stout R, Barber P, Burt P. Clinical and quality of life outcomes in the first United Kingdom randomized trial of endobronchial brachytherapy (intraluminal radiotherapy) vs. external beam radiotherapy in the palliative treatment of inoperable non-small cell lung cancer. Radiother Oncol. 2000;56.",Clinical and quality of life outcomes in the first United Kingdom randomized trial of endobronchial brachytherapy (intraluminal radiotherapy) vs. external beam radiotherapy in the palliative treatment of inoperable non-small cell lung cancer,Radiother Oncol,2000,56,,,,,Stout R; Barber P; Burt P
47,"Chella A, Ambrogi MC, Ribechini A. Combined Nd-YAG laser/HDR brachytherapy versus Nd-YAG laser only in malignant central airway involvement: a prospective randomized study. Lung Cancer. 2000;27.",Combined Nd-YAG laser/HDR brachytherapy versus Nd-YAG laser only in malignant central airway involvement: a prospective randomized study,Lung Cancer,2000,27,,,,,Chella A; Ambrogi MC; Ribechini A
48,"Ferstl A, Fischer R, Hautmann H. Simultaneous chemotherapy and high dose rate brachytherapy (HDRBT) in the treatment of locally advanced non-small cell lung cancer. Eur Respir J. 1997;10(25):198.",Simultaneous chemotherapy and high dose rate brachytherapy (HDRBT) in the treatment of locally advanced non-small cell lung cancer,Eur Respir J,1997,10,25,198,,,Ferstl A; Fischer R; Hautmann H
49,"Reveiz L, Rueda JR, Cardona AF. Palliative endobronchial brachytherapy for non-small cell lung cancer. Cochrane Database Syst Rev. 2012;12:4284.",Palliative endobronchial brachytherapy for non-small cell lung cancer,Cochrane Database Syst Rev,2012,12,,4284,,,Reveiz L; Rueda JR; Cardona AF
50,"Skowronek J, Piorunek T, Kanikowski M. Definitive highdose-rate endobronchial brachytherapy of bronchial stump for lung cancer after surgery. Brachytherapy. 2013;12.",Definitive highdose-rate endobronchial brachytherapy of bronchial stump for lung cancer after surgery,Brachytherapy,2013,12,,,,,Skowronek J; Piorunek T; Kanikowski M
51,"Rodrigues G, Macbeth F, Burmeister B. International practice survey on palliative lung radiotherapy: Third International Consensus Workshop on Palliative Radiotherapy and Symptom Control. Clin Lung Cancer. 2012;13.",International practice survey on palliative lung radiotherapy: Third International Consensus Workshop on Palliative Radiotherapy and Symptom Control,Clin Lung Cancer,2012,13,,,,,Rodrigues G; Macbeth F; Burmeister B
52,"Pollinger B, Huber RM, Fischer R. Prospective randomised trial on the role of HDR brachytherapy in addition to external beam radiotherapy for central bronchial carcinoma. Int J Radiat Oncol Biol Phys. 1996;36(1):208.",Prospective randomised trial on the role of HDR brachytherapy in addition to external beam radiotherapy for central bronchial carcinoma,Int J Radiat Oncol Biol Phys,1996,36,1,208,,,Pollinger B; Huber RM; Fischer R
53,"Huber RM, Fischer R, Hautmann H. Does additional brachytherapy improve the effect of external irradiation? A prospective, randomized study in central lung tumors?. Int J Radiat Oncol Biol Phys. 1997;38.","Does additional brachytherapy improve the effect of external irradiation? A prospective, randomized study in central lung tumors?",Int J Radiat Oncol Biol Phys,1997,38,,,,,Huber RM; Fischer R; Hautmann H
54,"Rosenzweig KE, Chang JY, Chetty IJ. ACR appropriateness criteria nonsurgical treatment for non-small-cell lung cancer: poor performance status or palliative intent. J Am Coll Radiol. 2013;10.",ACR appropriateness criteria nonsurgical treatment for non-small-cell lung cancer: poor performance status or palliative intent,J Am Coll Radiol,2013,10,,,,,Rosenzweig KE; Chang JY; Chetty IJ
55,"Moghissi K, Bond MG, Sambrook RJ. Treatment of endotracheal or endobronchial obstruction by non-small cell lung cancer: lack of patients in an MRC randomized trial leaves key questions unanswered. Medical Research Council Lung Cancer Working Party. Clin Oncol. 1999;11.",Treatment of endotracheal or endobronchial obstruction by non-small cell lung cancer: lack of patients in an MRC randomized trial leaves key questions unanswered. Medical Research Council Lung Cancer Working Party,Clin Oncol,1999,11,,,,,Moghissi K; Bond MG; Sambrook RJ
56,"Dale RG, Jones B. The clinical radiobiology of brachytherapy. Br J Radiol. 1998;71.",The clinical radiobiology of brachytherapy,Br J Radiol,1998,71,,,,,Dale RG; Jones B
57,"Shi S, Yang J, Sun D. CT-guided 125I brachytherapy on pulmonary metastases after resection of colorectal cancer: a report of six cases. Oncol Lett. 2015;9.",CT-guided 125I brachytherapy on pulmonary metastases after resection of colorectal cancer: a report of six cases,Oncol Lett,2015,9,,,,,Shi S; Yang J; Sun D
58,"Stewart AJ, Mutyala S, Holloway CL. Intra-operative seed placement for thoracic malignancy-a review of technique, indications and published literature. Brachytherapy. 2009;8.","Intra-operative seed placement for thoracic malignancy-a review of technique, indications and published literature",Brachytherapy,2009,8,,,,,Stewart AJ; Mutyala S; Holloway CL
59,"Mutyala S, Stewart A, Khan AJ. Permanent iodine-125 interstitial planar seed brachytherapy for close or positive margins for thoracic malignancies. Int J Radiat Oncol Biol Phys. 2010;76.",Permanent iodine-125 interstitial planar seed brachytherapy for close or positive margins for thoracic malignancies,Int J Radiat Oncol Biol Phys,2010,76,,,,,Mutyala S; Stewart A; Khan AJ
60,"Wernicke AG, Parikh A, Yondorf M. Lung-conserving treatment of a pulmonary oligometastasis with a wedge resection and (131)Cs brachytherapy. Brachytherapy. 2013;12.",Lung-conserving treatment of a pulmonary oligometastasis with a wedge resection and (131)Cs brachytherapy,Brachytherapy,2013,12,,,,,Wernicke AG; Parikh A; Yondorf M
61,"Fernando HC, Landreneau RJ, Mandrekar SJ. Analysis of longitudinal quality-of-life data in high-risk operable patients with lung cancer: results from the ACOSOG Z4032 (Alliance) multicenter randomized trial. J Thorac Cardiovasc Surg. 2015;149.",Analysis of longitudinal quality-of-life data in high-risk operable patients with lung cancer: results from the ACOSOG Z4032 (Alliance) multicenter randomized trial,J Thorac Cardiovasc Surg,2015,149,,,,,Fernando HC; Landreneau RJ; Mandrekar SJ
62,"Fernando HC, Landreneau RJ, Mandrekar SJ. Impact of brachytherapy on local recurrence rates after sublobar resection: results from ACOSOG Z4032 (Alliance), a phase III randomized trial for high-risk operable non-small-cell lung canceR. J Clin Oncol. 2014;32.","Impact of brachytherapy on local recurrence rates after sublobar resection: results from ACOSOG Z4032 (Alliance), a phase III randomized trial for high-risk operable non-small-cell lung canceR",J Clin Oncol,2014,32,,,,,Fernando HC; Landreneau RJ; Mandrekar SJ
63,"Trombetta MG, Colonias A, Makishi D. Tolerance of the proximal aorta using intraoperative iodine-125 intersitial brachytherapy in cancer of the lung. Brachytherapy. 2008;7.",Tolerance of the proximal aorta using intraoperative iodine-125 intersitial brachytherapy in cancer of the lung,Brachytherapy,2008,7,,,,,Trombetta MG; Colonias A; Makishi D
64,"Mart Inez-Monge R, Pagola M, Vivas I. CT-guided permanent brachytherapy for patients with medically inoperable early-stage nonsmall cell lung cancer (NSCLC). Lung Cancer. 2008;61.",CT-guided permanent brachytherapy for patients with medically inoperable early-stage nonsmall cell lung cancer (NSCLC),Lung Cancer,2008,61,,,,,Mart Inez-Monge R; Pagola M; Vivas I
65,"Nori D, Li X, Pugkhem T. Intraoperative brachytherapy using Gelfoam radioactive plaque implants for resected stage III non-small cell lung cancer with positive margin: a pilot study. J Surg Oncol. 1995;60.",Intraoperative brachytherapy using Gelfoam radioactive plaque implants for resected stage III non-small cell lung cancer with positive margin: a pilot study,J Surg Oncol,1995,60,,,,,Nori D; Li X; Pugkhem T
66,"Yang R, Wang J, Zhang H. Dosimetric study of 131Cs, I-125, and Pd-103 seeds for permanent prostate brachytherapy. Cancer Biother Radiopharm. 2009;24.","Dosimetric study of 131Cs, I-125, and Pd-103 seeds for permanent prostate brachytherapy",Cancer Biother Radiopharm,2009,24,,,,,Yang R; Wang J; Zhang H
67,"Armpilia CI, Dale RG, Coles I. The determination of radiobiologically-optimised half-lives for radionuclides used in permanent brachytherapy implants. Int J Radiat Oncol Biol Phys. 2003;55.",The determination of radiobiologically-optimised half-lives for radionuclides used in permanent brachytherapy implants,Int J Radiat Oncol Biol Phys,2003,55,,,,,Armpilia CI; Dale RG; Coles I
68,"Parashar B, Port J, Arora S. Analysis of stereotactic radiation vs. wedge resection vs. wedge resection plus Cesium-131 brachytherapy in early-stage lung cancer. Brachytherapy. 2015;14.",Analysis of stereotactic radiation vs. wedge resection vs. wedge resection plus Cesium-131 brachytherapy in early-stage lung cancer,Brachytherapy,2015,14,,,,,Parashar B; Port J; Arora S
69,"Thomadsen B, Ayyangar K, Anderson L. Chapter 8: brachytherapy treatment planning. Principles and practice of brachytherapy. 1997;None.",Chapter 8: brachytherapy treatment planning,Principles and practice of brachytherapy,1997,,,,,,Thomadsen B; Ayyangar K; Anderson L
70,"Johnson M, Colonias A, Parda D. Dosimetric and technical aspects of intraoperative I-125 brachytherapy for stage I non-small cell lung cancer. Phys Med Biol. 2007;52.",Dosimetric and technical aspects of intraoperative I-125 brachytherapy for stage I non-small cell lung cancer,Phys Med Biol,2007,52,,,,,Johnson M; Colonias A; Parda D
71,"Nath R, Anderson LL, Luxton G. Dosimetry of interstitial brachytherapy sources: recommendations of the AAPM Radiation Therapy Committee Task Group No 43. Med Phys. 1995;22.",Dosimetry of interstitial brachytherapy sources: recommendations of the AAPM Radiation Therapy Committee Task Group No 43,Med Phys,1995,22,,,,,Nath R; Anderson LL; Luxton G
72,"Cormack RA, Holloway CL, Farrell O, D. Permanent planar iodine-125 implants: the dosimetric effect of geometric parameters for idealized source configurations. Int J Radiat Oncol Biol Phys. 2007;69.",Permanent planar iodine-125 implants: the dosimetric effect of geometric parameters for idealized source configurations,Int J Radiat Oncol Biol Phys,2007,69,,,,,Cormack RA; Holloway CL; Farrell O; D
73,"Smith RP, Schuchert M, Komanduri K. Dosimetric evaluation of radiation exposure during I-125 vicryl mesh implants: implications for ACOSOG z4032. Ann Surg Oncol. 2007;14.",Dosimetric evaluation of radiation exposure during I-125 vicryl mesh implants: implications for ACOSOG z4032,Ann Surg Oncol,2007,14,,,,,Smith RP; Schuchert M; Komanduri K
74,"Manchikanti L, Cash KA, Moss TL. Risk of whole body radiation exposure and protective measures in fluoroscopically guided interventional techniques: a prospective evaluation. BMC Anesthesiol. 2003;3:2.",Risk of whole body radiation exposure and protective measures in fluoroscopically guided interventional techniques: a prospective evaluation,BMC Anesthesiol,2003,3,,2,,,Manchikanti L; Cash KA; Moss TL
75," National Council on Radiation Protection and Measurements, Limitation of exposure to ionising radiation, N.R.N. National Council on Radiation Protection and Measurements, Limitation of exposure to ionising radiation, N.R.N. 1993;116.","National Council on Radiation Protection and Measurements, Limitation of exposure to ionising radiation, N.R.N","National Council on Radiation Protection and Measurements, Limitation of exposure to ionising radiation, N.R.N",1993,116,,,,,
76,"Smathers S, Wallner K, Korssjoen T. Radiation safety parameters following prostate brachytherapy. Int J Radiat Oncol Biol Phys. 1999;45.",Radiation safety parameters following prostate brachytherapy,Int J Radiat Oncol Biol Phys,1999,45,,,,,Smathers S; Wallner K; Korssjoen T
77,"Michalski J, Mutic S, Eichling J. Radiation exposure to family and household members after prostate brachytherapy. Int J Radiat Oncol Biol Phys. 2003;56.",Radiation exposure to family and household members after prostate brachytherapy,Int J Radiat Oncol Biol Phys,2003,56,,,,,Michalski J; Mutic S; Eichling J
78,"Sharma DN, Rath GK, Thulkar S. Computerized tomographyguided percutaneous high-dose-rate interstitial brachytherapy for malignant lung lesions. J Cancer Res Ther. 2011;7.",Computerized tomographyguided percutaneous high-dose-rate interstitial brachytherapy for malignant lung lesions,J Cancer Res Ther,2011,7,,,,,Sharma DN; Rath GK; Thulkar S
79,"De Aquino Gorayeb MM, Gregorio MG, De Oliveira EQ. Highdose-rate brachytherapy in symptom palliation due to malignant endobronchial obstruction: a quantitative asessment. Brachytherapy. 2013;12.",Highdose-rate brachytherapy in symptom palliation due to malignant endobronchial obstruction: a quantitative asessment,Brachytherapy,2013,12,,,,,De Aquino Gorayeb MM; Gregorio MG; De Oliveira EQ
80,"Sur R, Donde B, Mohuiddin M. Randomized prospective study on the role of high dose rate intraluminal brachytherapy (HDRILBT) in palliation of symptoms in advanced non small cell lung cancer (NSCLC) treated with radiation alone. Int J Radiat Oncol Biol Phys. 2004;60:205.",Randomized prospective study on the role of high dose rate intraluminal brachytherapy (HDRILBT) in palliation of symptoms in advanced non small cell lung cancer (NSCLC) treated with radiation alone,Int J Radiat Oncol Biol Phys,2004,60,,205,,,Sur R; Donde B; Mohuiddin M
81,"Kawamura H, Ebara T, Katoh H. Long-term results of curative intraluminal high dose rate brachytherapy for endobronchial carcinoma. Radiat Oncol. 2012;7:112.",Long-term results of curative intraluminal high dose rate brachytherapy for endobronchial carcinoma,Radiat Oncol,2012,7,,112,,,Kawamura H; Ebara T; Katoh H
