#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Respiration. Respiration. 2018;96. doi:10.1159/000490732.,Respiration,Respiration,2018,96,,,10.1159/000490732,,
12,"Mueller PR, Saini S, Simeone JF et al.. Image-guided pleural biopsies: indications, technique, and results in 23 patients. Radiology. 1988;169.","Image-guided pleural biopsies: indications, technique, and results in 23 patients",Radiology,1988,169,,,,,Mueller PR; Saini S; Simeone JF; Silverman SG; Morris E; Hahn PF; Forman BH; Mcloud TC; Shepard JO; Ferrucci JT
13,"Harris RJ, Kavuru MS, Rice TW, Kirby TJ. The diagnostic and therapeutic utility of thoracoscopy. A review. Chest. 1995;108.",The diagnostic and therapeutic utility of thoracoscopy. A review,Chest,1995,108,,,,,Harris RJ; Kavuru MS; Rice TW; Kirby TJ
14,"Rahman NM, Ali NJ, Brown G et al.. Local anaesthetic thoracoscopy: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Local anaesthetic thoracoscopy: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Rahman NM; Ali NJ; Brown G; Chapman SJ; Davies RJ; Downer NJ; Gleeson FV; Howes TQ; Treasure T; Singh S; Phillips GD
15,"Husain AN, Colby TV, Ordonez NG et al.. Guidelines for pathologic diagnosis of malignant mesothelioma 2017 update of the consensus statement from the international mesothelioma interest group. Arch Pathol Lab Med. 2018;142.",Guidelines for pathologic diagnosis of malignant mesothelioma 2017 update of the consensus statement from the international mesothelioma interest group,Arch Pathol Lab Med,2018,142,,,,,Husain AN; Colby TV; Ordonez NG; Allen TC; Attanoos RL; Beasley MB; Butnor KJ; Chirieac LR; Churg AM; Dacic S; Galateau-Salle F; Gibbs A; Gown AM; Krausz T; Litzky LA; Marchevsky A; Nicholson AG; Roggli VL; Sharma AK; Travis WD; Walts AE; Wick MR
16,"Walters J, Maskell NA. Biopsy Techniques for the Diagnosis of Mesothelioma. Malignant Mesothelioma. 2011;None.",Biopsy Techniques for the Diagnosis of Mesothelioma,Malignant Mesothelioma,2011,,,,,,Walters J; Maskell NA
17,"Vakil E, Ost D, Vial MR et al.. Non-specific pleuritis in patients with active malignancy. Respirology. 2018;23.",Non-specific pleuritis in patients with active malignancy,Respirology,2018,23,,,,,Vakil E; Ost D; Vial MR; Stewart J; Sarkiss MG; Morice RC; Casal RF; Eapen GA; Grosu HB
18,Light R. Pleural Diseases. Pleural Diseases. 2013;6.,Pleural Diseases,Pleural Diseases,2013,6,,,,,Light R
19,"Moschos C, Kalomenidis I. Drug related pleural disease. Pleural Bulletin, Turk Toraks Denergi. None;4.",Drug related pleural disease,"Pleural Bulletin, Turk Toraks Denergi",,4,,,,,Moschos C; Kalomenidis I
20,"Camus P, Foucher P. Pneumotox: The drug induced respiratory disease website. Pneumotox: The drug induced respiratory disease website. 2012;2.",Pneumotox: The drug induced respiratory disease website,Pneumotox: The drug induced respiratory disease website,2012,2,,,,,Camus P; Foucher P
21,"Jain D, Mathur SR, Iyer VK. Cell blocks in cytopathology: a review of preparative methods, utility in diagnosis and role in ancillary studies. Cytopathology. 2014;25.","Cell blocks in cytopathology: a review of preparative methods, utility in diagnosis and role in ancillary studies",Cytopathology,2014,25,,,,,Jain D; Mathur SR; Iyer VK
22,"Shivakumarswamy U, Arakeri SU, Karigowdar MH, Yelikar B. Diagnostic utility of the cell block method versus the conventional smear study in pleural fluid cytology. J Cytol. 2012;29.",Diagnostic utility of the cell block method versus the conventional smear study in pleural fluid cytology,J Cytol,2012,29,,,,,Shivakumarswamy U; Arakeri SU; Karigowdar MH; Yelikar B
23,"Porcel JM, Quiros M, Gatius S, Bielsa S. Examination of cytological smears and cell blocks of pleural fluid: complementary diagnostic value for malignant effusions. Rev Clin Esp. 2017;217.",Examination of cytological smears and cell blocks of pleural fluid: complementary diagnostic value for malignant effusions,Rev Clin Esp,2017,217,,,,,Porcel JM; Quiros M; Gatius S; Bielsa S
24,"Hirsch A, Ruffie P, Nebut M, Bignon J, Chretien J. Pleural effusion: laboratory tests in 300 cases. Thorax. 1979;34.",Pleural effusion: laboratory tests in 300 cases,Thorax,1979,34,,,,,Hirsch A; Ruffie P; Nebut M; Bignon J; Chretien J
25,"Salyer WR, Eggleston JC, Erozan YS. Efficacy of pleural needle biopsy and pleural fluid cytopathology in the diagnosis of malignant neoplasm involving the pleura. Chest. 1975;67.",Efficacy of pleural needle biopsy and pleural fluid cytopathology in the diagnosis of malignant neoplasm involving the pleura,Chest,1975,67,,,,,Salyer WR; Eggleston JC; Erozan YS
26,"Nance KV, Shermer RW, Askin FB. Diagnostic efficacy of pleural biopsy as compared with that of pleural fluid examination. Mod Pathol. 1991;4.",Diagnostic efficacy of pleural biopsy as compared with that of pleural fluid examination,Mod Pathol,1991,4,,,,,Nance KV; Shermer RW; Askin FB
27,"Coughlin SS, Trock B, Criqui MH, Pickle LW, Browner D, Tefft MC. The logistic modeling of sensitivity, specificity, and predictive value of a diagnostic test. J Clin Epidemiol. 1992;45:27.","The logistic modeling of sensitivity, specificity, and predictive value of a diagnostic test",J Clin Epidemiol,1992,45,,27,,,Coughlin SS; Trock B; Criqui MH; Pickle LW; Browner D; Tefft MC
28,Diamond GA. Clinical epistemology of sensitivity and specificity. J Clin Epidemiol. 1992;45.,Clinical epistemology of sensitivity and specificity,J Clin Epidemiol,1992,45,,,,,Diamond GA
29,"Verma A, Abisheganaden J. Light RW: Identifying malignant pleural effusion by a cancer ratio (serum LDH: pleural fluid ADA ratio). Lung. 2016;194.",Light RW: Identifying malignant pleural effusion by a cancer ratio (serum LDH: pleural fluid ADA ratio),Lung,2016,194,,,,,Verma A; Abisheganaden J
30,"Johnson PW, Joel SP, Love S et al.. Tumour markers for prediction of survival and monitoring of remission in small cell lung cancer. Br J Cancer. 1993;67.",Tumour markers for prediction of survival and monitoring of remission in small cell lung cancer,Br J Cancer,1993,67,,,,,Johnson PW; Joel SP; Love S; Butcher M; Pandian MR; Squires L; Wrigley PF; Slevin ML
31,"Gatenby RA, Gillies RJ. Why do cancers have high aerobic glycolysis?. Nat Rev Cancer. 2004;4.",Why do cancers have high aerobic glycolysis?,Nat Rev Cancer,2004,4,,,,,Gatenby RA; Gillies RJ
