#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"O'connor AR, MW. Radiological review of pneumothorax. BMJ. 2005;330(7506). doi:10.1136/bmj.330.7506.1493.",Radiological review of pneumothorax,BMJ,2005,330,7506,,10.1136/bmj.330.7506.1493,,O'connor AR; MW
12,"Moher D, Liberati A, Tetzlaff J, Altman D, Group. Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement. PLoS Med. 2009;6(7):1000097. doi:10.1371/journal.pmed.1000097.",Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,PLoS Med,2009,6,7,1000097,10.1371/journal.pmed.1000097,,Moher D; Liberati A; Tetzlaff J; Altman D; Group
13,"Whiting PF, Rutjes AW, Westwood ME, Mallett S, Deeks JJ, Reitsma JB. QUADAS-2: a revised tool for the quality assessment of diagnostic accuracy studies. Ann Intern Med. 2011;155(8). doi:10.7326/0003-4819-155-8-201110180-00009.",QUADAS-2: a revised tool for the quality assessment of diagnostic accuracy studies,Ann Intern Med,2011,155,8,,10.7326/0003-4819-155-8-201110180-00009,,Whiting PF; Rutjes AW; Westwood ME; Mallett S; Deeks JJ; Reitsma JB
14,"Dersimonian R, Laird N. Meta-analysis in clinical trials. Control Clin Trials. 1986;7(3). doi:10.1016/0197-2456(86)90046-2.",Meta-analysis in clinical trials,Control Clin Trials,1986,7,3,,10.1016/0197-2456(86)90046-2,,Dersimonian R; Laird N
15,Walter SD. Properties of the summary receiver operating characteristic (SROC) curve for diagnostic test data. Stat Med. 2002;21(9). doi:10.1002/sim.1099.,Properties of the summary receiver operating characteristic (SROC) curve for diagnostic test data,Stat Med,2002,21,9,,10.1002/sim.1099,,Walter SD
16,"Deeks JJ, Fellow J, Altman DG. Analyzing data and undertaking meta-analyses. Cochrane handbook for systematic reviews of interventions 501. 2008;None.",Analyzing data and undertaking meta-analyses,Cochrane handbook for systematic reviews of interventions 501,2008,,,,,,Deeks JJ; Fellow J; Altman DG
17,"Higgins JP, Thompson SG, Deeks JJ, Altman DG. Measuring inconsistency in metaanalyses. Bmj. 2003;327(7414). doi:10.1136/bmj.327.7414.557.",Measuring inconsistency in metaanalyses,Bmj,2003,327,7414,,10.1136/bmj.327.7414.557,,Higgins JP; Thompson SG; Deeks JJ; Altman DG
18,"Huxley RR, Woodward M. Cigarette smoking as a risk factor for coronary heart disease in women compared with men: a systematic review and meta-analysis of prospective cohort studies. Lancet. 2011;378. doi:10.1016/S0140-6736(11)60781-2.",Cigarette smoking as a risk factor for coronary heart disease in women compared with men: a systematic review and meta-analysis of prospective cohort studies,Lancet,2011,378,,,10.1016/S0140-6736(11)60781-2,,Huxley RR; Woodward M
19,"Deeks JJ, Macaskill P, Irwig L. The performance of tests of publication bias and other sample size effects in systematic reviews of diagnostic test accuracy was assessed. J Clin Epidemiol. 2005;58(9). doi:10.1016/j.jclinepi.2005.01.016.",The performance of tests of publication bias and other sample size effects in systematic reviews of diagnostic test accuracy was assessed,J Clin Epidemiol,2005,58,9,,10.1016/j.jclinepi.2005.01.016,,Deeks JJ; Macaskill P; Irwig L
20,"Rowan KR, Kirkpatrick AW, Liu D, Forkheim KE, Mayo JR, Nicolaou S. Traumatic pneumothorax detection with thoracic US: correlation with chest radiography and CT-initial experience. Radiology. 2002;225(1). doi:10.1148/radiol.2251011102.",Traumatic pneumothorax detection with thoracic US: correlation with chest radiography and CT-initial experience,Radiology,2002,225,1,,10.1148/radiol.2251011102,,Rowan KR; Kirkpatrick AW; Liu D; Forkheim KE; Mayo JR; Nicolaou S
21,"Kirkpatrick AW, Sirois M, Laupland KB, Liu D, Rowan K, Ball CG. Hand-held thoracic sonography for detecting posttraumatic pneumothoraces: the extended focused assessment with sonography for trauma (EFAST). J Trauma. 2004;57(2). doi:10.1097/01.ta.0000133565.88871.e4.",Hand-held thoracic sonography for detecting posttraumatic pneumothoraces: the extended focused assessment with sonography for trauma (EFAST),J Trauma,2004,57,2,,10.1097/01.ta.0000133565.88871.e4,,Kirkpatrick AW; Sirois M; Laupland KB; Liu D; Rowan K; Ball CG
22,"Blaivas M, Lyon M, Duggal S. A prospective comparison of supine chest radiography and bedside ultrasound for the diagnosis of traumatic pneumothorax. Acad Emerg Med. 2005;12(9). doi:10.1197/j.aem.2005.05.005.",A prospective comparison of supine chest radiography and bedside ultrasound for the diagnosis of traumatic pneumothorax,Acad Emerg Med,2005,12,9,,10.1197/j.aem.2005.05.005,,Blaivas M; Lyon M; Duggal S
23,"Soldati G, Testa A, Pignataro G, Portale G, Biasucci DG, Leone A. The ultrasonographic deep sulcus sign in traumatic pneumothorax. Ultrasound Med Biol. 2006;32(8). doi:10.1016/j.ultrasmedbio.2006.04.006.",The ultrasonographic deep sulcus sign in traumatic pneumothorax,Ultrasound Med Biol,2006,32,8,,10.1016/j.ultrasmedbio.2006.04.006,,Soldati G; Testa A; Pignataro G; Portale G; Biasucci DG; Leone A
24,"Zhang M, Liu ZH, Yang JX, Gan JX, Xu SW, You XD. Rapid detection of pneumothorax by ultrasonography in patients with multiple trauma. Crit Care. 2006;10(4):112. doi:10.1186/cc5004.",Rapid detection of pneumothorax by ultrasonography in patients with multiple trauma,Crit Care,2006,10,4,112,10.1186/cc5004,,Zhang M; Liu ZH; Yang JX; Gan JX; Xu SW; You XD
25,"Soldati G, Testa A, Sher S et al.. Occult traumatic pneumothorax: diagnostic accuracy of lung ultrasonography in the emergency department. Chest. 2008;133(1). doi:10.1378/chest.07-1595.",Occult traumatic pneumothorax: diagnostic accuracy of lung ultrasonography in the emergency department,Chest,2008,133,1,,10.1378/chest.07-1595,,Soldati G; Testa A; Sher S; Pignataro G; Sala L; Silveri M; NG
26,"Brook OR, Beck-Razi N, Abadi S, Filatov J, Ilivitzki A, Litmanovich D. Sonographic detection of pneumothorax by radiology residents as part of extended focused assessment with sonography for trauma. J Ultrasound Med. 2009;28(6). doi:10.7863/jum.2009.28.6.749.",Sonographic detection of pneumothorax by radiology residents as part of extended focused assessment with sonography for trauma,J Ultrasound Med,2009,28,6,,10.7863/jum.2009.28.6.749,,Brook OR; Beck-Razi N; Abadi S; Filatov J; Ilivitzki A; Litmanovich D
27,"Nandipati KC, Allamaneni S, Kakarla R, Wong A, Richards N, Satterfield J. Extended focused assessment with sonography for trauma (EFAST) in the diagnosis of pneumothorax: experience at a community based level I trauma center. Injury. 2011;42(5). doi:10.1016/j.injury.2010.01.105.",Extended focused assessment with sonography for trauma (EFAST) in the diagnosis of pneumothorax: experience at a community based level I trauma center,Injury,2011,42,5,,10.1016/j.injury.2010.01.105,,Nandipati KC; Allamaneni S; Kakarla R; Wong A; Richards N; Satterfield J
28,"Nagarsheth K, Kurek S. Ultrasound detection of pneumothorax compared with chest X-ray and computed tomography scan. Am Surg. 2011;77(4). doi:10.1177/000313481107700427.",Ultrasound detection of pneumothorax compared with chest X-ray and computed tomography scan,Am Surg,2011,77,4,,10.1177/000313481107700427,,Nagarsheth K; Kurek S
29,"Hyacinthe AC, Broux C, Francony G, Genty C, Bouzat P, Jacquot C. Diagnostic accuracy of ultrasonography in the acute assessment of common thoracic lesions after trauma. Chest. 2012;141(5). doi:10.1378/chest.11-0208.",Diagnostic accuracy of ultrasonography in the acute assessment of common thoracic lesions after trauma,Chest,2012,141,5,,10.1378/chest.11-0208,,Hyacinthe AC; Broux C; Francony G; Genty C; Bouzat P; Jacquot C
30,"Donmez H, Tokmak TT, Yildirim A et al.. Should bedside sonography be used first to diagnose pneumothorax secondary to blunt trauma?. J Clin Ultrasound. 2012;40(3). doi:10.1002/jcu.21884.",Should bedside sonography be used first to diagnose pneumothorax secondary to blunt trauma?,J Clin Ultrasound,2012,40,3,,10.1002/jcu.21884,,Donmez H; Tokmak TT; Yildirim A; Buyukoglan H; Ozturk M; Ayaz Y; U
31,"Abbasi S, Farsi D, Hafezimoghadam P, Fathi M, Zare MA. Accuracy of emergency physician-performed ultrasound in detecting traumatic pneumothorax after a 2-h training course. Eur J Emerg Med. 2013;20(3). doi:10.1097/MEJ.0b013e328356f754.",Accuracy of emergency physician-performed ultrasound in detecting traumatic pneumothorax after a 2-h training course,Eur J Emerg Med,2013,20,3,,10.1097/MEJ.0b013e328356f754,,Abbasi S; Farsi D; Hafezimoghadam P; Fathi M; Zare MA
32, M E J. M E J. None;0. doi:10.1097/MEJ.0b013e328356f754.,M E J,M E J,,0,,,10.1097/MEJ.0b013e328356f754,,
33,"Ku BS, Fields JM, Carr B, Everett WW, Gracias VH, Dean AJ. Clinician-performed beside ultrasound for the diagnosis of traumatic pneumothorax. West J Emerg Med. 2013;14(2). doi:10.5811/westjem.2012.12.12663.",Clinician-performed beside ultrasound for the diagnosis of traumatic pneumothorax,West J Emerg Med,2013,14,2,,10.5811/westjem.2012.12.12663,,Ku BS; Fields JM; Carr B; Everett WW; Gracias VH; Dean AJ
34,"Haghighi O, Adimi SH, I et al.. Ultrasonographic diagnosis of suspected hemopneumothorax in trauma patients. Trauma Mon. 2014;19(4):17498. doi:10.1159/000540777.",Ultrasonographic diagnosis of suspected hemopneumothorax in trauma patients,Trauma Mon,2014,19,4,17498,10.1159/000540777,,Haghighi O; Adimi SH; I; Vahdati S; S; Khiavi S; R
35,Sheng. Utility of extended FAST in blunt chest trauma: is it the time to be used in the ATLS algorithm?. World J Surg. 2015;39(1). doi:10.1007/s00268-014-2781-y.,Utility of extended FAST in blunt chest trauma: is it the time to be used in the ATLS algorithm?,World J Surg,2015,39,1,,10.1007/s00268-014-2781-y,,Sheng
36,"Ziapour B, Haji HS. Anterior convergent"" chest probing in rapid ultrasound transducer positioning versus formal chest ultrasonography to detect pneumothorax during the primary survey of hospital trauma patients: a diagnostic accuracy study. J Trauma Manag Outcomes. 2015;9(9). doi:10.1186/s13032-015-0030-5.","Anterior convergent"" chest probing in rapid ultrasound transducer positioning versus formal chest ultrasonography to detect pneumothorax during the primary survey of hospital trauma patients: a diagnostic accuracy study",J Trauma Manag Outcomes,2015,9,9,,10.1186/s13032-015-0030-5,,Ziapour B; Haji HS
37,"Kaya Ş, Çevik AA, Acar N, Döner E, Sivrikoz C, Özkan R. A study on the evaluation of pneumothorax by imaging methods in patients presenting to the emergency department for blunt thoracic trauma. Ulus Travma Acil Cerrahi Derg. 2015;21(5). doi:10.5505/tjtes.2015.91650.",A study on the evaluation of pneumothorax by imaging methods in patients presenting to the emergency department for blunt thoracic trauma,Ulus Travma Acil Cerrahi Derg,2015,21,5,,10.5505/tjtes.2015.91650,,Kaya Ş; Çevik AA; Acar N; Döner E; Sivrikoz C; Özkan R
38,"Vafaei A, Hatamabadi HR, Heidary K, Alimohammadi H, Tarbiyat M. Diagnostic accuracy of ultrasonography and radiography in initial evaluation of chest trauma patients. Emerg. 2016;4(1).",Diagnostic accuracy of ultrasonography and radiography in initial evaluation of chest trauma patients,Emerg,2016,4,1,,,,Vafaei A; Hatamabadi HR; Heidary K; Alimohammadi H; Tarbiyat M
39,"Subramaniam C, Chakaravarthy D. Utility of extended focused assessment with sonography in blunt chest trauma-its clinical implication and its sensitivity compared with chest x-ray and clinical examination. J Evol Med Dent Sci. 2017;6(04). doi:10.14260/jemds/2017/73.",Utility of extended focused assessment with sonography in blunt chest trauma-its clinical implication and its sensitivity compared with chest x-ray and clinical examination,J Evol Med Dent Sci,2017,6,04,,10.14260/jemds/2017/73,,Subramaniam C; Chakaravarthy D
40,"Zieleskiewicz L, Fresco R, Duclos G, Antonini F, Mathieu C, Medam S. Integrating extended focused assessment with sonography for trauma (eFAST) in the initial assessment of severe trauma: impact on the management of 756 patients. Injury. 2018;49(10). doi:10.1016/j.injury.2018.07.002.",Integrating extended focused assessment with sonography for trauma (eFAST) in the initial assessment of severe trauma: impact on the management of 756 patients,Injury,2018,49,10,,10.1016/j.injury.2018.07.002,,Zieleskiewicz L; Fresco R; Duclos G; Antonini F; Mathieu C; Medam S
41,"Attia YZ, Elgeleel N, El-Hariri HM, Ellabban GM, El-Setouhy M, Hirshon JM. Comparative study of National Emergency X-Radiography Utilization Study (NEXUS) chest algorithm and extended focused assessment with sonography for trauma (E-FAST) in the early detection of blunt chest injuries in polytrauma patients. Afr J Emerg Med. 2023;13(2). doi:10.1016/j.afjem.2023.02.003.",Comparative study of National Emergency X-Radiography Utilization Study (NEXUS) chest algorithm and extended focused assessment with sonography for trauma (E-FAST) in the early detection of blunt chest injuries in polytrauma patients,Afr J Emerg Med,2023,13,2,,10.1016/j.afjem.2023.02.003,,Attia YZ; Elgeleel N; El-Hariri HM; Ellabban GM; El-Setouhy M; Hirshon JM
42,"Alrajab S, Youssef AM, Akkus NI, Caldito G. Pleural ultrasonography versus chest radiography for the diagnosis of pneumothorax: review of the literature and meta-analysis. Crit Care. 2013;17(5):R208. doi:10.1186/cc13016.",Pleural ultrasonography versus chest radiography for the diagnosis of pneumothorax: review of the literature and meta-analysis,Crit Care,2013,17,5,R208,10.1186/cc13016,,Alrajab S; Youssef AM; Akkus NI; Caldito G
43,"Chan KK, Joo DA, Mcrae AD, Takwoingi Y, Premji ZA, Lang E. Chest ultrasonography versus supine chest radiography for diagnosis of pneumothorax in trauma patients in the emergency department. Cochrane Database Syst Rev. 2020;7(7). doi:10.1002/14651858.CD013031.pub2.",Chest ultrasonography versus supine chest radiography for diagnosis of pneumothorax in trauma patients in the emergency department,Cochrane Database Syst Rev,2020,7,7,,10.1002/14651858.CD013031.pub2,,Chan KK; Joo DA; Mcrae AD; Takwoingi Y; Premji ZA; Lang E
44,"Alattar RE, Hoebee Z, Kang S, Van-Sonnenberg P, E. Current trends in the use of ultrasound over chest X-ray to identify pneumothoraces in ICU, trauma, and ARDS patients. J Intensive Care Med. 2022;37(1). doi:10.1177/0885066620987813.","Current trends in the use of ultrasound over chest X-ray to identify pneumothoraces in ICU, trauma, and ARDS patients",J Intensive Care Med,2022,37,1,,10.1177/0885066620987813,,Alattar RE; Hoebee Z; Kang S; Van-Sonnenberg P; E
45,"Ding W, Shen Y, Yang J, He X, Zhang M. Diagnosis of pneumothorax by radiography and ultrasonography: a meta-analysis. Lung US and Chest Radiography Respiration. 2011;140(4). doi:10.1159/000540777.",Diagnosis of pneumothorax by radiography and ultrasonography: a meta-analysis,Lung US and Chest Radiography Respiration,2011,140,4,,10.1159/000540777,,Ding W; Shen Y; Yang J; He X; Zhang M
