#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Folch E, Keyes C. Airway stents. Ann Cardiothorac Surg. 2018;7.",Airway stents,Ann Cardiothorac Surg,2018,7,,,,,Folch E; Keyes C
17,"Fukuda S, Lopez E, Ihara K. Superior effects of nebulized epinephrine to nebulized albuterol and phenylephrine in burn and smoke inhalation-induced acute lung injury. Shock. 2020;54.",Superior effects of nebulized epinephrine to nebulized albuterol and phenylephrine in burn and smoke inhalation-induced acute lung injury,Shock,2020,54,,,,,Fukuda S; Lopez E; Ihara K
18,"Woods BD, Sladen RN. Perioperative considerations for the patient with asthma and bronchospasm. Br J Anaesth. 2009;103(Suppl 1).",Perioperative considerations for the patient with asthma and bronchospasm,Br J Anaesth,2009,103,Suppl 1,,,,Woods BD; Sladen RN
19,"Fu A, Kopec A, Markham M. Heliox in upper airway obstruction. Off J Can Assoc Crit Care Nurs. 1999;10.",Heliox in upper airway obstruction,Off J Can Assoc Crit Care Nurs,1999,10,,,,,Fu A; Kopec A; Markham M
20,"Hoetzenecker K, Klepetko W, Keshavjee S. Extracorporeal support in airway surgery. J Thorac Dis. 2017;9.",Extracorporeal support in airway surgery,J Thorac Dis,2017,9,,,,,Hoetzenecker K; Klepetko W; Keshavjee S
21,"Ratnani I, Tuazon D, Zainab A. The role and impact of extracorporeal membrane oxygenation in critical care. Methodist Debakey Cardiovasc J. 2018;14.",The role and impact of extracorporeal membrane oxygenation in critical care,Methodist Debakey Cardiovasc J,2018,14,,,,,Ratnani I; Tuazon D; Zainab A
22,"Malpas G, Hung O, Gilchrist A. The use of extracorporeal membrane oxygenation in the anticipated difficult airway: A case report and systematic review. Can J Anaesth. 2018;65.",The use of extracorporeal membrane oxygenation in the anticipated difficult airway: A case report and systematic review,Can J Anaesth,2018,65,,,,,Malpas G; Hung O; Gilchrist A
23,"Ishikawa S, Yoshida I, Otani Y. Intratracheal stent intubation under extracorporeal lung assist. Surg Today. 1995;25.",Intratracheal stent intubation under extracorporeal lung assist,Surg Today,1995,25,,,,,Ishikawa S; Yoshida I; Otani Y
24,"Law JA, Duggan LV, Asselin M. Canadian Airway Focus Group updated consensus-based recommendations for management of the difficult airway: Part 2. Planning and implementing safe management of the patient with an anticipated difficult airway. Can J Anaesth. 2021;68.",Canadian Airway Focus Group updated consensus-based recommendations for management of the difficult airway: Part 2. Planning and implementing safe management of the patient with an anticipated difficult airway,Can J Anaesth,2021,68,,,,,Law JA; Duggan LV; Asselin M
25,"Frerk C, Mitchell VS, Mcnarry AF. Difficult Airway Society intubation guidelines working group. Difficult Airway Society 2015 guidelines for management of unanticipated difficult intubation in adults. Br J Anaesth. 2015;115.",Difficult Airway Society intubation guidelines working group. Difficult Airway Society 2015 guidelines for management of unanticipated difficult intubation in adults,Br J Anaesth,2015,115,,,,,Frerk C; Mitchell VS; Mcnarry AF
26,"Apfelbaum JL, Hagberg CA, Connis RT. American Society of Anesthesiologists Practice Guidelines for Management of the Difficult Airway. Anesthesiology. 2022;136.",American Society of Anesthesiologists Practice Guidelines for Management of the Difficult Airway,Anesthesiology,2022,136,,,,,Apfelbaum JL; Hagberg CA; Connis RT
