#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, The WHO family of international classifications. The WHO family of international classifications. 2006;None.,The WHO family of international classifications,The WHO family of international classifications,2006,,,,,,
49,"Nagai A, Thurlbeck WM, Konno K. Responsiveness and variability of airflow obstruction in chronic obstructive pulmonary disease. Clinicopathologic correlative studies. Am J Respir Crit Care Med. 1995;151(3 Pt 1).",Responsiveness and variability of airflow obstruction in chronic obstructive pulmonary disease. Clinicopathologic correlative studies,Am J Respir Crit Care Med,1995,151,3 Pt 1,,,,Nagai A; Thurlbeck WM; Konno K
50,"Dunnill MS, Massarella GR, Anderson JA. A comparison of the quantitative anatomy of the bronchi in normal subjects, in status asthmaticus, in chronic bronchitis, and in emphysema. Thorax. 1969;24.","A comparison of the quantitative anatomy of the bronchi in normal subjects, in status asthmaticus, in chronic bronchitis, and in emphysema",Thorax,1969,24,,,,,Dunnill MS; Massarella GR; Anderson JA
51,"Moreno RH, Mccormack GS, Brendan J. Effect of intravenous papain on tracheal pressurevolume curves in rabbits. J Appl Physiol. 1986;60.",Effect of intravenous papain on tracheal pressurevolume curves in rabbits,J Appl Physiol,1986,60,,,,,Moreno RH; Mccormack GS; Brendan J
52,"Loring SH, Donnell O, Feller-Kopman CR, DJ. Central airway mechanics and flow limitation in acquired tracheobronchomalacia. Chest. 2007;131.",Central airway mechanics and flow limitation in acquired tracheobronchomalacia,Chest,2007,131,,,,,Loring SH; Donnell O; Feller-Kopman CR; DJ
53,"Ernst A, Majid A, Feller-Kopman D. Airway stabilization with silicone stents for treating adult tracheobronchomalacia: a prospective observational study. Chest. 2007;132.",Airway stabilization with silicone stents for treating adult tracheobronchomalacia: a prospective observational study,Chest,2007,132,,,,,Ernst A; Majid A; Feller-Kopman D
54,"Majid A, Guerrero J, Gangadharan S. Tracheobronchoplasty for severe tracheobronchomalacia: a prospective outcome analysis. Chest. 2008;134.",Tracheobronchoplasty for severe tracheobronchomalacia: a prospective outcome analysis,Chest,2008,134,,,,,Majid A; Guerrero J; Gangadharan S
55,"Jayamanne DS, Epstein H, Goldring RM. Flow-volume curve contour in COPD: correlation with pulmonary mechanics. Chest. 1980;77.",Flow-volume curve contour in COPD: correlation with pulmonary mechanics,Chest,1980,77,,,,,Jayamanne DS; Epstein H; Goldring RM
56,"Vincken WG, Cosio MG. Flow oscillations on the flow-volume loop: clinical and physiological implications. Eur Respir J. 1989;2.",Flow oscillations on the flow-volume loop: clinical and physiological implications,Eur Respir J,1989,2,,,,,Vincken WG; Cosio MG
57,"Pornsuriyasak P, Ploysongsang Y. Impulse oscillometry system in diagnosis of central airway obstruction in adults: comparison with spirometry and body plethysmography. Chest. 2009;136:123S.",Impulse oscillometry system in diagnosis of central airway obstruction in adults: comparison with spirometry and body plethysmography,Chest,2009,136,,123S,,,Pornsuriyasak P; Ploysongsang Y
58,"Handa H, Miyazawa T, Murgu SD. Novel multimodality imaging and physiologic assessments clarify choke-point physiology and airway wall structure in expiratory central airway collapse. Respir Care. 2012;57.",Novel multimodality imaging and physiologic assessments clarify choke-point physiology and airway wall structure in expiratory central airway collapse,Respir Care,2012,57,,,,,Handa H; Miyazawa T; Murgu SD
59,"Murgu SD, Colt HG. Bronchoscopic treatment of post tracheostomy tracheal stenosis with chondritis. Bronchoscopy and central airway disorders. 2012;None.",Bronchoscopic treatment of post tracheostomy tracheal stenosis with chondritis,Bronchoscopy and central airway disorders,2012,,,,,,Murgu SD; Colt HG
60,"Pedersen OF, Thiessen B, Lyager S. Airway compliance and flow limitation during forced expiration in dogs. J Appl Physiol. 1982;52.",Airway compliance and flow limitation during forced expiration in dogs,J Appl Physiol,1982,52,,,,,Pedersen OF; Thiessen B; Lyager S
61,"Murgu SD, Pecson J, Colt HG. Bronchoscopy on non invasive positive pressure ventilation: indications and technique. Respir Care. 2010;55.",Bronchoscopy on non invasive positive pressure ventilation: indications and technique,Respir Care,2010,55,,,,,Murgu SD; Pecson J; Colt HG
62, BronchAtlas bronchoscopy on CPAP for OSA. BronchAtlas bronchoscopy on CPAP for OSA. 2012;None.,BronchAtlas bronchoscopy on CPAP for OSA,BronchAtlas bronchoscopy on CPAP for OSA,2012,,,,,,
63,"Lee KS, Sun MR, Ernst A. Comparison of dynamic expiratory CT with bronchoscopy for diagnosing airway malacia: a pilot evaluation. Chest. 2007;131.",Comparison of dynamic expiratory CT with bronchoscopy for diagnosing airway malacia: a pilot evaluation,Chest,2007,131,,,,,Lee KS; Sun MR; Ernst A
64,"Baroni RH, Feller-Kopman D, Nishino M. Tracheobronchomalacia: comparison between end-expiratory and dynamic expiratory CT for evaluation of central airway collapse. Radiology. 2005;235.",Tracheobronchomalacia: comparison between end-expiratory and dynamic expiratory CT for evaluation of central airway collapse,Radiology,2005,235,,,,,Baroni RH; Feller-Kopman D; Nishino M
65,"Ferretti GR, Jankowski A, Perrin MA. Multidetector CT evaluation in patients suspected of tracheobronchomalacia: comparison of endexpiratory with dynamic expiratory volumetric acquisitions. Eur J Radiol. 2008;68.",Multidetector CT evaluation in patients suspected of tracheobronchomalacia: comparison of endexpiratory with dynamic expiratory volumetric acquisitions,Eur J Radiol,2008,68,,,,,Ferretti GR; Jankowski A; Perrin MA
66,"Hein E, Rogalla P, Hentschel C. Dynamic and quantitative assessment of tracheomalacia by electron beam tomography: correlation with clinical symptoms and bronchoscopy. J Comput Assist Tomogr. 2000;24.",Dynamic and quantitative assessment of tracheomalacia by electron beam tomography: correlation with clinical symptoms and bronchoscopy,J Comput Assist Tomogr,2000,24,,,,,Hein E; Rogalla P; Hentschel C
67,"Yamashiro T, Jose ´este ´par S, Matsuoka R, S. Intrathoracic tracheal volume and collapsibility on inspiratory and end-expiratory CT scans correlations with lung volume and pulmonary function in 85 smokers. Acad Radiol. 2011;18.",Intrathoracic tracheal volume and collapsibility on inspiratory and end-expiratory CT scans correlations with lung volume and pulmonary function in 85 smokers,Acad Radiol,2011,18,,,,,Yamashiro T; Jose ´este ´par S; Matsuoka R; S
68,"Lee EY, Strauss KJ, Tracy DA. Comparison of standard-dose and reduced-dose expiratory MDCT techniques for assessment of tracheomalacia in children. Acad Radiol. 2010;17.",Comparison of standard-dose and reduced-dose expiratory MDCT techniques for assessment of tracheomalacia in children,Acad Radiol,2010,17,,,,,Lee EY; Strauss KJ; Tracy DA
69,"Wever D, Vandecaveye W, Lanciotti V, S. Multidetector CT-generated virtual bronchoscopy: an illustrated review of the potential clinical indications. Eur Respir J. 2004;23.",Multidetector CT-generated virtual bronchoscopy: an illustrated review of the potential clinical indications,Eur Respir J,2004,23,,,,,Wever D; Vandecaveye W; Lanciotti V; S
70,"Boiselle PM, Donnell O, Loring CR, SH. Reproducibility of forced expiratory tracheal collapse: assessment with MDCT in healthy volunteers. Acad Radiol. 2010;17.",Reproducibility of forced expiratory tracheal collapse: assessment with MDCT in healthy volunteers,Acad Radiol,2010,17,,,,,Boiselle PM; Donnell O; Loring CR; SH
71,"Lee KS, Lunn W, Feller-Kopman D. Multislice CT evaluation of airway stents. J Thorac Imaging. 2005;20.",Multislice CT evaluation of airway stents,J Thorac Imaging,2005,20,,,,,Lee KS; Lunn W; Feller-Kopman D
72,"Baroni RH, Ashiku S, Boiselle PM. Dynamic CT evaluation of the central airways in patients undergoing tracheoplasty for tracheobronchomalacia. AJR Am J Roentgenol. 2005;184.",Dynamic CT evaluation of the central airways in patients undergoing tracheoplasty for tracheobronchomalacia,AJR Am J Roentgenol,2005,184,,,,,Baroni RH; Ashiku S; Boiselle PM
73,"Wright CD, Tracheomalacia. Chest Surg Clin N Am. Chest Surg Clin N Am. 2003;13.",Chest Surg Clin N Am,Chest Surg Clin N Am,2003,13,,,,,Wright CD; Tracheomalacia
74,"Lee KS, Ashiku SK, Ernst A. Comparison of expiratory CT airway abnormalities before and after tracheoplasty surgery for tracheobronchomalacia. J Thorac Imaging. 2008;23.",Comparison of expiratory CT airway abnormalities before and after tracheoplasty surgery for tracheobronchomalacia,J Thorac Imaging,2008,23,,,,,Lee KS; Ashiku SK; Ernst A
75,"Zhang J, Hasegawa I, Feller-Kopman D. AUR Memorial Award. Dynamic expiratory volumetric CT imaging of the central airways: comparison of standard-dose and low-dose techniques. Acad Radiol. 2003;10.",AUR Memorial Award. Dynamic expiratory volumetric CT imaging of the central airways: comparison of standard-dose and low-dose techniques,Acad Radiol,2003,10,,,,,Zhang J; Hasegawa I; Feller-Kopman D
76,"Ederle JR, Heussel CP, Hast J. Evaluation of changes in central airway dimensions, lung area and mean lung density at paired inspiratory/expiratory high-resolution computed tomography. Eur Radiol. 2003;13.","Evaluation of changes in central airway dimensions, lung area and mean lung density at paired inspiratory/expiratory high-resolution computed tomography",Eur Radiol,2003,13,,,,,Ederle JR; Heussel CP; Hast J
77,"Ochs RA, Petkovska I, Kim HJ. Prevalence of tracheal collapse in an emphysema cohort as measured with end-expiration CT. Acad Radiol. 2009;16.",Prevalence of tracheal collapse in an emphysema cohort as measured with end-expiration CT,Acad Radiol,2009,16,,,,,Ochs RA; Petkovska I; Kim HJ
78,"Lee CJ, Lee JH, Song JW. Correlation of tracheal cross-sectional area with parameters of pulmonary function test in COPD. Tuberc Respir Dis. 1999;46.",Correlation of tracheal cross-sectional area with parameters of pulmonary function test in COPD,Tuberc Respir Dis,1999,46,,,,,Lee CJ; Lee JH; Song JW
79,"Mcdermott S, Barry SC, Judge EE. Tracheomalacia in adults with cystic fibrosis: determination of prevalence and severity with dynamic cine CT. Radiology. 2009;252.",Tracheomalacia in adults with cystic fibrosis: determination of prevalence and severity with dynamic cine CT,Radiology,2009,252,,,,,Mcdermott S; Barry SC; Judge EE
80,"Lomasney L, Bergin CJ, Lomasney J. CT appearance of lunate trachea. J Comput Assist Tomogr. 1989;13.",CT appearance of lunate trachea,J Comput Assist Tomogr,1989,13,,,,,Lomasney L; Bergin CJ; Lomasney J
81,"Boiselle PM, Feller-Kopman D, Ashiku S. Tracheobronchomalacia: evolving role of dynamic multislice helical CT. Radiol Clin North Am. 2003;41.",Tracheobronchomalacia: evolving role of dynamic multislice helical CT,Radiol Clin North Am,2003,41,,,,,Boiselle PM; Feller-Kopman D; Ashiku S
82,"Boiselle PM, Ernst A. Tracheal morphology in patients with tracheomalacia: prevalence of inspiratory lunate and expiratory ""frown"" shapes. J Thorac Imaging. 2006;21.","Tracheal morphology in patients with tracheomalacia: prevalence of inspiratory lunate and expiratory ""frown"" shapes",J Thorac Imaging,2006,21,,,,,Boiselle PM; Ernst A
83,"Gupta PP, Yadav R, Verma M. High-resolution computed tomography features in patients with chronic obstructive pulmonary disease. Singapore Med J. 2009;50.",High-resolution computed tomography features in patients with chronic obstructive pulmonary disease,Singapore Med J,2009,50,,,,,Gupta PP; Yadav R; Verma M
84,"Fukai I, Yamakawa Y, Kiriyama M. Sabersheath malacic trachea remodeled and fixed into a normal shape by long-term placement and then removal of gianturco wire stent. Ann Thorac Surg. 2003;76.",Sabersheath malacic trachea remodeled and fixed into a normal shape by long-term placement and then removal of gianturco wire stent,Ann Thorac Surg,2003,76,,,,,Fukai I; Yamakawa Y; Kiriyama M
85,"Heussel CP, Ley S, Biedermann A. Respiratory lumenal change of the pharynx and trachea in normal subjects and COPD patients: assessment by cine-MRI. Eur Radiol. 2004;14.",Respiratory lumenal change of the pharynx and trachea in normal subjects and COPD patients: assessment by cine-MRI,Eur Radiol,2004,14,,,,,Heussel CP; Ley S; Biedermann A
86,"Suto Y, Tanabe Y. Evaluation of tracheal collapsibility in patients with tracheomalacia using dynamic MR imaging during coughing. AJR Am J Roentgenol. 1998;171.",Evaluation of tracheal collapsibility in patients with tracheomalacia using dynamic MR imaging during coughing,AJR Am J Roentgenol,1998,171,,,,,Suto Y; Tanabe Y
87,"Ley S, Loukanov T, Ley-Zaporozhan J. Longterm outcome after external tracheal stabilization due to congenital tracheal instability. Ann Thorac Surg. 2010;89.",Longterm outcome after external tracheal stabilization due to congenital tracheal instability,Ann Thorac Surg,2010,89,,,,,Ley S; Loukanov T; Ley-Zaporozhan J
88,"Weber TR, Keller MS, Fiore A. Aortic suspension (aortopexy) for severe tracheomalacia in infants and children. Am J Surg. 2002;184.",Aortic suspension (aortopexy) for severe tracheomalacia in infants and children,Am J Surg,2002,184,,,,,Weber TR; Keller MS; Fiore A
89,"Simoneaux SF, Bank ER, Webber JB. MR imaging of the pediatric airway. Radiographics. 1995;15.",MR imaging of the pediatric airway,Radiographics,1995,15,,,,,Simoneaux SF; Bank ER; Webber JB
90,"Ley-Zaporozhan J, Ley S, Kauczor HU. Morphological and functional imaging in COPD with CT and MRI: present and future. Eur Radiol. 2008;18.",Morphological and functional imaging in COPD with CT and MRI: present and future,Eur Radiol,2008,18,,,,,Ley-Zaporozhan J; Ley S; Kauczor HU
91,"Kuo GP, Torok CM, Aygun N. Diagnostic imaging of the upper airway. Proc Am Thorac Soc. 2011;8.",Diagnostic imaging of the upper airway,Proc Am Thorac Soc,2011,8,,,,,Kuo GP; Torok CM; Aygun N
92,"Heussel CP, Hafner B, Lill J. Paired inspiratory/expiratory spiral-CT and continuous respiration cine-CT in the diagnosis of tracheal instability. Eur Radiol. 2001;11.",Paired inspiratory/expiratory spiral-CT and continuous respiration cine-CT in the diagnosis of tracheal instability,Eur Radiol,2001,11,,,,,Heussel CP; Hafner B; Lill J
93,"Cansiz H, Yener M, Tahamiler R. Preoperative detection and management of tracheomalacia in advanced laryngotracheal stenosis. B-ENT. 2008;4.",Preoperative detection and management of tracheomalacia in advanced laryngotracheal stenosis,B-ENT,2008,4,,,,,Cansiz H; Yener M; Tahamiler R
94,"Tu ¨rkmen A, Altan A, Turgut N. Comparison of percutaneous dilatational tracheostomy with surgical tracheostomy. Middle East J Anesthesiol. 2008;19.",Comparison of percutaneous dilatational tracheostomy with surgical tracheostomy,Middle East J Anesthesiol,2008,19,,,,,Tu ¨rkmen A; Altan A; Turgut N
95,"Murgu SD, Colt HG. Stent insertion for diffuse circumferential tracheobronchomalacia caused by relapsing polychondritis. Bronchoscopy and central airway disorders; A patient-centered approach. Expert commentary. 2012;None.",Stent insertion for diffuse circumferential tracheobronchomalacia caused by relapsing polychondritis,Bronchoscopy and central airway disorders; A patient-centered approach. Expert commentary,2012,,,,,,Murgu SD; Colt HG
96,"Faust RA, Rimell FL, Remley KB. Cine magnetic resonance imaging for evaluation of focal tracheomalacia: innominate artery compression syndrome. Int J Pediatr Otorhinolaryngol. 2002;65.",Cine magnetic resonance imaging for evaluation of focal tracheomalacia: innominate artery compression syndrome,Int J Pediatr Otorhinolaryngol,2002,65,,,,,Faust RA; Rimell FL; Remley KB
97,"Kurimoto N, Murayama M, Yoshioka S. Assessment of usefulness of endobronchial ultrasonography in determination of depth of tracheobronchial tumor invasion. Chest. 1999;115.",Assessment of usefulness of endobronchial ultrasonography in determination of depth of tracheobronchial tumor invasion,Chest,1999,115,,,,,Kurimoto N; Murayama M; Yoshioka S
