#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Noppen M, Keukeleire D, T. Pneumothorax. Respiration. 2008;76.",Pneumothorax,Respiration,2008,76,,,,,Noppen M; Keukeleire D; T
12,"Abolhoda A, Liu D, Brooks A. Prolonged air leak following radical upper lobectomy: an analysis of incidence and possible risk factors. Chest. 1998;113.",Prolonged air leak following radical upper lobectomy: an analysis of incidence and possible risk factors,Chest,1998,113,,,,,Abolhoda A; Liu D; Brooks A
13,"Rivera C, Bernard A, Falcoz PE. Characterization and prediction of prolonged air leak after pulmonary resection: a nationwide study setting up the index of prolonged air leak. Ann Thorac Surg. 2011;92.",Characterization and prediction of prolonged air leak after pulmonary resection: a nationwide study setting up the index of prolonged air leak,Ann Thorac Surg,2011,92,,,,,Rivera C; Bernard A; Falcoz PE
14,"Pierson DJ, Horton CA, Bates PW. Persistent bronchopleural air leak during mechanical ventilation. A review of 39 cases. Chest. 1986;90.",Persistent bronchopleural air leak during mechanical ventilation. A review of 39 cases,Chest,1986,90,,,,,Pierson DJ; Horton CA; Bates PW
15,"Brunelli A, Xiume F, Refai A, M. Air leaks after lobectomy increase the risk of empyema but not of cardiopulmonary complications: a case-matched analysis. Chest. 2006;130.",Air leaks after lobectomy increase the risk of empyema but not of cardiopulmonary complications: a case-matched analysis,Chest,2006,130,,,,,Brunelli A; Xiume F; Refai A; M
16,"Baumann MH, Strange C, Heffner JE. Management of spontaneous pneumothorax: an American College of Chest Physicians Delphi consensus statement. Chest. 2001;119.",Management of spontaneous pneumothorax: an American College of Chest Physicians Delphi consensus statement,Chest,2001,119,,,,,Baumann MH; Strange C; Heffner JE
17,"Van Hengel P, Van De Bergh JH. Heimlich valve treatment and outpatient management of bilateral metastatic pneumothorax. Chest. 1994;105.",Heimlich valve treatment and outpatient management of bilateral metastatic pneumothorax,Chest,1994,105,,,,,Van Hengel P; Van De Bergh JH
18,"Gogakos A, Barbetakis N, Lazaridis G. Heimlich valve and pneumothorax. Ann Transl Med. 2015;3:54.",Heimlich valve and pneumothorax,Ann Transl Med,2015,3,,54,,,Gogakos A; Barbetakis N; Lazaridis G
19,"Stradling P, Poole G. Conservative management of spontaneous pneumothorax. Thorax. 1966;21.",Conservative management of spontaneous pneumothorax,Thorax,1966,21,,,,,Stradling P; Poole G
20,"Bintcliffe OJ, Hallifax RJ, Edey A. Spontaneous pneumothorax: time to rethink management?. Lancet Respir Med. 2015;3.",Spontaneous pneumothorax: time to rethink management?,Lancet Respir Med,2015,3,,,,,Bintcliffe OJ; Hallifax RJ; Edey A
21,"Pompili C, Salati M, Brunelli A. Chest tube management after surgery for pneumothorax. Thorac Surg Clin. 2017;27.",Chest tube management after surgery for pneumothorax,Thorac Surg Clin,2017,27,,,,,Pompili C; Salati M; Brunelli A
22,"Cerfolio RJ, Bass C, Katholi CR. Prospective randomized trial compares suction versus water seal for air leaks. Ann Thorac Surg. 2001;71.",Prospective randomized trial compares suction versus water seal for air leaks,Ann Thorac Surg,2001,71,,,,,Cerfolio RJ; Bass C; Katholi CR
23,"Brunelli A, Monteverde M, Borri A. Comparison of water seal and suction after pulmonary lobectomy: a prospective, randomized trial. Ann Thorac Surg. 2004;77.","Comparison of water seal and suction after pulmonary lobectomy: a prospective, randomized trial",Ann Thorac Surg,2004,77,,,,,Brunelli A; Monteverde M; Borri A
24,Ayed AK. Suction versus water seal after thoracoscopy for primary spontaneous pneumothorax: prospective randomized study. Ann Thorac Surg. 2003;75.,Suction versus water seal after thoracoscopy for primary spontaneous pneumothorax: prospective randomized study,Ann Thorac Surg,2003,75,,,,,Ayed AK
25,"Crocker HL, Ruffin RE. Patient-induced complications of a Heimlich flutter valve. Chest. 1998;113.",Patient-induced complications of a Heimlich flutter valve,Chest,1998,113,,,,,Crocker HL; Ruffin RE
26,"Campisi P, Voitk AJ. Outpatient treatment of spontaneous pneumothorax in a community hospital using a Heimlich flutter valve: a case series. J Emerg Med. 1997;15.",Outpatient treatment of spontaneous pneumothorax in a community hospital using a Heimlich flutter valve: a case series,J Emerg Med,1997,15,,,,,Campisi P; Voitk AJ
27,El-Sameed YA. Role of Bronchoscopy in Management of Bronchopleural Fistula. Interventional Bronchoscopy: A Clinical Guide. 2013;None.,Role of Bronchoscopy in Management of Bronchopleural Fistula,Interventional Bronchoscopy: A Clinical Guide,2013,,,,,,El-Sameed YA
28,"Mueller MR, Marzluf BA. The anticipation and management of air leaks and residual spaces post lung resection. J Thorac Dis. 2014;6.",The anticipation and management of air leaks and residual spaces post lung resection,J Thorac Dis,2014,6,,,,,Mueller MR; Marzluf BA
29,"Brunelli A, Cassivi SD, Salati M. Digital measurements of air leak flow and intrapleural pressures in the immediate postoperative period predict risk of prolonged air leak after pulmonary lobectomy. Eur J Cardiothorac Surg. 2011;39.",Digital measurements of air leak flow and intrapleural pressures in the immediate postoperative period predict risk of prolonged air leak after pulmonary lobectomy,Eur J Cardiothorac Surg,2011,39,,,,,Brunelli A; Cassivi SD; Salati M
30,"Tunnicliffe G, Draper A. A pilot study of a digital drainage system in pneumothorax. BMJ Open Respir Res. 2014;1:e000033.",A pilot study of a digital drainage system in pneumothorax,BMJ Open Respir Res,2014,1,,e000033,,,Tunnicliffe G; Draper A
31,"Stamatis G, Freitag L, Wencker M. Omentopexy and muscle transposition: two alternative methods in the treatment of pleural empyema and mediastinitis. Thorac Cardiovasc Surg. 1994;42.",Omentopexy and muscle transposition: two alternative methods in the treatment of pleural empyema and mediastinitis,Thorac Cardiovasc Surg,1994,42,,,,,Stamatis G; Freitag L; Wencker M
32,"Hollaus PH, Huber M, Lax F. Closure of bronchopleural fistula after pneumonectomy with a pedicled intercostal muscle flap. Eur J Cardiothorac Surg. 1999;16.",Closure of bronchopleural fistula after pneumonectomy with a pedicled intercostal muscle flap,Eur J Cardiothorac Surg,1999,16,,,,,Hollaus PH; Huber M; Lax F
33,"Sabanathan S, Richardson J. Management of postpneumonectomy bronchopleural fistulae. A review. J Cardiovasc Surg (Torino). 1994;35.",Management of postpneumonectomy bronchopleural fistulae. A review,J Cardiovasc Surg (Torino),1994,35,,,,,Sabanathan S; Richardson J
34,"Sahn SA, Heffner JE. Spontaneous pneumothorax. N Engl J Med. 2000;342.",Spontaneous pneumothorax,N Engl J Med,2000,342,,,,,Sahn SA; Heffner JE
35,"How CH, Hsu HH, Chen JS. Chemical pleurodesis for spontaneous pneumothorax. J Formos Med Assoc. 2013;112.",Chemical pleurodesis for spontaneous pneumothorax,J Formos Med Assoc,2013,112,,,,,How CH; Hsu HH; Chen JS
36,"Macoviak JA, Stephenson LW, Ochs R. Tetracycline pleurodesis during active pulmonary-pleural air leak for prevention of recurrent pneumothorax. Chest. 1982;81.",Tetracycline pleurodesis during active pulmonary-pleural air leak for prevention of recurrent pneumothorax,Chest,1982,81,,,,,Macoviak JA; Stephenson LW; Ochs R
37,"Wang YT, Ng KY, Poh SC. Intrapleural tetracycline for spontaneous pneumothorax with persistent air leak. Singapore Med J. 1988;29.",Intrapleural tetracycline for spontaneous pneumothorax with persistent air leak,Singapore Med J,1988,29,,,,,Wang YT; Ng KY; Poh SC
38,"Light RW, Hara O, Moritz VS, TE. Intrapleural tetracycline for the prevention of recurrent spontaneous pneumothorax. Results of a department of veterans affairs cooperative study. JAMA. 1990;264.",Intrapleural tetracycline for the prevention of recurrent spontaneous pneumothorax. Results of a department of veterans affairs cooperative study,JAMA,1990,264,,,,,Light RW; Hara O; Moritz VS; TE
39,"Alfageme I, Moreno L, Huertas C. Spontaneous pneumothorax. Long-term results with tetracycline pleurodesis. Chest. 1994;106.",Spontaneous pneumothorax. Long-term results with tetracycline pleurodesis,Chest,1994,106,,,,,Alfageme I; Moreno L; Huertas C
40,"Almind M, Lange P, Viskum K. Spontaneous pneumothorax: comparison of simple drainage, talc pleurodesis, and tetracycline pleurodesis. Thorax. 1989;44.","Spontaneous pneumothorax: comparison of simple drainage, talc pleurodesis, and tetracycline pleurodesis",Thorax,1989,44,,,,,Almind M; Lange P; Viskum K
41,"Ferrer J, Montes JF, Villarino MA. Influence of particle size on extrapleural talc dissemination after talc slurry pleurodesis. Chest. 2002;122.",Influence of particle size on extrapleural talc dissemination after talc slurry pleurodesis,Chest,2002,122,,,,,Ferrer J; Montes JF; Villarino MA
42,"Janssen JP, Collier G, Astoul P. Safety of pleurodesis with talc poudrage in malignant pleural effusion: a prospective cohort study. Lancet. 2007;369.",Safety of pleurodesis with talc poudrage in malignant pleural effusion: a prospective cohort study,Lancet,2007,369,,,,,Janssen JP; Collier G; Astoul P
43,"Cao G, Kang J, Wang F. Intrapleural instillation of autologous blood for persistent air leak in spontaneous pneumothorax in patients with advanced chronic obstructive pulmonary disease. Ann Thorac Surg. 2012;93.",Intrapleural instillation of autologous blood for persistent air leak in spontaneous pneumothorax in patients with advanced chronic obstructive pulmonary disease,Ann Thorac Surg,2012,93,,,,,Cao G; Kang J; Wang F
44,"Oliveira FH, Cataneo DC, Ruiz RL, Jr. Persistent pleuropulmonary air leak treated with autologous blood: results from a university hospital and review of literature. Respiration. 2010;79.",Persistent pleuropulmonary air leak treated with autologous blood: results from a university hospital and review of literature,Respiration,2010,79,,,,,Oliveira FH; Cataneo DC; Ruiz RL; Jr
45,Robinson CL. Autologous blood for pleurodesis in recurrent and chronic spontaneous pneumothorax. Can J Surg. 1987;30.,Autologous blood for pleurodesis in recurrent and chronic spontaneous pneumothorax,Can J Surg,1987,30,,,,,Robinson CL
46,"Karangelis D, Tagarakis GI, Daskalopoulos M. Intrapleural instillation of autologous blood for persistent air leak in spontaneous pneumothorax-is it as effective as it is safe?. J Cardiothorac Surg. 2010;5:61.",Intrapleural instillation of autologous blood for persistent air leak in spontaneous pneumothorax-is it as effective as it is safe?,J Cardiothorac Surg,2010,5,,61,,,Karangelis D; Tagarakis GI; Daskalopoulos M
47,"Travaline JM, Mckenna RJ, Jr D, Giacomo T. Treatment of persistent pulmonary air leaks using endobronchial valves. Chest. 2009;136.",Treatment of persistent pulmonary air leaks using endobronchial valves,Chest,2009,136,,,,,Travaline JM; Mckenna RJ; Jr D; Giacomo T
48,"Gillespie CT, Sterman DH, Cerfolio RJ. Endobronchial valve treatment for prolonged air leaks of the lung: a case series. Ann Thorac Surg. 2011;91.",Endobronchial valve treatment for prolonged air leaks of the lung: a case series,Ann Thorac Surg,2011,91,,,,,Gillespie CT; Sterman DH; Cerfolio RJ
49,"Vial MR, Lan C, Cornwell L. Endobronchial oxygen insufflation: a novel technique for localization of occult bronchopleural fistulas. Ann Am Thorac Soc. 2013;10.",Endobronchial oxygen insufflation: a novel technique for localization of occult bronchopleural fistulas,Ann Am Thorac Soc,2013,10,,,,,Vial MR; Lan C; Cornwell L
50,"Van Zeller M, Bastos P, Fernandes G. Clinical challenges of persistent pulmonary air-leaks--case report. Rev Port Pneumol. 2014;20.",Clinical challenges of persistent pulmonary air-leaks--case report,Rev Port Pneumol,2014,20,,,,,Van Zeller M; Bastos P; Fernandes G
51,"York EL, Lewall DB, Hirji M. Endoscopic diagnosis and treatment of postoperative bronchopleural fistula. Chest. 1990;97.",Endoscopic diagnosis and treatment of postoperative bronchopleural fistula,Chest,1990,97,,,,,York EL; Lewall DB; Hirji M
52,"Hollaus PH, Lax F, Janakiev D. Endoscopic treatment of postoperative bronchopleural fistula: experience with 45 cases. Ann Thorac Surg. 1998;66.",Endoscopic treatment of postoperative bronchopleural fistula: experience with 45 cases,Ann Thorac Surg,1998,66,,,,,Hollaus PH; Lax F; Janakiev D
53,"Finch CK, Pittman AL. Use of fibrin glue to treat a persistent pneumothorax with bronchopleural fistula. Am J Health Syst Pharm. 2008;65.",Use of fibrin glue to treat a persistent pneumothorax with bronchopleural fistula,Am J Health Syst Pharm,2008,65,,,,,Finch CK; Pittman AL
54,"Roksvaag H, Skalleberg L, Nordberg C. Endoscopic closure of bronchial fistula. Thorax. 1983;38.",Endoscopic closure of bronchial fistula,Thorax,1983,38,,,,,Roksvaag H; Skalleberg L; Nordberg C
55,"Wood RE, Lacey SR, Azizkhan RG. Endoscopic management of large, postresection bronchopleural fistulae with methacrylate adhesive (Super Glue). J Pediatr Surg. 1992;27.","Endoscopic management of large, postresection bronchopleural fistulae with methacrylate adhesive (Super Glue)",J Pediatr Surg,1992,27,,,,,Wood RE; Lacey SR; Azizkhan RG
56,"Sprung J, Krasna MJ, Yun A. Treatment of a bronchopleural fistula with a Fogarty catheter and oxidized regenerated cellulose (surgicel). Chest. 1994;105.",Treatment of a bronchopleural fistula with a Fogarty catheter and oxidized regenerated cellulose (surgicel),Chest,1994,105,,,,,Sprung J; Krasna MJ; Yun A
57,"Mehta HJ, Malhotra P, Begnaud A. Treatment of alveolar-pleural fistula with endobronchial application of synthetic hydrogel. Chest. 2015;147.",Treatment of alveolar-pleural fistula with endobronchial application of synthetic hydrogel,Chest,2015,147,,,,,Mehta HJ; Malhotra P; Begnaud A
58,"Lim AL, Kim CH, Hwang YI. Bronchoscopic ethanolamine injection therapy in patients with persistent air leak from chest tube drainage. Tuberc Respir Dis (Seoul). 2012;72.",Bronchoscopic ethanolamine injection therapy in patients with persistent air leak from chest tube drainage,Tuberc Respir Dis (Seoul),2012,72,,,,,Lim AL; Kim CH; Hwang YI
59,"Takaoka K, Inoue S, Ohira S. Central bronchopleural fistulas closed by bronchoscopic injection of absolute ethanol. Chest. 2002;122.",Central bronchopleural fistulas closed by bronchoscopic injection of absolute ethanol,Chest,2002,122,,,,,Takaoka K; Inoue S; Ohira S
60,"Martin WR, Siefkin AD, Allen R. Closure of a bronchopleural fistula with bronchoscopic instillation of tetracycline. Chest. 1991;99.",Closure of a bronchopleural fistula with bronchoscopic instillation of tetracycline,Chest,1991,99,,,,,Martin WR; Siefkin AD; Allen R
61,"Watanabe Y, Matsuo K, Tamaoke A. Bronchial occlusion with endobronchial watanabe spigot. J Bronchology Interv Pulmonol. 2003;10.",Bronchial occlusion with endobronchial watanabe spigot,J Bronchology Interv Pulmonol,2003,10,,,,,Watanabe Y; Matsuo K; Tamaoke A
62,"Watanabe S, Watanabe T, Urayama H. Endobronchial occlusion method of bronchopleural fistula with metallic coils and glue. Thorac Cardiovasc Surg. 2003;51.",Endobronchial occlusion method of bronchopleural fistula with metallic coils and glue,Thorac Cardiovasc Surg,2003,51,,,,,Watanabe S; Watanabe T; Urayama H
63,"Salmon CJ, Ponn RB, Westcott JL. Endobronchial vascular occlusion coils for control of a large parenchymal bronchopleural fistula. Chest. 1990;98.",Endobronchial vascular occlusion coils for control of a large parenchymal bronchopleural fistula,Chest,1990,98,,,,,Salmon CJ; Ponn RB; Westcott JL
64,"Snell GI, Holsworth L, Fowler S. Occlusion of a broncho-cutaneous fistula with endobronchial one-way valves. Ann Thorac Surg. 2005;80.",Occlusion of a broncho-cutaneous fistula with endobronchial one-way valves,Ann Thorac Surg,2005,80,,,,,Snell GI; Holsworth L; Fowler S
65,"Feller-Kopman D, Bechara R, Garland R. Use of a removable endobronchial valve for the treatment of bronchopleural fistula. Chest. 2006;130.",Use of a removable endobronchial valve for the treatment of bronchopleural fistula,Chest,2006,130,,,,,Feller-Kopman D; Bechara R; Garland R
66,"Mitchell KM, Boley TM, Hazelrigg SR. Endobronchial valves for treatment of bronchopleural fistula. Ann Thorac Surg. 2006;81.",Endobronchial valves for treatment of bronchopleural fistula,Ann Thorac Surg,2006,81,,,,,Mitchell KM; Boley TM; Hazelrigg SR
67,"Ferguson JS, Sprenger K, Van Natta T. Closure of a bronchopleural fistula using bronchoscopic placement of an endobronchial valve designed for the treatment of emphysema. Chest. 2006;129.",Closure of a bronchopleural fistula using bronchoscopic placement of an endobronchial valve designed for the treatment of emphysema,Chest,2006,129,,,,,Ferguson JS; Sprenger K; Van Natta T
68,"Toma TP, Kon OM, Oldfield W. Reduction of persistent air leak with endoscopic valve implants. Thorax. 2007;62.",Reduction of persistent air leak with endoscopic valve implants,Thorax,2007,62,,,,,Toma TP; Kon OM; Oldfield W
69,"Anile M, Venuta F, Giacomo D, T. Treatment of persistent air leakage with endobronchial one-way valves. J Thorac Cardiovasc Surg. 2006;132.",Treatment of persistent air leakage with endobronchial one-way valves,J Thorac Cardiovasc Surg,2006,132,,,,,Anile M; Venuta F; Giacomo D; T
70,"Santini M, Fiorelli A, Vicidomini G. Latrogenic air leak successfully treated by bronchoscopic placement of unidirectional endobronchial valves. Ann Thorac Surg. 2010;89.",Latrogenic air leak successfully treated by bronchoscopic placement of unidirectional endobronchial valves,Ann Thorac Surg,2010,89,,,,,Santini M; Fiorelli A; Vicidomini G
71,"Jenkins M, Vaughan P, Place D. Endobronchial valve migration. Eur J Cardiothorac Surg. 2011;40.",Endobronchial valve migration,Eur J Cardiothorac Surg,2011,40,,,,,Jenkins M; Vaughan P; Place D
72,"El-Sameed Y, Waness A, Shamsi A, I. Endobronchial valves in the management of broncho-pleural and alveolopleural fistulae. Lung. 2012;190.",Endobronchial valves in the management of broncho-pleural and alveolopleural fistulae,Lung,2012,190,,,,,El-Sameed Y; Waness A; Shamsi A; I
73,"Cornwell LD, Panchal R, Bakaeen FG. Bronchoscopic management of prolonged air leaks with endobronchial valves in a veteran population. JAMA Surg. 2017;152.",Bronchoscopic management of prolonged air leaks with endobronchial valves in a veteran population,JAMA Surg,2017,152,,,,,Cornwell LD; Panchal R; Bakaeen FG
74,"Gilbert CR, Casal RF, Lee HJ. Use of oneway intrabronchial valves in air leak management after tube thoracostomy drainage. Ann Thorac Surg. 2016;101.",Use of oneway intrabronchial valves in air leak management after tube thoracostomy drainage,Ann Thorac Surg,2016,101,,,,,Gilbert CR; Casal RF; Lee HJ
75,"Mahajan AK, Verhoef P, Patel SB. Intrabronchial valves: a case series describing a minimally invasive approach to bronchopleural fistulas in medical intensive care unit patients. J Bronchology Interv Pulmonol. 2012;19.",Intrabronchial valves: a case series describing a minimally invasive approach to bronchopleural fistulas in medical intensive care unit patients,J Bronchology Interv Pulmonol,2012,19,,,,,Mahajan AK; Verhoef P; Patel SB
76,"Firlinger I, Stubenberger E, Muller MR. Endoscopic one-way valve implantation in patients with prolonged air leak and the use of digital air leak monitoring. Ann Thorac Surg. 2013;95.",Endoscopic one-way valve implantation in patients with prolonged air leak and the use of digital air leak monitoring,Ann Thorac Surg,2013,95,,,,,Firlinger I; Stubenberger E; Muller MR
77,"Dooms CA, Decaluwe H, Yserbyt J. Bronchial valve treatment for pulmonary air leak after anatomical lung resection for cancer. Eur Respir J. 2014;43.",Bronchial valve treatment for pulmonary air leak after anatomical lung resection for cancer,Eur Respir J,2014,43,,,,,Dooms CA; Decaluwe H; Yserbyt J
78,"Mahajan AK, Doeing DC, Hogarth DK. Isolation of persistent air leaks and placement of intrabronchial valves. J Thorac Cardiovasc Surg. 2013;145.",Isolation of persistent air leaks and placement of intrabronchial valves,J Thorac Cardiovasc Surg,2013,145,,,,,Mahajan AK; Doeing DC; Hogarth DK
