#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Pratt LW, Ferlito A, RA. Tracheotomy: historical review. Laryngoscope. 2008;118(9).",Tracheotomy: historical review,Laryngoscope,2008,118,9,,,,Pratt LW; Ferlito A; RA
12,"An ˜on JM, Escuela MP, Go ´mez V, Moreno A, Lo ´pez J, Díaz R. Percutaneous tracheostomy: Ciaglia Blue Rhino versus Griggs' guide wire dilating forceps. A prospective randomized trial. Acta Anaesthesiol Scand. 2004;48(4).",Percutaneous tracheostomy: Ciaglia Blue Rhino versus Griggs' guide wire dilating forceps. A prospective randomized trial,Acta Anaesthesiol Scand,2004,48,4,,,,An ˜on JM; Escuela MP; Go ´mez V; Moreno A; Lo ´pez J; Díaz R
13,"Kumar M, Trikha A, Chandralekha. Percutaneous dilatational tracheostomy: Griggs guide wire dilating forceps technique versus ULTRA-perc single-stage dilator-a prospective randomized study. Indian J Crit Care Med. 2012;16(2).",Percutaneous dilatational tracheostomy: Griggs guide wire dilating forceps technique versus ULTRA-perc single-stage dilator-a prospective randomized study,Indian J Crit Care Med,2012,16,2,,,,Kumar M; Trikha A; Chandralekha
14,"Karvandian K, Yousefian M, Khan ZH, Baigmohammadi T, Shabani S. Comparative clinical trial between Ciaglia and Griggs techniques during tracheostomy performed in patients admitted to intensive care unit. Acta Med Iran. 2012;50(8).",Comparative clinical trial between Ciaglia and Griggs techniques during tracheostomy performed in patients admitted to intensive care unit,Acta Med Iran,2012,50,8,,,,Karvandian K; Yousefian M; Khan ZH; Baigmohammadi T; Shabani S
15,"Stocchetti N, Parma A, Lamperti M, Songa V, Tognini L. Neurophysiological consequences of three tracheostomy techniques: a randomized study in neurosurgical patients. J Neurosurg Anesthesiol. 2000;12(4).",Neurophysiological consequences of three tracheostomy techniques: a randomized study in neurosurgical patients,J Neurosurg Anesthesiol,2000,12,4,,,,Stocchetti N; Parma A; Lamperti M; Songa V; Tognini L
16,"Van Heurn LW, Mastboom WB, Scheeren CI, Brink PR, Ramsay G. Comparative clinical trial of progressive dilatational and forceps dilatational tracheostomy. Intensive Care Med. 2001;27(1).",Comparative clinical trial of progressive dilatational and forceps dilatational tracheostomy,Intensive Care Med,2001,27,1,,,,Van Heurn LW; Mastboom WB; Scheeren CI; Brink PR; Ramsay G
17,"Cantais E, Kaiser E, Le-Goff Y, Palmier B. Percutaneous tracheostomy: prospective comparison of the translaryngeal technique versus the forceps-dilational technique in 100 critically ill adults. Crit Care Med. 2002;30(4).",Percutaneous tracheostomy: prospective comparison of the translaryngeal technique versus the forceps-dilational technique in 100 critically ill adults,Crit Care Med,2002,30,4,,,,Cantais E; Kaiser E; Le-Goff Y; Palmier B
18,"Nates JL, Cooper DJ, Myles PS, Scheinkestel CD, Tuxen DV. Percutaneous tracheostomy in critically ill patients: a prospective, randomized comparison of two techniques. Crit Care Med. 2000;28(11).","Percutaneous tracheostomy in critically ill patients: a prospective, randomized comparison of two techniques",Crit Care Med,2000,28,11,,,,Nates JL; Cooper DJ; Myles PS; Scheinkestel CD; Tuxen DV
19,"Montcriol A, Bordes J, Asencio Y, Prunet B, Lacroix G, Meaudre E. Bedside percutaneous tracheostomy: a prospective randomised comparison of PercuTwist versus Griggs' forceps dilational tracheostomy. Anaesth Intensive Care. 2011;39(2).",Bedside percutaneous tracheostomy: a prospective randomised comparison of PercuTwist versus Griggs' forceps dilational tracheostomy,Anaesth Intensive Care,2011,39,2,,,,Montcriol A; Bordes J; Asencio Y; Prunet B; Lacroix G; Meaudre E
20,"Kaiser E, Cantais E, Goutorbe P, Salinier L, Palmier B. Prospective randomized comparison of progressive dilational vs forceps dilational percutaneous tracheostomy. Anaesth Intensive Care. 2006;34(1).",Prospective randomized comparison of progressive dilational vs forceps dilational percutaneous tracheostomy,Anaesth Intensive Care,2006,34,1,,,,Kaiser E; Cantais E; Goutorbe P; Salinier L; Palmier B
21,"Johnson JL, Cheatham ML, Sagraves SG, Block EF, Nelson LD. Percutaneous dilational tracheostomy: a comparison of single-versus multiple-dilator techniques. Crit Care Med. 2001;29(6).",Percutaneous dilational tracheostomy: a comparison of single-versus multiple-dilator techniques,Crit Care Med,2001,29,6,,,,Johnson JL; Cheatham ML; Sagraves SG; Block EF; Nelson LD
22,"Byhahn C, Wilke HJ, Halbig S, Lischke V, Westphal K. Percutaneous tracheostomy: Ciaglia Blue Rhino versus the basic Ciaglia technique of percutaneous dilational tracheostomy. Anesth Analg. 2000;91(4).",Percutaneous tracheostomy: Ciaglia Blue Rhino versus the basic Ciaglia technique of percutaneous dilational tracheostomy,Anesth Analg,2000,91,4,,,,Byhahn C; Wilke HJ; Halbig S; Lischke V; Westphal K
23,"Yurtseven N, Aydemir B, Karaca P, Aksoy T, Komurcu G, Kurt M. PercuTwist: a new alternative to Griggs and Ciaglia's techniques. Eur J Anaesthesiol. 2007;24(6).",PercuTwist: a new alternative to Griggs and Ciaglia's techniques,Eur J Anaesthesiol,2007,24,6,,,,Yurtseven N; Aydemir B; Karaca P; Aksoy T; Komurcu G; Kurt M
24,"Birbicer H, Doruk N, Yapici D et al.. Percutaneous tracheostomy: a comparison of PercuTwist and multi-dilatators techniques. Ann Card Anaesth. 2008;11(2):131.",Percutaneous tracheostomy: a comparison of PercuTwist and multi-dilatators techniques,Ann Card Anaesth,2008,11,2,131,,,Birbicer H; Doruk N; Yapici D; Atici S; Altunkan AA; Epozdemir S; Oral U
25,"Ferlito A, Shaha RA, Bradley AR, PJ. Percutaneous tracheotomy. Acta Otolaryngol. 2003;123(9).",Percutaneous tracheotomy,Acta Otolaryngol,2003,123,9,,,,Ferlito A; Shaha RA; Bradley AR; PJ
26,"Shelden CH, Pudenz RH, Freshwater DB, Crue BL. A new method for tracheotomy. J Neurosurg. 1955;12(4).",A new method for tracheotomy,J Neurosurg,1955,12,4,,,,Shelden CH; Pudenz RH; Freshwater DB; Crue BL
27,"Cheng E, Fee WE, Jr. Dilatational versus standard tracheostomy: a meta-analysis. Ann Otol Rhinol Laryngol. 2000;109(9).",Dilatational versus standard tracheostomy: a meta-analysis,Ann Otol Rhinol Laryngol,2000,109,9,,,,Cheng E; Fee WE; Jr
28,"Delaney A, Bagshaw SM, Nalos M. Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis. Crit Care. 2006;10(2):55.",Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis,Crit Care,2006,10,2,55,,,Delaney A; Bagshaw SM; Nalos M
29,"Freeman BD, Lin IK, Buchman N, TG. A meta-analysis of prospective trials comparing percutaneous and surgical tracheostomy in critically ill patients. Chest. 2000;118(5).",A meta-analysis of prospective trials comparing percutaneous and surgical tracheostomy in critically ill patients,Chest,2000,118,5,,,,Freeman BD; Lin IK; Buchman N; TG
30,"Higgins KM, Punthakee X. Meta-analysis comparison of open versus percutaneous tracheostomy. Laryngoscope. 2007;117(3).",Meta-analysis comparison of open versus percutaneous tracheostomy,Laryngoscope,2007,117,3,,,,Higgins KM; Punthakee X
31,"Goeman JJ, Solari A, Stijnen T. Three-sided hypothesis testing: simultaneous testing of superiority, equivalence and inferiority. Stat Med. 2010;29(20).","Three-sided hypothesis testing: simultaneous testing of superiority, equivalence and inferiority",Stat Med,2010,29,20,,,,Goeman JJ; Solari A; Stijnen T
32,"Lesaffre E. Superiority, equivalence, and non-inferiority trials. Bull NYU Hosp Jt Dis. 2008;66(2).","Superiority, equivalence, and non-inferiority trials",Bull NYU Hosp Jt Dis,2008,66,2,,,,Lesaffre E
33,"Cipriani A, Girlanda F, Barbui C. Superiority, equivalence or noninferiority?. Epidemiol Psichiatr Soc. 2009;18(4).","Superiority, equivalence or noninferiority?",Epidemiol Psichiatr Soc,2009,18,4,,,,Cipriani A; Girlanda F; Barbui C
34,"Kearney PA, Griffen MM, Ochoa JB, Boulanger BR, Tseui BJ, Mentzer RM. A single-center 8-year experience with percutaneous dilational tracheostomy. Ann Surg. 2000;231(5).",A single-center 8-year experience with percutaneous dilational tracheostomy,Ann Surg,2000,231,5,,,,Kearney PA; Griffen MM; Ochoa JB; Boulanger BR; Tseui BJ; Mentzer RM
35,Altman DG. Statistics and ethics in medical research: III how large a sample?. Br Med J. 1980;281(6251).,Statistics and ethics in medical research: III how large a sample?,Br Med J,1980,281,6251,,,,Altman DG
36,Ioannidis JP. Interpretation of tests of heterogeneity and bias in meta-analysis. J Eval Clin Pract. 2008;14(5).,Interpretation of tests of heterogeneity and bias in meta-analysis,J Eval Clin Pract,2008,14,5,,,,Ioannidis JP
37,"Keefe SM, Strom BL. On the importance of heterogeneity in metaanalysis. Clin Trials. 2009;6(5).",On the importance of heterogeneity in metaanalysis,Clin Trials,2009,6,5,,,,Keefe SM; Strom BL
38,"Song F, Sheldon TA, Sutton AJ, Abrams KR, Jones DR. Methods for exploring heterogeneity in meta-analysis. Eval Health Prof. 2001;24(2).",Methods for exploring heterogeneity in meta-analysis,Eval Health Prof,2001,24,2,,,,Song F; Sheldon TA; Sutton AJ; Abrams KR; Jones DR
