#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95(6).,Pleural effusions,Med Clin North Am,2011,95,6,,,,Light RW
18,Medical M. Aspira Drainage System Clinician Product Brochure. Aspira Drainage System Clinician Product Brochure. 2019;None.,Aspira Drainage System Clinician Product Brochure,Aspira Drainage System Clinician Product Brochure,2019,,,,,,Medical M
19, Patient information -PleurX system BD. Patient information -PleurX system BD. 2021;None.,Patient information -PleurX system BD,Patient information -PleurX system BD,2021,,,,,,
20,"Plc, Rm. IPC indwelling drainage catheters -pleural & peritoneal. IPC indwelling drainage catheters -pleural & peritoneal. 2011;None.",IPC indwelling drainage catheters -pleural & peritoneal,IPC indwelling drainage catheters -pleural & peritoneal,2011,,,,,,Plc; Rm
21,"Chalhoub M, Saqib A, Castellano M. Indwelling pleural catheters: complications and management strategies. J Thorac Dis. 2018;10(7).",Indwelling pleural catheters: complications and management strategies,J Thorac Dis,2018,10,7,,,,Chalhoub M; Saqib A; Castellano M
22,"Henry DH, Viswanathan HN, Elkin EP. Symptoms and treatment burden associated with cancer treatment: results from a cross-sectional national survey in the U. S. Support Care Cancer. 2008;16(7).",Symptoms and treatment burden associated with cancer treatment: results from a cross-sectional national survey in the U,S. Support Care Cancer,2008,16,7,,,,Henry DH; Viswanathan HN; Elkin EP
23,"Muruganandan S, Azzopardi M, Fitzgerald DB. Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial. Lancet Respir Med. 2018;6(9).",Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial,Lancet Respir Med,2018,6,9,,,,Muruganandan S; Azzopardi M; Fitzgerald DB
24,"Wahidi MM, Reddy C, Yarmus L. Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions. The ASAP trial. Am J Respir Crit Care Med. 2017;195(8).",Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions. The ASAP trial,Am J Respir Crit Care Med,2017,195,8,,,,Wahidi MM; Reddy C; Yarmus L
25,"Fortin M, Tremblay A. Pleural controversies: indwelling pleural catheter vs. pleurodesis for malignant pleural effusions. J Thorac Dis. 2015;7(6).",Pleural controversies: indwelling pleural catheter vs. pleurodesis for malignant pleural effusions,J Thorac Dis,2015,7,6,,,,Fortin M; Tremblay A
26,"Pien GW, Gant MJ, Washam CL. Use of an implantable pleural catheter for trapped lung syndrome in patients with malignant pleural effusion. Chest. 2001;119(6).",Use of an implantable pleural catheter for trapped lung syndrome in patients with malignant pleural effusion,Chest,2001,119,6,,,,Pien GW; Gant MJ; Washam CL
27,"Bazerbashi S, Villaquiran J, Awan MY. Ambulatory intercostal drainage for the management of malignant pleural effusion: a single center experience. Ann Surg Oncol. 2009;16(12).",Ambulatory intercostal drainage for the management of malignant pleural effusion: a single center experience,Ann Surg Oncol,2009,16,12,,,,Bazerbashi S; Villaquiran J; Awan MY
28,"Warren WH, Kalimi R, Khodadadian LM. Management of malignant pleural effusions using the Pleur(x) catheter. Ann Thorac Surg. 2008;85(3).",Management of malignant pleural effusions using the Pleur(x) catheter,Ann Thorac Surg,2008,85,3,,,,Warren WH; Kalimi R; Khodadadian LM
29,"Qureshi RA, Collinson SL, Powell RJ. Management of malignant pleural effusion associated with trapped lung syndrome. Asian Cardiovasc Thorac Ann. 2008;16(2).",Management of malignant pleural effusion associated with trapped lung syndrome,Asian Cardiovasc Thorac Ann,2008,16,2,,,,Qureshi RA; Collinson SL; Powell RJ
30,"Sioris T, Sihvo E, Salo J. Long-term indwelling pleural catheter (PleurX) for malignant pleural effusion unsuitable for talc pleurodesis. Eur J Surg Oncol. 2009;35(5).",Long-term indwelling pleural catheter (PleurX) for malignant pleural effusion unsuitable for talc pleurodesis,Eur J Surg Oncol,2009,35,5,,,,Sioris T; Sihvo E; Salo J
31,"Van Den Toorn LM, Schaap E, Surmont VF. Management of recurrent malignant pleural effusions with a chronic indwelling pleural catheter. Lung Cancer. 2005;50(1).",Management of recurrent malignant pleural effusions with a chronic indwelling pleural catheter,Lung Cancer,2005,50,1,,,,Van Den Toorn LM; Schaap E; Surmont VF
32,"Efthymiou CA, Masudi T, Thorpe JA. Malignant pleural effusion in the presence of trapped lung. Five-year experience of PleurX tunnelled catheters. Interact Cardiovasc Thorac Surg. 2009;9(6).",Malignant pleural effusion in the presence of trapped lung. Five-year experience of PleurX tunnelled catheters,Interact Cardiovasc Thorac Surg,2009,9,6,,,,Efthymiou CA; Masudi T; Thorpe JA
33,"Dresler CM, Olak J, Herndon JE. Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127(3).",Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,3,,,,Dresler CM; Olak J; Herndon JE
34,"Boujaoude Z, Bartter T, Abboud M. Pleuroscopic pleurodesis combined with tunneled pleural catheter for management of malignant pleural effusion-a prospective observational study. J Bronchol Interv Pulmonol. 2015;22.",Pleuroscopic pleurodesis combined with tunneled pleural catheter for management of malignant pleural effusion-a prospective observational study,J Bronchol Interv Pulmonol,2015,22,,,,,Boujaoude Z; Bartter T; Abboud M
35,"Reddy C, Ernst A, Lamb C. Rapid pleurodesis for malignant pleural effusions: a pilot study. Chest. 2011;139(6).",Rapid pleurodesis for malignant pleural effusions: a pilot study,Chest,2011,139,6,,,,Reddy C; Ernst A; Lamb C
36,"Bhatnagar R, Zahan-Evans N, Kearney C. A novel drug-eluting indwelling pleural catheter for the management of malignant effusions. Am J Respir Crit Care Med. 2018;197(1).",A novel drug-eluting indwelling pleural catheter for the management of malignant effusions,Am J Respir Crit Care Med,2018,197,1,,,,Bhatnagar R; Zahan-Evans N; Kearney C
37,"Shafiq M, Simkovich S, Hossen S. Indwelling pleural catheter drainage strategy for malignant effusion: a cost-effectiveness analysis. Ann Am Thorac Soc. 2020;17(6).",Indwelling pleural catheter drainage strategy for malignant effusion: a cost-effectiveness analysis,Ann Am Thorac Soc,2020,17,6,,,,Shafiq M; Simkovich S; Hossen S
38,"Bhatnagar R, Piotrowska H, Laskawiec-Szkonter M. Effect of thoracoscopic talc poudrage vs talc slurry via chest tube on pleurodesis failure rate among patients with malignant pleural effusions: a randomized clinical trial. JAMA. 2019;323(1).",Effect of thoracoscopic talc poudrage vs talc slurry via chest tube on pleurodesis failure rate among patients with malignant pleural effusions: a randomized clinical trial,JAMA,2019,323,1,,,,Bhatnagar R; Piotrowska H; Laskawiec-Szkonter M
39,"Freeman RK, Ascioti AJ, Mahidhara RS. A propensity-matched comparison of pleurodesis or tunneled pleural catheter in patients undergoing diagnostic thoracoscopy for malignancy. Ann Thorac Surg. 2013;96(1).",A propensity-matched comparison of pleurodesis or tunneled pleural catheter in patients undergoing diagnostic thoracoscopy for malignancy,Ann Thorac Surg,2013,96,1,,,,Freeman RK; Ascioti AJ; Mahidhara RS
40,"Iyer NP, Reddy CB, Wahidi MM. Indwelling pleural catheter versus pleurodesis for malignant pleural effusions. A systematic review and metaanalysis. Ann Am Thorac Soc. 2019;16(1).",Indwelling pleural catheter versus pleurodesis for malignant pleural effusions. A systematic review and metaanalysis,Ann Am Thorac Soc,2019,16,1,,,,Iyer NP; Reddy CB; Wahidi MM
41,"Walker SP, Morley AJ, Stadon L. Nonmalignant pleural effusions: a prospective study of 356 consecutive unselected patients. Chest. 2017;151(5).",Nonmalignant pleural effusions: a prospective study of 356 consecutive unselected patients,Chest,2017,151,5,,,,Walker SP; Morley AJ; Stadon L
42,"Debiasi EM, Pisani MA, Murphy TE. Mortality among patients with pleural effusion undergoing thoracentesis. Eur Respir J. 2015;46(2).",Mortality among patients with pleural effusion undergoing thoracentesis,Eur Respir J,2015,46,2,,,,Debiasi EM; Pisani MA; Murphy TE
43,"Shojaee S, Rahman N, Haas K. Indwelling tunneled pleural catheters for refractory hepatic hydrothorax in patients with cirrhosis: a multicenter study. Chest. 2019;155(3).",Indwelling tunneled pleural catheters for refractory hepatic hydrothorax in patients with cirrhosis: a multicenter study,Chest,2019,155,3,,,,Shojaee S; Rahman N; Haas K
44,"Liu LU, Haddadin HA, Bodian CA. Outcome analysis of cirrhotic patients undergoing chest tube placement. Chest. 2004;126(1).",Outcome analysis of cirrhotic patients undergoing chest tube placement,Chest,2004,126,1,,,,Liu LU; Haddadin HA; Bodian CA
45,"Bramley K, Debiasi E, Puchalski J. Indwelling pleural catheter placement for nonmalignant pleural effusions. Semin Respir Crit Care Med. 2018;39(6).",Indwelling pleural catheter placement for nonmalignant pleural effusions,Semin Respir Crit Care Med,2018,39,6,,,,Bramley K; Debiasi E; Puchalski J
46,"Aboudara M, Maldonado F. Indwelling pleural catheters for benign pleural effusions: what is the evidence?. Curr Opin Pulm Med. 2019;25(4).",Indwelling pleural catheters for benign pleural effusions: what is the evidence?,Curr Opin Pulm Med,2019,25,4,,,,Aboudara M; Maldonado F
47,"Majid A, Kheir F, Fashjian M. Tunneled pleural catheter placement with and without talc poudrage for treatment of pleural effusions due to congestive heart failure. Ann Am Thorac Soc. 2016;13(2).",Tunneled pleural catheter placement with and without talc poudrage for treatment of pleural effusions due to congestive heart failure,Ann Am Thorac Soc,2016,13,2,,,,Majid A; Kheir F; Fashjian M
48,"Potechin R, Amjadi K, Srour N. Indwelling pleural catheters for pleural effusions associated with endstage renal disease: a case series. Ther Adv Respir Dis. 2015;9(1).",Indwelling pleural catheters for pleural effusions associated with endstage renal disease: a case series,Ther Adv Respir Dis,2015,9,1,,,,Potechin R; Amjadi K; Srour N
49,"Depew ZS, Iqbal S, Mullon JJ. The role for tunneled indwelling pleural catheters in patients with persistent benign chylothorax. Am J Med Sci. 2013;346(5).",The role for tunneled indwelling pleural catheters in patients with persistent benign chylothorax,Am J Med Sci,2013,346,5,,,,Depew ZS; Iqbal S; Mullon JJ
50,"Jimenez CA, Mhatre AD, Martinez CH. Use of an indwelling pleural catheter for the management of recurrent chylothorax in patients with cancer. Chest. 2007;132(5).",Use of an indwelling pleural catheter for the management of recurrent chylothorax in patients with cancer,Chest,2007,132,5,,,,Jimenez CA; Mhatre AD; Martinez CH
51,"Thomas R, Piccolo F, Miller D. Intrapleural fibrinolysis for the treatment of indwelling pleural catheter-related symptomatic loculations: a multicenter observational study. Chest. 2015;148(3).",Intrapleural fibrinolysis for the treatment of indwelling pleural catheter-related symptomatic loculations: a multicenter observational study,Chest,2015,148,3,,,,Thomas R; Piccolo F; Miller D
52,"Vial MR, Ost DE, Eapen GA. Intrapleural fibrinolytic therapy in patients with nondraining indwelling pleural catheters. J Bronchol Interv Pulmonol. 2016;23(2).",Intrapleural fibrinolytic therapy in patients with nondraining indwelling pleural catheters,J Bronchol Interv Pulmonol,2016,23,2,,,,Vial MR; Ost DE; Eapen GA
53,"Fysh E, Tremblay A, Feller-Kopman D. Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study. Chest. 2013;144(5).",Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study,Chest,2013,144,5,,,,Fysh E; Tremblay A; Feller-Kopman D
54,"Mekhaiel E, Kashyap R, Mullon J. Infections associated with tunnelled indwelling pleural catheters in patients undergoing chemotherapy. J Bronchol Interv Pulmonol. 2013;20.",Infections associated with tunnelled indwelling pleural catheters in patients undergoing chemotherapy,J Bronchol Interv Pulmonol,2013,20,,,,,Mekhaiel E; Kashyap R; Mullon J
