#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Macduff A, Arnold A, Harvey J. Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Macduff A; Arnold A; Harvey J
12,"Kuo HC, Lin YJ, Huang CF. Smallbore pigtail catheters for the treatment of primary spontaneous pneumothorax in young adolescents. Emerg Med J. 2013;30(3):17.",Smallbore pigtail catheters for the treatment of primary spontaneous pneumothorax in young adolescents,Emerg Med J,2013,30,3,17,,,Kuo HC; Lin YJ; Huang CF
13,"Laronga C, Meric F, Truong MT, Mayfield C, Mansfield P. A treatment algorithm for pneumothoraces complicating central venous catheter insertion. Am J Surg. 2000;180(6).",A treatment algorithm for pneumothoraces complicating central venous catheter insertion,Am J Surg,2000,180,6,,,,Laronga C; Meric F; Truong MT; Mayfield C; Mansfield P
14,"Lee LP, Lai MH, Chiu WK, Leung MW, Liu KK, Chan HB. Management of primary spontaneous pneumothorax in Chinese children. Hong Kong Med J. 2010;16(2).",Management of primary spontaneous pneumothorax in Chinese children,Hong Kong Med J,2010,16,2,,,,Lee LP; Lai MH; Chiu WK; Leung MW; Liu KK; Chan HB
15,"Liu CM, Hang LW, Chen WK, Hsia TC, Hsu WH. Pigtail tube drainage in the treatment of spontaneous pneumothorax. Am J Emerg Med. 2003;21(3).",Pigtail tube drainage in the treatment of spontaneous pneumothorax,Am J Emerg Med,2003,21,3,,,,Liu CM; Hang LW; Chen WK; Hsia TC; Hsu WH
16,"O'rourke JP, Yee ES. Civilian spontaneous pneumothorax. Treatment options and long-term results. Chest. 1989;96(6).",Civilian spontaneous pneumothorax. Treatment options and long-term results,Chest,1989,96,6,,,,O'rourke JP; Yee ES
17,"Tsai WK, Lee CW, JC. Pigtail catheters vs large-bore chest tubes for management of secondary spontaneous pneumothoraces in adults. Am J Emerg Med. 2006;24(7).",Pigtail catheters vs large-bore chest tubes for management of secondary spontaneous pneumothoraces in adults,Am J Emerg Med,2006,24,7,,,,Tsai WK; Lee CW; JC
18,"Massongo M, Leroy S, Scherpereel A. Outpatient management of primary spontaneous pneumothorax:a prospective study. Eur Respir J. 2014;43(2).",Outpatient management of primary spontaneous pneumothorax:a prospective study,Eur Respir J,2014,43,2,,,,Massongo M; Leroy S; Scherpereel A
19,"Voisin F, Sohier L, Rochas Y. Ambulatory management of large spontaneous pneumothorax with pigtail catheters. Ann Emerg Med. 2014;64(3).",Ambulatory management of large spontaneous pneumothorax with pigtail catheters,Ann Emerg Med,2014,64,3,,,,Voisin F; Sohier L; Rochas Y
20,Baumann MH. What size chest tube? What drainage system is ideal? And other chest tube management questions. Curr Opin Pulm Med. 2003;9(4).,What size chest tube? What drainage system is ideal? And other chest tube management questions,Curr Opin Pulm Med,2003,9,4,,,,Baumann MH
21,"Baumann MH, Noppen M. Pneumothorax. Respirology. Pneumothorax. Respirology. 2004;9(2).",Pneumothorax. Respirology,Pneumothorax. Respirology,2004,9,2,,,,Baumann MH; Noppen M
22,"Inaba K, Lustenberger T, Recinos G. Does size matter? A prospective analysis of 28-32 versus 36-40 French chest tube size in trauma. J Trauma Acute Care Surg. 2012;72(2).",Does size matter? A prospective analysis of 28-32 versus 36-40 French chest tube size in trauma,J Trauma Acute Care Surg,2012,72,2,,,,Inaba K; Lustenberger T; Recinos G
23,"Vedam H, Barnes DJ. Comparison of large-and small-bore intercostal catheters in the management of spontaneous pneumothorax. Intern Med J. 2003;33(11).",Comparison of large-and small-bore intercostal catheters in the management of spontaneous pneumothorax,Intern Med J,2003,33,11,,,,Vedam H; Barnes DJ
24,"Chen CH, Liao WC, Liu YH. Secondary spontaneous pneumothorax: which associated conditions benefit from pigtail catheter treatment?. Am J Emerg Med. 2012;30(1).",Secondary spontaneous pneumothorax: which associated conditions benefit from pigtail catheter treatment?,Am J Emerg Med,2012,30,1,,,,Chen CH; Liao WC; Liu YH
25,"Benton IJ, Benfield GF. Comparison of a large and small-calibre tube drain for managing spontaneous pneumothoraces. Respir Med. 2009;103(10).",Comparison of a large and small-calibre tube drain for managing spontaneous pneumothoraces,Respir Med,2009,103,10,,,,Benton IJ; Benfield GF
26,"Rivera L, Reilly O, Sise EB, MJ. Small catheter tube thoracostomy: effective in managing chest trauma in stable patients. J Trauma. 2009;66(2).",Small catheter tube thoracostomy: effective in managing chest trauma in stable patients,J Trauma,2009,66,2,,,,Rivera L; Reilly O; Sise EB; MJ
27,"Tanizaki S, Maeda S, Sera M. Small tube thoracostomy (20-22 Fr) in emergent management of chest trauma. Injury. 2017;48(9).",Small tube thoracostomy (20-22 Fr) in emergent management of chest trauma,Injury,2017,48,9,,,,Tanizaki S; Maeda S; Sera M
28,"Despars JA, Sassoon CS, Light RW. Significance of iatrogenic pneumothoraces. Chest. 1994;105(4).",Significance of iatrogenic pneumothoraces,Chest,1994,105,4,,,,Despars JA; Sassoon CS; Light RW
29,"Molgaard O, Nielsen MS, Handberg BB, Jensen JM, Kjaergaard J, Juul N. Routine X-ray control of upper central venous lines: is it necessary?. Acta Anaesthesiol Scand. 2004;48(6).",Routine X-ray control of upper central venous lines: is it necessary?,Acta Anaesthesiol Scand,2004,48,6,,,,Molgaard O; Nielsen MS; Handberg BB; Jensen JM; Kjaergaard J; Juul N
30,"Celik B, Sahin E, Nadir A, Kaptanoglu M. Iatrogenic pneumothorax: etiology, incidence and risk factors. Thorac Cardiovasc Surg. 2009;57(5).","Iatrogenic pneumothorax: etiology, incidence and risk factors",Thorac Cardiovasc Surg,2009,57,5,,,,Celik B; Sahin E; Nadir A; Kaptanoglu M
31,"Galbois A, Zorzi L, Meurisse S. Outcome of spontaneous and iatrogenic pneumothoraces managed with smallbore chest tubes. Acta Anaesthesiol Scand. 2012;56(4).",Outcome of spontaneous and iatrogenic pneumothoraces managed with smallbore chest tubes,Acta Anaesthesiol Scand,2012,56,4,,,,Galbois A; Zorzi L; Meurisse S
32,"Gilbert TB, Mcgrath BJ, Soberman M. Chest tubes: indications, placement, management, and complications. J Inten Care Med. 1993;8(2).","Chest tubes: indications, placement, management, and complications",J Inten Care Med,1993,8,2,,,,Gilbert TB; Mcgrath BJ; Soberman M
33,"Schnapp LM, Chin DP, Szaflarski N, Matthay MA. Frequency and importance of barotrauma in 100 patients with acute lung injury. Crit Care Med. 1995;23(2).",Frequency and importance of barotrauma in 100 patients with acute lung injury,Crit Care Med,1995,23,2,,,,Schnapp LM; Chin DP; Szaflarski N; Matthay MA
34,"Chen KY, Jerng JS, Liao WY. Pneumothorax in the ICU: patient outcomes and prognostic factors. Chest. 2002;122(2).",Pneumothorax in the ICU: patient outcomes and prognostic factors,Chest,2002,122,2,,,,Chen KY; Jerng JS; Liao WY
35,"Chon KS, E, Agostino D et al.. CT-guided catheter drainage of loculated thoracic air collections in mechanically ventilated patients with acute respiratory distress syndrome. AJR Am J Roentgenol. 1999;173(5).",CT-guided catheter drainage of loculated thoracic air collections in mechanically ventilated patients with acute respiratory distress syndrome,AJR Am J Roentgenol,1999,173,5,,,,Chon KS; E; Agostino D; HB; 'laoide O; Colt RM; Hart HG; E
36,"Lin YC, Tu CY, Liang SJ. Pigtail catheter for the management of pneumothorax in mechanically ventilated patients. Am J Emerg Med. 2010;28(4).",Pigtail catheter for the management of pneumothorax in mechanically ventilated patients,Am J Emerg Med,2010,28,4,,,,Lin YC; Tu CY; Liang SJ
