#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Brouns M, Jayaraju ST, Lacor C. Tracheal stenosis: a flow dynamics study. J. Appl. Physiol. 2007;102(3).",Tracheal stenosis: a flow dynamics study,J. Appl. Physiol,2007,102,3,,,,Brouns M; Jayaraju ST; Lacor C
43,"Gelbard A, Francis DO, Sandulache VC, Simmons JC, Donovan DT, Ongkasuwan J. Causes and consequences of adult laryngotracheal stenosis. Laryngoscope. 2015;125(5).",Causes and consequences of adult laryngotracheal stenosis,Laryngoscope,2015,125,5,,,,Gelbard A; Francis DO; Sandulache VC; Simmons JC; Donovan DT; Ongkasuwan J
44,"Zias N, Chroneou A, Tabba MK. Post tracheostomy and post intubation tracheal stenosis: report of 31 cases and review of the literature. BMC Pulm. Med. 2008;8:18.",Post tracheostomy and post intubation tracheal stenosis: report of 31 cases and review of the literature,BMC Pulm. Med,2008,8,,18,,,Zias N; Chroneou A; Tabba MK
45,"Anand VK, Alemar G, Warren ET. Surgical considerations in tracheal stenosis. Laryngoscope. 1992;102(3).",Surgical considerations in tracheal stenosis,Laryngoscope,1992,102,3,,,,Anand VK; Alemar G; Warren ET
46,"Goldenberg D, Ari EG, Golz A, Danino J, Netzer A, Joachims HZ. Tracheotomy complications: a retrospective study of 1130 cases. Otolaryngology. 2000;123(4).",Tracheotomy complications: a retrospective study of 1130 cases,Otolaryngology,2000,123,4,,,,Goldenberg D; Ari EG; Golz A; Danino J; Netzer A; Joachims HZ
47,"Halum SL, Ting JY, Plowman EK. A multi-institutional analysis of tracheotomy complications. Laryngoscope. 2012;122(1).",A multi-institutional analysis of tracheotomy complications,Laryngoscope,2012,122,1,,,,Halum SL; Ting JY; Plowman EK
48,"Li M, Yiu Y, Merrill T, Yildiz V, Desilva B, Matrka L. Risk Factors for Posttracheostomy Tracheal Stenosis. Otolaryngology. 2018;159(4).",Risk Factors for Posttracheostomy Tracheal Stenosis,Otolaryngology,2018,159,4,,,,Li M; Yiu Y; Merrill T; Yildiz V; Desilva B; Matrka L
49,"Songu M, Ozkul Y. Risk Factors for Adult Postintubation Tracheal Stenosis. J. Craniofac. Surg. 2019;30(5).",Risk Factors for Adult Postintubation Tracheal Stenosis,J. Craniofac. Surg,2019,30,5,,,,Songu M; Ozkul Y
50,"Jacobs JV, Hill DA, Petersen SR, Bremner RM, Sue RD, Smith MA. Corkscrew stenosis"": defining and preventing a complication of percutaneous dilatational tracheostomy. J. Thorac. Cardiovasc. Surg. 2013;145(3).","Corkscrew stenosis"": defining and preventing a complication of percutaneous dilatational tracheostomy",J. Thorac. Cardiovasc. Surg,2013,145,3,,,,Jacobs JV; Hill DA; Petersen SR; Bremner RM; Sue RD; Smith MA
51,"Carretta A, Casiraghi M, Melloni G. Montgomery T-tube placement in the treatment of benign tracheal lesions. Eur. J. Cardio. Thorac. Surg. 2009;36(2).",Montgomery T-tube placement in the treatment of benign tracheal lesions,Eur. J. Cardio. Thorac. Surg,2009,36,2,,,,Carretta A; Casiraghi M; Melloni G
52,"Noirez L, Musani AI, Laroumagne S, Astoul P, Dutau H. Montgomery T-tube Migration: A Rare and Life-threatening Complication. J. Bronchol. Intervent. Pulmonol. 2015;22(4).",Montgomery T-tube Migration: A Rare and Life-threatening Complication,J. Bronchol. Intervent. Pulmonol,2015,22,4,,,,Noirez L; Musani AI; Laroumagne S; Astoul P; Dutau H
53,"Oh SK, Park KN, Lee SW. Long-term results of endoscopic dilatation for tracheal and subglottic stenosis. Clin. Exp. Otorhinolaryngol. 2014;7(4).",Long-term results of endoscopic dilatation for tracheal and subglottic stenosis,Clin. Exp. Otorhinolaryngol,2014,7,4,,,,Oh SK; Park KN; Lee SW
54,"Cavaliere S, Bezzi M, Toninelli C, Foccoli P. Management of post-intubation tracheal stenoses using the endoscopic approach. Monaldi Arch. Chest Dis. 2007;67(2).",Management of post-intubation tracheal stenoses using the endoscopic approach,Monaldi Arch. Chest Dis,2007,67,2,,,,Cavaliere S; Bezzi M; Toninelli C; Foccoli P
55,"Mehta AC, Lee FY, Cordasco EM, Kirby T, Eliachar I, Boer GD. Concentric tracheal and subglottic stenosis. Management using the Nd-YAG laser for mucosal sparing followed by gentle dilatation. Chest. 1993;104(3).",Concentric tracheal and subglottic stenosis. Management using the Nd-YAG laser for mucosal sparing followed by gentle dilatation,Chest,1993,104,3,,,,Mehta AC; Lee FY; Cordasco EM; Kirby T; Eliachar I; Boer GD
56,"Gaissert HA, Grillo HC, Wright CD, Donahue DM, Wain JC, Mathisen DJ. Complication of benign tracheobronchial strictures by self-expanding metal stents. J. Thorac. Cardiovasc. Surg. 2003;126(3).",Complication of benign tracheobronchial strictures by self-expanding metal stents,J. Thorac. Cardiovasc. Surg,2003,126,3,,,,Gaissert HA; Grillo HC; Wright CD; Donahue DM; Wain JC; Mathisen DJ
57,"Wright CD, Li S, Geller AD. Postintubation Tracheal Stenosis: Management and Results 1993 to 2017. Ann. Thorac. Surg. 2019;108(5).",Postintubation Tracheal Stenosis: Management and Results 1993 to 2017,Ann. Thorac. Surg,2019,108,5,,,,Wright CD; Li S; Geller AD
58,"Rea F, Callegaro D, Loy M. Benign tracheal and laryngotracheal stenosis: surgical treatment and results. Eur. J. Cardio. Thorac. Surg. 2002;22(3).",Benign tracheal and laryngotracheal stenosis: surgical treatment and results,Eur. J. Cardio. Thorac. Surg,2002,22,3,,,,Rea F; Callegaro D; Loy M
59,"Wright CD, Grillo HC, Wain JC. Anastomotic complications after tracheal resection: prognostic factors and management. J. Thorac. Cardiovasc. Surg. 2004;128(5).",Anastomotic complications after tracheal resection: prognostic factors and management,J. Thorac. Cardiovasc. Surg,2004,128,5,,,,Wright CD; Grillo HC; Wain JC
60,"Noppen M, Stratakos G, Amjadi K. Stenting allows weaning and extubation in ventilator-or tracheostomy dependency secondary to benign airway disease. Respir. Med. 2007;101(1).",Stenting allows weaning and extubation in ventilator-or tracheostomy dependency secondary to benign airway disease,Respir. Med,2007,101,1,,,,Noppen M; Stratakos G; Amjadi K
61,"Alazemi S, Lunn W, Majid A. Outcomes, health-care resources use, and costs of endoscopic removal of metallic airway stents. Chest. 2010;138(2).","Outcomes, health-care resources use, and costs of endoscopic removal of metallic airway stents",Chest,2010,138,2,,,,Alazemi S; Lunn W; Majid A
62,"Lim SY, Kim H, Jeon K. Prognostic factors for endotracheal silicone stenting in the management of inoperable post-intubation tracheal stenosis. Yonsei Med. J. 2012;53(3).",Prognostic factors for endotracheal silicone stenting in the management of inoperable post-intubation tracheal stenosis,Yonsei Med. J,2012,53,3,,,,Lim SY; Kim H; Jeon K
63,"Jeong BH, Um SW, Suh GY. Results of interventional bronchoscopy in the management of postoperative tracheobronchial stenosis. J. Thorac. Cardiovasc. Surg. 2012;144(1).",Results of interventional bronchoscopy in the management of postoperative tracheobronchial stenosis,J. Thorac. Cardiovasc. Surg,2012,144,1,,,,Jeong BH; Um SW; Suh GY
64,"Dumon J, Cavaliere S, Diaz-Jimenez JP. Seven-Year Experience with the Dumon Prosthesis. J. Bronchol. Intervent. Pulmonol. 1996;3(1).",Seven-Year Experience with the Dumon Prosthesis,J. Bronchol. Intervent. Pulmonol,1996,3,1,,,,Dumon J; Cavaliere S; Diaz-Jimenez JP
65,"Chung HS, Lee JH. Bronchoscopic assessment of the evolution of endobronchial tuberculosis. Chest. 2000;117(2).",Bronchoscopic assessment of the evolution of endobronchial tuberculosis,Chest,2000,117,2,,,,Chung HS; Lee JH
66,"Su Z, Cheng Y, Wu Z. Incidence and Predictors of Tracheobronchial Tuberculosis in Pulmonary Tuberculosis: A Multicentre, Large-Scale and Prospective Study in Southern China. Respiration. 2019;97(2).","Incidence and Predictors of Tracheobronchial Tuberculosis in Pulmonary Tuberculosis: A Multicentre, Large-Scale and Prospective Study in Southern China",Respiration,2019,97,2,,,,Su Z; Cheng Y; Wu Z
67,"Van De Wauwer C, Van Raemdonck D, Verleden GM. Risk factors for airway complications within the first year after lung transplantation. Eur. J. Cardio. Thorac. Surg. 2007;31(4).",Risk factors for airway complications within the first year after lung transplantation,Eur. J. Cardio. Thorac. Surg,2007,31,4,,,,Van De Wauwer C; Van Raemdonck D; Verleden GM
68,"Noirclerc MJ, Metras D, Vaillant A. Bilateral bronchial anastomosis in double lung and heart-lung transplantations. Eur. J. Cardio. Thorac. Surg. 1990;4(6).",Bilateral bronchial anastomosis in double lung and heart-lung transplantations,Eur. J. Cardio. Thorac. Surg,1990,4,6,,,,Noirclerc MJ; Metras D; Vaillant A
69,"Castleberry AW, Worni M, Kuchibhatla M. A comparative analysis of bronchial stricture after lung transplantation in recipients with and without early acute rejection. Ann. Thorac. Surg. 2013;96(3).",A comparative analysis of bronchial stricture after lung transplantation in recipients with and without early acute rejection,Ann. Thorac. Surg,2013,96,3,,,,Castleberry AW; Worni M; Kuchibhatla M
70,"Thistlethwaite PA, Yung G, Kemp A. Airway stenoses after lung transplantation: incidence, management, and outcome. J. Thorac. Cardiovasc. Surg. 2008;136(6).","Airway stenoses after lung transplantation: incidence, management, and outcome",J. Thorac. Cardiovasc. Surg,2008,136,6,,,,Thistlethwaite PA; Yung G; Kemp A
71,"Chambellan A, Turbie P, Nunes H, Brauner M, Battesti JP, Valeyre D. Endoluminal stenosis of proximal bronchi in sarcoidosis: bronchoscopy, function, and evolution. Chest. 2005;127(2).","Endoluminal stenosis of proximal bronchi in sarcoidosis: bronchoscopy, function, and evolution",Chest,2005,127,2,,,,Chambellan A; Turbie P; Nunes H; Brauner M; Battesti JP; Valeyre D
72,"Polychronopoulos VS, Prakash UB. Airway involvement in sarcoidosis. Chest. 2009;136(5).",Airway involvement in sarcoidosis,Chest,2009,136,5,,,,Polychronopoulos VS; Prakash UB
73,"Chhajed PN, Malouf MA, Tamm M, Spratt P, Glanville AR. Interventional bronchoscopy for the management of airway complications following lung transplantation. Chest. 2001;120(6).",Interventional bronchoscopy for the management of airway complications following lung transplantation,Chest,2001,120,6,,,,Chhajed PN; Malouf MA; Tamm M; Spratt P; Glanville AR
74,"Mughal MM, Gildea TR, Murthy S, Pettersson G, Decamp M, Mehta AC. Short-term deployment of self-expanding metallic stents facilitates healing of bronchial dehiscence. Am. J. Respir. Crit. Care Med. 2005;172(6).",Short-term deployment of self-expanding metallic stents facilitates healing of bronchial dehiscence,Am. J. Respir. Crit. Care Med,2005,172,6,,,,Mughal MM; Gildea TR; Murthy S; Pettersson G; Decamp M; Mehta AC
75,"Murthy SC, Blackstone E, Fau -Gildea TR, Gildea T, Fau -Gonzalez-Stawinski GV. Impact of anastomotic airway complications after lung transplantation. Ann. Thorac. Surg. 2007;84(2).",Impact of anastomotic airway complications after lung transplantation,Ann. Thorac. Surg,2007,84,2,,,,Murthy SC; Blackstone E; Fau -Gildea TR; Gildea T; Fau -Gonzalez-Stawinski GV
76,"Dutau H, Cavailles A, Sakr L. A retrospective study of silicone stent placement for management of anastomotic airway complications in lung transplant recipients: short-and long-term outcomes. J. Heart Lung Transplant. 2010;29(6).",A retrospective study of silicone stent placement for management of anastomotic airway complications in lung transplant recipients: short-and long-term outcomes,J. Heart Lung Transplant,2010,29,6,,,,Dutau H; Cavailles A; Sakr L
77,"Lim SY, Park HK, Jeon K. Factors predicting outcome following airway stenting for post-tuberculosis tracheobronchial stenosis. Respirology. 2011;16(6).",Factors predicting outcome following airway stenting for post-tuberculosis tracheobronchial stenosis,Respirology,2011,16,6,,,,Lim SY; Park HK; Jeon K
78,"Iwamoto Y, Miyazawa T, Kurimoto N. Interventional bronchoscopy in the management of airway stenosis due to tracheobronchial tuberculosis. Chest. 2004;126(4).",Interventional bronchoscopy in the management of airway stenosis due to tracheobronchial tuberculosis,Chest,2004,126,4,,,,Iwamoto Y; Miyazawa T; Kurimoto N
