#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1," Great Western Hospital, Swindon. Great Western Hospital, Swindon. None;None.","Great Western Hospital, Swindon","Great Western Hospital, Swindon",,,,,,,
12,"Janes SM, Rahman NM, Davies RJ, Lee YC. Cathetertract metastases associated with chronic indwelling pleural catheters. Chest. 2007;131(4).",Cathetertract metastases associated with chronic indwelling pleural catheters,Chest,2007,131,4,,,,Janes SM; Rahman NM; Davies RJ; Lee YC
13,"Tremblay A, Mason C, Michaud G. Use of tunnelled catheters for malignant pleural effusions in patients fit for pleurodesis. Eur Respir J. 2007;30(4).",Use of tunnelled catheters for malignant pleural effusions in patients fit for pleurodesis,Eur Respir J,2007,30,4,,,,Tremblay A; Mason C; Michaud G
14,"Antevil JL, Putnam JB. Talc pleurodesis for malignant effusions is preferred over the pleurx catheter (pro position). Ann Surg Oncol. 2007;14(10).",Talc pleurodesis for malignant effusions is preferred over the pleurx catheter (pro position),Ann Surg Oncol,2007,14,10,,,,Antevil JL; Putnam JB
15,"Tremblay A, Michaud G. Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion. Chest. 2006;129(2).",Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion,Chest,2006,129,2,,,,Tremblay A; Michaud G
16,"Putnam JB, Light RW, Rodriguez RM. A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions. Cancer. 1999;86(10).",A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions,Cancer,1999,86,10,,,,Putnam JB; Light RW; Rodriguez RM
17,"Pocock SJ, Simon R. Sequential treatment assignment with balancing for prognostic factors in the controlled clinical trial. Biometrics. 1975;31(1).",Sequential treatment assignment with balancing for prognostic factors in the controlled clinical trial,Biometrics,1975,31,1,,,,Pocock SJ; Simon R
18,"Musani AI, Haas AR, Seijo L, Wilby M, Sterman DH. Outpatient management of malignant pleural effusions with small-bore, tunneled pleural catheters. Respiration. 2004;71(6).","Outpatient management of malignant pleural effusions with small-bore, tunneled pleural catheters",Respiration,2004,71,6,,,,Musani AI; Haas AR; Seijo L; Wilby M; Sterman DH
19,"Bausewein C, Farquhar M, Booth S, Gysels M, Higginson IJ. Measurement of breathlessness in advanced disease: a systematic review. Respir Med. 2007;101(3).",Measurement of breathlessness in advanced disease: a systematic review,Respir Med,2007,101,3,,,,Bausewein C; Farquhar M; Booth S; Gysels M; Higginson IJ
20,"Ries AL. Minimally clinically important difference for the UCSD Shortness of Breath Questionnaire, Borg Scale, and Visual Analog Scale. COPD. 2005;2(1).","Minimally clinically important difference for the UCSD Shortness of Breath Questionnaire, Borg Scale, and Visual Analog Scale",COPD,2005,2,1,,,,Ries AL
21,"Maringwa J, Quinten C, King M. Minimal clinically meaningful differences for the EORTC QLQ-C30 and EORTC QLQ-BN20 scales in brain cancer patients. Ann Oncol. 2011;22(9).",Minimal clinically meaningful differences for the EORTC QLQ-C30 and EORTC QLQ-BN20 scales in brain cancer patients,Ann Oncol,2011,22,9,,,,Maringwa J; Quinten C; King M
22,"Kahan BC, Morris TP. Improper analysis of trials randomised using stratified blocks or minimisation. Stat Med. 2012;31(4).",Improper analysis of trials randomised using stratified blocks or minimisation,Stat Med,2012,31,4,,,,Kahan BC; Morris TP
23,"White IR, Thompson SG. Adjusting for partially missing baseline measurements in randomized trials. Stat Med. 2005;24(7).",Adjusting for partially missing baseline measurements in randomized trials,Stat Med,2005,24,7,,,,White IR; Thompson SG
24,"Royston P, Parmar MK. The use of restricted mean survival time to estimate the treatment effect in randomized clinical trials when the proportional hazards assumption is in doubt. Stat Med. 2011;30(19).",The use of restricted mean survival time to estimate the treatment effect in randomized clinical trials when the proportional hazards assumption is in doubt,Stat Med,2011,30,19,,,,Royston P; Parmar MK
25,"Fysh ET, Waterer GW, Kendall P. Indwelling pleural catheters reduce inpatient days over pleurodesis for malignant pleural effusion. Indwelling pleural catheters reduce inpatient days over pleurodesis for malignant pleural effusion. 2012;None. doi:10.1378/chest.11-2657.",Indwelling pleural catheters reduce inpatient days over pleurodesis for malignant pleural effusion,Indwelling pleural catheters reduce inpatient days over pleurodesis for malignant pleural effusion,2012,,,,10.1378/chest.11-2657,,Fysh ET; Waterer GW; Kendall P
26,"Olden AM, Holloway R. Treatment of malignant pleural effusion: PleuRx catheter or talc pleurodesis? A cost-effectiveness analysis. J Palliat Med. 2010;13(1).",Treatment of malignant pleural effusion: PleuRx catheter or talc pleurodesis? A cost-effectiveness analysis,J Palliat Med,2010,13,1,,,,Olden AM; Holloway R
27,"Putnam JB, Walsh GL, Swisher SG. Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter. Ann Thorac Surg. 2000;69(2).",Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter,Ann Thorac Surg,2000,69,2,,,,Putnam JB; Walsh GL; Swisher SG
