#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95.,Pleural effusions,Med Clin North Am,2011,95,,,,,Light RW
17,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC
18,"Roberts ME, Neville E, Berrisford RG. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Roberts ME; Neville E; Berrisford RG
19,"Van Meter ME, Mckee KY, Kohlwes RJ. Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review. J Gen Intern Med. 2011;26.",Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review,J Gen Intern Med,2011,26,,,,,Van Meter ME; Mckee KY; Kohlwes RJ
20,"Patil M, Dhillon SS, Attwood K. Management of benign pleural effusions using indwelling pleural catheters: a systematic review and meta-analysis. Chest. 2017;151.",Management of benign pleural effusions using indwelling pleural catheters: a systematic review and meta-analysis,Chest,2017,151,,,,,Patil M; Dhillon SS; Attwood K
21,"Putnam JB, Walsh GL, Swisher SG. Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter. Ann Thorac Surg. 2000;69.",Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter,Ann Thorac Surg,2000,69,,,,,Putnam JB; Walsh GL; Swisher SG
22,"Srour N, Potechin R, Amjadi K. Use of indwelling pleural catheters for cardiogenic pleural effusions. Chest. 2013;144.",Use of indwelling pleural catheters for cardiogenic pleural effusions,Chest,2013,144,,,,,Srour N; Potechin R; Amjadi K
23,"Potechin R, Amjadi K, Srour N. Indwelling pleural catheters for pleural effusions associated with end-stage renal disease: a case series. Ther Adv Respir Dis. 2015;9.",Indwelling pleural catheters for pleural effusions associated with end-stage renal disease: a case series,Ther Adv Respir Dis,2015,9,,,,,Potechin R; Amjadi K; Srour N
24,"Freeman RK, Ascioti AJ, Dake M. A propensitymatched comparison of pleurodesis or tunneled pleural catheter for heart failure patients with recurrent pleural effusion. Ann Thorac Surg. 2014;97.",A propensitymatched comparison of pleurodesis or tunneled pleural catheter for heart failure patients with recurrent pleural effusion,Ann Thorac Surg,2014,97,,,,,Freeman RK; Ascioti AJ; Dake M
25,"Miller RJ, Chrissian AA, Lee Y. AABIP evidence-informed guidelines and expert panel report for the management of indwelling pleural catheters. J Bronchol Interv Pulmonol. 2020;27.",AABIP evidence-informed guidelines and expert panel report for the management of indwelling pleural catheters,J Bronchol Interv Pulmonol,2020,27,,,,,Miller RJ; Chrissian AA; Lee Y
26,"Thomas R, Fysh E, Smith NA. Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the ample randomized clinical trial. JAMA. 2017;318.",Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the ample randomized clinical trial,JAMA,2017,318,,,,,Thomas R; Fysh E; Smith NA
27,"Wahidi MM, Reddy C, Yarmus L. Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions. The ASAP trial. Am J Respir Crit Care Med. 2017;195.",Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions. The ASAP trial,Am J Respir Crit Care Med,2017,195,,,,,Wahidi MM; Reddy C; Yarmus L
28,"Muruganandan S, Azzopardi M, Fitzgerald DB. Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial. Lancet Respir Med. 2018;6.",Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial,Lancet Respir Med,2018,6,,,,,Muruganandan S; Azzopardi M; Fitzgerald DB
29,"Feller-Kopman DJ, Reddy CB, Decamp MM. Management of malignant pleural effusions. an official ats/sts/str clinical practice guideline. Am J Respir Crit Care Med. 2018;198.",Management of malignant pleural effusions. an official ats/sts/str clinical practice guideline,Am J Respir Crit Care Med,2018,198,,,,,Feller-Kopman DJ; Reddy CB; Decamp MM
30,"Kheir F, Akulian J, Gesthalter YB. Indwelling Tunneled Pleural Catheters. Am J Respir Crit Care Med. 2019;200.",Indwelling Tunneled Pleural Catheters,Am J Respir Crit Care Med,2019,200,,,,,Kheir F; Akulian J; Gesthalter YB
31,"Hooper CE, Lee YC, Maskell NA. Setting up a specialist pleural disease service. Respirology. 2010;15.",Setting up a specialist pleural disease service,Respirology,2010,15,,,,,Hooper CE; Lee YC; Maskell NA
32,"Rodríguez E, AI, Clemente G, M, Álvarez R, I. Clinical impact of a pleural unit in a tertiary level hospital. [Impacto clínico de una unidad de patología pleural en un hospital de tercer nivel. Arch Bronconeumol (Engl Ed). 2020;56.",Clinical impact of a pleural unit in a tertiary level hospital. [Impacto clínico de una unidad de patología pleural en un hospital de tercer nivel,Arch Bronconeumol (Engl Ed),2020,56,,,,,Rodríguez E; AI; Clemente G; M; Álvarez R; I
33,"Rial B, M, Fernández L, V, Represas R, C. Estudio de coste-efectividad del manejo diagnóstico del derrame pleural en una unidad de patología pleural ambulatoria [Cost-effectiveness study of the diagnosis of pleural effusion in chest diseases outpatient clinic. Arch Bronconeumol. 2010;46.",Estudio de coste-efectividad del manejo diagnóstico del derrame pleural en una unidad de patología pleural ambulatoria [Cost-effectiveness study of the diagnosis of pleural effusion in chest diseases outpatient clinic,Arch Bronconeumol,2010,46,,,,,Rial B; M; Fernández L; V; Represas R; C
34,Ahmed TS. Comparison of Indwelling Pleural Catheters to Serial Thoracentesis in Management of Refractory Pleural Effusions Secondary to Congestive Heart Failure. Chest Annual Meeting. 2016;None.,Comparison of Indwelling Pleural Catheters to Serial Thoracentesis in Management of Refractory Pleural Effusions Secondary to Congestive Heart Failure,Chest Annual Meeting,2016,,,,,,Ahmed TS
35,"Ost DE, Niu J, Zhao H. Quality gaps and comparative effectiveness of management strategies for recurrent malignant pleural effusions. Chest. 2018;153.",Quality gaps and comparative effectiveness of management strategies for recurrent malignant pleural effusions,Chest,2018,153,,,,,Ost DE; Niu J; Zhao H
36,"Walker SP, Bintcliffe O, Keenan E. Randomised trial of indwelling pleural catheters for refractory transudative pleural effusions. Eur Respir J. 2022;59:2101362.",Randomised trial of indwelling pleural catheters for refractory transudative pleural effusions,Eur Respir J,2022,59,,2101362,,,Walker SP; Bintcliffe O; Keenan E
37,"Bhatnagar R, Maskell N. The modern diagnosis and management of pleural effusions. BMJ. 2015;351:4520.",The modern diagnosis and management of pleural effusions,BMJ,2015,351,,4520,,,Bhatnagar R; Maskell N
38,"Temel JS, Greer JA, Muzikansky A. Early palliative care for patients with metastatic nonsmall-cell lung cancer. N Engl J Med. 2010;363.",Early palliative care for patients with metastatic nonsmall-cell lung cancer,N Engl J Med,2010,363,,,,,Temel JS; Greer JA; Muzikansky A
