#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Arbour KC, Riely GJ. Systemic therapy for locally advanced and metastatic non-small cell lung cancer: a review. JAMA. 2019;322. doi:10.1001/jama.2019.11058.",Systemic therapy for locally advanced and metastatic non-small cell lung cancer: a review,JAMA,2019,322,,,10.1001/jama.2019.11058,,Arbour KC; Riely GJ
12,"Vanderlaan PA, Yamaguchi N, Folch E. Success and failure rates of tumor genotyping techniques in routine pathological samples with non-small-cell lung cancer. Lung Cancer. 2014;84. doi:10.1016/j.lungcan.2014.01.013.",Success and failure rates of tumor genotyping techniques in routine pathological samples with non-small-cell lung cancer,Lung Cancer,2014,84,,,10.1016/j.lungcan.2014.01.013,,Vanderlaan PA; Yamaguchi N; Folch E
13,"Leighl NB, Page RD, Raymond VM. Clinical utility of comprehensive cell-free DNA analysis to identify genomic biomarkers in patients with newly diagnosed metastatic non-small cell lung cancer. Clin Cancer Res. 2019;25. doi:10.1158/1078-0432.CCR-19-0624.",Clinical utility of comprehensive cell-free DNA analysis to identify genomic biomarkers in patients with newly diagnosed metastatic non-small cell lung cancer,Clin Cancer Res,2019,25,,,10.1158/1078-0432.CCR-19-0624,,Leighl NB; Page RD; Raymond VM
14,"Billah S, Stewart J, Staerkel G. Egfr and KRAS mutations in lung carcinoma: molecular testing by using cytology specimens. Cancer Cytopathol. 2011;119. doi:10.1002/cncy.20151.",Egfr and KRAS mutations in lung carcinoma: molecular testing by using cytology specimens,Cancer Cytopathol,2011,119,,,10.1002/cncy.20151,,Billah S; Stewart J; Staerkel G
15,"Roy-Chowdhuri S, Goswami RS, Chen H. Factors affecting the success of nextgeneration sequencing in cytology specimens. Cancer Cytopathol. 2015;123. doi:10.1002/cncy.21597.",Factors affecting the success of nextgeneration sequencing in cytology specimens,Cancer Cytopathol,2015,123,,,10.1002/cncy.21597,,Roy-Chowdhuri S; Goswami RS; Chen H
16,"Kalhor N, Wistuba II. Perfecting the fine-needle aspirate cell block. Cancer Cytopathol. 2013;121. doi:10.1002/cncy.21284.",Perfecting the fine-needle aspirate cell block,Cancer Cytopathol,2013,121,,,10.1002/cncy.21284,,Kalhor N; Wistuba II
17,"Roy-Chowdhuri S, Chen H, Singh RR. Concurrent fine needle aspirations and core needle biopsies: a comparative study of substrates for next-generation sequencing in solid organ malignancies. Mod Pathol. 2017;30. doi:10.1038/modpathol.2016.228.",Concurrent fine needle aspirations and core needle biopsies: a comparative study of substrates for next-generation sequencing in solid organ malignancies,Mod Pathol,2017,30,,,10.1038/modpathol.2016.228,,Roy-Chowdhuri S; Chen H; Singh RR
18,"Kanagal-Shamanna R, Portier BP, Singh RR. Next-Generation sequencingbased multi-gene mutation profiling of solid tumors using fine needle aspiration samples: promises and challenges for routine clinical diagnostics. Mod Pathol. 2014;27. doi:10.1038/modpathol.2013.122.",Next-Generation sequencingbased multi-gene mutation profiling of solid tumors using fine needle aspiration samples: promises and challenges for routine clinical diagnostics,Mod Pathol,2014,27,,,10.1038/modpathol.2013.122,,Kanagal-Shamanna R; Portier BP; Singh RR
19,"Tang Z, Zhang J, Lu X. Coexistent genetic alterations involving ALK, RET, ROS1 or Met in 15 cases of lung adenocarcinoma. Mod Pathol. 2018;31. doi:10.1038/modpathol.2017.109.","Coexistent genetic alterations involving ALK, RET, ROS1 or Met in 15 cases of lung adenocarcinoma",Mod Pathol,2018,31,,,10.1038/modpathol.2017.109,,Tang Z; Zhang J; Lu X
20,"Ramani NS, Chen H, Broaddus RR. Utilization of cytology smears improves success rates of RNA-based next-generation sequencing gene fusion assays for clinically relevant predictive biomarkers. Cancer Cytopathol. 2020;None. doi:10.1002/cncy.22381.",Utilization of cytology smears improves success rates of RNA-based next-generation sequencing gene fusion assays for clinically relevant predictive biomarkers,Cancer Cytopathol,2020,,,,10.1002/cncy.22381,,Ramani NS; Chen H; Broaddus RR
21,"Noll B, Wang W, Gong Y. Programmed death ligand 1 testing in non-small cell lung carcinoma cytology cell block and aspirate smear preparations. Cancer Cytopathol. 2018;126. doi:10.1002/cncy.21987.",Programmed death ligand 1 testing in non-small cell lung carcinoma cytology cell block and aspirate smear preparations,Cancer Cytopathol,2018,126,,,10.1002/cncy.21987,,Noll B; Wang W; Gong Y
22,"Vanderlaan PA, Rangachari D, Costa DB. The rapidly evolving landscape of biomarker testing in non-small cell lung cancer. Cancer Cytopathol. 2020;None.",The rapidly evolving landscape of biomarker testing in non-small cell lung cancer,Cancer Cytopathol,2020,,,,,,Vanderlaan PA; Rangachari D; Costa DB
23,Vanderlaan PA. Collection and handling of thoracic small biopsy and cytology specimens for ancillary studies guideline from the College of American pathologists (CAP): implications for the cytology community. J Am Soc Cytopathol. 2020;9. doi:10.1016/j.jasc.2020.04.001.,Collection and handling of thoracic small biopsy and cytology specimens for ancillary studies guideline from the College of American pathologists (CAP): implications for the cytology community,J Am Soc Cytopathol,2020,9,,,10.1016/j.jasc.2020.04.001,,Vanderlaan PA
24,Roy-Chowdhuri S. A new guideline from the College of American pathologists to improve the adequacy of thoracic small specimens for ancillary studies. Cancer Cytopathol. 2020;128. doi:10.1002/cncy.22299.,A new guideline from the College of American pathologists to improve the adequacy of thoracic small specimens for ancillary studies,Cancer Cytopathol,2020,128,,,10.1002/cncy.22299,,Roy-Chowdhuri S
25,"Knoepp SM, Roh MH. Ancillary techniques on direct-smear aspirate slides: a significant evolution for cytopathology techniques. Cancer Cytopathol. 2013;121. doi:10.1002/cncy.21214.",Ancillary techniques on direct-smear aspirate slides: a significant evolution for cytopathology techniques,Cancer Cytopathol,2013,121,,,10.1002/cncy.21214,,Knoepp SM; Roh MH
26,"Betz BL, Dixon CA, Weigelin HC. The use of stained cytologic direct smears for ALK gene rearrangement analysis of lung adenocarcinoma. Cancer Cytopathol. 2013;121. doi:10.1002/cncy.21286.",The use of stained cytologic direct smears for ALK gene rearrangement analysis of lung adenocarcinoma,Cancer Cytopathol,2013,121,,,10.1002/cncy.21286,,Betz BL; Dixon CA; Weigelin HC
27,Roh MH. The utilization of cytologic fine-needle aspirates of lung cancer for molecular diagnostic testing. J Pathol Transl Med. 2015;49. doi:10.4132/jptm.2015.06.16.,The utilization of cytologic fine-needle aspirates of lung cancer for molecular diagnostic testing,J Pathol Transl Med,2015,49,,,10.4132/jptm.2015.06.16,,Roh MH
28,"Roh MH, Schmidt L, Placido J. The application and diagnostic utility of immunocytochemistry on direct smears in the diagnosis of pulmonary adenocarcinoma and squamous cell carcinoma. Diagn Cytopathol. 2012;40. doi:10.1002/dc.21680.",The application and diagnostic utility of immunocytochemistry on direct smears in the diagnosis of pulmonary adenocarcinoma and squamous cell carcinoma,Diagn Cytopathol,2012,40,,,10.1002/dc.21680,,Roh MH; Schmidt L; Placido J
