#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Tsuboi E, Ono R, Ishikawa S. Flexible Bronchofiberscope. Jap J Clin Oncol. 1971;1.",Flexible Bronchofiberscope,Jap J Clin Oncol,1971,1,,,,,Ikeda S; Tsuboi E; Ono R; Ishikawa S
12,"Van Der Drift M, Van Der Wilt G, Thunnissen F, Janssen JA. Prospective Study of the Timing and Cost-Effectiveness of Bronchial Washing During Bronchoscopy for Pulmonary Malignant Tumors. Chest. 2005;128.",Prospective Study of the Timing and Cost-Effectiveness of Bronchial Washing During Bronchoscopy for Pulmonary Malignant Tumors,Chest,2005,128,,,,,Van Der Drift M; Van Der Wilt G; Thunnissen F; Janssen JA
13, Subcommittee of the Standards of Care Committee of the British Thoracic Society. British Thoracic Society guidelines on diagnostic flexible bronchoscopy. Thorax. 2001;56.,Subcommittee of the Standards of Care Committee of the British Thoracic Society. British Thoracic Society guidelines on diagnostic flexible bronchoscopy,Thorax,2001,56,,,,,
14,"Bonella F, Ohshimo S, Bauer P, Guzman J, Costabel U. Bronchoalveolar lavage. Eur Respir Mon. 2010;48.",Bronchoalveolar lavage,Eur Respir Mon,2010,48,,,,,Bonella F; Ohshimo S; Bauer P; Guzman J; Costabel U
15,Wells A. The clinical utility of bronchoalveolar lavage in diffuse parenchymal lung disease. Eur Respir Rev. 2010;19.,The clinical utility of bronchoalveolar lavage in diffuse parenchymal lung disease,Eur Respir Rev,2010,19,,,,,Wells A
16,"Plekker D, Koegelenberg C, Bolliger CT. Different techniques of bronchoscopy. Eur Respir Mon. 2010;48.",Different techniques of bronchoscopy,Eur Respir Mon,2010,48,,,,,Plekker D; Koegelenberg C; Bolliger CT
17,"Michaelson ED, Serafini SM. Quantitative diferences in the cellular yield of two bronchial brushes. Am Rev Respir Dis. 1975;112.",Quantitative diferences in the cellular yield of two bronchial brushes,Am Rev Respir Dis,1975,112,,,,,Michaelson ED; Serafini SM
18,"Hanson FN, Wesselius LJ. Effect of bronchial brush size on cell recovery. Am Rev Respir Dis. 1987;136.",Effect of bronchial brush size on cell recovery,Am Rev Respir Dis,1987,136,,,,,Hanson FN; Wesselius LJ
19,"Sato M, Honda M, Sagawa M, Sakurada A, Endo C, Aikawa H. The efficacy of cell collection devices with a cytologic brush depends on the diameter of the bristles, not on the diameter of the brush. J of Bronchology. 2002;9.","The efficacy of cell collection devices with a cytologic brush depends on the diameter of the bristles, not on the diameter of the brush",J of Bronchology,2002,9,,,,,Sato M; Honda M; Sagawa M; Sakurada A; Endo C; Aikawa H
20,"Popp W, Merkle M, Schreiber B, Rauscher H, Ritschka L, Zwick H. How much brushing is enough for the diagnosis of lung tumors?. Cancer. 1992;70.",How much brushing is enough for the diagnosis of lung tumors?,Cancer,1992,70,,,,,Popp W; Merkle M; Schreiber B; Rauscher H; Ritschka L; Zwick H
21,"Carla L. Bronchial washing, Bronchoalveolar lavage, Bronchial brush and endobronchial biopsy. Bronchial washing, Bronchoalveolar lavage, Bronchial brush and endobronchial biopsy. 2009;None.","Bronchial washing, Bronchoalveolar lavage, Bronchial brush and endobronchial biopsy","Bronchial washing, Bronchoalveolar lavage, Bronchial brush and endobronchial biopsy",2009,,,,,,Carla L
22,"Gellert A, Rudd R, Sinha G, Geddes D. Fibreoptic bronchoscopy: effect of multiple bronchial biopsies on diagnostic yield in bronchial carcinoma. Thorax. 1982;37.",Fibreoptic bronchoscopy: effect of multiple bronchial biopsies on diagnostic yield in bronchial carcinoma,Thorax,1982,37,,,,,Gellert A; Rudd R; Sinha G; Geddes D
23,"Schreiber G, Mccrory D. Performance Characteristics of Different Modalities for Diagnosis of Suspected Lung Cancer. Summary of Published Evidence. Chest. 2003;123.",Performance Characteristics of Different Modalities for Diagnosis of Suspected Lung Cancer. Summary of Published Evidence,Chest,2003,123,,,,,Schreiber G; Mccrory D
24,"Matsuda M, Horai T, Nakamura S, Nishio H, Sakuma T, Ikegami H. Bronchial brushing and bronchial biopsy: comparison of diagnostic accuracy and cell typing reliability in lung cancer. Thorax. 1986;41.",Bronchial brushing and bronchial biopsy: comparison of diagnostic accuracy and cell typing reliability in lung cancer,Thorax,1986,41,,,,,Matsuda M; Horai T; Nakamura S; Nishio H; Sakuma T; Ikegami H
25,"Chen W, Chao T, Wu C, Perng W, Shen C, Chiang C. Comparison of the diagnostic yield of bronchial brushing cytology before and after endobronchial biopsy of flexible fiberoptic bronchoscopy ---A prospective study. J Med Sci. 1997;18.",Comparison of the diagnostic yield of bronchial brushing cytology before and after endobronchial biopsy of flexible fiberoptic bronchoscopy ---A prospective study,J Med Sci,1997,18,,,,,Chen W; Chao T; Wu C; Perng W; Shen C; Chiang C
26,"Tremblay A, Michaud G, Urbanski SJ. Hot biopsy forceps in the diagnosis of endobronchial lesions. Eur Respir J. 2007;29.",Hot biopsy forceps in the diagnosis of endobronchial lesions,Eur Respir J,2007,29,,,,,Tremblay A; Michaud G; Urbanski SJ
27,"Khana A, Aggarwala A, Agarwala R, Balb A, Guptaa DA. Randomized Controlled Trial of Electrocoagulation-Enabled Biopsy versus Conventional Biopsy in the Diagnosis of Endobronchial Lesions. Respiration. 2011;81.",Randomized Controlled Trial of Electrocoagulation-Enabled Biopsy versus Conventional Biopsy in the Diagnosis of Endobronchial Lesions,Respiration,2011,81,,,,,Khana A; Aggarwala A; Agarwala R; Balb A; Guptaa DA
28,"Schumann C, Hetzel J, Babiak AJ, Merk T, Wibmer T, Möller P. Cryoprobe biopsy increases the diagnostic yield in endobronchial tumor lesions. The Journal of Thoracic and Cardiovascular Surgery. 2010;140.",Cryoprobe biopsy increases the diagnostic yield in endobronchial tumor lesions,The Journal of Thoracic and Cardiovascular Surgery,2010,140,,,,,Schumann C; Hetzel J; Babiak AJ; Merk T; Wibmer T; Möller P
29,"Aktas Z, Gunay E, Hoca NT, Yilmaz A, Demirag F, Gunay S. Endobronchial cryobiopsy or forceps biopsy for lung cancer diagnosis. Ann Thorac Med. 2010;5.",Endobronchial cryobiopsy or forceps biopsy for lung cancer diagnosis,Ann Thorac Med,2010,5,,,,,Aktas Z; Gunay E; Hoca NT; Yilmaz A; Demirag F; Gunay S
30,"Hetzel J, Eberhardt R, Herth FJ, Petermann C, Reichle G, Freitag L. Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial. ERJ Express. 2011;None. doi:10.1183/09031936.00033011.",Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial,ERJ Express,2011,,,,10.1183/09031936.00033011,,Hetzel J; Eberhardt R; Herth FJ; Petermann C; Reichle G; Freitag L
31,"Casoni G, Gurioli C, Poletti V. Transbronchial Pulmonary Biopsies. Monaldi Arch Chest Dis. 2011;75.",Transbronchial Pulmonary Biopsies,Monaldi Arch Chest Dis,2011,75,,,,,Casoni G; Gurioli C; Poletti V
32,"Herth F, Eberhardt R, Becker H, Ernst A. Endobronchial Ultrasound-Guided Transbronchial Lung Biopsy in Fluoroscopically Invisible Solitary Pulmonary Nodules. Chest. 2006;129.",Endobronchial Ultrasound-Guided Transbronchial Lung Biopsy in Fluoroscopically Invisible Solitary Pulmonary Nodules,Chest,2006,129,,,,,Herth F; Eberhardt R; Becker H; Ernst A
33,"Herth F, Ernst A, Becker H. Endobronchial ultrasoundguided transbronchial lung biopsy in solitary pulmonary nodules and peripheral lesions. Eur Respir J. 2002;20.",Endobronchial ultrasoundguided transbronchial lung biopsy in solitary pulmonary nodules and peripheral lesions,Eur Respir J,2002,20,,,,,Herth F; Ernst A; Becker H
34,"Ensminger S, Prakash U. Is bronchoscopic lung biopsy helpful in the management of patients with diffuse lung disease?. Eur Respir J. 2006;28.",Is bronchoscopic lung biopsy helpful in the management of patients with diffuse lung disease?,Eur Respir J,2006,28,,,,,Ensminger S; Prakash U
35," BTS guidelines on the diagnosis, assessment and treatment of diffuse parenchymal lung disease in adults. Thorax. 1999;54(Suppl 1):S1.","BTS guidelines on the diagnosis, assessment and treatment of diffuse parenchymal lung disease in adults",Thorax,1999,54,Suppl 1,S1,,,
36,"Wang KP, Wise RA, Terry PB. Comparison of standard and enlarged forceps for transbronchial lung biopsy in the diagnosis of lung infiltrates. Endoscopy. 1980;12.",Comparison of standard and enlarged forceps for transbronchial lung biopsy in the diagnosis of lung infiltrates,Endoscopy,1980,12,,,,,Wang KP; Wise RA; Terry PB
37,"Jabbardarjani H, Eslaminejad A, Mohammadtaheri Z, Kiani A, Arab A, Masjedi M. The Effect of Cup Versus Alligator Forceps on the Results of Transbronchial Lung Biopsy. Journal of Bronchology. 2010;17.",The Effect of Cup Versus Alligator Forceps on the Results of Transbronchial Lung Biopsy,Journal of Bronchology,2010,17,,,,,Jabbardarjani H; Eslaminejad A; Mohammadtaheri Z; Kiani A; Arab A; Masjedi M
38,"Smith L, Seaquist M, Schillaci R. Comparison of forceps used for transbronchial lung biopsy. Bigger may not be better. Chest. 1985;87.",Comparison of forceps used for transbronchial lung biopsy. Bigger may not be better,Chest,1985,87,,,,,Smith L; Seaquist M; Schillaci R
39,"Babiak A, Hetzel J, Krishna G, Fritz P, Moeller P, Balli T. Transbronchial Cryobiopsy: A New Tool for Lung Biopsies. Respiration. 2009;78.",Transbronchial Cryobiopsy: A New Tool for Lung Biopsies,Respiration,2009,78,,,,,Babiak A; Hetzel J; Krishna G; Fritz P; Moeller P; Balli T
40,"Bolliger C, Mathur P, Beamis J, Becker H, Cavaliere S, Colt H. ERS/ATS statement on interventional pulmonology. Eur Respir J. 2002;19.",ERS/ATS statement on interventional pulmonology,Eur Respir J,2002,19,,,,,Bolliger C; Mathur P; Beamis J; Becker H; Cavaliere S; Colt H
41,"Wang KP, Selcuk ZT, Erozan Y. Transbronchial needle aspiration for cytological specimens. Monaldi Arch Chest Dis. 1994;49.",Transbronchial needle aspiration for cytological specimens,Monaldi Arch Chest Dis,1994,49,,,,,Wang KP; Selcuk ZT; Erozan Y
42,Wang K. Transbronchial needle aspiration to obtain histology specimen. J of Bronchology. 1994;1.,Transbronchial needle aspiration to obtain histology specimen,J of Bronchology,1994,1,,,,,Wang K
43,"Dasgupta A, Mehta AC. Transbronchial needle aspiration. An underused diagnostic technique. Clin Chest Med. 1999;20.",Transbronchial needle aspiration. An underused diagnostic technique,Clin Chest Med,1999,20,,,,,Dasgupta A; Mehta AC
44,"Bugalho A, Doris M, Hamacher J, Eberhardt R, Herth F. Endobronchial ultrasound: Practical aspects and clinical applications. Rev Port Pneumol. 2008;XIV.",Endobronchial ultrasound: Practical aspects and clinical applications,Rev Port Pneumol,2008,XIV,,,,,Bugalho A; Doris M; Hamacher J; Eberhardt R; Herth F
45,"Sharma M, Arya C, Somasundaram A, Rameshbabu C. Techniques of Linear Endobronchial Ultrasound Imaging. J Bronchol Intervent Pulmonol. 2010;17.",Techniques of Linear Endobronchial Ultrasound Imaging,J Bronchol Intervent Pulmonol,2010,17,,,,,Sharma M; Arya C; Somasundaram A; Rameshbabu C
46,"Diette G, White P, Terry P, Jenckes M, Rosenthal D, Rubin H. Utility of On-Site Cytopathology Assessment for bronchoscopic Evaluation of Lung Masses and Adenopathy. Chest. 2000;117.",Utility of On-Site Cytopathology Assessment for bronchoscopic Evaluation of Lung Masses and Adenopathy,Chest,2000,117,,,,,Diette G; White P; Terry P; Jenckes M; Rosenthal D; Rubin H
47,"Baram D, Garcia R, Richman P. Impact of Rapid On-Site Cytologic Evaluation During Transbronchial Needle Aspiration. Chest. 2005;128.",Impact of Rapid On-Site Cytologic Evaluation During Transbronchial Needle Aspiration,Chest,2005,128,,,,,Baram D; Garcia R; Richman P
48,Gasparini. It Is Time for This 'ROSE' to Flower. Respiration. 2005;72.,It Is Time for This 'ROSE' to Flower,Respiration,2005,72,,,,,Gasparini
49,"Chin R, Mccain T, Lucia M, Cappellari J, Adair N, Lovato J. Transbronchial Needle Aspiration in Diagnosing and Staging Lung Cancer. How Many Aspirates Are Needed?. Am J Respir Crit Care Med. 2002;166.",Transbronchial Needle Aspiration in Diagnosing and Staging Lung Cancer. How Many Aspirates Are Needed?,Am J Respir Crit Care Med,2002,166,,,,,Chin R; Mccain T; Lucia M; Cappellari J; Adair N; Lovato J
50,"Detterbeck FC, Jantz MA, Wallace MB, Vansteenkiste J, Silvestri GA. Invasive mediastinal staging of lung cancer. ACCP evidence based clinical practice guidelines. Chest. 2007;132.",Invasive mediastinal staging of lung cancer. ACCP evidence based clinical practice guidelines,Chest,2007,132,,,,,Detterbeck FC; Jantz MA; Wallace MB; Vansteenkiste J; Silvestri GA
51,"De Leyn P, Lardinois D, Van Schil PE, Rami-Porta R, Passlick B, Zielinski M. ESTS guidelines for preoperative lymph node staging for non-small cell lung cancer. Eur J Cardiothorac Surg. 2007;32.",ESTS guidelines for preoperative lymph node staging for non-small cell lung cancer,Eur J Cardiothorac Surg,2007,32,,,,,De Leyn P; Lardinois D; Van Schil PE; Rami-Porta R; Passlick B; Zielinski M
52,"Detterbeck F, Boffa D, Tanoue L. The New Lung Cancer Staging System. Chest. 2009;36.",The New Lung Cancer Staging System,Chest,2009,36,,,,,Detterbeck F; Boffa D; Tanoue L
53,"Tournoy K, Annema J, Krasnik M, Herth, Fand, Van Meerbeeck J. Endoscopic and Endobronchial Ultrasonography According to the Proposed Lymph Node Map Definition in the Seventh Edition of the Tumor, Node. Metastasis Classification for Lung Cancer. J Thorac Oncol. 2009;4.","Endoscopic and Endobronchial Ultrasonography According to the Proposed Lymph Node Map Definition in the Seventh Edition of the Tumor, Node. Metastasis Classification for Lung Cancer",J Thorac Oncol,2009,4,,,,,Tournoy K; Annema J; Krasnik M; Herth; Fand; Van Meerbeeck J
54,"Rand D, Barber A, Goldring P et al.. on behalf of the British Thoracic Society Interventional Bronchoscopy Guideline Group. British Thoracic Society guideline for advanced. diagnostic and therapeutic flexible bronchoscopy in adults. Thorax. 2011;66(1):21.",on behalf of the British Thoracic Society Interventional Bronchoscopy Guideline Group. British Thoracic Society guideline for advanced. diagnostic and therapeutic flexible bronchoscopy in adults,Thorax,2011,66,1,21,,,Rand D; Barber A; Goldring P; Lewis J; Mandal R; Munavvar S; M
55,"Dooms C, Seijo L, Gasparini S, Trisolini R, Ninane1 V, Tournoy K. Diagnostic bronchoscopy: state of the art. Eur Respir Rev. 2010;19.",Diagnostic bronchoscopy: state of the art,Eur Respir Rev,2010,19,,,,,Dooms C; Seijo L; Gasparini S; Trisolini R; Ninane1 V; Tournoy K
56,"Dasgupta A, Jain P, Minai O, Sandur S, Meli Y, Arroliga A. Utility of Transbronchial Needle Aspiration in the Diagnosis of Endobronchial Lesions. Chest. 1999;115.",Utility of Transbronchial Needle Aspiration in the Diagnosis of Endobronchial Lesions,Chest,1999,115,,,,,Dasgupta A; Jain P; Minai O; Sandur S; Meli Y; Arroliga A
57,"Caglayan B, Akturk U, Fidan A, Salepci B, Ozdogan S, Sarac G. Transbronchial Needle Aspiration in the Diagnosis of Endobronchial Malignant Lesions. Chest. 2005;128.",Transbronchial Needle Aspiration in the Diagnosis of Endobronchial Malignant Lesions,Chest,2005,128,,,,,Caglayan B; Akturk U; Fidan A; Salepci B; Ozdogan S; Sarac G
58,"Gullón J, Fernández R, Medina A, Rubinos G, Suárez I, Ramos C. Transbronchial Needle Aspiration in Bronchogenic Carcinoma With Visible Lesions: Diagnostic Yield and Cost. Arch Bronconeumol. 2003;39.",Transbronchial Needle Aspiration in Bronchogenic Carcinoma With Visible Lesions: Diagnostic Yield and Cost,Arch Bronconeumol,2003,39,,,,,Gullón J; Fernández R; Medina A; Rubinos G; Suárez I; Ramos C
59,"Morales M, Patefield A, Strollo P, Schenk D. Flexible Transbronchial Needle Aspiration in the Diagnosis of Sarcoidosis. Chest. 1994;106.",Flexible Transbronchial Needle Aspiration in the Diagnosis of Sarcoidosis,Chest,1994,106,,,,,Morales M; Patefield A; Strollo P; Schenk D
60,"Leonard C, Tormey V, 'keane O, Burke C, C. Bronchoscopic diagnosis of sarcoidosis. Eur Respir J. 1997;10.",Bronchoscopic diagnosis of sarcoidosis,Eur Respir J,1997,10,,,,,Leonard C; Tormey V; 'keane O; Burke C; C
61,"Charalambatou M, Katsiva B, Liapi G et al.. A comparison of transbronchial needle aspiration (TBNA) of mediastinal lymph nodes with transbronchial lung biopsy (TBB) in the diagnosis of sarcoidosis. Pneumon. 2006;2.",A comparison of transbronchial needle aspiration (TBNA) of mediastinal lymph nodes with transbronchial lung biopsy (TBB) in the diagnosis of sarcoidosis,Pneumon,2006,2,,,,,Charalambatou M; Katsiva B; Liapi G; Karaindros D; Komis M; St T; Resvani A
62,"Suratt P, Smiddy J, Gruber B. Deaths and Complications Associated with Fiberoptic Bronchoscopy. Chest. 1976;69.",Deaths and Complications Associated with Fiberoptic Bronchoscopy,Chest,1976,69,,,,,Suratt P; Smiddy J; Gruber B
63,"Simpson F, Arnold A, Purvis A, Belfield P, Muers M, Cooke N. Postal survey of bronchoscopic practice by physicians in the United Kingdom. Thorax. 1986;41.",Postal survey of bronchoscopic practice by physicians in the United Kingdom,Thorax,1986,41,,,,,Simpson F; Arnold A; Purvis A; Belfield P; Muers M; Cooke N
64,"Pue C, Pacht E. Complications of Fiberoptic Bronchoscopy at a University Hospital. Chest. 1995;107.",Complications of Fiberoptic Bronchoscopy at a University Hospital,Chest,1995,107,,,,,Pue C; Pacht E
65,"Pereira W, Kovnat D, Snider G. Prospective Cooperative Study of Complications following Flexible Fiberoptic Bronchoscopy. Chest. 1978;73.",Prospective Cooperative Study of Complications following Flexible Fiberoptic Bronchoscopy,Chest,1978,73,,,,,Pereira W; Kovnat D; Snider G
66,"Varela-Lema L, Fernández-Villar A, Ruano-Ravina A. Effectiveness and safety of endobronchial ultrasound---transbronchial needle aspiration: a systematic review. Eur Respir J. 2009;33.",Effectiveness and safety of endobronchial ultrasound---transbronchial needle aspiration: a systematic review,Eur Respir J,2009,33,,,,,Varela-Lema L; Fernández-Villar A; Ruano-Ravina A
67,Yasufuku K. Complications of Endobronchial Ultrasound-guided Transbronchial Needle Aspiration. J Bronchol Intervent Pulmonol. 2010;17.,Complications of Endobronchial Ultrasound-guided Transbronchial Needle Aspiration,J Bronchol Intervent Pulmonol,2010,17,,,,,Yasufuku K
68,"Zabaleta J, Izquierdo J, Pérez-Izquierdo J. Mediastinitis as a Complication after Fine Needle Aspiration using Ultrasound Guided Bronchoscopy. Arch Bronconeumol. 2010;46.",Mediastinitis as a Complication after Fine Needle Aspiration using Ultrasound Guided Bronchoscopy,Arch Bronconeumol,2010,46,,,,,Zabaleta J; Izquierdo J; Pérez-Izquierdo J
