#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Palliative care. Palliative care. 2017;None.,Palliative care,Palliative care,2017,,,,,,
41,"Hooper C, Lee Y, Maskell N, Pleural B, Group G. Investigation of a unilateral pleural effusion in adults: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65(Suppl 2).",Investigation of a unilateral pleural effusion in adults: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,Suppl 2,,,,Hooper C; Lee Y; Maskell N; Pleural B; Group G
42,"Jones PW, Moyers JP, Rogers JT. Ultrasoundguided thoracentesis: is it a safer method. Chest. 2003;123.",Ultrasoundguided thoracentesis: is it a safer method,Chest,2003,123,,,,,Jones PW; Moyers JP; Rogers JT
43,"Henderson DW, Reid G, Kao SC. Challenges and controversies in the diagnosis of mesothelioma: part 1. Cytology-only diagnosis, biopsies, immunohistochemistry, discrimination between mesothelioma and reactive mesothelial hyperplasia, and biomarkers. J Clin Pathol. 2013;66.","Challenges and controversies in the diagnosis of mesothelioma: part 1. Cytology-only diagnosis, biopsies, immunohistochemistry, discrimination between mesothelioma and reactive mesothelial hyperplasia, and biomarkers",J Clin Pathol,2013,66,,,,,Henderson DW; Reid G; Kao SC
44,"Walker S, Zubrinic M, Massey C. A prospective study of patient-centred outcomes in the management of malignant pleural effusions. Int J Palliat Nurs. 2016;22.",A prospective study of patient-centred outcomes in the management of malignant pleural effusions,Int J Palliat Nurs,2016,22,,,,,Walker S; Zubrinic M; Massey C
45,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC
46,"Lee Y, Fysh E, Thomas R. Australasian Malignant Pleural Effusion (AMPLE) trial: a multicentre randomised study comparing indwelling pleural catheter versus talc pleurodesis. Australasian Malignant Pleural Effusion (AMPLE) trial: a multicentre randomised study comparing indwelling pleural catheter versus talc pleurodesis. 2016;None. doi:10.1164/ajrccm-conference.2016.193.1_MeetingAbstracts.A7812.",Australasian Malignant Pleural Effusion (AMPLE) trial: a multicentre randomised study comparing indwelling pleural catheter versus talc pleurodesis,Australasian Malignant Pleural Effusion (AMPLE) trial: a multicentre randomised study comparing indwelling pleural catheter versus talc pleurodesis,2016,,,,10.1164/ajrccm-conference.2016.193.1_MeetingAbstracts.A7812,,Lee Y; Fysh E; Thomas R
47,"Wong WM, Tam TC, Wong MK. Managing malignant pleural effusion with an indwelling pleural catheter: factors associated with spontaneous pleurodesis. Hong Kong Med J. 2016;22.",Managing malignant pleural effusion with an indwelling pleural catheter: factors associated with spontaneous pleurodesis,Hong Kong Med J,2016,22,,,,,Wong WM; Tam TC; Wong MK
48,"Martı ´nez-Morago ´n E, Aparicio J, Sanchis J. Malignant pleural effusion: prognostic factors for survival and response to chemical pleurodesis in a series of 120 cases. Respiration. 1998;65.",Malignant pleural effusion: prognostic factors for survival and response to chemical pleurodesis in a series of 120 cases,Respiration,1998,65,,,,,Martı ´nez-Morago ´n E; Aparicio J; Sanchis J
49,"Olden AM, Holloway R. Treatment of malignant pleural effusion: PleuRx catheter or talc pleurodesis? A costeffectiveness analysis. J Palliat Med. 2010;13.",Treatment of malignant pleural effusion: PleuRx catheter or talc pleurodesis? A costeffectiveness analysis,J Palliat Med,2010,13,,,,,Olden AM; Holloway R
50,"Puri V, Pyrdeck TL, Crabtree TD. Treatment of malignant pleural effusion: a cost-effectiveness analysis. Ann Thorac Surg. 2012;94.",Treatment of malignant pleural effusion: a cost-effectiveness analysis,Ann Thorac Surg,2012,94,,,,,Puri V; Pyrdeck TL; Crabtree TD
51,"Van Meter M, Mckee KY, Kohlwes RJ. Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review. J Gen Intern Med. 2011;26.",Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review,J Gen Intern Med,2011,26,,,,,Van Meter M; Mckee KY; Kohlwes RJ
52,"Fysh E, Tremblay A, Feller-Kopman D. Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study. Chest. 2013;144.",Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study,Chest,2013,144,,,,,Fysh E; Tremblay A; Feller-Kopman D
53,"Thomas R, Piccolo F, Miller D. Intrapleural fibrinolysis for the treatment of indwelling pleural catheter-related symptomatic loculations: a multicenter observational study. Chest. 2015;148.",Intrapleural fibrinolysis for the treatment of indwelling pleural catheter-related symptomatic loculations: a multicenter observational study,Chest,2015,148,,,,,Thomas R; Piccolo F; Miller D
54,"Thomas R, Budgeon CA, Kuok YJ. Catheter tract metastasis associated with indwelling pleural catheters. Chest. 2014;146.",Catheter tract metastasis associated with indwelling pleural catheters,Chest,2014,146,,,,,Thomas R; Budgeon CA; Kuok YJ
55,"Lui M, Thomas R, Lee Y. Complications of indwelling pleural catheter use and their management. BMJ Open Respir Res. 2016;3:e000123.",Complications of indwelling pleural catheter use and their management,BMJ Open Respir Res,2016,3,,e000123,,,Lui M; Thomas R; Lee Y
56,"Santos RS, Raftopoulos Y, Keenan RJ. Bronchoscopic palliation of primary lung cancer: single or multimodality therapy?. Surg Endosc. 2004;18.",Bronchoscopic palliation of primary lung cancer: single or multimodality therapy?,Surg Endosc,2004,18,,,,,Santos RS; Raftopoulos Y; Keenan RJ
57,"Kazi AA, Flowers WJ, Barrett JM. Ethical issues in laryngology: tracheal stenting as palliative care. Laryngoscope. 2014;124.",Ethical issues in laryngology: tracheal stenting as palliative care,Laryngoscope,2014,124,,,,,Kazi AA; Flowers WJ; Barrett JM
58,"Guibert N, Mhanna L, Droneau S. Techniques of endoscopic airway tumor treatment. J Thorac Dis. 2016;8.",Techniques of endoscopic airway tumor treatment,J Thorac Dis,2016,8,,,,,Guibert N; Mhanna L; Droneau S
59,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97.,A dedicated tracheobronchial stent,Chest,1990,97,,,,,Dumon JF
60,"Marchese R, Poidomani G, Paglino G. Fully covered self-expandable metal stent in tracheobronchial disorders: clinical experience. Respiration. 2015;89.",Fully covered self-expandable metal stent in tracheobronchial disorders: clinical experience,Respiration,2015,89,,,,,Marchese R; Poidomani G; Paglino G
61,"Bolliger CT, Breitenbuecher A, Brutsche M. Use of studded Polyflex stents in patients with neoplastic obstructions of the central airways. Respiration. 2004;71.",Use of studded Polyflex stents in patients with neoplastic obstructions of the central airways,Respiration,2004,71,,,,,Bolliger CT; Breitenbuecher A; Brutsche M
62,"Freitag L, Eicker R, Linz B. Theoretical and experimental basis for the development of a dynamic airway stent. Eur Respir J. 1994;7.",Theoretical and experimental basis for the development of a dynamic airway stent,Eur Respir J,1994,7,,,,,Freitag L; Eicker R; Linz B
63,"Furukawa K, Ishida J, Yamaguchi G. The role of airway stent placement in the management of tracheobronchial stenosis caused by inoperable advanced lung cancer. Surg Today. 2010;40.",The role of airway stent placement in the management of tracheobronchial stenosis caused by inoperable advanced lung cancer,Surg Today,2010,40,,,,,Furukawa K; Ishida J; Yamaguchi G
64,"Mahmood K, Wahidi MM. Ablative therapies for central airway obstruction. Semin Respir Crit Care Med. 2014;35.",Ablative therapies for central airway obstruction,Semin Respir Crit Care Med,2014,35,,,,,Mahmood K; Wahidi MM
65,"Khemasuwan D, Mehta AC, Wang K. Past, present, and future of endobronchial laser photoresection. J Thorac Dis. 2015;7.","Past, present, and future of endobronchial laser photoresection",J Thorac Dis,2015,7,,,,,Khemasuwan D; Mehta AC; Wang K
66,"Tv B, Muller M, Venmans B. Nd-YAG laser vs bronchoscopic electrocautery for palliation of symptomatic airway obstruction: a cost-effectiveness study. Chest. 1999;116.",Nd-YAG laser vs bronchoscopic electrocautery for palliation of symptomatic airway obstruction: a cost-effectiveness study,Chest,1999,116,,,,,Tv B; Muller M; Venmans B
67,"Crosta C, Spaggiari L, Stefano D, A. Endoscopic argon plasma coagulation for palliative treatment of malignant airway obstructions: early results in 47 cases. Lung Cancer. 2001;33.",Endoscopic argon plasma coagulation for palliative treatment of malignant airway obstructions: early results in 47 cases,Lung Cancer,2001,33,,,,,Crosta C; Spaggiari L; Stefano D; A
68,"Morice RC, Ece T, Ece F. Endobronchial argon plasma coagulation for treatment of hemoptysis and neoplastic airway obstruction. Chest. 2001;119.",Endobronchial argon plasma coagulation for treatment of hemoptysis and neoplastic airway obstruction,Chest,2001,119,,,,,Morice RC; Ece T; Ece F
69,"Masuda E, Sista AK, Pua BB. Palliative procedures in lung cancer. Semin Intervent Radiol. 2013;30.",Palliative procedures in lung cancer,Semin Intervent Radiol,2013,30,,,,,Masuda E; Sista AK; Pua BB
70,"Wang GR, Ensor JE, Gupta S. Bronchial artery embolization for the management of hemoptysis in oncology patients: utility and prognostic factors. J Vasc Interv Radiol. 2009;20.",Bronchial artery embolization for the management of hemoptysis in oncology patients: utility and prognostic factors,J Vasc Interv Radiol,2009,20,,,,,Wang GR; Ensor JE; Gupta S
71,"Ong T, Eng P. Massive hemoptysis requiring intensive care. Intensive Care Med. 2003;29.",Massive hemoptysis requiring intensive care,Intensive Care Med,2003,29,,,,,Ong T; Eng P
72,"Conlan AA, Hurwitz SS. Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage. Thorax. 1980;35.",Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage,Thorax,1980,35,,,,,Conlan AA; Hurwitz SS
73,"Valipour A, Kreuzer A, Koller H. Bronchoscopyguided topical hemostatic tamponade therapy for the management of life-threatening hemoptysis. Chest. 2005;127.",Bronchoscopyguided topical hemostatic tamponade therapy for the management of life-threatening hemoptysis,Chest,2005,127,,,,,Valipour A; Kreuzer A; Koller H
74,"Simoff MJ, Lally B, Slade MG. Symptom management in patients with lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Symptom management in patients with lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Simoff MJ; Lally B; Slade MG
75,"Mal H, Rullon I, Mellot F. Immediate and longterm results of bronchial artery embolization for lifethreatening hemoptysis. Chest. 1999;115.",Immediate and longterm results of bronchial artery embolization for lifethreatening hemoptysis,Chest,1999,115,,,,,Mal H; Rullon I; Mellot F
76,"Gillespie CT, Sterman DH, Cerfolio RJ. Endobronchial valve treatment for prolonged air leaks of the lung: a case series. Ann Thorac Surg. 2011;91.",Endobronchial valve treatment for prolonged air leaks of the lung: a case series,Ann Thorac Surg,2011,91,,,,,Gillespie CT; Sterman DH; Cerfolio RJ
77, Humanitarian device exemption (HDE). Humanitarian device exemption (HDE). 2017;None.,Humanitarian device exemption (HDE),Humanitarian device exemption (HDE),2017,,,,,,
78,"Hance JM, Martin JT, Mullett TW. Endobronchial valves in the treatment of persistent air leaks. Ann Thorac Surg. 2015;100.",Endobronchial valves in the treatment of persistent air leaks,Ann Thorac Surg,2015,100,,,,,Hance JM; Martin JT; Mullett TW
79,"Gaspard D, Bartter T, Boujaoude Z. Endobronchial valves for bronchopleural fistula: pitfalls and principles. Ther Adv Respir Dis. 2017;11.",Endobronchial valves for bronchopleural fistula: pitfalls and principles,Ther Adv Respir Dis,2017,11,,,,,Gaspard D; Bartter T; Boujaoude Z
80,"Slebos D, Shah PL, Herth F. Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from expert panel on endoscopic lung volume reduction. Respiration. 2017;93.",Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from expert panel on endoscopic lung volume reduction,Respiration,2017,93,,,,,Slebos D; Shah PL; Herth F
