#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Murray CJ, Lopez AD. Measuring the global burden of disease. N Engl J Med. 2013;369(5).",Measuring the global burden of disease,N Engl J Med,2013,369,5,,,,Murray CJ; Lopez AD
12,"Eberhardt R, Gerovasili V, Kontogianni K, Gompelmann D, Ehlken N, Herth FJ. Endoscopic lung volume reduction with endobronchial valves in patients with severe emphysema and established pulmonary hypertension. Respiration. 2015;89(1).",Endoscopic lung volume reduction with endobronchial valves in patients with severe emphysema and established pulmonary hypertension,Respiration,2015,89,1,,,,Eberhardt R; Gerovasili V; Kontogianni K; Gompelmann D; Ehlken N; Herth FJ
13,"Darwiche K, Karpf-Wissel R, Eisenmann S, Aigner C, Welter S, Zarogoulidis P. Bronchoscopic Lung Volume Reduction with Endobronchial Valves in Low-FEV1 Patients. Respiration. 2016;92(6).",Bronchoscopic Lung Volume Reduction with Endobronchial Valves in Low-FEV1 Patients,Respiration,2016,92,6,,,,Darwiche K; Karpf-Wissel R; Eisenmann S; Aigner C; Welter S; Zarogoulidis P
14,"Trudzinski FC, Höink AJ, Leppert D, Fähndrich S, Wilkens H, Graeter TP. Endoscopic Lung Volume Reduction Using Endobronchial Valves in Patients with Severe Emphysema and Very Low FEV1. Respiration. 2016;92(4).",Endoscopic Lung Volume Reduction Using Endobronchial Valves in Patients with Severe Emphysema and Very Low FEV1,Respiration,2016,92,4,,,,Trudzinski FC; Höink AJ; Leppert D; Fähndrich S; Wilkens H; Graeter TP
15,"Mets OM, De Jong PA, Prokop M. Computed tomographic screening for lung cancer: an opportunity to evaluate other diseases. JAMA. 2012;308(14).",Computed tomographic screening for lung cancer: an opportunity to evaluate other diseases,JAMA,2012,308,14,,,,Mets OM; De Jong PA; Prokop M
16,"Labaki WW, Martinez CH, Martinez FJ, Galbán CJ, Ross BD, Washko GR. The Role of Chest Computed Tomography in the Evaluation and Management of the Patient with Chronic Obstructive Pulmonary Disease. Am J Respir Crit Care Med. 2017;196(11).",The Role of Chest Computed Tomography in the Evaluation and Management of the Patient with Chronic Obstructive Pulmonary Disease,Am J Respir Crit Care Med,2017,196,11,,,,Labaki WW; Martinez CH; Martinez FJ; Galbán CJ; Ross BD; Washko GR
17,"Mets OM, Smit EJ, Hoesein M et al.. Visual versus automated evaluation of chest computed tomography for the presence of chronic obstructive pulmonary disease. PLoS One. 2012;7(7):42227.",Visual versus automated evaluation of chest computed tomography for the presence of chronic obstructive pulmonary disease,PLoS One,2012,7,7,42227,,,Mets OM; Smit EJ; Hoesein M; Gietema FA; Bokkers HA; Attrach RP; M
18,"Koster TD, Van Rikxoort EM, Huebner RH, Doellinger F, Klooster K, Charbonnier JP. Predicting Lung Volume Reduction after Endobronchial Valve Therapy Is Maximized Using a Combination of Diagnostic Tools. Respiration. 2016;92(3).",Predicting Lung Volume Reduction after Endobronchial Valve Therapy Is Maximized Using a Combination of Diagnostic Tools,Respiration,2016,92,3,,,,Koster TD; Van Rikxoort EM; Huebner RH; Doellinger F; Klooster K; Charbonnier JP
19,"Herth FJ, Eberhardt R, Gompelmann D, Ficker JH, Wagner M, Ek L. Radiological and clinical outcomes of using Chartis TM to plan endobronchial valve treatment. Eur Respir J. 2013;41(2).",Radiological and clinical outcomes of using Chartis TM to plan endobronchial valve treatment,Eur Respir J,2013,41,2,,,,Herth FJ; Eberhardt R; Gompelmann D; Ficker JH; Wagner M; Ek L
20,"Welling JB, Hartman JE, Hacken T et al.. Chartis Measurement of Collateral Ventilation: Conscious Sedation versus General Anesthesia -A Retrospective Comparison. Respiration. 2018;96(5).",Chartis Measurement of Collateral Ventilation: Conscious Sedation versus General Anesthesia -A Retrospective Comparison,Respiration,2018,96,5,,,,Welling JB; Hartman JE; Hacken T; Franz NH; Charbonnier I; Van Rikxoort JP; EM
21,"Sciurba FC, Ernst A, Herth FJ, Strange C, Criner GJ, Marquette CH. VENT Study Research Group. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363(13).",VENT Study Research Group. A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,13,,,,Sciurba FC; Ernst A; Herth FJ; Strange C; Criner GJ; Marquette CH
22,"Valipour A, Slebos DJ, Herth F, Darwiche K, Wagner M, Ficker JH. IMPACT Study Team. Endobronchial Valve Therapy in Patients with Homogeneous Emphysema. Results from the IMPACT Study. Am J Respir Crit Care Med. 2016;194(9).",IMPACT Study Team. Endobronchial Valve Therapy in Patients with Homogeneous Emphysema. Results from the IMPACT Study,Am J Respir Crit Care Med,2016,194,9,,,,Valipour A; Slebos DJ; Herth F; Darwiche K; Wagner M; Ficker JH
23,"Kemp SV, Slebos D, Kirk A et al.. A Multicenter, Prospective, Randomized, Controlled Trial of Endobronchial Valve Treatment vs Standard of Care in Heterogeneous Emphysema (TRANSFORM). Am J Respir Crit Care Med. 2017;195:6740.","A Multicenter, Prospective, Randomized, Controlled Trial of Endobronchial Valve Treatment vs Standard of Care in Heterogeneous Emphysema (TRANSFORM)",Am J Respir Crit Care Med,2017,195,,6740,,,Kemp SV; Slebos D; Kirk A; Kornaszewska M; Carron K; Ek L; Mal H; Pison C; Downer NJ; Broman G; Darwiche K; Rao J; Hubner R; Trosini-Desert V; Eberhardt R; Herth F; Derom E; Marquette CH
24,"Herth FJ, Noppen M, Valipour A, Leroy S, Vergnon JM, Ficker JH. International VENT Study Group. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39(6).",International VENT Study Group. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,6,,,,Herth FJ; Noppen M; Valipour A; Leroy S; Vergnon JM; Ficker JH
25,"Klooster K, Ten Hacken NN, Slebos DJ. Endobronchial Valves for Emphysema. N Engl J Med. 2016;374(14):1390.",Endobronchial Valves for Emphysema,N Engl J Med,2016,374,14,1390,,,Klooster K; Ten Hacken NN; Slebos DJ
26,"Davey C, Zoumot Z, Jordan S, Mcnulty WH, Carr DH, Hind MD. Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial. Lancet. 2015;386.",Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial,Lancet,2015,386,,,,,Davey C; Zoumot Z; Jordan S; Mcnulty WH; Carr DH; Hind MD
27,Criner GJ. A Multicenter Randomized Controlled Trial of Zephyr Endobronchial Valve Treatment in Heterogeneous Emphysema (LIBERATE). Am J Respir Crit Care Med. 2018;198(9).,A Multicenter Randomized Controlled Trial of Zephyr Endobronchial Valve Treatment in Heterogeneous Emphysema (LIBERATE),Am J Respir Crit Care Med,2018,198,9,,,,Criner GJ
28,"Wang G, Li S, Wang C et al.. The REACH study, a randomized controlled trial assessing the safety and effectiveness of the Spiration Valve System endobronchial therapy for severe emphysema: 12 month follow-up results. Eur Respir J. 2018;50:1465.","The REACH study, a randomized controlled trial assessing the safety and effectiveness of the Spiration Valve System endobronchial therapy for severe emphysema: 12 month follow-up results",Eur Respir J,2018,50,,1465,,,Wang G; Li S; Wang C; Gao X; Yang JF; Han H; Zhou B; Chen R; Chen C; Bai L; Shen C; Zhong H; N
29,"Criner GD, Voelker K. Endobronchial Valves for Severe Emphysema -12-month Results of the EMPROVE Trial. Eur Respir J. 2018;None:4928.",Endobronchial Valves for Severe Emphysema -12-month Results of the EMPROVE Trial,Eur Respir J,2018,,,4928,,,Criner GD; Voelker K
30,"Gompelmann D, Benjamin N, Kontogianni K, Herth F, Heussel CP, Hoffmann H. Clinical and radiological outcome following pneumothorax after endoscopic lung volume reduction with valves. Int J Chron Obstruct Pulmon Dis. 2016;11.",Clinical and radiological outcome following pneumothorax after endoscopic lung volume reduction with valves,Int J Chron Obstruct Pulmon Dis,2016,11,,,,,Gompelmann D; Benjamin N; Kontogianni K; Herth F; Heussel CP; Hoffmann H
31,"Gompelmann D, Herth FJ, Slebos DJ, Valipour A, Ernst A, Criner GJ. Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema. Respiration. 2014;87(6).",Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema,Respiration,2014,87,6,,,,Gompelmann D; Herth FJ; Slebos DJ; Valipour A; Ernst A; Criner GJ
32,"Van Geffen WH, Klooster K, Hartman JE et al.. Pleural Adhesion Assessment as a Predictor for Pneumothorax after Endobronchial Valve Treatment. Respiration. 2017;94(2).",Pleural Adhesion Assessment as a Predictor for Pneumothorax after Endobronchial Valve Treatment,Respiration,2017,94,2,,,,Van Geffen WH; Klooster K; Hartman JE; Hacken T; Kerstjens NH; Wolf HA; RF
33,"Gompelmann D, Lim HJ, Eberhardt R, Gerovasili V, Herth FJ, Heussel CP. Predictors of pneumothorax following endoscopic valve therapy in patients with severe emphysema. Int J Chron Obstruct Pulmon Dis. 2016;11.",Predictors of pneumothorax following endoscopic valve therapy in patients with severe emphysema,Int J Chron Obstruct Pulmon Dis,2016,11,,,,,Gompelmann D; Lim HJ; Eberhardt R; Gerovasili V; Herth FJ; Heussel CP
34,"Valipour A, Slebos DJ, De Oliveira HG, Eberhardt R, Freitag L, Criner GJ. Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema-potential mechanisms, treatment algorithm, and case examples. Respiration. 2014;87(6).","Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema-potential mechanisms, treatment algorithm, and case examples",Respiration,2014,87,6,,,,Valipour A; Slebos DJ; De Oliveira HG; Eberhardt R; Freitag L; Criner GJ
35,"Klooster K, Hartman JE, Hacken T, Slebos NH, DJ. Improved Predictors of Survival after Endobronchial Valve Treatment in Patients with Severe Emphysema. Am J Respir Crit Care Med. 2017;195(9).",Improved Predictors of Survival after Endobronchial Valve Treatment in Patients with Severe Emphysema,Am J Respir Crit Care Med,2017,195,9,,,,Klooster K; Hartman JE; Hacken T; Slebos NH; DJ
36,"Gompelmann D, Benjamin N, Bischoff E et al.. Survival after endoscopic valve therapy in patients with severe emphysema. Eur Respir J. None;None. doi:10.1159/000492274.",Survival after endoscopic valve therapy in patients with severe emphysema,Eur Respir J,,,,,10.1159/000492274,,Gompelmann D; Benjamin N; Bischoff E; Hoffmann H; Heussel C; Herth F; Eberhardt R
37,"Garner J, Kemp SV, Toma TP, Hansell DM, Polkey MI, Shah PL. Survival after Endobronchial Valve Placement for Emphysema: A 10-Year Follow-up Study. Am J Respir Crit Care Med. 2016;194(4).",Survival after Endobronchial Valve Placement for Emphysema: A 10-Year Follow-up Study,Am J Respir Crit Care Med,2016,194,4,,,,Garner J; Kemp SV; Toma TP; Hansell DM; Polkey MI; Shah PL
38,"Shah PL, Zoumot Z, Singh S, Bicknell SR, Ross ET, Quiring J. RESET trial Study Group. Endobronchial coils for the treatment of severe emphysema with hyperinflation (RE-SET): a randomised controlled trial. Lancet Respir Med. 2013;1(3). doi:10.1159/000496122.",RESET trial Study Group. Endobronchial coils for the treatment of severe emphysema with hyperinflation (RE-SET): a randomised controlled trial,Lancet Respir Med,2013,1,3,,10.1159/000496122,,Shah PL; Zoumot Z; Singh S; Bicknell SR; Ross ET; Quiring J
39,"Klooster K, Hacken T, Franz NH et al.. Lung volume reduction coil treatment in chronic obstructive pulmonary disease patients with homogeneous emphysema: a prospective feasibility trial. Respiration. 2014;88(2).",Lung volume reduction coil treatment in chronic obstructive pulmonary disease patients with homogeneous emphysema: a prospective feasibility trial,Respiration,2014,88,2,,,,Klooster K; Hacken T; Franz NH; Kerstjens I; Van Rikxoort HA; Slebos EM; DJ
40,"Kontogianni K, Gerovasili V, Gompelmann D, Schuhmann M, Hoffmann H, Heussel CP. Coil therapy for patients with severe emphysema and bilateral incomplete fissureseffectiveness and complications after 1-year follow-up: a single-center experience. Int J Chron Obstruct Pulmon Dis. 2017;12.",Coil therapy for patients with severe emphysema and bilateral incomplete fissureseffectiveness and complications after 1-year follow-up: a single-center experience,Int J Chron Obstruct Pulmon Dis,2017,12,,,,,Kontogianni K; Gerovasili V; Gompelmann D; Schuhmann M; Hoffmann H; Heussel CP
41,"Slebos DJ, Hartman JE, Klooster K, Blaas S, Deslee G, Gesierich W. Bronchoscopic Coil Treatment for Patients with Severe Emphysema: A Meta-Analysis. Respiration. 2015;90(2).",Bronchoscopic Coil Treatment for Patients with Severe Emphysema: A Meta-Analysis,Respiration,2015,90,2,,,,Slebos DJ; Hartman JE; Klooster K; Blaas S; Deslee G; Gesierich W
42,"Deslée G, Mal H, Dutau H, Bourdin A, Vergnon JM, Pison C. Lung Volume Reduction Coil Treatment vs Usual Care in Patients With Severe Emphysema: The REVOLENS Randomized Clinical Trial. JAMA. 2016;315(2).",Lung Volume Reduction Coil Treatment vs Usual Care in Patients With Severe Emphysema: The REVOLENS Randomized Clinical Trial,JAMA,2016,315,2,,,,Deslée G; Mal H; Dutau H; Bourdin A; Vergnon JM; Pison C
43,"Sciurba FC, Criner GJ, Strange C, Shah PL, Michaud G, Connolly TA. RENEW Study Research Group. Effect of Endobronchial Coils vs Usual Care on Exercise Tolerance in Patients With Severe Emphysema: The RENEW Randomized Clinical Trial. JAMA. 2016;315(20).",RENEW Study Research Group. Effect of Endobronchial Coils vs Usual Care on Exercise Tolerance in Patients With Severe Emphysema: The RENEW Randomized Clinical Trial,JAMA,2016,315,20,,,,Sciurba FC; Criner GJ; Strange C; Shah PL; Michaud G; Connolly TA
44,"Herth FJ, Valipour A, Shah PL, Eberhardt R, Grah C, Egan J. Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallel-group, openlabel, randomised controlled STEP-UP trial. Lancet Respir Med. 2016;4(3).","Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallel-group, openlabel, randomised controlled STEP-UP trial",Lancet Respir Med,2016,4,3,,,,Herth FJ; Valipour A; Shah PL; Eberhardt R; Grah C; Egan J
45,"Shah PL, Gompelmann D, Valipour A, Mc-Nulty WH, Eberhardt R, Grah C. Thermal vapour ablation to reduce segmental volume in patients with severe emphysema: STEP-UP 12 month results. Lancet Respir Med. 2016;4(9).",Thermal vapour ablation to reduce segmental volume in patients with severe emphysema: STEP-UP 12 month results,Lancet Respir Med,2016,4,9,,,,Shah PL; Gompelmann D; Valipour A; Mc-Nulty WH; Eberhardt R; Grah C
46,"Come CE, Kramer MR, Dransfield MT, Abu-Hijleh M, Berkowitz D, Bezzi M. A randomised trial of lung sealant versus medical therapy for advanced emphysema. Eur Respir J. 2015;46(3).",A randomised trial of lung sealant versus medical therapy for advanced emphysema,Eur Respir J,2015,46,3,,,,Come CE; Kramer MR; Dransfield MT; Abu-Hijleh M; Berkowitz D; Bezzi M
47,"Kramer MR, Refaely Y, Maimon N, Rosengarten D, Fruchter O. Bilateral endoscopic sealant lung volume reduction therapy for advanced emphysema. Chest. 2012;142(5).",Bilateral endoscopic sealant lung volume reduction therapy for advanced emphysema,Chest,2012,142,5,,,,Kramer MR; Refaely Y; Maimon N; Rosengarten D; Fruchter O
48,"Herth FJ, Gompelmann D, Stanzel F, Bonnet R, Behr J, Schmidt B. Treatment of advanced emphysema with emphysematous lung sealant (AeriSeal ® ). Respiration. 2011;82(1).",Treatment of advanced emphysema with emphysematous lung sealant (AeriSeal ® ),Respiration,2011,82,1,,,,Herth FJ; Gompelmann D; Stanzel F; Bonnet R; Behr J; Schmidt B
49,"Fuehner T, Clajus C, Fuge J, Jonigk D, Welte T, Haverich A. Lung transplantation after endoscopic lung volume reduction. Respiration. 2015;90(3).",Lung transplantation after endoscopic lung volume reduction,Respiration,2015,90,3,,,,Fuehner T; Clajus C; Fuge J; Jonigk D; Welte T; Haverich A
50,"Li S, Wang G, Wang C et al.. The REACH Trial: A Randomized Controlled Trial Assessing the Safety and Effectiveness of the Spiration ® Valve System in the Treatment of Severe Emphysema. Respiration. None;None. doi:10.1159/000494327.",The REACH Trial: A Randomized Controlled Trial Assessing the Safety and Effectiveness of the Spiration ® Valve System in the Treatment of Severe Emphysema,Respiration,,,,,10.1159/000494327,,Li S; Wang G; Wang C; Gao X; Yang JF; Han H; Zhou B; Chen R; Chen C; Bai L; Shen C; Herth H; Zhong F; N
51,"Deslée G, Mal H, Dutau H et al.. Lung Volume Reduction Coil Treatment vs Usual Care in Patients With Severe Emphysema: The REVO-LENS Randomized Clinical Trial. JAMA. 2016;315(2).",Lung Volume Reduction Coil Treatment vs Usual Care in Patients With Severe Emphysema: The REVO-LENS Randomized Clinical Trial,JAMA,2016,315,2,,,,Deslée G; Mal H; Dutau H; Bourdin A; Vergnon JM; Pison C; Kessler R; Jounieaux V; Thiberville L; Leroy S; Marceau A; Laroumagne S; Mallet JP; Dukic S; Barbe C; Bulsei J; Jolly D; Durand-Zaleski I; Marquette C; Group
