file,status,match_method,match_confidence,changed_fields,doi_json,doi_zotero,doi_conflict,pdf_basename,title_norm,error
out/batch_processed/Anesthesia and Upper and Lower Airway.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.aan.2014.08.011,,Abdelmalak et al. - 2014 - Anesthesia and Upper and Lower Airway Management for Advanced Diagnostic and Therapeutic Bronchoscop.pdf,,
out/batch_processed/Anesthesia for bronchoscopy and update 2024.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.3390/jcm13216471,,Goudra et al. - 2024 - Anesthesia for Bronchoscopy—An Update.pdf,,
out/batch_processed/Anesthetic considerations for bronchoscopic procedures.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd.2019.07.29,,Galway et al. - 2019 - Anesthetic considerations for bronchoscopic procedures a narrative review based on the Cleveland Cl.pdf,,
out/batch_processed/Angel-2020-Novel Percutaneous Tracheostomy for.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.athoracsur.2020.04.010,,Angel et al. - 2020 - Novel Percutaneous Tracheostomy for Critically Ill Patients With COVID-19.pdf,,
out/batch_processed/Approach to hemoptysis in the modern era.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;pages;issn;url,,10.1155/2017/1565030,,Gagnon et al. - 2017 - Approach to Hemoptysis in the Modern Era.pdf,,
out/batch_processed/Arnold-2018-Investigating unilateral pleural e.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1183/13993003.01254-2018,,Arnold et al. - 2018 - Investigating unilateral pleural effusions the role of cytology.pdf,,
"out/batch_processed/Audit of the autoantibody test, EarlyCDT.json",changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.lungcan.2013.10.008,,"Jett et al. - 2014 - Audit of the autoantibody test, EarlyCDT®-Lung, in 1600 patients An evaluation of its performance i.pdf",,
out/batch_processed/Awab-2017-Whole lung lavage-technical details.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd.2017.04.10,,"Awab et al. - 2017 - Whole lung lavage—technical details, challenges and management of complications.pdf",,
out/batch_processed/BLVR comprehensive 2025.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.3390/jcm14093190,,Ido et al. - 2025 - Bronchoscopic Lung Volume Reduction A Narrative Review and Proposal for the Inclusion Criteria.pdf,,
out/batch_processed/BLVR with endobronchial valves for patients wi.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1164/rccm.201607-1383oc,,Valipour et al. - 2016 - Endobronchial Valve Therapy in Patients with Homogeneous Emphysema. Results from the IMPACT Study.pdf,,
out/batch_processed/BTS guideline for diagnostic flexible bronchoscopy in adults.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1136/thoraxjnl-2013-203618,,Du Rand et al. - 2013 - British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults accredited by NIC.pdf,,
out/batch_processed/BTS pleural guidelines2.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1136/thorax-2023-220304,,Roberts et al. - 2023 - British Thoracic Society Guideline for pleural disease.pdf,,
"out/batch_processed/Basic Bronchoscopy Technology, Techniques, and Professional Fees.json",changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2019.02.009,,Ninan and Wahidi - 2019 - Basic Bronchoscopy.pdf,,
out/batch_processed/Basic and advanced pleural procedures coding and professional fees update for pulmonologists.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2020.08.2070,,Desai et al. - 2020 - Basic and Advanced Pleural Procedures.pdf,,
out/batch_processed/Bhatnagar-2018-Outpatient Talc Administration.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1056/nejmoa1716883,,Bhatnagar et al. - 2018 - Outpatient Talc Administration by Indwelling Pleural Catheter for Malignant Effusion.pdf,,
out/batch_processed/Bhatnagar-2020-Effect of Thoracoscopic Talc Po.json,changed,title_fuzzy,0.8696,title;year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1001/jama.2019.19997,,Bhatnagar et al. - 2020 - Effect of Thoracoscopic Talc Poudrage vs Talc Slurry via Chest Tube on Pleurodesis Failure Rate Amon.pdf,,
out/batch_processed/Bhora-2016-Treatment of Benign Tracheal Stenos.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1001/jamaoto.2016.2018,,Bhora et al. - 2016 - Treatment of Benign Tracheal Stenosis Using Endoluminal Spray Cryotherapy.pdf,,
out/batch_processed/Bibby-2018-ERS_EACTS statement on the manageme.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1183/13993003.00349-2018,,Bibby et al. - 2018 - ERSEACTS statement on the management of malignant pleural effusions.pdf,,
out/batch_processed/Bintcliffe-2016-The management of benign non-i.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1183/16000617.0026-2016,,Bintcliffe et al. - 2016 - The management of benign non-infective pleural effusions.pdf,,
out/batch_processed/Biopsy of peripheral lung nodules utilizing cone beam w wo TB access tool.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd.2018.09.16,,Sobieszczyk et al. - 2018 - Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bro.pdf,,
out/batch_processed/Brass-2016-Percutaneous techniques versus surg.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;issn;url,,10.1002/14651858.cd008045.pub2,,Brass et al. - 2016 - Percutaneous techniques versus surgical techniques for tracheostomy.pdf,,
out/batch_processed/Breathlessness Predicts Survival in Patients W.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2021.02.052,,Mishra et al. - 2021 - Breathlessness Predicts Survival in Patients With Malignant Pleural Effusions.pdf,,
out/batch_processed/Bronchial Thermoplasty in Patients With Severe.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2021.10.044,,Chupp et al. - 2022 - Bronchial Thermoplasty in Patients With Severe Asthma at 5 Years.pdf,,
out/batch_processed/Bronchoscope-Guided Percutaneous Endoscopic Ga.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1177/0885066618800275,,Folch et al. - 2020 - Bronchoscope-Guided Percutaneous Endoscopic Gastrostomy Tube Placement by Interventional Pulmonologi.pdf,,
out/batch_processed/Bronchoscopes of the Twenty-First Century.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.ccm.2009.11.002,,Yarmus and Feller-Kopman - 2010 - Bronchoscopes of the Twenty-First Century.pdf,,
out/batch_processed/Bronchoscopic Techniques Used in the Diagnosis and Staging of Lung Cancer.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.6004/jnccn.2017.0065,,Lerner and Feller-Kopman - 2017 - Bronchoscopic Techniques Used in the Diagnosis and Staging of Lung Cancer.pdf,,
out/batch_processed/Bronchoscopic lung volume reduction with endob.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/s0140-6736(15)60001-0,,Davey et al. - 2015 - Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphys.pdf,,
out/batch_processed/Bronchoscopic transparenchymal nodule access (BTPNA).json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1136/thoraxjnl-2014-206211,,Herth et al. - 2015 - Bronchoscopic transparenchymal nodule access (BTPNA) first in human trial of a novel procedure for.pdf,,
out/batch_processed/Bronchoscopy Education An Experiential Learning Theory Perspective.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.ccm.2017.11.002,,Murgu et al. - 2018 - Bronchoscopy Education.pdf,,
out/batch_processed/CHEST CAO.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.chest.2024.06.3804,,Mahmood et al. - 2025 - Management of Central Airway Obstruction.pdf,,
out/batch_processed/COLDICE study.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/s2213-2600(19)30342-x,,Troy et al. - 2020 - Diagnostic accuracy of transbronchial lung cryobiopsy for interstitial lung disease diagnosis (COLDI.pdf,,
out/batch_processed/Central Airway Obstruction Benign Strictures.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2016.02.001,,Murgu et al. - 2016 - Central Airway Obstruction.pdf,,
out/batch_processed/Chan-2021-Transbronchial microwave ablation of.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/tlcr-20-1231,,Chan et al. - 2021 - Transbronchial microwave ablation of lung nodules with electromagnetic navigation bronchoscopy guida.pdf,,
out/batch_processed/Chemical pleurodesis.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1186/s12931-019-1204-x,,Mierzejewski et al. - 2019 - Chemical pleurodesis – a review of mechanisms involved in pleural space obliteration.pdf,,
out/batch_processed/Chen-2018-Photodynamic therapeutic ablation fo.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd.2018.03.139,,Chen and Lee - 2018 - Photodynamic therapeutic ablation for peripheral pulmonary malignancy via electromagnetic navigation.pdf,,
out/batch_processed/Cheng-2016-Three-dimensional Printing and 3D S.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2016.03.001,,Cheng et al. - 2016 - Three-dimensional Printing and 3D Slicer.pdf,,
out/batch_processed/Chhatre-2021-Survival Outcomes with Photodynam.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.3390/cancers13040803,,"Chhatre et al. - 2021 - Survival Outcomes with Photodynamic Therapy, Chemotherapy and Radiation in Patients with Stage III o.pdf",,
out/batch_processed/Clinical Success Stenting Distal Bronchi.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1097/lbr.0000000000000422,,Sethi et al. - 2018 - Clinical Success Stenting Distal Bronchi for “Lobar Salvage” in Bronchial Stenosis.pdf,,
out/batch_processed/Clinical Utility of a Bronchial Genomic Classi.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.chest.2016.02.636,,Vachani et al. - 2016 - Clinical Utility of a Bronchial Genomic Classifier in Patients With Suspected Lung Cancer.pdf,,
out/batch_processed/Clinical and quality of life outcomes vs. exte.json,changed,title_fuzzy,0.931,authors,,,,Stout et al. - Clinical and quality of life outcomes in the Ærst United Kingdom randomized trial of endobronchial b.pdf,,
out/batch_processed/Clinical trial of photodynamic therapy for per.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;pages;issn;url,,10.1016/j.pdpdt.2020.101698,,Usuda et al. - 2020 - Clinical trial of photodynamic therapy for peripheral-type lung cancers using a new laser device in.pdf,,
"out/batch_processed/Combined EBUS  EUS for the diagnosis and staging of lung cancer ESGE, ERS, ESTS Guideline.json",changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1055/s-0034-1392040,,Vilmann et al. - 2015 - Combined endobronchial and esophageal endosonography for the diagnosis and staging of lung cancer E.pdf,,
out/batch_processed/Combined Nd-YAG laser HDR brachytherapy versus.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/s0169-5002(99)00102-6,,Chella et al. - 2000 - Combined Nd-YAG laserHDR brachytherapy versus Nd-YAG laser only in malignant central airway involve.pdf,,
out/batch_processed/Community hospital experience using ENB integrating tidal volume computed tomography mapping.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.2217/lmt-2015-0007,,Raval and Amir - 2016 - Community Hospital Experience Using Electromagnetic Navigation Bronchoscopy System Integrating Tidal.pdf,,
out/batch_processed/Comparing the Diagnostic Performance of Lung Ultrasonography and Chest Radiography for Detecting Pneumothorax.json,changed,title_exact,1.0,year_norm;authors;doi;journal;pages;issn;url,,10.1159/000540777,,Sheng et al. - 2024 - Comparing the Diagnostic Performance of Lung Ultrasonography and Chest Radiography for Detecting Pne.pdf,,
out/batch_processed/Comparision of valves.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000542806,,Sgarbossa et al. - 2024 - Comparison of Efficacy and Safety of Different Types of One-Way Valves in Endoscopic Lung Volume Red.pdf,,
out/batch_processed/Comparison of HFNC  and Conventional O2 during bronc.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1513/annalsats.202410-1109oc,,Qin et al. - 2025 - Comparison of High-Flow Nasal Cannula and Conventional Oxygen Therapy for High Risk Patients During.pdf,,
out/batch_processed/Competency-based medical education in interventional pulmonology_ current state and future opportunities.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1097/mcp.0000000000001128,,Hostetter and Nelson - 2025 - Competency-based medical education in interventional pulmonology current state and future opportuni.pdf,,
out/batch_processed/Complete unilateral vs partial bilateral BLVR.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1378/chest.11-2886,,Eberhardt et al. - 2012 - Complete Unilateral vs Partial Bilateral Endoscopic Lung Volume Reduction in Patients With Bilateral.pdf,,
out/batch_processed/Complications Following Therapeutic B.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1378/chest.14-1530,,Ost et al. - 2015 - Complications Following Therapeutic Bronchoscopy for Malignant Central Airway Obstruction.pdf,,
out/batch_processed/Complications and discomfort of bronchoscopy a systematic review.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.3402/ecrj.v3.33324,,Leiten et al. - 2016 - Complications and discomfort of bronchoscopy a systematic review.pdf,,
out/batch_processed/Complications of cricothyroidotomy versus tracheostomy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1186/s12871-020-01135-2,,Zasso et al. - 2020 - Complications of cricothyroidotomy versus tracheostomy in emergency surgical airway management a sy.pdf,,
"out/batch_processed/Complications, and practice patterns of EBUS  AQuIRE registry.json",changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1378/chest.12-0350,,"Eapen et al. - 2013 - Complications, Consequences, and Practice Patterns of Endobronchial Ultrasound-Guided Transbronchial.pdf",,
out/batch_processed/Comprehensive Review of Chest Tube Management_A Review.json,changed,title_fuzzy,1.0,title;year_norm;doi;journal;volume;issue;pages;issn;url,,10.1001/jamasurg.2021.7050,,Anderson et al. - 2022 - Comprehensive Review of Chest Tube Management A Review.pdf,,
out/batch_processed/Concurrent Intrapleural Instillation of Tissue.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1513/annalsats.201602-127oc,,Majid et al. - 2016 - Concurrent Intrapleural Instillation of Tissue Plasminogen Activator and DNase for Pleural Infection.pdf,,
out/batch_processed/Cone beam CT imaging for bronchoscopy a technical review.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd-20-2382,,Setser et al. - 2020 - Cone beam CT imaging for bronchoscopy a technical review.pdf,,
out/batch_processed/Cone-beam computed tomography-guided electromagnetic navigation for peripheral lung nodules.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000510763,,Kheir et al. - 2021 - Cone-Beam Computed Tomography-Guided Electromagnetic Navigation for Peripheral Lung Nodules.pdf,,
out/batch_processed/Cone-beam computed tomography-guided shape-sensing robot.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd-24-178,,Abdelghani et al. - 2024 - Cone-beam computed tomography-guided shape-sensing robotic bronchoscopy vs. electromagnetic navigati.pdf,,
out/batch_processed/Conservative versus Interventional Treatment f.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1056/nejmoa1910775,,Brown et al. - 2020 - Conservative versus Interventional Treatment for Spontaneous Pneumothorax.pdf,,
out/batch_processed/Conservative versus Interventional Treatment for spont PTX.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1056/nejmoa1910775,,Brown et al. - 2020 - Conservative versus Interventional Treatment for Spontaneous Pneumothorax.pdf,,
out/batch_processed/Coping with airway emergencies_.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.4103/ija.ija_591_20,,"Raveendra et al. - 2020 - Coping with airway emergencies Get, Set, Go!.pdf",,
out/batch_processed/Covid-19 impact on interventional pulmonology training.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.34197/ats-scholar.2020-0126oc,,Kalchiem-Dekel et al. - 2021 - COVID-19 Impact on Interventional Pulmonology Training.pdf,,
out/batch_processed/Criner-2019-Improving Lung Function in Severe.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1164/rccm.201902-0383oc,,Criner et al. - 2019 - Improving Lung Function in Severe Heterogenous Emphysema with the Spiration Valve System (EMPROVE)..pdf,,
out/batch_processed/Cryosurgery for malignant endobronchial tumors.json,changed,override:doi,1.0,year_norm;authors;journal;volume;issue;pages;issn;url,,10.1378/chest.127.6.2007,,Asimakopoulos et al. - 2005 - Cryosurgery for Malignant Endobronchial Tumors.pdf,,
out/batch_processed/Current practice in management of exudative pleural effusions AABIP survey.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd.2018.04.15,,Raman et al. - 2018 - Current practice in management of exudative pleural effusions—a survey of American Association of Br.pdf,,
out/batch_processed/Cyrany-2016-Buried bumper syndrome_ A complica.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.3748/wjg.v22.i2.618,,Cyrany - 2016 - Buried bumper syndrome A complication of percutaneous endoscopic gastrostomy.pdf,,
out/batch_processed/DY and Synergy of Needle and Forceps w ENB.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2025.02.015,,Kim et al. - 2025 - Diagnostic Yield and Synergistic Impact of Needle Aspiration and Forceps Biopsy With Electromagnetic.pdf,,
