file,status,changes
out/batch_processed/AMPLE2.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-07-20"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Deirdre B Fitzgerald"", ""Ranjan Shrestha"", ""Christian C De Chaneet"", ""Redzwan S Rashid Ali"", ""Elaine Yap"", ""Claire L Tobin"", ""Luke A Garske"", ""Phan T Nguyen"", ""Christopher Stanley"", ""Natalia D Popowicz"", ""Christopher Kosky"", ""Rajesh Thomas"", ""Catherine A Read"", ""Charley A Budgeon"", ""Nick A Maskell"", ""Kevin Murray"", ""Gary Lee""], ""new"": [""Deirdre B Fitzgerald"", ""Ranjan Shrestha"", ""Christian C De Chaneet"", ""Redzwan S Rashid Ali"", ""Elaine Yap"", ""Claire L Tobin"", ""Luke A Garske"", ""Phan T Nguyen"", ""Christopher Stanley"", ""Natalia D Popowicz"", ""Christopher Kosky"", ""Rajesh Thomas"", ""Catherine A Read"", ""Charley A Budgeon"", ""Nick A Maskell"", ""Kevin Murray"", ""Gary Lee""]}}"
out/batch_processed/ASAP trial.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2017-04-15"", ""new"": 2017}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Momen M. Wahidi"", ""Chakravarthy Reddy"", ""Lonny Yarmus"", ""David Feller"", ""Ali Musani"", ""Wesley Shepherd"", ""Hans Lee"", ""Rabih Bechara"", ""Carla Lamb"", ""Scott Shofer"", ""Kamran Mahmood"", ""Gaetane Michaud"", ""Jonathan Puchalski"", ""Samaan Rafeq"", ""Stephen M. Cattaneo"", ""John Mullon"", ""Steven Leh"", ""Martin Mayse"", ""Samantha M. Thomas"", ""Bercedis Peterson"", ""Richard W. Light""], ""new"": [""Momen M. Wahidi"", ""Chakravarthy Reddy"", ""Lonny Yarmus"", ""David Feller"", ""Ali Musani"", ""Wesley Shepherd"", ""Hans Lee"", ""Rabih Bechara"", ""Carla Lamb"", ""Scott Shofer"", ""Kamran Mahmood"", ""Gaetane Michaud"", ""Jonathan Puchalski"", ""Samaan Rafeq"", ""Stephen M. Cattaneo"", ""John Mullon"", ""Steven Leh"", ""Martin Mayse"", ""Samantha M. Thomas"", ""Bercedis Peterson"", ""Richard W. Light""]}}"
out/batch_processed/Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples..json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2025-03"", ""new"": 2025}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Christopher R. Gilbert"", ""Claire Dust"", ""Christine Argento"", ""Anne V. Gonzalez"", ""Felix Herth"", ""Jonathan M. Iaccarino"", ""Peter Illei"", ""Nicholas Pastis"", ""Patricia Rivera"", ""Lynette Sholl"", ""Gerard A. Silvestri"", ""Jeffrey Thiboutot"", ""Momen M. Wahidi"", ""Kazuhiro Yasafuku"", ""Lonny B. Yarmus""], ""new"": [""Christopher R. Gilbert"", ""Claire Dust"", ""Christine Argento"", ""Anne V. Gonzalez"", ""Felix Herth"", ""Jonathan M. Iaccarino"", ""Peter Illei"", ""Nicholas Pastis"", ""Patricia Rivera"", ""Lynette Sholl"", ""Gerard A. Silvestri"", ""Jeffrey Thiboutot"", ""Momen M. Wahidi"", ""Kazuhiro Yasafuku"", ""Lonny B. Yarmus""]}}"
out/batch_processed/Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2024-07-17"", ""new"": 2024}}"
out/batch_processed/Advanced Diagnostic and Therapeutic Bronchoscopy .json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2021-07"", ""new"": 2021}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Neeraj R. Desai"", ""Thomas R. Gildea"", ""Edward Kessler"", ""Neil Ninan"", ""Kim D. French"", ""Denise A. Merlino"", ""Momen M. Wahidi"", ""Kevin L. Kovitz""], ""new"": [""Neeraj R. Desai"", ""Thomas R. Gildea"", ""Edward Kessler"", ""Neil Ninan"", ""Kim D. French"", ""Denise A. Merlino"", ""Momen M. Wahidi"", ""Kevin L. Kovitz""]}}"
out/batch_processed/Advanced diagnostic and therapeutic bronchoscopy technology and reimbursement.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2021-07"", ""new"": 2021}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Neeraj R. Desai"", ""Thomas R. Gildea"", ""Edward Kessler"", ""Neil Ninan"", ""Kim D. French"", ""Denise A. Merlino"", ""Momen M. Wahidi"", ""Kevin L. Kovitz""], ""new"": [""Neeraj R. Desai"", ""Thomas R. Gildea"", ""Edward Kessler"", ""Neil Ninan"", ""Kim D. French"", ""Denise A. Merlino"", ""Momen M. Wahidi"", ""Kevin L. Kovitz""]}}"
out/batch_processed/Advanced in Treatment of PPNs.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2024-02-21"", ""new"": 2024}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Quncheng Zhang"", ""Xuan Wu"", ""Huizhen Yang"", ""Peiyuan Luo"", ""Nan Wei"", ""Shuai Wang"", ""Xingru Zhao"", ""Ziqi Wang"", ""Xiaoju Zhang""], ""new"": [""Quncheng Zhang"", ""Xuan Wu"", ""Huizhen Yang"", ""Peiyuan Luo"", ""Nan Wei"", ""Shuai Wang"", ""Xingru Zhao"", ""Ziqi Wang"", ""Xiaoju Zhang""]}}"
out/batch_processed/Advances in IP.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-03"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Alastair J. Moore"", ""Rachel M. Mercer"", ""Ali I. Musani""], ""new"": [""Alastair J. Moore"", ""Rachel M. Mercer"", ""Ali I. Musani""]}}"
out/batch_processed/Advances in Interventional Pulmonology 2018.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-03"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Alastair J. Moore"", ""Rachel M. Mercer"", ""Ali I. Musani""], ""new"": [""Alastair J. Moore"", ""Rachel M. Mercer"", ""Ali I. Musani""]}}"
out/batch_processed/Advances in pleuroscopy.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2017-01-11"", ""new"": 2017}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Respiratory Medicine""], ""new"": [""Respiratory Medicine""]}}"
out/batch_processed/Advantages of US in percutaneous dilatational.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2014-12"", ""new"": 2014}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Medical Science""], ""new"": [""Medical Science""]}}"
out/batch_processed/Aggressive versus symptom-guided drainage of m.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-07-20"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Deirdre B Fitzgerald"", ""Ranjan Shrestha"", ""Christian C De Chaneet"", ""Redzwan S Rashid Ali"", ""Elaine Yap"", ""Claire L Tobin"", ""Luke A Garske"", ""Phan T Nguyen"", ""Christopher Stanley"", ""Natalia D Popowicz"", ""Christopher Kosky"", ""Rajesh Thomas"", ""Catherine A Read"", ""Charley A Budgeon"", ""Nick A Maskell"", ""Kevin Murray"", ""Gary Lee""], ""new"": [""Deirdre B Fitzgerald"", ""Ranjan Shrestha"", ""Christian C De Chaneet"", ""Redzwan S Rashid Ali"", ""Elaine Yap"", ""Claire L Tobin"", ""Luke A Garske"", ""Phan T Nguyen"", ""Christopher Stanley"", ""Natalia D Popowicz"", ""Christopher Kosky"", ""Rajesh Thomas"", ""Catherine A Read"", ""Charley A Budgeon"", ""Nick A Maskell"", ""Kevin Murray"", ""Gary Lee""]}}"
out/batch_processed/Airway spray cryotherapy initial outcomes from.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2012-07"", ""new"": 2012}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""David J. Finley"", ""Joe Dycoco"", ""Saiyad Sarkar"", ""William S. Krimsky"", ""John T. Sherwood"", ""Dominic Dekeratry"", ""Gordon Downie"", ""Joel Atwood"", ""Hiran C. Fernando"", ""Valerie W. Rusch""], ""new"": [""David J. Finley"", ""Joe Dycoco"", ""Saiyad Sarkar"", ""William S. Krimsky"", ""John T. Sherwood"", ""Dominic Dekeratry"", ""Gordon Downie"", ""Joel Atwood"", ""Hiran C. Fernando"", ""Valerie W. Rusch""]}}"
out/batch_processed/Airway stabilization with silicone stents for.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2007-08"", ""new"": 2007}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Armin Ernst"", ""Adnan Majid"", ""Jorge Guerrero"", ""Phillip Boiselle"", ""Stephen H. Loring"", ""Sidhu Gangadharan"", ""Simon Ashiku""], ""new"": [""Armin Ernst"", ""Adnan Majid"", ""Jorge Guerrero"", ""Phillip Boiselle"", ""Stephen H. Loring"", ""Sidhu Gangadharan"", ""Simon Ashiku""]}}"
out/batch_processed/Airway stents.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-03"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Critical Care Medicine"", ""Interventional Pulmonary"", ""Harvard Medical School""], ""new"": [""Critical Care Medicine"", ""Interventional Pulmonary"", ""Harvard Medical School""]}}"
out/batch_processed/Aldaghlawi-2020-A Systematic Review of Digital.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2020-05"", ""new"": 2020}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Fadi Aldaghlawi"", ""Jonathan S. Kurman"", ""Jason A. Lilly"", ""Kyle Hogarth"", ""Jessica Donington"", ""Mark K. Ferguson"", ""Septimiu D. Murgu""], ""new"": [""Fadi Aldaghlawi"", ""Jonathan S. Kurman"", ""Jason A. Lilly"", ""Kyle Hogarth"", ""Jessica Donington"", ""Mark K. Ferguson"", ""Septimiu D. Murgu""]}}"
out/batch_processed/Alsunaid-2021-Wound care management_ tracheost.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2021-08"", ""new"": 2021}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Sammar Alsunaid"", ""Van K. Holden"", ""Akshay Kohli"", ""Jose Diaz""], ""new"": [""Sammar Alsunaid"", ""Van K. Holden"", ""Akshay Kohli"", ""Jose Diaz""]}}"
out/batch_processed/Ambulatory management of primary spontaneous p.json,dry-run,"{""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Rob J Hallifax"", ""Parthipan Sivakumar"", ""Ian Fairbairn"", ""Christy Peter"", ""Andrew Leitch"", ""Matthew Knight"", ""Andrew Stanton"", ""Asim Ijaz"", ""Stefan Marciniak"", ""James Cameron"", ""Amrithraj Bhatta"", ""Kevin G Blyth"", ""Raja Reddy"", ""Clare Harris"", ""Nadeem Maddekar"", ""Steven Walker"", ""Alex West"", ""John P Corcoran"", ""Stephen Gerry"", ""Corran Roberts"", ""John E Harvey"", ""Nick Maskell"", ""Robert F Miller"", ""Najib M Rahman""], ""new"": [""Rob J Hallifax"", ""Parthipan Sivakumar"", ""Ian Fairbairn"", ""Christy Peter"", ""Andrew Leitch"", ""Matthew Knight"", ""Andrew Stanton"", ""Asim Ijaz"", ""Stefan Marciniak"", ""James Cameron"", ""Amrithraj Bhatta"", ""Kevin G Blyth"", ""Raja Reddy"", ""Clare Harris"", ""Nadeem Maddekar"", ""Steven Walker"", ""Alex West"", ""John P Corcoran"", ""Stephen Gerry"", ""Corran Roberts"", ""John E Harvey"", ""Nick Maskell"", ""Robert F Miller"", ""Najib M Rahman""]}}"
out/batch_processed/American Brachytherapy Society consensus guide.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2016-01"", ""new"": 2016}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Cancer Centre"", ""Stich Radiation Oncology"", ""New York""], ""new"": [""Cancer Centre"", ""Stich Radiation Oncology"", ""New York""]}}"
out/batch_processed/An updated review in percutaneous tracheostomy.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2024-06-18"", ""new"": 2024}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Rig Veda""], ""new"": [""Rig Veda""]}}"
out/batch_processed/Andriolo-2015-Early versus late tracheostomy f.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2015-01-12"", ""new"": 2015}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Systematic Reviews""], ""new"": [""Systematic Reviews""]}, ""doi"": {""action"": ""front_matter_scan"", ""new"": ""10.1002/14651858.cd007271.pub3""}}"
out/batch_processed/Anesthesia and Upper and Lower Airway.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2014"", ""new"": 2014}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Basem Abdelmalak"", ""Sonali Sethi"", ""Thomas R. Gildea""], ""new"": [""Basem Abdelmalak"", ""Sonali Sethi"", ""Thomas R. Gildea""]}}"
out/batch_processed/Anesthesia for bronchoscopy and update 2024.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2024-10-29"", ""new"": 2024}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""An Update"", ""Stefan U. Weber"", ""Kazuyoshi Imaizumi""], ""new"": [""An Update"", ""Stefan U. Weber"", ""Kazuyoshi Imaizumi""]}, ""doi"": {""action"": ""front_matter_scan"", ""new"": ""10.3390/jcm13216471""}}"
out/batch_processed/Anesthetic considerations for bronchoscopic procedures.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2019-07"", ""new"": 2019}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Ursula Galway"", ""Andrew Zura"", ""Sandeep Khanna"", ""Mi Wang"", ""Alparslan Turan"", ""Kurt Ruetzler""], ""new"": [""Ursula Galway"", ""Andrew Zura"", ""Sandeep Khanna"", ""Mi Wang"", ""Alparslan Turan"", ""Kurt Ruetzler""]}}"
out/batch_processed/Angel-2020-Novel Percutaneous Tracheostomy for.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2020-09"", ""new"": 2020}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Elsevier Connect"", ""Med Central""], ""new"": [""Elsevier Connect"", ""Med Central""]}}"
out/batch_processed/Approach to hemoptysis in the modern era.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2017-12-21"", ""new"": 2017}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Quebec City"", ""Nord Marseille""], ""new"": [""Quebec City"", ""Nord Marseille""]}}"
out/batch_processed/Arnold-2018-Investigating unilateral pleural e.json,dry-run,"{""year"": {""action"": ""fallback:filename"", ""old"": null, ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""David T. Arnold"", ""Duneesha De"", ""Siobhan Perry"", ""Anna Morley"", ""John E. Harvey"", ""Andrew Medford"", ""Mary Brett"", ""Nick A. Maskell""], ""new"": [""David T. Arnold"", ""Duneesha De"", ""Siobhan Perry"", ""Anna Morley"", ""John E. Harvey"", ""Andrew Medford"", ""Mary Brett"", ""Nick A. Maskell""]}, ""doi"": {""action"": ""front_matter_scan"", ""new"": ""10.1183/13993003.01254-2018""}}"
"out/batch_processed/Audit of the autoantibody test, EarlyCDT.json",dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2014-01"", ""new"": 2014}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""James R. Jett"", ""Laura J. Peek"", ""Lynn Fredericks"", ""William Jewell"", ""William W. Pingleton""], ""new"": [""James R. Jett"", ""Laura J. Peek"", ""Lynn Fredericks"", ""William Jewell"", ""William W. Pingleton""]}}"
out/batch_processed/Awab-2017-Whole lung lavage-technical details.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2017-06"", ""new"": 2017}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Benjamin Castleman"", ""Periodic Acid"", ""Massachusetts General"", ""New England""], ""new"": [""Benjamin Castleman"", ""Periodic Acid"", ""Massachusetts General"", ""New England""]}}"
out/batch_processed/BLVR comprehensive 2025.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2025-05-05"", ""new"": 2025}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Enrico M. Clini"", ""Narrative Review""], ""new"": [""Enrico M. Clini"", ""Narrative Review""]}, ""doi"": {""action"": ""front_matter_scan"", ""new"": ""10.3390/jcm14093190""}}"
out/batch_processed/BLVR with endobronchial valves for patients wi.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2016-08-31"", ""new"": 2016}}"
out/batch_processed/BTS guideline for diagnostic flexible bronchoscopy in adults.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2013-07-16"", ""new"": 2013}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Du Rand"", ""Manchester Academic Health Science Centre"", ""Foundation Trust"", ""South Manchester"", ""Lane Fox Unit"", ""Clinical Trials Unit"", ""Respiratory Medicine"", ""Oxford Biomedical Research Centre"", ""Oxford Respiratory Trials Unit""], ""new"": [""Du Rand"", ""Manchester Academic Health Science Centre"", ""Foundation Trust"", ""South Manchester"", ""Lane Fox Unit"", ""Clinical Trials Unit"", ""Respiratory Medicine"", ""Oxford Biomedical Research Centre"", ""Oxford Respiratory Trials Unit""]}}"
out/batch_processed/BTS pleural guidelines2.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2025-08-06"", ""new"": 2025}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Mark E Roberts"", ""Nick A Maskell"", ""Anna C Bibby"", ""Anthony Edey"", ""Rob Hallifax"", ""Susan Harden"", ""Iain Lawrie"", ""Eric Lim"", ""Rachel Mercer"", ""Andrew G Nicholson"", ""Farinaz Noorzad"", ""Kirstie S Opstad"", ""Maria Parsonage""], ""new"": [""Mark E Roberts"", ""Nick A Maskell"", ""Anna C Bibby"", ""Anthony Edey"", ""Rob Hallifax"", ""Susan Harden"", ""Iain Lawrie"", ""Eric Lim"", ""Rachel Mercer"", ""Andrew G Nicholson"", ""Farinaz Noorzad"", ""Kirstie S Opstad"", ""Maria Parsonage""]}}"
"out/batch_processed/Basic Bronchoscopy Technology, Techniques, and Professional Fees.json",dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2019-05"", ""new"": 2019}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Current Procedural"", ""Chevalier Jackson""], ""new"": [""Current Procedural"", ""Chevalier Jackson""]}}"
out/batch_processed/Basic and advanced pleural procedures coding and professional fees update for pulmonologists.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2020-12"", ""new"": 2020}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Neeraj R. Desai"", ""Kim D. French"", ""Kevin L. Kovitz""], ""new"": [""Neeraj R. Desai"", ""Kim D. French"", ""Kevin L. Kovitz""]}}"
out/batch_processed/Bhatnagar-2018-Outpatient Talc Administration.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-04-05"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Academic Respiratory Unit"", ""United Kingdom""], ""new"": [""Academic Respiratory Unit"", ""United Kingdom""]}, ""doi"": {""action"": ""front_matter_scan"", ""new"": ""10.1056/nejmoa1716883""}}"
out/batch_processed/Bhatnagar-2020-Effect of Thoracoscopic Talc Po.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2019-12-05"", ""new"": 2019}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Rahul Bhatnagar"", ""Brennan C. Kahan"", ""Matthew D. Evison"", ""Jayne Holme"", ""Ioannis Psallidas"", ""Wei Shen Lim"", ""Kevin G. Blyth"", ""Mark E. Roberts"", ""Giles Cox"", ""Nicola J. Downer"", ""Jurgen Herre"", ""Pasupathy Sivasothy"", ""Daniel Menzies"", ""Mohammed Munavvar"", ""Moe M. Kyi"", ""Liju Ahmed"", ""Alex G. West"", ""Richard N. Harrison"", ""Benjamin Prudon"", ""Gihan Hettiarachchi"", ""Biswajit Chakrabarti"", ""Ajikumar Kavidasan"", ""Benjamin P. Sutton"", ""Jack L. Quaddy"", ""Anthony J. Edey"", ""Amelia O. Clive"", ""Steven P. Walker"", ""Xue W. Mei"", ""John E. Harvey"", ""Clare E. Hooper"", ""Helen E. Davies"", ""Mark Slade"", ""Robert F. Miller"", ""Najib M. Rahman"", ""Nick A. Maskell""], ""new"": [""Rahul Bhatnagar"", ""Brennan C. Kahan"", ""Matthew D. Evison"", ""Jayne Holme"", ""Ioannis Psallidas"", ""Wei Shen Lim"", ""Kevin G. Blyth"", ""Mark E. Roberts"", ""Giles Cox"", ""Nicola J. Downer"", ""Jurgen Herre"", ""Pasupathy Sivasothy"", ""Daniel Menzies"", ""Mohammed Munavvar"", ""Moe M. Kyi"", ""Liju Ahmed"", ""Alex G. West"", ""Richard N. Harrison"", ""Benjamin Prudon"", ""Gihan Hettiarachchi"", ""Biswajit Chakrabarti"", ""Ajikumar Kavidasan"", ""Benjamin P. Sutton"", ""Jack L. Quaddy"", ""Anthony J. Edey"", ""Amelia O. Clive"", ""Steven P. Walker"", ""Xue W. Mei"", ""John E. Harvey"", ""Clare E. Hooper"", ""Helen E. Davies"", ""Mark Slade"", ""Robert F. Miller"", ""Najib M. Rahman"", ""Nick A. Maskell""]}}"
out/batch_processed/Bhora-2016-Treatment of Benign Tracheal Stenos.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2016-08-11"", ""new"": 2016}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Faiz Y. Bhora"", ""Adil Ayub"", ""Craig M. Forleiter"", ""Yin Huang"", ""Khalid Alshehri"", ""Sadiq Rehmani"", ""Wissam Raad"", ""Robert S. Lebovics""], ""new"": [""Faiz Y. Bhora"", ""Adil Ayub"", ""Craig M. Forleiter"", ""Yin Huang"", ""Khalid Alshehri"", ""Sadiq Rehmani"", ""Wissam Raad"", ""Robert S. Lebovics""]}}"
