file,status,changed_fields,error
out/hardened/EBUS for the Diagnosis and Subtyping of Lymphoma.json,skip_complete,,
out/hardened/EBUS-TBNA and EUS-FNA Risk Assessment for Clopidogrel.json,skip_complete,,
"out/hardened/ENB for PPNs One-Year Results of the Prospective, Multicenter NAVIGATE Study.json",skip_complete,,
out/hardened/ENB-directed dye marking for locating pulmonary nodules.json,skip_complete,,
out/hardened/ERSATS statement on IP.json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Eberhardt-2021-Endobronchial Valve (Zephyr) Tr.json,skip_complete,,
out/hardened/Effectiveness of Elastography.json,skip_complete,,
out/hardened/Efficacy and Safety of Airway Stent in TEF.json,skip_complete,,
out/hardened/Efficacy and safety of cone-beam computed tomography-guided bronchoscopy.json,skip_complete,,
out/hardened/Efficacy ofWhole-LungLavageinPulmonaryAlveolar.json,skip_complete,,
out/hardened/Electromagnetic navigation bronchoscopy a comprehensive review.json,skip_complete,,
out/hardened/Electromagnetic navigation bronchoscopy to access lung lesions in.json,skip_complete,,
out/hardened/Endobronchial Valves for Emphysema without Int.json,skip_complete,,
out/hardened/Endobronchial epinephrine confusion is in the air.json,skip_complete,,
out/hardened/Endobronchial tumor debulking with a flexible.json,skip_complete,,
out/hardened/Endosonography for mediastinal disease EUS vs EBUS.json,skip_complete,,
out/hardened/Equipment and procedural setup for IP.json,skip_complete,,
out/hardened/Eur Respir Rev-2020-DeMaio-200028.json,skip_complete,,
out/hardened/Evaluating the Patient With a Pulmonary Nodule_A Review.json,skip_complete,,
out/hardened/Evaluation of Safety and Short-term.json,skip_complete,,
out/hardened/Evaluation of a EBUS  forceps in enlarged mediastinal lymph nodes.json,skip_complete,,
out/hardened/Evaluation of individuals with pulmonary nodules when is it lung cancer.json,skip_complete,,
out/hardened/External irradiation versus external irradiati.json,unchanged,,
out/hardened/Fiducial marker placement with ENB.json,skip_complete,,
out/hardened/Financial Justification for IP Programs.json,skip_complete,,
out/hardened/First Human Use of a New Robotic-Assisted Fiber Optic Sensing Navigation System for Small Peripheral Pulmonary Nodules.json,skip_complete,,
out/hardened/Flexible Bronchoscope Use by Pulmonologists.json,dry-run,issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Flexible bronchoscopy.json,skip_complete,,
out/hardened/Forbearance With Bronchoscopy.json,skip_complete,,
out/hardened/Foreign body aspiration.json,skip_complete,,
out/hardened/Foreign body inhalation in the adult population.json,skip_complete,,
out/hardened/Garner-2020-A prospective safety and feasibili.json,skip_complete,,
out/hardened/Ghattas-2021-State of the art_ percutaneous tr.json,skip_complete,,
out/hardened/Gomes-2015-Percutaneous endoscopic gastrostomy.json,skip_complete,,
out/hardened/Grosu-2013-Stents are associated with increase.json,skip_complete,,
out/hardened/Grosu-2018-Sensitivity of Initial Thoracentesi.json,skip_complete,,
out/hardened/Grosu-2019-Secondary spontaneous pneumothorax.json,skip_complete,,
out/hardened/Hartman-2021-New bronchoscopic treatment modal.json,skip_complete,,
out/hardened/Havelock-2010-Pleural procedures and thoracic.json,skip_complete,,
out/hardened/Herth-2019-Endoscopic Lung Volume Reduction_ A.json,skip_complete,,
out/hardened/High-dose-rate endobronchial brachytherapy eff.json,skip_complete,,
out/hardened/Hillerdal-2014-One- to four-year follow-up of.json,skip_complete,,
out/hardened/Holden-2020-Safety and Efficacy of the Tracheo.json,skip_complete,,
out/hardened/Hooper-2010-Investigation of a unilateral pleu.json,skip_complete,,
out/hardened/Hu-2018-Application of the Montgomery T-tube i.json,skip_complete,,
"out/hardened/Hu-2020-Pleural manometry_ techniques, applica.json",skip_complete,,
out/hardened/IASLC Proposals for Revision of TNM.json,skip_complete,,
out/hardened/IP Fellowship Accreditation Standards.json,skip_complete,,
out/hardened/IP extending breath of care.json,unchanged,,
out/hardened/IPC review.json,skip_complete,,
out/hardened/IPCplus.json,skip_complete,,
out/hardened/Iatrogenic bleeding during flexible bronchoscopy.json,skip_complete,,
out/hardened/Imaging in peripheral bronchoscopy.json,skip_complete,,
out/hardened/Impact of Pulmonary and Critical Care Fellow Participation during Advanced Diagnostic Bronchoscopy.json,skip_complete,,
out/hardened/Impact of a Dedicated Pleural Clinic on Indwelling Pleural Catheter Related Outcomes_A Retrospective Single Center Experience.json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Impact of the Ninth International Association for the Study of Lung Cancer TNM Classification on Endobronchial Ultrasound for Lung Cancer Staging.json,skip_complete,,
out/hardened/Improved diagnostic yield  with digital tomosynthesis ENB.json,skip_complete,,
out/hardened/Improving diagnostic yield of navigational bronchoscopy .json,skip_complete,,
out/hardened/Indications and complications of rigid broncho.json,skip_complete,,
out/hardened/Indocyanine Green-Soaked Fiducial Markers.json,skip_complete,,
out/hardened/Indwelling Pleural Catheter versus Pleurodesis.json,skip_complete,,
out/hardened/Inhaled GM-CSF for Pulmonary Alveolar Proteino.json,skip_complete,,
out/hardened/Inhaled TXA for Hemoptysis Treatment.json,skip_complete,,
out/hardened/Interventional Bronchoscopy.json,skip_complete,,
out/hardened/Interventional pulmonology in the intensive ca.json,skip_complete,,
out/hardened/Intrapleural Fibrinolytic Therapy versus Early.json,skip_complete,,
out/hardened/Intrapleural use of tissue plasminogen activat.json,dry-run,doi;issn;issue;pages;url;volume,
out/hardened/Jayadevappa-2019-Outcomes of patients with adv.json,skip_complete,,
out/hardened/Jet Ventilation during Rigid Bronchoscopy in Adults.json,skip_complete,,
out/hardened/Karakoca-2018-Follow-up outcomes of chronic ob.json,skip_complete,,
out/hardened/Kashiwabara-2021-Efficacy and safety of transb.json,skip_complete,,
out/hardened/Kemp-2017-A Multicenter Randomized Controlled.json,skip_complete,,
out/hardened/Kimura-2015-Photodynamic Therapy (PDT) with Ch.json,skip_complete,,
out/hardened/Klooster-2017-One-Year Follow-Up after Endobro.json,skip_complete,,
out/hardened/Koizumi-2015-Bronchoscopy-Guided Cooled Radiof.json,skip_complete,,
out/hardened/Koshy-2021-Safety of delivering bronchial ther.json,skip_complete,,
out/hardened/Labarca-2019-Bronchoscopic Lung Volume Reducti.json,skip_complete,,
out/hardened/Lamb-2020-Use of Tracheostomy During the COVID.json,skip_complete,,
out/hardened/Li-2019-The REACH Trial_ A Randomized Controll.json,skip_complete,,
out/hardened/Lipp-2013-Systemic antimicrobial prophylaxis f.json,skip_complete,,
out/hardened/Ljungdahl-2006-Complication rate lower after p.json,skip_complete,,
out/hardened/Local anaesthetic thoracoscopy .json,dry-run,doi;issn;journal;pages;url;year_norm,
out/hardened/Local determinants of response to endobronchia.json,skip_complete,,
out/hardened/Lung nodule during COVID.json,skip_complete,,
out/hardened/LungRADSAssessmentCategoriesv1-1.json,skip_complete,,
out/hardened/Machine learing TPA.json,skip_complete,,
out/hardened/Majid-2020-Efficacy of the Spiration Valve Sys.json,skip_complete,,
out/hardened/Management of Benign Pleural Effusions Using I.json,skip_complete,,
out/hardened/Management of Malignant Pleural Effusions.json,skip_complete,,
out/hardened/Management of life-threatening hemoptysis in the ICU.json,skip_complete,,
out/hardened/Management of significant airway bleeding during robotic assisted bronchoscopy a tailored approach.json,skip_complete,,
out/hardened/Managing Massive Hemoptysis.json,skip_complete,,
out/hardened/Mechanical properties of different airway sten.json,skip_complete,,
out/hardened/Mesothelioma proposal for revision of T.json,skip_complete,,
out/hardened/Metallic Endobronchial Stents A Contemporary R.json,skip_complete,,
out/hardened/Moderate sedation changes for bronchoscopy in 2017.json,skip_complete,,
out/hardened/Multi-disciplinary management of patients with.json,skip_complete,,
out/hardened/Multidetector CT evaluation of tracheobronchom.json,skip_complete,,
out/hardened/Multidisciplinarymanagementofadultpatientswith chylothorax.json,skip_complete,,
out/hardened/Multi‐institutional retrospective analysis of.json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Murgu Saftey of TIVA in rigid.json,skip_complete,,
out/hardened/NAVIGATE 24-Month Results.json,skip_complete,,
out/hardened/NEJM tracheostomy.json,skip_complete,,
out/hardened/Nd-YAG laser vs bronchoscopic electrocautery.json,unchanged,,
out/hardened/NdYAG laser bronchoscopy A five year experienc.json,skip_complete,,
out/hardened/NdYAG_laser_therapy_in_lung_cancer_1994.json,unchanged,,
out/hardened/Novel bronchoscopic management of airway bleeding with absorbable gelatin and thrombin slurry.json,skip_complete,,
out/hardened/Occupational adverse effects and protective factors in bronchoscopy .json,skip_complete,,
out/hardened/Operating Room Fires.json,unchanged,,
out/hardened/Optimal Endobronchial Ultrasound Strain Elastography Assessment.json,skip_complete,,
out/hardened/Ost-2014-Quality-adjusted survival following t.json,skip_complete,,
out/hardened/Ost-2018-Quality Gaps and Comparative Effectiv.json,skip_complete,,
out/hardened/Palliative Care and Interventional Pulmonology.json,skip_complete,,
out/hardened/Percutaneous Dilational Tracheostomy 2018.json,skip_complete,,
out/hardened/Percutaneous dilational tracheostomy.json,skip_complete,,
out/hardened/Percutaneous endoscopic gastrostomy. Indicatio.json,skip_complete,,
out/hardened/Percutaneous radiologic gastrostomy versus per.json,skip_complete,,
"out/hardened/Performance, long-term management, and coding for percutaneous dilational tracheostomy.json",skip_complete,,
out/hardened/Physiologic Evaluation of the Patient With Lung Cancer.json,skip_complete,,
out/hardened/Pison-2021-Safety of denervation following tar.json,skip_complete,,
out/hardened/Pleural Cryobiopsy A Systematic Review and Met.json,skip_complete,,
out/hardened/Pleural Interventions in the Management of Hep.json,skip_complete,,
out/hardened/Pleural controversy  Closed needle pleural bio.json,skip_complete,,
out/hardened/Potentially fatal arrhythmia complicating endobronchial epinephrine.json,skip_complete,,
out/hardened/Preoperative endobronchial photodynamic therap.json,skip_complete,,
out/hardened/Proposals for revision of the M discriptor.json,skip_complete,,
out/hardened/Proposals for revisoin of residual tumor after resection.json,skip_complete,,
out/hardened/Prospective study to determine the volume of p.json,skip_complete,,
out/hardened/RCT  of Three Guided Bronchoscopic Approaches Pulmonary NodulesPRECISION-1 Study.json,skip_complete,,
out/hardened/RCT of EBUS with and without aspiration.json,skip_complete,,
out/hardened/ROSE during EBUS  for diagnosing lung cancer a randomized study.json,skip_complete,,
out/hardened/ROSE during EBUS for nodal staging in patients with lung cancer.json,skip_complete,,
"out/hardened/Radiation Principles, Protection, and Reporting.json",skip_complete,,
out/hardened/Rahman-2015-Effect of Opioids vs NSAIDs and La.json,skip_complete,,
out/hardened/Rahnemai-Azar-2014-Percutaneous endoscopic gas.json,skip_complete,,
out/hardened/Randomized Trial of Pleural Fluid Drainage Fre.json,skip_complete,,
out/hardened/Rashid-2017-Percutaneous tracheostomy_ a compr.json,skip_complete,,
out/hardened/Reevaluating the Role of Bronchoscopy Prior to Bronchial Artery Embolization.json,skip_complete,,
out/hardened/Reichle-2000-[Argon plasma coagulation in bron.json,skip_complete,,
out/hardened/Relapsing polychondriti.json,skip_complete,,
out/hardened/Respiratory infections increase the r.json,skip_complete,,
out/hardened/Results of long-term follow-up of photodynamic.json,skip_complete,,
out/hardened/Richter-Schrag-2011-Risk factors and complicat.json,skip_complete,,
out/hardened/Rigid Bronchoscopy.json,skip_complete,,
out/hardened/Rigid bronchoscopy and silicone st.json,unchanged,,
out/hardened/RigidMiniThoracoscopyVersusSemirigid_Thoracoscopy.json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Risks of and recommendations for flexible bronchoscopy in pregnancy.json,skip_complete,,
out/hardened/Roberts-2010-Management of a malignant pleural.json,skip_complete,,
out/hardened/Robot assisted bronchoscopy for pulmonary lesion diagnosis.json,skip_complete,,
out/hardened/Robotic bronchoscopy for pulmonary lesions a review of existing technologies and clinical data.json,skip_complete,,
out/hardened/Robotic bronchoscopy pilot and feasibility study (Benefit).json,skip_complete,,
out/hardened/Role of Montgomery T-tube stent for laryngotra.json,skip_complete,,
out/hardened/Role of Pathologic Single Nodal and Multple Nodal Desscriptions.json,skip_complete,,
out/hardened/Romagnoli-2019-Poor Concordance between Sequen2.json,skip_complete,,
out/hardened/Routine monitoring with pleural manometry duri.json,skip_complete,,
out/hardened/Ruigrok-2020-Digital versus analogue chest dra.json,skip_complete,,
out/hardened/SSRAB in the Diagnosis of PPLs.json,skip_complete,,
out/hardened/SSRAB vs DT ENB.json,skip_complete,,
out/hardened/STS Surgical Management of Oligometastatic NSCLC.json,skip_complete,,
out/hardened/Safety and Efficacy of a Fully Cov.json,skip_complete,,
out/hardened/Safety and effectiveness of microdebrider bron.json,skip_complete,,
out/hardened/Safety and efficacy of a novel transbronchial radiofrequency ablation system for lung tumours .json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Safety and feasibility of interventional pulmo.json,skip_complete,,
out/hardened/Safety of endoscopic gastrostomy tube placemen.json,skip_complete,,
out/hardened/Safety of flexible bronchoscopy in patients with  pulmonary hypertension.json,skip_complete,,
out/hardened/Saftey of rigid in bronch suite.json,skip_complete,,
out/hardened/Sanabria-2014-Which percutaneous tracheostomy.json,skip_complete,,
out/hardened/Sedation in Bronchoscopy.json,skip_complete,,
out/hardened/Selected Topics in Malignant Pleural Disease.json,dry-run,issn;issue;journal;url;volume;year_norm,
out/hardened/Senitko-2019-Safety and Tolerability of Vacuum.json,unchanged,,
out/hardened/Sensitivity and safety of ENB systematic review and meta-analysis.json,skip_complete,,
out/hardened/Shape-Sensing Robotic vs Tomo ENB.json,skip_complete,,
out/hardened/Shape-sensing robotic-assisted bronchoscopy in the diagnosis of pulmonary parenchymal lesions.json,skip_complete,,
out/hardened/Shi-2014-Outcome and safety of the Montgomery.json,skip_complete,,
out/hardened/Shojaee-2019-Indwelling Tunneled Pleural Cathe.json,skip_complete,,
out/hardened/Silvestri-2018-Assessment of Plasma Proteomics.json,skip_complete,,
out/hardened/Slebos-2018-Endobronchial Coils for Endoscopic.json,skip_complete,,
out/hardened/Spread Through Air Spaces.json,skip_complete,,
out/hardened/Standardizing education in interventional pulmonol.json,skip_complete,,
out/hardened/State of the Art IP.json,skip_complete,,
out/hardened/State-of-the-Art Modalities for Peripheral Lung Nodule Biopsy.json,skip_complete,,
out/hardened/Steinfort-2021-Bronchoscopic Thermal Vapour Ab.json,skip_complete,,
out/hardened/Study Design and Rationale ENB and ETN  ALL IN ONE Trial.json,skip_complete,,
out/hardened/Sullivan-2021-Earlier diagnosis of lung cancer (1).json,skip_complete,,
out/hardened/Survival in COPD patients treated with broncho.json,skip_complete,,
out/hardened/Target trial.json,skip_complete,,
out/hardened/Technical Aspects of EBUS  CHEST Guideline and Expert Panel Report.json,skip_complete,,
out/hardened/Technical aspects and outcomes of tracheobronc.json,skip_complete,,
out/hardened/Tedde-2011-A new technique for T-tube insertio.json,skip_complete,,
out/hardened/The Art of Rigid Bronchoscopy and Airway Stent.json,skip_complete,,
out/hardened/The Business of Bronchoscopy.json,skip_complete,,
out/hardened/The Business of IP.json,skip_complete,,
out/hardened/The Clinical and Economic Implications of pleural effusions.json,skip_complete,,
out/hardened/The Diagnosis and Management of Airway Complic.json,skip_complete,,
out/hardened/The Evolutional History of ENB State of the Art.json,skip_complete,,
out/hardened/The Impact of Gravity vs Suction-driven Therap.json,skip_complete,,
out/hardened/The Only Constant Is Change.json,skip_complete,,
out/hardened/The Proposed Ninth Edition TNM Classification of Lung Cancer.json,skip_complete,,
out/hardened/The Role of Clamping Before Removal of a Chest Tube .json,skip_complete,,
out/hardened/The Utility of the EBUS Characteristics in Differentiating Between Malignant and Tuberculous .json,skip_complete,,
out/hardened/The Value of a High-Volume Bronchoscopic Lung Volume Reduction Program.json,skip_complete,,
out/hardened/The application of cryosurgery in the treatmen.json,skip_complete,,
out/hardened/The business of interventional pulmonology.json,skip_complete,,
out/hardened/The death of a healthy volunteer in a human research project  implications for.json,skip_complete,,
out/hardened/The efficiency of a clinical pathway forundiagnosed pleural effusions .json,skip_complete,,
out/hardened/The evolving role of medical thoracoscopy on therapeutic management of pleural disease.json,skip_complete,,
out/hardened/The heat is on impact of endobronchial electro.json,skip_complete,,
out/hardened/The relationship between chest tube size and c.json,skip_complete,,
out/hardened/The role of  elastography in the dx of med and hilar lymph.json,skip_complete,,
out/hardened/The role of bronchoscopy in the diagnosis of airway disease.json,skip_complete,,
out/hardened/The use of electrocautery as the primary ablat.json,skip_complete,,
out/hardened/The utility of bronchoscopy in immunocompromised patients.json,skip_complete,,
out/hardened/Therapeutic bronchoscopy for malignan.json,skip_complete,,
out/hardened/Thomas-2017-Effect of an Indwelling Pleural Ca.json,skip_complete,,
out/hardened/Towards an optimization of bronchoscopic approaches to the PPN.json,skip_complete,,
out/hardened/Tracheal stent buckling and in-stent stenosis.json,skip_complete,,
out/hardened/Tracheobronchomalacia and excessive dynamic ai.json,skip_complete,,
out/hardened/Tracheomalacia and tracheobronchomalacia in ch.json,skip_complete,,
out/hardened/Training in interventional pulmonology the European and US perspective.json,skip_complete,,
out/hardened/Tranexamic acid vs adrenaline for controlling iatrogenic bleeding during flexible bronchoscopy.json,skip_complete,,
out/hardened/Transbronchial Cryobiopsy for the Diagnosis of.json,skip_complete,,
out/hardened/Transbronchial Lung Cryobiopsy and Video-assis.json,skip_complete,,
out/hardened/Transbronchial cryobiopsy n ILD.json,dry-run,issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Treatment of Pulmonary Carcinoid Tumors.json,dry-run,issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Ultrasound-Guided Percutaneous Dilational Trac.json,skip_complete,,
out/hardened/Understanding the economic impact of introducing a new procedure.json,skip_complete,,
out/hardened/Unimodality and Multimodality Cryodebridement.json,skip_complete,,
out/hardened/Unlocking the potential of RAB.json,skip_complete,,
out/hardened/Update on tracheobronchial anatomy and flexible fiberoptic bronchoscopy in thoracic anesthesia.json,skip_complete,,
out/hardened/Use of fibrinolytics and deoxyribonuclease in.json,skip_complete,,
out/hardened/Utility of EBUS-TBNA in Evaluating Mediastinal and Hilar Lymphadenopathy in Patients With Silica Exposure_A Retrospective Single-center Study.json,skip_complete,,
out/hardened/Utility of Elastography A Systematic Review and Meta-analysis.json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/VERITAS.json,skip_complete,,
out/hardened/VR bronch.json,skip_complete,,
out/hardened/Validation Study for the N Descriptor.json,skip_complete,,
out/hardened/Valipour-2014-Expert statement_ pneumothorax a.json,skip_complete,,
out/hardened/Valipour-2020-Bronchial Rheoplasty for Treatme.json,skip_complete,,
out/hardened/Valipour-2020-Two-Year Outcomes for the Double.json,skip_complete,,
out/hardened/Value of Antibiotic Prophylaxis for Percutaneo.json,skip_complete,,
out/hardened/Value-Based Proposition for a Dedicated IP suite.json,skip_complete,,
out/hardened/Variable Learning Curve of Basic.json,skip_complete,,
out/hardened/Walker-2021-Ambulatory management of secondary.json,skip_complete,,
out/hardened/What is the value of electromagnetic navigation in lung cancer and to what extent does it require improvement .json,skip_complete,,
out/hardened/Xie-2022-Microwave ablation via a flexible cat.json,skip_complete,,
out/hardened/Yuan-2016-Percutaneous endoscopic gastrostomy.json,skip_complete,,
out/hardened/Zhao-2015-Whole Lung Lavage Treatment of Chine.json,skip_complete,,
out/hardened/aabip_evidence_informed_guidelines_and_expert.json,skip_complete,,
out/hardened/advances in medical pleurodesis.json,skip_complete,,
