file,status,changes
out/hardened/AMPLE2.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-07-20"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Sanjeevan Muruganandan"", ""Maree Azzopardi"", ""Deirdre B Fitzgerald"", ""Ranjan Shrestha"", ""Benjamin C H Kwan"", ""David C L Lam"", ""Christian C De Chaneet"", ""Muhammad Redzwan S Rashid Ali"", ""Elaine Yap"", ""Claire L Tobin"", ""Luke A Garske"", ""Phan T Nguyen"", ""Christopher Stanley"", ""Natalia D Popowicz"", ""Christopher Kosky"", ""Rajesh Thomas"", ""Catherine A Read"", ""Charley A Budgeon"", ""David Feller-Kopman"", ""Nick A Maskell"", ""Kevin Murray"", ""Y C Gary Lee""], ""new"": [""Sanjeevan Muruganandan"", ""Maree Azzopardi"", ""Deirdre B Fitzgerald"", ""Ranjan Shrestha"", ""Benjamin C H Kwan"", ""David C L Lam"", ""Christian C De Chaneet"", ""Muhammad Redzwan S Rashid Ali"", ""Elaine Yap"", ""Claire L Tobin"", ""Luke A Garske"", ""Phan T Nguyen"", ""Christopher Stanley"", ""Natalia D Popowicz"", ""Christopher Kosky"", ""Rajesh Thomas"", ""Catherine A Read"", ""Charley A Budgeon"", ""David Feller-Kopman"", ""Nick A Maskell"", ""Kevin Murray"", ""Y C Gary Lee""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""The Lancet Respiratory Medicine""}}"
out/hardened/ASAP trial.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2017-04-15"", ""new"": 2017}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Momen M. Wahidi"", ""Chakravarthy Reddy"", ""Lonny Yarmus"", ""David Feller-Kopman"", ""Ali Musani"", ""R. Wesley Shepherd"", ""Hans Lee"", ""Rabih Bechara"", ""Carla Lamb"", ""Scott Shofer"", ""Kamran Mahmood"", ""Gaetane Michaud"", ""Jonathan Puchalski"", ""Samaan Rafeq"", ""Stephen M. Cattaneo"", ""John Mullon"", ""Steven Leh"", ""Martin Mayse"", ""Samantha M. Thomas"", ""Bercedis Peterson"", ""Richard W. Light""], ""new"": [""Momen M. Wahidi"", ""Chakravarthy Reddy"", ""Lonny Yarmus"", ""David Feller-Kopman"", ""Ali Musani"", ""R. Wesley Shepherd"", ""Hans Lee"", ""Rabih Bechara"", ""Carla Lamb"", ""Scott Shofer"", ""Kamran Mahmood"", ""Gaetane Michaud"", ""Jonathan Puchalski"", ""Samaan Rafeq"", ""Stephen M. Cattaneo"", ""John Mullon"", ""Steven Leh"", ""Martin Mayse"", ""Samantha M. Thomas"", ""Bercedis Peterson"", ""Richard W. Light""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""American Journal of Respiratory and Critical Care Medicine""}}"
out/hardened/Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples..json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2025-03"", ""new"": 2025}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Christopher R. Gilbert"", ""Claire Dust"", ""A. Christine Argento"", ""David Feller-Kopman"", ""Anne V. Gonzalez"", ""Felix Herth"", ""Jonathan M. Iaccarino"", ""Peter Illei"", ""Kevin O’Neil"", ""Nicholas Pastis"", ""M. Patricia Rivera"", ""Lynette Sholl"", ""Gerard A. Silvestri"", ""Jeffrey Thiboutot"", ""Momen M. Wahidi"", ""Kazuhiro Yasafuku"", ""Lonny B. Yarmus""], ""new"": [""Christopher R. Gilbert"", ""Claire Dust"", ""A. Christine Argento"", ""David Feller-Kopman"", ""Anne V. Gonzalez"", ""Felix Herth"", ""Jonathan M. Iaccarino"", ""Peter Illei"", ""Kevin O’Neil"", ""Nicholas Pastis"", ""M. Patricia Rivera"", ""Lynette Sholl"", ""Gerard A. Silvestri"", ""Jeffrey Thiboutot"", ""Momen M. Wahidi"", ""Kazuhiro Yasafuku"", ""Lonny B. Yarmus""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""CHEST""}}"
out/hardened/Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2024-07-17"", ""new"": 2024}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Erin Faber"", ""Horiana Grosu"", ""Sharjeel Sabir"", ""Francis Anthony San Lucas"", ""Bedia A Barkoh"", ""Roland L Bassett"", ""Rajyalakshmi Luthra"", ""John Stewart"", ""Sinchita Roy-Chowdhuri""], ""new"": [""Erin Faber"", ""Horiana Grosu"", ""Sharjeel Sabir"", ""Francis Anthony San Lucas"", ""Bedia A Barkoh"", ""Roland L Bassett"", ""Rajyalakshmi Luthra"", ""John Stewart"", ""Sinchita Roy-Chowdhuri""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Journal of Clinical Pathology""}}"
out/hardened/Advanced Diagnostic and Therapeutic Bronchoscopy .json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2021-07"", ""new"": 2021}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Neeraj R. Desai"", ""Thomas R. Gildea"", ""Edward Kessler"", ""Neil Ninan"", ""Kim D. French"", ""Denise A. Merlino"", ""Momen M. Wahidi"", ""Kevin L. Kovitz""], ""new"": [""Neeraj R. Desai"", ""Thomas R. Gildea"", ""Edward Kessler"", ""Neil Ninan"", ""Kim D. French"", ""Denise A. Merlino"", ""Momen M. Wahidi"", ""Kevin L. Kovitz""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Chest""}}"
out/hardened/Advanced diagnostic and therapeutic bronchoscopy technology and reimbursement.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2021-07"", ""new"": 2021}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Neeraj R. Desai"", ""Thomas R. Gildea"", ""Edward Kessler"", ""Neil Ninan"", ""Kim D. French"", ""Denise A. Merlino"", ""Momen M. Wahidi"", ""Kevin L. Kovitz""], ""new"": [""Neeraj R. Desai"", ""Thomas R. Gildea"", ""Edward Kessler"", ""Neil Ninan"", ""Kim D. French"", ""Denise A. Merlino"", ""Momen M. Wahidi"", ""Kevin L. Kovitz""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Chest""}}"
out/hardened/Advanced in Treatment of PPNs.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2024-02-21"", ""new"": 2024}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Quncheng Zhang"", ""Xuan Wu"", ""Huizhen Yang"", ""Peiyuan Luo"", ""Nan Wei"", ""Shuai Wang"", ""Xingru Zhao"", ""Ziqi Wang"", ""Felix J.F. Herth"", ""Xiaoju Zhang""], ""new"": [""Quncheng Zhang"", ""Xuan Wu"", ""Huizhen Yang"", ""Peiyuan Luo"", ""Nan Wei"", ""Shuai Wang"", ""Xingru Zhao"", ""Ziqi Wang"", ""Felix J.F. Herth"", ""Xiaoju Zhang""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Respiration""}}"
out/hardened/Advances in IP.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-03"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Alastair J. Moore"", ""Rachel M. Mercer"", ""Ali I. Musani""], ""new"": [""Alastair J. Moore"", ""Rachel M. Mercer"", ""Ali I. Musani""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Clinics in Chest Medicine""}}"
out/hardened/Advances in Interventional Pulmonology 2018.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-03"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Alastair J. Moore"", ""Rachel M. Mercer"", ""Ali I. Musani""], ""new"": [""Alastair J. Moore"", ""Rachel M. Mercer"", ""Ali I. Musani""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Clinics in Chest Medicine""}}"
out/hardened/Advances in pleuroscopy.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2017-01-11"", ""new"": 2017}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Stavros Anevlavis"", ""Marios E. Froudarakis""], ""new"": [""Stavros Anevlavis"", ""Marios E. Froudarakis""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""The Clinical Respiratory Journal""}}"
out/hardened/Advantages of US in percutaneous dilatational.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2014-12"", ""new"": 2014}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Alpaslan Yavuz"", ""Murat Yılmaz"", ""Cemil Göya"", ""Emel Alimoglu"", ""Adnan Kabaalioglu""], ""new"": [""Alpaslan Yavuz"", ""Murat Yılmaz"", ""Cemil Göya"", ""Emel Alimoglu"", ""Adnan Kabaalioglu""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Radiology""}}"
out/hardened/Aggressive versus symptom-guided drainage of m.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-07-20"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Sanjeevan Muruganandan"", ""Maree Azzopardi"", ""Deirdre B Fitzgerald"", ""Ranjan Shrestha"", ""Benjamin C H Kwan"", ""David C L Lam"", ""Christian C De Chaneet"", ""Muhammad Redzwan S Rashid Ali"", ""Elaine Yap"", ""Claire L Tobin"", ""Luke A Garske"", ""Phan T Nguyen"", ""Christopher Stanley"", ""Natalia D Popowicz"", ""Christopher Kosky"", ""Rajesh Thomas"", ""Catherine A Read"", ""Charley A Budgeon"", ""David Feller-Kopman"", ""Nick A Maskell"", ""Kevin Murray"", ""Y C Gary Lee""], ""new"": [""Sanjeevan Muruganandan"", ""Maree Azzopardi"", ""Deirdre B Fitzgerald"", ""Ranjan Shrestha"", ""Benjamin C H Kwan"", ""David C L Lam"", ""Christian C De Chaneet"", ""Muhammad Redzwan S Rashid Ali"", ""Elaine Yap"", ""Claire L Tobin"", ""Luke A Garske"", ""Phan T Nguyen"", ""Christopher Stanley"", ""Natalia D Popowicz"", ""Christopher Kosky"", ""Rajesh Thomas"", ""Catherine A Read"", ""Charley A Budgeon"", ""David Feller-Kopman"", ""Nick A Maskell"", ""Kevin Murray"", ""Y C Gary Lee""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""The Lancet Respiratory Medicine""}}"
out/hardened/Airway spray cryotherapy initial outcomes from.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2012-07"", ""new"": 2012}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""David J. Finley"", ""Joe Dycoco"", ""Saiyad Sarkar"", ""William S. Krimsky"", ""John T. Sherwood"", ""Dominic Dekeratry"", ""Gordon Downie"", ""Joel Atwood"", ""Hiran C. Fernando"", ""Valerie W. Rusch""], ""new"": [""David J. Finley"", ""Joe Dycoco"", ""Saiyad Sarkar"", ""William S. Krimsky"", ""John T. Sherwood"", ""Dominic Dekeratry"", ""Gordon Downie"", ""Joel Atwood"", ""Hiran C. Fernando"", ""Valerie W. Rusch""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""The Annals of Thoracic Surgery""}}"
out/hardened/Airway stabilization with silicone stents for.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2007-08"", ""new"": 2007}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Armin Ernst"", ""Adnan Majid"", ""David Feller-Kopman"", ""Jorge Guerrero"", ""Phillip Boiselle"", ""Stephen H. Loring"", ""Carl O'Donnell"", ""Malcolm DeCamp"", ""Felix J.F. Herth"", ""Sidhu Gangadharan"", ""Simon Ashiku""], ""new"": [""Armin Ernst"", ""Adnan Majid"", ""David Feller-Kopman"", ""Jorge Guerrero"", ""Phillip Boiselle"", ""Stephen H. Loring"", ""Carl O'Donnell"", ""Malcolm DeCamp"", ""Felix J.F. Herth"", ""Sidhu Gangadharan"", ""Simon Ashiku""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Chest""}}"
out/hardened/Airway stents.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-03"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Erik Folch"", ""Colleen Keyes""], ""new"": [""Erik Folch"", ""Colleen Keyes""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Annals of Cardiothoracic Surgery""}}"
out/hardened/Aldaghlawi-2020-A Systematic Review of Digital.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2020-05"", ""new"": 2020}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Fadi Aldaghlawi"", ""Jonathan S. Kurman"", ""Jason A. Lilly"", ""D. Kyle Hogarth"", ""Jessica Donington"", ""Mark K. Ferguson"", ""Septimiu D. Murgu""], ""new"": [""Fadi Aldaghlawi"", ""Jonathan S. Kurman"", ""Jason A. Lilly"", ""D. Kyle Hogarth"", ""Jessica Donington"", ""Mark K. Ferguson"", ""Septimiu D. Murgu""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Chest""}}"
out/hardened/Alsunaid-2021-Wound care management_ tracheost.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2021-08"", ""new"": 2021}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Sammar Alsunaid"", ""Van K. Holden"", ""Akshay Kohli"", ""Jose Diaz"", ""Lindsay B. O’Meara""], ""new"": [""Sammar Alsunaid"", ""Van K. Holden"", ""Akshay Kohli"", ""Jose Diaz"", ""Lindsay B. O’Meara""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Journal of Thoracic Disease""}}"
