file,issues,error
out/hardened/Advanced diagnostic and therapeutic bronchoscopy technology and reimbursement.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Advanced in Treatment of PPNs.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Advances in IP.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Advances in Interventional Pulmonology 2018.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Advances in pleuroscopy.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Advantages of US in percutaneous dilatational.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Aggressive versus symptom-guided drainage of m.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Airway spray cryotherapy initial outcomes from.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Airway stabilization with silicone stents for.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Airway stents.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Aldaghlawi-2020-A Systematic Review of Digital.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Alsunaid-2021-Wound care management_ tracheost.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Ambulatory management of primary spontaneous p.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/American Brachytherapy Society consensus guide.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/An updated review in percutaneous tracheostomy.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Andriolo-2015-Early versus late tracheostomy f.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Anesthesia and Upper and Lower Airway.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Anesthesia for bronchoscopy and update 2024.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Anesthetic considerations for bronchoscopic procedures.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Angel-2020-Novel Percutaneous Tracheostomy for.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Approach to hemoptysis in the modern era.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Arnold-2018-Investigating unilateral pleural e.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
"out/hardened/Audit of the autoantibody test, EarlyCDT.json","META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Awab-2017-Whole lung lavage-technical details.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/BLVR comprehensive 2025.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/BLVR with endobronchial valves for patients wi.json,"META_DOI_MISSING,META_JOURNAL_MISSING,AUTHORS_EMPTY",
out/hardened/BTS guideline for diagnostic flexible bronchoscopy in adults.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/BTS pleural guidelines2.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
"out/hardened/Basic Bronchoscopy Technology, Techniques, and Professional Fees.json","META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Basic and advanced pleural procedures coding and professional fees update for pulmonologists.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Bhatnagar-2018-Outpatient Talc Administration.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Bhatnagar-2020-Effect of Thoracoscopic Talc Po.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Bhora-2016-Treatment of Benign Tracheal Stenos.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Bibby-2018-ERS_EACTS statement on the manageme.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Bintcliffe-2016-The management of benign non-i.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Biopsy of peripheral lung nodules utilizing cone beam w wo TB access tool.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Brass-2016-Percutaneous techniques versus surg.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Breathlessness Predicts Survival in Patients W.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Bronchial Thermoplasty in Patients With Severe.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Bronchoscope-Guided Percutaneous Endoscopic Ga.json,META_JOURNAL_MISSING,
out/hardened/Bronchoscopes of the Twenty-First Century.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Bronchoscopic Techniques Used in the Diagnosis and Staging of Lung Cancer.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Bronchoscopic lung volume reduction with endob.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Bronchoscopic transparenchymal nodule access (BTPNA).json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Bronchoscopy Education An Experiential Learning Theory Perspective.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/CHEST CAO.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/COLDICE study.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Central Airway Obstruction Benign Strictures.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Chan-2021-Transbronchial microwave ablation of.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Chemical pleurodesis.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Chen-2018-Photodynamic therapeutic ablation fo.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Cheng-2016-Three-dimensional Printing and 3D S.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Chhatre-2021-Survival Outcomes with Photodynam.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Clinical Success Stenting Distal Bronchi.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Clinical Utility of a Bronchial Genomic Classi.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Clinical trial of photodynamic therapy for per.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
"out/hardened/Combined EBUS  EUS for the diagnosis and staging of lung cancer ESGE, ERS, ESTS Guideline.json","META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Combined Nd-YAG laser HDR brachytherapy versus.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Community hospital experience using ENB integrating tidal volume computed tomography mapping.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Comparing the Diagnostic Performance of Lung Ultrasonography and Chest Radiography for Detecting Pneumothorax.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Comparision of valves.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Comparison of HFNC  and Conventional O2 during bronc.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Competency-based medical education in interventional pulmonology_ current state and future opportunities.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Complete unilateral vs partial bilateral BLVR.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Complications Following Therapeutic B.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Complications and discomfort of bronchoscopy a systematic review.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Complications of cricothyroidotomy versus tracheostomy.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
"out/hardened/Complications, and practice patterns of EBUS  AQuIRE registry.json","META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Comprehensive Review of Chest Tube Management_A Review.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Concurrent Intrapleural Instillation of Tissue.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Cone beam CT imaging for bronchoscopy a technical review.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Cone-beam computed tomography-guided electromagnetic navigation for peripheral lung nodules.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Cone-beam computed tomography-guided shape-sensing robot.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Conservative versus Interventional Treatment f.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Conservative versus Interventional Treatment for spont PTX.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Coping with airway emergencies_.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Covid-19 impact on interventional pulmonology training.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Criner-2019-Improving Lung Function in Severe.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Cryosurgery for malignant endobronchial tumors.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Current practice in management of exudative pleural effusions AABIP survey.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Cyrany-2016-Buried bumper syndrome_ A complica.json,META_JOURNAL_MISSING,
out/hardened/DY and Synergy of Needle and Forceps w ENB.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Database to Inform Revisions.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Davies-2012-Effect of an indwelling pleural ca.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Deslee-2014-Lung volume reduction coil treatme.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Developing an IP Service in a Community Practice.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Development of a Tool to Assess Basic Competen.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Dexmedetomidine-fentanyl versus propofol-fentanyl.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING,AUTHORS_EMPTY",
out/hardened/Diagnostic Yield and Bleeding Complications.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Diagnostic accuracy of transbronchial lung cry.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Diagnostic flexible bronchoscopy and accessory techniques.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Diagnostic value of EBUS elastography for the differentiation.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Diagnostic yield and safety of navigation bronchoscopy.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Differentiating malignant and benign nodes with elastography.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Documentation Tips for Pulmonary.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Dransfield-2020-Effect of Zephyr Endobronchial.json,"META_DOI_MISSING,META_JOURNAL_MISSING,AUTHORS_EMPTY",
out/hardened/Dresler-2005-Phase III intergroup study of tal.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/EBUS  vs conventional TBNA  in the diagnosis of sarcoidosis.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/EBUS for the Diagnosis and Subtyping of Lymphoma.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/EBUS-TBNA and EUS-FNA Risk Assessment for Clopidogrel.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
"out/hardened/ENB for PPNs One-Year Results of the Prospective, Multicenter NAVIGATE Study.json","META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/ENB-directed dye marking for locating pulmonary nodules.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/ERSATS statement on IP.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Eberhardt-2021-Endobronchial Valve (Zephyr) Tr.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Effectiveness of Elastography.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Efficacy and Safety of Airway Stent in TEF.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Efficacy and safety of cone-beam computed tomography-guided bronchoscopy.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Efficacy ofWhole-LungLavageinPulmonaryAlveolar.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Electromagnetic navigation bronchoscopy a comprehensive review.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Electromagnetic navigation bronchoscopy to access lung lesions in.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Endobronchial Valves for Emphysema without Int.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Endobronchial epinephrine confusion is in the air.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Endobronchial tumor debulking with a flexible.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Endosonography for mediastinal disease EUS vs EBUS.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Equipment and procedural setup for IP.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Eur Respir Rev-2020-DeMaio-200028.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Evaluating the Patient With a Pulmonary Nodule_A Review.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Evaluation of Safety and Short-term.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Evaluation of a EBUS  forceps in enlarged mediastinal lymph nodes.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Evaluation of individuals with pulmonary nodules when is it lung cancer.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/External irradiation versus external irradiati.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Fiducial marker placement with ENB.json,META_JOURNAL_MISSING,
out/hardened/Financial Justification for IP Programs.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/First Human Use of a New Robotic-Assisted Fiber Optic Sensing Navigation System for Small Peripheral Pulmonary Nodules.json,META_JOURNAL_MISSING,
out/hardened/Flexible Bronchoscope Use by Pulmonologists.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Flexible bronchoscopy.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Forbearance With Bronchoscopy.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Foreign body aspiration.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Foreign body inhalation in the adult population.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Garner-2020-A prospective safety and feasibili.json,META_JOURNAL_MISSING,
out/hardened/Ghattas-2021-State of the art_ percutaneous tr.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING,AUTHORS_EMPTY",
out/hardened/Gomes-2015-Percutaneous endoscopic gastrostomy.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Grosu-2013-Stents are associated with increase.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Grosu-2018-Sensitivity of Initial Thoracentesi.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Grosu-2019-Secondary spontaneous pneumothorax.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Hartman-2021-New bronchoscopic treatment modal.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Havelock-2010-Pleural procedures and thoracic.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Herth-2019-Endoscopic Lung Volume Reduction_ A.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/High-dose-rate endobronchial brachytherapy eff.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Hillerdal-2014-One- to four-year follow-up of.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Holden-2020-Safety and Efficacy of the Tracheo.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Hooper-2010-Investigation of a unilateral pleu.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Hu-2018-Application of the Montgomery T-tube i.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
"out/hardened/Hu-2020-Pleural manometry_ techniques, applica.json","META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/IASLC Proposals for Revision of TNM.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/IP Fellowship Accreditation Standards.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/IP extending breath of care.json,"META_YEAR_MISSING,META_JOURNAL_MISSING",
out/hardened/IPC review.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/IPCplus.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Iatrogenic bleeding during flexible bronchoscopy.json,"META_YEAR_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Imaging in peripheral bronchoscopy.json,META_JOURNAL_MISSING,
out/hardened/Impact of Pulmonary and Critical Care Fellow Participation during Advanced Diagnostic Bronchoscopy.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Impact of a Dedicated Pleural Clinic on Indwelling Pleural Catheter Related Outcomes_A Retrospective Single Center Experience.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Impact of the Ninth International Association for the Study of Lung Cancer TNM Classification on Endobronchial Ultrasound for Lung Cancer Staging.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Improved diagnostic yield  with digital tomosynthesis ENB.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Improving diagnostic yield of navigational bronchoscopy .json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Indications and complications of rigid broncho.json,META_JOURNAL_MISSING,
out/hardened/Indocyanine Green-Soaked Fiducial Markers.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Indwelling Pleural Catheter versus Pleurodesis.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Inhaled GM-CSF for Pulmonary Alveolar Proteino.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Inhaled TXA for Hemoptysis Treatment.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Interventional Bronchoscopy.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Interventional pulmonology in the intensive ca.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Intrapleural Fibrinolytic Therapy versus Early.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Intrapleural use of tissue plasminogen activat.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Jayadevappa-2019-Outcomes of patients with adv.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Jet Ventilation during Rigid Bronchoscopy in Adults.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Karakoca-2018-Follow-up outcomes of chronic ob.json,META_JOURNAL_MISSING,
out/hardened/Kashiwabara-2021-Efficacy and safety of transb.json,"META_DOI_MISSING,META_JOURNAL_MISSING,AUTHORS_EMPTY",
out/hardened/Kemp-2017-A Multicenter Randomized Controlled.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Kimura-2015-Photodynamic Therapy (PDT) with Ch.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Klooster-2017-One-Year Follow-Up after Endobro.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Koizumi-2015-Bronchoscopy-Guided Cooled Radiof.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Koshy-2021-Safety of delivering bronchial ther.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Labarca-2019-Bronchoscopic Lung Volume Reducti.json,META_JOURNAL_MISSING,
out/hardened/Lamb-2020-Use of Tracheostomy During the COVID.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Li-2019-The REACH Trial_ A Randomized Controll.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Lipp-2013-Systemic antimicrobial prophylaxis f.json,"META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Ljungdahl-2006-Complication rate lower after p.json,"META_DOI_MISSING,META_JOURNAL_MISSING,AUTHORS_EMPTY",
out/hardened/Local anaesthetic thoracoscopy .json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Local determinants of response to endobronchia.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Lung nodule during COVID.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/LungRADSAssessmentCategoriesv1-1.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Machine learing TPA.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Majid-2020-Efficacy of the Spiration Valve Sys.json,META_JOURNAL_MISSING,
out/hardened/Management of Benign Pleural Effusions Using I.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Management of Malignant Pleural Effusions.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Management of life-threatening hemoptysis in the ICU.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Management of significant airway bleeding during robotic assisted bronchoscopy a tailored approach.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Managing Massive Hemoptysis.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Mechanical properties of different airway sten.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Mesothelioma proposal for revision of T.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Metallic Endobronchial Stents A Contemporary R.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Moderate sedation changes for bronchoscopy in 2017.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Multi-disciplinary management of patients with.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Multidetector CT evaluation of tracheobronchom.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Multidisciplinarymanagementofadultpatientswith chylothorax.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Multi‐institutional retrospective analysis of.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Murgu Saftey of TIVA in rigid.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/NAVIGATE 24-Month Results.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/NEJM tracheostomy.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Nd-YAG laser vs bronchoscopic electrocautery.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/NdYAG laser bronchoscopy A five year experienc.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Novel bronchoscopic management of airway bleeding with absorbable gelatin and thrombin slurry.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Occupational adverse effects and protective factors in bronchoscopy .json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Operating Room Fires.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
